"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
9.36866524616674e-33,2.03073948035758,0.941,0.494,1.55004566497829e-28,"WFDC2"
2.32939257568664e-26,-3.68018633516586,0.091,0.741,3.85398001647355e-22,"NR4A1"
7.35830777814539e-26,-1.08595292592215,0.753,1,1.21743202189416e-21,"JUND"
3.89592293663072e-25,-1.28248341641448,0.651,0.965,6.44580449865553e-21,"HERPUD1"
1.58919259091758e-23,-1.82785026337783,0.43,0.929,2.62931914167313e-19,"FAM24B"
8.57515487055757e-23,1.78724128894218,0.86,0.435,1.41875937333375e-18,"TSPAN1"
2.44073986611826e-22,1.98233962028591,0.763,0.412,4.03820410849265e-18,"SERPING1"
7.39633302829051e-20,-2.30610468685958,0.253,0.776,1.22372329953067e-15,"KLF6"
1.05444002795995e-18,1.53500718688058,0.876,0.565,1.74457102625973e-14,"CD74"
7.78126821273046e-17,-1.18309553179982,0.677,0.953,1.28741082579625e-12,"HSPA1A"
6.52254372288847e-15,-1.14285110475035,0.634,0.929,1.0791548589519e-10,"CEBPD"
1.19601700423074e-14,-0.515597385984131,0.957,1,1.97881013349976e-10,"ACTG1"
1.61872492604504e-14,1.78718331487166,0.683,0.318,2.67818039014152e-10,"IFITM2"
1.88215082577986e-14,0.552499487677608,0.86,0.494,3.11401854125278e-10,"ELOB"
2.75887683314355e-14,2.01693043234213,0.72,0.294,4.564561720436e-10,"SPP1"
3.05913262064668e-14,-1.71961104821075,0.301,0.776,5.06133492085994e-10,"EGR1"
9.25163793910231e-14,-2.03591533247777,0.242,0.694,1.53068349702448e-09,"BTG2"
1.02438162612313e-13,2.42125439393133,0.667,0.165,1.69483940042072e-09,"HLA-DRB1"
1.02556927939829e-13,2.46704979432899,0.677,0.212,1.69680437276448e-09,"HLA-DRA"
2.10158785110798e-13,1.15917985538529,0.898,0.494,3.47707709965815e-09,"CD24"
2.16777473586891e-13,-3.24075099194092,0.059,0.494,3.58658330049511e-09,"PCK1"
