"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
6.74015751747465e-105,-7.10881719420041,0.008,0.662,1.11515906126618e-100,"NR4A1"
2.93700769185187e-99,1.95559782248289,0.92,0.646,4.85927922616892e-95,"WFDC2"
1.82413861510428e-90,-5.37428798943277,0.029,0.669,3.01803733869002e-86,"EGR1"
2.08769279219735e-88,-1.84913598513389,0.311,0.911,3.45408772469051e-84,"ZFAND5"
5.2831562958423e-82,-2.84628629455615,0.16,0.801,8.74098209147108e-78,"PDK4"
8.34894183277722e-82,-3.58335728785488,0.106,0.745,1.38133242623299e-77,"JUN"
8.92106426791109e-77,-7.33432077909332,0.006,0.52,1.47599008312589e-72,"ATF3"
1.15667501746371e-74,-1.7996618794943,0.293,0.901,1.91371881639371e-70,"CEBPD"
4.56036217729334e-70,-3.80396668142148,0.057,0.675,7.54511922233183e-66,"ZFP36"
5.12993849114861e-67,-1.39994083461497,0.437,0.894,8.48748323360537e-63,"JUND"
8.8305864400648e-66,-4.04783078774837,0.066,0.642,1.46102052650872e-61,"FOS"
8.68153707153627e-64,-2.61319793314592,0.172,0.768,1.43636030848568e-59,"IER2"
1.40940717121825e-61,-2.9306312646583,0.115,0.709,2.33186416478059e-57,"JUNB"
8.95206325584151e-60,-3.30076285229702,0.085,0.672,1.48111886567898e-55,"KLF6"
2.95728599532822e-58,-1.88635675249318,0.194,0.831,4.89282967927054e-54,"USP2"
2.13637697953067e-56,-3.86919790824134,0.051,0.57,3.53463571263349e-52,"BTG2"
2.19178147992905e-55,-5.78149288108603,0.015,0.45,3.6263024585426e-51,"FOSB"
2.85173082046793e-55,-1.7485637357161,0.314,0.868,4.71818864246419e-51,"ADIRF"
4.65859427518833e-55,-3.24827877097068,0.082,0.669,7.70764422829909e-51,"DUSP1"
1.09752171736313e-44,1.05230908787304,0.9,0.841,1.8158496813773e-40,"SPP1"
5.23693160715517e-44,-2.32419181306332,0.14,0.715,8.66450334403823e-40,"NFKBIA"
1.25761737821314e-40,-2.17327411310544,0.139,0.699,2.08072795225363e-36,"KLF9"
3.06796663034974e-39,-0.603027170240678,0.651,0.954,5.07595078991364e-35,"UBC"
1.19766850036815e-37,-2.01611367369668,0.199,0.728,1.9815425338591e-33,"HSPA1A"
1.20067050828548e-37,-0.49375903879028,0.753,0.983,1.98650935595832e-33,"ACTG1"
1.55823916752391e-36,-4.53985359383691,0.017,0.381,2.57810670266831e-32,"GSTA2"
2.02548524762395e-36,-3.33063064994533,0.034,0.44,3.35116534219383e-32,"CDKN1A"
2.7939433915539e-36,-2.16719026467075,0.108,0.623,4.62257934132594e-32,"RALYL"
6.28300430749366e-36,2.1661112794274,0.453,0.235,1.03952306267483e-31,"CFI"
2.08387843108091e-35,4.78729951080303,0.252,0.023,3.44777686422337e-31,"MMP7"
1.06113645809581e-34,-3.56752464115321,0.03,0.434,1.75565026991953e-30,"CSRNP1"
3.744577901584e-34,3.07503102639272,0.294,0.073,6.19540413817073e-30,"TSPAN1"
1.80559774279139e-33,-0.307358084274183,0.788,0.974,2.98736146544835e-29,"GNAS"
6.53694206203554e-33,5.66128615192846,0.218,0.01,1.08153706416378e-28,"SLPI"
7.85744443424835e-33,-0.42451650660126,0.712,0.954,1.30001418164639e-28,"CYSTM1"
4.88857022713698e-32,-2.63414015475374,0.047,0.447,8.08813944079813e-28,"PER1"
8.37204315090646e-32,-1.61867272504918,0.188,0.659,1.38515453931747e-27,"TCIM"
9.08158533581063e-32,3.49832779480825,0.261,0.043,1.50254829380987e-27,"TIMP1"
1.93335742150918e-31,-2.47402913961825,0.136,0.606,3.19873985388694e-27,"GADD45B"
2.86355107444509e-30,-0.117811358662714,0.864,0.974,4.7377452526694e-26,"CKB"
3.72912112276821e-30,-1.07746462546418,0.327,0.801,6.16983089762e-26,"IER3"
3.92718792861705e-30,-1.73105225796195,0.14,0.636,6.49753242789692e-26,"SLC25A33"
4.70028401497957e-30,-2.97331877300089,0.051,0.447,7.77661990278369e-26,"TIPARP"
7.56215010577306e-30,-2.00917016327838,0.103,0.579,1.25115773500015e-25,"SLC1A5"
8.30246260233549e-30,-2.02710930032276,0.123,0.596,1.37364243755641e-25,"FKBP5"
1.14347566850158e-29,-1.52189779893164,0.234,0.712,1.89188049353586e-25,"GADD45A"
1.99838246514454e-29,-0.519137299817925,0.628,0.94,3.30632378858165e-25,"HSP90AB1"
7.64348369329616e-28,-0.90261393179772,0.383,0.762,1.26461437705585e-23,"EGF"
8.29994691580432e-28,-3.38928479831239,0.028,0.374,1.37322621721983e-23,"NFIL3"
8.93641332809224e-28,-2.49174656267479,0.073,0.45,1.47852958513286e-23,"GSTA1"
1.87344519911539e-27,0.918409792554848,0.574,0.424,3.09961508193642e-23,"RPS4Y1"
2.26055438675172e-27,-0.397206647827761,0.732,0.947,3.74008723288072e-23,"S100A10"
3.47936371502199e-27,-1.27999251842175,0.297,0.755,5.75660726650388e-23,"PNRC1"
6.82259444628095e-27,-1.95338796405527,0.171,0.642,1.12879825113718e-22,"ARID5B"
9.4820059924646e-27,-1.86097742532125,0.129,0.623,1.56879789145327e-22,"ATP6V1B1"
9.48253422719675e-27,-0.692483200213526,0.517,0.868,1.5688852878897e-22,"TXNIP"
1.30332481205158e-26,0.734431041308495,0.955,0.93,2.15635090153934e-22,"B2M"
1.40805243553754e-26,1.02518652930397,0.651,0.666,2.32962275459686e-22,"IFITM3"
1.54430275078681e-26,-2.87510600374774,0.053,0.427,2.55504890117677e-22,"KLF10"
6.58664345774678e-26,-3.15200571540295,0.037,0.374,1.0897601600842e-21,"ERRFI1"
1.36694506636559e-25,-1.52437640616846,0.171,0.616,2.26161061230187e-21,"TSC22D3"
2.94740237473683e-25,1.27600387113779,0.545,0.43,4.87647722900208e-21,"CD74"
7.34203545317051e-25,-1.80731612765455,0.144,0.576,1.21473976572706e-20,"MCL1"
2.956875851095e-24,1.14957922798844,0.594,0.523,4.89215109563668e-20,"SERPING1"
6.12010828678491e-24,-0.242506020288209,0.845,0.983,1.01257191604856e-19,"ACTB"
1.33625343055336e-23,-0.807211249354912,0.429,0.801,2.21083130085053e-19,"RHOBTB3"
1.38087198047335e-23,-0.168274674794898,0.866,0.983,2.28465269169315e-19,"PEBP1"
1.45361029968736e-23,1.30471858389897,0.388,0.315,2.40499824083274e-19,"PPIC"
1.82892935140529e-23,-0.228501898154837,0.8,0.964,3.02596361190005e-19,"RPL37A"
2.63119818758155e-23,-2.57628856136867,0.073,0.467,4.35331740135368e-19,"SERTAD1"
2.97853986184536e-23,-2.80068379834423,0.046,0.404,4.92799420142315e-19,"KLF15"
2.98301334197847e-23,-2.12005134456587,0.137,0.556,4.93539557430339e-19,"RHOB"
3.82582820734955e-23,-0.250178656264713,0.815,0.98,6.32983276905984e-19,"RPS29"
1.20774686523867e-22,2.01510077226564,0.296,0.129,1.99821718853738e-18,"HLA-DRA"
1.47646008993897e-22,-5.50714149678165,0.004,0.202,2.44280321880403e-18,"EGR2"
6.23293380580275e-22,-0.762326820267431,0.45,0.791,1.03123889817006e-17,"ZFP36L1"
1.90262351615896e-21,0.0643749289747806,0.984,0.99,3.14789060748499e-17,"S100A6"
5.54302225756926e-21,-0.881818403098408,0.44,0.881,9.17093032514834e-17,"GLRX"
5.99375949418076e-21,1.90825046515506,0.224,0.113,9.91667508312206e-17,"C12orf75"
6.11958076262951e-21,-3.52667581688061,0.025,0.298,1.01248463717705e-16,"MAFF"
1.77921723210392e-20,-0.734916846521833,0.459,0.828,2.94371491051594e-16,"SERPINA5"
4.25631756628397e-20,0.08885747582866,0.976,1,7.04207741341682e-16,"MT-CYB"
5.5072026254641e-20,-2.64975483477375,0.042,0.354,9.11166674383035e-16,"SLC25A25"
9.06867821449969e-20,7.7833366666074,0.106,0,1.50041281058897e-15,"LTF"
3.28013981955352e-19,-1.80603912720335,0.112,0.53,5.4269913314513e-15,"SLC7A8"
6.83265051049473e-19,-0.406519927607029,0.694,0.96,1.13046202696135e-14,"RPL27A"
1.02717736779644e-18,-0.602772063479923,0.572,0.911,1.69946495501922e-14,"HSPB1"
1.09684958428191e-18,-0.0666815891763637,0.888,0.983,1.81473763719442e-14,"EIF1"
