"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
2.50939212859732e-29,-1.34763926967344,0.587,0.975,4.15178927676427e-25,"MT2A"
1.76106984512451e-20,-2.74174559479061,0.187,0.816,2.9136900587585e-16,"FKBP5"
1.21363250087012e-17,-1.56651624408909,0.387,0.918,2.00795497268961e-13,"MT1E"
5.05586651161091e-15,-1.99454720283075,0.253,0.81,8.36493114346026e-11,"MT1M"
1.18458253883118e-14,-2.45323082799333,0.093,0.706,1.95989181049619e-10,"ARRDC2"
1.26919332375699e-14,-2.60674903344654,0.12,0.668,2.09988035415593e-10,"DDIT4"
3.43411768270921e-14,-1.42726350172996,0.32,0.883,5.68174770604238e-10,"CEBPB"
3.59394237381973e-14,0.884188699758032,0.893,0.813,5.94617765748474e-10,"ACTG1"
6.2529533780029e-14,-1.89119296430831,0.187,0.801,1.03455113639058e-09,"KLF9"
1.38010452323517e-12,-5.45311218459672,0.013,0.465,2.28338293369259e-08,"APOLD1"
1.01076990513497e-11,-1.49058563300882,0.333,0.848,1.6723188080458e-07,"TSC22D3"
5.47283966325691e-11,-8.0925066347304,0,0.405,9.05481322285856e-07,"GPX1"
7.73404350196319e-11,-3.17339975783628,0.053,0.541,1.27959749739981e-06,"CSRNP1"
1.44490432111098e-10,0.554580737190385,0.907,0.911,2.39059419927812e-06,"ACTB"
4.52869881220319e-10,8.0495488734593,0.133,0,7.49273218479018e-06,"TLE5"
9.14068636207162e-10,7.92360076214095,0.12,0,1.51232655860475e-05,"SEPTIN7"
1.04174104901864e-09,-2.50857757778415,0.12,0.623,1.72356056560135e-05,"NEDD9"
2.46317064650537e-09,7.73959313720339,0.12,0,4.07531583464313e-05,"TMEM35B"
5.07331213368303e-09,-1.52253231313444,0.107,0.532,8.39379492517858e-05,"ANKS1A"
1.11141595229955e-08,1.09908583512846,0.947,0.547,0.000183883769307961,"PLPP3"
1.43867571069342e-08,7.29017536399435,0.107,0,0.000238028896334227,"MTLN"
1.69877609288544e-08,-2.46531239262784,0.093,0.506,0.000281062504567896,"FAM107A"
1.86341264930521e-08,7.78150092358854,0.107,0,0.000308301622827547,"AOPEP"
2.27074968726027e-08,0.535180231989073,0.8,0.829,0.000375695535757212,"DYNLL1"
2.38309491271715e-08,1.45163538849131,0.52,0.329,0.000394283053309053,"LPAR6"
