"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
3.62803333031902e-116,-1.68454106217786,0.494,0.948,6.00258114501282e-112,"MT2A"
4.06050311667134e-115,-3.13121099520391,0.141,0.839,6.71810240653273e-111,"DUSP1"
5.74580113628411e-115,-2.51652954326932,0.23,0.873,9.50642797998206e-111,"CEBPD"
1.76611184298389e-113,-4.13679838498857,0.056,0.733,2.92203204421685e-109,"APOLD1"
3.82135117527842e-112,-3.34593039041425,0.115,0.809,6.32242551949815e-108,"ZFP36"
3.81406400906103e-93,-3.35875499168645,0.104,0.742,6.31036890299148e-89,"MT1M"
1.59661097190491e-91,-1.5412727189895,0.451,0.925,2.64159285301667e-87,"JUND"
2.50803363365708e-91,-2.25928292424161,0.245,0.843,4.14954164688564e-87,"MT1X"
8.61951740192622e-75,-4.38710873507293,0.037,0.555,1.42609915414869e-70,"FOSB"
5.87970604969844e-73,-3.06652222465114,0.095,0.647,9.72797365922607e-69,"CA4"
7.79691502680489e-73,-3.00253114049392,0.117,0.669,1.28999959118487e-68,"AKAP12"
6.02971916259972e-68,-4.05076716835248,0.039,0.516,9.97617035452123e-64,"EGR1"
1.80446988096374e-65,-3.32373523639558,0.091,0.606,2.98549541805451e-61,"FOS"
7.32174758145024e-60,-3.03048832875425,0.071,0.574,1.21138313735094e-55,"FKBP5"
1.5234152080159e-58,-1.77224478754211,0.26,0.794,2.52049046166231e-54,"KLF9"
5.83319187060311e-58,-1.81635060258958,0.289,0.751,9.65101594991285e-54,"MT1E"
4.47992667114865e-54,-1.91867814524046,0.249,0.753,7.41203867741544e-50,"JUNB"
6.32186808280151e-51,1.50615217022462,0.711,0.422,1.04595307429951e-46,"MARCKS"
5.34374628290618e-49,-2.10178251616546,0.2,0.699,8.84122822506828e-45,"JUN"
4.95069595271127e-46,-2.21082373018501,0.134,0.602,8.19092645376079e-42,"CEBPB"
6.33071684105399e-46,-4.87491185306293,0.015,0.342,1.04741710135238e-41,"NR4A1"
2.52168371323624e-42,-2.29866489282204,0.145,0.587,4.17212570354936e-38,"FAM107A"
4.41620207978567e-41,-3.77507338540985,0.03,0.376,7.30660634100538e-37,"CSRNP1"
1.22616200047698e-40,-1.87345036981207,0.189,0.594,2.02868502978916e-36,"SOCS3"
1.89615738614451e-39,-2.01476767435846,0.148,0.563,3.13719239537609e-35,"SERTAD1"
2.53908067161745e-39,-1.41535746945805,0.31,0.731,4.20090897119107e-35,"TSC22D3"
3.16049909549832e-39,-2.83719281379753,0.082,0.469,5.22904575350197e-35,"PPP1R15A"
4.40200660347242e-39,-0.491050391882538,0.796,0.97,7.28311992544512e-35,"EIF1"
2.564683755239e-36,-6.52312971401507,0.006,0.275,4.24326927304293e-32,"MT1A"
5.2223672164969e-36,-5.21794731416945,0.011,0.284,8.64040655969413e-32,"ATF3"
3.74685574502301e-35,-2.28684919333053,0.069,0.439,6.19917283014058e-31,"GPX1"
1.29474034535757e-34,-3.27937221014471,0.035,0.357,2.1421479013941e-30,"F2RL3"
4.06858867257038e-34,-0.657054524576749,0.694,0.959,6.7314799587677e-30,"EPAS1"
1.1305512454409e-33,1.64203788875082,0.516,0.256,1.87049703558198e-29,"TGM2"
1.27844681373356e-33,-1.64394117955752,0.215,0.622,2.11519025332218e-29,"MCL1"
2.06659516937876e-33,2.29972532759278,0.377,0.088,3.41918170773716e-29,"SELENON"
2.8944527089912e-33,-4.17756102313607,0.011,0.267,4.78887200702594e-29,"SIK1"
3.95810103573574e-33,-1.09374432096693,0.442,0.832,6.54867816362478e-29,"MGP"
5.86179578196348e-33,5.26145428130147,0.237,0.009,9.69834112125858e-29,"ACKR1"
3.68909851268698e-32,-3.1110495161555,0.035,0.351,6.10361348924062e-28,"ZBTB16"
2.55051153203841e-31,-1.76705333377289,0.204,0.574,4.21982132975755e-27,"SPRY1"
7.48397145818747e-31,-0.493343472542244,0.768,0.953,1.23822307775712e-26,"TIMP3"
4.11233525025728e-30,-1.09412175108456,0.404,0.772,6.80385867155067e-26,"TACC1"
5.43278949065164e-30,-2.00449865297715,0.145,0.51,8.98855021228315e-26,"KLF4"
2.19825991933238e-29,2.08153996587424,0.41,0.127,3.63702103653542e-25,"TCIM"
2.56717417351738e-29,-1.22889484651431,0.332,0.714,4.2473896700845e-25,"HERPUD1"
7.31545806016886e-29,1.2862270032954,0.616,0.385,1.21034253605494e-24,"PRCP"
7.37544057432888e-29,-0.370564040199163,0.766,0.972,1.22026664302271e-24,"IGFBP5"
3.09991629872655e-28,-2.53752936758713,0.046,0.344,5.12881151624307e-24,"U2AF1"
6.04096479379106e-28,-0.556737447677096,0.417,0.404,9.9947762513273e-24,"CAVIN2"
6.45519988278899e-28,1.67237540722154,0.479,0.226,1.06801282060744e-23,"VWF"
1.16282254982032e-27,1.16872613551514,0.649,0.34,1.92388990867772e-23,"PECAM1"
