"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
1.92121063782631e-14,-1.54833269580064,0.621,0.913,3.17864300028364e-10,"CEBPD"
2.03311859312708e-12,-0.879730050681296,0.81,0.986,3.36379471232876e-08,"JUND"
7.24283226279726e-12,-2.51916056734965,0.207,0.826,1.19832659787981e-07,"ARG2"
8.98398753192839e-11,2.79112416612302,0.638,0.159,1.48640073715755e-06,"CYBA"
1.05832100664695e-10,-3.86528537578945,0.069,0.609,1.75099210549739e-06,"NR4A1"
2.27985680798228e-09,3.6990582133538,0.517,0.043,3.77202308880669e-05,"SPP1"
2.40798687861542e-09,-1.36635880815516,0.466,0.913,3.98401429066921e-05,"IER2"
5.7080172149057e-09,2.08435539075536,0.672,0.232,9.44391448206147e-05,"SERPING1"
2.23220560199682e-08,-1.61623592111893,0.362,0.812,0.000369318416850374,"JUNB"
2.54687247475436e-08,1.60678885971514,0.793,0.406,0.000421380050948109,"IFITM3"
2.67462573241029e-08,-3.56600416077621,0.086,0.58,0.000442516827427283,"ATF3"
3.42221787051933e-08,-1.50071102947315,0.362,0.841,0.000566205946677424,"FOS"
4.55084737280822e-08,2.53993276911899,0.586,0.188,0.000752937697831119,"CD74"
6.3373626148525e-08,4.23834405544215,0.345,0.029,0.00104851664462735,"CFI"
1.1670760921475e-07,-2.2979909676896,0.207,0.696,0.00193092739445803,"BTG2"
1.250367848174e-07,0.555226568673274,0.862,0.507,0.00206873360480388,"ATP5ME"
1.30860159738553e-07,2.39562232489801,0.448,0.101,0.00216508134287435,"OGA"
1.38290079520355e-07,2.20627872867942,0.5,0.145,0.00228800936566428,"ADGRG1"
1.55645175570473e-07,-1.98911634159328,0.241,0.71,0.00257514942981348,"EGR1"
2.16149077107586e-07,1.62875634957096,0.638,0.261,0.00357618648074502,"CD24"
2.51617402538067e-07,-6.384629492849,0,0.333,0.00416300992499233,"SMIM11"
3.39625683607753e-07,0.762715734687024,0.879,0.493,0.00561910693529027,"SMIM24"
6.33940945514328e-07,6.18271970398701,0.241,0,0.0104885529435345,"LTF"
6.48557556378874e-07,-2.03090556189681,0.276,0.725,0.0107303847702885,"KLF6"
6.80659465182007e-07,2.58058913148393,0.431,0.145,0.0112615108514363,"MMP7"
9.30399028169345e-07,0.7653651802419,0.897,0.507,0.0153934519210618,"RACK1"
1.07770969716418e-06,0.850967408174077,0.914,0.507,0.0178307069395813,"ATP5F1E"
1.20615358942305e-06,-1.65983239176413,0.328,0.768,0.0199558111370044,"JUN"
1.214457881012e-06,-1.72085681114711,0.362,0.739,0.0200932056413435,"GADD45A"
1.3744877566193e-06,-5.87521350720802,0,0.304,0.0227408999332664,"PER1"
1.38351213924168e-06,1.87009992541067,0.655,0.275,0.0228902083437535,"IFITM2"
1.62100432299569e-06,0.716434452416879,0.845,0.493,0.0268195165239637,"ATP5PD"
1.73899561117342e-06,0.727567881970415,0.879,0.507,0.0287716823868642,"ATP5MC3"
1.97448380388846e-06,0.795745863956455,0.897,0.507,0.0326678345353346,"ATP5PF"
2.18610322980675e-06,-0.448562893120086,0.879,1,0.0361690779371527,"CYSTM1"
2.29790208206975e-06,-1.8188919918746,0.207,0.638,0.038018789947844,"ZFP36"
2.34361618494413e-06,-2.22910348225189,0.086,0.493,0.0387751297799006,"GPX1"
2.34496834521834e-06,0.78005915336427,0.879,0.507,0.0387975012716374,"ATP5F1D"
2.5435758016169e-06,-1.91005190709173,0.276,0.623,0.0420834616377517,"ALDOA"
3.10593060083061e-06,5.2597903586992,0.19,0,0.0513876217907424,"MDK"
3.11281659988582e-06,-2.23399034757442,0.224,0.638,0.0515015506451109,"SERTAD1"
3.14224993348027e-06,0.857352402769851,0.879,0.493,0.0519885251494311,"ATP5MC2"
3.22515464500346e-06,0.617009814658076,0.862,0.507,0.0533601836015823,"ATP5F1B"
3.50177652438979e-06,-1.64391071937872,0.328,0.739,0.0579368925960291,"DUSP1"
