"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
1.40639641281804e-22,-2.40223012983624,0.186,0.878,2.32688286500745e-18,"CEBPD"
1.23155864381404e-19,-4.13343593551398,0.035,0.71,2.03761377619032e-15,"FKBP5"
5.70032040136787e-15,-2.14271091150313,0.244,0.866,9.43118010406315e-11,"DUSP1"
8.30070349373892e-15,-2.57265874559443,0.174,0.807,1.3733513930391e-10,"RGCC"
8.75391963572052e-15,-3.72059771125167,0.047,0.567,1.44833600372996e-10,"PDK4"
1.55639055432923e-14,0.905287890393153,0.988,0.853,2.57504817213772e-10,"IFITM3"
3.56020666764584e-14,1.53528069863891,0.895,0.353,5.89036193162004e-10,"SELENOM"
3.6881666146314e-14,-2.63676900131009,0.163,0.723,6.10207166390764e-10,"NR4A1"
3.76004624243571e-14,-1.38088351171221,0.453,0.903,6.22099650810988e-10,"MT1M"
1.16499295826949e-13,0.59827147901884,0.988,0.971,1.92748084945688e-09,"B2M"
6.23784218438692e-13,1.5865130542055,0.872,0.353,1.03205098940682e-08,"RACK1"
1.2929680911407e-12,-0.527862975602218,0.86,0.996,2.13921570679229e-08,"MT2A"
1.33735536904245e-12,-1.86489202401367,0.244,0.807,2.21265445808074e-08,"CEBPB"
1.42778949140951e-12,1.95930293708814,0.779,0.303,2.36227771353703e-08,"CAVIN3"
1.58552521601401e-12,1.45479718261151,0.86,0.361,2.62325146989518e-08,"ATP5F1E"
6.62802833260864e-12,1.3771765296421,0.837,0.601,1.0966072876301e-07,"TIMP1"
8.67406611328945e-12,-2.74522174568382,0.14,0.664,1.43512423844374e-07,"EGR1"
1.16432561800186e-11,-1.1384207549407,0.477,0.87,1.92637673498407e-07,"RHOB"
1.39850120298121e-11,-1.55413077152756,0.349,0.857,2.31382024033242e-07,"GADD45B"
6.19305705166927e-11,-1.76642685688212,0.256,0.819,1.02464128919868e-06,"TSC22D3"
1.46645264807266e-10,-2.05070848621475,0.174,0.727,2.42624590623621e-06,"BTG2"
2.61039950473953e-10,1.38298133659536,0.814,0.361,4.31890598059155e-06,"SELENOW"
2.84283748887627e-10,1.32857041522202,0.686,0.487,4.70347462534579e-06,"NET1"
3.17936349284566e-10,1.40168667468228,0.767,0.332,5.26025689891314e-06,"ATP5MG"
4.08272060137752e-10,-0.900819929364677,0.64,0.929,6.7548612349791e-06,"MT1E"
4.61204549043222e-10,-3.87112832631374,0.023,0.445,7.63062926392011e-06,"TIPARP"
1.17830508609697e-09,-2.21079144083987,0.07,0.466,1.94950576494744e-05,"CDKN1A"
1.51641795004209e-09,0.6795587262058,0.942,0.916,2.50891349834464e-05,"A2M"
2.29990128350606e-09,-0.979693172932526,0.581,0.874,3.80518667356078e-05,"MT1X"
2.95768922947771e-09,1.47597159926427,0.779,0.332,4.89349683017087e-05,"ELOB"
4.32480806774466e-09,1.47283938873677,0.651,0.273,7.15539494808354e-05,"ATP5MC3"
6.70545523494792e-09,-3.80546536145304,0.023,0.45,0.000110941756862213,"TOB2"
6.91027797495409e-09,1.45714444791572,0.512,0.315,0.000114330549095615,"TM4SF1"
8.48954247129426e-09,1.47092102509589,0.733,0.336,0.000140459480187563,"ATP5MC2"
8.50869512786485e-09,-1.92544809869305,0.128,0.622,0.000140776360890524,"KLF9"
9.46672613445161e-09,-3.04539976412833,0.058,0.437,0.000156626983894502,"MT1A"
1.84749734895927e-08,-0.975324055939317,0.535,0.887,0.000305668436385311,"JUNB"
2.28862190189016e-08,2.13443861045179,0.581,0.185,0.000378652493667726,"RPS4Y1"
2.38124423879565e-08,-7.09439778171653,0,0.269,0.000393976859308741,"NR4A2"
2.4748030461473e-08,-0.537007361632741,0.733,0.929,0.000409456163985071,"JUND"
4.17273938592386e-08,1.3254528879043,0.686,0.324,0.000690379731401103,"ATP5PF"
4.20609000578392e-08,1.24339218048631,0.709,0.324,0.00069589759145695,"UQCR11"
4.66649434591577e-08,-3.51001982369659,0.023,0.366,0.000772071489531764,"U2AF1"
5.12002917667563e-08,3.7870002392162,0.267,0.034,0.000847108827280983,"VCAM1"
