"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
1.49929589069158e-29,-1.01900090419396,0.703,0.965,2.48058505114921e-25,"HERPUD1"
2.87460778305768e-28,-2.69053624212599,0.16,0.741,4.75603857706894e-24,"NR4A1"
3.00399590490529e-26,-0.769840645626608,0.818,1,4.9701112246658e-22,"JUND"
1.20227339543489e-24,-1.21240550833793,0.578,0.929,1.98916133274703e-20,"FAM24B"
2.19854847143043e-24,-1.94509778355291,0.301,0.776,3.63749844598165e-20,"KLF6"
5.10879066489315e-24,-1.15971271187596,0.59,0.941,8.45249415506572e-20,"TMEM101"
1.48177160846648e-22,-1.31014240279053,0.549,0.929,2.45159112620779e-18,"CEBPD"
3.87328124379775e-22,-0.421307720634902,0.977,1,6.40834381786337e-18,"ACTG1"
5.42181032678987e-22,0.460038207926901,0.875,0.518,8.97038518567383e-18,"ATP5ME"
1.4913862888735e-19,0.714605646476096,0.912,0.518,2.46749861494121e-15,"ATP5F1E"
3.55793860732659e-19,0.779744756949106,0.895,0.494,5.88660942582184e-15,"ATP5MG"
6.058603552743e-19,0.671248481410051,0.893,0.506,1.00239595780133e-14,"ATP5MC3"
1.71567929318254e-18,0.707321316983025,0.891,0.506,2.83859139057051e-14,"UQCR11"
1.89642640321627e-18,1.49729781911926,0.838,0.494,3.13763748412132e-14,"WFDC2"
2.36654797939826e-18,0.593355826914526,0.885,0.518,3.91545363191442e-14,"ATP5PF"
2.63876800121123e-18,-3.77466961106669,0.041,0.447,4.36584165800398e-14,"RPS4Y1"
4.91030048428311e-18,0.589767105572757,0.838,0.494,8.1240921512464e-14,"ELOB"
6.67769206764182e-18,-2.35849543182823,0.186,0.659,1.10482415259134e-13,"TNFRSF12A"
1.07713832442281e-17,0.674104976911685,0.822,0.471,1.78212535775754e-13,"ATP5PO"
1.47462697886397e-17,0.893033418042581,0.801,0.447,2.43977033653044e-13,"SELENOP"
6.21879385269474e-17,0.436737395663408,0.814,0.506,1.02889944292835e-12,"ATP5PD"
7.47531749365623e-17,0.821748263698618,0.879,0.494,1.23679127932542e-12,"ATP5F1D"
1.08994231048323e-16,1.41875829084479,0.635,0.294,1.80330955269451e-12,"SELENOT"
1.64283126472405e-16,-4.484369871133,0.012,0.318,2.71806432748595e-12,"EIF1AY"
1.97430854916295e-16,-0.895478744779234,0.686,0.953,3.26649349459011e-12,"HSPA1A"
