"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
3.70940869027925e-87,-1.99979007567262,0.424,0.967,6.13721667806702e-83,"IER3"
3.05097400982737e-70,-3.65126857875549,0.089,0.806,5.04783649925939e-66,"NR4A1"
3.0790774789728e-65,-0.903649213935517,0.723,0.99,5.09433368896049e-61,"JUND"
5.10255686867841e-60,-1.82185981971926,0.374,0.862,8.44218033922842e-56,"TNFRSF12A"
1.23544310366255e-55,-0.521032185101555,0.929,0.992,2.04404061500969e-51,"ACTG1"
3.1234485910421e-48,-2.75472175597536,0.157,0.749,5.16774569387916e-44,"SERTAD1"
2.03428751913358e-44,-0.328201135202888,0.945,0.995,3.36572870040651e-40,"ACTB"
3.23116094981736e-40,-1.89157797351501,0.301,0.785,5.34595579147282e-36,"ARG2"
2.7667899916475e-39,-2.58635286959437,0.154,0.668,4.57765404118079e-35,"SGK1"
7.08546392999367e-38,-2.33879263157363,0.17,0.716,1.17229000721745e-33,"PTP4A1"
2.3031254471273e-35,-0.883281839903312,0.707,0.946,3.81052105227212e-31,"KRT18"
3.044966791472e-34,-4.39879129375121,0.018,0.44,5.03789755649042e-30,"NAB2"
5.35353435000015e-34,-1.58966716182995,0.312,0.816,8.85742258207526e-30,"CSRP1"
3.09683556661375e-33,-2.11620777446526,0.191,0.698,5.12371444496245e-29,"CREM"
2.587300398642e-32,-9.07634172758158,0,0.338,4.28068850955318e-28,"NR4A3"
2.49221320617457e-31,-2.48616413961748,0.141,0.639,4.12336674961582e-27,"PDK4"
5.88624424047629e-31,-1.7187478771928,0.254,0.772,9.73879109586802e-27,"RASD1"
9.9652656677377e-31,-1.60806511427929,0.356,0.749,1.6487532047272e-26,"CDK2AP2"
3.93175867615719e-30,-4.345871260046,0.016,0.435,6.50509472970207e-26,"MAFF"
6.31184759443333e-30,-1.09533049431773,0.547,0.867,1.04429518449899e-25,"KRT8"
7.00943387870896e-30,-5.30349983386405,0.008,0.368,1.1597108352324e-25,"LDLR"
9.39986672995208e-30,-0.266679205080506,0.94,0.992,1.55520795047057e-25,"EIF1"
1.70926567556125e-29,-2.08872367157216,0.191,0.619,2.82798006021609e-25,"HES4"
2.20179668897311e-29,-2.16234639779686,0.165,0.655,3.64287262190602e-25,"IDI1"
6.01629785244787e-29,-0.327413284369212,0.885,0.987,9.953964796875e-25,"CYSTM1"
6.1573450403618e-29,1.47255800130401,0.691,0.488,1.01873273692786e-24,"CD74"
3.51901182623989e-28,-3.30096342340081,0.065,0.463,5.8222050665139e-24,"PHLDA2"
4.40872305794397e-28,-5.81496949734979,0.01,0.361,7.2942322993683e-24,"HBEGF"
3.05055240338258e-27,-1.22192710619933,0.437,0.826,5.04713895139648e-23,"ZFP36L2"
