"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
6.98411336711955e-143,-2.11162989420647,0.377,0.911,1.15552155658993e-138,"ZFAND5"
7.5640714082147e-113,-3.39514671822862,0.147,0.801,1.25147561448912e-108,"PDK4"
6.91941321000573e-110,-1.94544424944076,0.367,0.901,1.14481691559545e-105,"CEBPD"
2.32346593838621e-107,-4.88222994676123,0.042,0.662,3.84417439505998e-103,"NR4A1"
5.17233443080048e-98,-2.5383120725218,0.19,0.831,8.5576273157594e-94,"USP2"
4.795198202841e-83,-3.34699992266493,0.112,0.669,7.93365542660043e-79,"EGR1"
1.78609411271196e-78,-4.89087157913793,0.029,0.52,2.95509270948194e-74,"ATF3"
2.9477876871716e-75,-3.00871143079172,0.137,0.675,4.87711472842542e-71,"ZFP36"
3.81714696942509e-75,-2.9953257601408,0.144,0.672,6.31546966091381e-71,"KLF6"
6.16031255425006e-75,-1.08157484984667,0.634,0.894,1.01922371210067e-70,"JUND"
1.3201746821909e-70,-3.80957484425181,0.074,0.57,2.18422901168485e-66,"BTG2"
2.06978554280433e-69,-2.31470318427313,0.248,0.745,3.42446018056977e-65,"JUN"
3.48930010398247e-59,-2.23198062920777,0.203,0.715,5.77304702203899e-55,"NFKBIA"
1.10355631410424e-55,9.45309850789327,0.333,0,1.82583392168546e-51,"MICOS10"
2.10631865008725e-55,-2.90507386152676,0.108,0.596,3.48490420656935e-51,"FKBP5"
2.54216859796511e-54,9.09916185323239,0.317,0,4.20601794533327e-50,"MICOS13"
1.20519560535912e-53,-2.04283152761981,0.196,0.699,1.99399612906667e-49,"KLF9"
3.95728855273708e-53,3.96237891424931,0.395,0.066,6.5473339105035e-49,"RNASEK"
1.0144588833906e-52,9.09990119423003,0.317,0,1.67842222256974e-48,"TLE5"
2.081895155876e-52,3.52365513712205,0.402,0.093,3.44449553539684e-48,"NME2"
3.14746325988424e-50,8.78562488847827,0.285,0,5.20747796347847e-46,"TOMM6"
6.66403211865699e-50,-2.07575503518966,0.242,0.709,1.1025641140318e-45,"JUNB"
7.2354667233941e-50,1.31107553334863,0.873,0.646,1.19710796938555e-45,"WFDC2"
6.83185326724512e-48,4.43006222839042,0.363,0.036,1.13033012306571e-43,"ATP6V0C"
8.40152909745944e-48,-3.64154365001515,0.041,0.44,1.39003298917466e-43,"CDKN1A"
8.74953198769397e-48,-1.64971638792983,0.361,0.768,1.44761006736397e-43,"IER2"
2.22786409335543e-47,-3.32317998831052,0.051,0.447,3.68600114245656e-43,"TIPARP"
5.84497360830586e-47,-0.416185532206899,0.924,0.983,9.67050883494204e-43,"ACTB"
8.87591795301891e-47,-0.48148739644649,0.898,0.983,1.46852062532698e-42,"ACTG1"
3.8675623246284e-46,8.47731027557695,0.264,0,6.3988818660977e-42,"SEPTIN2"
9.22460348548448e-46,-3.31308103890176,0.073,0.45,1.52621064667341e-41,"FOSB"
6.99532108570727e-45,3.64213536596822,0.35,0.07,1.15737587363027e-40,"EEF1G"
1.9419955452186e-44,8.42287181686894,0.245,0,3.21303162956418e-40,"PRXL2A"
4.02870364527306e-44,5.13737418980487,0.309,0.017,6.66549018110427e-40,"MRPS24"
2.1209989240203e-43,-2.06663778083819,0.238,0.642,3.50919271979158e-39,"FOS"
2.2561811773655e-43,-3.23104117535967,0.053,0.434,3.73285175795123e-39,"CSRNP1"
1.06850022900105e-42,-0.574386475773307,0.796,0.954,1.76783362888224e-38,"UBC"
4.66483662875414e-42,-3.50054301124474,0.041,0.424,7.71797220227373e-38,"RPS4Y1"
3.62835465567909e-41,-1.45726726013076,0.329,0.712,6.00311277782105e-37,"GADD45A"
3.78175364703155e-41,-0.365288835175444,0.908,0.974,6.25691140901371e-37,"CKB"
1.215473069163e-39,8.16647370039331,0.217,0,2.01100019293018e-35,"CIAO2B"
1.96630388382767e-39,-3.00385423989157,0.067,0.447,3.25324977579289e-35,"PER1"
7.94981554365876e-39,8.03247867330151,0.211,0,1.31529698169834e-34,"RBIS"
1.02686424259885e-38,-2.02070760042914,0.19,0.576,1.6989468893798e-34,"MCL1"
2.92376335781873e-37,-1.78166257303999,0.242,0.669,4.83736647551109e-33,"DUSP1"
3.29717181600854e-37,-1.97874263822926,0.229,0.606,5.45517076958614e-33,"GADD45B"
1.4062191582931e-36,-1.69329790022003,0.224,0.616,2.32658959739594e-32,"TSC22D3"
