"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
3.92183028060003e-57,-1.38047227630853,0.591,0.975,6.48866819925275e-53,"MT2A"
2.51686853491203e-54,-5.15365793992515,0.026,0.75,4.16415899101195e-50,"HLA-DRB5"
1.27249117010277e-52,-2.61212180456316,0.228,0.883,2.10533664093503e-48,"CEBPB"
3.95641402672968e-42,-2.65966935943147,0.171,0.816,6.54588700722425e-38,"FKBP5"
1.48233995063219e-39,-2.43323760954805,0.207,0.81,2.45253144832096e-35,"MT1M"
1.91894826564852e-35,-1.59824800982611,0.409,0.918,3.17489990551548e-31,"MT1E"
1.21081632204386e-30,-2.59374855671224,0.181,0.772,2.00329560482157e-26,"CEBPD"
5.51282073491013e-29,-5.37185305067111,0.016,0.465,9.12096190590881e-25,"APOLD1"
4.73095071231039e-26,-1.64669297574817,0.306,0.848,7.82735795351754e-22,"TSC22D3"
4.76626947532517e-25,-2.13218432580103,0.145,0.706,7.88579284692549e-21,"ARRDC2"
7.78181059045738e-23,-2.16746287913672,0.181,0.668,1.28750056219117e-18,"DDIT4"
4.00858520171975e-21,-2.73508182353099,0.083,0.541,6.63220421624532e-17,"CSRNP1"
2.47892051353169e-20,-2.24199494443909,0.14,0.5,4.10137398963818e-16,"CAVIN2"
1.8474163701843e-19,-6.47280372719418,0.005,0.215,3.05655038446992e-15,"RPS4Y1"
1.51099228679428e-18,0.878077162919773,0.808,0.728,2.49993673850113e-14,"SOX18"
9.16689162684413e-17,1.60420781496046,0.611,0.329,1.51666221966136e-12,"LPAR6"
6.59343356929993e-16,8.64426555386749,0.166,0,1.09088358404067e-11,"TLE5"
2.76724775145566e-15,1.17668813560642,0.668,0.506,4.57841140478339e-11,"EFNB2"
8.07216739193298e-15,-2.2023818935222,0.119,0.513,1.33554009499531e-10,"ITPRIP"
3.29823665722561e-14,-0.645392029503117,0.606,0.93,5.45693254937978e-10,"TMEM204"
3.77728817506253e-14,-1.65635328517265,0.187,0.623,6.24952328564095e-10,"NEDD9"
1.1941731394087e-13,-1.49446686631066,0.14,0.532,1.97575945915169e-09,"ANKS1A"
1.51226926676763e-13,-1.77736856828223,0.218,0.623,2.50204950186705e-09,"MT1X"
1.68203999959748e-13,-1.19891976832946,0.378,0.801,2.78293517933403e-09,"KLF9"
2.74396901539781e-13,-1.18453968494074,0.42,0.835,4.53989673597567e-09,"TSC22D1"
4.0864027938565e-13,-3.78854082784771,0.021,0.291,6.76095342243558e-09,"SOCS1"
5.54250532412183e-13,8.08152636276124,0.14,0,9.17007505875957e-09,"MICOS10"
9.26950304731691e-13,1.66530215497633,0.415,0.234,1.53363927917858e-08,"ZNF503"
1.40865909986512e-12,8.20367762121721,0.124,0,2.33062648072685e-08,"SEPTIN7"
2.03403376691795e-12,7.87091515513641,0.119,0,3.36530886736575e-08,"RO60"
2.93229724280577e-12,-3.59360459338239,0.021,0.301,4.85148578822215e-08,"F2RL3"
4.66579049195083e-12,7.93799315219538,0.119,0,7.71955036893265e-08,"SEPTIN2"
2.78601635573524e-11,7.46970577127506,0.109,0,4.60946406056395e-07,"TOMM6"
6.15702883985893e-11,-1.76506825562255,0.109,0.446,1.01868042155466e-06,"GFOD1"
9.31913413377067e-11,-1.78178182511566,0.155,0.532,1.54185074243236e-06,"RNF115"
1.16203630000511e-10,-1.45788393346354,0.197,0.566,1.92258905835846e-06,"GAS2L1"
1.47447080972794e-10,0.459992203208781,0.819,0.861,2.43951195469487e-06,"KDR"
1.84800777684959e-10,-1.11896271250292,0.342,0.763,3.05752886679764e-06,"PDK4"
2.59757395012655e-10,-1.30680253637616,0.176,0.506,4.29768610048438e-06,"FAM107A"
2.99353445482592e-10,0.902471099706212,0.622,0.494,4.95280275550948e-06,"ZFP36L1"
1.18002696523334e-09,0.735084519765599,0.72,0.677,1.95235461397857e-05,"HNRNPH1"
1.55832248588982e-09,-1.72111227680208,0.135,0.449,2.57824455290471e-05,"ZBTB16"
2.7935458497243e-09,3.39673009373985,0.155,0.028,4.62192160836886e-05,"NME2"
2.84449042713207e-09,0.875833910070941,0.627,0.57,4.70620941169002e-05,"GJA5"
3.17913746872201e-09,-0.502318353387862,0.575,0.864,5.25988294200057e-05,"HYAL2"
4.66958205963068e-09,-1.2607063314882,0.275,0.639,7.72582351765897e-05,"SPRY1"
5.39370402067598e-09,1.22357093578693,0.358,0.275,8.92388330220841e-05,"RPL17"
5.58138672124164e-09,5.37532583878621,0.114,0.003,9.23440433029429e-05,"MRPS24"
7.55761814300036e-09,-2.00387838722244,0.073,0.345,0.000125040792175941,"PER1"
1.30121210735581e-08,0.595152032636277,0.798,0.759,0.000215285543162019,"DDX17"
1.44450173685751e-08,0.656277066062839,0.611,0.592,0.000238992812363075,"TBX3"
1.93493825851461e-08,-0.753376180567583,0.461,0.816,0.000320135534871242,"NFKBIA"
2.02365617049736e-08,0.481534371749762,0.964,0.946,0.000334813913408789,"EGFL7"
2.60891913166588e-08,-1.60728940369499,0.104,0.392,0.000431645670334121,"RARB"
2.77523157940965e-08,4.17193619677176,0.135,0.016,0.000459162064813326,"TRAPPC5"
2.9675853094579e-08,0.659556559533833,0.725,0.684,0.00049098698944981,"TNFSF10"
2.99965006982728e-08,-4.52934408609159,0.016,0.225,0.000496292104052923,"TMEM64"
3.54800965437192e-08,1.70931199295447,0.332,0.177,0.000587018197315835,"ADAMTS1"
4.40586213709054e-08,-1.50207179347317,0.119,0.421,0.000728949890581629,"INPP1"
4.44226758725982e-08,3.14636743031958,0.171,0.032,0.000734973172312137,"EEF1G"
4.52469061698229e-08,-1.4036404881953,0.15,0.427,0.00074861006257972,"PRKCA"
8.03582191130315e-08,0.220700442437389,0.979,1,0.00132952673522511,"MT-ND4"
9.77229428178807e-08,1.36363256322613,0.42,0.263,0.00161682608892184,"GIMAP5"
1.10541705057161e-07,2.57929354273262,0.187,0.06,0.00182891251017073,"RNASEK"
1.26946175092081e-07,-1.34232216468722,0.15,0.411,0.00210032446689847,"CRYAB"
1.86740085335109e-07,3.66208174785443,0.119,0.013,0.00308961471186938,"ATP6V0C"
2.33460704605231e-07,0.421662986119715,0.627,0.709,0.00386260735769355,"PSAP"
2.46249559623367e-07,-1.16412611129837,0.223,0.563,0.00407419896396861,"TPM1"
3.52346863484612e-07,-2.36706070163477,0.067,0.32,0.00582957885635291,"MGAT4A"
4.27195168683376e-07,-1.89111444798132,0.13,0.396,0.00706794406586645,"KLF4"
5.22722207457571e-07,-0.986296641434093,0.202,0.427,0.0086484389223855,"UQCR11"
5.34784136958253e-07,-0.728849771870402,0.332,0.544,0.0088480035459743,"ADGRF5"
5.50696215616938e-07,-1.18854763383512,0.083,0.301,0.00911126888738223,"C2orf88"
5.88470557507309e-07,-2.26217116894427,0.016,0.187,0.00973624537395843,"CD69"
6.2879473937749e-07,0.950963114529366,0.42,0.358,0.0104034089630006,"EIF4A1"
6.3885293617029e-07,2.64879641363747,0.109,0.019,0.0105698218289374,"FGF1"
7.14037966054865e-07,-3.79665252152216,0.026,0.215,0.0118137581483777,"CNKSR3"
7.19397771794409e-07,-1.15140926494717,0.233,0.566,0.0119024361343385,"CKB"
7.63176890995585e-07,-6.57240172623072,0,0.117,0.012626761661522,"BTLA"
9.34714055772881e-07,0.362789794329754,0.705,0.747,0.0154648440527623,"ARGLU1"
9.87162150655727e-07,0.877118602320906,0.394,0.326,0.016332597782599,"SLC40A1"
1.32890672719664e-06,-3.4770496911502,0.016,0.158,0.0219867618014684,"RIPOR2"
1.58887289995023e-06,-0.135273182456832,0.927,0.994,0.0262879021296766,"TPT1"
1.6663138959875e-06,-1.70535144626433,0.14,0.411,0.0275691634091132,"NUDT16"
1.72101198715265e-06,-1.15058781594659,0.187,0.484,0.0284741433274406,"CDC42EP4"
1.75684402077939e-06,-1.63028594836797,0.098,0.358,0.029066984323795,"PRDM1"
2.39001023596065e-06,-0.733143733057722,0.316,0.525,0.0395427193539689,"ATP5F1E"
2.50837169159238e-06,-0.777015654170905,0.306,0.491,0.0415010096373959,"RACK1"
2.72237977540172e-06,-1.33736806237894,0.223,0.547,0.0450417733840215,"NUCB2"
2.99893848914722e-06,-1.59949676258152,0.135,0.345,0.0496174373029408,"NOP53"
3.00425510298573e-06,0.553433113049285,0.383,0.335,0.0497054006788989,"IGFBP7"
3.34736136642343e-06,-0.863209004569562,0.264,0.579,0.0553820938074756,"FZD4"
3.87444342102399e-06,-1.45133915991038,0.073,0.31,0.064102666400842,"BAIAP2"
3.88184690832293e-06,-2.16760749503621,0.041,0.18,0.0642251570982028,"EDNRB"
3.98537649805294e-06,-0.945837625884536,0.311,0.636,0.0659380541602858,"CALCOCO2"
4.20646601472572e-06,-0.49341676481359,0.622,0.896,0.0695959802136371,"CNN3"
4.69416372867373e-06,-1.07171321999381,0.254,0.563,0.0776649388909068,"TPRKB"
4.7035920865527e-06,-0.385754980128111,0.378,0.56,0.0778209310720144,"PLPP1"
5.14197447345974e-06,1.3154874886329,0.425,0.247,0.0850739676633914,"PLEKHO1"
5.3398097930277e-06,0.523344821185981,0.549,0.56,0.0883471530256434,"PCBP1"
5.34931243332486e-06,1.13687874910646,0.456,0.326,0.0885043742093599,"SERPINH1"
5.4671336034647e-06,0.275984501864792,0.907,0.984,0.0904537254693235,"HLA-DRB1"
5.55984135796611e-06,-2.04611341308219,0.036,0.196,0.0919875752675493,"IL18R1"
5.60475966172629e-06,0.60150132810871,0.544,0.522,0.0927307486032615,"SRSF3"
5.78430251496963e-06,-0.497128653474072,0.44,0.759,0.0957012851101725,"MT-ATP8"
6.35561346332425e-06,-0.792107734060896,0.311,0.63,0.1051536247507,"NAA38"
7.14516337775161e-06,0.642301363779644,0.575,0.544,0.1182167280849,"CTNNB1"
7.4261571597341e-06,-3.37110322198135,0.026,0.199,0.122865770207801,"CDKN1A"
