"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
2.10427368668225e-18,-0.65234607347154,0.86,0.986,3.48152081461578e-14,"JUND"
1.61160135936892e-17,-1.83942613360583,0.364,0.826,2.66639444907589e-13,"ARG2"
7.37394012123878e-16,-0.902150841375719,0.715,0.913,1.22001839305896e-11,"CEBPD"
3.54633206026343e-14,-2.40759999247272,0.22,0.725,5.86740639370584e-10,"KLF6"
3.56260626423805e-13,-2.75708855744584,0.145,0.609,5.89433206418186e-09,"NR4A1"
1.27355834538165e-12,-0.395085026831918,0.953,1,2.10710228243394e-08,"KRT7"
1.00044864714867e-11,-0.643570860404313,0.79,0.986,1.65524228670747e-07,"KRT8"
1.78087041405511e-11,-2.37031746836635,0.182,0.638,2.94645010005417e-07,"SERTAD1"
2.41065962581729e-11,-0.224036143995842,1,1,3.9884363509147e-07,"CD9"
3.24290155272822e-11,-2.45776445231042,0.168,0.58,5.36538061898884e-07,"ATF3"
3.55029959909038e-11,-0.27316404128112,0.991,1,5.87397068669503e-07,"ACTB"
3.55374226686784e-11,7.58038660640234,0.336,0,5.87966658053284e-07,"MICOS10"
4.29050671469696e-11,1.60496250549098,0.509,0.217,7.09864335946612e-07,"MAN1A1"
4.85023336373135e-11,-0.547140406121782,0.827,0.986,8.02471110029353e-07,"TSPAN8"
6.81628086960209e-11,-0.625161122099315,0.808,0.971,1.12775366987567e-06,"CYCS"
9.19273276872261e-11,6.91322872840223,0.304,0,1.52093763658516e-06,"MICOS13"
2.17409140512314e-10,-4.25766084232239,0.023,0.348,3.59703422977624e-06,"IRS1"
2.19403266829793e-10,-0.495044624694471,0.879,1,3.63002704969893e-06,"SAT1"
5.28440543467515e-10,-0.627122348477247,0.78,0.971,8.74304879167004e-06,"ANXA4"
5.29056459735703e-10,4.11145880032954,0.304,0.029,8.7532391263272e-06,"CFI"
5.82763571570011e-10,6.67355014507637,0.285,0,9.64182329162583e-06,"TOMM6"
6.8277848065673e-10,-0.501530717127602,0.864,0.971,1.12965699624656e-05,"KRT18"
7.98472169919407e-10,6.89670271728988,0.285,0,1.32107220513166e-05,"PLAAT4"
1.03633726888816e-09,-0.288819812207862,0.963,1,1.71462001137547e-05,"RPL37A"
1.99081484689268e-09,-2.34034571149439,0.15,0.58,3.29380316418394e-05,"PTP4A1"
2.01644370744219e-09,-1.27112697890847,0.416,0.739,3.3362061139631e-05,"GADD45A"
2.04271243184056e-09,0.614796083947036,0.949,0.87,3.3796677184802e-05,"HSD11B2"
2.20566969342957e-09,1.01701545568337,0.575,0.362,3.64928050777922e-05,"WNK1"
2.3763158402797e-09,6.41447849237661,0.271,0,3.93161455774276e-05,"CIAO2B"
3.8577761513845e-09,1.32026601230418,0.537,0.261,6.38269064246566e-05,"CD24"
5.89885914079006e-09,-1.65007463818986,0.28,0.507,9.75966244843716e-05,"TNFRSF12A"
7.01119158672498e-09,6.33955460259022,0.234,0,0.000116000164802365,"TLE5"
8.50734778967136e-09,3.4957845533679,0.393,0.072,0.000140754069180113,"EEF1G"
1.09554841676158e-08,3.04551918608911,0.397,0.116,0.000181258485553203,"NME2"
1.24029710359204e-08,-0.199948270291089,1,1,0.000205207155789303,"TPT1"
1.25807263300916e-08,0.0664788283761784,0.664,0.507,0.000208148117131366,"ATP5ME"
