"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
2.1825961569986e-26,-3.82082283025236,0.072,0.957,3.61110534175419e-22,"CXCR4"
1.84914408796512e-22,-2.09064306673305,0.359,0.957,3.0594088935383e-18,"CEBPD"
1.5602774008873e-18,-3.84882677034359,0.094,0.783,2.58147895976804e-14,"HLA-DRB5"
4.63819667376806e-14,-1.35624419958359,0.448,0.957,7.67389639674925e-10,"SMAP2"
7.22285427672755e-14,-1.08980684304532,0.586,0.935,1.19502124008457e-09,"BTG1"
8.73661914464365e-14,-3.07748282845269,0.105,0.761,1.44547363748129e-09,"FKBP5"
3.99429597696755e-12,-2.74701706727536,0.11,0.696,6.60856269389281e-08,"PHC2"
6.56038076751654e-12,-8.74587212578941,0,0.348,1.08541499798561e-07,"CLEC4E"
2.00804067901797e-11,-1.72281033634254,0.287,0.913,3.32230330343523e-07,"NUDT16"
1.07646611005831e-10,-3.97652212358446,0.028,0.522,1.78101317909148e-06,"DDIT4"
1.21573062293954e-10,-0.766013415398902,0.696,0.957,2.01142631565347e-06,"TSC22D3"
5.28003629829029e-09,1.12085876486537,0.84,0.413,8.73582005552129e-05,"ATP5F1E"
6.71898474593633e-09,-1.20305965257175,0.398,0.87,0.000111165602621517,"STK17B"
7.85423748307746e-09,-2.04724571120637,0.16,0.696,0.000129948359157517,"ETS2"
1.14927791029245e-08,-6.02390131356719,0.006,0.326,0.000190148030257885,"ZBTB16"
1.00413704964344e-07,1.06294931111508,0.79,0.413,0.00166134474863507,"ATP5MG"
1.19691467913419e-07,1.10081286195622,0.79,0.413,0.00198029533662751,"RACK1"
1.39384990323098e-07,-5.00482185564012,0.006,0.304,0.00230612466489566,"PKP2"
1.66821669297625e-07,-0.544308299063677,0.801,1,0.0027600645185292,"SRGN"
3.0292075140519e-07,-0.792218053014819,0.652,0.935,0.00501182383199886,"MT2A"
5.48158621626843e-07,-1.49711089280708,0.282,0.761,0.00906928439481612,"GLUL"
5.94225146250134e-07,-1.22641740695339,0.398,0.826,0.00983145504470846,"CELF2"
1.94180644761764e-06,-1.78478867910731,0.204,0.674,0.0321271876758339,"ARL4A"
2.17860535141223e-06,0.948897722530094,0.757,0.413,0.0360450255391154,"ELOB"
3.36232276635266e-06,1.03895308990164,0.751,0.413,0.0556296301693047,"ATP5MC2"
3.71759591250171e-06,1.92499016789742,0.403,0.152,0.0615076243723408,"SELENOW"
5.10053444723349e-06,0.826579279708216,0.624,0.37,0.0843883424294782,"ATP5MF"
5.25332827774725e-06,-0.32852114569741,0.884,0.978,0.0869163163553283,"DUSP1"
1.41956118017742e-05,-1.86284666674084,0.105,0.435,0.234866397260354,"GPX1"
1.6821903167095e-05,1.42597109259823,0.403,0.174,0.278318387899587,"ATP5F1C"
1.6932434036173e-05,1.22001578729971,0.514,0.261,0.280147121128483,"FYB1"
1.84957718068988e-05,-1.35604271842193,0.16,0.522,0.30601254454514,"SLC31A2"
1.98881253970567e-05,0.625855245232224,0.779,0.63,0.329049034694303,"DYNLL1"
2.32311704162997e-05,0.620152515736087,0.569,0.348,0.384359714537679,"ATP5ME"
2.52760559658605e-05,1.17866296648416,0.63,0.326,0.418192345955163,"ATP5F1D"
2.82736024332557e-05,1.83406110155382,0.481,0.217,0.467786752258216,"COPS9"
2.87431565824135e-05,0.744444351795162,0.63,0.391,0.475555525656032,"UQCR11"
2.95147991645699e-05,-1.04206867512915,0.331,0.761,0.48832235217781,"IRAK3"
3.25593620663406e-05,-7.22590559147508,0,0.174,0.538694645387606,"RPGR"
3.28401176755732e-05,-0.911161143886222,0.481,0.913,0.543339746942359,"IFNGR1"
3.320925735929e-05,-2.30870649524693,0.05,0.348,0.549447163009453,"SH3TC1"
4.22621653803536e-05,-2.53424390024693,0.055,0.37,0.699227526217949,"U2AF1"
4.84090931557226e-05,1.19849553438297,0.514,0.283,0.800928446261431,"ATP5PF"
5.62126156387202e-05,-1.35347407308888,0.265,0.63,0.930037725742625,"HERPUD1"
6.29001502339943e-05,-2.91983391704483,0.05,0.391,1,"SAP30"
6.39941278339359e-05,1.44062700681046,0.403,0.196,1,"NDUFB8"
6.5655466675583e-05,-1.82940932606383,0.149,0.522,1,"HMGB2"
7.26808954178272e-05,5.21144712056192,0.133,0,1,"CD180"
7.62362799340007e-05,5.17394640763295,0.138,0,1,"NBPF19"
7.8150654633199e-05,-1.66618501660117,0.116,0.435,1,"SPTLC2"
7.82469937367642e-05,5.96979238545861,0.16,0,1,"RETN"
8.37994481595144e-05,-1.6271946554397,0.193,0.587,1,"KCTD12"
9.14546310183424e-05,-2.00221296879086,0.105,0.457,1,"INSR"
9.57565822635977e-05,6.05728999351963,0.177,0,1,"MICOS10"
9.90195322522789e-05,3.60655739856035,0.221,0.022,1,"TNF"
0.000104238488760422,-1.91920465573491,0.099,0.435,1,"WBP1L"
0.000107752279771461,5.80862935305266,0.166,0,1,"CEACAM3"
0.000112436269166174,1.4726535213116,0.519,0.239,1,"ADGRE5"
0.000150865195685362,0.843137384784228,0.453,0.304,1,"IGSF6"
0.000177995776269892,1.31068611296491,0.398,0.239,1,"JUN"
0.000178109531815642,1.38384835129855,0.425,0.217,1,"STMP1"
0.000188607639317215,-0.378570959612623,0.785,0.957,1,"LAPTM5"
0.000260855983171994,-0.763642498492797,0.365,0.717,1,"SEC14L1"
0.000261939498853711,-1.32908106261189,0.232,0.565,1,"ALDOA"
0.000268911508804166,-0.34202114093058,0.84,0.957,1,"UBC"
0.000281005878408296,-3.62736723652144,0.022,0.239,1,"IRS2"
0.000281615560977051,0.503054419731441,0.586,0.478,1,"MARCKS"
0.000289976936854386,-1.10955757444766,0.282,0.652,1,"RNF144B"
0.000297527215221458,-1.25582710419786,0.276,0.63,1,"SLA"
0.000329683355390542,-0.688488561252546,0.481,0.804,1,"CYTIP"
0.000358292751706231,5.79985802702985,0.149,0,1,"TOMM6"
0.000361567442062468,0.766710825659678,0.547,0.348,1,"TMBIM4"
0.000387119563709986,-1.54284426502292,0.171,0.565,1,"FPR1"
0.000414685062689973,4.9196432413087,0.11,0,1,"TRIM13"
0.000431747431926528,-2.10063753051475,0.133,0.5,1,"LITAF"
0.000433012994267527,0.652247830522493,0.79,0.63,1,"DUSP6"
0.000500121109537608,1.60319556671059,0.459,0.196,1,"RSRP1"
0.000506374760380308,1.24612056161647,0.47,0.261,1,"ATP5F1B"
0.000572933863453644,3.03236402863419,0.271,0.043,1,"EHD1"
0.000576375618370144,-1.72266485191505,0.066,0.304,1,"PAPSS1"
0.000602873328594892,-1.73215968679623,0.061,0.261,1,"BASP1"
0.000648414868443778,5.11209209592633,0.116,0,1,"GNL3L"
0.000675652649083686,5.75120736932391,0.122,0,1,"SPP1"
0.000686452616608574,1.20799150847676,0.21,0.065,1,"TMED2"
0.00069718362147523,-4.53260015200524,0.017,0.196,1,"THBS1"
0.000704152925349751,0.938415660680111,0.425,0.239,1,"NOP53"
0.000769670374656743,1.05457820049824,0.497,0.304,1,"TRIR"
