"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
6.30899363084675e-100,-1.89536296499449,0.444,0.931,1.04382299622359e-95,"IER3"
2.21951753677538e-98,-1.51937374943819,0.52,0.887,3.67219176459487e-94,"ATP1B3"
2.07666256532064e-86,-4.21545483537845,0.061,0.706,3.43583821432299e-82,"NR4A1"
1.02940394585383e-79,-2.10833884845792,0.306,0.812,1.70314882841517e-75,"CREM"
1.43688316131511e-67,-0.752513879907259,0.891,0.988,2.37732319039585e-63,"JUND"
1.3215800030823e-58,-2.29753968575208,0.226,0.756,2.18655411509967e-54,"RASD1"
1.35193468970525e-56,-1.81420474610647,0.356,0.938,2.23677594411733e-52,"FOS"
3.36348390183886e-52,-1.33963742619077,0.486,0.838,5.56488411559239e-48,"ARG2"
6.1124809842019e-51,-2.16554680524374,0.243,0.806,1.0113099788362e-46,"DUSP1"
3.95904371556294e-50,-1.07276386491866,0.61,0.9,6.55023782739889e-46,"SMIM5"
7.95216257686944e-50,-2.52294361908163,0.153,0.675,1.31568529834305e-45,"DUSP6"
2.68987357043844e-49,-3.32009591097309,0.084,0.55,4.4503958222904e-45,"ZNF331"
2.37029948756946e-48,-1.78296354208999,0.327,0.775,3.92166050218367e-44,"GDF15"
3.56984374453719e-47,-5.42132957180837,0.012,0.4,5.90630647533678e-43,"HBEGF"
1.39793139985655e-46,-1.02188797601918,0.605,0.881,2.31287750106266e-42,"PNP"
7.90915412179114e-45,-2.08398306022059,0.258,0.769,1.30856954945034e-40,"ZFP36"
1.01661266660376e-44,-1.4828117817292,0.48,0.944,1.68198565689592e-40,"IER2"
4.38328526045109e-42,-1.99902521480665,0.228,0.694,7.25214546341633e-38,"PTP4A1"
5.34073672878927e-42,-1.21790318383448,0.433,0.675,8.83624891778184e-38,"RCAN1"
8.50757740629062e-42,-1.54674674852089,0.417,0.881,1.40757868187078e-37,"JUNB"
1.45471945043581e-41,-7.73690658671098,0.001,0.294,2.40683333074605e-37,"NR4A3"
4.22031487050571e-39,-1.97864797143271,0.192,0.594,6.98251095325169e-35,"PIM3"
9.46716659397618e-36,-1.67599574319945,0.338,0.806,1.56634271297336e-31,"JUN"
9.67753012025895e-36,-4.54175308091234,0.015,0.331,1.60114735839684e-31,"NR4A2"
1.07627117384906e-35,-2.19180393679729,0.184,0.688,1.78069065713326e-31,"EGR1"
5.64403994699949e-35,-2.60273024524966,0.104,0.537,9.33806409231065e-31,"SLC45A4"
6.17231856188864e-35,-2.96378572886145,0.089,0.5,1.02121010606448e-30,"ATF3"
7.3522006162522e-35,-2.31617879555793,0.148,0.544,1.21642159195893e-30,"SERTAD1"
6.61287462455442e-33,-3.07685054913906,0.064,0.456,1.09410010663253e-28,"RGS2"
1.26050518778896e-32,-1.57874318539461,0.272,0.631,2.08550583319684e-28,"IDI1"
8.88559169195022e-32,-1.0403170416754,0.532,0.806,1.47012114543316e-27,"BTG2"
2.13732388659884e-31,-1.20290612777875,0.448,0.838,3.53620237037778e-27,"NR2F2"
1.28946945084663e-30,-2.28636499896893,0.145,0.519,2.13342720642576e-26,"PDK4"
2.66304216197406e-30,-0.452963565511057,0.916,0.975,4.40600325698608e-26,"CYSTM1"
4.05766289214135e-29,-3.02532127367501,0.059,0.4,6.71340325504786e-25,"GALNT9"
1.39477043281161e-28,-1.20869877507507,0.398,0.694,2.30764768108682e-24,"ZNF593"
3.36683358564459e-28,-4.09503906344414,0.017,0.294,5.57042616744898e-24,"MAFF"
5.13661017100906e-28,-0.952180665917929,0.583,0.812,8.49852152793449e-24,"CEBPD"
8.72087155601936e-28,-0.425624003331206,0.908,0.956,1.4428681989434e-23,"KRT18"
1.26057028625524e-27,-0.308939143145841,0.977,1,2.0856135386093e-23,"EIF1"
1.50769824033972e-27,-2.06791478019338,0.165,0.5,2.49448673864207e-23,"HES4"
1.99817158558303e-27,-1.35633016821901,0.323,0.631,3.30597488834712e-23,"CHGB"
1.86052373152301e-26,-1.68609507166736,0.199,0.556,3.07823651380482e-22,"MIDN"
4.52186320339104e-26,-1.21131671705978,0.365,0.731,7.48142267001047e-22,"FOSL2"
8.46334997452206e-26,-0.515435361327965,0.849,0.956,1.40026125328468e-21,"TSC22D1"
9.26942679125564e-26,-2.79892163135187,0.089,0.425,1.53362666261325e-21,"RPS4Y1"
2.1914859010733e-25,-0.932643078239295,0.625,0.85,3.62581342332577e-21,"HSPA1A"
5.87183298603309e-25,-0.963219340050801,0.459,0.688,9.71494767539174e-21,"CDK2AP2"
1.00671561233881e-24,-1.43097041772966,0.293,0.588,1.66561098061455e-20,"KLF6"
1.03601171923413e-24,-3.49451008383756,0.048,0.288,1.71408138947287e-20,"DUSP2"
3.13017105352023e-24,-0.406658548359426,0.913,0.969,5.17886800804923e-20,"SAT1"
5.60050782189277e-24,-0.381816161292511,0.783,0.781,9.26604019132158e-20,"ATP5ME"
7.37546457363143e-24,-3.0183442100152,0.051,0.375,1.22027061370732e-19,"PER1"
2.31328663697386e-23,-2.10671595296617,0.134,0.488,3.82733274087326e-19,"ST3GAL4"
2.47900758086648e-23,1.51889999000313,0.628,0.312,4.10151804254359e-19,"HLA-DRA"
1.25412968509241e-22,1.11358846970382,0.742,0.494,2.07495756398539e-18,"MAN1A1"
