"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
1.86338863707467e-157,-3.82572334592173,0.055,0.596,3.08297650004004e-153,"ERRFI1"
1.90279507893714e-131,-3.09802385910181,0.112,0.593,3.14817445810149e-127,"PDK4"
2.07052636152336e-93,-1.8095744775835,0.264,0.69,3.42568586514041e-89,"GADD45A"
7.63205938228976e-75,-2.59898684458684,0.085,0.448,1.26272422479984e-70,"TSC22D3"
1.66324037931333e-67,-3.73631434359184,0.031,0.305,2.7518312075739e-63,"TIPARP"
2.92866594003058e-64,1.06921834736231,0.836,0.609,4.8454777977806e-60,"TMSB10"
8.44052147546556e-61,-1.75689714081921,0.186,0.537,1.39648427811578e-56,"ZFAND5"
1.096643555735e-57,-1.27504201659992,0.397,0.746,1.81439676296355e-53,"DPEP1"
1.32126456828096e-55,-2.61972834749255,0.051,0.327,2.18603222822085e-51,"RPS4Y1"
6.27086472783934e-55,-0.676996085457309,0.717,0.966,1.03751456922102e-50,"GSTA1"
1.01723079440423e-54,1.41639009819283,0.66,0.326,1.6830083493418e-50,"IL32"
3.1448829923124e-53,-2.60623680647908,0.064,0.332,5.20320891078086e-49,"GADD45B"
7.07238093401232e-50,-2.11548818803568,0.115,0.412,1.17012542553234e-45,"FKBP5"
2.1740079376379e-45,-3.05346817735086,0.027,0.235,3.5968961328219e-41,"CISH"
2.07477131082596e-41,1.41556411257082,0.579,0.3,3.43270913376156e-37,"S100A11"
4.94067745176906e-40,1.73469672859356,0.385,0.141,8.17435084395191e-36,"CLU"
1.31502497933457e-39,-1.97190087496805,0.106,0.355,2.17570882830905e-35,"KLF6"
3.73283355976981e-39,-1.53183955811989,0.204,0.498,6.17597312463914e-35,"GGACT"
3.78023658258342e-39,-1.62826809873481,0.15,0.418,6.25440142588427e-35,"USP2"
1.90261689263274e-38,-2.89176160389309,0.044,0.254,3.14787964886087e-34,"DUSP1"
2.34369701680015e-37,2.83436689168752,0.321,0.07,3.87764671429585e-33,"TMSB4X"
3.05734456881743e-36,-1.74387643012194,0.126,0.366,5.05837658910843e-32,"SGK1"
1.51251976330054e-35,-4.72995639054855,0.007,0.144,2.50246394838075e-31,"RASD1"
1.84031716891252e-34,1.12686998398875,0.601,0.33,3.04480475596576e-30,"S100A1"
2.45629923296435e-34,0.413530999344899,0.936,0.867,4.06394708093951e-30,"MYL6"
4.33861043950123e-34,-1.45057109120137,0.205,0.454,7.17823097215478e-30,"RNF186"
4.47380026524246e-32,2.88959176708047,0.269,0.056,7.40190253884365e-28,"S100A6"
3.21568449484304e-31,9.53054466406851,0.121,0,5.32034999671781e-27,"MICOS10"
5.94986408502487e-31,0.522790371295143,0.899,0.772,9.84405012867365e-27,"CRYAB"
9.14598557829048e-31,-1.58542657630043,0.137,0.383,1.51320331392816e-26,"KLF9"
5.63556424491532e-30,-0.400878807999711,0.893,0.966,9.3240410432124e-26,"APOE"
1.16275956296662e-29,-2.16316916572808,0.068,0.261,1.92378569692828e-25,"ZFP36"
3.66590796133357e-29,-2.83607915981758,0.034,0.186,6.06524472202639e-25,"SOCS2"
1.24429755877959e-28,8.05620316521779,0.119,0.002,2.05869031100083e-24,"LIME1"
1.22455271169217e-27,2.48035326701606,0.251,0.058,2.02602246149469e-23,"IFITM3"
1.62075172514345e-26,9.13717344810815,0.103,0,2.68153372924984e-22,"TOMM6"
4.599500939197e-26,-0.547879767452813,0.704,0.856,7.60987430390143e-22,"UGT2B7"
6.02783428719916e-26,0.378140115386857,0.87,0.814,9.97305182817101e-22,"PPDPF"
2.46510651930259e-25,-0.583177832290309,0.593,0.853,4.07851873618613e-21,"GSTA2"
4.66568344731226e-25,-2.48269987774354,0.036,0.188,7.71937326357813e-21,"IL6R"
6.88060818584509e-25,1.33525003498485,0.387,0.202,1.13839662434807e-20,"CD74"
7.3250810353191e-25,3.44634153396688,0.141,0.019,1.21193465729354e-20,"RNASEK"
1.0016889726358e-24,1.72572581921269,0.252,0.081,1.65729440522593e-20,"ARRDC3"
1.11001204929493e-24,-1.71453973355209,0.097,0.28,1.83651493555846e-20,"NFKBIA"
4.33766030375059e-24,-0.280992059640791,0.887,0.987,7.17665897255535e-20,"MIOX"
4.98356498567281e-24,-0.794560440486225,0.456,0.674,8.24530826879566e-20,"SLC7A7"
8.42609597574794e-24,-1.96181932059649,0.076,0.247,1.3940975791875e-19,"RGS3"
3.47336120341339e-23,-0.737399503286195,0.52,0.751,5.74667611104745e-19,"ALB"
1.91761532142908e-22,3.84875523547564,0.148,0.014,3.17269454930442e-18,"CRIP2"
1.96609395878126e-22,0.524412439676455,0.689,0.607,3.25290245480359e-18,"B2M"
5.12794628614655e-22,-0.212690984696281,0.908,0.991,8.48418713042947e-18,"ALDOB"
5.58160185898363e-22,-0.400726897159565,0.752,0.928,9.23476027568842e-18,"HPD"
6.97216640289268e-22,3.51623046007661,0.154,0.019,1.15354493135859e-17,"WFDC2"
9.23553512041319e-22,-0.916788829040952,0.302,0.512,1.52801928567236e-17,"CEBPD"
2.60217751333993e-21,2.4006219139097,0.183,0.056,4.30530269582092e-17,"EEF1G"
2.77895183241263e-21,-2.91982452263678,0.019,0.138,4.59777580672669e-17,"PER1"
3.83860688310178e-21,0.767464382917768,0.56,0.376,6.3509750880919e-17,"NUPR1"
4.81033144190122e-21,1.58376051080369,0.274,0.116,7.95869337062558e-17,"HLA-DRA"
8.88762513376334e-21,-0.9441940967295,0.336,0.576,1.47045757838114e-16,"FAM151A"
1.6784024059502e-20,1.07540477693686,0.443,0.269,2.77691678064461e-16,"GABARAP"
3.62955746775649e-20,0.531765653276625,0.632,0.535,6.00510283040311e-16,"CALM2"
1.33650612833405e-19,-2.85589718148921,0.014,0.105,2.21124938932868e-15,"EIF1AY"
1.90594422308689e-19,1.65412990961483,0.243,0.102,3.15338471709726e-15,"HLA-B"
3.76070970806896e-19,1.29648089563184,0.262,0.133,6.22209421200009e-15,"HLA-DRB1"
1.0289847112165e-18,-0.348700272229523,0.807,0.928,1.7024552047077e-14,"ASS1"
1.21317895345246e-18,-2.50536712497989,0.025,0.136,2.0072045784871e-14,"EFNA1"
1.29769027225895e-18,0.815951409106177,0.526,0.321,2.14702855545242e-14,"S100A13"
2.33857034088078e-18,0.849936991870545,0.536,0.38,3.86916462898726e-14,"KRT8"
