"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
2.68928617062121e-104,-1.59601347853434,0.427,0.727,4.4494239692928e-100,"KLF6"
9.46879118476654e-100,-3.96877029340974,0.054,0.472,1.56661150151962e-95,"NR4A1"
1.39753599076224e-98,1.91423815610669,0.833,0.344,2.31222329671613e-94,"SPP1"
2.27854038403836e-85,-3.20848856865092,0.108,0.488,3.76984506539146e-81,"ATF3"
3.15421199121862e-78,-0.995551108187148,0.805,0.933,5.21864373947121e-74,"MYL12A"
7.83564501694518e-75,-1.72451375036199,0.322,0.678,1.29640746805358e-70,"DUSP1"
9.68064593762435e-75,-4.10531009158057,0.031,0.377,1.60166287037995e-70,"FKBP5"
2.63268608215931e-71,-0.756512833161215,0.882,0.975,4.35577912293257e-67,"RPS2"
1.71126688726883e-69,-0.507923638235838,0.945,0.972,2.83129106498628e-65,"EIF1"
7.68090466986199e-66,1.54412071025744,0.759,0.322,1.27080567762867e-61,"CD24"
3.51252183817097e-65,-0.918590316826705,0.808,0.902,5.81146738125387e-61,"KRT18"
1.17649423130241e-64,-0.555524474470419,0.911,0.951,1.94650970568983e-60,"RPL10A"
1.73293608356659e-64,-0.433612540972538,0.98,0.991,2.86714275026092e-60,"TPT1"
4.14309773197633e-64,-1.73243738265802,0.23,0.537,6.85475519755484e-60,"TSC22D3"
4.14514666763765e-63,-0.995444073650437,0.544,0.693,6.8581451616065e-59,"CEBPD"
9.81170033305517e-63,-0.38660347605044,0.989,1,1.62334582010398e-58,"RPL13"
4.09087440105304e-62,-0.451550755386668,0.964,0.991,6.76835169654225e-58,"RPL8"
1.09706694019241e-60,-1.9882327413973,0.254,0.613,1.81509725254834e-56,"ALDOA"
1.3931871979129e-60,-0.57226677204537,0.876,0.911,2.3050282189469e-56,"UBC"
3.78504164229561e-60,-0.371293923240505,0.984,0.994,6.26235139717809e-56,"RPS27A"
7.71326010306556e-60,-1.00019497157517,0.542,0.687,1.2761588840522e-55,"LMNA"
1.82007928627405e-59,-4.5324451896742,0.023,0.291,3.01132117914042e-55,"DUSP5"
6.799448427645e-59,-1.55901741272024,0.32,0.607,1.12496874235387e-54,"ZFP36"
