"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
6.4642826296477e-47,-2.69650121463792,0.181,0.868,1.06951556107521e-42,"NR4A1"
4.99027824906886e-25,-0.365862469691775,0.932,0.993,8.25641536308442e-21,"ACTG1"
7.23152252562059e-25,-0.24376146782303,0.976,1,1.19645540186393e-20,"ACTB"
1.32368627575574e-23,-2.31062303662337,0.132,0.671,2.19003894323788e-19,"PTP4A1"
8.44309347778301e-23,-0.565752172654199,0.775,0.941,1.3969098158992e-18,"JUND"
8.54840119771206e-23,-1.75985452029825,0.319,0.75,1.41433297816146e-18,"IER3"
1.04923171957896e-22,-2.63110223269043,0.108,0.566,1.73595388004339e-18,"RCAN1"
2.79909373210011e-21,-3.06553768131739,0.053,0.48,4.63110057975963e-17,"PER1"
3.66729204120038e-20,-5.33392026139563,0.009,0.336,6.06753468216603e-16,"RPS4Y1"
1.09364372760932e-19,-2.26207838008717,0.17,0.599,1.80943354732961e-15,"ARG2"
1.92601439601124e-19,-1.88420858759618,0.218,0.691,3.1865908182006e-15,"SERTAD1"
4.86962998168521e-19,-1.42699284637799,0.311,0.73,8.05680280469817e-15,"KLF6"
2.88338104519739e-18,-1.58761479085238,0.273,0.724,4.77055393927908e-14,"RASD1"
4.66630241427632e-18,-1.71082905294586,0.251,0.671,7.72039734442017e-14,"TNFRSF12A"
4.70142492052392e-18,-2.45287894313874,0.119,0.539,7.77850753100682e-14,"PDK4"
4.93096888265844e-18,-1.38345758496229,0.366,0.816,8.15828801635839e-14,"EGR1"
5.29387926353016e-18,-0.882748134795344,0.586,0.914,8.75872324151065e-14,"HERPUD1"
5.78310542868985e-17,-3.15863337235591,0.07,0.395,9.56814793176736e-13,"SGK1"
1.11549142615625e-16,-3.86675125009784,0.059,0.368,1.84558056457551e-12,"KLK1"
1.15771576263722e-16,-1.40203845400457,0.363,0.789,1.91544072928328e-12,"BTG2"
4.82169189898563e-16,7.69285943034741,0.209,0,7.97748924687172e-12,"MICOS10"
6.85319976499998e-16,-3.66493845673072,0.015,0.309,1.13386190111925e-11,"LDLR"
3.87281154820025e-15,-0.571573075216095,0.756,0.954,6.40756670649731e-11,"KRT18"
4.83582276018366e-15,-2.64130539448549,0.055,0.388,8.00086875672386e-11,"MAP2K3"
6.97934059703276e-15,7.02753407025327,0.185,0,1.15473190177907e-10,"MICOS13"
7.74086542414828e-15,-2.8074372100548,0.04,0.382,1.28072618442533e-10,"NAB2"
8.99218544242765e-15,7.21897662211612,0.194,0,1.48775708144965e-10,"TOMM6"
1.18120098408052e-14,-8.255860974646,0,0.204,1.95429702816121e-10,"NR4A3"
1.58176581780526e-14,3.43942443045748,0.267,0.053,2.61703154555881e-10,"EEF1G"
3.27343215841047e-14,-0.905656585526254,0.524,0.868,5.41589350609012e-10,"CEBPD"
3.70114601322363e-14,-0.860608957524281,0.487,0.921,6.12354607887849e-10,"FOS"
4.39835894276726e-14,6.93892139901875,0.181,0,7.27708487080843e-10,"TLE5"
6.29229272532393e-14,-1.01862285006918,0.41,0.822,1.04105983140484e-09,"UAP1"
1.93664420421745e-13,-2.29855089281609,0.097,0.414,3.20417783587778e-09,"KNG1"
2.09050387371497e-13,1.38326379379935,0.568,0.401,3.45873865906142e-09,"TSPAN1"
3.17102287865249e-13,4.37743230005804,0.22,0.02,5.24645735273055e-09,"HLA-DPB1"
3.29258160100592e-13,6.69866205030381,0.165,0,5.44757625886429e-09,"CIAO2B"
6.47504630999207e-13,-3.35315072893705,0.037,0.349,1.07129641198819e-08,"CSRNP1"
7.65038777345551e-13,6.48715206681358,0.154,0,1.26575665711821e-08,"RBIS"
2.87676503499088e-12,1.67982249600685,0.694,0.441,4.75960775039241e-08,"CD74"
