"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
3.82899909280068e-30,-3.74806643750065,0.12,0.878,6.33507899903872e-26,"CEBPD"
3.61380826885499e-18,-3.44026666073795,0.12,0.727,5.97904578082058e-14,"BTG2"
1.01716320189648e-15,-2.41671315124221,0.147,0.723,1.68289651753773e-11,"NR4A1"
1.33042709194737e-15,-2.60676561334202,0.107,0.71,2.20119162362693e-11,"FKBP5"
4.02271262182729e-15,-0.407574739632509,0.947,0.996,6.65557803281325e-11,"MT2A"
1.38194909642734e-14,-3.07503946011597,0.053,0.567,2.28643478003904e-10,"PDK4"
3.04796753848587e-14,-1.95939829954262,0.253,0.807,5.04286229242488e-10,"CEBPB"
3.3248681169706e-14,-1.94538041420373,0.24,0.807,5.50099429952785e-10,"RGCC"
1.73400291897536e-13,-0.927923785999901,0.613,0.903,2.86890782944473e-09,"MT1M"
4.133678513672e-13,-1.60807362740922,0.347,0.857,6.83917110087033e-09,"GADD45B"
5.22692124726406e-13,-1.69973046562114,0.267,0.819,8.64794120359838e-09,"TSC22D3"
1.35817477190475e-12,-0.707126751475769,0.733,0.929,2.24710016011641e-08,"MT1E"
1.95612357076928e-12,-1.49489325224562,0.387,0.866,3.23640644783778e-08,"DUSP1"
3.41140006049073e-11,-1.35049331664439,0.493,0.874,5.64416140008191e-07,"MT1X"
3.13152337091597e-10,-4.27180005449886,0.027,0.454,5.18110541718047e-06,"DDIT4"
5.54364564176632e-10,-2.58092536548037,0.053,0.466,9.17196171430238e-06,"CDKN1A"
1.04145612202045e-09,-1.95129046342431,0.2,0.664,1.72308915388284e-05,"EGR1"
4.17598113156658e-09,-1.07166245054308,0.493,0.887,6.90916078217691e-05,"JUNB"
1.00997815183561e-08,1.78109810709861,0.573,0.265,0.000167100885221201,"RRAD"
2.77052042113542e-08,1.05203608010319,0.693,0.546,0.000458382603676855,"NR2F2"
3.0827587562524e-08,-2.36800970408734,0.067,0.445,0.000510042436221959,"TIPARP"
4.02237856468783e-08,-1.26268698065753,0.4,0.769,0.000665502533527602,"ZFP36"
1.05713735405071e-07,-2.12760113118285,0.08,0.437,0.00174903375227691,"MT1A"
1.40107207854954e-07,-4.04030066669857,0.027,0.34,0.00231807375396021,"LRRC10B"
2.95183582829023e-07,0.42809595455833,1,0.971,0.00488381237790618,"B2M"
8.39192391097487e-07,-6.4903238330592,0,0.214,0.0138844381107079,"EGR3"
1.13766565271933e-06,-2.97805078175878,0.08,0.408,0.0188226782242414,"ADAMTS1"
1.35552894903972e-06,-6.40774820588103,0,0.21,0.0224272264618622,"SIK1"
1.97815983762123e-06,-6.32016301761318,0,0.21,0.0327286545134433,"NR4A3"
2.76966121204768e-06,-2.2331982632519,0.08,0.45,0.0458240447533289,"TOB2"
