"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
6.72820350464129e-37,1.95286898901528,0.972,0.494,1.1131812698429e-32,"WFDC2"
6.61725721488739e-24,-0.594014082338568,0.897,0.976,1.09482520620312e-19,"CKB"
6.64545962729087e-23,2.35154390135137,0.91,0.353,1.09949129533527e-18,"TACSTD2"
8.31926859837938e-23,-1.97992320803336,0.328,0.929,1.37642298960187e-18,"FAM24B"
4.34434388288538e-21,4.09012767264871,0.631,0.035,7.18771695423387e-17,"KRT7"
4.84988741512164e-20,-0.358058450836585,0.972,1,8.02413872831876e-16,"RPL6"
1.82094104322349e-19,-0.917976808197044,0.634,0.929,3.01274695601326e-15,"CEBPD"
3.41756241679707e-19,2.59838390584419,0.645,0.153,5.65435701859075e-15,"ANXA2"
1.68605222823404e-18,1.51520948655118,0.714,0.188,2.78957341161322e-14,"AQP2"
2.32715812436546e-18,-1.10511609197559,0.603,0.965,3.85028311676265e-14,"HERPUD1"
2.71609736585064e-18,-0.37913442467387,0.928,0.976,4.49378309179988e-14,"BSG"
3.22676605326145e-18,2.56941502913608,0.807,0.294,5.33868443512107e-14,"PIGR"
8.72114242048566e-18,0.578981455665554,0.997,1,1.44291301346935e-13,"ATP1B1"
2.52640652421603e-17,-0.293411271544543,0.979,1,4.17993959431542e-13,"EIF1"
2.74274255648995e-17,-0.485295030600523,0.9,0.976,4.53786755971262e-13,"LGALS3"
2.95412635519968e-17,-1.28599357210091,0.521,0.941,4.88760205467787e-13,"TMEM101"
3.56363578331697e-17,-0.617659383454217,0.817,0.965,5.89603540349793e-13,"DBI"
6.99138445572268e-17,-0.805090611865286,0.703,0.953,1.15672455819932e-12,"HSPA8"
8.2789269959289e-17,-1.020135982218,0.624,0.965,1.36974847147644e-12,"APOE"
1.39948516957625e-16,-0.596437949583124,0.862,1,2.31544821306390e-12,"RPL38"
2.07205986931498e-16,-0.550458714448891,0.883,1,3.42822305378164e-12,"RPL37A"
2.46578106516149e-16,-2.29422761174957,0.176,0.741,4.07963477230969e-12,"NR4A1"
2.79899484096576e-16,2.16797558608744,0.497,0.153,4.63093696437785e-12,"TPM4"
2.90827928063005e-16,1.97126662494957,0.772,0.271,4.81174806980241e-12,"KRT19"
3.0304890394075e-16,-0.253295960301114,0.986,1,5.01394411569971e-12,"RPS13"
1.11566332678496e-15,-0.994350719905864,0.648,0.965,1.84586497416571e-11,"ATP6V1G3"
1.29700517994784e-15,2.78460510026258,0.531,0.082,2.14589507022369e-11,"STC1"
2.44154546304781e-15,-0.551279782468591,0.866,0.976,4.03953696861259e-11,"RPS2"
3.37824569448314e-15,2.12847003082072,0.559,0.212,5.58930750152236e-11,"HLA-DRA"
3.45820582548888e-15,-0.584232764372838,0.807,0.988,5.72160153827134e-11,"RPL36AL"
5.37536934208804e-15,-0.28190943218801,0.986,1,8.89354857648467e-11,"ACTG1"
