"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
2.13832997286616e-43,4.27954643374004,0.911,0.252,3.53786694010706e-39,"SOD3"
8.90312793559321e-35,2.11074008914105,0.96,0.646,1.4730225169439e-30,"WFDC2"
2.07799694634439e-25,1.01669681440269,0.952,0.934,3.4380459477268e-21,"CTSD"
7.60806210983734e-25,0.714883594677647,0.992,0.98,1.25875387607259e-20,"ATP1B1"
2.21218006248089e-24,1.10253994034477,0.903,0.877,3.66005191337464e-20,"ATP6V0E1"
6.06145624506145e-24,2.35855239049269,0.782,0.391,1.00286793574542e-19,"SUCNR1"
2.91956740270984e-23,0.778128245802124,0.976,0.96,4.83042426778343e-19,"ITM2B"
8.73408922714718e-23,1.74463019647478,0.847,0.659,1.4450550626315e-18,"ACSL4"
1.01692781499864e-22,2.21004500182242,0.806,0.52,1.68250706991525e-18,"CA4"
3.06068193850724e-21,2.77237086363425,0.71,0.288,5.06389826726024e-17,"MEST"
7.52723140991361e-21,-4.12990012931283,0.024,0.662,1.24538043677021e-16,"NR4A1"
1.1345304040467e-20,2.48176486964505,0.774,0.351,1.87708055349526e-16,"FGL2"
3.60464632626874e-20,-8.76593117007683,0,0.52,5.96388734681163e-16,"ATF3"
7.09154553139702e-20,1.68902312618271,0.75,0.556,1.17329620816964e-15,"IGFBP2"
4.56985318076281e-19,-3.66482298132145,0.089,0.781,7.56082208757206e-15,"ATP5F1D"
1.00889682323185e-18,2.27671471083608,0.774,0.49,1.6692197940371e-14,"S100A4"
5.20476730228636e-18,0.875515788304301,0.871,0.921,8.61128750163279e-14,"TMEM59"
1.31517556553959e-17,0.902832536854222,0.976,0.993,2.17595797318524e-13,"MT-ND4L"
1.97120712573962e-17,-2.39940460780525,0.177,0.911,3.2613621895362e-13,"ZFAND5"
3.84752906069698e-17,-2.8261354521758,0.089,0.788,6.36573683092316e-13,"CD24"
4.82557987225829e-16,2.35774966089315,0.823,0.401,7.98392189865135e-12,"ALDOA"
5.18541809557538e-16,-3.6209226436082,0.081,0.768,8.57927423912946e-12,"ATP5IF1"
5.26975569827861e-16,-3.2232027910101,0.089,0.795,8.71881080280196e-12,"ATP5MC3"
6.18575111863318e-16,-3.54365710512921,0.089,0.778,1.02343252257786e-11,"ATP5F1B"
1.50581221784017e-15,2.25153560772355,0.597,0.288,2.49136631441656e-11,"PAPPA2"
1.5641554462488e-15,1.00761400772641,0.847,0.844,2.58789518581864e-11,"CALR"
1.56674574405777e-15,-4.75267487747548,0.016,0.57,2.59218083354358e-11,"BTG2"
1.83935958241499e-15,-4.31154294557645,0.04,0.715,3.04322042910561e-11,"NFKBIA"
2.64344258347147e-15,1.77582265481172,0.742,0.553,4.37357575435354e-11,"CAMK2N1"
2.76775410797022e-15,-3.19359121829844,0.089,0.785,4.57924917163673e-11,"ATP5ME"
2.81784907354768e-15,-3.3021307935865,0.081,0.785,4.66213129218464e-11,"UQCR11"
2.89596084667156e-15,-3.16563761716502,0.089,0.785,4.79136722081809e-11,"ATP5F1E"
4.10851911237655e-15,0.912439219140371,0.694,0.805,6.797544871427e-11,"LAPTM4A"
4.15647734347369e-15,1.31677719109611,0.685,0.689,6.87689176477722e-11,"CYBA"
6.38141213726877e-15,2.53404892014209,0.685,0.308,1.05580463811112e-10,"BBOX1"
1.16239880526532e-14,3.20199440120674,0.621,0.162,1.92318882331147e-10,"TNFRSF11B"
1.42753152143288e-14,-1.91221899868879,0.21,0.901,2.36185090221069e-10,"CEBPD"
3.42569649143025e-14,-3.72446247796414,0.081,0.758,5.66781484507135e-10,"RACK1"
5.34958665235418e-14,-3.35354396993132,0.097,0.762,8.85089111631999e-10,"EGF"
5.44300298689183e-14,-3.18392110019491,0.089,0.778,9.00544844181254e-10,"ATP5MG"
6.1515126531826e-14,-2.65707701245589,0.113,0.831,1.01776776846906e-09,"USP2"
6.72898500475888e-14,-3.60061813313474,0.081,0.748,1.11331056903736e-09,"ATP5F1C"
6.89190575788679e-14,1.1479902333373,0.992,0.934,1.14026580764237e-09,"FXYD2"
8.06186935362927e-14,1.50466885686654,0.573,0.493,1.33383628455796e-09,"CTNNB1"
8.15408435330416e-14,3.46706175143563,0.508,0.119,1.34909325625417e-09,"FIBIN"
1.76039332348424e-13,-4.68391491360681,0.04,0.659,2.91257075370467e-09,"TCIM"
2.31231620826854e-13,0.701264184004796,0.742,0.861,3.8257271665803e-09,"CD59"
2.5903830573212e-13,-3.53376246096241,0.081,0.758,4.28578876833792e-09,"ATP5F1A"
3.08762582537663e-13,-2.44044076567991,0.121,0.669,5.10847692808563e-09,"EGR1"
3.37312292800496e-13,-3.2734814130826,0.089,0.765,5.5808318843842e-09,"ATP5PF"
4.52210074918942e-13,1.31555146233964,0.492,0.5,7.4818156895339e-09,"IFITM2"
5.81012090870402e-13,-3.10043943470397,0.089,0.768,9.6128450434508e-09,"ATP5MC2"
6.42286339989277e-13,-3.1678737896246,0.089,0.768,1.06266274951226e-08,"ELOB"
2.08124373384661e-12,1.63281111395357,0.581,0.536,3.44341775764921e-08,"PIGR"
2.13031673169144e-12,-3.54975731518921,0.081,0.742,3.52460903258348e-08,"ATP5PD"
3.34287282467162e-12,1.23849492782846,0.734,0.702,5.53078308841919e-08,"S100A13"
4.09657079958065e-12,0.846243002990735,0.895,0.854,6.77777638790618e-08,"SFRP1"
4.80910953122349e-12,0.60144167724713,0.839,0.934,7.95667171940927e-08,"CST3"
5.66648982548156e-12,-0.210213951179427,0.895,1,9.37520741625925e-08,"MT-ND1"
6.10123764032245e-12,0.710419868364713,0.629,0.791,1.00944976759135e-07,"BCAM"
6.90943001761541e-12,-3.21985227418126,0.089,0.758,1.14316519641447e-07,"ATP5MF"
3.09192097642694e-11,0.733872641636522,0.774,0.907,5.11558325549837e-07,"KCNJ16"
3.2299323561295e-11,-5.5045327933228,0.016,0.467,5.34392308321626e-07,"SERTAD1"
4.01400129192676e-11,1.28535294723786,0.637,0.573,6.64116513749282e-07,"IRX2"
5.66471380194763e-11,0.893821937786844,0.935,0.828,9.37226898532236e-07,"S100A2"
5.75784577202274e-11,-3.48350333444714,0.081,0.735,9.52635582981162e-07,"NDUFB8"
7.24355147203783e-11,-3.44915142181009,0.056,0.619,1.19844559104866e-06,"SLC5A3"
8.01864510058393e-11,0.562638527133989,1,0.99,1.32668483189161e-06,"S100A6"
9.72617973669543e-11,0.649289543308023,0.903,0.93,1.60919643743626e-06,"B2M"
1.23925356300792e-10,1.13083740688037,0.54,0.586,2.0503450199966e-06,"ATP1B3"
1.34438068371899e-10,-3.07706445117185,0.089,0.755,2.22427784121307e-06,"ATP5MC1"
1.55514350286221e-10,1.44398266927955,0.597,0.536,2.57298492548552e-06,"ITM2C"
2.22352417376044e-10,3.38309424800542,0.387,0.113,3.67882074548666e-06,"C12orf75"
3.73389154419887e-10,-3.07299804506816,0.089,0.745,6.17772355987703e-06,"BEX3"
5.08098399255158e-10,0.77224863668898,0.903,0.917,8.40648801567658e-06,"MIF"
5.46310489775748e-10,0.598427049180074,0.863,0.927,9.03870705333975e-06,"SKP1"
5.58559595598503e-10,0.702678405141609,0.806,0.907,9.24136850917722e-06,"SUMO2"
6.02880933624081e-10,-3.71942250725054,0.056,0.666,9.97466504681041e-06,"ATP5PB"
6.53850769749716e-10,0.627324593037478,0.815,0.924,1.08179609855091e-05,"PRDX1"
7.94753700898069e-10,-4.89262994410262,0.016,0.421,1.31491999813586e-05,"RSRP1"
1.02921627378526e-09,-3.19667354561601,0.089,0.732,1.70283832497771e-05,"ATP5PO"
1.19731153263794e-09,-2.72682929820327,0.048,0.45,1.98095193074948e-05,"FOSB"
