"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
5.33743826357453e-13,-0.723578683399818,0.905,0.997,8.83079160708406e-09,"TIMP3"
2.90931115035629e-10,-0.975088043464736,0.762,0.975,4.81345529826449e-06,"MT2A"
5.9713377816984e-10,-4.15946160386111,0.048,0.75,9.87957835982e-06,"HLA-DRB5"
1.03185893697506e-09,-2.27448338779033,0.286,0.816,1.70721061122524e-05,"FKBP5"
4.49063816286582e-08,5.70551310396629,0.238,0.003,0.000742976084046151,"CAPG"
5.55325897888526e-08,-1.75643503121142,0.381,0.864,0.000918786698056567,"HYAL2"
1.04445894235542e-07,-1.78543198178465,0.381,0.835,0.00172805732012704,"TSC22D1"
1.04863152461796e-07,-2.10882889881245,0.333,0.81,0.00173496085748042,"MT1M"
2.77485629842492e-07,-5.98633964154609,0,0.541,0.00459099974574403,"CSRNP1"
3.56311905851765e-07,-0.80861618457714,0.714,0.93,0.00589518048231746,"NACA"
3.79264354242097e-07,-0.378147787780534,0.952,0.994,0.0062749287409355,"TPT1"
3.95693451615289e-07,6.06961056514491,0.19,0.003,0.00654674815697496,"RAB25"
4.08330061246327e-07,-1.60251952525782,0.429,0.851,0.00675582086332048,"SLCO2A1"
4.34167536944117e-07,1.81114151561939,0.857,0.345,0.00718330189874041,"CDC42SE1"
7.32210164198197e-07,-0.853488988111407,0.667,0.93,0.0121144171666592,"TMEM204"
9.15883483191101e-07,-1.15747557294974,0.524,0.883,0.0151532922293968,"CEBPB"
1.88945985152887e-06,-0.583052633698935,0.857,0.984,0.0312611132435452,"HLA-DRB1"
3.82125875528532e-06,-0.415631785369531,0.905,0.934,0.0632227261061957,"RPS4X"
4.63682442932141e-06,-1.043573585776,0.667,0.918,0.0767162601831227,"MT1E"
6.42984385484052e-06,-1.36858774707515,0.429,0.82,0.106381766578336,"NOSTRIN"
1.03968367940578e-05,7.18562439194796,0.143,0,0.172015664757686,"SYT13"
1.18637721979778e-05,-5.63600624253965,0,0.446,0.196286111015543,"DOCK9"
1.19143528950984e-05,-0.952345142179501,0.619,0.911,0.197122968649403,"RPL23A"
1.30582196879463e-05,7.41529567980853,0.143,0,0.216048244737071,"UGT2A3"
1.63909248715615e-05,-0.263073320900697,0.952,0.997,0.271187851999986,"MT-ND1"
1.65859845869416e-05,-0.615246009701928,0.81,0.93,0.274415114990949,"FLT1"
1.97434054652054e-05,4.91222858291453,0.143,0.003,0.326654643421823,"TNFRSF11B"
1.99566934501453e-05,5.86004771421864,0.143,0.003,0.330183493132654,"KCNJ16"
2.88350812329476e-05,6.79240800628788,0.19,0.003,0.477076418999118,"HTR2B"
3.45417416286268e-05,3.73678545266428,0.286,0.022,0.571493115245631,"KDM5D"
3.98319695868008e-05,0.483949673088642,0.857,0.491,0.65901993681362,"RACK1"
4.05434207145292e-05,4.25990059950343,0.143,0.003,0.670790895721885,"TFCP2L1"
4.33521148544833e-05,2.8434479881891,0.429,0.082,0.717260740267426,"MT1G"
4.40919506085025e-05,6.11674181654953,0.143,0.003,0.729501322817673,"UNC5CL"
5.21682899989786e-05,0.758674243902893,1,0.68,0.863124358033101,"NUCKS1"
5.32413265162546e-05,-0.449433180686135,0.857,0.981,0.880877747211433,"EPAS1"
5.94618535865087e-05,3.13789206970555,0.381,0.047,0.983796367588786,"NBPF15"
6.19021315245382e-05,2.33254733901209,0.476,0.114,1,"CYP26B1"
8.11698720749031e-05,-0.161539314537564,1,1,1,"MT-CYB"
8.1699262574661e-05,5.16131672978358,0.143,0.003,1,"PAQR5"
0.000103454186939641,-5.31400702489257,0,0.389,1,"ADCY1"
0.00010926024880856,-0.399752794185576,0.905,0.994,1,"PLAT"
0.000118327188296188,-1.16535740255051,0.429,0.816,1,"NFKBIA"
0.000128739040594211,2.68610085553304,0.476,0.136,1,"USP31"
0.000132908860668271,1.7294675937943,0.571,0.199,1,"SMURF2"
0.00013470886450702,4.14535749619537,0.19,0.009,1,"DSP"
0.000149863174625019,4.39829893213275,0.143,0.006,1,"SMIM24"
0.000150195564742368,-1.1280428200621,0.381,0.5,1,"CAVIN2"
0.000156865797135156,4.30975181980794,0.143,0.003,1,"FRK"
0.000161326815180718,1.15602242369566,0.762,0.544,1,"CTNNB1"
0.000165540801273881,-0.32968760954976,0.905,0.94,1,"UBB"
