"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
2.59984295076327e-28,-2.70859868626036,0.214,0.873,4.30144016203784e-24,"CEBPD"
7.34056125673364e-26,-3.11431678417751,0.143,0.809,1.21449585992658e-21,"ZFP36"
5.99851959087432e-25,-2.67681277536473,0.186,0.839,9.92455066310157e-21,"DUSP1"
2.88718662709164e-23,-3.761597842245,0.057,0.733,4.77685027452312e-19,"APOLD1"
1.72414742570547e-18,-0.431582977521743,0.929,1,2.85260191582969e-14,"MT-CYB"
5.27682507808949e-18,-3.48551520131086,0.071,0.606,8.73050709169907e-14,"FOS"
9.20704820402304e-18,1.66083532399198,0.786,0.422,1.52330612535561e-13,"MARCKS"
1.18248735276031e-17,-0.992795595869701,0.6,0.925,1.95642532514194e-13,"JUND"
1.34145724277329e-17,-3.84650889812826,0.057,0.516,2.21944100816841e-13,"EGR1"
1.81182910693086e-17,-3.40865608439207,0.086,0.742,2.99767125741711e-13,"MT1M"
2.56712884881033e-17,-3.37843168979389,0.071,0.669,4.24731468035669e-13,"AKAP12"
6.59634189524766e-17,-5.41415785964397,0.014,0.555,1.09136476656872e-12,"FOSB"
7.49704586090567e-17,3.10381918547705,0.657,0.151,1.24038623768684e-12,"S100A4"
7.8973126945178e-17,-1.60955083963756,0.471,0.948,1.30661038530797e-12,"MT2A"
1.93528275465704e-16,-2.40791246894768,0.243,0.843,3.20192531758008e-12,"MT1X"
3.20243986990001e-16,-2.07473006316627,0.229,0.753,5.29843676474957e-12,"JUNB"
1.42180936893816e-14,-3.39487807953006,0.043,0.574,2.35238360090818e-10,"FKBP5"
4.21089372414709e-14,-1.66560423217529,0.286,0.699,6.96692366660136e-10,"JUN"
2.89530775826046e-13,-4.064079477944,0.043,0.606,4.79028668604194e-09,"HLA-DRB5"
3.39466294496936e-13,-2.269390384709,0.129,0.647,5.61646984245181e-09,"CA4"
4.3765332963225e-13,-2.36767981006846,0.143,0.563,7.24097433876558e-09,"SERTAD1"
1.90361829853039e-12,4.33750879709998,0.429,0.032,3.14953647491854e-08,"CLDN15"
1.98704567400027e-12,-3.87992169918803,0.043,0.469,3.28756706763345e-08,"PPP1R15A"
4.82252718285414e-12,-0.760155694261606,0.629,0.972,7.97887122403217e-08,"IGFBP5"
5.02359171241442e-12,-0.574921141282993,0.757,0.97,8.31153248818965e-08,"EIF1"
6.99439450882165e-12,-2.00194047397983,0.171,0.594,1.15722257148454e-07,"SOCS3"
