"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
2.30449977061459e-12,-1.94540581344588,0.485,0.913,3.81279487048184e-08,"CEBPD"
7.06397455612144e-11,2.06531767638278,0.818,0.261,1.16873459031029e-06,"CD24"
8.37652011051019e-11,1.95308658821868,0.939,0.304,1.38589525228391e-06,"RPS4Y1"
1.60212546467361e-10,-0.922222740119397,0.848,0.971,2.65071658130249e-06,"LGALS3"
1.77253445654346e-10,2.7662159459319,0.576,0.101,2.93265825835115e-06,"OGA"
9.43704560024289e-10,-0.955929836600051,0.848,0.986,1.56135919456019e-05,"TSPAN8"
1.79726311911959e-09,2.12091836268843,0.818,0.203,2.97357183058336e-05,"STC1"
3.17440327139823e-09,0.296314290860728,0.879,0.507,5.25205021252838e-05,"RACK1"
3.24300129673221e-09,3.99450310544678,0.485,0.043,5.36554564544345e-05,"PRR35"
4.44911228930735e-09,-1.07096952659749,0.667,0.986,7.36105628265901e-05,"KRT8"
3.39965647232283e-08,-1.09067402018045,0.697,0.928,0.000562473163345812,"SLC4A9"
4.0821688627459e-08,-0.607077290543961,0.97,1,0.000675394838341309,"RPL27A"
4.14321940773698e-08,0.171241882166103,0.818,0.493,0.000685495651010083,"SMIM24"
4.64172286559784e-08,3.03396856517198,0.515,0.058,0.000767973048113162,"MAP3K21"
5.88262605166405e-08,1.37404372480718,0.818,0.319,0.000973280480247817,"NBDY"
6.83586077193259e-08,2.51817502157945,0.667,0.188,0.00113099316471625,"PFKFB3"
9.25220466316894e-08,-0.840309998884896,0.818,0.986,0.0015307772615213,"ATP6V1G3"
1.18381441876199e-07,-0.629004211450953,0.909,0.986,0.00195862095584172,"JUND"
1.24721787687996e-07,-2.01595681884214,0.303,0.826,0.00206352197729789,"ARG2"
2.72581014937662e-07,-3.39051771788435,0.121,0.609,0.00450985289214361,"NR4A1"
2.77254615031289e-07,-0.686264288357632,0.909,0.971,0.00458717760569268,"KRT18"
2.91451611832449e-07,1.53713235093526,0.788,0.348,0.00482206691776786,"SELENOM"
3.01481048358203e-07,-0.421182778506786,1,1,0.00498800394508647,"KRT7"
3.38810373582909e-07,1.73950758828659,0.788,0.362,0.00560561763092923,"KCNJ16"
4.20077740090721e-07,-0.361813396655905,1,1,0.00695018620980098,"CD9"
7.60207635798997e-07,0.552181073311146,1,0.986,0.0125776353342944,"ATP1B1"
9.06514147811409e-07,0.590028724105541,0.909,0.507,0.0149982765755398,"ATP5MC3"
9.78813898530511e-07,-0.369651479777805,1,1,0.0161944759511873,"RPS9"
1.02682973086823e-06,1.53352545575957,0.788,0.304,0.0169888978972149,"HMGCS2"
1.18547591267598e-06,1.30190230811767,0.788,0.362,0.019613698975224,"GATA3"
1.28268049581246e-06,-0.695566465821266,0.879,0.986,0.0212219488032171,"SLC25A6"
1.35746471686049e-06,1.31415565227392,0.848,0.435,0.0224592537404568,"BEX3"
1.51421236117773e-06,0.611923187596719,0.848,0.464,0.0250526435156855,"ATP5F1A"
1.56729366864754e-06,0.665387408631319,0.909,0.507,0.0259308737477735,"ATP5F1D"
1.82677962315055e-06,2.06726139791931,0.667,0.203,0.0302240688650259,"KCNJ15"
1.84862223622849e-06,1.36241815557067,0.667,0.246,0.0305854548984003,"TCEAL9"
2.11788315746265e-06,0.582276148467719,0.879,0.493,0.0350403768402195,"ATP5PO"
2.13000329889392e-06,0.67597233466494,0.909,0.507,0.0352409045801999,"ELOB"
2.20694326904705e-06,0.66697144183675,0.909,0.507,0.0365138763863834,"ATP5MG"
2.65320565614276e-06,1.30011694362011,0.848,0.377,0.043897287580882,"EMX2"
2.92486364771988e-06,-5.73811728797474,0,0.362,0.0483918690515254,"U2AF1"
3.23660051072202e-06,-2.59532015456176,0.152,0.667,0.0535495554498958,"AZGP1"
3.38644239613381e-06,0.789102876782794,0.818,0.42,0.0560286894440339,"AQP3"
3.4536701238483e-06,0.728810529182062,0.879,0.478,0.0571409721990702,"SEM1"
3.48190434966116e-06,-0.833542515545593,0.758,0.971,0.0576081074651438,"ANXA4"
3.73325626478512e-06,-0.417797018979282,0.97,0.986,0.0617667249008698,"BSG"
4.03677949117472e-06,1.83639877409149,0.606,0.159,0.0667885166814857,"MACC1"
4.07530847109977e-06,1.63956936841895,0.697,0.29,0.0674259786543457,"KCNJ1"
4.51138332058206e-06,1.1179423345183,0.879,0.449,0.0746408370390302,"AQP2"
5.96913635116891e-06,1.0932240840109,0.848,0.536,0.0987593609300896,"RALBP1"
6.48961870786636e-06,2.65261655313499,0.455,0.072,0.107370741521649,"GBP3"
6.65062356198829e-06,2.20934285444702,0.606,0.159,0.110034566833096,"IRF2BPL"
6.85295275890793e-06,-0.759670502263967,0.848,1,0.113382103396132,"GNAS"
7.14687231197855e-06,-0.296604639975056,1,1,0.118245002401685,"RPL8"
7.24596159738997e-06,-0.32805044151372,1,1,0.119884434628817,"TPT1"
7.55998590263995e-06,1.58142930314914,0.636,0.232,0.125079966759178,"EMX1"
7.69059854790532e-06,0.437481774727478,0.848,0.507,0.127240952975093,"ATP5F1B"
8.3327231622369e-06,1.98596293928294,0.545,0.159,0.13786490471921,"TMEM176A"
9.95033433777492e-06,1.76874990349663,0.636,0.217,0.164628281618486,"SEC22B"
1.06837706472796e-05,-2.33000510901108,0.091,0.493,0.17676298535924,"GPX1"
1.07750633099864e-05,2.03125795576593,0.576,0.188,0.178273422463725,"CD74"
1.14394103098595e-05,0.915419805141856,0.909,0.493,0.189265043576626,"UQCR11"
1.14464902754564e-05,0.554775955360299,0.879,0.507,0.189382181607426,"NDUFB8"
1.14553943027618e-05,0.900991528949294,0.909,0.493,0.189529498739194,"ATP5MC2"
1.23919487235797e-05,-0.675701873601872,0.788,0.986,0.205024791631626,"NDUFB9"
1.24460335823522e-05,0.311836707175204,0.788,0.493,0.205919625620017,"ATP5PD"
1.32075651811185e-05,-5.14428177201386,0,0.333,0.218519165921605,"MXRA7"
1.33399691060364e-05,2.07697644824671,0.515,0.159,0.220709788859373,"SMIM30"
1.36410635868962e-05,0.901713873980742,0.879,0.478,0.225691397045198,"ATP5IF1"
1.38875564080489e-05,0.840947307113691,0.939,0.71,0.229769620771169,"TXNIP"
1.40271168770358e-05,-0.506467353958074,0.97,1,0.232078648730557,"ATP6AP2"
1.40429264490065e-05,0.799562160818112,0.848,0.449,0.232340218098813,"SELENOW"
1.60740997642299e-05,1.36567427094391,0.818,0.391,0.265945980599184,"CYFIP2"
1.61092315974795e-05,1.59428973157197,0.727,0.29,0.266527236780298,"SCNN1G"
1.64482427946362e-05,0.815748829133942,0.909,0.507,0.272136177037256,"ATP5F1E"
1.69808005606841e-05,0.80983313802505,0.909,0.507,0.280947345276518,"ATP5MC1"
1.75979948908604e-05,2.12206331221908,0.636,0.217,0.291158825469285,"SMARCA2"
1.83572957437251e-05,-0.523834969863708,0.909,0.971,0.303721458079932,"CA12"
1.87397412008708e-05,1.20224847599963,0.788,0.406,0.310049018168407,"FAM120A"
