"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
1.0563449734584e-70,-5.21183398842008,0.021,0.781,1.74772275858692e-66,"SELENOM"
4.30937610634125e-68,-4.86535554241066,0.029,0.787,7.12986276794159e-64,"RACK1"
1.16699871273523e-67,-4.8967404208708,0.028,0.781,1.93079937022044e-63,"ATP5F1D"
4.39664931973148e-67,-5.03276680486364,0.025,0.775,7.27425629949573e-63,"BEX3"
6.44904095073653e-66,-4.74017150446466,0.028,0.775,1.06699382529936e-61,"ATP5MC2"
7.77502605014311e-66,-4.66934000484575,0.031,0.781,1.28637805999618e-61,"ATP5IF1"
9.50853823667843e-66,-4.44882326981524,0.031,0.781,1.57318765125845e-61,"ATP5ME"
1.23020575052737e-65,-4.4201036906681,0.029,0.775,2.03537541424754e-61,"ATP5F1E"
2.11329698957271e-65,-4.78574393189806,0.028,0.769,3.49644986924804e-61,"ATP5PF"
5.96990876325094e-65,-4.77401507835259,0.029,0.775,9.87721404879868e-61,"CD24"
1.54682932722976e-64,-4.59766851920881,0.029,0.775,2.55922912190164e-60,"ATP5MG"
8.61665124263772e-64,-4.31221390787328,0.031,0.769,1.42562494809441e-59,"UQCR11"
4.49227350426816e-62,-4.5368090748563,0.029,0.756,7.43246651281167e-58,"ATP5MC3"
1.2912867124476e-61,-4.44916355503433,0.031,0.762,2.13643386574455e-57,"ELOB"
7.95045566779461e-61,-4.77325587238166,0.025,0.744,1.31540289023662e-56,"ATP5F1B"
9.45358138044378e-61,-4.37064040376486,0.031,0.75,1.56409503939442e-56,"ATP5MF"
5.2800541692424e-58,-5.39315386644616,0.02,0.706,8.73584962301154e-54,"ATP5PD"
8.90195576685234e-58,-4.93496913887671,0.023,0.713,1.47282858162572e-53,"NDUFB8"
5.56711575344612e-56,-4.7571987682638,0.02,0.694,9.2107930140766e-52,"SELENOW"
3.04784998315021e-55,-4.67012888577668,0.023,0.706,5.04266779712202e-51,"ATP5MC1"
5.09302740406223e-55,-5.01104857494516,0.02,0.7,8.42641384002095e-51,"COPS9"
6.99609087000797e-55,-5.84032065721069,0.012,0.656,1.15750323444282e-50,"MRPL57"
1.19941980250095e-54,-4.60403636607947,0.025,0.7,1.98444006323782e-50,"SNU13"
1.59304758130076e-54,3.20312106390918,0.438,0.081,2.63569722326211e-50,"HLA-DPA1"
1.92428942318506e-53,-4.98900961666413,0.021,0.688,3.18373685065968e-49,"ATP5PO"
4.75031511205071e-53,-6.06990160390794,0.011,0.625,7.85939635288789e-49,"JPT1"
5.39659724114378e-53,3.65195809699479,0.309,0.05,8.92867013547238e-49,"NUPR1"
1.19499284369933e-52,-5.10242546990434,0.02,0.675,1.97711565990054e-48,"ATP5F1C"
3.90533494506705e-52,-3.7778726518018,0.083,0.756,6.46137666661343e-48,"SNRPN"
4.35045476841453e-52,-4.78925354136683,0.02,0.675,7.19782741434183e-48,"SF3B6"
9.43535092864422e-52,-5.10123649598808,0.018,0.656,1.56107881114419e-47,"SMIM26"
1.4642177453634e-51,-5.20405053318018,0.017,0.662,2.42254825970375e-47,"TCEAL9"
5.05381061734765e-51,-4.48660472442667,0.025,0.662,8.36152966640169e-47,"SARAF"
9.03851163702828e-51,-4.68628989591923,0.023,0.662,1.49542175034633e-46,"TMBIM4"
3.90035741047307e-50,-4.54709937337507,0.026,0.681,6.4531413356277e-46,"MMP24OS"
1.99144560658999e-49,-5.28239883308551,0.011,0.606,3.29484675610314e-45,"RTRAF"
6.01050597445267e-49,-4.70504165442271,0.023,0.656,9.94438213473195e-45,"TRIR"
6.12131744076332e-49,-4.36357808658499,0.026,0.681,1.01277197057429e-44,"SEM1"
1.83959704603354e-48,-4.31105650592692,0.025,0.662,3.04361331266249e-44,"SELENOP"
2.31203199953301e-46,1.74767060526397,0.775,0.412,3.82525694322737e-42,"ALDOA"
4.16509711628888e-46,0.681200363407444,0.594,0.769,6.89115317889994e-42,"MRPS6"
1.88258994455041e-45,-4.2801000629253,0.026,0.613,3.11474506325865e-41,"SELENOH"
5.26917634157864e-45,-5.26435607497633,0.015,0.619,8.71785225714186e-41,"SELENOK"
6.32938366202026e-45,-5.18062228924288,0.014,0.588,1.04719652688125e-40,"STMP1"
9.01026951124511e-45,0.780268743995083,0.75,0.85,1.4907490906355e-40,"TSPAN1"
1.34034554961884e-44,-5.33563329489033,0.011,0.55,2.21760171184438e-40,"NDUFAF8"
2.09943143107166e-43,-4.80192835102077,0.015,0.575,3.47350930270806e-39,"PSMA2"
7.96414126218563e-43,-2.98026386710631,0.074,0.706,1.31766717182861e-38,"NR4A1"
9.3195026810036e-43,2.10726082726071,0.683,0.2,1.54191171857205e-38,"GPX1"
9.4414113205595e-42,-4.85611797695428,0.017,0.594,1.56208150298657e-37,"HACD3"
1.94122175930646e-41,-5.22041071324946,0.009,0.519,3.21175140077253e-37,"RSRP1"
2.32262265614184e-40,-5.2377375609911,0.011,0.506,3.84277918458668e-36,"PLPP5"
6.47312508351492e-40,-4.40313926657896,0.021,0.6,1.07097854506754e-35,"ATP5F1A"
2.16546160430623e-39,-4.81327898867183,0.018,0.537,3.58275622432465e-35,"REX1BD"
1.64870118965459e-38,-4.56715279902825,0.017,0.55,2.72777611828352e-34,"NBDY"
2.3431265105241e-38,-4.26261224756565,0.02,0.569,3.87670281166212e-34,"SELENOT"
2.40176838643261e-38,2.76105001814673,0.291,0.056,3.97372579535275e-34,"PTGS1"
1.76533506527724e-37,1.19858448559085,0.634,0.581,2.9207468655012e-33,"CD74"
3.0939546202525e-37,-5.12008660761283,0.014,0.525,5.11894791920776e-33,"ATP5PB"
7.42828424753426e-37,3.27623708030114,0.36,0.081,1.22900962875454e-32,"VIM"
1.39024658542309e-36,1.85033674161499,0.519,0.262,2.30016297558251e-32,"MMP7"
2.74107993182644e-36,-7.58833064642391,0.003,0.438,4.53511674720685e-32,"RAB5IF"
3.72726274862312e-36,-6.07689383940892,0.006,0.456,6.16675621759695e-32,"NIPSNAP2"
5.11128748238408e-36,1.7610095781989,0.522,0.312,8.45662513960447e-32,"HLA-DRA"
6.50684398949031e-36,-4.01442347339969,0.052,0.631,1.07655733806117e-31,"CHGB"
8.0780829613988e-36,-5.51248120361022,0.008,0.481,1.33651882596343e-31,"DMAC1"
1.35726612587982e-35,-4.8440993770934,0.015,0.5,2.24559680526816e-31,"MCRIP2"
