"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
1.10468077031705e-17,-2.35517464843342,0.161,0.69,1.82769433448956e-13,"GADD45A"
3.59247297795396e-15,-0.220822813194734,0.92,0.997,5.94374654202483e-11,"MT-ND1"
5.39501386038424e-14,-3.13337619475901,0.092,0.593,8.92605043200573e-10,"PDK4"
2.40471261565538e-11,1.71861621981555,0.425,0.218,3.97859702260182e-07,"GDA"
1.22308719778112e-10,1.53432985996054,0.598,0.326,2.02359776872886e-06,"IL32"
2.10835813093562e-10,1.62711794478603,0.448,0.236,3.48827852763299e-06,"CTNNB1"
2.49997626818076e-09,-0.585001662381397,0.667,0.941,4.13621073570507e-05,"CALM1"
4.40417724880153e-09,0.540006612370182,0.931,0.876,7.28671125814214e-05,"POLR2L"
4.48085857565742e-09,-0.118207181327996,0.943,1,7.41358051342521e-05,"MT-CYB"
7.55206595569806e-09,-0.340292030480609,0.897,0.966,0.000124948931237024,"APOE"
9.81398379966047e-09,0.893254815600816,0.609,0.488,0.000162372361965383,"ANK2"
2.05175371249655e-08,-0.249370108261433,0.885,0.987,0.000339462651732554,"MIOX"
3.46331532309902e-08,-0.765449759226178,0.575,0.853,0.000573005520206733,"GSTA2"
3.8375950869321e-08,-0.407359231336408,0.759,0.961,0.000634930107132916,"SUCLG1"
4.423894723361e-08,-1.79186805836733,0.149,0.512,0.000731933381980078,"CEBPD"
6.01589555526681e-08,-2.55482051625895,0.057,0.412,0.000995329919618894,"FKBP5"
6.02071071695174e-08,-0.865125708292429,0.46,0.834,0.000996126588119666,"GLRX"
7.78035915385413e-08,0.619330225847938,0.69,0.626,0.00128726042200517,"GLS"
1.363858386509e-07,-0.978849894063969,0.31,0.714,0.00225650370047915,"GRHPR"
1.52837663789428e-07,0.826284675427803,0.598,0.523,0.00252869914739609,"CDC42"
1.8306686427273e-07,0.933373863319711,0.529,0.418,0.00302884126939232,"CLTC"
2.07027507426865e-07,-4.33723938250296,0.023,0.305,0.00342527011037748,"TIPARP"
4.53543226970568e-07,-2.03469429686959,0.092,0.448,0.00750387269022804,"TSC22D3"
4.59364911035358e-07,2.16698628805536,0.276,0.089,0.00760019245307999,"THBS1"
5.10827167303959e-07,0.447591301457987,0.989,0.944,0.008451635483044,"RPS26"
5.27260576658359e-07,-0.126383827049055,0.954,0.994,0.00872352624081255,"PEBP1"
8.89793054556502e-07,0.360575679438647,0.989,0.973,0.0147216260876373,"RPL39"
9.4691880633097e-07,-1.02558966509148,0.299,0.679,0.0156667716507459,"BHMT2"
9.75817381363906e-07,0.55692072791515,0.885,0.818,0.0161448985746658,"MIF"
1.89967642233921e-06,-2.78192948483149,0.046,0.28,0.0314301464076022,"NFKBIA"
2.03459798005417e-06,-1.25440383692693,0.207,0.596,0.0336624235799962,"ERRFI1"
2.83301236274332e-06,0.974808807118449,0.563,0.327,0.0468721895415882,"RPS4Y1"
2.86233598265524e-06,-1.72066233595585,0.126,0.49,0.047357348833031,"PLG"
2.9069398434343e-06,-0.553102722642096,0.552,0.84,0.0480953197096206,"PCK1"
2.92624313042663e-06,-1.47795265351931,0.184,0.585,0.0484146925929086,"SLC22A6"
3.11228170428318e-06,-1.81035116352612,0.069,0.355,0.0514927007973652,"KLF6"
3.18130648634084e-06,0.341777095893004,0.977,0.984,0.0526347158165092,"MT-ND4L"
3.26838569342471e-06,2.97078720746854,0.207,0.056,0.0540754412977119,"S100A6"
3.56740171648058e-06,1.39915981525623,0.483,0.3,0.0590226613991712,"S100A11"
3.95367882923411e-06,0.699869967350518,0.69,0.56,0.0654136162296784,"PCBP1"
4.07142017456995e-06,-4.64394871607244,0.011,0.235,0.0673616467882599,"CISH"
4.53447516162537e-06,1.85152801874526,0.23,0.1,0.0750228915490918,"SEC22B"
4.53832035040815e-06,-0.231617611076289,0.885,0.966,0.0750865101975028,"RPS4X"
5.04076923212373e-06,0.309956804076461,0.851,0.9,0.0833995269454871,"ATOX1"
7.51591277871862e-06,2.01283332190293,0.241,0.081,0.1243507769239,"ARRDC3"
7.56877780740226e-06,-6.56702065375344,0,0.175,0.12522542882347,"SERPINA6"
8.48498775494118e-06,0.77934335415068,0.506,0.402,0.140384122405502,"ADD3"
9.19264615733961e-06,-1.6011297851491,0.195,0.537,0.152092330673184,"ZFAND5"
9.2251483415759e-06,-0.364139708728206,0.724,0.926,0.152630079311373,"FBP1"
1.12243709223251e-05,0.614064370583771,0.655,0.595,0.185707216909869,"SEC61G"
1.16458251642515e-05,-1.31627690261021,0.161,0.491,0.192680177342541,"MPC1"
1.22562955800523e-05,-0.126271526526248,0.897,0.991,0.202780410371965,"ALDOB"
1.28526179788812e-05,1.31019251447009,0.333,0.189,0.21264656446059,"RAB29"
1.64647080951089e-05,0.263236872385466,0.966,0.987,0.272408595433577,"GATM"
1.66675067788755e-05,-0.0589847559974332,0.954,0.981,0.275763899656494,"TXN"
1.72347912386735e-05,-1.67184294967673,0.08,0.332,0.285149621043854,"GADD45B"
1.88446201191444e-05,-3.14358488025164,0.034,0.247,0.311784239871244,"RGS3"
1.94789294961579e-05,0.914203901774029,0.529,0.408,0.322278888513933,"CAPZA2"
1.95123350403438e-05,-4.1048602682979,0.011,0.23,0.322831583242487,"OXT"
2.14722250364786e-05,-1.24843869804674,0.138,0.454,0.355257963228539,"RNF186"
2.17908494516868e-05,-1.51625696133095,0.172,0.498,0.360529604178157,"GGACT"
2.26721349567923e-05,-0.220492216175494,0.816,0.966,0.375110472860129,"GSTA1"
2.42904339547384e-05,-1.2853972087009,0.195,0.537,0.401885229781146,"CTSH"
2.68925135369874e-05,-2.56623550736803,0.046,0.297,0.444936636469456,"TSKU"
2.77120139307502e-05,-0.846672114693816,0.402,0.753,0.458495270484262,"HAGH"
3.0595165616007e-05,0.893051423380231,0.414,0.347,0.506197015116836,"RBM47"
3.50397053220364e-05,-1.04223255268367,0.276,0.637,0.579731924553092,"PHYH"
3.53796250922501e-05,0.189240149952845,0.943,1,0.585355897151278,"MT-ND4"
3.8516782951774e-05,0.729315070016702,0.69,0.609,0.637260173937102,"TMSB10"
4.02832931530529e-05,0.486107257339131,0.609,0.557,0.666487085217261,"ATP5F1E"
4.45721937875791e-05,-0.313575271211181,0.759,0.936,0.737446946215496,"PEPD"
4.63469950741674e-05,1.40690223078093,0.299,0.172,0.766811033502099,"HNRNPH1"
4.65102446170015e-05,1.03141790432142,0.391,0.29,0.769511997188289,"PPP1CB"
5.73336915979132e-05,-1.28645485305271,0.23,0.599,0.948585927487475,"APOM"
5.96173403081777e-05,-0.0839769010760181,0.966,0.992,0.9863688953988,"CYB5A"
6.54212574325035e-05,1.59807875535222,0.218,0.086,1,"ARGLU1"
6.61532922464532e-05,-2.37580341229472,0.034,0.254,1,"DUSP1"
7.23985036105187e-05,0.909795737959368,0.402,0.338,1,"DAZAP2"
7.2544546118622e-05,0.641108600180787,0.506,0.471,1,"PSAT1"
7.81569792038745e-05,-2.8287905177369,0.023,0.236,1,"KLF15"
8.3528998831421e-05,-0.318682513318076,0.747,0.939,1,"LAMTOR5"
9.0252266899665e-05,-1.12702820825147,0.172,0.485,1,"AZGP1"
9.68492134163427e-05,1.1955500928267,0.345,0.227,1,"SDCBP"
9.97968954587838e-05,0.486616884235711,0.805,0.75,1,"CFL1"
0.000108094221060837,2.4110464255281,0.161,0.05,1,"DNAJC6"
0.000111124911903765,0.4564020923816,0.839,0.814,1,"PPDPF"
0.000121259028331921,0.846520367189075,0.494,0.405,1,"HNF4A"
0.000123330979573618,-0.886066580749909,0.333,0.66,1,"SH3YL1"
0.000137384271813642,-1.49848211902448,0.126,0.462,1,"AOC1"
0.000138054303067803,2.40225369165481,0.218,0.07,1,"TMSB4X"
0.000174427854154705,0.533733160282274,0.667,0.645,1,"ROMO1"
0.000175195453371409,-1.71650201492499,0.069,0.299,1,"IGBP1"
0.0001780657043961,-0.565727833731766,0.494,0.775,1,"PCSK1N"
0.000183827468378803,1.79143949289557,0.126,0.042,1,"STK3"
0.000210364738869151,1.72856833854662,0.207,0.081,1,"MAP3K12"
0.000218989865037676,-1.05662949434419,0.241,0.543,1,"RHOB"
0.000229844616040065,-5.9084254513874,0,0.11,1,"MLXIPL"
0.000235431829594079,0.731332125230754,0.471,0.412,1,"RAB1A"
0.000236471018585911,-0.530830820301616,0.586,0.834,1,"NAT8"
0.00024113175399666,-0.20915062382889,0.851,0.944,1,"RPL6"
0.00024659192124242,-5.99420580731725,0,0.127,1,"TM2D2"
0.000264582209816037,-2.43629772361232,0.011,0.175,1,"EMC7"
0.000274858195241329,1.16674612952721,0.345,0.25,1,"SNX4"
0.000284029128614971,-2.28676643489145,0.046,0.29,1,"SLC34A3"
0.000291035363022743,1.39022584994719,0.218,0.131,1,"CDH2"
0.00029515657133618,-0.945357671199009,0.253,0.577,1,"AMN"
0.000296808844403504,-0.738354069082469,0.437,0.746,1,"DPEP1"
0.000315752320466451,0.275519434991517,0.954,0.975,1,"RPL28"
0.000332049707259632,-0.913234603252337,0.253,0.573,1,"MTHFS"
0.000333872246580277,0.724652200195915,0.448,0.39,1,"PRKAR1A"
0.000341707160316067,-0.27938329335415,0.759,0.937,1,"DCXR"
0.000347355354524216,0.580415112061729,0.54,0.49,1,"FBXO21"
0.000354016987744129,-0.634654726281962,0.506,0.806,1,"ALDH2"
0.000375565190093767,0.517571384936193,0.598,0.531,1,"ATP5ME"
0.000409229443170792,-0.537873255539664,0.529,0.808,1,"MSRA"
0.000426697255296996,-5.79152012670502,0,0.111,1,"SLC22A7"
0.000429170135366106,0.804361210353165,0.448,0.368,1,"MTIF3"
0.000430447703246154,-3.16150198211687,0.011,0.166,1,"DDIT4"
0.000439381351330039,0.316347335679136,0.851,0.875,1,"RPLP2"
0.000446906137582535,-0.467824831297388,0.609,0.845,1,"ACAA1"
0.000451636435851493,-0.0115024924252225,1,0.998,1,"TPT1"
0.000454738839838734,0.666609228472827,0.506,0.459,1,"PNKD"
0.000462064586740236,-0.0121283834743151,0.943,0.998,1,"MT-ND2"
0.000466564863346441,0.311053513521534,0.874,0.886,1,"UBA52"
0.000474801217270309,1.82020351494935,0.184,0.07,1,"SNRNP27"
0.000481598610854158,0.397296029081866,0.759,0.748,1,"PCBP2"
0.000483594043391307,0.774103021779154,0.471,0.391,1,"ACTN4"
0.000490361551562271,-0.513996442074016,0.644,0.856,1,"UGT2B7"
0.00049280478778047,-0.265391414657418,0.747,0.928,1,"HPD"
0.000546914563110614,1.43650678654754,0.195,0.102,1,"SERPINE2"
0.000557861778462353,0.243559347580795,0.874,0.903,1,"RPS21"
0.000590632688524106,1.10871064563063,0.287,0.208,1,"PRKAA2"
0.000628964465257586,-0.415151046578784,0.575,0.845,1,"BHMT"
0.000657548528549463,0.516576234241575,0.402,0.419,1,"IDH1"
0.00066067061162454,-5.72850586044103,0,0.102,1,"CSPP1"
0.000678471215030196,-1.22803597951643,0.149,0.455,1,"SMIM19"
0.000682433724378783,-1.17993819422032,0.195,0.515,1,"ATP1A1"
0.000691291797451797,-0.258664456938066,0.77,0.953,1,"EIF1"
0.000691363391688416,0.230503463399191,0.517,0.649,1,"SPP1"
0.000704959204500289,0.429737296451583,0.713,0.714,1,"HSPB1"
0.000734188164110457,1.04131479449774,0.356,0.255,1,"NR1H4"
0.000781467628055063,0.0285635668907354,0.92,1,1,"MT-CO3"
0.000793597134338972,0.341639559603956,0.678,0.721,1,"PRDX3"
0.000804796392417701,0.294676836669455,0.977,0.991,1,"MT-ND5"
0.00080902162079229,0.640689743951502,0.46,0.424,1,"CRYZ"
0.000816567618390935,-5.60568622166694,0,0.1,1,"FAM120AOS"
0.000851095578837063,-0.802939355232897,0.31,0.595,1,"PTGR1"
0.000923949726056529,-0.179219852485318,0.839,0.953,1,"NACA"
0.000933740646588663,0.859316967889278,0.414,0.311,1,"SELENOW"
0.00094279223144839,-1.99786998739292,0.046,0.258,1,"DHRS3"
0.00099175820432512,2.38074378028788,0.138,0.039,1,"WSB1"
0.000997959658038657,1.15128289314852,0.241,0.16,1,"GPAT3"
0.00102996740618246,0.251346138709325,0.966,0.98,1,"RPL36"
0.00108572851234515,0.444790484387051,1,0.926,1,"MT1G"
0.00108805277649491,-1.26000713665093,0.138,0.408,1,"AIG1"
0.00111392286404001,-3.33415406637013,0.023,0.2,1,"CPM"
0.00116250966091091,0.48060952541626,0.529,0.501,1,"SLC7A8"
0.00122302221817549,1.27087831160414,0.299,0.203,1,"TRAP1"
0.00124836642436676,0.163190935649348,0.667,0.781,1,"AK4"
0.00127938708997415,0.383141325641458,0.839,0.825,1,"ACTB"
0.0012980781929961,1.86524042106326,0.161,0.069,1,"VCAM1"
0.00135077078360179,0.821845071246676,0.448,0.33,1,"S100A1"
0.00137864209576413,-5.5554124520192,0,0.1,1,"ERP44"
0.00139178276406,-1.09501779678871,0.149,0.438,1,"TMEM37"
0.00140074682283313,1.18418638331944,0.333,0.216,1,"ZFP36L1"
0.00145890608549316,0.53170088629205,0.414,0.427,1,"ACOT7"
0.00160864753482659,2.01055746384875,0.115,0.049,1,"MYEF2"
0.00161148609868776,-5.56725622395205,0,0.102,1,"CD320"
0.00161194125614145,0.365248468750608,0.862,0.842,1,"NDUFB1"
0.00165532453000928,1.51660552530032,0.184,0.092,1,"OTUD1"
0.0017036561286802,-0.817548383566251,0.126,0.343,1,"CYS1"
0.00173695984259987,-1.4105963582418,0.103,0.368,1,"SLC34A1"
0.00174310130141686,0.494900437143977,0.529,0.518,1,"RNF181"
0.00180788058251823,-0.910230376097183,0.322,0.576,1,"FAM151A"
0.00196645082773382,-0.857490918345469,0.264,0.54,1,"SERPINA1"
0.00202318633102327,0.942015234664527,0.253,0.197,1,"HNRNPH2"
0.00203436708841911,0.346989677655625,0.713,0.723,1,"DDC"
0.00208518424549223,0.489642011846937,0.563,0.521,1,"MAF"
0.00209044444103191,-1.0863613250911,0.103,0.304,1,"GTPBP6"
0.00212117096420026,-1.23557829425767,0.046,0.2,1,"COQ5"
