"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
4.0755824655981e-08,-6.51534577163635,0,0.395,0.000674305118933206,"ITM2A"
7.15792585506908e-07,-2.167731250928,0.119,0.868,0.0118427883272118,"NR4A1"
9.06791999420591e-07,1.10968554714929,0.712,0.651,0.0150028736304137,"WFDC2"
3.24435839008009e-06,1.56242212125084,0.644,0.336,0.0536779095638751,"RPS4Y1"
6.46536705299494e-06,-0.0102034077381867,0.102,0.454,0.106969497891801,"PSMD12"
1.5545132093758e-05,0.705525625653231,0.814,0.888,0.257194210491225,"HLA-C"
2.72073454391336e-05,1.01041997099519,0.661,0.789,0.450145530290466,"ACADVL"
3.18824916235014e-05,-1.98617485676725,0.017,0.362,0.527495823910831,"TP53INP2"
4.46812810068998e-05,0.612583263325313,0.78,0.895,0.739251794259156,"HLA-B"
0.000102592892612797,-1.62752399534091,0.271,0.921,1,"FAM24B"
0.00010850939691311,-1.23275942351338,0.136,0.605,1,"CLCNKA"
0.000121105384381189,1.50591447773456,0.831,0.75,1,"MT-ATP8"
0.00013343042059653,-3.77939918411208,0.034,0.566,1,"RCAN1"
0.000141200536345507,-1.53155886330129,0.034,0.401,1,"GMNN"
0.000170390145040194,0.196947617196353,0.186,0.526,1,"PCNP"
0.000185644242250245,0.581395754187376,0.373,0.638,1,"DYNLT3"
0.00018591134078422,-2.91267589460127,0.051,0.467,1,"PCK1"
0.00019617615644164,-0.0229882746986911,0.915,0.993,1,"MT-ND1"
0.000226788013656006,-4.04525538291087,0.017,0.48,1,"PER1"
0.000267136367808016,0.578926944142942,0.61,0.829,1,"SCIN"
0.000286568808037983,0.618099122181189,0.983,0.993,1,"RPS26"
0.00029314717488182,5.18941416759657,0.186,0.02,1,"SLC12A1"
0.000352987955895167,0.52107922129593,0.559,0.868,1,"SYPL1"
0.000382454108817846,0.630833224553153,0.932,0.967,1,"PPDPF"
0.000388401930007372,-0.300536399472067,0.051,0.276,1,"TMEM98"
0.000398782179821302,0.18047372546566,0.153,0.447,1,"SMIM20"
0.00040543634675103,-4.92048944818498,0,0.184,1,"SLC16A10"
0.000441899792950631,-2.42663761905986,0.017,0.316,1,"ATP10D"
0.000447861130338259,-5.72205941274449,0,0.263,1,"BLCAP"
0.000470680654733657,-4.50147981381198,0,0.125,1,"AVL9"
0.000655025482873363,-0.180806539299225,0.407,0.842,1,"DUSP1"
0.000660584206264452,0.555122594552618,0.847,0.961,1,"UBB"
0.000716342672696845,-5.74149631338849,0,0.237,1,"TCIM"
0.000742082016110547,-4.94776667520071,0,0.178,1,"PNO1"
0.000826106250588741,0.631004591163635,0.492,0.671,1,"GLTP"
0.000841100971277768,-4.82801248021037,0,0.158,1,"FBXL4"
0.000868392888446907,0.420451673407427,0.881,0.987,1,"ATP1B1"
0.000872464258572752,-0.447553211046017,0.119,0.461,1,"MCL1"
