"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","CellType","Condition"
"R-HSA-72766","Translation","319/4754","368/11230",0.866847826086957,2.04768638766439,17.5084226133668,3.58525765637447e-72,5.96228348255075e-69,3.28711517758123e-69,"RPS4Y1/UBC/RPS29/RPL37A/MRPL33/MT-CYB/RPL41/RPL21/RPS27/ELOB/RPL30/NDUFAB1/MT-ND2/MT-ND3/RPS28/RPL35/EIF4A1/RPL34/MT-CO3/RPL35A/RPL38/SEC61G/UBB/EIF3K/RPS15/MT-ND1/RPS14/SEC61B/RPS27A/RPL9/RPS25/RPL24/FAU/RPL23A/RPL11/RPL6/TRAM1/RPS23/MRPL52/ELOC/RPL36/RPS3A/RPL27/MRPS6/RPL32/MT-ATP6/RPL27A/MRPL23/RPL37/MT-CO2/RPS4X/TRMT112/RPLP0/RPL10/RPL8/RPS24/MT-ND4L/RPS5/RPS10/RPL39/RPS9/RPS7/RPS13/RPL36AL/SRP14/EIF2S3/RPS6/PSMD8/SEM1/RPS21/RPL18/MRPL55/RPL26/MRPL18/MT-ND4/RPL14/APEH/ETF1/RPL36A/PSMB1/RPS18/MRPS18C/RPL31/RPL10A/RPL3/EIF5/MRPL57/SRP9/EEF1A1/PSMA7/EIF1AX/RPL19/MRPL50/RPS12/MT-CO1/RPS26/RPS15A/ADRM1/MT-ND5/MRPL20/RPS3/RPL7A/PSMC5/EIF4B/EIF4EBP1/RPL22/MRPL47/PSMB6/MRPL15/RPL17/MRPL41/EIF4E/RPL5/RPL15/RPS11/MRPS34/MT-ND6/EEF2/SPCS2/RPL18A/ANKZF1/RPL13A/MRPL43/MTIF3/LTN1/RPLP1/MRPL11/UBA52/GADD45GIP1/ASCC3/MRPL51/SEC61A1/RPL13/MRPL48/MRPS15/MRPL34/PPA2/AURKAIP1/MRPL24/SRP54/MRPL2/SRP72/MRPL27/MRPS21/MRPL28/RPN2/SSR1/PSMB7/EIF3A/MRPS14/PSMA5/IARS2/EIF4H/RPS27L/MRPL54/NEMF/EIF2B4/PSMD2/SEC11C/PABPC1/MRPS31/RBX1/EEF1E1/PSMD12/PSMA1/SSR2/EIF2S1/PSMC3/MRPS22/MRPL42/RCHY1/MRPL12/MRPS5/EIF4A2/PSMC1/OXA1L/MRPS17/MTRF1L/MRPL40/MRPL32/UBE2D3/EIF3E/RPN1/MRPL17/MRPL30/TCF25/MRPS18A/RPL29/RPS16/PSMD6/RPL23/MRPL58/PSMA2/VCP/CHCHD1/MTIF2/EIF3J/SRPRA/EIF5B/MRPL22/PSMD1/RPL26L1/PSMD14/SSR4/SRP68/RPL4/PSMB3/TUFM/GSPT1/SPCS1/RPL7/MRPL16/MRPS10/MRPS26/MRPS28/MRPL44/MRPL4/RPSA/RPS20/MRPS27/MALSU1/MRPS11/MRPL49/PSMD11/PSMD13/UBE2D1/SPCS3/EIF2B5/UBE2D2/PTCD3/MRPS18B/MRPL19/MRPS7/MRPL35/PSMB2/MRPS33/MRPS12/PPA1/RPS2/SSR3/CUL2/PSMD7/MRPS2/PSMC6/PSMA4/PSMC2/EIF3F/HBS1L/MRPL3/MRPL36/NPLOC4/ERAL1/EEF1D/MRPS23/RPLP2/PSMB4/EIF3D/MRPL13/MRPL53/SRP19/EIF4G1/FARSB/CARS2/RPS17/MT-ATP8/MRRF/EIF3M/PSMD3/RPL22L1/AIMP1/PSMC4/PELO/MRPL1/UFD1/MRPL21/ABCE1/MRPL9/MRPS35/SEC11A/EIF3H/MRPS9/EIF2B2/MRPL37/RPL28/MRPL39/RPL12/YARS2/RPS19/DDOST/MRPL10/EEF1B2/RPS8/DAP3/GFM1/EIF2S2/ASCC2/EIF3I/EIF3B/FARSA/PSMB5/RARS2/MIEF1/PSMA3/MRPS30/MTFMT/SRPRB/MRPS16/MRPS25/KLHDC10/GFM2/EIF2B3/RPL39L/MRPL14/EIF3L/EIF2B1/MRPL46/EIF3G/TSFM/AIMP2",319,"CNT","AKI_vs_Normal"
"R-HSA-72203","Processing of Capped Intron-Containing Pre-mRNA","243/4754","294/11230",0.826530612244898,1.95244820688056,14.1785719867098,5.17807679259855e-47,4.3055708530457e-44,2.37373941387018e-44,"HSPA8/UBC/UBL5/SRSF3/POLR2L/DDX5/SRSF5/U2AF1/UBB/RPS27A/SRSF2/RANBP2/SNU13/SNRPN/TXNL4A/SRSF7/RBM8A/HNRNPA2B1/SNRPG/SNRPE/SAP18/ZC3H11A/SF3B6/LSM3/SRSF9/PPIG/MAGOH/HNRNPM/LSM4/DNAJC8/PABPN1/ALYREF/BCAS2/NUP58/POLR2J/POLR2H/CCAR1/PRPF8/LSM8/YBX1/SNRPF/PCBP1/EIF4E/PPP1R10/LSM6/HNRNPA1/MTREX/HNRNPA3/SF3B2/PUF60/LSM5/SF3B5/SYF2/PRPF38A/SNRPB/UBA52/TRA2B/LSM7/SNRPB2/DDX23/POLR2I/SF3B3/PRPF40A/POLR2C/SNRPD2/SNRPC/POLR2F/DHX9/THOC7/RBMX/CPSF2/SRSF8/ACIN1/PAPOLA/THOC2/SNRNP70/CCDC12/PTBP1/PNN/RBM5/SMU1/PPIL3/WTAP/SF1/DDX41/AAAS/PPP1CB/AQR/ZCRB1/RNPC3/NCBP2/HNRNPL/SRSF10/TPR/SF3B4/RBM39/IK/RBBP6/DHX15/SRRT/PQBP1/SRSF11/HNRNPH2/RNPS1/POLR2B/LUC7L3/THOC1/THOC3/SYMPK/C9orf78/CSTF3/GTF2F1/LSM2/NUP153/LENG1/CRNKL1/PRPF31/POLR2A/SNRNP40/NSRP1/FAM50A/NUP37/SMNDC1/PLRG1/POLR2E/SF3A1/CHTOP/BUD31/WBP4/U2SURP/SNRNP27/HNRNPH1/NUP205/SRSF4/SNRNP35/CDC40/HTATSF1/CTNNBL1/ZMAT2/CPSF6/SNRNP25/POM121/GCFC2/GTF2F2/FAM32A/MAGOHB/NKAP/SEC13/PDCD7/NUDT21/SRSF6/FUS/CPSF7/FIP1L1/RBM17/CDC5L/FYTTD1/SNRPA1/POLR2K/CWC15/PRPF6/SLU7/EIF4A3/NUP50/SF3A3/SNW1/HNRNPD/PPWD1/U2AF2/SLBP/SNRNP200/PPP1CA/PPP1R8/U2AF1L4/SRRM1/NUP54/ZNF830/NUP98/RBM25/RBM42/SRRM2/SART1/PPIL1/PRCC/NXT1/RBM10/PCBP2/NUP160/PPIL4/DDX46/XRN2/CHERP/CASC3/METTL14/RBM22/ISY1/HNRNPR/PPIE/HNRNPC/XAB2/SNRPD1/NXF1/ZMAT5/CWF19L2/MFAP1/CSTF1/WDR33/USP39/RBMX2/HNRNPK/HNRNPF/CWC25/PRPF4/CPSF1/PRPF18/PCF11/PRKRIP1/SNRPA/PRPF19/PHF5A/METTL3/CWC22/SARNP/DDX42/UPF3B/THOC6/POLDIP3/SEH1L/SRSF1/SNRPD3/RBM7/PPIH/WBP11/CWC27/POLR2G/TCERG1/DDX39A/SF3A2/NUP214/SF3B1/HNRNPU/PPIL2/RAE1",243,"CNT","AKI_vs_Normal"
"R-HSA-9948299","Ribosome-associated quality control","139/4754","145/11230",0.958620689655172,2.2644741995851,13.1302451392321,1.87263338604109e-44,1.03806310699545e-41,5.72303045347997e-42,"RPS4Y1/UBC/RPS29/RPL37A/RPL41/RPL21/RPS27/ELOB/RPL30/RPS28/RPL35/RPL34/RPL35A/RPL38/UBB/RPS15/RPS14/RPS27A/RPL9/RPS25/RPL24/FAU/RPL23A/RPL11/RPL6/RPS23/ELOC/RPL36/RPS3A/RPL27/RPL32/RPL27A/RPL37/RPS4X/RPLP0/RPL10/RPL8/RPS24/RPS5/RPS10/RPL39/RPS9/RPS7/RPS13/RPL36AL/RPS6/PSMD8/SEM1/RPS21/RPL18/RPL26/RPL14/RPL36A/PSMB1/RPS18/RPL31/RPL10A/RPL3/PSMA7/RPL19/RPS12/RPS26/RPS15A/ADRM1/RPS3/RPL7A/PSMC5/RPL22/PSMB6/RPL17/RPL5/RPL15/RPS11/RPL18A/ANKZF1/RPL13A/LTN1/RPLP1/UBA52/ASCC3/RPL13/PSMB7/PSMA5/RPS27L/NEMF/PSMD2/RBX1/PSMD12/PSMA1/PSMC3/RCHY1/PSMC1/UBE2D3/TCF25/RPL29/RPS16/PSMD6/RPL23/PSMA2/VCP/PSMD1/RPL26L1/PSMD14/RPL4/PSMB3/RPL7/RPSA/RPS20/PSMD11/PSMD13/UBE2D1/UBE2D2/PSMB2/RPS2/CUL2/PSMD7/PSMC6/PSMA4/PSMC2/HBS1L/NPLOC4/RPLP2/PSMB4/RPS17/PSMD3/RPL22L1/PSMC4/PELO/UFD1/ABCE1/RPL28/RPL12/RPS19/RPS8/ASCC2/PSMB5/PSMA3/KLHDC10/RPL39L",139,"CNT","AKI_vs_Normal"
"R-HSA-72172","mRNA Splicing","187/4754","213/11230",0.877934272300469,2.07387502691087,13.5568434035999,3.20697507463976e-44,1.33329988728148e-41,7.35072444739799e-42,"HSPA8/UBL5/SRSF3/POLR2L/DDX5/SRSF5/U2AF1/SRSF2/SNU13/SNRPN/TXNL4A/SRSF7/RBM8A/HNRNPA2B1/SNRPG/SNRPE/SAP18/SF3B6/LSM3/SRSF9/PPIG/MAGOH/HNRNPM/LSM4/DNAJC8/ALYREF/BCAS2/POLR2J/POLR2H/CCAR1/PRPF8/LSM8/YBX1/SNRPF/PCBP1/LSM6/HNRNPA1/MTREX/HNRNPA3/SF3B2/PUF60/LSM5/SF3B5/SYF2/PRPF38A/SNRPB/TRA2B/LSM7/SNRPB2/DDX23/POLR2I/SF3B3/PRPF40A/POLR2C/SNRPD2/SNRPC/POLR2F/DHX9/RBMX/SRSF8/ACIN1/SNRNP70/CCDC12/PTBP1/PNN/RBM5/SMU1/PPIL3/SF1/DDX41/AQR/ZCRB1/RNPC3/NCBP2/HNRNPL/SRSF10/SF3B4/RBM39/IK/DHX15/SRRT/PQBP1/SRSF11/HNRNPH2/RNPS1/POLR2B/LUC7L3/C9orf78/GTF2F1/LSM2/LENG1/CRNKL1/PRPF31/POLR2A/SNRNP40/NSRP1/FAM50A/SMNDC1/PLRG1/POLR2E/SF3A1/BUD31/WBP4/U2SURP/SNRNP27/HNRNPH1/SRSF4/SNRNP35/CDC40/HTATSF1/CTNNBL1/ZMAT2/SNRNP25/GCFC2/GTF2F2/FAM32A/MAGOHB/NKAP/PDCD7/SRSF6/FUS/RBM17/CDC5L/SNRPA1/POLR2K/CWC15/PRPF6/SLU7/EIF4A3/SF3A3/SNW1/HNRNPD/PPWD1/U2AF2/SNRNP200/PPP1R8/U2AF1L4/SRRM1/ZNF830/RBM25/RBM42/SRRM2/SART1/PPIL1/PRCC/RBM10/PCBP2/PPIL4/DDX46/CHERP/CASC3/RBM22/ISY1/HNRNPR/PPIE/HNRNPC/XAB2/SNRPD1/ZMAT5/CWF19L2/MFAP1/USP39/RBMX2/HNRNPK/HNRNPF/CWC25/PRPF4/PRPF18/PRKRIP1/SNRPA/PRPF19/PHF5A/CWC22/DDX42/UPF3B/SRSF1/SNRPD3/RBM7/PPIH/WBP11/CWC27/POLR2G/TCERG1/SF3A2/SF3B1/HNRNPU/PPIL2",187,"CNT","AKI_vs_Normal"
"R-HSA-72163","mRNA Splicing - Major Pathway","181/4754","205/11230",0.882926829268293,2.0856685512585,13.4410005467682,1.26560622959546e-43,4.20940631963449e-41,2.32072215995293e-41,"HSPA8/UBL5/SRSF3/POLR2L/DDX5/SRSF5/U2AF1/SRSF2/SNU13/SNRPN/TXNL4A/SRSF7/RBM8A/HNRNPA2B1/SNRPG/SNRPE/SAP18/SF3B6/LSM3/SRSF9/PPIG/MAGOH/HNRNPM/LSM4/DNAJC8/ALYREF/BCAS2/POLR2J/POLR2H/CCAR1/PRPF8/LSM8/YBX1/SNRPF/PCBP1/LSM6/HNRNPA1/MTREX/HNRNPA3/SF3B2/PUF60/LSM5/SF3B5/SYF2/PRPF38A/SNRPB/TRA2B/LSM7/SNRPB2/DDX23/POLR2I/SF3B3/PRPF40A/POLR2C/SNRPD2/SNRPC/POLR2F/DHX9/RBMX/SRSF8/ACIN1/SNRNP70/CCDC12/PTBP1/PNN/RBM5/SMU1/PPIL3/SF1/DDX41/AQR/NCBP2/HNRNPL/SRSF10/SF3B4/RBM39/IK/DHX15/SRRT/PQBP1/SRSF11/HNRNPH2/RNPS1/POLR2B/LUC7L3/C9orf78/GTF2F1/LSM2/LENG1/CRNKL1/PRPF31/POLR2A/SNRNP40/NSRP1/FAM50A/SMNDC1/PLRG1/POLR2E/SF3A1/BUD31/WBP4/U2SURP/SNRNP27/HNRNPH1/SRSF4/CDC40/HTATSF1/CTNNBL1/ZMAT2/GCFC2/GTF2F2/FAM32A/MAGOHB/NKAP/SRSF6/FUS/RBM17/CDC5L/SNRPA1/POLR2K/CWC15/PRPF6/SLU7/EIF4A3/SF3A3/SNW1/HNRNPD/PPWD1/U2AF2/SNRNP200/PPP1R8/U2AF1L4/SRRM1/ZNF830/RBM25/RBM42/SRRM2/SART1/PPIL1/PRCC/RBM10/PCBP2/PPIL4/DDX46/CHERP/CASC3/RBM22/ISY1/HNRNPR/PPIE/HNRNPC/XAB2/SNRPD1/CWF19L2/MFAP1/USP39/RBMX2/HNRNPK/HNRNPF/CWC25/PRPF4/PRPF18/PRKRIP1/SNRPA/PRPF19/PHF5A/CWC22/DDX42/UPF3B/SRSF1/SNRPD3/RBM7/PPIH/WBP11/CWC27/POLR2G/TCERG1/SF3A2/SF3B1/HNRNPU/PPIL2",181,"CNT","AKI_vs_Normal"
"R-HSA-1428517","Aerobic respiration and respiratory electron transport","214/4754","258/11230",0.829457364341085,1.95936184298494,13.35660566486,5.8677379501092e-42,1.62634136850527e-39,8.96631535885108e-40,"PDK4/COX8A/NDUFB1/ATP5ME/COX6C/UBC/UQCR11/COX7A2/COX7B/NDUFA13/MT-CYB/ATP5PF/NDUFA3/NDUFA1/UQCRH/COX17/ATP5MG/NDUFB11/COX7C/ATP5F1D/ATP5F1E/ATP5PD/ATP5MC2/NDUFAB1/ATP5MC3/NDUFB2/MPC1/MT-ND2/COX5B/MT-ND3/ATP5F1B/ATP5PO/COA3/ATP5MC1/ATP5MF/NDUFB8/UQCRQ/NDUFS5/UQCRB/MT-CO3/NDUFA11/UBB/NDUFB7/MT-ND1/NDUFA8/RPS27A/ATP5F1C/NDUFC1/COX6B1/NDUFB9/CYC1/NDUFB4/NDUFV2/MT-ATP6/PET100/NDUFS6/COX7A1/NDUFA5/NDUFB6/UQCR10/MT-CO2/NDUFA7/ISCA1/COX5A/NDUFB10/NDUFS7/COX6A1/NDUFB3/VDAC1/ETFB/MPC2/HIGD1A/NDUFA2/COX4I1/NDUFS8/SDHD/ATP5PB/ATP5F1A/ACAT1/GLO1/MT-ND4/UQCRFS1/NDUFAF3/LDHB/NDUFA6/NDUFV1/NDUFC2/MT-CO1/MT-ND5/PYURF/NDUFA12/SDHAF3/NDUFAF4/NDUFS4/COX20/NDUFAF8/PNKD/PKM/IDH3B/TMEM126A/GOT2/MT-ND6/COX16/WDR26/HIGD2A/NDUFV3/COX7A2L/ME2/UBA52/PDP1/GOT1/SDHB/CS/SUCLG1/SLC25A11/FH/DMAC1/NDUFAF2/PDHB/NNT/BCS1L/NDUFB5/ISCU/DLAT/UQCC3/ETFA/NDUFA9/NEK1/UQCRC2/SDHAF2/ACO2/MDH2/OGDH/COQ10B/LDHA/OXA1L/PET117/MKLN1/ISCA2/CMC1/UQCRC1/RMND5A/HAGH/MAEA/DLD/MDH1/IDH2/LYRM4/GID8/SUCLG2/IDH3G/SLC25A12/PDHA1/SURF1/NFS1/TMEM223/COX15/NDUFAF5/ARMC8/PDHX/COX11/LETM1/NDUFS1/COA1/UCP2/HCCS/TMEM177/COA5/SDHC/ETFDH/RANBP9/NDUFS2/LYRM2/FXN/MT-ATP8/RAB5IF/SLC25A13/NDUFAF6/RMND5B/SCO1/UQCC2/SDHAF1/COX14/DMAC2/NDUFAF1/HSPA9/UQCC1/GSTZ1/ACAD9/NDUFS3/LYRM7/COX19/TIMMDC1/ME3/HSCB/TMEM126B/IDH3A/NDUFA10/SDHA/SUCLA2/SIRT3/TACO1/TTC19/TRAP1/D2HGDH/TMEM186/FAHD1/SFXN4/COQ10A/DLST/TIMM21/SMIM20/PDK2/SDHAF4",214,"CNT","AKI_vs_Normal"
"R-HSA-72613","Eukaryotic Translation Initiation","116/4754","120/11230",0.966666666666667,2.28348057775908,12.1107099855814,2.11928742747784e-38,4.40546873986956e-36,2.42881493333316e-36,"RPS4Y1/RPS29/RPL37A/RPL41/RPL21/RPS27/RPL30/RPS28/RPL35/EIF4A1/RPL34/RPL35A/RPL38/EIF3K/RPS15/RPS14/RPS27A/RPL9/RPS25/RPL24/FAU/RPL23A/RPL11/RPL6/RPS23/RPL36/RPS3A/RPL27/RPL32/RPL27A/RPL37/RPS4X/RPLP0/RPL10/RPL8/RPS24/RPS5/RPS10/RPL39/RPS9/RPS7/RPS13/RPL36AL/EIF2S3/RPS6/RPS21/RPL18/RPL26/RPL14/RPL36A/RPS18/RPL31/RPL10A/RPL3/EIF5/EIF1AX/RPL19/RPS12/RPS26/RPS15A/RPS3/RPL7A/EIF4B/EIF4EBP1/RPL22/RPL17/EIF4E/RPL5/RPL15/RPS11/RPL18A/RPL13A/RPLP1/UBA52/RPL13/EIF3A/EIF4H/RPS27L/EIF2B4/PABPC1/EIF2S1/EIF4A2/EIF3E/RPL29/RPS16/RPL23/EIF3J/EIF5B/RPL26L1/RPL4/RPL7/RPSA/RPS20/EIF2B5/RPS2/EIF3F/RPLP2/EIF3D/EIF4G1/RPS17/EIF3M/RPL22L1/EIF3H/EIF2B2/RPL28/RPL12/RPS19/RPS8/EIF2S2/EIF3I/EIF3B/EIF2B3/RPL39L/EIF3L/EIF2B1/EIF3G",116,"CNT","AKI_vs_Normal"
"R-HSA-72737","Cap-dependent Translation Initiation","116/4754","120/11230",0.966666666666667,2.28348057775908,12.1107099855814,2.11928742747784e-38,4.40546873986956e-36,2.42881493333316e-36,"RPS4Y1/RPS29/RPL37A/RPL41/RPL21/RPS27/RPL30/RPS28/RPL35/EIF4A1/RPL34/RPL35A/RPL38/EIF3K/RPS15/RPS14/RPS27A/RPL9/RPS25/RPL24/FAU/RPL23A/RPL11/RPL6/RPS23/RPL36/RPS3A/RPL27/RPL32/RPL27A/RPL37/RPS4X/RPLP0/RPL10/RPL8/RPS24/RPS5/RPS10/RPL39/RPS9/RPS7/RPS13/RPL36AL/EIF2S3/RPS6/RPS21/RPL18/RPL26/RPL14/RPL36A/RPS18/RPL31/RPL10A/RPL3/EIF5/EIF1AX/RPL19/RPS12/RPS26/RPS15A/RPS3/RPL7A/EIF4B/EIF4EBP1/RPL22/RPL17/EIF4E/RPL5/RPL15/RPS11/RPL18A/RPL13A/RPLP1/UBA52/RPL13/EIF3A/EIF4H/RPS27L/EIF2B4/PABPC1/EIF2S1/EIF4A2/EIF3E/RPL29/RPS16/RPL23/EIF3J/EIF5B/RPL26L1/RPL4/RPL7/RPSA/RPS20/EIF2B5/RPS2/EIF3F/RPLP2/EIF3D/EIF4G1/RPS17/EIF3M/RPL22L1/EIF3H/EIF2B2/RPL28/RPL12/RPS19/RPS8/EIF2S2/EIF3I/EIF3B/EIF2B3/RPL39L/EIF3L/EIF2B1/EIF3G",116,"CNT","AKI_vs_Normal"
"R-HSA-611105","Respiratory electron transport","141/4754","157/11230",0.898089171974522,2.12148535996506,12.1243229075601,3.98321500370254e-36,7.36009616795258e-34,4.05775469967826e-34,"COX8A/NDUFB1/COX6C/UQCR11/COX7A2/COX7B/NDUFA13/MT-CYB/NDUFA3/NDUFA1/UQCRH/COX17/NDUFB11/COX7C/NDUFAB1/NDUFB2/MT-ND2/COX5B/MT-ND3/COA3/NDUFB8/UQCRQ/NDUFS5/UQCRB/MT-CO3/NDUFA11/NDUFB7/MT-ND1/NDUFA8/NDUFC1/COX6B1/NDUFB9/CYC1/NDUFB4/NDUFV2/PET100/NDUFS6/COX7A1/NDUFA5/NDUFB6/UQCR10/MT-CO2/NDUFA7/COX5A/NDUFB10/NDUFS7/COX6A1/NDUFB3/ETFB/HIGD1A/NDUFA2/COX4I1/NDUFS8/SDHD/MT-ND4/UQCRFS1/NDUFAF3/NDUFA6/NDUFV1/NDUFC2/MT-CO1/MT-ND5/PYURF/NDUFA12/NDUFAF4/NDUFS4/COX20/NDUFAF8/PNKD/TMEM126A/GOT2/MT-ND6/COX16/HIGD2A/NDUFV3/COX7A2L/GOT1/SDHB/SLC25A11/DMAC1/NDUFAF2/BCS1L/NDUFB5/ISCU/UQCC3/ETFA/NDUFA9/UQCRC2/MDH2/COQ10B/OXA1L/PET117/CMC1/UQCRC1/MDH1/LYRM4/SLC25A12/SURF1/NFS1/TMEM223/COX15/NDUFAF5/COX11/LETM1/NDUFS1/COA1/HCCS/TMEM177/COA5/SDHC/ETFDH/NDUFS2/LYRM2/FXN/RAB5IF/SLC25A13/NDUFAF6/SCO1/UQCC2/COX14/DMAC2/NDUFAF1/HSPA9/UQCC1/ACAD9/NDUFS3/LYRM7/COX19/TIMMDC1/HSCB/TMEM126B/NDUFA10/SDHA/TACO1/TTC19/TRAP1/TMEM186/SFXN4/COQ10A/TIMM21/SMIM20",141,"CNT","AKI_vs_Normal"
"R-HSA-1799339","SRP-dependent cotranslational protein targeting to membrane","109/4754","113/11230",0.964601769911504,2.27860283468788,11.7038242451831,7.50352587746802e-36,1.13439668492994e-33,6.25413496581305e-34,"RPS4Y1/RPS29/RPL37A/RPL41/RPL21/RPS27/RPL30/RPS28/RPL35/RPL34/RPL35A/RPL38/SEC61G/RPS15/RPS14/SEC61B/RPS27A/RPL9/RPS25/RPL24/FAU/RPL23A/RPL11/RPL6/TRAM1/RPS23/RPL36/RPS3A/RPL27/RPL32/RPL27A/RPL37/RPS4X/RPLP0/RPL10/RPL8/RPS24/RPS5/RPS10/RPL39/RPS9/RPS7/RPS13/RPL36AL/SRP14/RPS6/RPS21/RPL18/RPL26/RPL14/RPL36A/RPS18/RPL31/RPL10A/RPL3/SRP9/RPL19/RPS12/RPS26/RPS15A/RPS3/RPL7A/RPL22/RPL17/RPL5/RPL15/RPS11/SPCS2/RPL18A/RPL13A/RPLP1/UBA52/SEC61A1/RPL13/SRP54/SRP72/RPN2/SSR1/RPS27L/SEC11C/SSR2/RPN1/RPL29/RPS16/RPL23/SRPRA/RPL26L1/SSR4/SRP68/RPL4/SPCS1/RPL7/RPSA/RPS20/SPCS3/RPS2/SSR3/RPLP2/SRP19/RPS17/RPL22L1/SEC11A/RPL28/RPL12/RPS19/DDOST/RPS8/SRPRB/RPL39L",109,"CNT","AKI_vs_Normal"
