"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","CellType","Condition"
"R-HSA-72766","Translation","279/3643","368/11230",0.758152173913043,2.33709824678657,18.0716336512845,1.85569631273436e-67,3.08973436070271e-64,1.61152574526931e-64,"RPS4Y1/MRPS6/RPLP1/RPL15/RPL32/TRAM1/MRPS11/MRPL15/UBC/RPS14/RPS27/MT-CYB/RPS21/RPS18/PSMA4/EIF3E/RPL36/GSPT1/MRPL52/RPL39/MRPL12/RPS24/RPL19/RPL11/PPA1/RPS26/MRPS23/PSMD8/SEC61G/RPS28/RPL12/MRPS12/RPL10/MT-ND1/RPS9/RPS27L/RBX1/RPS12/MRPL27/MRPL41/RPL29/RPL24/RPS19/AURKAIP1/MRPL36/RPL8/EIF4B/SEC11A/MRPL54/EIF5/EIF4H/TUFM/GADD45GIP1/RPLP2/EIF4E/SEM1/RPL18A/FAU/RPS3/RPL35/RPL5/MRPL42/MRPS10/MT-ND2/PSMD13/UFD1/MRPS5/MRPL48/EEF1E1/RPS15A/UBA52/MRPL22/RPS15/EEF2/PSMD7/PABPC1/SSR4/PSMB2/EIF3L/SRP72/RPS6/SPCS2/RPS27A/MRPL19/MT-ND4L/EIF3B/RPS29/RPS25/RPS5/RPL27/RPS16/SRPRA/RPL21/RPL41/RPL26/RPL36AL/RPL28/MT-ATP6/PSMB7/MRPL9/EIF3G/RPLP0/RPL27A/NPLOC4/PSMD1/RPL30/CHCHD1/MRPL55/RPS7/ABCE1/EIF4A2/TCF25/RPL4/RPS8/SSR3/EIF4G1/RPL7/ZNF598/RPL18/NDUFAB1/PSMD14/PSMA2/RPL35A/PSMA3/EIF4A1/RPL38/MT-ATP8/DDOST/MRPL24/EEF1A1/RPL3/RPL6/ASCC2/MRPL39/MRPL32/SEC61B/RPL34/PSMA7/RPS3A/RPS23/EEF1B2/TRMT112/VCP/NEMF/RPN2/MRPL11/RPS11/RPL23/EIF2S1/RPL31/RPN1/EEF1D/RPL13/PSMB4/EIF3J/RPL17/RPS13/MRPL17/MTIF3/RPL36A/ASCC3/PSMB6/RPL10A/PSMA6/RPL23A/SSR1/RPL13A/RPL14/UBE2D1/RPL37A/MRPL14/MRPL20/AIMP1/ERAL1/MRPL2/PSMB5/MT-CO3/MRPL57/SRP14/SRP9/SEC61A1/MRPS21/MRPL28/MRPS31/LTN1/UBE2D3/RPL7A/MRPS9/PSMD3/EIF3M/MT-ND3/IARS2/MT-ND5/EIF2S3/EIF3H/ETF1/RPL26L1/RPL22/EIF1AX/MRPL13/EIF3I/SSR2/EIF4EBP1/MRPS18C/MRPS28/MT-CO1/ANKZF1/MRPL4/PSMC1/OXA1L/PSMD2/SPCS1/PSMA1/SPCS3/PSMC5/RPS2/PTCD3/MRPS14/EIF3A/PSMB1/RPS20/PSMA5/MRPL58/MRPL23/MRPL35/MALSU1/ELOC/PSMB3/EIF3K/MRPS33/RPS4X/ELOB/RPS10/MRPS18B/MRPS16/CUL2/UBB/MRPS15/MRPS34/SRP19/DAP3/SEC11C/MRPL1/MRPL37/RPL9/MRPL51/MT-ND6/RPS17/EIF5B/MT-ND4/MT-CO2/PSMC6/MRPL18/PSMD11/PSMD6/MRPS7/MRPL34/MRPL50/PSMC4/PSMD12/RPSA/RPL22L1/UBE2D2/ADRM1/MRPL33/RPL37/PSMC2/MRPL3/MRPL47/PELO/EIF3D/MRPL40/MRPS26/MRPL21/MRPL43/EIF3F/EIF2S2/PSMC3/SRP54",279,"EC_DVR","AKI_vs_Normal"
"R-HSA-9948299","Ribosome-associated quality control","137/3643","145/11230",0.944827586206897,2.91254839228752,16.0617798733345,3.51878198981295e-57,2.92938600651928e-54,1.5278921797872e-54,"RPS4Y1/RPLP1/RPL15/RPL32/UBC/RPS14/RPS27/RPS21/RPS18/PSMA4/RPL36/RPL39/RPS24/RPL19/RPL11/RPS26/PSMD8/RPS28/RPL12/RPL10/RPS9/RPS27L/RBX1/RPS12/RPL29/RPL24/RPS19/RPL8/RPLP2/SEM1/RPL18A/FAU/RPS3/RPL35/RPL5/PSMD13/UFD1/RPS15A/UBA52/RPS15/PSMD7/PSMB2/RPS6/RPS27A/RPS29/RPS25/RPS5/RPL27/RPS16/RPL21/RPL41/RPL26/RPL36AL/RPL28/PSMB7/RPLP0/RPL27A/NPLOC4/PSMD1/RPL30/RPS7/ABCE1/TCF25/RPL4/RPS8/RPL7/ZNF598/RPL18/PSMD14/PSMA2/RPL35A/PSMA3/RPL38/RPL3/RPL6/ASCC2/RPL34/PSMA7/RPS3A/RPS23/VCP/NEMF/RPS11/RPL23/RPL31/RPL13/PSMB4/RPL17/RPS13/RPL36A/ASCC3/PSMB6/RPL10A/PSMA6/RPL23A/RPL13A/RPL14/UBE2D1/RPL37A/PSMB5/LTN1/UBE2D3/RPL7A/PSMD3/RPL26L1/RPL22/ANKZF1/PSMC1/PSMD2/PSMA1/PSMC5/RPS2/PSMB1/RPS20/PSMA5/ELOC/PSMB3/RPS4X/ELOB/RPS10/CUL2/UBB/RPL9/RPS17/PSMC6/PSMD11/PSMD6/PSMC4/PSMD12/RPSA/RPL22L1/UBE2D2/ADRM1/RPL37/PSMC2/PELO/PSMC3",137,"EC_DVR","AKI_vs_Normal"
"R-HSA-72203","Processing of Capped Intron-Containing Pre-mRNA","218/3643","294/11230",0.741496598639456,2.28575536720315,15.4798890934256,7.56983225020793e-50,4.2012568988654e-47,2.19126723032335e-47,"PPP1CB/TRA2B/DDX5/DHX15/PRPF3/UBC/SRRM2/HNRNPF/LSM5/LSM7/NUP98/POLR2J/SNRPD1/LSM4/LUC7L3/FUS/YBX1/NUDT21/HNRNPA2B1/SRSF10/RBM8A/THOC5/HNRNPH1/SNRPD2/RBM39/PRPF4/HTATSF1/POLR2C/SNRPB2/NXT1/EIF4E/PCBP1/PPP1R10/ZCRB1/U2AF1L4/HNRNPC/POLR2L/GCFC2/SMNDC1/RBM7/UBL5/DHX38/SF3B5/HNRNPU/FAM50A/UBA52/PPWD1/RBM25/SARNP/YJU2/SNRPG/RPS27A/THOC3/DHX8/POLR2B/SNRNP200/SRRM1/NUP214/WBP11/SRSF6/SNRPE/ZC3H11A/NUP37/PAPOLA/HSPA8/TXNL4A/ZNF830/NSRP1/SRSF5/PTBP1/DDX39B/POLR2I/POLR2E/CDC40/DDX23/POLDIP3/SNRPB/POLR2F/SNRPA1/DDX46/CWF19L2/NUP88/PQBP1/NUP155/U2SURP/DDX39A/SRSF8/MAGOH/PRPF6/CWC25/NUP62/HNRNPD/NXF1/HNRNPA1/NUP54/SRRT/SF3B4/FAM32A/RBM17/NUP50/HNRNPK/DHX9/SNW1/PNN/RBBP6/CWC15/SF3B1/SRSF4/CSTF3/USP39/SRSF3/SYMPK/PPIL2/NUP160/SNRNP40/LSM6/HNRNPL/PABPN1/SRSF9/HNRNPA3/PRPF8/HNRNPR/SNRPF/CASC3/LSM2/THOC7/SF3B6/CCAR1/PCBP2/SNRPN/CPSF2/THOC1/WDR33/METTL14/SF3A1/HNRNPM/CWC22/SRSF2/UPF3B/CCDC12/PPP1CA/POLR2K/EIF4A3/NUP153/NUP58/PRPF38A/SRSF7/AQR/SRSF1/SF3B3/PRKRIP1/XRN2/SMU1/SF1/LSM3/METTL3/NUP133/LSM8/POLR2H/RBM5/SEH1L/FYTTD1/ISY1/PRPF40A/SNRNP35/NCBP2/RBM42/SF3B2/PCF11/CHTOP/ACIN1/RNPS1/UBB/IK/SNRNP48/POM121/SYF2/SNRPD3/RNPC3/CDC5L/SAP18/RBMX2/PPIG/CPSF7/PLRG1/PUF60/DHX16/TPR/GTF2F1/RBMX/POLR2A/DDX42/LENG1/ALYREF/SNRPC/CSTF2T/WBP4/SNRNP70/PRPF31/CPSF6/SRSF11/RBM22/BUD31/DNAJC8/PPIH/WTAP/U2AF2/RBM10/C9orf78/RANBP2/SART1/THOC2/ZMAT2/HNRNPH2/SNU13/CTNNBL1/SF3A2/CRNKL1",218,"EC_DVR","AKI_vs_Normal"
"R-HSA-72706","GTP hydrolysis and joining of the 60S ribosomal subunit","108/3643","113/11230",0.955752212389381,2.94622490945176,14.4079943712359,1.12436772842913e-46,4.68018066958626e-44,2.44106151566851e-44,"RPS4Y1/RPLP1/RPL15/RPL32/RPS14/RPS27/RPS21/RPS18/EIF3E/RPL36/RPL39/RPS24/RPL19/RPL11/RPS26/RPS28/RPL12/RPL10/RPS9/RPS27L/RPS12/RPL29/RPL24/RPS19/RPL8/EIF4B/EIF5/EIF4H/RPLP2/EIF4E/RPL18A/FAU/RPS3/RPL35/RPL5/RPS15A/UBA52/RPS15/EIF3L/RPS6/RPS27A/EIF3B/RPS29/RPS25/RPS5/RPL27/RPS16/RPL21/RPL41/RPL26/RPL36AL/RPL28/EIF3G/RPLP0/RPL27A/RPL30/RPS7/EIF4A2/RPL4/RPS8/EIF4G1/RPL7/RPL18/RPL35A/EIF4A1/RPL38/RPL3/RPL6/RPL34/RPS3A/RPS23/RPS11/RPL23/EIF2S1/RPL31/RPL13/EIF3J/RPL17/RPS13/RPL36A/RPL10A/RPL23A/RPL13A/RPL14/RPL37A/RPL7A/EIF3M/EIF2S3/EIF3H/RPL26L1/RPL22/EIF1AX/EIF3I/RPS2/EIF3A/RPS20/EIF3K/RPS4X/RPS10/RPL9/RPS17/EIF5B/RPSA/RPL22L1/RPL37/EIF3D/EIF3F/EIF2S2",108,"EC_DVR","AKI_vs_Normal"
"R-HSA-9010553","Regulation of expression of SLITs and ROBOs","138/3643","159/11230",0.867924528301887,2.67548516410381,14.7438467440248,1.73586831950548e-46,5.78044150395326e-44,3.01492918650952e-44,"RPS4Y1/RPLP1/RPL15/RPL32/UBC/RPS14/RPS27/RPS21/RPS18/PSMA4/RPL36/GSPT1/RPL39/RPS24/RPL19/RPL11/RPS26/PSMD8/RPS28/RPL12/UPF2/RPL10/RPS9/RPS27L/RBX1/RBM8A/RPS12/RPL29/RPL24/DAG1/RPS19/RPL8/RPLP2/SEM1/RPL18A/FAU/RPS3/RPL35/RPL5/PSMD13/RPS15A/UBA52/RPS15/PSMD7/PABPC1/PSMB2/RPS6/RPS27A/RPS29/RPS25/RPS5/RPL27/RPS16/RPL21/RPL41/RPL26/RPL36AL/RPL28/PSMB7/RPLP0/RPL27A/PSMD1/UPF3A/RPL30/RPS7/RPL4/RPS8/EIF4G1/RPL7/RPL18/PSMD14/PSMA2/RPL35A/PSMA3/RPL38/RPL3/RPL6/RPL34/PSMA7/RPS3A/MAGOH/RPS23/RPS11/RPL23/RPL31/RPL13/PSMB4/RPL17/RPS13/RPL36A/PSMB6/RPL10A/PSMA6/RPL23A/RPL13A/RPL14/RPL37A/CASC3/PSMB5/RPL7A/UPF3B/PSMD3/EIF4A3/ETF1/RPL26L1/RPL22/PSMC1/PSMD2/PSMA1/PSMC5/RPS2/PSMB1/USP33/RPS20/PSMA5/ELOC/NCBP2/PSMB3/RPS4X/ELOB/RPS10/RNPS1/CUL2/UBB/ZSWIM8/RPL9/RPS17/PSMC6/PSMD11/PSMD6/PSMC4/PSMD12/RPSA/RPL22L1/ADRM1/RPL37/PSMC2/PSMC3",138,"EC_DVR","AKI_vs_Normal"
"R-HSA-156827","L13a-mediated translational silencing of Ceruloplasmin expression","107/3643","112/11230",0.955357142857143,2.94500705854672,14.3344799903016,3.379541941201e-46,9.37822888683276e-44,4.89144228331723e-44,"RPS4Y1/RPLP1/RPL15/RPL32/RPS14/RPS27/RPS21/RPS18/EIF3E/RPL36/RPL39/RPS24/RPL19/RPL11/RPS26/RPS28/RPL12/RPL10/RPS9/RPS27L/RPS12/RPL29/RPL24/RPS19/RPL8/EIF4B/EIF4H/RPLP2/EIF4E/RPL18A/FAU/RPS3/RPL35/RPL5/RPS15A/UBA52/RPS15/PABPC1/EIF3L/RPS6/RPS27A/EIF3B/RPS29/RPS25/RPS5/RPL27/RPS16/RPL21/RPL41/RPL26/RPL36AL/RPL28/EIF3G/RPLP0/RPL27A/RPL30/RPS7/EIF4A2/RPL4/RPS8/EIF4G1/RPL7/RPL18/RPL35A/EIF4A1/RPL38/RPL3/RPL6/RPL34/RPS3A/RPS23/RPS11/RPL23/EIF2S1/RPL31/RPL13/EIF3J/RPL17/RPS13/RPL36A/RPL10A/RPL23A/RPL13A/RPL14/RPL37A/RPL7A/EIF3M/EIF2S3/EIF3H/RPL26L1/RPL22/EIF1AX/EIF3I/RPS2/EIF3A/RPS20/EIF3K/RPS4X/RPS10/RPL9/RPS17/RPSA/RPL22L1/RPL37/EIF3D/EIF3F/EIF2S2",107,"EC_DVR","AKI_vs_Normal"
"R-HSA-1799339","SRP-dependent cotranslational protein targeting to membrane","106/3643","113/11230",0.938053097345133,2.89166518890635,14.0040861987032,1.43510083261903e-43,3.41348983758669e-41,1.78038825099353e-41,"RPS4Y1/RPLP1/RPL15/RPL32/TRAM1/RPS14/RPS27/RPS21/RPS18/RPL36/RPL39/RPS24/RPL19/RPL11/RPS26/SEC61G/RPS28/RPL12/RPL10/RPS9/RPS27L/RPS12/RPL29/RPL24/RPS19/RPL8/SEC11A/RPLP2/RPL18A/FAU/RPS3/RPL35/RPL5/RPS15A/UBA52/RPS15/SSR4/SRP72/RPS6/SPCS2/RPS27A/RPS29/RPS25/RPS5/RPL27/RPS16/SRPRA/RPL21/RPL41/RPL26/RPL36AL/RPL28/RPLP0/RPL27A/RPL30/RPS7/RPL4/RPS8/SSR3/RPL7/RPL18/RPL35A/RPL38/DDOST/RPL3/RPL6/SEC61B/RPL34/RPS3A/RPS23/RPN2/RPS11/RPL23/RPL31/RPN1/RPL13/RPL17/RPS13/RPL36A/RPL10A/RPL23A/SSR1/RPL13A/RPL14/RPL37A/SRP14/SRP9/SEC61A1/RPL7A/RPL26L1/RPL22/SSR2/SPCS1/SPCS3/RPS2/RPS20/RPS4X/RPS10/SRP19/SEC11C/RPL9/RPS17/RPSA/RPL22L1/RPL37/SRP54",106,"EC_DVR","AKI_vs_Normal"
"R-HSA-72613","Eukaryotic Translation Initiation","110/3643","120/11230",0.916666666666667,2.82573885991399,13.9327658149131,1.41733981901407e-42,2.28216916655598e-40,1.19032057051284e-40,"RPS4Y1/RPLP1/RPL15/RPL32/RPS14/RPS27/RPS21/RPS18/EIF3E/RPL36/RPL39/RPS24/RPL19/RPL11/RPS26/RPS28/RPL12/RPL10/RPS9/RPS27L/RPS12/RPL29/RPL24/RPS19/RPL8/EIF4B/EIF5/EIF4H/RPLP2/EIF4E/RPL18A/FAU/RPS3/RPL35/RPL5/RPS15A/UBA52/RPS15/PABPC1/EIF3L/RPS6/RPS27A/EIF3B/RPS29/RPS25/RPS5/RPL27/RPS16/RPL21/RPL41/RPL26/RPL36AL/RPL28/EIF3G/RPLP0/RPL27A/RPL30/RPS7/EIF4A2/RPL4/RPS8/EIF4G1/RPL7/RPL18/RPL35A/EIF4A1/RPL38/RPL3/RPL6/RPL34/RPS3A/RPS23/RPS11/RPL23/EIF2S1/RPL31/RPL13/EIF3J/RPL17/RPS13/RPL36A/RPL10A/RPL23A/RPL13A/RPL14/RPL37A/RPL7A/EIF3M/EIF2S3/EIF3H/RPL26L1/RPL22/EIF1AX/EIF3I/EIF4EBP1/RPS2/EIF3A/RPS20/EIF3K/RPS4X/RPS10/RPL9/RPS17/EIF5B/RPSA/RPL22L1/RPL37/EIF3D/EIF3F/EIF2S2",110,"EC_DVR","AKI_vs_Normal"
"R-HSA-72737","Cap-dependent Translation Initiation","110/3643","120/11230",0.916666666666667,2.82573885991399,13.9327658149131,1.41733981901407e-42,2.28216916655598e-40,1.19032057051284e-40,"RPS4Y1/RPLP1/RPL15/RPL32/RPS14/RPS27/RPS21/RPS18/EIF3E/RPL36/RPL39/RPS24/RPL19/RPL11/RPS26/RPS28/RPL12/RPL10/RPS9/RPS27L/RPS12/RPL29/RPL24/RPS19/RPL8/EIF4B/EIF5/EIF4H/RPLP2/EIF4E/RPL18A/FAU/RPS3/RPL35/RPL5/RPS15A/UBA52/RPS15/PABPC1/EIF3L/RPS6/RPS27A/EIF3B/RPS29/RPS25/RPS5/RPL27/RPS16/RPL21/RPL41/RPL26/RPL36AL/RPL28/EIF3G/RPLP0/RPL27A/RPL30/RPS7/EIF4A2/RPL4/RPS8/EIF4G1/RPL7/RPL18/RPL35A/EIF4A1/RPL38/RPL3/RPL6/RPL34/RPS3A/RPS23/RPS11/RPL23/EIF2S1/RPL31/RPL13/EIF3J/RPL17/RPS13/RPL36A/RPL10A/RPL23A/RPL13A/RPL14/RPL37A/RPL7A/EIF3M/EIF2S3/EIF3H/RPL26L1/RPL22/EIF1AX/EIF3I/EIF4EBP1/RPS2/EIF3A/RPS20/EIF3K/RPS4X/RPS10/RPL9/RPS17/EIF5B/RPSA/RPL22L1/RPL37/EIF3D/EIF3F/EIF2S2",110,"EC_DVR","AKI_vs_Normal"
"R-HSA-376176","Signaling by ROBO receptors","161/3643","205/11230",0.785365853658537,2.4209877948354,14.2279740252078,1.50773938931627e-42,2.28216916655598e-40,1.19032057051284e-40,"RPS4Y1/RPLP1/RPL15/RPL32/UBC/RPS14/RPS27/RPS21/RPS18/PSMA4/RPL36/GSPT1/PRKACB/RPL39/RPS24/RPL19/RPL11/RPS26/CDC42/PSMD8/RPS28/RPL12/UPF2/RPL10/RPS9/RPS27L/RBX1/RBM8A/RPS12/RPL29/RPL24/DAG1/RPS19/RPL8/PFN1/RPLP2/SEM1/RPL18A/FAU/RPS3/RPL35/RPL5/PSMD13/RPS15A/UBA52/RPS15/PSMD7/PABPC1/PSMB2/RPS6/RPS27A/RPS29/RPS25/RPS5/RPL27/RPS16/RPL21/RPL41/RPL26/RPL36AL/RPL28/PSMB7/EVL/RPLP0/RPL27A/PSMD1/UPF3A/RPL30/SRGAP1/RPS7/SRGAP2/RPL4/RPS8/EIF4G1/RPL7/RPL18/PSMD14/PSMA2/RPL35A/PSMA3/RHOA/RPL38/SOS1/VASP/RPL3/RPL6/NRP1/RPL34/PSMA7/RPS3A/MAGOH/RPS23/RPS11/RPL23/RPL31/RPL13/PSMB4/MYO9B/NCK1/RPL17/RPS13/RPL36A/PSMB6/RPL10A/PSMA6/RPL23A/RPL13A/RPL14/RPL37A/CASC3/PSMB5/PFN2/RPL7A/UPF3B/PSMD3/CXCL12/EIF4A3/ETF1/RPL26L1/RPL22/SOS2/ENAH/PSMC1/PPP3CB/PSMD2/PAK2/PSMA1/PSMC5/RPS2/ABL2/PSMB1/USP33/RPS20/PSMA5/ELOC/NCBP2/PSMB3/RPS4X/ELOB/RPS10/RNPS1/CUL2/UBB/ZSWIM8/RPL9/CAP1/RPS17/PSMC6/PSMD11/PSMD6/PSMC4/PSMD12/RPSA/RPL22L1/ADRM1/RPL37/PSMC2/CLASP2/PRKAR2A/RAC1/PSMC3",161,"EC_DVR","AKI_vs_Normal"
