"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","CellType","Condition"
"R-HSA-72766","Translation","289/3827","368/11230",0.785326086956522,2.30447137614887,18.2936119022448,1.22399857656336e-70,2.04530162143737e-67,1.06423455183298e-67,"MT-CO1/MT-ND4/EEF1G/RPL9/RPL37A/EIF4B/PSMA6/SSR4/MRPL41/RPL17/ELOB/MT-ATP8/MT-ND6/SEC61G/PSMB6/MRPL20/EIF1AX/EIF5B/RPS26/RPS15/MRPL57/EIF4A2/SEC11A/MRPL51/MT-ATP6/PABPC1/MRPL17/RPL31/NDUFAB1/RPS27L/TUFM/RPL18/MRPL55/RPS10/UBB/EIF3H/EEF2/RPL37/RPLP0/RPL7/RPS6/MRPL52/EIF4H/RPL4/UBA52/RPL8/EEF1D/RPS21/SPCS1/RPS29/PSMD8/MRPL11/RPN1/MRPL58/MT-ND3/PSMB4/PSMB5/PSMB3/SRP54/UBE2D3/RPL29/SPCS3/MRPL33/OXA1L/RPL27/SSR2/RPL36A/MT-CO2/PELO/PSMB1/MRPL1/UFD1/PSMA3/RPS27/RARS2/MT-ND4L/RPL24/RPL14/FAU/GADD45GIP1/PSMD13/RPN2/PSMD12/RPL13/MT-ND2/RPL35A/RPS12/PSMC5/EIF3A/PSMB2/MTRF1L/RPLP2/TRAM1/RPS28/RPL35/EEF1B2/RPS19/EIF3B/MRPL36/PSMA7/EIF3M/CUL2/SRP9/SEC61A1/RPS17/RPL12/CHCHD1/RPS8/SEC61B/RPL6/RPS15A/RPL18A/RPS16/RPS25/PSMD11/RPL41/MRPL28/MT-ND5/MRPL27/MRPL3/NEMF/PSMC4/EIF2S2/RPL13A/RPL34/RPL36/RPL3/MRPL34/RPS23/RPS7/SRP14/RPL7A/PSMA4/EIF3J/RPL23A/RPS20/RPS9/MRPS16/MRPS22/ELOC/EIF3D/EIF3G/MRPS18A/RPL22L1/EIF3F/EIF3K/MTIF3/RPL23/RPL38/MRPS26/PSMD7/SRP72/ADRM1/MRPS11/KLHDC10/MALSU1/MRPS21/RPL36AL/ANKZF1/EIF3I/SSR1/TRMT112/PSMD1/MT-ND1/RPL5/MRPS5/PSMD14/PSMB7/RPL26/PSMC3/MRPL43/SEM1/AURKAIP1/RPSA/TCF25/EEF1A1/MRPS15/MRPL9/PSMA1/MRPL32/RPL22/SEC11C/RPS5/MRPL23/RPS2/RBX1/MIEF1/EIF3E/MRPL37/RPL28/ABCE1/PSMD3/MRPL12/UBE2D2/MRPL16/HBS1L/RPS14/MRPL21/MRPL18/EIF5/GSPT1/ETF1/PSMD6/AIMP1/RPS4Y1/MRPL40/UBC/MRPS10/EIF4G1/RPL21/SPCS2/MT-CO3/EIF2S1/RPS3A/MRPS25/SRPRA/FARSA/DDOST/EIF2S3/EIF4A1/RPL27A/MRPS34/PSMA5/MRPS30/PSMD2/MRPL50/RPL32/MRPS12/PSMC6/MRPS27/PSMC1/MRPL22/RPLP1/MRPS18C/MRPL19/UBE2D1/MRPL2/RPL10A/RPS4X/MRPL48/MRPL4/MRPL54/RPL19/EIF4EBP1/MRPS28/MRPS18B/RPL26L1/MRPL13/VCP/EIF4E/RCHY1/GFM1/MRPL47/RPS11/PSMA2/MRPS14/MRPS31/MT-CYB/LTN1/ASCC3/EEF1E1/PPA1/PTCD3/IARS2/MRPL15/RPS18/RPL15/MRPS33/NPLOC4/RPS13/MRPS7/EIF3L/PSMC2/RPS27A/DAP3/MRPS23/SRP19/EIF2B1/MRPL24/TSFM/EIF2B4/MRPL42/SSR3/RPS3/RPL11/RPL30/RPL39/RPS24/RPL10",289,"EC_GC","AKI_vs_Normal"
"R-HSA-9948299","Ribosome-associated quality control","138/3827","145/11230",0.951724137931034,2.7927520431057,15.6218432528162,8.09050027802962e-56,6.75961298229375e-53,3.51723854192235e-53,"RPL9/RPL37A/PSMA6/RPL17/ELOB/PSMB6/RPS26/RPS15/RPL31/RPS27L/RPL18/RPS10/UBB/RPL37/RPLP0/RPL7/RPS6/RPL4/UBA52/RPL8/RPS21/RPS29/PSMD8/PSMB4/PSMB5/PSMB3/UBE2D3/RPL29/RPL27/RPL36A/PELO/PSMB1/UFD1/PSMA3/RPS27/RPL24/RPL14/FAU/PSMD13/PSMD12/RPL13/RPL35A/RPS12/PSMC5/PSMB2/RPLP2/RPS28/RPL35/RPS19/PSMA7/CUL2/RPS17/RPL12/RPS8/RPL6/RPS15A/RPL18A/RPS16/RPS25/PSMD11/RPL41/NEMF/PSMC4/RPL13A/RPL34/RPL36/RPL3/RPS23/RPS7/RPL7A/PSMA4/RPL23A/RPS20/RPS9/ELOC/RPL22L1/RPL23/RPL38/PSMD7/ADRM1/KLHDC10/RPL36AL/ANKZF1/PSMD1/RPL5/PSMD14/PSMB7/RPL26/PSMC3/SEM1/RPSA/TCF25/PSMA1/RPL22/RPS5/RPS2/RBX1/RPL28/ABCE1/PSMD3/UBE2D2/HBS1L/RPS14/PSMD6/RPS4Y1/UBC/RPL21/RPS3A/RPL27A/PSMA5/PSMD2/RPL32/PSMC6/PSMC1/RPLP1/UBE2D1/RPL10A/RPS4X/RPL19/RPL26L1/VCP/RCHY1/RPS11/PSMA2/LTN1/ASCC3/RPS18/RPL15/NPLOC4/RPS13/PSMC2/RPS27A/RPS3/RPL11/RPL30/RPL39/RPS24/RPL10",138,"EC_GC","AKI_vs_Normal"
"R-HSA-72172","mRNA Splicing","178/3827","213/11230",0.835680751173709,2.45223277650399,15.3847434593956,5.17043141564381e-51,2.8799302985136e-48,1.49851801730589e-48,"SRSF3/U2AF1/SF3B6/DDX5/C9orf78/TRA2B/PCBP1/SRSF7/SNRPD3/LUC7L3/HNRNPA2B1/DDX42/SNRPG/HNRNPR/CASC3/MAGOH/POLR2L/SRSF1/LSM7/HNRNPF/WDR70/CWC25/RBM25/SNRNP70/PRPF8/SRSF10/UBL5/ZMAT2/HNRNPH1/SNU13/U2SURP/SNRPN/SRRM2/PNN/SRSF4/PPIG/DNAJC8/SRSF2/SNRPC/HSPA8/SF3B1/HNRNPD/HNRNPA1/SF3B5/HNRNPH2/POLR2E/HNRNPA3/CWC15/SRSF9/CWC22/PTBP1/POLR2A/SF3B3/POLR2K/TXNL4A/CRNKL1/RBM17/RBM5/PRPF40A/RBMX/HNRNPU/RBMX2/CWF19L2/SYF2/LSM4/YBX1/WBP11/LSM8/IK/SF3A2/NCBP2/RNPS1/SF3A1/HNRNPK/HNRNPL/PRPF6/DHX15/SF3B2/DDX23/POLR2J/DDX46/SNW1/SF3B4/RBM42/SAP18/SNRPF/PRKRIP1/FUS/SNRPB/CDC5L/HNRNPM/RBM7/SRSF6/SNRPD1/AQR/DDX39B/ALYREF/SRSF8/FAM32A/WBP4/DHX8/UPF3B/SNRNP200/MFAP1/ZCRB1/SRRM1/LSM3/PRPF3/SMU1/DHX38/SF1/U2AF1L4/NSRP1/PPIH/SF3A3/TCERG1/LSM6/CCDC12/SNRPA/PRCC/POLR2G/SRSF11/EIF4A3/ACIN1/CDC40/RBM22/USP39/PQBP1/GTF2F1/PPIE/SNRPA1/HNRNPC/DDX41/SNRNP35/POLR2B/CWC27/PUF60/RNPC3/POLR2I/SNRPB2/PPIL2/FAM50A/NKAP/BUD31/PPIL4/SNRNP27/HTATSF1/LSM2/CCAR1/RBM39/SNRPE/RBM10/ZMAT5/SNRNP40/DHX9/ZNF830/SRSF5/SLU7/BCAS2/POLR2F/SNRPD2/LENG1/MAGOHB/POLR2H/PPWD1/PDCD7/LSM5/SMNDC1/ISY1/PHF5A/PLRG1/U2AF2/PRPF38A/RBM8A/PRPF31/PCBP2/POLR2C/SNRNP48",178,"EC_GC","AKI_vs_Normal"
"R-HSA-72163","mRNA Splicing - Major Pathway","172/3827","205/11230",0.839024390243902,2.46204439572486,15.1895213688329,8.16173439124799e-50,3.00326185384423e-47,1.56269129186767e-47,"SRSF3/U2AF1/SF3B6/DDX5/C9orf78/TRA2B/PCBP1/SRSF7/SNRPD3/LUC7L3/HNRNPA2B1/DDX42/SNRPG/HNRNPR/CASC3/MAGOH/POLR2L/SRSF1/LSM7/HNRNPF/WDR70/CWC25/RBM25/SNRNP70/PRPF8/SRSF10/UBL5/ZMAT2/HNRNPH1/SNU13/U2SURP/SNRPN/SRRM2/PNN/SRSF4/PPIG/DNAJC8/SRSF2/SNRPC/HSPA8/SF3B1/HNRNPD/HNRNPA1/SF3B5/HNRNPH2/POLR2E/HNRNPA3/CWC15/SRSF9/CWC22/PTBP1/POLR2A/SF3B3/POLR2K/TXNL4A/CRNKL1/RBM17/RBM5/PRPF40A/RBMX/HNRNPU/RBMX2/CWF19L2/SYF2/LSM4/YBX1/WBP11/LSM8/IK/SF3A2/NCBP2/RNPS1/SF3A1/HNRNPK/HNRNPL/PRPF6/DHX15/SF3B2/DDX23/POLR2J/DDX46/SNW1/SF3B4/RBM42/SAP18/SNRPF/PRKRIP1/FUS/SNRPB/CDC5L/HNRNPM/RBM7/SRSF6/SNRPD1/AQR/DDX39B/ALYREF/SRSF8/FAM32A/WBP4/DHX8/UPF3B/SNRNP200/MFAP1/SRRM1/LSM3/PRPF3/SMU1/DHX38/SF1/U2AF1L4/NSRP1/PPIH/SF3A3/TCERG1/LSM6/CCDC12/SNRPA/PRCC/POLR2G/SRSF11/EIF4A3/ACIN1/CDC40/RBM22/USP39/PQBP1/GTF2F1/PPIE/SNRPA1/HNRNPC/DDX41/POLR2B/CWC27/PUF60/POLR2I/SNRPB2/PPIL2/FAM50A/NKAP/BUD31/PPIL4/SNRNP27/HTATSF1/LSM2/CCAR1/RBM39/SNRPE/RBM10/SNRNP40/DHX9/ZNF830/SRSF5/SLU7/BCAS2/POLR2F/SNRPD2/LENG1/MAGOHB/POLR2H/PPWD1/LSM5/SMNDC1/ISY1/PHF5A/PLRG1/U2AF2/PRPF38A/RBM8A/PRPF31/PCBP2/POLR2C",172,"EC_GC","AKI_vs_Normal"
"R-HSA-72203","Processing of Capped Intron-Containing Pre-mRNA","223/3827","294/11230",0.758503401360544,2.22576252868537,15.312519426635,8.98642086727776e-50,3.00326185384423e-47,1.56269129186767e-47,"SRSF3/U2AF1/ZC3H11A/SF3B6/DDX5/C9orf78/TRA2B/PPP1R10/PCBP1/SRSF7/SNRPD3/LUC7L3/HNRNPA2B1/DDX42/SNRPG/HNRNPR/CASC3/MAGOH/PCF11/TPR/POLR2L/SRSF1/LSM7/UBB/HNRNPF/WDR70/THOC7/UBA52/CWC25/RBM25/CPSF2/SNRNP70/PRPF8/SEC13/SRSF10/UBL5/ZMAT2/HNRNPH1/SNU13/U2SURP/SNRPN/SRRM2/PNN/NUP58/SRSF4/PPIG/DNAJC8/SRSF2/SNRPC/WTAP/HSPA8/SF3B1/METTL14/HNRNPD/HNRNPA1/SF3B5/HNRNPH2/POLR2E/HNRNPA3/CWC15/SRSF9/NUP50/CWC22/PTBP1/POLR2A/NUP85/PAPOLA/SF3B3/POLR2K/TXNL4A/CRNKL1/RBM17/RBM5/PRPF40A/RBMX/HNRNPU/XRN2/RBMX2/CWF19L2/SYF2/LSM4/PPP1CA/PPP1CB/YBX1/WBP11/LSM8/IK/SF3A2/NCBP2/RNPS1/NXT1/CPSF7/SF3A1/HNRNPK/HNRNPL/PRPF6/DHX15/SF3B2/DDX23/POLR2J/DDX46/SNW1/NUP54/SF3B4/RBM42/SAP18/SNRPF/PRKRIP1/FUS/SNRPB/CDC5L/HNRNPM/RBM7/SRSF6/SNRPD1/AQR/DDX39B/NUDT21/ALYREF/SRSF8/FAM32A/WBP4/DHX8/THOC2/RBBP6/UPF3B/SNRNP200/MFAP1/ZCRB1/SRRM1/LSM3/CHTOP/RANBP2/PRPF3/SMU1/DHX38/SF1/U2AF1L4/NSRP1/PPIH/SF3A3/TCERG1/LSM6/CCDC12/SNRPA/PRCC/CPSF6/POLR2G/THOC1/SLBP/SRSF11/EIF4A3/SYMPK/ACIN1/CDC40/POM121/RBM22/UBC/USP39/PQBP1/GTF2F1/PPIE/FYTTD1/SNRPA1/HNRNPC/DDX41/SNRNP35/NUP37/POLR2B/NUP214/CWC27/PUF60/RNPC3/POLR2I/SNRPB2/PPIL2/NUP153/FAM50A/FIP1L1/NKAP/BUD31/PPIL4/SNRNP27/HTATSF1/PABPN1/LSM2/CCAR1/POLDIP3/RBM39/SNRPE/RBM10/ZMAT5/SNRNP40/DHX9/EIF4E/ZNF830/SRSF5/SLU7/CSTF3/BCAS2/POLR2F/WDR33/SNRPD2/LENG1/MAGOHB/POLR2H/PPWD1/PDCD7/LSM5/SMNDC1/ISY1/PHF5A/NUP98/PLRG1/U2AF2/PRPF38A/RBM8A/DDX39A/RPS27A/PRPF31/PCBP2/POLR2C/SNRNP48",223,"EC_GC","AKI_vs_Normal"
"R-HSA-9010553","Regulation of expression of SLITs and ROBOs","140/3827","159/11230",0.880503144654088,2.58376020759483,14.4607381160276,5.67520660807402e-46,1.58054504034862e-43,8.22407133029674e-44,"RPL9/RPL37A/PSMA6/RPL17/ELOB/PSMB6/RPS26/RPS15/PABPC1/CASC3/MAGOH/RPL31/RPS27L/RPL18/RPS10/UBB/RPL37/RPLP0/RPL7/RPS6/RPL4/UBA52/RPL8/RPS21/RPS29/PSMD8/PSMB4/PSMB5/PSMB3/RPL29/RPL27/RPL36A/PSMB1/PSMA3/RPS27/RPL24/RPL14/FAU/PSMD13/PSMD12/RPL13/RPL35A/RPS12/PSMC5/PSMB2/RPLP2/RPS28/RPL35/DAG1/RPS19/UPF3A/PSMA7/CUL2/NCBP2/RNPS1/RPS17/RPL12/RPS8/RPL6/RPS15A/RPL18A/RPS16/RPS25/PSMD11/RPL41/PSMC4/RPL13A/RPL34/RPL36/RPL3/RPS23/RPS7/RPL7A/PSMA4/RPL23A/RPS20/RPS9/USP33/ELOC/RPL22L1/RPL23/RPL38/PSMD7/ADRM1/UPF3B/RPL36AL/PSMD1/RPL5/ZSWIM8/PSMD14/PSMB7/RPL26/PSMC3/SEM1/RPSA/PSMA1/RPL22/RPS5/RPS2/RBX1/RPL28/PSMD3/RPS14/GSPT1/EIF4A3/ETF1/PSMD6/RPS4Y1/UBC/EIF4G1/RPL21/RPS3A/UPF2/RPL27A/ROBO1/PSMA5/PSMD2/RPL32/PSMC6/PSMC1/RPLP1/RPL10A/RPS4X/RPL19/RPL26L1/RPS11/PSMA2/MAGOHB/RPS18/RPL15/RBM8A/RPS13/PSMC2/RPS27A/RPS3/RPL11/RPL30/RPL39/RPS24/RPL10",140,"EC_GC","AKI_vs_Normal"
"R-HSA-72706","GTP hydrolysis and joining of the 60S ribosomal subunit","108/3827","113/11230",0.955752212389381,2.80457207868637,13.8616698135756,2.20398918447296e-44,5.26123703893475e-42,2.73758656597694e-42,"RPL9/RPL37A/EIF4B/RPL17/EIF1AX/EIF5B/RPS26/RPS15/EIF4A2/RPL31/RPS27L/RPL18/RPS10/EIF3H/RPL37/RPLP0/RPL7/RPS6/EIF4H/RPL4/UBA52/RPL8/RPS21/RPS29/RPL29/RPL27/RPL36A/RPS27/RPL24/RPL14/FAU/RPL13/RPL35A/RPS12/EIF3A/RPLP2/RPS28/RPL35/RPS19/EIF3B/EIF3M/RPS17/RPL12/RPS8/RPL6/RPS15A/RPL18A/RPS16/RPS25/RPL41/EIF2S2/RPL13A/RPL34/RPL36/RPL3/RPS23/RPS7/RPL7A/EIF3J/RPL23A/RPS20/RPS9/EIF3D/EIF3G/RPL22L1/EIF3F/EIF3K/RPL23/RPL38/RPL36AL/EIF3I/RPL5/RPL26/RPSA/RPL22/RPS5/RPS2/EIF3E/RPL28/RPS14/EIF5/RPS4Y1/EIF4G1/RPL21/EIF2S1/RPS3A/EIF2S3/EIF4A1/RPL27A/RPL32/RPLP1/RPL10A/RPS4X/RPL19/RPL26L1/EIF4E/RPS11/RPS18/RPL15/RPS13/EIF3L/RPS27A/RPS3/RPL11/RPL30/RPL39/RPS24/RPL10",108,"EC_GC","AKI_vs_Normal"
"R-HSA-156827","L13a-mediated translational silencing of Ceruloplasmin expression","107/3827","112/11230",0.955357142857143,2.80341278136549,13.7907128965184,6.29702202962591e-44,1.31529047643811e-41,6.84386867956711e-42,"RPL9/RPL37A/EIF4B/RPL17/EIF1AX/RPS26/RPS15/EIF4A2/PABPC1/RPL31/RPS27L/RPL18/RPS10/EIF3H/RPL37/RPLP0/RPL7/RPS6/EIF4H/RPL4/UBA52/RPL8/RPS21/RPS29/RPL29/RPL27/RPL36A/RPS27/RPL24/RPL14/FAU/RPL13/RPL35A/RPS12/EIF3A/RPLP2/RPS28/RPL35/RPS19/EIF3B/EIF3M/RPS17/RPL12/RPS8/RPL6/RPS15A/RPL18A/RPS16/RPS25/RPL41/EIF2S2/RPL13A/RPL34/RPL36/RPL3/RPS23/RPS7/RPL7A/EIF3J/RPL23A/RPS20/RPS9/EIF3D/EIF3G/RPL22L1/EIF3F/EIF3K/RPL23/RPL38/RPL36AL/EIF3I/RPL5/RPL26/RPSA/RPL22/RPS5/RPS2/EIF3E/RPL28/RPS14/RPS4Y1/EIF4G1/RPL21/EIF2S1/RPS3A/EIF2S3/EIF4A1/RPL27A/RPL32/RPLP1/RPL10A/RPS4X/RPL19/RPL26L1/EIF4E/RPS11/RPS18/RPL15/RPS13/EIF3L/RPS27A/RPS3/RPL11/RPL30/RPL39/RPS24/RPL10",107,"EC_GC","AKI_vs_Normal"
"R-HSA-9954709","Ribosome Quality Control (RQC) complex extracts and degrades nascent peptide","100/3827","103/11230",0.970873786407767,2.8489450277918,13.5534377278333,3.94456568359077e-43,7.3237436192002e-41,3.81077339724676e-41,"RPL9/RPL37A/PSMA6/RPL17/ELOB/PSMB6/RPL31/RPL18/UBB/RPL37/RPLP0/RPL7/RPL4/UBA52/RPL8/PSMD8/PSMB4/PSMB5/PSMB3/RPL29/RPL27/RPL36A/PSMB1/UFD1/PSMA3/RPL24/RPL14/PSMD13/PSMD12/RPL13/RPL35A/PSMC5/PSMB2/RPLP2/RPL35/PSMA7/CUL2/RPL12/RPL6/RPL18A/PSMD11/RPL41/NEMF/PSMC4/RPL13A/RPL34/RPL36/RPL3/RPL7A/PSMA4/RPL23A/ELOC/RPL22L1/RPL23/RPL38/PSMD7/ADRM1/KLHDC10/RPL36AL/ANKZF1/PSMD1/RPL5/PSMD14/PSMB7/RPL26/PSMC3/SEM1/TCF25/PSMA1/RPL22/RBX1/RPL28/PSMD3/UBE2D2/PSMD6/UBC/RPL21/RPL27A/PSMA5/PSMD2/RPL32/PSMC6/PSMC1/RPLP1/UBE2D1/RPL10A/RPL19/RPL26L1/VCP/RCHY1/PSMA2/LTN1/RPL15/NPLOC4/PSMC2/RPS27A/RPL11/RPL30/RPL39/RPL10",100,"EC_GC","AKI_vs_Normal"
"R-HSA-72613","Eukaryotic Translation Initiation","112/3827","120/11230",0.933333333333333,2.73878582005052,13.7681497418764,4.93186654282598e-43,7.49195363005656e-41,3.89829833911413e-41,"RPL9/RPL37A/EIF4B/RPL17/EIF1AX/EIF5B/RPS26/RPS15/EIF4A2/PABPC1/RPL31/RPS27L/RPL18/RPS10/EIF3H/RPL37/RPLP0/RPL7/RPS6/EIF4H/RPL4/UBA52/RPL8/RPS21/RPS29/RPL29/RPL27/RPL36A/RPS27/RPL24/RPL14/FAU/RPL13/RPL35A/RPS12/EIF3A/RPLP2/RPS28/RPL35/RPS19/EIF3B/EIF3M/RPS17/RPL12/RPS8/RPL6/RPS15A/RPL18A/RPS16/RPS25/RPL41/EIF2S2/RPL13A/RPL34/RPL36/RPL3/RPS23/RPS7/RPL7A/EIF3J/RPL23A/RPS20/RPS9/EIF3D/EIF3G/RPL22L1/EIF3F/EIF3K/RPL23/RPL38/RPL36AL/EIF3I/RPL5/RPL26/RPSA/RPL22/RPS5/RPS2/EIF3E/RPL28/RPS14/EIF5/RPS4Y1/EIF4G1/RPL21/EIF2S1/RPS3A/EIF2S3/EIF4A1/RPL27A/RPL32/RPLP1/RPL10A/RPS4X/RPL19/EIF4EBP1/RPL26L1/EIF4E/RPS11/RPS18/RPL15/RPS13/EIF3L/RPS27A/EIF2B1/EIF2B4/RPS3/RPL11/RPL30/RPL39/RPS24/RPL10",112,"EC_GC","AKI_vs_Normal"
