"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","CellType","Condition"
"R-HSA-72766","Translation","308/4565","368/11230",0.83695652173913,2.05893137768465,17.0933695659778,6.2441151730692e-67,1.04214282238525e-63,5.69857668952736e-64,"ELOB/SEM1/RPS4Y1/SSR1/MTRF1L/MRPS12/PSMA2/MRPS17/MRPL57/MT-ATP8/ASCC2/RPL32/MRPL58/SSR4/EIF4A1/SPCS3/SRP14/MRPL13/MT-ND3/RPS25/ELOC/RPL7/SRPRA/PTCD3/MRPL1/MT-ND1/RPS27L/RPL22/PSMA5/SPCS1/MRPS18B/MRPS11/RPL6/RPSA/TUFM/SEC61G/RPL9/EIF3K/MRPS21/PSMD7/RPL37A/MT-ND4L/TRMT112/IARS2/MRPL22/RPS21/MRPL43/RPL18A/RPL5/MRPL2/MRPL40/RPLP0/RPL26L1/RPS23/MTIF3/MRPL23/EIF5/ETF1/PSMA1/EIF2S2/RPLP2/MRPL21/MRPL42/PSMD2/RPL28/MT-ND5/MRPS26/TRAM1/RPL3/RPLP1/RPS2/MRPS6/GSPT1/MRPL54/RPL39L/RPS6/PABPC1/RPL13A/PPA1/RPL30/UBE2D3/RPS9/EIF3E/ZNF598/MRPL46/EEF1A1/MRPL18/RPS27A/MRPL55/EIF3B/RPL36A/PSMC6/MRPS2/PSMB2/MRPL34/RPS7/MT-ATP6/MRPS14/RPS3/UBA52/SSR3/CARS2/RPL41/RARS2/MALSU1/MRPS34/MRPS10/PSMB1/RPL14/MT-ND6/RPL12/PSMD1/MT-CYB/SRP19/MT-ND2/RPS19/SEC61B/RPL39/RPL17/MRPL19/MRPL41/RPL22L1/ERAL1/EIF3M/CHCHD1/EEF1D/MRPS33/PSMD3/SPCS2/PSMB6/EIF4G1/EIF3G/APEH/MRPL49/PSMC5/MRPS23/RPS26/PSMB7/DDOST/RPS5/RPS3A/EIF3H/RPS17/GFM2/CUL2/MRPS16/RPL29/PSMB3/ADRM1/PELO/MRPS7/EIF3F/MRPL15/RPL10/RPL34/RPL7A/RPL36/RPL27/MT-CO2/SSR2/RPL35A/PSMD8/RPL13/EIF4E/MRPL47/MRPS18A/RPS20/MRPL51/PSMD14/SEC11C/PSMB4/RPL19/PSMD13/RPL11/RPL26/MRPS18C/MRPL50/UBB/EIF5B/EIF1AX/RPS29/MRPS25/ASCC3/MRPL48/RPN1/PSMC2/MRPS15/TCF25/KLHDC10/EEF1E1/RPL36AL/RPL23A/NDUFAB1/NPLOC4/EIF3A/EIF3D/RPS11/UBC/RPS28/EEF1B2/MRPL28/MRPL27/MRPL37/RPS8/RPL10A/RPL4/RPS15A/SRP54/RPL18/PSMC4/MRPS31/UFD1/MRPL36/FAU/ABCE1/RPS13/RPL27A/MRPL4/SEC11A/RBX1/PSMB5/MRPS28/RPS14/RPL35/PSMA4/MRPL52/MRPS27/MT-CO1/EIF2B2/MRPL33/PSMA3/MRPS9/MRPL24/RPS27/RPL37/PSMC1/RPS12/EEF2/SRP9/EIF4B/PPA2/MRPL12/RPL8/PSMD11/PSMA6/EIF2S1/MTIF2/MRPS35/EIF4H/EIF3I/UBE2D1/MRPS5/MRPL39/MRPL20/DAP3/HBS1L/EIF4A2/RPL21/PSMA7/RPL24/MRPL53/RPS15/FARSA/LTN1/GFM1/MRPL35/EIF2B3/SRPRB/VCP/MRPL32/MRPL14/RPS24/MRPL3/PSMD12/MRPS22/MRPL9/EIF3L/RPL15/MRPL16/EIF2S3/RCHY1/EIF3J/RPS4X/SRP72/SRP68/RPL31/MRPS30/MT-CO3/NEMF/MT-ND4/RPN2/RPS16/MRPL11/MRPL17/EIF2B5/MRPL44/GADD45GIP1/PSMC3/AURKAIP1/RPS10/TSFM/RPL38/AIMP1/SEC61A1/RPL23/UBE2D2/PSMD6/RPS18",308,"Podocytes","AKI_vs_Normal"
"R-HSA-72203","Processing of Capped Intron-Containing Pre-mRNA","247/4565","294/11230",0.840136054421769,2.06675309773417,15.3390753940783,2.64952632117546e-54,2.21102971502092e-51,1.20902069497849e-51,"U2AF1/SNU13/ZC3H11A/SF3B6/SRRM2/MTREX/PPIL1/AQR/GPKOW/NUP98/SRRT/HNRNPR/SRSF8/SNRPN/NUP35/GPATCH1/PHF5A/DDX42/SNRPC/TPR/PTBP1/SYF2/SF3B4/DDX39A/SNRPA/DDX46/HNRNPH2/LSM8/SEH1L/SNW1/WTAP/HSPA8/PDCD7/SNRNP35/NUP188/RBMX/XRN2/MAGOHB/PRPF31/NUP50/THOC1/THOC2/THOC7/RNPC3/SNRPD3/FIP1L1/XAB2/HNRNPU/NUP214/SNRNP40/PPP1R8/SYMPK/HNRNPH1/RBMX2/CRNKL1/POLR2A/MFAP1/SUGP1/SNRPE/UBL5/SRSF3/POLR2I/HNRNPC/LSM7/RPS27A/RNF113A/U2AF2/PPP1CB/SNRNP200/LSM5/CPSF1/CCDC12/POLR2L/NUP155/SRSF10/PRCC/SLU7/SRSF1/DHX38/SRSF11/UBA52/RBM8A/SRSF9/LUC7L3/RBM5/NUDT21/CTNNBL1/SNRPG/PRPF8/HNRNPD/PRPF3/RANBP2/PCF11/CWC22/SRSF2/NSRP1/PRPF19/BUD31/SRSF6/CPSF6/PRPF18/SNRPD2/RBM39/WBP11/SNRPD1/SF1/POLR2H/LSM3/CSTF3/SRSF5/PLRG1/PPIE/PPP1R10/CPSF7/LSM6/RAE1/SNRPB/NUP153/CHTOP/HNRNPK/SMU1/HNRNPA2B1/ACIN1/PNN/HNRNPA1/DDX5/EIF4E/TFIP11/RBM25/NXF1/RNPS1/YBX1/PCBP2/PPIL2/PRPF6/UBB/THOC6/CCAR1/SRRM1/TXNL4A/FYTTD1/CWF19L2/ZMAT2/SF3A1/GTF2F2/PRPF40A/SNRNP27/CWC25/SNRNP70/NUP133/SNRNP25/POLR2F/CWC15/SF3B5/FUS/NCBP2/UBC/EFTUD2/NUP58/NUP54/POLR2K/PPIG/POLR2J/POLR2C/TCERG1/DDX23/HNRNPM/PRPF38A/CASC3/HNRNPF/SNRPA1/SF3B1/C9orf78/HNRNPA3/NUP62/DHX15/POLR2E/CHERP/PPIH/NUP37/SF3B3/TRA2B/DHX8/MAGOH/POLDIP3/SNIP1/AAAS/METTL14/PABPN1/POLR2G/CDC5L/CDC40/NXT1/LENG1/PAPOLA/GCFC2/RBM42/CPSF2/SF3A3/BCAS2/SAP18/IK/RBBP6/RBM22/SRSF7/PQBP1/SF3B2/PPWD1/SNRPF/PCBP1/SRSF4/SNRPB2/GTF2F1/WDR33/ZMAT5/NCBP1/LSM2/PUF60/PPIL4/PPP1CA/ZCRB1/RBM17/SMNDC1/SART1/HTATSF1/FAM32A/DHX9/U2SURP/CWC27/DNAJC8/EIF4A3/DDX41/LSM4/CSTF1/ALYREF/HNRNPL/FAM50A/NKAP/RBM10/SEC13/WBP4/PRKRIP1/SLBP/UPF3B/RBM7/POLR2B/SARNP",247,"Podocytes","AKI_vs_Normal"
"R-HSA-72172","mRNA Splicing","191/4565","213/11230",0.896713615023474,2.20593513619137,14.7052675640133,1.5086659650153e-51,8.3932116520351e-49,4.58952067252022e-49,"U2AF1/SNU13/SF3B6/SRRM2/MTREX/PPIL1/AQR/GPKOW/SRRT/HNRNPR/SRSF8/SNRPN/GPATCH1/PHF5A/DDX42/SNRPC/PTBP1/SYF2/SF3B4/SNRPA/DDX46/HNRNPH2/LSM8/SNW1/HSPA8/PDCD7/SNRNP35/RBMX/MAGOHB/PRPF31/RNPC3/SNRPD3/XAB2/HNRNPU/SNRNP40/PPP1R8/HNRNPH1/RBMX2/CRNKL1/POLR2A/MFAP1/SUGP1/SNRPE/UBL5/SRSF3/POLR2I/HNRNPC/LSM7/RNF113A/U2AF2/SNRNP200/LSM5/CCDC12/POLR2L/SRSF10/PRCC/SLU7/SRSF1/DHX38/SRSF11/RBM8A/SRSF9/LUC7L3/RBM5/CTNNBL1/SNRPG/PRPF8/HNRNPD/PRPF3/CWC22/SRSF2/NSRP1/PRPF19/BUD31/SRSF6/PRPF18/SNRPD2/RBM39/WBP11/SNRPD1/SF1/POLR2H/LSM3/SRSF5/PLRG1/PPIE/LSM6/SNRPB/HNRNPK/SMU1/HNRNPA2B1/ACIN1/PNN/HNRNPA1/DDX5/TFIP11/RBM25/RNPS1/YBX1/PCBP2/PPIL2/PRPF6/CCAR1/SRRM1/TXNL4A/CWF19L2/ZMAT2/SF3A1/GTF2F2/PRPF40A/SNRNP27/CWC25/SNRNP70/SNRNP25/POLR2F/CWC15/SF3B5/FUS/NCBP2/EFTUD2/POLR2K/PPIG/POLR2J/POLR2C/TCERG1/DDX23/HNRNPM/PRPF38A/CASC3/HNRNPF/SNRPA1/SF3B1/C9orf78/HNRNPA3/DHX15/POLR2E/CHERP/PPIH/SF3B3/TRA2B/DHX8/MAGOH/SNIP1/POLR2G/CDC5L/CDC40/LENG1/GCFC2/RBM42/SF3A3/BCAS2/SAP18/IK/RBM22/SRSF7/PQBP1/SF3B2/PPWD1/SNRPF/PCBP1/SRSF4/SNRPB2/GTF2F1/ZMAT5/NCBP1/LSM2/PUF60/PPIL4/ZCRB1/RBM17/SMNDC1/SART1/HTATSF1/FAM32A/DHX9/U2SURP/CWC27/DNAJC8/EIF4A3/DDX41/LSM4/ALYREF/HNRNPL/FAM50A/NKAP/RBM10/WBP4/PRKRIP1/UPF3B/RBM7/POLR2B",191,"Podocytes","AKI_vs_Normal"
"R-HSA-72163","mRNA Splicing - Major Pathway","185/4565","205/11230",0.902439024390244,2.22001976865333,14.5896661525139,5.87816062682705e-51,2.45266252154359e-48,1.34114875354186e-48,"U2AF1/SNU13/SF3B6/SRRM2/MTREX/PPIL1/AQR/GPKOW/SRRT/HNRNPR/SRSF8/SNRPN/GPATCH1/PHF5A/DDX42/SNRPC/PTBP1/SYF2/SF3B4/SNRPA/DDX46/HNRNPH2/LSM8/SNW1/HSPA8/RBMX/MAGOHB/PRPF31/SNRPD3/XAB2/HNRNPU/SNRNP40/PPP1R8/HNRNPH1/RBMX2/CRNKL1/POLR2A/MFAP1/SUGP1/SNRPE/UBL5/SRSF3/POLR2I/HNRNPC/LSM7/RNF113A/U2AF2/SNRNP200/LSM5/CCDC12/POLR2L/SRSF10/PRCC/SLU7/SRSF1/DHX38/SRSF11/RBM8A/SRSF9/LUC7L3/RBM5/CTNNBL1/SNRPG/PRPF8/HNRNPD/PRPF3/CWC22/SRSF2/NSRP1/PRPF19/BUD31/SRSF6/PRPF18/SNRPD2/RBM39/WBP11/SNRPD1/SF1/POLR2H/LSM3/SRSF5/PLRG1/PPIE/LSM6/SNRPB/HNRNPK/SMU1/HNRNPA2B1/ACIN1/PNN/HNRNPA1/DDX5/TFIP11/RBM25/RNPS1/YBX1/PCBP2/PPIL2/PRPF6/CCAR1/SRRM1/TXNL4A/CWF19L2/ZMAT2/SF3A1/GTF2F2/PRPF40A/SNRNP27/CWC25/SNRNP70/POLR2F/CWC15/SF3B5/FUS/NCBP2/EFTUD2/POLR2K/PPIG/POLR2J/POLR2C/TCERG1/DDX23/HNRNPM/PRPF38A/CASC3/HNRNPF/SNRPA1/SF3B1/C9orf78/HNRNPA3/DHX15/POLR2E/CHERP/PPIH/SF3B3/TRA2B/DHX8/MAGOH/SNIP1/POLR2G/CDC5L/CDC40/LENG1/GCFC2/RBM42/SF3A3/BCAS2/SAP18/IK/RBM22/SRSF7/PQBP1/SF3B2/PPWD1/SNRPF/PCBP1/SRSF4/SNRPB2/GTF2F1/NCBP1/LSM2/PUF60/PPIL4/RBM17/SMNDC1/SART1/HTATSF1/FAM32A/DHX9/U2SURP/CWC27/DNAJC8/EIF4A3/DDX41/LSM4/ALYREF/HNRNPL/FAM50A/NKAP/RBM10/WBP4/PRKRIP1/UPF3B/RBM7/POLR2B",185,"Podocytes","AKI_vs_Normal"
"R-HSA-9948299","Ribosome-associated quality control","140/4565","145/11230",0.96551724137931,2.37519356422555,13.7933843718401,2.05554989354883e-48,6.86142554466598e-46,3.75191948990912e-46,"ELOB/SEM1/RPS4Y1/PSMA2/ASCC2/RPL32/RPS25/ELOC/RPL7/RPS27L/RPL22/PSMA5/RPL6/RPSA/RPL9/PSMD7/RPL37A/RPS21/RPL18A/RPL5/RPLP0/RPL26L1/RPS23/PSMA1/RPLP2/PSMD2/RPL28/RPL3/RPLP1/RPS2/RPL39L/RPS6/RPL13A/RPL30/UBE2D3/RPS9/ZNF598/RPS27A/RPL36A/PSMC6/PSMB2/RPS7/RPS3/UBA52/RPL41/PSMB1/RPL14/RPL12/PSMD1/RPS19/RPL39/RPL17/RPL22L1/PSMD3/PSMB6/PSMC5/RPS26/PSMB7/RPS5/RPS3A/RPS17/CUL2/RPL29/PSMB3/ADRM1/PELO/RPL10/RPL34/RPL7A/RPL36/RPL27/RPL35A/PSMD8/RPL13/RPS20/PSMD14/PSMB4/RPL19/PSMD13/RPL11/RPL26/UBB/RPS29/ASCC3/PSMC2/TCF25/KLHDC10/RPL36AL/RPL23A/NPLOC4/RPS11/UBC/RPS28/RPS8/RPL10A/RPL4/RPS15A/RPL18/PSMC4/UFD1/FAU/ABCE1/RPS13/RPL27A/RBX1/PSMB5/RPS14/RPL35/PSMA4/PSMA3/RPS27/RPL37/PSMC1/RPS12/RPL8/PSMD11/PSMA6/UBE2D1/HBS1L/RPL21/PSMA7/RPL24/RPS15/LTN1/VCP/RPS24/PSMD12/RPL15/RCHY1/RPS4X/RPL31/NEMF/RPS16/PSMC3/RPS10/RPL38/RPL23/UBE2D2/PSMD6/RPS18",140,"Podocytes","AKI_vs_Normal"
"R-HSA-376176","Signaling by ROBO receptors","176/4565","205/11230",0.858536585365854,2.11201880693506,13.2981313625824,1.47122407478796e-41,4.09245496803518e-39,2.23780925059853e-39,"ELOB/SEM1/RPS4Y1/FLRT3/PSMA2/SLIT3/PRKCA/RPL32/RPS25/ELOC/RPL7/SRGAP2/RPS27L/RPL22/PSMA5/RPL6/RPSA/CLASP2/VASP/RPL9/PSMD7/RPL37A/RPS21/RPL18A/RPL5/RPLP0/RPL26L1/RPS23/CDC42/MAGOHB/ETF1/PSMA1/RPLP2/SRGAP1/PSMD2/RPL28/PFN2/RPL3/RPLP1/RPS2/PRKAR2A/GSPT1/RPL39L/RPS6/PABPC1/CAP2/RPL13A/RHOA/RPL30/RPS9/COL4A5/RPS27A/RPL36A/PSMC6/PSMB2/RPS7/RPS3/SOS2/UBA52/UPF2/RBM8A/RPL41/PAK4/PSMB1/RPL14/RPL12/PSMD1/NCK2/CAP1/DAG1/RPS19/RPL39/RPL17/RPL22L1/PSMD3/PSMB6/EIF4G1/ZSWIM8/PSMC5/MYO9B/RPS26/PSMB7/RPS5/RPS3A/RPS17/CUL2/RPL29/PSMB3/ADRM1/RPL10/RPL34/RPL7A/RPL36/RPL27/RPL35A/PSMD8/RPL13/RPS20/PSMD14/RNPS1/PSMB4/RPL19/PSMD13/RPL11/RPL26/UBB/RPS29/NCK1/PPP3CB/PSMC2/RPL36AL/ROBO2/RPL23A/PFN1/NCBP2/RPS11/UBC/EVL/RPS28/RPS8/RPL10A/RPL4/RAC1/RPS15A/RPL18/CLASP1/PSMC4/CASC3/FAU/RPS13/RPL27A/RBX1/PRKACA/PSMB5/RPS14/PAK2/RPL35/PSMA4/PSMA3/RPS27/MAGOH/RPL37/PRKACB/PSMC1/RPS12/RPL8/PSMD11/PSMA6/ROBO1/RPL21/PSMA7/RPL24/RPS15/RPS24/PSMD12/NCBP1/RPL15/PAK1/RPS4X/USP33/RPL31/RPS16/GPC1/EIF4A3/PSMC3/RPS10/CXCL12/RPL38/RPL23/NRP1/UPF3A/PSMD6/UPF3B/RPS18/SOS1/ABL1",176,"Podocytes","AKI_vs_Normal"
"R-HSA-9010553","Regulation of expression of SLITs and ROBOs","144/4565","159/11230",0.905660377358491,2.22794436752154,12.9054954825552,2.7331282220873e-40,6.51655857523386e-38,3.56334160684164e-38,"ELOB/SEM1/RPS4Y1/PSMA2/RPL32/RPS25/ELOC/RPL7/RPS27L/RPL22/PSMA5/RPL6/RPSA/RPL9/PSMD7/RPL37A/RPS21/RPL18A/RPL5/RPLP0/RPL26L1/RPS23/MAGOHB/ETF1/PSMA1/RPLP2/PSMD2/RPL28/RPL3/RPLP1/RPS2/GSPT1/RPL39L/RPS6/PABPC1/RPL13A/RPL30/RPS9/COL4A5/RPS27A/RPL36A/PSMC6/PSMB2/RPS7/RPS3/UBA52/UPF2/RBM8A/RPL41/PSMB1/RPL14/RPL12/PSMD1/DAG1/RPS19/RPL39/RPL17/RPL22L1/PSMD3/PSMB6/EIF4G1/ZSWIM8/PSMC5/RPS26/PSMB7/RPS5/RPS3A/RPS17/CUL2/RPL29/PSMB3/ADRM1/RPL10/RPL34/RPL7A/RPL36/RPL27/RPL35A/PSMD8/RPL13/RPS20/PSMD14/RNPS1/PSMB4/RPL19/PSMD13/RPL11/RPL26/UBB/RPS29/PSMC2/RPL36AL/ROBO2/RPL23A/NCBP2/RPS11/UBC/RPS28/RPS8/RPL10A/RPL4/RPS15A/RPL18/PSMC4/CASC3/FAU/RPS13/RPL27A/RBX1/PSMB5/RPS14/RPL35/PSMA4/PSMA3/RPS27/MAGOH/RPL37/PSMC1/RPS12/RPL8/PSMD11/PSMA6/ROBO1/RPL21/PSMA7/RPL24/RPS15/RPS24/PSMD12/NCBP1/RPL15/RPS4X/USP33/RPL31/RPS16/EIF4A3/PSMC3/RPS10/RPL38/RPL23/UPF3A/PSMD6/UPF3B/RPS18",144,"Podocytes","AKI_vs_Normal"
"R-HSA-72187","mRNA 3'-end processing","137/4565","152/11230",0.901315789473684,2.21725658615323,12.5044358126369,8.31652230904613e-38,1.59922060128208e-35,8.74475268084617e-36,"U2AF1/ZC3H11A/SF3B6/SRRM2/SRRT/HNRNPR/SRSF8/SNRPN/PHF5A/DDX42/SNRPC/PTBP1/SF3B4/DDX39A/SNRPA/DDX46/HNRNPH2/RBMX/XRN2/MAGOHB/THOC1/THOC2/THOC7/SNRPD3/FIP1L1/HNRNPU/PPP1R8/SYMPK/HNRNPH1/POLR2A/SUGP1/SNRPE/SRSF3/POLR2I/HNRNPC/RPS27A/U2AF2/PPP1CB/CPSF1/POLR2L/SRSF10/SLU7/SRSF1/DHX38/SRSF11/UBA52/RBM8A/SRSF9/RBM5/NUDT21/SNRPG/HNRNPD/PCF11/SRSF2/SRSF6/CPSF6/SNRPD2/RBM39/SNRPD1/POLR2H/CSTF3/SRSF5/PPP1R10/CPSF7/SNRPB/CHTOP/HNRNPK/HNRNPA2B1/HNRNPA1/DDX5/RBM25/RNPS1/YBX1/PCBP2/UBB/THOC6/CCAR1/SRRM1/FYTTD1/SF3A1/GTF2F2/PRPF40A/SNRNP70/POLR2F/SF3B5/FUS/NCBP2/UBC/POLR2K/POLR2J/POLR2C/TCERG1/HNRNPM/CASC3/HNRNPF/SNRPA1/SF3B1/HNRNPA3/DHX15/POLR2E/CHERP/SF3B3/TRA2B/MAGOH/POLDIP3/PABPN1/POLR2G/CDC40/PAPOLA/CPSF2/SF3A3/RBBP6/SRSF7/SF3B2/SNRPF/PCBP1/SRSF4/SNRPB2/GTF2F1/WDR33/NCBP1/PUF60/PPP1CA/RBM17/SMNDC1/HTATSF1/DHX9/U2SURP/DNAJC8/EIF4A3/CSTF1/ALYREF/HNRNPL/RBM10/UPF3B/POLR2B/SARNP",137,"Podocytes","AKI_vs_Normal"
"R-HSA-1799339","SRP-dependent cotranslational protein targeting to membrane","109/4565","113/11230",0.964601769911504,2.37294148436061,12.139150662629,9.58190893518323e-38,1.59922060128208e-35,8.74475268084617e-36,"RPS4Y1/SSR1/RPL32/SSR4/SPCS3/SRP14/RPS25/RPL7/SRPRA/RPS27L/RPL22/SPCS1/RPL6/RPSA/SEC61G/RPL9/RPL37A/RPS21/RPL18A/RPL5/RPLP0/RPL26L1/RPS23/RPLP2/RPL28/TRAM1/RPL3/RPLP1/RPS2/RPL39L/RPS6/RPL13A/RPL30/RPS9/RPS27A/RPL36A/RPS7/RPS3/UBA52/SSR3/RPL41/RPL14/RPL12/SRP19/RPS19/SEC61B/RPL39/RPL17/RPL22L1/SPCS2/RPS26/DDOST/RPS5/RPS3A/RPS17/RPL29/RPL10/RPL34/RPL7A/RPL36/RPL27/SSR2/RPL35A/RPL13/RPS20/SEC11C/RPL19/RPL11/RPL26/RPS29/RPN1/RPL36AL/RPL23A/RPS11/RPS28/RPS8/RPL10A/RPL4/RPS15A/SRP54/RPL18/FAU/RPS13/RPL27A/SEC11A/RPS14/RPL35/RPS27/RPL37/RPS12/SRP9/RPL8/RPL21/RPL24/RPS15/SRPRB/RPS24/RPL15/RPS4X/SRP72/SRP68/RPL31/RPN2/RPS16/RPS10/RPL38/SEC61A1/RPL23/RPS18",109,"Podocytes","AKI_vs_Normal"
"R-HSA-72706","GTP hydrolysis and joining of the 60S ribosomal subunit","109/4565","113/11230",0.964601769911504,2.37294148436061,12.139150662629,9.58190893518323e-38,1.59922060128208e-35,8.74475268084617e-36,"RPS4Y1/RPL32/EIF4A1/RPS25/RPL7/RPS27L/RPL22/RPL6/RPSA/RPL9/EIF3K/RPL37A/RPS21/RPL18A/RPL5/RPLP0/RPL26L1/RPS23/EIF5/EIF2S2/RPLP2/RPL28/RPL3/RPLP1/RPS2/RPL39L/RPS6/RPL13A/RPL30/RPS9/EIF3E/RPS27A/EIF3B/RPL36A/RPS7/RPS3/UBA52/RPL41/RPL14/RPL12/RPS19/RPL39/RPL17/RPL22L1/EIF3M/EIF4G1/EIF3G/RPS26/RPS5/RPS3A/EIF3H/RPS17/RPL29/EIF3F/RPL10/RPL34/RPL7A/RPL36/RPL27/RPL35A/RPL13/EIF4E/RPS20/RPL19/RPL11/RPL26/EIF5B/EIF1AX/RPS29/RPL36AL/RPL23A/EIF3A/EIF3D/RPS11/RPS28/RPS8/RPL10A/RPL4/RPS15A/RPL18/FAU/RPS13/RPL27A/RPS14/RPL35/RPS27/RPL37/RPS12/EIF4B/RPL8/EIF2S1/EIF4H/EIF3I/EIF4A2/RPL21/RPL24/RPS15/RPS24/EIF3L/RPL15/EIF2S3/EIF3J/RPS4X/RPL31/RPS16/RPS10/RPL38/RPL23/RPS18",109,"Podocytes","AKI_vs_Normal"
