"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","CellType","Condition"
"R-HSA-72766","Translation","297/3502","368/11230",0.807065217391304,2.58804751322226,20.8510321182206,1.63779398675967e-88,2.70563566612697e-85,1.52918238553245e-85,"ELOB/RPS4Y1/SEM1/RPL17/MT-ND1/RPS26/PSMA2/RPL37A/MT-ND3/MRPL55/RPL24/RPL15/RPL35A/MT-ND2/MT-ND4L/PSMB2/EEF1B2/EIF4A1/MT-CYB/ELOC/SRP9/TRAM1/EIF5/MRPL57/MT-ND5/RPS12/MRPS27/GADD45GIP1/UBB/RPS3/CHCHD1/MRPS12/RPL41/RPL38/EIF4G1/RPS27A/MRPL41/PSMA4/MRPS15/MRPS10/SSR2/RPS4X/MALSU1/RPL28/EIF2S2/RPS28/RPS25/MRPL32/SEC61G/RPS23/EIF2B5/MTIF3/RPL37/RPS20/RPL5/PPA2/RPS2/UFD1/MRPS21/MT-ATP8/MRPL27/TRMT112/SPCS2/RPL6/EIF4B/RPS27L/MRPL21/RPL9/EIF3E/PABPC1/PSMD12/PSMB7/MRPL3/RPS10/RPL7A/RPL14/RPL36AL/RPL36/PSMB3/MT-CO3/MRPS18B/TUFM/EIF2B4/FAU/EIF3L/EEF1A2/SSR4/MRPL9/RPS3A/MRPL20/MRPL35/EIF4H/RPL22L1/MRPL34/EIF5B/EIF3K/SSR1/EEF1D/MRPS23/SPCS1/SPCS3/RPS27/RPS16/MRPS35/RPN2/NEMF/EIF4EBP1/RPS21/EIF3B/PTCD3/RPL19/MRPL47/MT-ND4/RPS24/MRPS25/MRPL28/UBC/RPS19/MRPL18/MRPS28/EIF1AX/RPL27/MRPL12/RPLP1/IARS2/SRPRA/UBE2D2/RPLP2/MT-ATP6/RPL30/PSMD8/PELO/PSMD6/SRP19/PSMD3/CUL2/MRPS31/RPL23A/RPL18A/RPL18/MRPS5/PSMB4/RPL10/RPL22/RPS15/RCHY1/RPSA/PSMD7/MRPL43/RPS18/MRPL51/RPS5/EIF3A/AIMP1/MRPS33/RPL12/RPS7/EIF2B3/MRPS16/EIF3J/RPS13/UBE2D3/RPL35/RBX1/RPL34/EIF4A2/MRPS9/MRPL2/UBA52/PSMD11/ADRM1/PSMC5/MRPS22/EIF3D/MRPS30/RPL11/APEH/RPLP0/ETF1/PSMA5/EEF1A1/PSMC6/RPS11/MRPL54/MRPS7/PSMB5/HBS1L/RPS9/MRPL50/MRPS26/EIF3H/MRPL17/FARSA/PSMD14/RPL8/NDUFAB1/MRPS18C/PSMC2/MRPL46/SRP72/PSMB6/PSMA1/MRPL52/SEC61A1/MRPL10/PSMC1/RPL4/PSMC3/CARS2/MRPL4/RPL10A/PSMA3/SEC61B/RPL39/EIF3G/MRPL22/EEF2/MRPL37/RPL7/PPA1/MRPL36/EIF2S1/ASCC3/EIF3M/RPS17/MRPL24/SRP14/ABCE1/EIF3F/PSMD13/PSMD2/MT-CO2/MRPL23/RPL39L/RPS29/EIF3I/EEF1E1/GSPT1/SSR3/MRPL33/MRPL49/SEC11C/RPL21/MRPS18A/LTN1/RPN1/MRPS34/EIF2S3/PSMC4/SRP68/SRP54/PSMD1/MRPL42/MRPL39/EIF4E/MRPL16/TCF25/RPL36A/AURKAIP1/MRPS2/MRPL13/PSMB1/DAP3/RPS14/RPS6/MRPS11/MRPL14/MRPS6/MRPL48/MT-CO1/RPL32/VCP/RPL26/RARS2/MRPL19/RPS15A/MRPL15/MRPL11/UBE2D1/RPS8/EIF2B2/MRPS14/RPL29/RPL13/MRPL40/RPL27A/RPL3/DDOST/SEC11A/TSFM/RPL26L1/MRPL1/PSMA7/RPL13A/MT-ND6/RPL23/RPL31",297,"dVSMC","AKI_vs_Normal"
"R-HSA-9948299","Ribosome-associated quality control","135/3502","145/11230",0.931034482758621,2.98558459205577,16.1994250771405,1.79927831134138e-56,1.48620388516798e-53,8.3997887482095e-54,"ELOB/RPS4Y1/SEM1/RPL17/RPS26/PSMA2/RPL37A/RPL24/RPL15/RPL35A/PSMB2/ELOC/RPS12/UBB/RPS3/RPL41/RPL38/RPS27A/PSMA4/RPS4X/RPL28/RPS28/RPS25/RPS23/RPL37/RPS20/RPL5/RPS2/UFD1/RPL6/RPS27L/RPL9/PSMD12/PSMB7/RPS10/RPL7A/RPL14/RPL36AL/RPL36/PSMB3/FAU/RPS3A/RPL22L1/RPS27/RPS16/NEMF/RPS21/RPL19/RPS24/UBC/RPS19/RPL27/RPLP1/UBE2D2/RPLP2/RPL30/PSMD8/PELO/PSMD6/PSMD3/CUL2/RPL23A/RPL18A/RPL18/PSMB4/RPL10/RPL22/RPS15/RCHY1/RPSA/PSMD7/RPS18/RPS5/RPL12/RPS7/RPS13/UBE2D3/RPL35/RBX1/RPL34/UBA52/PSMD11/ADRM1/PSMC5/RPL11/RPLP0/PSMA5/PSMC6/RPS11/PSMB5/HBS1L/RPS9/PSMD14/RPL8/PSMC2/PSMB6/PSMA1/PSMC1/RPL4/PSMC3/RPL10A/PSMA3/RPL39/RPL7/ASCC3/RPS17/ABCE1/PSMD13/PSMD2/RPL39L/RPS29/RPL21/LTN1/PSMC4/PSMD1/TCF25/RPL36A/PSMB1/RPS14/RPS6/RPL32/VCP/RPL26/RPS15A/UBE2D1/RPS8/RPL29/RPL13/RPL27A/RPL3/RPL26L1/PSMA7/RPL13A/RPL23/RPL31",135,"dVSMC","AKI_vs_Normal"
"R-HSA-72172","mRNA Splicing","175/3502","213/11230",0.821596244131455,2.63464472347123,16.2134919034629,2.9269611473449e-54,1.61177993847126e-51,9.1095246936664e-52,"U2AF1/SRSF7/SF3B6/SRRM2/SRSF8/SNU13/IK/HNRNPA1/SNRPN/WBP4/SRSF9/DNAJC8/RBMX2/FAM50A/RBMX/POLR2K/DDX42/DDX5/RBM5/ZMAT2/AQR/SNRPG/FUS/SRSF5/HNRNPD/CDC40/SRSF11/POLR2J/PRPF3/TXNL4A/LSM8/HTATSF1/HNRNPH1/SAP18/U2AF1L4/SRSF3/HNRNPU/POLR2C/PLRG1/RBM25/CWC27/SNRNP70/SF3B1/BUD31/CWC25/NKAP/SF3A2/POLR2L/MFAP1/PPIH/SF3A1/ZMAT5/SYF2/LSM2/TRA2B/ZRSR2/EIF4A3/TCERG1/PRPF6/CASC3/CDC5L/SNRNP35/U2SURP/PPIL4/NCBP2/HNRNPL/ACIN1/MAGOH/LENG1/GTF2F1/SLU7/CWC15/ZNF830/PPIL2/PQBP1/PPIG/PRPF8/PCBP2/PPIE/SRSF4/PTBP1/RBM42/SRSF2/LSM3/SART1/SNRNP27/RBM39/YBX1/PRPF38A/PCBP1/C9orf78/HNRNPK/POLR2G/HNRNPM/CCDC12/SF3A3/CWF19L2/LUC7L3/RBM8A/DHX38/CTNNBL1/LSM4/HNRNPA2B1/NSRP1/SNRPF/HNRNPC/HNRNPR/RBM17/DDX46/SNRPC/PNN/SRRT/LSM5/DHX9/BCAS2/WBP11/ZCRB1/SNRPD2/HNRNPH2/PHF5A/SNRPB2/SMU1/HNRNPF/RBM22/PRKRIP1/PDCD7/LSM6/XAB2/PRPF31/POLR2B/SF3B4/SMNDC1/SRSF10/FAM32A/SNRPE/CWC22/PRCC/SNRPA1/SF1/POLR2I/POLR2H/SF3B2/SNRPD3/CCAR1/ALYREF/RNPC3/HSPA8/RBM10/SRRM1/UBL5/SNRNP40/SNW1/SRSF1/PUF60/PPIL3/PRPF4/POLR2E/SNRNP200/SNRNP25/POLR2A/SNRPB/POLR2F/HNRNPA3/RBM7/SF3B5/PRPF40A/DHX15/SNRPD1/PPWD1/SNRPA/SRSF6/RNPS1/MAGOHB/PPP1R8/LSM7",175,"dVSMC","AKI_vs_Normal"
"R-HSA-72613","Eukaryotic Translation Initiation","115/3502","120/11230",0.958333333333333,3.07312488102037,15.3693008747843,5.42100060140829e-52,1.7910985987053e-49,1.01230053335772e-49,"RPS4Y1/RPL17/RPS26/RPL37A/RPL24/RPL15/RPL35A/EIF4A1/EIF5/RPS12/RPS3/RPL41/RPL38/EIF4G1/RPS27A/RPS4X/RPL28/EIF2S2/RPS28/RPS25/RPS23/EIF2B5/RPL37/RPS20/RPL5/RPS2/RPL6/EIF4B/RPS27L/RPL9/EIF3E/PABPC1/RPS10/RPL7A/RPL14/RPL36AL/RPL36/EIF2B4/FAU/EIF3L/RPS3A/EIF4H/RPL22L1/EIF5B/EIF3K/RPS27/RPS16/EIF4EBP1/RPS21/EIF3B/RPL19/RPS24/RPS19/EIF1AX/RPL27/RPLP1/RPLP2/RPL30/RPL23A/RPL18A/RPL18/RPL10/RPL22/RPS15/RPSA/RPS18/RPS5/EIF3A/RPL12/RPS7/EIF2B3/EIF3J/RPS13/RPL35/RPL34/EIF4A2/UBA52/EIF3D/RPL11/RPLP0/RPS11/RPS9/EIF3H/RPL8/RPL4/RPL10A/RPL39/EIF3G/RPL7/EIF2S1/EIF3M/RPS17/EIF3F/RPL39L/RPS29/EIF3I/RPL21/EIF2S3/EIF4E/RPL36A/RPS14/RPS6/RPL32/RPL26/RPS15A/RPS8/EIF2B2/RPL29/RPL13/RPL27A/RPL3/RPL26L1/RPL13A/RPL23/RPL31",115,"dVSMC","AKI_vs_Normal"
"R-HSA-72737","Cap-dependent Translation Initiation","115/3502","120/11230",0.958333333333333,3.07312488102037,15.3693008747843,5.42100060140829e-52,1.7910985987053e-49,1.01230053335772e-49,"RPS4Y1/RPL17/RPS26/RPL37A/RPL24/RPL15/RPL35A/EIF4A1/EIF5/RPS12/RPS3/RPL41/RPL38/EIF4G1/RPS27A/RPS4X/RPL28/EIF2S2/RPS28/RPS25/RPS23/EIF2B5/RPL37/RPS20/RPL5/RPS2/RPL6/EIF4B/RPS27L/RPL9/EIF3E/PABPC1/RPS10/RPL7A/RPL14/RPL36AL/RPL36/EIF2B4/FAU/EIF3L/RPS3A/EIF4H/RPL22L1/EIF5B/EIF3K/RPS27/RPS16/EIF4EBP1/RPS21/EIF3B/RPL19/RPS24/RPS19/EIF1AX/RPL27/RPLP1/RPLP2/RPL30/RPL23A/RPL18A/RPL18/RPL10/RPL22/RPS15/RPSA/RPS18/RPS5/EIF3A/RPL12/RPS7/EIF2B3/EIF3J/RPS13/RPL35/RPL34/EIF4A2/UBA52/EIF3D/RPL11/RPLP0/RPS11/RPS9/EIF3H/RPL8/RPL4/RPL10A/RPL39/EIF3G/RPL7/EIF2S1/EIF3M/RPS17/EIF3F/RPL39L/RPS29/EIF3I/RPL21/EIF2S3/EIF4E/RPL36A/RPS14/RPS6/RPL32/RPL26/RPS15A/RPS8/EIF2B2/RPL29/RPL13/RPL27A/RPL3/RPL26L1/RPL13A/RPL23/RPL31",115,"dVSMC","AKI_vs_Normal"
"R-HSA-72163","mRNA Splicing - Major Pathway","168/3502","205/11230",0.819512195121951,2.62796172222145,15.83532115826,8.31875164669465e-52,2.29042962005659e-49,1.29451451063476e-49,"U2AF1/SRSF7/SF3B6/SRRM2/SRSF8/SNU13/IK/HNRNPA1/SNRPN/WBP4/SRSF9/DNAJC8/RBMX2/FAM50A/RBMX/POLR2K/DDX42/DDX5/RBM5/ZMAT2/AQR/SNRPG/FUS/SRSF5/HNRNPD/CDC40/SRSF11/POLR2J/PRPF3/TXNL4A/LSM8/HTATSF1/HNRNPH1/SAP18/U2AF1L4/SRSF3/HNRNPU/POLR2C/PLRG1/RBM25/CWC27/SNRNP70/SF3B1/BUD31/CWC25/NKAP/SF3A2/POLR2L/MFAP1/PPIH/SF3A1/SYF2/LSM2/TRA2B/EIF4A3/TCERG1/PRPF6/CASC3/CDC5L/U2SURP/PPIL4/NCBP2/HNRNPL/ACIN1/MAGOH/LENG1/GTF2F1/SLU7/CWC15/ZNF830/PPIL2/PQBP1/PPIG/PRPF8/PCBP2/PPIE/SRSF4/PTBP1/RBM42/SRSF2/LSM3/SART1/SNRNP27/RBM39/YBX1/PRPF38A/PCBP1/C9orf78/HNRNPK/POLR2G/HNRNPM/CCDC12/SF3A3/CWF19L2/LUC7L3/RBM8A/DHX38/CTNNBL1/LSM4/HNRNPA2B1/NSRP1/SNRPF/HNRNPC/HNRNPR/RBM17/DDX46/SNRPC/PNN/SRRT/LSM5/DHX9/BCAS2/WBP11/SNRPD2/HNRNPH2/PHF5A/SNRPB2/SMU1/HNRNPF/RBM22/PRKRIP1/LSM6/XAB2/PRPF31/POLR2B/SF3B4/SMNDC1/SRSF10/FAM32A/SNRPE/CWC22/PRCC/SNRPA1/SF1/POLR2I/POLR2H/SF3B2/SNRPD3/CCAR1/ALYREF/HSPA8/RBM10/SRRM1/UBL5/SNRNP40/SNW1/SRSF1/PUF60/PPIL3/PRPF4/POLR2E/SNRNP200/POLR2A/SNRPB/POLR2F/HNRNPA3/RBM7/SF3B5/PRPF40A/DHX15/SNRPD1/PPWD1/SNRPA/SRSF6/RNPS1/MAGOHB/PPP1R8/LSM7",168,"dVSMC","AKI_vs_Normal"
"R-HSA-72203","Processing of Capped Intron-Containing Pre-mRNA","215/3502","294/11230",0.731292517006803,2.34506423928795,15.7319477718369,1.16971405643886e-50,2.76052517319571e-48,1.56020506475379e-48,"U2AF1/SRSF7/SF3B6/SRRM2/SRSF8/ZC3H11A/SNU13/PPP1CB/IK/HNRNPA1/SNRPN/WBP4/SRSF9/DNAJC8/RBMX2/TPR/UBB/FAM50A/RBMX/POLR2K/PPP1R10/DDX42/DDX5/RBM5/ZMAT2/RPS27A/AQR/SNRPG/FUS/SRSF5/HNRNPD/CDC40/PCF11/SRSF11/SEH1L/POLR2J/PRPF3/TXNL4A/LSM8/HTATSF1/HNRNPH1/SAP18/U2AF1L4/SEC13/SRSF3/HNRNPU/POLR2C/PLRG1/RBM25/METTL3/CWC27/SNRNP70/SF3B1/BUD31/CWC25/NKAP/SF3A2/NUP214/POLR2L/MFAP1/PPIH/SF3A1/ZMAT5/SYF2/LSM2/TRA2B/UBC/ZRSR2/EIF4A3/TCERG1/PRPF6/CASC3/CDC5L/SNRNP35/U2SURP/PPIL4/NCBP2/FYTTD1/HNRNPL/ACIN1/RBBP6/MAGOH/LENG1/GTF2F1/SLU7/CWC15/ZNF830/PPIL2/PQBP1/PPIG/PRPF8/PCBP2/PPIE/SRSF4/PABPN1/PTBP1/RBM42/SRSF2/NXT1/LSM3/SART1/SNRNP27/DDX39A/RBM39/YBX1/WTAP/PRPF38A/PCBP1/C9orf78/HNRNPK/POLR2G/HNRNPM/CCDC12/SF3A3/CWF19L2/LUC7L3/RBM8A/DHX38/UBA52/CTNNBL1/LSM4/HNRNPA2B1/NSRP1/SNRPF/THOC7/HNRNPC/METTL14/HNRNPR/RBM17/DDX46/SNRPC/PNN/SRRT/LSM5/DHX9/BCAS2/NUP54/WBP11/ZCRB1/SNRPD2/HNRNPH2/PHF5A/SNRPB2/SLBP/SMU1/HNRNPF/RBM22/PRKRIP1/PDCD7/LSM6/XAB2/PRPF31/CPSF2/PPP1CA/POLR2B/SF3B4/SMNDC1/SRSF10/THOC2/FAM32A/XRN2/SNRPE/THOC6/CWC22/PRCC/POLDIP3/SNRPA1/SF1/POLR2I/CPSF6/POLR2H/SF3B2/SNRPD3/CCAR1/ALYREF/RNPC3/HSPA8/CPSF7/RBM10/SRRM1/RANBP2/UBL5/NUDT21/PAPOLA/SNRNP40/SNW1/SRSF1/PUF60/PPIL3/PRPF4/POLR2E/EIF4E/SNRNP200/SNRNP25/POLR2A/SNRPB/POLR2F/HNRNPA3/RBM7/SF3B5/PRPF40A/CHTOP/DHX15/FIP1L1/SNRPD1/PPWD1/WDR33/CSTF3/SNRPA/SYMPK/SRSF6/RNPS1/MAGOHB/PPP1R8/LSM7",215,"dVSMC","AKI_vs_Normal"
"R-HSA-72706","GTP hydrolysis and joining of the 60S ribosomal subunit","109/3502","113/11230",0.964601769911504,3.093226121104,15.0541631916234,3.25975543468288e-50,6.73139497262015e-48,3.80447772442594e-48,"RPS4Y1/RPL17/RPS26/RPL37A/RPL24/RPL15/RPL35A/EIF4A1/EIF5/RPS12/RPS3/RPL41/RPL38/EIF4G1/RPS27A/RPS4X/RPL28/EIF2S2/RPS28/RPS25/RPS23/RPL37/RPS20/RPL5/RPS2/RPL6/EIF4B/RPS27L/RPL9/EIF3E/RPS10/RPL7A/RPL14/RPL36AL/RPL36/FAU/EIF3L/RPS3A/EIF4H/RPL22L1/EIF5B/EIF3K/RPS27/RPS16/RPS21/EIF3B/RPL19/RPS24/RPS19/EIF1AX/RPL27/RPLP1/RPLP2/RPL30/RPL23A/RPL18A/RPL18/RPL10/RPL22/RPS15/RPSA/RPS18/RPS5/EIF3A/RPL12/RPS7/EIF3J/RPS13/RPL35/RPL34/EIF4A2/UBA52/EIF3D/RPL11/RPLP0/RPS11/RPS9/EIF3H/RPL8/RPL4/RPL10A/RPL39/EIF3G/RPL7/EIF2S1/EIF3M/RPS17/EIF3F/RPL39L/RPS29/EIF3I/RPL21/EIF2S3/EIF4E/RPL36A/RPS14/RPS6/RPL32/RPL26/RPS15A/RPS8/RPL29/RPL13/RPL27A/RPL3/RPL26L1/RPL13A/RPL23/RPL31",109,"dVSMC","AKI_vs_Normal"
"R-HSA-156827","L13a-mediated translational silencing of Ceruloplasmin expression","108/3502","112/11230",0.964285714285714,3.09221261320062,14.9794734495566,1.03018235587929e-49,1.89095694656955e-47,1.068738888497e-47,"RPS4Y1/RPL17/RPS26/RPL37A/RPL24/RPL15/RPL35A/EIF4A1/RPS12/RPS3/RPL41/RPL38/EIF4G1/RPS27A/RPS4X/RPL28/EIF2S2/RPS28/RPS25/RPS23/RPL37/RPS20/RPL5/RPS2/RPL6/EIF4B/RPS27L/RPL9/EIF3E/PABPC1/RPS10/RPL7A/RPL14/RPL36AL/RPL36/FAU/EIF3L/RPS3A/EIF4H/RPL22L1/EIF3K/RPS27/RPS16/RPS21/EIF3B/RPL19/RPS24/RPS19/EIF1AX/RPL27/RPLP1/RPLP2/RPL30/RPL23A/RPL18A/RPL18/RPL10/RPL22/RPS15/RPSA/RPS18/RPS5/EIF3A/RPL12/RPS7/EIF3J/RPS13/RPL35/RPL34/EIF4A2/UBA52/EIF3D/RPL11/RPLP0/RPS11/RPS9/EIF3H/RPL8/RPL4/RPL10A/RPL39/EIF3G/RPL7/EIF2S1/EIF3M/RPS17/EIF3F/RPL39L/RPS29/EIF3I/RPL21/EIF2S3/EIF4E/RPL36A/RPS14/RPS6/RPL32/RPL26/RPS15A/RPS8/RPL29/RPL13/RPL27A/RPL3/RPL26L1/RPL13A/RPL23/RPL31",108,"dVSMC","AKI_vs_Normal"
"R-HSA-9010553","Regulation of expression of SLITs and ROBOs","138/3502","159/11230",0.867924528301887,2.78320743941467,15.2441094821746,9.85133983621275e-49,1.62744134094235e-46,9.19804045760075e-47,"ELOB/RPS4Y1/SEM1/RPL17/RPS26/PSMA2/RPL37A/RPL24/RPL15/RPL35A/PSMB2/ELOC/RPS12/UBB/RPS3/RPL41/RPL38/EIF4G1/RPS27A/PSMA4/RPS4X/RPL28/RPS28/RPS25/RPS23/RPL37/RPS20/RPL5/RPS2/UPF3A/RPL6/RPS27L/RPL9/PABPC1/PSMD12/PSMB7/RPS10/RPL7A/RPL14/RPL36AL/RPL36/PSMB3/FAU/RPS3A/RPL22L1/RPS27/RPS16/RPS21/RPL19/RPS24/UBC/RPS19/RPL27/EIF4A3/RPLP1/CASC3/RPLP2/NCBP2/RPL30/PSMD8/PSMD6/MAGOH/PSMD3/CUL2/RPL23A/RPL18A/RPL18/PSMB4/RPL10/RPL22/RPS15/RPSA/PSMD7/RPS18/COL4A5/RPS5/RPL12/RPS7/RPS13/RPL35/RBX1/RPL34/RBM8A/UBA52/PSMD11/ADRM1/PSMC5/RPL11/RPLP0/ETF1/PSMA5/PSMC6/RPS11/UPF2/PSMB5/RPS9/PSMD14/RPL8/PSMC2/PSMB6/PSMA1/PSMC1/RPL4/PSMC3/RPL10A/USP33/PSMA3/RPL39/RPL7/RPS17/PSMD13/PSMD2/RPL39L/RPS29/GSPT1/RPL21/PSMC4/PSMD1/DAG1/RPL36A/PSMB1/RPS14/RPS6/RPL32/RPL26/RPS15A/RPS8/RNPS1/RPL29/RPL13/MAGOHB/RPL27A/RPL3/RPL26L1/PSMA7/RPL13A/RPL23/RPL31",138,"dVSMC","AKI_vs_Normal"
