"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","CellType","Condition"
"R-HSA-72766","Translation","314/4201","368/11230",0.853260869565217,2.280913964584,19.3147495230242,5.30168741574749e-83,8.76899098564634e-80,5.03939340675787e-80,"RPS4Y1/MRPS24/ELOB/RPL17/EEF1G/MRPL57/MRPS6/SEM1/RPS28/UBC/RPL37A/RPL37/RPLP1/RPL38/MT-ND2/RPS29/RPL41/MT-CYB/EIF2S3/RPL35/RPS25/PSMA6/RPL9/RPL32/TRAM1/RPLP2/EEF1A1/NDUFAB1/RPL36/RPS6/RPL14/MT-ND1/RPL23A/RPL35A/RPS14/RPS13/RPL34/MT-ND3/RPL31/RPL24/MRPL51/FAU/RPN1/RPS24/RPS5/ELOC/RPS18/TRMT112/MT-ATP6/RPL30/PSMC6/RPL22/RPL13/RPL6/RPL27A/UBB/RPL7/MT-CO2/RPL29/RPL18A/RPS15/RPS9/MRPL38/RPL28/RPL11/RPL36AL/EIF2B3/RPL8/SSR2/RPL5/RPL21/PSMA2/RPS23/MRPL35/RPL39/RPS7/RPL27/RPS3A/UFD1/RPS27A/PSMD2/AURKAIP1/RPS21/SEC61B/SRP72/RPS27/RPL18/CARS2/MRPL54/MT-ATP8/EEF1D/RPS11/RPS20/RPL26/MRPL48/MRPL52/RPL7A/MRPL2/MRPL20/EIF3L/MRPS7/EIF1AX/EEF2/RPS19/RPL19/PSMA3/RPL23/MRPL4/EIF4H/RPS15A/SRPRA/MRPL41/MRPL34/MRPL40/SSR4/PSMB3/MT-ND4/RPLP0/MRPS18C/PSMB7/MT-CO1/PSMD3/RPN2/MRPL43/RPS8/RPSA/MT-ND5/RPL12/MRPL47/PSMA7/PSMD14/UBE2D2/MRPL33/EIF4G1/MRPL19/RPS26/VCP/EIF4A2/EIF2B5/MT-CO3/RPS12/MRPL27/MRPL13/MALSU1/RPL15/EIF2S1/PSMD8/MRPS28/SRP14/MRPS31/RPS3/MRPL55/RPS2/EIF4E/MRPS25/SRP54/GADD45GIP1/MRPS15/EIF4A1/PSMB2/SRPRB/UBE2D3/MRPS22/PABPC1/DDOST/EIF3J/MRPL18/MRPS16/EIF2S2/RPL13A/TSFM/SPCS1/MT-ND4L/EIF2B2/RPS10/EEF1E1/EIF5B/UBE2D1/PSMB6/TCF25/MRPL21/MRPL22/EIF3G/SEC11A/PTCD3/PSMC1/SEC61G/UBA52/RPL4/RPL10/PSMC3/EIF5/PSMB4/GFM2/MRPL28/RPL26L1/IARS2/SEC11C/SPCS3/MRPL23/MRRF/MRPL37/PSMC5/MRPS18A/EIF3H/ABCE1/RPL3/MRPS23/MRPL53/MRPL1/EIF3M/EIF3K/MRPS34/EIF3F/MRPS18B/MRPS2/MRPS11/PSMB1/OXA1L/RPL36A/CUL2/MRPL12/SRP9/RPL10A/MRPL16/MTIF3/ERAL1/AIMP1/RPS16/CHCHD1/MIEF1/EIF3A/MRPL17/PSMD1/MRPL15/HBS1L/KLHDC10/MRPS33/DAP3/NEMF/PSMD13/MRPS14/MRPS35/AIMP2/MRPS30/MT-ND6/EIF3I/EEF1B2/RPS27L/PSMC4/PSMC2/RPS17/SSR3/NPLOC4/MRPS17/PSMA5/MTRF1L/MRPS12/EIF3E/MRPL58/MRPL49/MRPL9/EIF3D/MRPL32/GFM1/MRPL39/APEH/MRPL46/ETF1/PSMD12/PSMD7/PPA2/MRPL14/PSMB5/RCHY1/MRPL36/TUFM/PSMD6/RPS4X/MRPL30/LTN1/RPL22L1/GSPT1/MRPS5/MRPS27/EIF4B/MRPL42/EIF3B/RBX1/MRPL24/MTIF2/SARS2/FARSA/MRPL50/SSR1/MRPS10/ADRM1/PSMA1/SEC61A1/PSMA4/MRPL11/MRPL44/PPA1/SRP68/MRPS9/SPCS2/MRPS21/EIF2B1/PSMD11/FARSB/MRPL3/SRP19/MRPS26/MRPL10",314,"DCT","DKD_vs_Normal"
"R-HSA-1428517","Aerobic respiration and respiratory electron transport","209/4201","258/11230",0.810077519379845,2.16547739648552,14.6410060024381,1.10909098810994e-47,9.17218247166921e-45,5.27110085401724e-45,"ATP5ME/ATP5PD/ATP5MG/ATP5MC3/ATP5F1D/ATP5F1E/ATP5PO/ATP5MC2/ATP5PF/ATP5MF/NDUFA3/ATP5PB/UQCR11/ATP5F1A/NDUFB8/ATP5MC1/ATP5F1B/COX7C/COX8A/DMAC1/NDUFB1/ATP5F1C/NDUFB11/UBC/MPC1/COX6C/UQCRH/SCO2/MT-ND2/COX6B1/NDUFB7/MT-CYB/COX7A1/UQCRB/NDUFAF8/NDUFB10/COX5B/NDUFA1/COX16/COX7B/NDUFAB1/COX4I1/LDHA/MT-ND1/MT-ND3/SUCLG1/COX6A1/PDK4/COX17/UQCRQ/NDUFB6/NDUFA8/NDUFB9/COX5A/MT-ATP6/NDUFC1/CYC1/UBB/NDUFS5/MDH2/MT-CO2/NDUFA7/ETFB/NDUFS8/UQCC3/NDUFB4/OGDH/NDUFA6/NDUFA2/NDUFV2/SDHC/HIGD2A/NDUFB3/COX14/NDUFS6/RPS27A/CS/NDUFB2/SDHA/MT-ATP8/PNKD/COX20/LDHB/NDUFS7/COX11/COA3/NDUFC2/IDH3G/CMC1/IDH2/MT-ND4/NDUFS4/MT-CO1/UQCRC2/COX7A2L/NDUFAF4/NDUFB5/COX7A2/ISCU/SLC25A11/MT-ND5/TMEM223/SUCLG2/NDUFA5/MT-CO3/GSTZ1/VDAC1/PDPR/NDUFV1/NNT/NDUFV3/MDH1/UQCRFS1/PDHX/NDUFA12/ME2/NDUFAF3/UQCR10/MKLN1/UQCC2/NDUFAF1/HSPA9/NDUFA9/NFS1/SLC25A12/DMAC2/PKM/NDUFAF6/ACO2/UQCRC1/FAHD1/PET100/NDUFS1/DLAT/UBA52/NEK1/MPC2/HAGH/NDUFS3/NDUFA11/TIMMDC1/HIGD1A/SURF1/COX19/ME3/WDR26/GLO1/SFXN4/SDHD/SDHAF3/OXA1L/TMEM126B/NDUFAF5/ISCA1/MAEA/PDHB/NDUFA13/IDH3B/SLC25A13/PDP2/TMEM126A/HSCB/COQ10A/LYRM2/ACAT1/ETFDH/MT-ND6/HCCS/BCS1L/GOT1/LETM1/D2HGDH/TRAP1/SCO1/SDHAF2/NDUFA10/ISCA2/DLST/DLD/PYURF/RMND5B/COQ10B/TTC19/PDHA1/SDHB/FH/COX15/COA5/SUCLA2/PET117/RMND5A/ARMC8/GOT2/GID8/LYRM7/SMIM20/NDUFAF2/COA1/SDHAF1/IDH3A/PDK2/FOXRED1/NDUFS2/ETFA/UQCC1/TACO1/TIMM21/LYRM4/RAB5IF",209,"DCT","DKD_vs_Normal"
"R-HSA-9948299","Ribosome-associated quality control","135/4201","145/11230",0.931034482758621,2.48881629168753,13.9494593268674,5.11548022117536e-46,2.82033476194135e-43,1.62079952270924e-43,"RPS4Y1/ELOB/RPL17/SEM1/RPS28/UBC/RPL37A/RPL37/RPLP1/RPL38/RPS29/RPL41/RPL35/RPS25/PSMA6/RPL9/RPL32/RPLP2/RPL36/RPS6/RPL14/RPL23A/RPL35A/RPS14/RPS13/RPL34/RPL31/RPL24/FAU/RPS24/RPS5/ELOC/RPS18/RPL30/PSMC6/RPL22/RPL13/RPL6/RPL27A/UBB/RPL7/RPL29/RPL18A/RPS15/RPS9/RPL28/RPL11/RPL36AL/RPL8/RPL5/RPL21/PSMA2/RPS23/RPL39/RPS7/RPL27/RPS3A/UFD1/RPS27A/PSMD2/RPS21/RPS27/RPL18/RPS11/RPS20/RPL26/RPL7A/RPS19/RPL19/PSMA3/RPL23/RPS15A/PSMB3/RPLP0/PSMB7/PSMD3/RPS8/RPSA/RPL12/PSMA7/PSMD14/UBE2D2/RPS26/VCP/RPS12/RPL15/PSMD8/RPS3/RPS2/PSMB2/UBE2D3/RPL13A/RPS10/UBE2D1/PSMB6/TCF25/PSMC1/UBA52/RPL4/RPL10/PSMC3/PSMB4/RPL26L1/PSMC5/ABCE1/RPL3/PSMB1/RPL36A/CUL2/RPL10A/RPS16/PSMD1/HBS1L/KLHDC10/NEMF/PSMD13/RPS27L/PSMC4/PSMC2/RPS17/NPLOC4/PSMA5/PSMD12/PSMD7/PSMB5/RCHY1/PSMD6/RPS4X/LTN1/RPL22L1/RBX1/ADRM1/PSMA1/PSMA4/PSMD11",135,"DCT","DKD_vs_Normal"
"R-HSA-72203","Processing of Capped Intron-Containing Pre-mRNA","225/4201","294/11230",0.76530612244898,2.04579570461843,14.0472521514825,1.42823851685915e-43,5.90576626721257e-41,3.39394573874687e-41,"HNRNPH1/SNU13/TXNL4A/SNRPN/UBC/SARNP/SF3B6/PPP1CB/UBL5/POLR2J/HNRNPA2B1/DDX39B/UBB/U2AF1/SAP18/RBM8A/EFTUD2/SNRPC/SRSF6/AQR/SNRPD2/ZCRB1/HSPA8/RPS27A/RBM39/THOC2/WTAP/HNRNPU/NUP98/SLU7/SF1/SNRPB/POLR2I/FYTTD1/SRSF3/WDR33/DDX46/SLBP/RBMX/HNRNPA3/POLR2H/MAGOH/SRSF2/RBM25/SRSF11/NXT1/U2AF1L4/PCBP2/CWC15/POLR2L/SRRM2/SNRPE/PCBP1/RNPC3/TFIP11/NUP93/SRSF9/PABPN1/SNRPG/ZC3H11A/RBM10/EIF4E/CPSF6/POLR2K/XAB2/POLR2F/RNF113A/PNN/POM121/LSM7/SNRPF/SMNDC1/PPIG/LSM3/RNPS1/LSM8/SF3B3/SF3B4/POLDIP3/HNRNPA1/NUP153/CPSF2/YBX1/PUF60/CHTOP/SEC13/HNRNPD/WBP11/DDX5/HNRNPK/SNRPD3/CWC22/LUC7L3/UBA52/LSM6/METTL14/THOC7/CDC40/NKAP/IK/SRSF1/PTBP1/NUP43/PPIE/HNRNPL/DHX9/DDX23/SRSF4/SRSF5/CSTF3/PRPF4/NUP133/NUDT21/CCDC12/XRN2/CPSF7/FAM32A/PRPF6/SNRPA1/LSM2/PRPF40A/POLR2B/HNRNPH2/ACIN1/MTREX/DHX15/SYF2/SNRNP27/WDR70/DDX42/NXF1/SF3B5/PHF5A/PRCC/GTF2F1/AAAS/TRA2B/RBM42/DDX41/CASC3/BCAS2/ZMAT5/RBM5/RAE1/PPP1R10/SMU1/SF3B1/CHERP/HNRNPC/SNRNP40/LSM5/SRSF10/TCERG1/SNRNP200/NUP210/NUP214/BUD31/PPIL3/PRPF38A/SNRPB2/POLR2A/HNRNPM/FUS/GCFC2/SF3B2/SART1/SF3A3/PPP1CA/NSRP1/PPIL4/CWC25/TPR/POLR2C/U2SURP/RBM7/PRPF31/PRKRIP1/PQBP1/LSM4/CCAR1/NCBP2/SF3A2/POLR2E/RBM22/PCF11/SNRNP25/SRRT/HTATSF1/DNAJC8/PPIH/FIP1L1/HNRNPR/PPIL2/SRSF8/CDC5L/C9orf78/HNRNPF/PLRG1/SRRM1/SNW1/LENG1/PAPOLA/ZMAT2/CSTF1/PRPF8/CWF19L2/EIF4A3/SRSF7/SNRNP70/RANBP2/DHX38/SNRPD1/RBM17/FAM50A/SNRNP35/SF3A1/SYMPK/METTL3/RBBP6/ALYREF/SNRPA/POLR2G/MFAP1/U2AF2/NUP50",225,"DCT","DKD_vs_Normal"
"R-HSA-72172","mRNA Splicing","176/4201","213/11230",0.826291079812207,2.20881904934327,13.7695431804868,1.44830292927726e-42,4.7683527544537e-40,2.74029309315324e-40,"HNRNPH1/SNU13/TXNL4A/SNRPN/SF3B6/UBL5/POLR2J/HNRNPA2B1/DDX39B/U2AF1/SAP18/RBM8A/EFTUD2/SNRPC/SRSF6/AQR/SNRPD2/ZCRB1/HSPA8/RBM39/HNRNPU/SLU7/SF1/SNRPB/POLR2I/SRSF3/DDX46/RBMX/HNRNPA3/POLR2H/MAGOH/SRSF2/RBM25/SRSF11/U2AF1L4/PCBP2/CWC15/POLR2L/SRRM2/SNRPE/PCBP1/RNPC3/TFIP11/SRSF9/SNRPG/RBM10/POLR2K/XAB2/POLR2F/RNF113A/PNN/LSM7/SNRPF/SMNDC1/PPIG/LSM3/RNPS1/LSM8/SF3B3/SF3B4/HNRNPA1/YBX1/PUF60/HNRNPD/WBP11/DDX5/HNRNPK/SNRPD3/CWC22/LUC7L3/LSM6/CDC40/NKAP/IK/SRSF1/PTBP1/PPIE/HNRNPL/DHX9/DDX23/SRSF4/SRSF5/PRPF4/CCDC12/FAM32A/PRPF6/SNRPA1/LSM2/PRPF40A/POLR2B/HNRNPH2/ACIN1/MTREX/DHX15/SYF2/SNRNP27/WDR70/DDX42/SF3B5/PHF5A/PRCC/GTF2F1/TRA2B/RBM42/DDX41/CASC3/BCAS2/ZMAT5/RBM5/SMU1/SF3B1/CHERP/HNRNPC/SNRNP40/LSM5/SRSF10/TCERG1/SNRNP200/BUD31/PPIL3/PRPF38A/SNRPB2/POLR2A/HNRNPM/FUS/GCFC2/SF3B2/SART1/SF3A3/NSRP1/PPIL4/CWC25/POLR2C/U2SURP/RBM7/PRPF31/PRKRIP1/PQBP1/LSM4/CCAR1/NCBP2/SF3A2/POLR2E/RBM22/SNRNP25/SRRT/HTATSF1/DNAJC8/PPIH/HNRNPR/PPIL2/SRSF8/CDC5L/C9orf78/HNRNPF/PLRG1/SRRM1/SNW1/LENG1/ZMAT2/PRPF8/CWF19L2/EIF4A3/SRSF7/SNRNP70/DHX38/SNRPD1/RBM17/FAM50A/SNRNP35/SF3A1/ALYREF/SNRPA/POLR2G/MFAP1/U2AF2",176,"DCT","DKD_vs_Normal"
"R-HSA-72163","mRNA Splicing - Major Pathway","171/4201","205/11230",0.834146341463415,2.22981752312167,13.7381552003811,1.72975311527946e-42,4.7683527544537e-40,2.74029309315324e-40,"HNRNPH1/SNU13/TXNL4A/SNRPN/SF3B6/UBL5/POLR2J/HNRNPA2B1/DDX39B/U2AF1/SAP18/RBM8A/EFTUD2/SNRPC/SRSF6/AQR/SNRPD2/HSPA8/RBM39/HNRNPU/SLU7/SF1/SNRPB/POLR2I/SRSF3/DDX46/RBMX/HNRNPA3/POLR2H/MAGOH/SRSF2/RBM25/SRSF11/U2AF1L4/PCBP2/CWC15/POLR2L/SRRM2/SNRPE/PCBP1/TFIP11/SRSF9/SNRPG/RBM10/POLR2K/XAB2/POLR2F/RNF113A/PNN/LSM7/SNRPF/SMNDC1/PPIG/LSM3/RNPS1/LSM8/SF3B3/SF3B4/HNRNPA1/YBX1/PUF60/HNRNPD/WBP11/DDX5/HNRNPK/SNRPD3/CWC22/LUC7L3/LSM6/CDC40/NKAP/IK/SRSF1/PTBP1/PPIE/HNRNPL/DHX9/DDX23/SRSF4/SRSF5/PRPF4/CCDC12/FAM32A/PRPF6/SNRPA1/LSM2/PRPF40A/POLR2B/HNRNPH2/ACIN1/MTREX/DHX15/SYF2/SNRNP27/WDR70/DDX42/SF3B5/PHF5A/PRCC/GTF2F1/TRA2B/RBM42/DDX41/CASC3/BCAS2/RBM5/SMU1/SF3B1/CHERP/HNRNPC/SNRNP40/LSM5/SRSF10/TCERG1/SNRNP200/BUD31/PPIL3/PRPF38A/SNRPB2/POLR2A/HNRNPM/FUS/GCFC2/SF3B2/SART1/SF3A3/NSRP1/PPIL4/CWC25/POLR2C/U2SURP/RBM7/PRPF31/PRKRIP1/PQBP1/LSM4/CCAR1/NCBP2/SF3A2/POLR2E/RBM22/SRRT/HTATSF1/DNAJC8/PPIH/HNRNPR/PPIL2/SRSF8/CDC5L/C9orf78/HNRNPF/PLRG1/SRRM1/SNW1/LENG1/ZMAT2/PRPF8/CWF19L2/EIF4A3/SRSF7/SNRNP70/DHX38/SNRPD1/RBM17/FAM50A/SF3A1/ALYREF/SNRPA/POLR2G/MFAP1/U2AF2",171,"DCT","DKD_vs_Normal"
"R-HSA-611105","Respiratory electron transport","139/4201","157/11230",0.885350318471338,2.36669461471867,13.3317993721055,5.72319762723498e-41,1.35230983934952e-38,7.77149993592961e-39,"NDUFA3/UQCR11/NDUFB8/COX7C/COX8A/DMAC1/NDUFB1/NDUFB11/COX6C/UQCRH/SCO2/MT-ND2/COX6B1/NDUFB7/MT-CYB/COX7A1/UQCRB/NDUFAF8/NDUFB10/COX5B/NDUFA1/COX16/COX7B/NDUFAB1/COX4I1/MT-ND1/MT-ND3/COX6A1/COX17/UQCRQ/NDUFB6/NDUFA8/NDUFB9/COX5A/NDUFC1/CYC1/NDUFS5/MDH2/MT-CO2/NDUFA7/ETFB/NDUFS8/UQCC3/NDUFB4/NDUFA6/NDUFA2/NDUFV2/SDHC/HIGD2A/NDUFB3/COX14/NDUFS6/NDUFB2/SDHA/PNKD/COX20/NDUFS7/COX11/COA3/NDUFC2/CMC1/MT-ND4/NDUFS4/MT-CO1/UQCRC2/COX7A2L/NDUFAF4/NDUFB5/COX7A2/ISCU/SLC25A11/MT-ND5/TMEM223/NDUFA5/MT-CO3/NDUFV1/NDUFV3/MDH1/UQCRFS1/NDUFA12/NDUFAF3/UQCR10/UQCC2/NDUFAF1/HSPA9/NDUFA9/NFS1/SLC25A12/DMAC2/NDUFAF6/UQCRC1/PET100/NDUFS1/NDUFS3/NDUFA11/TIMMDC1/HIGD1A/SURF1/COX19/SFXN4/SDHD/OXA1L/TMEM126B/NDUFAF5/NDUFA13/SLC25A13/TMEM126A/HSCB/COQ10A/LYRM2/ETFDH/MT-ND6/HCCS/BCS1L/GOT1/LETM1/TRAP1/SCO1/NDUFA10/PYURF/COQ10B/TTC19/SDHB/COX15/COA5/PET117/GOT2/LYRM7/SMIM20/NDUFAF2/COA1/FOXRED1/NDUFS2/ETFA/UQCC1/TACO1/TIMM21/LYRM4/RAB5IF",139,"DCT","DKD_vs_Normal"
"R-HSA-1799339","SRP-dependent cotranslational protein targeting to membrane","108/4201","113/11230",0.955752212389381,2.55489106049339,12.8423793873974,4.62423810056902e-40,7.35775317558594e-38,4.22837848759251e-38,"RPS4Y1/RPL17/RPS28/RPL37A/RPL37/RPLP1/RPL38/RPS29/RPL41/RPL35/RPS25/RPL9/RPL32/TRAM1/RPLP2/RPL36/RPS6/RPL14/RPL23A/RPL35A/RPS14/RPS13/RPL34/RPL31/RPL24/FAU/RPN1/RPS24/RPS5/RPS18/RPL30/RPL22/RPL13/RPL6/RPL27A/RPL7/RPL29/RPL18A/RPS15/RPS9/RPL28/RPL11/RPL36AL/RPL8/SSR2/RPL5/RPL21/RPS23/RPL39/RPS7/RPL27/RPS3A/RPS27A/RPS21/SEC61B/SRP72/RPS27/RPL18/RPS11/RPS20/RPL26/RPL7A/RPS19/RPL19/RPL23/RPS15A/SRPRA/SSR4/RPLP0/RPN2/RPS8/RPSA/RPL12/RPS26/RPS12/RPL15/SRP14/RPS3/RPS2/SRP54/SRPRB/DDOST/RPL13A/SPCS1/RPS10/SEC11A/SEC61G/UBA52/RPL4/RPL10/RPL26L1/SEC11C/SPCS3/RPL3/RPL36A/SRP9/RPL10A/RPS16/RPS27L/RPS17/SSR3/RPS4X/RPL22L1/SSR1/SEC61A1/SRP68/SPCS2/SRP19",108,"DCT","DKD_vs_Normal"
"R-HSA-72706","GTP hydrolysis and joining of the 60S ribosomal subunit","108/4201","113/11230",0.955752212389381,2.55489106049339,12.8423793873974,4.62423810056902e-40,7.35775317558594e-38,4.22837848759251e-38,"RPS4Y1/RPL17/RPS28/RPL37A/RPL37/RPLP1/RPL38/RPS29/RPL41/EIF2S3/RPL35/RPS25/RPL9/RPL32/RPLP2/RPL36/RPS6/RPL14/RPL23A/RPL35A/RPS14/RPS13/RPL34/RPL31/RPL24/FAU/RPS24/RPS5/RPS18/RPL30/RPL22/RPL13/RPL6/RPL27A/RPL7/RPL29/RPL18A/RPS15/RPS9/RPL28/RPL11/RPL36AL/RPL8/RPL5/RPL21/RPS23/RPL39/RPS7/RPL27/RPS3A/RPS27A/RPS21/RPS27/RPL18/RPS11/RPS20/RPL26/RPL7A/EIF3L/EIF1AX/RPS19/RPL19/RPL23/EIF4H/RPS15A/RPLP0/RPS8/RPSA/RPL12/EIF4G1/RPS26/EIF4A2/RPS12/RPL15/EIF2S1/RPS3/RPS2/EIF4E/EIF4A1/EIF3J/EIF2S2/RPL13A/RPS10/EIF5B/EIF3G/UBA52/RPL4/RPL10/EIF5/RPL26L1/EIF3H/RPL3/EIF3M/EIF3K/EIF3F/RPL36A/RPL10A/RPS16/EIF3A/EIF3I/RPS27L/RPS17/EIF3E/EIF3D/RPS4X/RPL22L1/EIF4B/EIF3B",108,"DCT","DKD_vs_Normal"
"R-HSA-5419276","Mitochondrial translation termination","99/4201","101/11230",0.98019801980198,2.62023893415288,12.6447949083808,5.20081724453466e-40,7.35775317558594e-38,4.22837848759251e-38,"MRPS24/MRPL57/MRPS6/MT-ND2/MT-CYB/MT-ND1/MT-ND3/MRPL51/MT-ATP6/MT-CO2/MRPL38/MRPL35/AURKAIP1/MRPL54/MT-ATP8/MRPL48/MRPL52/MRPL2/MRPL20/MRPS7/MRPL4/MRPL41/MRPL34/MRPL40/MT-ND4/MRPS18C/MT-CO1/MRPL43/MT-ND5/MRPL47/MRPL33/MRPL19/MT-CO3/MRPL27/MRPL13/MRPS28/MRPS31/MRPL55/MRPS25/GADD45GIP1/MRPS15/MRPS22/MRPL18/MRPS16/MT-ND4L/MRPL21/MRPL22/PTCD3/GFM2/MRPL28/MRPL23/MRRF/MRPL37/MRPS18A/MRPS23/MRPL53/MRPL1/MRPS34/MRPS18B/MRPS2/MRPS11/OXA1L/MRPL12/MRPL16/ERAL1/CHCHD1/MRPL17/MRPL15/MRPS33/DAP3/MRPS14/MRPS35/MRPS30/MT-ND6/MRPS17/MTRF1L/MRPS12/MRPL58/MRPL49/MRPL9/MRPL32/MRPL39/MRPL46/MRPL14/MRPL36/MRPL30/MRPS5/MRPS27/MRPL42/MRPL24/MRPL50/MRPS10/MRPL11/MRPL44/MRPS9/MRPS21/MRPL3/MRPS26/MRPL10",99,"DCT","DKD_vs_Normal"
