"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","CellType","Condition"
"R-HSA-72766","Translation","286/3793","368/11230",0.777173913043478,2.30099210215615,18.1220256912767,5.03429726753299e-69,8.3770706531749e-66,4.40368529402096e-66,"EEF1G/UBC/MRPS24/ELOB/RPS21/RPL15/RPL17/MT-CYB/RPS17/RPL32/MT-ATP6/TRAM1/MRPS11/RPS18/RPS14/RPL19/RPL5/MRPL15/SEC61G/MT-ND4L/RPL10/RPL36/RPL29/RPS9/RPS28/RPS27/RPL24/MRPS6/RPS3/AURKAIP1/PSMD13/PABPC1/RPS24/RPLP1/RPL18/EIF3E/EIF4B/RPL12/EEF2/PSMA2/RPL11/RPL3/RPS8/EIF5/SRP72/RPN1/PSMD8/EIF3B/ABCE1/EEF1E1/SPCS2/MT-CO3/GSPT1/SSR3/MT-CO1/RPLP0/FAU/EIF2S1/MT-CO2/MRPL48/RPS12/MRPS12/RPL8/RPL36A/RPS27A/MRPS10/RPL36AL/RBX1/RPS27L/SSR4/TCF25/GADD45GIP1/PPA1/MT-ND2/RPS6/RPS7/RPLP2/SEC11A/MRPL12/MT-ATP8/RPS15/RPL6/MRPS23/PSMD14/MRPL54/MTIF3/TUFM/RPL37A/EEF1B2/MRPL52/RPL27A/SEC61B/MRPL39/RPS19/PSMA6/SSR1/PSMD7/RPL39/MRPL11/MRPL41/MRPL16/RPS15A/MRPL19/MRPL36/EIF3L/RPL4/RPS3A/RPL41/RPS26/RPL26/PSMD3/RPS29/NEMF/RPL38/RPL28/EIF4A2/EIF4H/ERAL1/ASCC2/PSMB4/TRMT112/RPL21/PSMA4/EIF3G/RPL7A/RPL27/MRPL57/RPL14/RPS4X/UBE2D3/SEC61A1/MRPL22/ELOC/ANKZF1/MRPS35/SEM1/MRPL23/CHCHD1/EIF4E/MRPL42/HBS1L/MRPS7/MRPL55/RPS10/RPL23A/RPL10A/PSMB7/RPL7/RPL30/EIF3A/ASCC3/RPL18A/MRPL33/SRPRB/MRPL27/RPS16/ZNF598/MT-ND1/GFM1/PSMC6/PSMD1/MRPS5/RPS25/MRPL14/MT-ND5/RPS23/EIF2S3/UBE2D2/RPL35A/RPS20/PSMA3/MRPS16/RPL35/EIF3D/RPS5/NDUFAB1/PELO/PSMD11/IARS2/MRPL34/RPL22/RPN2/EIF3I/PSMB2/RPL23/PSMB6/MRPS9/PSMA7/PSMB3/SPCS3/MRPS26/EEF1A1/EIF4G1/UBA52/MT-ND4/RPL34/SRP54/SRP19/RPS13/MRPL17/PSMC2/ETF1/RPS2/MRPL9/MRPS21/EIF3F/EIF5B/MRPL20/EEF1D/MRPL50/SRP9/KLHDC10/PSMB5/RPL22L1/LTN1/RPL37/MRPL35/NPLOC4/RPL13A/MRPL2/RPL13/MRPL1/PSMC5/PSMA1/DDOST/MT-ND3/EIF4EBP1/MRPL58/MRPS28/RPL26L1/EIF2S2/UBE2D1/PSMD2/MRPS34/MALSU1/SRP14/UFD1/EIF3J/SSR2/PSMA5/EIF3K/PSMB1/PSMD12/RPL31/MT-ND6/PSMC4/MRPL28/MRPS31/MRPS14/MRPL4/MRPS15/SPCS1/PTCD3/MRPL51/MRPL24/VCP/AIMP1/SRPRA/MRPL47/MRPS18C/RPL9/MRPL18/EIF4A1/MRPL13/PSMC3/UBB/MRPL40/MRPL37/EIF1AX/ADRM1/EIF3M/SEC11C/DAP3/MRPS18B/MRPL3/MRPL32/PSMC1/RPSA/PSMD6/OXA1L/MRPL43/MRPL21/RPS11/CUL2/EIF3H/MRPS33",286,"EC_DVR","DKD_vs_Normal"
"R-HSA-9948299","Ribosome-associated quality control","138/3793","145/11230",0.951724137931034,2.81778593961654,15.7333775264116,2.38270007119503e-56,1.98240645923427e-53,1.04211776798056e-53,"UBC/ELOB/RPS21/RPL15/RPL17/RPS17/RPL32/RPS18/RPS14/RPL19/RPL5/RPL10/RPL36/RPL29/RPS9/RPS28/RPS27/RPL24/RPS3/PSMD13/RPS24/RPLP1/RPL18/RPL12/PSMA2/RPL11/RPL3/RPS8/PSMD8/ABCE1/RPLP0/FAU/RPS12/RPL8/RPL36A/RPS27A/RPL36AL/RBX1/RPS27L/TCF25/RPS6/RPS7/RPLP2/RPS15/RPL6/PSMD14/RPL37A/RPL27A/RPS19/PSMA6/PSMD7/RPL39/RPS15A/RPL4/RPS3A/RPL41/RPS26/RPL26/PSMD3/RPS29/NEMF/RPL38/RPL28/ASCC2/PSMB4/RPL21/PSMA4/RPL7A/RPL27/RPL14/RPS4X/UBE2D3/ELOC/ANKZF1/SEM1/HBS1L/RPS10/RPL23A/RPL10A/PSMB7/RPL7/RPL30/ASCC3/RPL18A/RPS16/ZNF598/PSMC6/PSMD1/RPS25/RPS23/UBE2D2/RPL35A/RPS20/PSMA3/RPL35/RPS5/PELO/PSMD11/RPL22/PSMB2/RPL23/PSMB6/PSMA7/PSMB3/UBA52/RPL34/RPS13/PSMC2/RPS2/KLHDC10/PSMB5/RPL22L1/LTN1/RPL37/NPLOC4/RPL13A/RPL13/PSMC5/PSMA1/RPL26L1/UBE2D1/PSMD2/UFD1/PSMA5/PSMB1/PSMD12/RPL31/PSMC4/VCP/RPL9/PSMC3/UBB/ADRM1/PSMC1/RPSA/PSMD6/RPS11/CUL2",138,"EC_DVR","DKD_vs_Normal"
"R-HSA-72203","Processing of Capped Intron-Containing Pre-mRNA","226/3793","294/11230",0.768707482993197,2.27592539784171,15.8318901661719,5.41820616483854e-53,3.00529835276377e-50,1.57983485016871e-50,"UBC/DDX5/TRA2B/HNRNPF/LUC7L3/PPP1CB/LSM7/NUP98/ZCRB1/SNRPA1/SNRPD1/SF3B6/LSM4/NXT1/YBX1/FUS/LSM5/SRSF10/RBM8A/HNRNPC/HNRNPA2B1/PAPOLA/YJU2/SNRPF/POLR2L/DHX15/RPS27A/PDCD7/PCBP1/PRPF3/WBP11/DHX38/LSM8/SRRM2/POLR2C/POLR2J/POLR2H/TPR/NUDT21/RBM39/SNRNP27/GCFC2/SNRPB2/CSTF2T/PPP1R10/UBL5/TXNL4A/CWC15/SLBP/SF3B5/SF3A3/SMNDC1/DDX39B/RBBP6/PABPN1/U2AF1L4/DHX9/NXF1/HNRNPR/UPF3B/LSM3/RBM7/SNRPG/NUP88/HNRNPU/PRPF6/HNRNPH1/METTL3/SRSF8/ZNF830/POLR2A/EIF4E/POLR2G/PPIL4/SRSF6/SNRPA/NUP153/PPIL2/SNRNP40/PHF5A/PRPF19/POLR2B/HNRNPK/MFAP1/CDC40/SF3B3/DDX39A/POM121/PRPF40A/SAP18/SEH1L/CWF19L2/ACIN1/SNRPN/PRPF4/SRSF9/POLR2K/PPP1CA/PCF11/PNN/POLR2F/SRSF5/BCAS2/HNRNPD/RNPS1/PTBP1/PRKRIP1/PRPF38A/CSTF3/THOC3/DHX8/HSPA8/SNU13/PPWD1/METTL14/RBM5/HNRNPM/SRRM1/C9orf78/UBA52/HNRNPA1/THOC5/XRN2/HNRNPL/PRPF8/SNRPB/SNRNP200/SF3A1/SNRPE/LSM6/DHX16/CWC25/CCAR1/WTAP/NUP133/NUP62/FIP1L1/NUP54/SRSF7/HNRNPA3/SNRPD2/RBM42/RANBP2/SRSF1/THOC2/DDX23/PUF60/FAM50A/SNRNP70/SNRNP35/SYF2/POLR2I/NUP58/SYMPK/SRSF4/SLU7/MAGOH/NUP37/U2SURP/CASC3/RNPC3/DNAJC8/ISY1/WBP4/SRRT/SF3B4/HNRNPH2/ZMAT2/CPSF2/PPIG/GTF2F1/RBM22/SF3B1/SRSF2/THOC7/NSRP1/CWC22/SNRPC/SRSF11/LSM2/BUD31/PPIH/FYTTD1/SART1/RBM25/ALYREF/SF3B2/CPSF6/USP39/PLRG1/PRPF31/SNRNP48/CRNKL1/PCBP2/POLDIP3/CPSF7/POLR2E/CHTOP/SF1/WDR33/SNRPD3/CCDC12/UBB/SNW1/DDX46/DDX42/SRSF3/RBMX2/AQR/EIF4A3/SMU1/PQBP1/NUP50/CTNNBL1/RBM17/RBM10/IK/LENG1/U2AF2/CDC5L/SF3A2/NCBP2/SARNP/FAM32A/RBMX/THOC1",226,"EC_DVR","DKD_vs_Normal"
"R-HSA-72172","mRNA Splicing","175/3793","213/11230",0.821596244131455,2.43251405789513,15.0737077577748,1.13130743807646e-48,4.70623894239809e-46,2.473990739583e-46,"DDX5/TRA2B/HNRNPF/LUC7L3/LSM7/ZCRB1/SNRPA1/SNRPD1/SF3B6/LSM4/YBX1/FUS/LSM5/SRSF10/RBM8A/HNRNPC/HNRNPA2B1/YJU2/SNRPF/POLR2L/DHX15/PDCD7/PCBP1/PRPF3/WBP11/DHX38/LSM8/SRRM2/POLR2C/POLR2J/POLR2H/RBM39/SNRNP27/GCFC2/SNRPB2/UBL5/TXNL4A/CWC15/SF3B5/SF3A3/SMNDC1/DDX39B/U2AF1L4/DHX9/HNRNPR/UPF3B/LSM3/RBM7/SNRPG/HNRNPU/PRPF6/HNRNPH1/SRSF8/ZNF830/POLR2A/POLR2G/PPIL4/SRSF6/SNRPA/PPIL2/SNRNP40/PHF5A/PRPF19/POLR2B/HNRNPK/MFAP1/CDC40/SF3B3/PRPF40A/SAP18/CWF19L2/ACIN1/SNRPN/PRPF4/SRSF9/POLR2K/PNN/POLR2F/SRSF5/BCAS2/HNRNPD/RNPS1/PTBP1/PRKRIP1/PRPF38A/DHX8/HSPA8/SNU13/PPWD1/RBM5/HNRNPM/SRRM1/C9orf78/HNRNPA1/HNRNPL/PRPF8/SNRPB/SNRNP200/SF3A1/SNRPE/LSM6/DHX16/CWC25/CCAR1/SRSF7/HNRNPA3/SNRPD2/RBM42/SRSF1/DDX23/PUF60/FAM50A/SNRNP70/SNRNP35/SYF2/POLR2I/SRSF4/SLU7/MAGOH/U2SURP/CASC3/RNPC3/DNAJC8/ISY1/WBP4/SRRT/SF3B4/HNRNPH2/ZMAT2/PPIG/GTF2F1/RBM22/SF3B1/SRSF2/NSRP1/CWC22/SNRPC/SRSF11/LSM2/BUD31/PPIH/SART1/RBM25/ALYREF/SF3B2/USP39/PLRG1/PRPF31/SNRNP48/CRNKL1/PCBP2/POLR2E/SF1/SNRPD3/CCDC12/SNW1/DDX46/DDX42/SRSF3/RBMX2/AQR/EIF4A3/SMU1/PQBP1/CTNNBL1/RBM17/RBM10/IK/LENG1/U2AF2/CDC5L/SF3A2/NCBP2/FAM32A/RBMX",175,"EC_DVR","DKD_vs_Normal"
"R-HSA-72163","mRNA Splicing - Major Pathway","170/3793","205/11230",0.829268292682927,2.45522882331381,15.0169588629861,2.05150036342643e-48,6.82739320948315e-46,3.58904589896287e-46,"DDX5/TRA2B/HNRNPF/LUC7L3/LSM7/SNRPA1/SNRPD1/SF3B6/LSM4/YBX1/FUS/LSM5/SRSF10/RBM8A/HNRNPC/HNRNPA2B1/YJU2/SNRPF/POLR2L/DHX15/PCBP1/PRPF3/WBP11/DHX38/LSM8/SRRM2/POLR2C/POLR2J/POLR2H/RBM39/SNRNP27/GCFC2/SNRPB2/UBL5/TXNL4A/CWC15/SF3B5/SF3A3/SMNDC1/DDX39B/U2AF1L4/DHX9/HNRNPR/UPF3B/LSM3/RBM7/SNRPG/HNRNPU/PRPF6/HNRNPH1/SRSF8/ZNF830/POLR2A/POLR2G/PPIL4/SRSF6/SNRPA/PPIL2/SNRNP40/PHF5A/PRPF19/POLR2B/HNRNPK/MFAP1/CDC40/SF3B3/PRPF40A/SAP18/CWF19L2/ACIN1/SNRPN/PRPF4/SRSF9/POLR2K/PNN/POLR2F/SRSF5/BCAS2/HNRNPD/RNPS1/PTBP1/PRKRIP1/PRPF38A/DHX8/HSPA8/SNU13/PPWD1/RBM5/HNRNPM/SRRM1/C9orf78/HNRNPA1/HNRNPL/PRPF8/SNRPB/SNRNP200/SF3A1/SNRPE/LSM6/DHX16/CWC25/CCAR1/SRSF7/HNRNPA3/SNRPD2/RBM42/SRSF1/DDX23/PUF60/FAM50A/SNRNP70/SYF2/POLR2I/SRSF4/SLU7/MAGOH/U2SURP/CASC3/DNAJC8/ISY1/WBP4/SRRT/SF3B4/HNRNPH2/ZMAT2/PPIG/GTF2F1/RBM22/SF3B1/SRSF2/NSRP1/CWC22/SNRPC/SRSF11/LSM2/BUD31/PPIH/SART1/RBM25/ALYREF/SF3B2/USP39/PLRG1/PRPF31/CRNKL1/PCBP2/POLR2E/SF1/SNRPD3/CCDC12/SNW1/DDX46/DDX42/SRSF3/RBMX2/AQR/EIF4A3/SMU1/PQBP1/CTNNBL1/RBM17/RBM10/IK/LENG1/U2AF2/CDC5L/SF3A2/NCBP2/FAM32A/RBMX",170,"EC_DVR","DKD_vs_Normal"
"R-HSA-72706","GTP hydrolysis and joining of the 60S ribosomal subunit","107/3793","113/11230",0.946902654867257,2.80351089221178,13.7602796451444,3.09329139882266e-43,8.57872814606817e-41,4.50969324986251e-41,"RPS21/RPL15/RPL17/RPS17/RPL32/RPS18/RPS14/RPL19/RPL5/RPL10/RPL36/RPL29/RPS9/RPS28/RPS27/RPL24/RPS3/RPS24/RPLP1/RPL18/EIF3E/EIF4B/RPL12/RPL11/RPL3/RPS8/EIF5/EIF3B/RPLP0/FAU/EIF2S1/RPS12/RPL8/RPL36A/RPS27A/RPL36AL/RPS27L/RPS6/RPS7/RPLP2/RPS15/RPL6/RPL37A/RPL27A/RPS19/RPL39/RPS15A/EIF3L/RPL4/RPS3A/RPL41/RPS26/RPL26/RPS29/RPL38/RPL28/EIF4A2/EIF4H/RPL21/EIF3G/RPL7A/RPL27/RPL14/RPS4X/EIF4E/RPS10/RPL23A/RPL10A/RPL7/RPL30/EIF3A/RPL18A/RPS16/RPS25/RPS23/EIF2S3/RPL35A/RPS20/RPL35/EIF3D/RPS5/RPL22/EIF3I/RPL23/EIF4G1/UBA52/RPL34/RPS13/RPS2/EIF3F/EIF5B/RPL22L1/RPL37/RPL13A/RPL13/RPL26L1/EIF2S2/EIF3J/EIF3K/RPL31/RPL9/EIF4A1/EIF1AX/EIF3M/RPSA/RPS11/EIF3H",107,"EC_DVR","DKD_vs_Normal"
"R-HSA-9010553","Regulation of expression of SLITs and ROBOs","137/3793","159/11230",0.861635220125786,2.55105813920711,14.066831501669,4.26332372707856e-43,1.01345295455125e-40,5.32755190556734e-41,"UBC/ELOB/RPS21/RPL15/RPL17/RPS17/RPL32/RPS18/RPS14/RPL19/RPL5/RPL10/RPL36/RPL29/RPS9/RPS28/RPS27/RPL24/RPS3/PSMD13/PABPC1/RPS24/RPLP1/RPL18/RPL12/PSMA2/RPL11/RPL3/RPS8/PSMD8/RBM8A/GSPT1/RPLP0/FAU/RPS12/RPL8/RPL36A/RPS27A/RPL36AL/RBX1/RPS27L/UPF2/RPS6/RPS7/RPLP2/RPS15/RPL6/PSMD14/RPL37A/RPL27A/RPS19/PSMA6/PSMD7/RPL39/RPS15A/RPL4/DAG1/RPS3A/RPL41/RPS26/RPL26/PSMD3/RPS29/RPL38/RPL28/PSMB4/UPF3B/RPL21/PSMA4/RPL7A/RPL27/RPL14/RPS4X/ELOC/SEM1/RPS10/RPL23A/RPL10A/PSMB7/RPL7/RPL30/RPL18A/RPS16/PSMC6/PSMD1/RPS25/RPS23/RPL35A/RPS20/PSMA3/RPL35/RPS5/RNPS1/PSMD11/RPL22/PSMB2/RPL23/PSMB6/PSMA7/PSMB3/EIF4G1/UBA52/RPL34/RPS13/PSMC2/ETF1/UPF3A/RPS2/PSMB5/RPL22L1/RPL37/RPL13A/USP33/RPL13/MAGOH/PSMC5/PSMA1/CASC3/RPL26L1/PSMD2/PSMA5/PSMB1/PSMD12/RPL31/PSMC4/RPL9/PSMC3/UBB/ADRM1/EIF4A3/PSMC1/RPSA/PSMD6/NCBP2/RPS11/ZSWIM8/CUL2",137,"EC_DVR","DKD_vs_Normal"
"R-HSA-156827","L13a-mediated translational silencing of Ceruloplasmin expression","106/3793","112/11230",0.946428571428571,2.80210726526308,13.6879807432939,8.83480307477741e-43,1.8376390395537e-40,9.66015967781582e-41,"RPS21/RPL15/RPL17/RPS17/RPL32/RPS18/RPS14/RPL19/RPL5/RPL10/RPL36/RPL29/RPS9/RPS28/RPS27/RPL24/RPS3/PABPC1/RPS24/RPLP1/RPL18/EIF3E/EIF4B/RPL12/RPL11/RPL3/RPS8/EIF3B/RPLP0/FAU/EIF2S1/RPS12/RPL8/RPL36A/RPS27A/RPL36AL/RPS27L/RPS6/RPS7/RPLP2/RPS15/RPL6/RPL37A/RPL27A/RPS19/RPL39/RPS15A/EIF3L/RPL4/RPS3A/RPL41/RPS26/RPL26/RPS29/RPL38/RPL28/EIF4A2/EIF4H/RPL21/EIF3G/RPL7A/RPL27/RPL14/RPS4X/EIF4E/RPS10/RPL23A/RPL10A/RPL7/RPL30/EIF3A/RPL18A/RPS16/RPS25/RPS23/EIF2S3/RPL35A/RPS20/RPL35/EIF3D/RPS5/RPL22/EIF3I/RPL23/EIF4G1/UBA52/RPL34/RPS13/RPS2/EIF3F/RPL22L1/RPL37/RPL13A/RPL13/RPL26L1/EIF2S2/EIF3J/EIF3K/RPL31/RPL9/EIF4A1/EIF1AX/EIF3M/RPSA/RPS11/EIF3H",106,"EC_DVR","DKD_vs_Normal"
"R-HSA-9954709","Ribosome Quality Control (RQC) complex extracts and degrades nascent peptide","99/3793","103/11230",0.961165048543689,2.84573780520581,13.4388667425823,8.18674279535504e-42,1.51363777905231e-39,7.95693948881875e-40,"UBC/ELOB/RPL15/RPL17/RPL32/RPL19/RPL5/RPL10/RPL36/RPL29/RPL24/PSMD13/RPLP1/RPL18/RPL12/PSMA2/RPL11/RPL3/PSMD8/RPLP0/RPL8/RPL36A/RPS27A/RPL36AL/RBX1/TCF25/RPLP2/RPL6/PSMD14/RPL37A/RPL27A/PSMA6/PSMD7/RPL39/RPL4/RPL41/RPL26/PSMD3/NEMF/RPL38/RPL28/PSMB4/RPL21/PSMA4/RPL7A/RPL27/RPL14/ELOC/ANKZF1/SEM1/RPL23A/RPL10A/PSMB7/RPL7/RPL30/RPL18A/PSMC6/PSMD1/UBE2D2/RPL35A/PSMA3/RPL35/PSMD11/RPL22/PSMB2/RPL23/PSMB6/PSMA7/PSMB3/UBA52/RPL34/PSMC2/KLHDC10/PSMB5/RPL22L1/LTN1/RPL37/NPLOC4/RPL13A/RPL13/PSMC5/PSMA1/RPL26L1/UBE2D1/PSMD2/UFD1/PSMA5/PSMB1/PSMD12/RPL31/PSMC4/VCP/RPL9/PSMC3/UBB/ADRM1/PSMC1/PSMD6/CUL2",99,"EC_DVR","DKD_vs_Normal"
"R-HSA-1799339","SRP-dependent cotranslational protein targeting to membrane","106/3793","113/11230",0.938053097345133,2.77730985583597,13.5603731244349,9.57776941678096e-42,1.59374083095235e-39,8.37802777404735e-40,"RPS21/RPL15/RPL17/RPS17/RPL32/TRAM1/RPS18/RPS14/RPL19/RPL5/SEC61G/RPL10/RPL36/RPL29/RPS9/RPS28/RPS27/RPL24/RPS3/RPS24/RPLP1/RPL18/RPL12/RPL11/RPL3/RPS8/SRP72/RPN1/SPCS2/SSR3/RPLP0/FAU/RPS12/RPL8/RPL36A/RPS27A/RPL36AL/RPS27L/SSR4/RPS6/RPS7/RPLP2/SEC11A/RPS15/RPL6/RPL37A/RPL27A/SEC61B/RPS19/SSR1/RPL39/RPS15A/RPL4/RPS3A/RPL41/RPS26/RPL26/RPS29/RPL38/RPL28/RPL21/RPL7A/RPL27/RPL14/RPS4X/SEC61A1/RPS10/RPL23A/RPL10A/RPL7/RPL30/RPL18A/SRPRB/RPS16/RPS25/RPS23/RPL35A/RPS20/RPL35/RPS5/RPL22/RPN2/RPL23/SPCS3/UBA52/RPL34/SRP54/SRP19/RPS13/RPS2/SRP9/RPL22L1/RPL37/RPL13A/RPL13/DDOST/RPL26L1/SRP14/SSR2/RPL31/SPCS1/SRPRA/RPL9/SEC11C/RPSA/RPS11",106,"EC_DVR","DKD_vs_Normal"
