"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","CellType","Condition"
"R-HSA-72766","Translation","291/3832","368/11230",0.790760869565217,2.31739158800036,18.4931130151319,2.92279850178259e-72,4.88107349797693e-69,2.51668334153491e-69,"RPS4Y1/RPL17/MRPS24/EEF1G/MT-ND4/EIF4A1/MT-ATP8/RPS10/ELOB/EIF4H/MT-CO1/RPS26/PSMA6/SRP9/ELOC/RPS27L/RPS29/PSMA4/PSMC3/PSMB6/SSR4/RPL37/SEM1/MRPS21/MT-CYB/SEC61G/RPS11/UBE2D2/MT-CO3/RPS2/EIF4A2/MRPS35/SPCS3/RPL34/RPLP0/EIF3L/MRPL34/EIF1AX/MRPL17/EIF2S3/MRPL54/RPL36A/MRPS18C/RPL4/EIF3G/RPL38/MRPL43/EIF5B/RBX1/TRAM1/RPL22/RPL27A/RPL18/AIMP1/RPS7/RCHY1/MTRF1L/NDUFAB1/EEF1A1/PSMA1/RPS20/MT-ND3/RPL9/SEC11C/PSMB2/UBE2D3/MT-ATP6/RPL7/RPN2/MRPL51/PSMB1/EIF5/MRPS11/MRPL19/RPL24/RPS12/MRPL33/MRPL9/MRPS5/RPS19/MRPL55/EEF1B2/MT-ND6/PSMD14/RPL32/UFD1/SSR2/SEC61B/PSMB7/EEF2/MRPS16/PSMD7/TRMT112/MRPS10/EIF3B/MRPL42/RPL23/PSMD11/EIF4B/SPCS2/MRPL37/RPS16/PSMC1/TCF25/SRP14/EIF3D/RPS28/GSPT1/PSMA2/PSMC6/RPL13/MRPL41/RPL13A/SEC11A/RPL41/MT-ND2/UBC/PSMB3/RPS13/RPL8/PTCD3/HBS1L/RPL3/MRPL24/RPL39/MRPL47/EEF1E1/MTIF3/SSR1/PSMD1/PSMA7/PSMB4/MRPL28/RPL10A/RPS3A/RPS21/RPS17/MRPL48/ANKZF1/EIF2S2/LTN1/RPL12/MRPL40/MT-ND1/MRPS30/MRPL27/AURKAIP1/MT-ND4L/RPL18A/MRPL52/RPL10/FAU/RPL36AL/MRPL11/PSMA3/RPN1/NEMF/RPL11/RPL30/SEC61A1/MRPL57/EIF2B5/RPS15A/PSMC2/MRPS34/RPL27/MRPL20/SRPRA/EIF3M/RPSA/PSMD3/RPL37A/ABCE1/MIEF1/EIF3F/MRPL21/EIF2S1/NPLOC4/SPCS1/EIF3K/ADRM1/MT-CO2/MRPS18A/EIF2B1/SRP72/EIF4E/IARS2/EIF3E/MRPL16/MRPS22/MRPL18/RPL35/RPL19/RPL35A/PSMD8/UBE2D1/RARS2/RPL5/UBB/MT-ND5/EEF1D/OXA1L/RPL29/PSMD13/UBA52/RPLP2/PPA1/RPS27/RPL28/DDOST/TUFM/CHCHD1/PSMC4/EIF3A/GADD45GIP1/RPS6/PSMC5/RPS25/EIF4G1/MALSU1/VCP/SSR3/MRPS23/GFM1/PELO/MRPL32/RPL23A/RPS3/PSMA5/RPL36/MRPL2/MRPL36/EIF2B4/RPLP1/PSMB5/PABPC1/RPL31/MRPL1/MRPS33/MRPS7/RPS27A/MRPS31/EIF3I/MRPS12/RPL15/MRPS27/MRPL15/CUL2/FARSA/MRPL13/RPL21/RPL6/MRPL23/RPS15/PSMD12/MRPS18B/MRPL4/SRP54/ETF1/RPL7A/RPL22L1/MRPL12/MRPL22/TSFM/MRPS28/RPL26L1/KLHDC10/RPL14/RPL26/EIF3J/EIF4EBP1/ASCC3/MRPL3/MRPS15/MRPL50/DAP3/PSMD6/EIF3H/MRPS25/SRP19/RPS5/PSMD2/RPS23/MRPS26/MRPS14/RPS4X/RPS9/RPS8/RPS14/RPS24/RPS18",291,"EC_GC","DKD_vs_Normal"
"R-HSA-9948299","Ribosome-associated quality control","138/3832","145/11230",0.951724137931034,2.78910805557555,15.6055417960716,9.674500968407e-56,8.07820830861984e-53,4.16512725902996e-53,"RPS4Y1/RPL17/RPS10/ELOB/RPS26/PSMA6/ELOC/RPS27L/RPS29/PSMA4/PSMC3/PSMB6/RPL37/SEM1/RPS11/UBE2D2/RPS2/RPL34/RPLP0/RPL36A/RPL4/RPL38/RBX1/RPL22/RPL27A/RPL18/RPS7/RCHY1/PSMA1/RPS20/RPL9/PSMB2/UBE2D3/RPL7/PSMB1/RPL24/RPS12/RPS19/PSMD14/RPL32/UFD1/PSMB7/PSMD7/RPL23/PSMD11/RPS16/PSMC1/TCF25/RPS28/PSMA2/PSMC6/RPL13/RPL13A/RPL41/UBC/PSMB3/RPS13/RPL8/HBS1L/RPL3/RPL39/PSMD1/PSMA7/PSMB4/RPL10A/RPS3A/RPS21/RPS17/ANKZF1/LTN1/RPL12/RPL18A/RPL10/FAU/RPL36AL/PSMA3/NEMF/RPL11/RPL30/RPS15A/PSMC2/RPL27/RPSA/PSMD3/RPL37A/ABCE1/NPLOC4/ADRM1/RPL35/RPL19/RPL35A/PSMD8/UBE2D1/RPL5/UBB/RPL29/PSMD13/UBA52/RPLP2/RPS27/RPL28/PSMC4/RPS6/PSMC5/RPS25/VCP/PELO/RPL23A/RPS3/PSMA5/RPL36/RPLP1/PSMB5/RPL31/RPS27A/RPL15/CUL2/RPL21/RPL6/RPS15/PSMD12/RPL7A/RPL22L1/RPL26L1/KLHDC10/RPL14/RPL26/ASCC3/PSMD6/RPS5/PSMD2/RPS23/RPS4X/RPS9/RPS8/RPS14/RPS24/RPS18",138,"EC_GC","DKD_vs_Normal"
"R-HSA-72172","mRNA Splicing","177/3832","213/11230",0.830985915492958,2.43527448616543,15.2201600522971,6.40574040435191e-50,3.56586215842256e-47,1.8385598774596e-47,"HNRNPH1/PCBP1/SRSF3/SNU13/SRSF6/DNAJC8/SRRM2/DDX5/RBM8A/SRSF5/SF3B6/HNRNPR/SNRPD2/CDC5L/MAGOH/SNRNP70/PRPF8/SF1/POLR2L/CCDC12/ZCRB1/HNRNPK/HNRNPU/FUS/U2AF1/RBMX/YBX1/SF3B1/SRSF2/POLR2I/HTATSF1/PTBP1/PPIG/HNRNPA3/SRSF4/HNRNPC/HNRNPD/HNRNPA1/PDCD7/TXNL4A/HNRNPA2B1/WBP4/RBM5/POLR2K/RBM22/SNRNP35/SRSF9/SNRPF/HSPA8/SNRNP27/PHF5A/CWC25/SRSF7/POLR2F/SNRPC/SF3A2/PPIL4/SRSF1/SRRM1/LUC7L3/SRSF11/LSM7/ACIN1/HNRNPH2/SNRNP200/CASC3/PRPF6/LSM5/HNRNPF/RBM39/SYF2/ALYREF/RBM25/RBM42/POLR2B/PCBP2/U2AF1L4/SMU1/SF3B2/PRPF3/DDX46/SF3B4/DHX8/TRA2B/CTNNBL1/SNRPB2/PQBP1/PRKRIP1/DDX23/BUD31/SNW1/FAM32A/SNRPD1/RNPS1/U2AF2/PNN/PRPF40A/BCAS2/SNRPG/CWC15/HNRNPM/PPIE/C9orf78/TCERG1/HNRNPL/USP39/SNRPN/SNRNP40/NSRP1/EIF4A3/SRSF10/SNRPA1/ZMAT2/FAM50A/POLR2E/DDX42/SAP18/RBMX2/POLR2J/CDC40/SF3B3/RBM7/GTF2F1/ISY1/IK/LSM6/SF3A3/SF3A1/WDR70/CWF19L2/DHX38/UBL5/PRCC/PPIL2/DDX41/POLR2C/SNRPB/LSM2/RBM17/LSM3/DHX9/SNRPD3/POLR2G/NCBP2/MAGOHB/ZMAT5/RBM10/PRPF31/U2SURP/PRPF38A/WBP11/SF3B5/LENG1/SNRNP48/POLR2A/DHX15/LSM8/ZNF830/PPIH/CWC27/LSM4/SNRPA/RNPC3/PLRG1/NKAP/CWC22/AQR/CRNKL1/MFAP1/SMNDC1/PUF60/CCAR1/SLU7/SNRPE/POLR2H/UPF3B/PPWD1",177,"EC_GC","DKD_vs_Normal"
"R-HSA-72163","mRNA Splicing - Major Pathway","171/3832","205/11230",0.834146341463415,2.4445363816895,15.0225010633369,1.02619907620141e-48,4.28438114314089e-46,2.20902853771777e-46,"HNRNPH1/PCBP1/SRSF3/SNU13/SRSF6/DNAJC8/SRRM2/DDX5/RBM8A/SRSF5/SF3B6/HNRNPR/SNRPD2/CDC5L/MAGOH/SNRNP70/PRPF8/SF1/POLR2L/CCDC12/HNRNPK/HNRNPU/FUS/U2AF1/RBMX/YBX1/SF3B1/SRSF2/POLR2I/HTATSF1/PTBP1/PPIG/HNRNPA3/SRSF4/HNRNPC/HNRNPD/HNRNPA1/TXNL4A/HNRNPA2B1/WBP4/RBM5/POLR2K/RBM22/SRSF9/SNRPF/HSPA8/SNRNP27/PHF5A/CWC25/SRSF7/POLR2F/SNRPC/SF3A2/PPIL4/SRSF1/SRRM1/LUC7L3/SRSF11/LSM7/ACIN1/HNRNPH2/SNRNP200/CASC3/PRPF6/LSM5/HNRNPF/RBM39/SYF2/ALYREF/RBM25/RBM42/POLR2B/PCBP2/U2AF1L4/SMU1/SF3B2/PRPF3/DDX46/SF3B4/DHX8/TRA2B/CTNNBL1/SNRPB2/PQBP1/PRKRIP1/DDX23/BUD31/SNW1/FAM32A/SNRPD1/RNPS1/U2AF2/PNN/PRPF40A/BCAS2/SNRPG/CWC15/HNRNPM/PPIE/C9orf78/TCERG1/HNRNPL/USP39/SNRPN/SNRNP40/NSRP1/EIF4A3/SRSF10/SNRPA1/ZMAT2/FAM50A/POLR2E/DDX42/SAP18/RBMX2/POLR2J/CDC40/SF3B3/RBM7/GTF2F1/ISY1/IK/LSM6/SF3A3/SF3A1/WDR70/CWF19L2/DHX38/UBL5/PRCC/PPIL2/DDX41/POLR2C/SNRPB/LSM2/RBM17/LSM3/DHX9/SNRPD3/POLR2G/NCBP2/MAGOHB/RBM10/PRPF31/U2SURP/PRPF38A/WBP11/SF3B5/LENG1/POLR2A/DHX15/LSM8/ZNF830/PPIH/CWC27/LSM4/SNRPA/PLRG1/NKAP/CWC22/AQR/CRNKL1/MFAP1/SMNDC1/PUF60/CCAR1/SLU7/SNRPE/POLR2H/UPF3B/PPWD1",171,"EC_GC","DKD_vs_Normal"
"R-HSA-72203","Processing of Capped Intron-Containing Pre-mRNA","221/3832","294/11230",0.751700680272109,2.20292240069305,15.042089015565,4.51658310238215e-48,1.50853875619564e-45,7.77803153210231e-46,"HNRNPH1/PCBP1/SRSF3/SNU13/PABPN1/SRSF6/PAPOLA/DNAJC8/SRRM2/DDX5/RBM8A/PPP1R10/SRSF5/SF3B6/HNRNPR/SNRPD2/CDC5L/MAGOH/WTAP/SNRNP70/PRPF8/SF1/POLR2L/CCDC12/ZCRB1/HNRNPK/HNRNPU/FUS/U2AF1/RBMX/YBX1/SF3B1/SRSF2/POLR2I/HTATSF1/PTBP1/PPIG/HNRNPA3/SRSF4/PPP1CB/HNRNPC/HNRNPD/HNRNPA1/RANBP2/PDCD7/TXNL4A/HNRNPA2B1/WBP4/RBM5/POLR2K/RBM22/SNRNP35/SRSF9/SNRPF/HSPA8/SNRNP27/PHF5A/CWC25/SRSF7/NUP85/POLR2F/SNRPC/SF3A2/PPIL4/SRSF1/SRRM1/LUC7L3/SRSF11/LSM7/ACIN1/CHTOP/HNRNPH2/ZC3H11A/SNRNP200/UBC/CASC3/PRPF6/LSM5/NUP153/HNRNPF/RBM39/PPP1CA/SYMPK/SYF2/ALYREF/RBM25/RBM42/POLR2B/NUP54/PCBP2/U2AF1L4/SMU1/SF3B2/PRPF3/DDX46/SF3B4/DHX8/RBBP6/FIP1L1/TRA2B/CTNNBL1/SNRPB2/PQBP1/PRKRIP1/DDX23/BUD31/SNW1/FAM32A/SNRPD1/RNPS1/U2AF2/PNN/THOC7/PRPF40A/DDX39A/BCAS2/SNRPG/NUP133/CWC15/HNRNPM/PPIE/C9orf78/POM121/TCERG1/EIF4E/HNRNPL/USP39/SNRPN/SNRNP40/NSRP1/EIF4A3/SRSF10/SNRPA1/ZMAT2/UBB/FAM50A/POLR2E/DDX42/UBA52/SAP18/RBMX2/POLR2J/CDC40/SF3B3/RBM7/GTF2F1/ISY1/NUP50/IK/CPSF6/LSM6/SF3A3/SEC13/SF3A1/WDR70/CWF19L2/DHX38/UBL5/FYTTD1/PRCC/PPIL2/DDX41/POLR2C/SNRPB/LSM2/XRN2/RPS27A/RBM17/LSM3/NUDT21/DHX9/SNRPD3/POLR2G/NCBP2/THOC2/MAGOHB/ZMAT5/RBM10/PRPF31/SLBP/U2SURP/CSTF3/PRPF38A/WBP11/SF3B5/LENG1/WDR33/PCF11/SNRNP48/POLR2A/DHX15/CPSF7/METTL14/LSM8/ZNF830/PPIH/THOC1/CWC27/LSM4/SNRPA/NUP214/RNPC3/POLDIP3/PLRG1/NKAP/CWC22/AQR/CRNKL1/MFAP1/CPSF2/SMNDC1/PUF60/CCAR1/SLU7/SNRPE/NUP98/POLR2H/NUP37/UPF3B/TPR/PPWD1",221,"EC_GC","DKD_vs_Normal"
"R-HSA-9010553","Regulation of expression of SLITs and ROBOs","140/3832","159/11230",0.880503144654088,2.5803889129607,14.44425805294,6.75033097692136e-46,1.87884212190978e-43,9.68731708617837e-44,"RPS4Y1/RPL17/RPS10/ELOB/RPS26/PSMA6/ELOC/RPS27L/RPS29/PSMA4/PSMC3/PSMB6/RPL37/SEM1/RBM8A/RPS11/RPS2/MAGOH/RPL34/RPLP0/RPL36A/RPL4/RPL38/RBX1/RPL22/RPL27A/RPL18/RPS7/PSMA1/RPS20/RPL9/PSMB2/USP33/RPL7/PSMB1/RPL24/RPS12/RPS19/PSMD14/RPL32/PSMB7/PSMD7/RPL23/PSMD11/RPS16/PSMC1/RPS28/UPF3A/GSPT1/PSMA2/PSMC6/RPL13/RPL13A/RPL41/UBC/PSMB3/RPS13/RPL8/CASC3/RPL3/RPL39/PSMD1/PSMA7/PSMB4/RPL10A/RPS3A/RPS21/DAG1/RPS17/RPL12/RPL18A/RPL10/FAU/RPL36AL/PSMA3/RPL11/RPL30/RNPS1/RPS15A/PSMC2/RPL27/RPSA/PSMD3/RPL37A/ADRM1/RPL35/EIF4A3/RPL19/RPL35A/PSMD8/RPL5/UBB/RPL29/PSMD13/UBA52/RPLP2/RPS27/RPL28/PSMC4/RPS6/PSMC5/RPS25/EIF4G1/RPL23A/RPS3/PSMA5/RPL36/RPLP1/PSMB5/PABPC1/RPL31/RPS27A/NCBP2/MAGOHB/RPL15/CUL2/RPL21/UPF2/RPL6/RPS15/PSMD12/ETF1/RPL7A/RPL22L1/ROBO1/RPL26L1/RPL14/RPL26/ZSWIM8/PSMD6/RPS5/UPF3B/PSMD2/RPS23/RPS4X/RPS9/RPS8/RPS14/RPS24/RPS18",140,"EC_GC","DKD_vs_Normal"
"R-HSA-72613","Eukaryotic Translation Initiation","113/3832","120/11230",0.941666666666667,2.75963378566458,13.9470389317842,2.01778984328427e-44,4.21213629785592e-42,2.17177906816649e-42,"RPS4Y1/RPL17/EIF4A1/RPS10/EIF4H/RPS26/RPS27L/RPS29/RPL37/RPS11/RPS2/EIF4A2/RPL34/RPLP0/EIF3L/EIF1AX/EIF2S3/RPL36A/RPL4/EIF3G/RPL38/EIF5B/RPL22/RPL27A/RPL18/RPS7/RPS20/RPL9/RPL7/EIF5/RPL24/RPS12/RPS19/RPL32/EIF3B/RPL23/EIF4B/RPS16/EIF3D/RPS28/RPL13/RPL13A/RPL41/RPS13/RPL8/RPL3/RPL39/RPL10A/RPS3A/RPS21/RPS17/EIF2S2/RPL12/RPL18A/RPL10/FAU/RPL36AL/RPL11/RPL30/EIF2B5/RPS15A/RPL27/EIF3M/RPSA/RPL37A/EIF3F/EIF2S1/EIF3K/EIF2B1/EIF4E/EIF3E/RPL35/RPL19/RPL35A/RPL5/RPL29/UBA52/RPLP2/RPS27/RPL28/EIF3A/RPS6/RPS25/EIF4G1/RPL23A/RPS3/RPL36/EIF2B4/RPLP1/PABPC1/RPL31/RPS27A/EIF3I/RPL15/RPL21/RPL6/RPS15/RPL7A/RPL22L1/RPL26L1/RPL14/RPL26/EIF3J/EIF4EBP1/EIF3H/RPS5/RPS23/RPS4X/RPS9/RPS8/RPS14/RPS24/RPS18",113,"EC_GC","DKD_vs_Normal"
"R-HSA-72737","Cap-dependent Translation Initiation","113/3832","120/11230",0.941666666666667,2.75963378566458,13.9470389317842,2.01778984328427e-44,4.21213629785592e-42,2.17177906816649e-42,"RPS4Y1/RPL17/EIF4A1/RPS10/EIF4H/RPS26/RPS27L/RPS29/RPL37/RPS11/RPS2/EIF4A2/RPL34/RPLP0/EIF3L/EIF1AX/EIF2S3/RPL36A/RPL4/EIF3G/RPL38/EIF5B/RPL22/RPL27A/RPL18/RPS7/RPS20/RPL9/RPL7/EIF5/RPL24/RPS12/RPS19/RPL32/EIF3B/RPL23/EIF4B/RPS16/EIF3D/RPS28/RPL13/RPL13A/RPL41/RPS13/RPL8/RPL3/RPL39/RPL10A/RPS3A/RPS21/RPS17/EIF2S2/RPL12/RPL18A/RPL10/FAU/RPL36AL/RPL11/RPL30/EIF2B5/RPS15A/RPL27/EIF3M/RPSA/RPL37A/EIF3F/EIF2S1/EIF3K/EIF2B1/EIF4E/EIF3E/RPL35/RPL19/RPL35A/RPL5/RPL29/UBA52/RPLP2/RPS27/RPL28/EIF3A/RPS6/RPS25/EIF4G1/RPL23A/RPS3/RPL36/EIF2B4/RPLP1/PABPC1/RPL31/RPS27A/EIF3I/RPL15/RPL21/RPL6/RPS15/RPL7A/RPL22L1/RPL26L1/RPL14/RPL26/EIF3J/EIF4EBP1/EIF3H/RPS5/RPS23/RPS4X/RPS9/RPS8/RPS14/RPS24/RPS18",113,"EC_GC","DKD_vs_Normal"
"R-HSA-72706","GTP hydrolysis and joining of the 60S ribosomal subunit","108/3832","113/11230",0.955752212389381,2.80091266835406,13.8472712526269,2.5343961562349e-44,4.70271286768031e-42,2.42472053309959e-42,"RPS4Y1/RPL17/EIF4A1/RPS10/EIF4H/RPS26/RPS27L/RPS29/RPL37/RPS11/RPS2/EIF4A2/RPL34/RPLP0/EIF3L/EIF1AX/EIF2S3/RPL36A/RPL4/EIF3G/RPL38/EIF5B/RPL22/RPL27A/RPL18/RPS7/RPS20/RPL9/RPL7/EIF5/RPL24/RPS12/RPS19/RPL32/EIF3B/RPL23/EIF4B/RPS16/EIF3D/RPS28/RPL13/RPL13A/RPL41/RPS13/RPL8/RPL3/RPL39/RPL10A/RPS3A/RPS21/RPS17/EIF2S2/RPL12/RPL18A/RPL10/FAU/RPL36AL/RPL11/RPL30/RPS15A/RPL27/EIF3M/RPSA/RPL37A/EIF3F/EIF2S1/EIF3K/EIF4E/EIF3E/RPL35/RPL19/RPL35A/RPL5/RPL29/UBA52/RPLP2/RPS27/RPL28/EIF3A/RPS6/RPS25/EIF4G1/RPL23A/RPS3/RPL36/RPLP1/RPL31/RPS27A/EIF3I/RPL15/RPL21/RPL6/RPS15/RPL7A/RPL22L1/RPL26L1/RPL14/RPL26/EIF3J/EIF3H/RPS5/RPS23/RPS4X/RPS9/RPS8/RPS14/RPS24/RPS18",108,"EC_GC","DKD_vs_Normal"
"R-HSA-156827","L13a-mediated translational silencing of Ceruloplasmin expression","107/3832","112/11230",0.955357142857143,2.79975488368625,13.7763816244617,7.23131220337023e-44,1.20762913796283e-41,6.22654040248089e-42,"RPS4Y1/RPL17/EIF4A1/RPS10/EIF4H/RPS26/RPS27L/RPS29/RPL37/RPS11/RPS2/EIF4A2/RPL34/RPLP0/EIF3L/EIF1AX/EIF2S3/RPL36A/RPL4/EIF3G/RPL38/RPL22/RPL27A/RPL18/RPS7/RPS20/RPL9/RPL7/RPL24/RPS12/RPS19/RPL32/EIF3B/RPL23/EIF4B/RPS16/EIF3D/RPS28/RPL13/RPL13A/RPL41/RPS13/RPL8/RPL3/RPL39/RPL10A/RPS3A/RPS21/RPS17/EIF2S2/RPL12/RPL18A/RPL10/FAU/RPL36AL/RPL11/RPL30/RPS15A/RPL27/EIF3M/RPSA/RPL37A/EIF3F/EIF2S1/EIF3K/EIF4E/EIF3E/RPL35/RPL19/RPL35A/RPL5/RPL29/UBA52/RPLP2/RPS27/RPL28/EIF3A/RPS6/RPS25/EIF4G1/RPL23A/RPS3/RPL36/RPLP1/PABPC1/RPL31/RPS27A/EIF3I/RPL15/RPL21/RPL6/RPS15/RPL7A/RPL22L1/RPL26L1/RPL14/RPL26/EIF3J/EIF3H/RPS5/RPS23/RPS4X/RPS9/RPS8/RPS14/RPS24/RPS18",107,"EC_GC","DKD_vs_Normal"
