"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","CellType","Condition"
"R-HSA-72766","Translation","254/2507","368/11230",0.690217391304348,3.09179948318621,21.8727723626383,1.8175779391784e-84,2.90812470268543e-81,1.68173790372401e-81,"RPS4Y1/EEF1G/TRIP4/PSMA6/MRPS24/EIF4A2/RPL6/SPCS1/RPL38/RPS3A/RPSA/RPL29/RPS7/MRPL41/RPLP0/RPL10/RPL15/UBC/RPL5/RPL36A/RPN1/RPL23A/RPL10A/RPL19/RPL30/MRPS16/RPS23/RPS27/MRPL54/MRPS6/RPL27/RPS25/RPL14/RPL3/RPS2/RPS29/RPS15A/RPL7A/RPS5/RPL35A/RPS26/MRPL33/SEC61B/RPS27A/SSR4/RPL23/EIF4A1/RPL22/RPN2/AURKAIP1/RPL17/RPL26/PSMC6/RPS15/RPS24/RPS17/EEF1D/RPS19/RPS20/RPL9/MT-ATP8/RPS18/RPS4X/DDOST/EEF1A1/RPL24/SPCS3/RPS14/MRPS30/MT-ND5/EIF2S2/RPL36AL/RPLP1/MT-CYB/RPL34/TCF25/MRPL12/PSMB2/RPL18/RPL41/MRPL14/PSMD2/RPL37A/EIF3F/SEC11C/EIF2B3/TUFM/EIF4E/RPS8/EIF3A/LTN1/SEC61G/RPS11/RPS3/EIF4H/EIF3H/EIF3E/RPL4/MRPL22/RPL37/SRP9/RPS21/MRPL10/PSMA2/RPL11/MRPL4/RPL8/RPL35/RPL13A/EIF3J/EIF3G/PSMB4/MRPL13/RPLP2/RPL32/SSR3/MRPL55/MT-ND4L/PSMC1/MRPS14/PSMA3/PSMD11/RPL31/PSMD13/MRPL23/MRPS21/RPS12/MT-CO2/RPS16/MT-ND3/RPL39L/EIF3L/RPS10/RPL12/MRPS34/RPS13/RPL39/MRPS18B/RPL13/MRPS35/EEF1B2/RPS6/MRPS18C/EEF2/MRPL51/MRPS23/NEMF/PABPC1/MRPS10/CHCHD1/SPCS2/PSMD8/RPL28/RBX1/PSMD14/RPL18A/DAP3/MRPL18/MT-ND6/MRPS12/SEM1/MRPS11/MRPL42/UBA52/RPL36/RPL22L1/SRP19/EIF2S3/SSR1/GADD45GIP1/RPL27A/MRPS26/TRMT112/UBE2D2/ELOB/PSMA1/MT-ND1/MRPS33/PSMB7/PSMB3/RPL7/EIF3I/RPL21/PSMA4/SRP14/PSMA7/EEF1E1/PSMC4/MRPS31/MTIF3/PSMC5/MRPL52/MRPL36/ADRM1/MT-CO3/PSMA5/MRPL17/MRPS25/RPL26L1/EIF3D/MRPS5/PSMD7/MRPL11/AIMP1/PSMC3/MRPL47/PSMD6/EIF1AX/ABCE1/MRPL20/MRPL21/TRAM1/RPS27L/UBE2D1/MRPL9/EIF5B/UBE2D3/MRPL2/MRPL15/MT-ND4/RPS28/MRPL32/MRPL57/SRP54/NDUFAB1/MT-ND2/MRPL34/UBB/GSPT1/EIF3M/EIF2S1/SSR2/ELOC/MRPL28/MT-ATP6/PSMB1/MT-CO1/SRPRB/SRP72/MRPL27/MRPL43/PSMB6/EIF4B/FAU/PSMB5/VCP/EIF3K/SEC11A/MRPL16/PPA1/MRPL40/RPS9/EIF5/PSMD1",254,"NK_cells","DKD_vs_Normal"
"R-HSA-9948299","Ribosome-associated quality control","128/2507","145/11230",0.882758620689655,3.95427974086351,19.1947535476211,3.37699355115097e-65,2.70159484092078e-62,1.56230385866405e-62,"RPS4Y1/TRIP4/PSMA6/RPL6/RPL38/RPS3A/RPSA/RPL29/RPS7/RPLP0/RPL10/RPL15/UBC/RPL5/RPL36A/RPL23A/RPL10A/RPL19/RPL30/RPS23/RPS27/RPL27/RPS25/RPL14/RPL3/RPS2/RPS29/RPS15A/RPL7A/RPS5/RPL35A/RPS26/RPS27A/RPL23/RPL22/RPL17/RPL26/PSMC6/RPS15/RPS24/RPS17/RPS19/RPS20/RPL9/RPS18/RPS4X/RPL24/RPS14/RPL36AL/RPLP1/RPL34/TCF25/PSMB2/RPL18/RPL41/PSMD2/RPL37A/RPS8/LTN1/RPS11/RPS3/RPL4/RPL37/RPS21/PSMA2/RPL11/RPL8/RPL35/RPL13A/PSMB4/RPLP2/RPL32/PSMC1/PSMA3/PSMD11/RPL31/PSMD13/RPS12/RPS16/RPL39L/RPS10/RPL12/RPS13/RPL39/RPL13/RPS6/NEMF/PSMD8/RPL28/RBX1/PSMD14/RPL18A/SEM1/UBA52/RPL36/RPL22L1/RPL27A/UBE2D2/ELOB/PSMA1/PSMB7/PSMB3/RPL7/RPL21/PSMA4/PSMA7/PSMC4/PSMC5/ADRM1/PSMA5/RPL26L1/PSMD7/PSMC3/PSMD6/ABCE1/RPS27L/UBE2D1/UBE2D3/RPS28/UBB/ELOC/PSMB1/PSMB6/FAU/PSMB5/VCP/RPS9/PSMD1",128,"NK_cells","DKD_vs_Normal"
"R-HSA-72706","GTP hydrolysis and joining of the 60S ribosomal subunit","107/2507","113/11230",0.946902654867257,4.24161021705596,18.5661127300039,2.07959887814181e-62,1.10911940167563e-59,6.41392075047948e-60,"RPS4Y1/EIF4A2/RPL6/RPL38/RPS3A/RPSA/RPL29/RPS7/RPLP0/RPL10/RPL15/RPL5/RPL36A/RPL23A/RPL10A/RPL19/RPL30/RPS23/RPS27/RPL27/RPS25/RPL14/RPL3/RPS2/RPS29/RPS15A/RPL7A/RPS5/RPL35A/RPS26/RPS27A/RPL23/EIF4A1/RPL22/RPL17/RPL26/RPS15/RPS24/RPS17/RPS19/RPS20/RPL9/RPS18/RPS4X/RPL24/RPS14/EIF2S2/RPL36AL/RPLP1/RPL34/RPL18/RPL41/RPL37A/EIF3F/EIF4E/RPS8/EIF3A/RPS11/RPS3/EIF4H/EIF3H/EIF3E/RPL4/RPL37/RPS21/RPL11/RPL8/RPL35/RPL13A/EIF3J/EIF3G/RPLP2/RPL32/RPL31/RPS12/RPS16/RPL39L/EIF3L/RPS10/RPL12/RPS13/RPL39/RPL13/RPS6/RPL28/RPL18A/UBA52/RPL36/RPL22L1/EIF2S3/RPL27A/RPL7/EIF3I/RPL21/RPL26L1/EIF3D/EIF1AX/RPS27L/EIF5B/RPS28/EIF3M/EIF2S1/EIF4B/FAU/EIF3K/RPS9/EIF5",107,"NK_cells","DKD_vs_Normal"
"R-HSA-156827","L13a-mediated translational silencing of Ceruloplasmin expression","106/2507","112/11230",0.946428571428571,4.23948658043193,18.4708394481889,9.11979194839982e-62,3.64791677935993e-59,2.10955187437985e-59,"RPS4Y1/EIF4A2/RPL6/RPL38/RPS3A/RPSA/RPL29/RPS7/RPLP0/RPL10/RPL15/RPL5/RPL36A/RPL23A/RPL10A/RPL19/RPL30/RPS23/RPS27/RPL27/RPS25/RPL14/RPL3/RPS2/RPS29/RPS15A/RPL7A/RPS5/RPL35A/RPS26/RPS27A/RPL23/EIF4A1/RPL22/RPL17/RPL26/RPS15/RPS24/RPS17/RPS19/RPS20/RPL9/RPS18/RPS4X/RPL24/RPS14/EIF2S2/RPL36AL/RPLP1/RPL34/RPL18/RPL41/RPL37A/EIF3F/EIF4E/RPS8/EIF3A/RPS11/RPS3/EIF4H/EIF3H/EIF3E/RPL4/RPL37/RPS21/RPL11/RPL8/RPL35/RPL13A/EIF3J/EIF3G/RPLP2/RPL32/RPL31/RPS12/RPS16/RPL39L/EIF3L/RPS10/RPL12/RPS13/RPL39/RPL13/RPS6/PABPC1/RPL28/RPL18A/UBA52/RPL36/RPL22L1/EIF2S3/RPL27A/RPL7/EIF3I/RPL21/RPL26L1/EIF3D/EIF1AX/RPS27L/RPS28/EIF3M/EIF2S1/EIF4B/FAU/EIF3K/RPS9",106,"NK_cells","DKD_vs_Normal"
"R-HSA-72163","mRNA Splicing - Major Pathway","156/2507","205/11230",0.760975609756098,3.40875791685719,18.6593090626623,2.90953481104947e-61,9.31051139535831e-59,5.3841707345526e-59,"DDX23/SF3A2/SNRPF/SF3B2/CCDC12/POLR2A/PNN/SRSF8/GPKOW/RBM39/CTNNBL1/PRPF19/HNRNPA1/ISY1/POLR2H/PPIG/RBMX/GTF2F2/SNRNP27/LSM6/HNRNPA2B1/DDX39B/RBM25/POLR2F/CRNKL1/HNRNPL/DHX8/SRSF3/SRSF7/CWC25/SNRPA1/PQBP1/SNRPN/PCBP1/U2SURP/PRPF40A/CCAR1/SRRM2/ZNF830/SNRPG/LSM2/NKAP/LSM5/HNRNPK/SRSF4/RBM17/SRSF11/LUC7L3/LSM7/HNRNPD/ACIN1/U2AF2/HNRNPR/PRPF8/U2AF1/PRCC/SF3B5/PCBP2/SYF2/LSM3/SNRPD3/HNRNPC/SRSF1/RNF113A/POLR2I/HSPA8/PRPF6/PUF60/NCBP2/UBL5/SNRPB2/DHX15/POLR2L/IK/SRSF10/SNRPA/SF3B4/SAP18/FAM32A/FUS/HNRNPA3/HNRNPF/SNRPE/DDX46/RNPS1/TXNL4A/CDC40/C9orf78/RBM22/LSM4/HTATSF1/WDR70/MAGOH/PRPF31/CWC22/HNRNPU/POLR2G/SNW1/DHX9/SNU13/SRSF9/SRSF5/YBX1/RBM42/RBM8A/PTBP1/POLR2J/CWC15/SNRPD1/DNAJC8/PPWD1/PPIE/HNRNPH1/SNRPC/NSRP1/POLR2C/MFAP1/DDX42/CASC3/SRRM1/POLR2E/SF3B6/CWF19L2/CDC5L/POLR2K/SNRPD2/SNRNP70/UPF3B/BUD31/POLR2B/RBM5/DDX5/SLU7/ZMAT2/ALYREF/SRSF2/PPIL2/HNRNPM/U2AF1L4/SNRNP40/SF1/SNRPB/SNRNP200/SF3B1/PPIH/PHF5A/SRSF6/WBP11/TRA2B/FAM50A/PPIL4/EIF4A3/LSM8/PPIL3/SMU1/PRPF38A",156,"NK_cells","DKD_vs_Normal"
"R-HSA-1799339","SRP-dependent cotranslational protein targeting to membrane","106/2507","113/11230",0.938053097345133,4.20196900007413,18.3390702252121,1.15728429869454e-60,3.08609146318545e-58,1.78465420798685e-58,"RPS4Y1/RPL6/SPCS1/RPL38/RPS3A/RPSA/RPL29/RPS7/RPLP0/RPL10/RPL15/RPL5/RPL36A/RPN1/RPL23A/RPL10A/RPL19/RPL30/RPS23/RPS27/RPL27/RPS25/RPL14/RPL3/RPS2/RPS29/RPS15A/RPL7A/RPS5/RPL35A/RPS26/SEC61B/RPS27A/SSR4/RPL23/RPL22/RPN2/RPL17/RPL26/RPS15/RPS24/RPS17/RPS19/RPS20/RPL9/RPS18/RPS4X/DDOST/RPL24/SPCS3/RPS14/RPL36AL/RPLP1/RPL34/RPL18/RPL41/RPL37A/SEC11C/RPS8/SEC61G/RPS11/RPS3/RPL4/RPL37/SRP9/RPS21/RPL11/RPL8/RPL35/RPL13A/RPLP2/RPL32/SSR3/RPL31/RPS12/RPS16/RPL39L/RPS10/RPL12/RPS13/RPL39/RPL13/RPS6/SPCS2/RPL28/RPL18A/UBA52/RPL36/RPL22L1/SRP19/SSR1/RPL27A/RPL7/RPL21/SRP14/RPL26L1/TRAM1/RPS27L/RPS28/SRP54/SSR2/SRPRB/SRP72/FAU/SEC11A/RPS9",106,"NK_cells","DKD_vs_Normal"
"R-HSA-72172","mRNA Splicing","158/2507","213/11230",0.741784037558685,3.32279008447708,18.3477520344167,2.27123848791324e-59,5.19140225808741e-57,3.00213327951239e-57,"DDX23/SF3A2/SNRPF/SNRNP35/SF3B2/CCDC12/POLR2A/PNN/SRSF8/GPKOW/RBM39/CTNNBL1/PRPF19/HNRNPA1/ISY1/POLR2H/PPIG/RBMX/GTF2F2/SNRNP27/LSM6/HNRNPA2B1/DDX39B/RBM25/POLR2F/CRNKL1/HNRNPL/DHX8/SRSF3/SRSF7/ZMAT5/CWC25/SNRPA1/PQBP1/SNRPN/PCBP1/U2SURP/PRPF40A/CCAR1/SRRM2/ZNF830/SNRPG/LSM2/NKAP/LSM5/HNRNPK/SRSF4/RBM17/SRSF11/LUC7L3/LSM7/HNRNPD/ACIN1/U2AF2/HNRNPR/PRPF8/U2AF1/PRCC/SF3B5/PCBP2/SYF2/LSM3/SNRPD3/HNRNPC/SRSF1/RNF113A/POLR2I/HSPA8/PRPF6/PUF60/NCBP2/UBL5/SNRPB2/DHX15/POLR2L/IK/SRSF10/SNRPA/SF3B4/SAP18/FAM32A/FUS/HNRNPA3/HNRNPF/SNRPE/DDX46/RNPS1/TXNL4A/CDC40/C9orf78/RBM22/LSM4/HTATSF1/WDR70/MAGOH/PRPF31/CWC22/HNRNPU/POLR2G/SNW1/DHX9/SNU13/SRSF9/SRSF5/YBX1/RBM42/RBM8A/PTBP1/POLR2J/CWC15/SNRPD1/DNAJC8/PPWD1/PPIE/HNRNPH1/SNRPC/NSRP1/POLR2C/MFAP1/DDX42/CASC3/SRRM1/POLR2E/SF3B6/CWF19L2/CDC5L/POLR2K/SNRPD2/SNRNP70/UPF3B/BUD31/POLR2B/RBM5/DDX5/SLU7/ZMAT2/ALYREF/SRSF2/PPIL2/HNRNPM/U2AF1L4/SNRNP40/SF1/SNRPB/SNRNP200/SF3B1/PPIH/PHF5A/SRSF6/WBP11/TRA2B/FAM50A/PPIL4/EIF4A3/LSM8/PPIL3/SMU1/PRPF38A",158,"NK_cells","DKD_vs_Normal"
"R-HSA-72613","Eukaryotic Translation Initiation","109/2507","120/11230",0.908333333333333,4.06884057971015,18.1185189053345,1.33677768483682e-58,2.37649366193213e-56,1.37430126897259e-56,"RPS4Y1/EIF4A2/RPL6/RPL38/RPS3A/RPSA/RPL29/RPS7/RPLP0/RPL10/RPL15/RPL5/RPL36A/RPL23A/RPL10A/RPL19/RPL30/RPS23/RPS27/RPL27/RPS25/RPL14/RPL3/RPS2/RPS29/RPS15A/RPL7A/RPS5/RPL35A/RPS26/RPS27A/RPL23/EIF4A1/RPL22/RPL17/RPL26/RPS15/RPS24/RPS17/RPS19/RPS20/RPL9/RPS18/RPS4X/RPL24/RPS14/EIF2S2/RPL36AL/RPLP1/RPL34/RPL18/RPL41/RPL37A/EIF3F/EIF2B3/EIF4E/RPS8/EIF3A/RPS11/RPS3/EIF4H/EIF3H/EIF3E/RPL4/RPL37/RPS21/RPL11/RPL8/RPL35/RPL13A/EIF3J/EIF3G/RPLP2/RPL32/RPL31/RPS12/RPS16/RPL39L/EIF3L/RPS10/RPL12/RPS13/RPL39/RPL13/RPS6/PABPC1/RPL28/RPL18A/UBA52/RPL36/RPL22L1/EIF2S3/RPL27A/RPL7/EIF3I/RPL21/RPL26L1/EIF3D/EIF1AX/RPS27L/EIF5B/RPS28/EIF3M/EIF2S1/EIF4B/FAU/EIF3K/RPS9/EIF5",109,"NK_cells","DKD_vs_Normal"
"R-HSA-72737","Cap-dependent Translation Initiation","109/2507","120/11230",0.908333333333333,4.06884057971015,18.1185189053345,1.33677768483682e-58,2.37649366193213e-56,1.37430126897259e-56,"RPS4Y1/EIF4A2/RPL6/RPL38/RPS3A/RPSA/RPL29/RPS7/RPLP0/RPL10/RPL15/RPL5/RPL36A/RPL23A/RPL10A/RPL19/RPL30/RPS23/RPS27/RPL27/RPS25/RPL14/RPL3/RPS2/RPS29/RPS15A/RPL7A/RPS5/RPL35A/RPS26/RPS27A/RPL23/EIF4A1/RPL22/RPL17/RPL26/RPS15/RPS24/RPS17/RPS19/RPS20/RPL9/RPS18/RPS4X/RPL24/RPS14/EIF2S2/RPL36AL/RPLP1/RPL34/RPL18/RPL41/RPL37A/EIF3F/EIF2B3/EIF4E/RPS8/EIF3A/RPS11/RPS3/EIF4H/EIF3H/EIF3E/RPL4/RPL37/RPS21/RPL11/RPL8/RPL35/RPL13A/EIF3J/EIF3G/RPLP2/RPL32/RPL31/RPS12/RPS16/RPL39L/EIF3L/RPS10/RPL12/RPS13/RPL39/RPL13/RPS6/PABPC1/RPL28/RPL18A/UBA52/RPL36/RPL22L1/EIF2S3/RPL27A/RPL7/EIF3I/RPL21/RPL26L1/EIF3D/EIF1AX/RPS27L/EIF5B/RPS28/EIF3M/EIF2S1/EIF4B/FAU/EIF3K/RPS9/EIF5",109,"NK_cells","DKD_vs_Normal"
"R-HSA-9010553","Regulation of expression of SLITs and ROBOs","130/2507","159/11230",0.817610062893082,3.6624495437931,18.1259715759989,7.72204740603841e-58,1.23552758496615e-55,7.14492596832396e-56,"RPS4Y1/PSMA6/RPL6/RPL38/RPS3A/RPSA/RPL29/RPS7/RPLP0/RPL10/RPL15/UBC/RPL5/RPL36A/RPL23A/RPL10A/RPL19/RPL30/RPS23/RPS27/RPL27/RPS25/RPL14/RPL3/RPS2/RPS29/RPS15A/RPL7A/RPS5/RPL35A/RPS26/RPS27A/RPL23/RPL22/RPL17/RPL26/PSMC6/RPS15/RPS24/RPS17/RPS19/RPS20/RPL9/RPS18/RPS4X/RPL24/RPS14/RPL36AL/RPLP1/RPL34/PSMB2/RPL18/RPL41/PSMD2/RPL37A/RPS8/RPS11/RPS3/UPF3A/RPL4/RPL37/RPS21/PSMA2/RPL11/RPL8/RPL35/RPL13A/PSMB4/RPLP2/RPL32/PSMC1/PSMA3/PSMD11/RPL31/PSMD13/NCBP2/RPS12/RPS16/RPL39L/RPS10/RPL12/RPS13/RPL39/RPL13/RPS6/PABPC1/PSMD8/RPL28/RBX1/PSMD14/RPL18A/RNPS1/SEM1/UBA52/RPL36/RPL22L1/RPL27A/ELOB/PSMA1/MAGOH/PSMB7/PSMB3/RPL7/RPL21/PSMA4/PSMA7/RBM8A/PSMC4/PSMC5/ADRM1/PSMA5/RPL26L1/PSMD7/PSMC3/CASC3/PSMD6/UPF3B/UPF2/RPS27L/RPS28/UBB/GSPT1/ELOC/PSMB1/PSMB6/FAU/PSMB5/EIF4A3/RPS9/PSMD1",130,"NK_cells","DKD_vs_Normal"
