"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","CellType","Condition"
"R-HSA-72766","Translation","285/3343","368/11230",0.77445652173913,2.6015993835269,20.3378814681104,2.44512422829848e-82,3.98066224366992e-79,2.15428313587982e-79,"ELOB/UBC/RPS2/RPL5/RPL37/RPL10A/AURKAIP1/RPL9/MRPL20/EEF1G/EIF4A1/RPS3A/RPS27A/RPL3/RPS7/PSMB1/RPS3/RPS9/RPL27A/RPL23A/RPL34/MT-CYB/RPL30/MT-ND3/MRPS6/RPS27/RPS25/TCF25/SRP72/RPLP2/RPL35A/RPL32/RPL37A/MRPL13/RPL7/EIF1AX/RPL14/RPS13/RPL24/RPL41/SRP19/RPS12/RPL35/RPSA/MT-CO3/UBA52/RPL13/RPL17/RPS23/RPL18A/MRPL23/RPL11/AIMP1/SEC61A1/RPS29/MRPS21/RPL39/RPL22L1/MRPL21/MT-CO2/SEM1/PSMD2/RPS11/SSR3/RCHY1/RPS6/EIF4E/EEF1A1/PSMA2/RPL18/EIF3K/RPL19/RPL10/LTN1/MT-ATP8/RPL7A/RPS20/ELOC/RPS19/RPS28/MRPL36/RPS4X/MRPL3/RPL8/FARSA/RPS15/RPS10/SRPRB/RPLP1/EEF1B2/EIF3I/EIF3F/RPL29/MRPS10/EIF4B/RPS24/EIF2S3/FAU/MRPL50/RPS21/RPS14/IARS2/RPS4Y1/RPS18/PSMB2/RPL6/EIF3H/MT-ND1/EIF5B/RPL38/RPL15/SRP14/SSR2/RPL36AL/MRPS25/RPL26/RPL21/MRPL33/PSMD12/MIEF1/RBX1/MT-ND2/RPS16/MRPL44/MRPS23/RPL12/EIF3M/EIF3A/SPCS3/PSMA6/RPS5/MRPS18B/RPS15A/TRMT112/RPL23/PSMA4/PSMC5/PABPC1/SRP9/RPL28/MRPS22/MT-ND6/EIF3L/PSMA1/MALSU1/PSMC3/PSMD11/MRPL4/MRPS11/PSMA7/MRPL58/RPS17/OXA1L/PSMB7/MT-ND5/UBE2D1/ADRM1/RPL27/SEC11C/GADD45GIP1/EIF4G1/MRPL27/PSMB6/MRPL37/PSMB3/RPN1/MRPL22/SSR4/EIF3B/MRPS26/PSMD13/RPLP0/EEF1E1/PSMB4/MT-ND4L/MRPL40/RPS8/UBE2D2/PSMD6/MRPL18/TRAM1/SRPRA/SEC61B/PSMD8/PPA2/EIF5/MRPS28/MT-CO1/MRPS35/MRPL51/MRPL17/EIF2S2/MRPL57/RARS2/RPL4/MRPL47/MT-ATP6/EIF2S1/SSR1/MRPS18C/NDUFAB1/MRPL34/MRPL16/SEC11A/MRPL52/TUFM/MRPL42/CHCHD1/MTIF3/MRPS5/PPA1/GSPT1/RPL13A/PSMC4/PSMB5/SRP54/SPCS1/RPL36A/MRPL41/VCP/NEMF/MRPL14/SPCS2/PSMA3/PSMD3/PSMC2/UBB/MRPL43/EIF3E/MRPS12/ETF1/PSMD14/RPL22/MRPS7/CARS2/MRPL48/EIF3J/RPS27L/MRPS33/EEF1D/UFD1/EIF3G/NPLOC4/MRPL11/EIF4A2/HBS1L/MRPL54/PSMC6/PSMD7/EIF4H/MRPS15/RPL31/GFM1/RPL36/EEF2/PSMA5/RPS26/MRPS31/RPL26L1/MRPL19/MTRF1L/ASCC3/RPN2/MRPL28/ZNF598/PSMC1/DAP3/MRPL55/MRPL35/SEC61G/MRPS16/MRPL32/EIF3D/MRPS34/UBE2D3/ABCE1/MRPL12/PSMD1/ASCC2/PTCD3/MRPL15/DDOST/EIF4EBP1/APEH/MT-ND4",285,"Non_classical_monocytes","DKD_vs_Normal"
"R-HSA-9948299","Ribosome-associated quality control","136/3343","145/11230",0.937931034482759,3.15075247300071,16.9702950105158,1.09255138030384e-60,7.75056955073483e-58,4.19450841456424e-58,"ELOB/UBC/RPS2/RPL5/RPL37/RPL10A/RPL9/RPS3A/RPS27A/RPL3/RPS7/PSMB1/RPS3/RPS9/RPL27A/RPL23A/RPL34/RPL30/RPS27/RPS25/TCF25/RPLP2/RPL35A/RPL32/RPL37A/RPL7/RPL14/RPS13/RPL24/RPL41/RPS12/RPL35/RPSA/UBA52/RPL13/RPL17/RPS23/RPL18A/RPL11/RPS29/RPL39/RPL22L1/SEM1/PSMD2/RPS11/RCHY1/RPS6/PSMA2/RPL18/RPL19/RPL10/LTN1/RPL7A/RPS20/ELOC/RPS19/RPS28/RPS4X/RPL8/RPS15/RPS10/RPLP1/RPL29/RPS24/FAU/RPS21/RPS14/RPS4Y1/RPS18/PSMB2/RPL6/RPL38/RPL15/RPL36AL/RPL26/RPL21/PSMD12/RBX1/RPS16/RPL12/PSMA6/RPS5/RPS15A/RPL23/PSMA4/PSMC5/RPL28/PSMA1/PSMC3/PSMD11/PSMA7/RPS17/PSMB7/UBE2D1/ADRM1/RPL27/PSMB6/PSMB3/PSMD13/RPLP0/PSMB4/RPS8/UBE2D2/PSMD6/PSMD8/RPL4/RPL13A/PSMC4/PSMB5/RPL36A/VCP/NEMF/PSMA3/PSMD3/PSMC2/UBB/PSMD14/RPL22/RPS27L/UFD1/NPLOC4/HBS1L/PSMC6/PSMD7/RPL31/RPL36/PSMA5/RPS26/RPL26L1/ASCC3/ZNF598/PSMC1/UBE2D3/ABCE1/PSMD1/ASCC2",136,"Non_classical_monocytes","DKD_vs_Normal"
"R-HSA-6798695","Neutrophil degranulation","308/3343","469/11230",0.656716417910448,2.2060799799983,17.3707681215068,1.42823763219929e-60,7.75056955073483e-58,4.19450841456424e-58,"DYNLL1/RETN/CEACAM3/ADGRE5/ALDOA/FPR1/VNN1/PKM/PECAM1/ATP6V0C/CFD/SLC11A1/CD55/GCA/VAPA/GMFG/NME2/CLEC12A/PNP/ADA2/PSMB1/SELL/HMGB1/FUCA1/KCNAB2/HSP90AA1/FTH1/FGL2/PTPN6/NFKB1/CAP1/ALDH3B1/DIAPH1/CSTB/TIMP2/HVCN1/ITGB2/FPR2/GLIPR1/IQGAP1/PSMD2/VAMP8/LAMTOR2/HLA-B/SIRPB1/APRT/FCN1/EEF1A1/MOSPD2/CTSC/HSPA1B/HK3/PSMA2/NFAM1/ITGAX/MAPK1/SERPINB1/ARHGAP45/DDX3X/PRDX4/PPIE/CST3/PTPRJ/CTSZ/LAIR1/C6orf120/RAB10/CD68/HSPA1A/AGA/C3AR1/PPIA/B2M/PGAM1/NDUFC2/ACAA1/NCSTN/FTL/HSPA8/S100A9/PRDX6/FGR/CMTM6/LAMP2/SERPINA1/SERPINB6/CDK13/COTL1/DNASE1L1/SRP14/DNAJC3/CYBB/CTSB/ARSA/NCKAP1L/RAB4B/ADAM10/TUBB4B/CFP/PSMD12/GNS/ARL8A/CAB39/DERA/PGRMC1/DYNC1LI1/DEGS1/LGALS3/CAND1/MAGT1/RAB3D/TYROBP/IQGAP2/RAC1/CAT/UBR4/ACTR1B/RAB24/TCIRG1/CCT2/PTAFR/RAB27A/ILF2/RAB14/BIN2/ANPEP/NHLRC3/GAA/CD36/HSP90AB1/RAB6A/NAPRT/LPCAT1/TMEM30A/C5AR1/HLA-C/TMEM179B/S100A8/OSTF1/CPNE3/PSMC3/CD58/PLAUR/CPNE1/PSMD11/RNASET2/PSMB7/PYCARD/CD93/KPNB1/PLAC8/AGPAT2/PAFAH1B2/TMBIM1/CYSTM1/RAB7A/ADAM8/LYZ/MAPK14/GSDMD/VCL/FAF2/BRI3/LAMTOR3/ARPC5/MIF/PSEN1/COMMD9/RHOA/GPI/ACTR2/PSMD13/CTSS/TMC6/PYGL/ASAH1/PSMD6/TOLLIP/ATP11A/ITGAL/TSPAN14/PSAP/CCT8/TBC1D10C/PTGES2/LAMP1/A1BG/SLC44A2/IST1/TLR2/SNAP29/CD47/CDA/CPPED1/NBEAL2/TUBB/NRAS/NEU1/RAP1B/PFKL/SURF4/ACTR10/RAB18/CYB5R3/DPP7/YPEL5/IMPDH1/GYG1/CREG1/DOCK2/PRCP/VCP/RAP2C/CD14/CD44/ERP44/ANO6/COPB1/DNAJC5/PSMD3/PSMC2/SNAP23/RAB37/DYNLT1/BST2/CD63/PSMD14/NIT2/GRN/DYNC1H1/STK10/AP1M1/STOM/ANXA2/RHOG/P2RX1/LILRB2/TNFRSF1B/FCGR2A/QSOX1/ATP6V0A1/KCMF1/GDI2/ATP6AP2/GUSB/TRAPPC1/GLB1/PLEKHO2/HEXB/OSCAR/CAPN1/GOLGA7/PDAP1/PSMD7/DNAJC13/PTPRC/MLEC/GLA/GSTP1/ATP6V1D/PRKCD/NPC2/ALOX5/EEF2/PSMA5/COMMD3/PDXK/LTA4H/DOK3/RAP2B/MVP/XRCC5/MANBA/FABP5/LAMTOR1/ARHGAP9/PA2G4/CYFIP1/HSPA6/IGF2R/FCER1G/SIGLEC14/S100A11/B4GALT1/RHOF/CYBA/CNN2/C1orf35/RAP1A/FUCA2/CD53/UNC13D/XRCC6/CSNK2B/CTSH/CTSA/PSMD1/RAB31/ATG7/DGAT1/MNDA/CTSD/HEBP2/DDOST/APEH/CD33/CD300A/RAB5C",308,"Non_classical_monocytes","DKD_vs_Normal"
"R-HSA-72706","GTP hydrolysis and joining of the 60S ribosomal subunit","108/3343","113/11230",0.955752212389381,3.21061841015039,15.3759518469417,1.09657314898321e-50,4.46305271636167e-48,2.41534664657618e-48,"RPS2/RPL5/RPL37/RPL10A/RPL9/EIF4A1/RPS3A/RPS27A/RPL3/RPS7/RPS3/RPS9/RPL27A/RPL23A/RPL34/RPL30/RPS27/RPS25/RPLP2/RPL35A/RPL32/RPL37A/RPL7/EIF1AX/RPL14/RPS13/RPL24/RPL41/RPS12/RPL35/RPSA/UBA52/RPL13/RPL17/RPS23/RPL18A/RPL11/RPS29/RPL39/RPL22L1/RPS11/RPS6/EIF4E/RPL18/EIF3K/RPL19/RPL10/RPL7A/RPS20/RPS19/RPS28/RPS4X/RPL8/RPS15/RPS10/RPLP1/EIF3I/EIF3F/RPL29/EIF4B/RPS24/EIF2S3/FAU/RPS21/RPS14/RPS4Y1/RPS18/RPL6/EIF3H/EIF5B/RPL38/RPL15/RPL36AL/RPL26/RPL21/RPS16/RPL12/EIF3M/EIF3A/RPS5/RPS15A/RPL23/RPL28/EIF3L/RPS17/RPL27/EIF4G1/EIF3B/RPLP0/RPS8/EIF5/EIF2S2/RPL4/EIF2S1/RPL13A/RPL36A/EIF3E/RPL22/EIF3J/RPS27L/EIF3G/EIF4A2/EIF4H/RPL31/RPL36/RPS26/RPL26L1/EIF3D",108,"Non_classical_monocytes","DKD_vs_Normal"
"R-HSA-156827","L13a-mediated translational silencing of Ceruloplasmin expression","107/3343","112/11230",0.955357142857143,3.20929126960386,15.2978874591224,3.60147314361543e-50,1.17263965556118e-47,6.34617478148656e-48,"RPS2/RPL5/RPL37/RPL10A/RPL9/EIF4A1/RPS3A/RPS27A/RPL3/RPS7/RPS3/RPS9/RPL27A/RPL23A/RPL34/RPL30/RPS27/RPS25/RPLP2/RPL35A/RPL32/RPL37A/RPL7/EIF1AX/RPL14/RPS13/RPL24/RPL41/RPS12/RPL35/RPSA/UBA52/RPL13/RPL17/RPS23/RPL18A/RPL11/RPS29/RPL39/RPL22L1/RPS11/RPS6/EIF4E/RPL18/EIF3K/RPL19/RPL10/RPL7A/RPS20/RPS19/RPS28/RPS4X/RPL8/RPS15/RPS10/RPLP1/EIF3I/EIF3F/RPL29/EIF4B/RPS24/EIF2S3/FAU/RPS21/RPS14/RPS4Y1/RPS18/RPL6/EIF3H/RPL38/RPL15/RPL36AL/RPL26/RPL21/RPS16/RPL12/EIF3M/EIF3A/RPS5/RPS15A/RPL23/PABPC1/RPL28/EIF3L/RPS17/RPL27/EIF4G1/EIF3B/RPLP0/RPS8/EIF2S2/RPL4/EIF2S1/RPL13A/RPL36A/EIF3E/RPL22/EIF3J/RPS27L/EIF3G/EIF4A2/EIF4H/RPL31/RPL36/RPS26/RPL26L1/EIF3D",107,"Non_classical_monocytes","DKD_vs_Normal"
"R-HSA-1799339","SRP-dependent cotranslational protein targeting to membrane","107/3343","113/11230",0.946902654867257,3.18089046190825,15.1691791635239,4.82721897145569e-49,1.30978541425498e-46,7.08838996334809e-47,"RPS2/RPL5/RPL37/RPL10A/RPL9/RPS3A/RPS27A/RPL3/RPS7/RPS3/RPS9/RPL27A/RPL23A/RPL34/RPL30/RPS27/RPS25/SRP72/RPLP2/RPL35A/RPL32/RPL37A/RPL7/RPL14/RPS13/RPL24/RPL41/SRP19/RPS12/RPL35/RPSA/UBA52/RPL13/RPL17/RPS23/RPL18A/RPL11/SEC61A1/RPS29/RPL39/RPL22L1/RPS11/SSR3/RPS6/RPL18/RPL19/RPL10/RPL7A/RPS20/RPS19/RPS28/RPS4X/RPL8/RPS15/RPS10/SRPRB/RPLP1/RPL29/RPS24/FAU/RPS21/RPS14/RPS4Y1/RPS18/RPL6/RPL38/RPL15/SRP14/SSR2/RPL36AL/RPL26/RPL21/RPS16/RPL12/SPCS3/RPS5/RPS15A/RPL23/SRP9/RPL28/RPS17/RPL27/SEC11C/RPN1/SSR4/RPLP0/RPS8/TRAM1/SRPRA/SEC61B/RPL4/SSR1/SEC11A/RPL13A/SRP54/SPCS1/RPL36A/SPCS2/RPL22/RPS27L/RPL31/RPL36/RPS26/RPL26L1/RPN2/SEC61G/DDOST",107,"Non_classical_monocytes","DKD_vs_Normal"
"R-HSA-9010553","Regulation of expression of SLITs and ROBOs","135/3343","159/11230",0.849056603773585,2.85220031719335,15.3135506676912,6.83530449134e-48,1.58969653027165e-45,8.60323287105501e-46,"ELOB/UBC/RPS2/RPL5/RPL37/RPL10A/RPL9/RPS3A/RPS27A/RPL3/RPS7/PSMB1/RPS3/RPS9/RPL27A/RPL23A/RPL34/RPL30/RPS27/RPS25/RPLP2/RPL35A/RPL32/RPL37A/RPL7/RPL14/RPS13/RPL24/RPL41/RPS12/RPL35/RPSA/UBA52/RPL13/RPL17/RPS23/RPL18A/RPL11/RPS29/RPL39/RPL22L1/SEM1/PSMD2/RPS11/RPS6/PSMA2/RPL18/RPL19/RPL10/EIF4A3/RPL7A/RPS20/ELOC/RPS19/RPS28/RPS4X/RPL8/RPS15/RPS10/RPLP1/RPL29/RPS24/FAU/RPS21/RPS14/RPS4Y1/RPS18/PSMB2/RPL6/RPL38/RPL15/RPL36AL/RPL26/RPL21/PSMD12/RBX1/RPS16/UPF3B/RPL12/PSMA6/RPS5/RPS15A/RPL23/PSMA4/PSMC5/PABPC1/RPL28/PSMA1/PSMC3/PSMD11/PSMA7/RPS17/PSMB7/ADRM1/RPL27/EIF4G1/PSMB6/PSMB3/UPF3A/PSMD13/RPLP0/PSMB4/RPS8/PSMD6/PSMD8/RPL4/GSPT1/RPL13A/PSMC4/PSMB5/RPL36A/PSMA3/PSMD3/PSMC2/UBB/ETF1/PSMD14/RPL22/RPS27L/PSMC6/PSMD7/RPL31/RNPS1/MAGOH/RPL36/USP33/PSMA5/RPS26/RPL26L1/UPF2/PSMC1/RBM8A/NCBP2/PSMD1/MAGOHB",135,"Non_classical_monocytes","DKD_vs_Normal"
"R-HSA-72172","mRNA Splicing","164/3343","213/11230",0.769953051643192,2.58647106489771,15.2185435476294,9.61000621270158e-47,1.95563626428477e-44,1.05836515789885e-44,"U2AF1/PRKRIP1/HNRNPA1/HNRNPH1/ZCRB1/LSM8/SF3B6/PRPF38A/RBM39/SF3B1/SAP18/RBM25/DDX5/SNRPC/POLR2J/LUC7L3/SNRPB/SNRPD2/SNRNP200/ALYREF/RBMX2/EIF4A3/YBX1/PPIE/SRSF3/LSM6/SRRM2/HSPA8/C9orf78/HNRNPC/DDX39B/NSRP1/HNRNPF/POLR2F/DNAJC8/ZRSR2/TRA2B/SRSF10/UPF3B/DDX46/POLR2B/HNRNPU/SNRPB2/PCBP2/POLR2A/WBP4/PPIG/HNRNPM/LENG1/DHX15/HNRNPK/IK/POLR2E/MTREX/NKAP/PCBP1/SRSF1/RBMX/HTATSF1/CCAR1/POLR2I/CDC5L/SRSF9/SMU1/DDX42/FUS/PUF60/SNRPF/SF3B5/SYF2/RBM42/SNRPD3/SNRNP35/TCERG1/SF3B4/ZMAT5/HNRNPA3/PRPF8/U2AF2/ZMAT2/SF3A3/HNRNPD/BUD31/SRRM1/FAM32A/PRPF31/FAM50A/HNRNPA2B1/SNRPD1/PPIH/POLR2K/LSM4/SNRNP27/HNRNPL/SRSF2/CWF19L2/SNRNP70/SNRPG/SRSF6/SRSF4/SRSF11/SF3A2/SNRPA/TXNL4A/BCAS2/LSM7/RBM22/MFAP1/PHF5A/SNU13/PRPF6/POLR2L/HNRNPH2/SRSF5/PPIL4/SLU7/HNRNPR/LSM3/POLR2G/SF3B2/PRPF18/UBL5/PPIL2/CDC40/RBM17/RNPS1/MAGOH/CCDC12/CWC15/PRCC/WBP11/LSM2/SNW1/PRPF40A/DHX9/POLR2C/PTBP1/CTNNBL1/RBM8A/SRSF7/WDR70/NCBP2/SMNDC1/SNRNP25/TFIP11/SART1/CWC22/SNRPE/PLRG1/U2AF1L4/ISY1/PNN/PRPF19/SNRPA1/U2SURP/ACIN1/RBM5/CWC27/SNRNP40/PQBP1/SF3A1/SF1/LSM5/MAGOHB",164,"Non_classical_monocytes","DKD_vs_Normal"
"R-HSA-72613","Eukaryotic Translation Initiation","110/3343","120/11230",0.916666666666667,3.07931997208096,14.9086296826847,1.4019021153311e-46,2.28229664375902e-44,1.23514954792856e-44,"RPS2/RPL5/RPL37/RPL10A/RPL9/EIF4A1/RPS3A/RPS27A/RPL3/RPS7/RPS3/RPS9/RPL27A/RPL23A/RPL34/RPL30/RPS27/RPS25/RPLP2/RPL35A/RPL32/RPL37A/RPL7/EIF1AX/RPL14/RPS13/RPL24/RPL41/RPS12/RPL35/RPSA/UBA52/RPL13/RPL17/RPS23/RPL18A/RPL11/RPS29/RPL39/RPL22L1/RPS11/RPS6/EIF4E/RPL18/EIF3K/RPL19/RPL10/RPL7A/RPS20/RPS19/RPS28/RPS4X/RPL8/RPS15/RPS10/RPLP1/EIF3I/EIF3F/RPL29/EIF4B/RPS24/EIF2S3/FAU/RPS21/RPS14/RPS4Y1/RPS18/RPL6/EIF3H/EIF5B/RPL38/RPL15/RPL36AL/RPL26/RPL21/RPS16/RPL12/EIF3M/EIF3A/RPS5/RPS15A/RPL23/PABPC1/RPL28/EIF3L/RPS17/RPL27/EIF4G1/EIF3B/RPLP0/RPS8/EIF5/EIF2S2/RPL4/EIF2S1/RPL13A/RPL36A/EIF3E/RPL22/EIF3J/RPS27L/EIF3G/EIF4A2/EIF4H/RPL31/RPL36/RPS26/RPL26L1/EIF3D/EIF4EBP1",110,"Non_classical_monocytes","DKD_vs_Normal"
"R-HSA-72737","Cap-dependent Translation Initiation","110/3343","120/11230",0.916666666666667,3.07931997208096,14.9086296826847,1.4019021153311e-46,2.28229664375902e-44,1.23514954792856e-44,"RPS2/RPL5/RPL37/RPL10A/RPL9/EIF4A1/RPS3A/RPS27A/RPL3/RPS7/RPS3/RPS9/RPL27A/RPL23A/RPL34/RPL30/RPS27/RPS25/RPLP2/RPL35A/RPL32/RPL37A/RPL7/EIF1AX/RPL14/RPS13/RPL24/RPL41/RPS12/RPL35/RPSA/UBA52/RPL13/RPL17/RPS23/RPL18A/RPL11/RPS29/RPL39/RPL22L1/RPS11/RPS6/EIF4E/RPL18/EIF3K/RPL19/RPL10/RPL7A/RPS20/RPS19/RPS28/RPS4X/RPL8/RPS15/RPS10/RPLP1/EIF3I/EIF3F/RPL29/EIF4B/RPS24/EIF2S3/FAU/RPS21/RPS14/RPS4Y1/RPS18/RPL6/EIF3H/EIF5B/RPL38/RPL15/RPL36AL/RPL26/RPL21/RPS16/RPL12/EIF3M/EIF3A/RPS5/RPS15A/RPL23/PABPC1/RPL28/EIF3L/RPS17/RPL27/EIF4G1/EIF3B/RPLP0/RPS8/EIF5/EIF2S2/RPL4/EIF2S1/RPL13A/RPL36A/EIF3E/RPL22/EIF3J/RPS27L/EIF3G/EIF4A2/EIF4H/RPL31/RPL36/RPS26/RPL26L1/EIF3D/EIF4EBP1",110,"Non_classical_monocytes","DKD_vs_Normal"
