"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","CellType","Condition"
"R-HSA-72766","Translation","321/4923","368/11230",0.872282608695652,1.98978949739024,17.056341963883,1.22799023001274e-69,2.04951569389126e-66,1.13104363290647e-66,"RPS4Y1/RPL37A/RPL35/RPL23A/RPS2/RPL9/RPS29/EEF1A1/RPL37/RPL38/RPL27A/RPS14/RPL7/RPL21/RPL32/RPL22/RPLP1/RPS28/RPL6/RPL41/UBC/RPS27/RPS3A/RPS27A/RPS13/RPL13/RPS7/RPL36/RPS24/RPS25/MT-CO2/MT-CYB/RPL34/RPS6/RPS3/MT-ND3/RPL15/RPL24/RPL30/EIF4H/RPL10A/RPL26/RPS18/RPL39/SRP14/RPL18A/RPL14/EEF1G/FAU/RPL35A/RPS15/RPL8/ELOB/RPLP2/RPL3/RPL29/RPL11/MT-ATP6/MRPS24/UBA52/RPL28/RPS11/SEC61B/MRPL51/RPSA/RPL4/RPS10/RPS12/RPL31/RPL36AL/RPS23/PSMB3/RPL18/RPL27/UBB/MRPL52/EIF4A1/NDUFAB1/EIF3K/RPS9/MRPS18C/GADD45GIP1/MRPL41/EEF1D/SEM1/TRMT112/RPL12/RPS19/RPL19/RPL7A/MRPL28/RPL10/PSMC4/MRPL20/MRPS25/AURKAIP1/PSMA7/RPL36A/MT-ATP8/MRPS12/RPL13A/PSMB1/PSMC3/RPL5/RBX1/MRPL33/RPS20/RPS4X/RPS8/CHCHD1/EIF3M/MRPL54/RPL23/MT-ND2/RPS26/EIF3L/MT-CO3/TRAM1/RPS5/RPS15A/PSMB6/EIF3I/MRPL12/EEF2/MRPL55/MT-CO1/SEC61G/EIF3J/MRPL47/FARSA/EIF2S2/RPL22L1/PTCD3/MRPS7/PSMC5/RPS16/MRPL24/IARS2/MRPS21/MRPL27/ADRM1/GFM1/PSMB4/EIF3G/MTIF3/MRPL40/MRPL57/EIF2S3/MRPL15/PPA2/PSMB5/SRP9/MRPL4/PSMC1/MRPL36/MRPL50/RPS21/SEC11C/EIF3A/MRPL22/MRPS16/MRPL23/MRPS15/PSMD8/PABPC1/MALSU1/RPL39L/MRPS33/MRPL21/EIF5B/RPS27L/PSMD6/EEF1B2/MRPL16/PSMD7/PSMB7/EIF4E/GFM2/RPL26L1/LTN1/MT-ND6/SPCS3/MRPS23/MRPS26/MRPS18B/PSMA2/NEMF/PSMD11/EIF3E/MRPL58/SEC61A1/EIF1AX/PSMA1/PSMB2/ANKZF1/EIF2S1/MRPL34/RPL17/MRPL43/SRP54/MRPL49/MRPS5/MT-ND1/MRPL13/SSR2/MRPL44/SPCS1/PSMD2/MRPS18A/TCF25/MRPS17/KLHDC10/MRPL11/MRPL32/EIF5/PSMD13/PSMA3/GSPT1/ETF1/MRPS2/SRP19/MRPS10/EIF2B2/ELOC/MRPL18/MT-ND5/PSMA5/UFD1/CUL2/EIF3D/MT-ND4/MT-ND4L/MRPL14/SEC11A/RPN1/AIMP1/CARS2/TUFM/PSMA6/EIF4B/HBS1L/SPCS2/MRPS35/MRPS9/MRPL1/UBE2D2/MRPL17/RPLP0/ASCC2/MRPS27/MRPS11/EIF3H/DDOST/SRPRA/RCHY1/MRPL30/MRPL39/MRPL37/PSMD3/MRPL48/MRPL46/APEH/MRPL42/MRPL2/MTIF2/UBE2D3/EIF4G1/EIF3B/PSMD12/EIF2B4/MRPS14/SSR3/MRPL10/MIEF1/RPN2/VCP/EIF4A2/UBE2D1/MRPL19/PSMA4/MRPL38/MRPL9/MRPS6/EIF2B5/NPLOC4/PELO/TSFM/MRPS30/RPS17/EIF3F/EIF2B1/PSMD14/MTRF1L/FARSB/SRP72/MRPS31/AIMP2/DAP3/MRPS34/OXA1L/PSMC2/ERAL1/SSR1/ABCE1/FARS2/YARS2/SRP68/PSMD1/MRPL53/MRPS22/PSMC6/MRPL35/PPA1/RARS2/EIF4EBP1/MRRF/SSR4/EEF1E1/SRPRB/MRPS28/MRPL3",321,"PC","DKD_vs_Normal"
"R-HSA-72203","Processing of Capped Intron-Containing Pre-mRNA","261/4923","294/11230",0.887755102040816,2.02508425673743,15.7354084810505,3.97997551984513e-60,3.32128957131076e-57,1.83288346308657e-57,"POLR2L/UBC/RANBP2/RPS27A/SRSF7/SNRPG/SAP18/UBL5/UBA52/SRSF9/HNRNPA1/SNRPN/SNU13/UBB/SRSF3/YBX1/SF1/LSM3/LSM2/BUD31/SNRPE/SRSF2/PPP1CA/POLR2I/NXT1/MTREX/RBM8A/LSM4/SNRPF/SNRPD2/DDX39B/PRPF8/TXNL4A/NUP214/DDX5/SNRPD1/XRN2/POLR2F/HNRNPF/POLR2K/HSPA8/CCAR1/POLR2J/SNRNP70/SRSF5/PAPOLA/SF3B6/SNRPB/LSM5/PPIG/RNPS1/CRNKL1/SF3B1/POLR2E/XAB2/SF3B5/RNPC3/POLR2B/ZCRB1/SRSF1/HNRNPU/GTF2F1/RBM5/SNRNP35/BCAS2/PABPN1/MAGOH/PRPF6/RBM39/NUP107/PTBP1/ALYREF/POLR2H/SRSF8/SRSF6/THOC2/HNRNPA2B1/U2SURP/CWF19L2/EIF4E/SNRNP200/DHX8/DNAJC8/SNRPB2/NUP160/U2AF1/DHX15/SNRPD3/RBM17/HNRNPA3/SLBP/PPIH/IK/CWC15/FUS/TPR/PPIL3/THOC7/LUC7L3/HNRNPH1/PPP1CB/SRRM2/RBM25/SNRPA1/SF3A3/POLR2A/POLR2G/PRPF38A/POLR2D/SDE2/HNRNPD/SNRPC/HNRNPC/RBBP6/PCBP1/PCF11/DHX9/CPSF6/CCDC12/POLR2C/RBM7/CPSF2/SRSF11/LSM7/CTNNBL1/RBM42/AQR/SMU1/POM121/SRRM1/CASC3/PRKRIP1/NUP62/CWC22/PDCD7/TCERG1/TRA2B/CDC40/SRSF10/FAM32A/ZC3H11A/SNRNP25/GCFC2/PLRG1/DHX16/HNRNPM/WDR33/WBP4/FAM50A/SRSF4/NCBP2/SF3B3/LSM6/ZMAT5/CDC5L/PAPOLG/LSM8/PRPF18/EIF4A3/PQBP1/SMNDC1/WTAP/SNRNP40/SYMPK/NUP205/NUP35/NSRP1/LENG1/SF3B4/DDX41/HNRNPH2/DDX46/SLU7/NUP133/NCBP1/CPSF1/CHTOP/PUF60/ACIN1/HTATSF1/FYTTD1/NUDT21/DDX42/SYF2/ISY1/HNRNPL/NUP58/PNN/PRCC/DDX23/PPP1R10/RAE1/PPIL4/SF3B2/PPIE/CWC25/PRPF4/CPSF7/ZMAT2/UPF3B/SNW1/WBP11/POLDIP3/NUP155/THOC6/SRRT/HNRNPR/CPSF3/C9orf78/U2AF1L4/PCBP2/DDX39A/CSTF3/SART1/MAGOHB/CSTF1/AAAS/ZNF830/METTL14/NUP50/CPSF4/U2AF2/FIP1L1/METTL3/PPP1R8/NUP153/SF3A1/PPIL1/THOC1/RBMX2/SEC13/USP39/NUP88/NUP98/PRPF31/GTF2F2/SNRNP27/SNRPA/PRPF40A/NUP37/CWC27/CSTF2T/PPIL2/RBMX/RBM10/THOC3/HNRNPK/CHERP/SARNP/WDR70/NUP54/PPWD1/MFAP1/PRPF3/RBM22/NXF1/NKAP/SF3A2/PHF5A/NUP43/PRPF19",261,"PC","DKD_vs_Normal"
"R-HSA-72172","mRNA Splicing","195/4923","213/11230",0.915492957746479,2.08835789467661,14.167848434284,4.38932937526943e-50,2.44193024244156e-47,1.34760112398623e-47,"POLR2L/SRSF7/SNRPG/SAP18/UBL5/SRSF9/HNRNPA1/SNRPN/SNU13/SRSF3/YBX1/SF1/LSM3/LSM2/BUD31/SNRPE/SRSF2/POLR2I/MTREX/RBM8A/LSM4/SNRPF/SNRPD2/DDX39B/PRPF8/TXNL4A/DDX5/SNRPD1/POLR2F/HNRNPF/POLR2K/HSPA8/CCAR1/POLR2J/SNRNP70/SRSF5/SF3B6/SNRPB/LSM5/PPIG/RNPS1/CRNKL1/SF3B1/POLR2E/XAB2/SF3B5/RNPC3/POLR2B/ZCRB1/SRSF1/HNRNPU/GTF2F1/RBM5/SNRNP35/BCAS2/MAGOH/PRPF6/RBM39/PTBP1/ALYREF/POLR2H/SRSF8/SRSF6/HNRNPA2B1/U2SURP/CWF19L2/SNRNP200/DHX8/DNAJC8/SNRPB2/U2AF1/DHX15/SNRPD3/RBM17/HNRNPA3/PPIH/IK/CWC15/FUS/PPIL3/LUC7L3/HNRNPH1/SRRM2/RBM25/SNRPA1/SF3A3/POLR2A/POLR2G/PRPF38A/POLR2D/SDE2/HNRNPD/SNRPC/HNRNPC/PCBP1/DHX9/CCDC12/POLR2C/RBM7/SRSF11/LSM7/CTNNBL1/RBM42/AQR/SMU1/SRRM1/CASC3/PRKRIP1/CWC22/PDCD7/TCERG1/TRA2B/CDC40/SRSF10/FAM32A/SNRNP25/GCFC2/PLRG1/DHX16/HNRNPM/WBP4/FAM50A/SRSF4/NCBP2/SF3B3/LSM6/ZMAT5/CDC5L/LSM8/PRPF18/EIF4A3/PQBP1/SMNDC1/SNRNP40/NSRP1/LENG1/SF3B4/DDX41/HNRNPH2/DDX46/SLU7/NCBP1/PUF60/ACIN1/HTATSF1/DDX42/SYF2/ISY1/HNRNPL/PNN/PRCC/DDX23/PPIL4/SF3B2/PPIE/CWC25/PRPF4/ZMAT2/UPF3B/SNW1/WBP11/SRRT/HNRNPR/C9orf78/U2AF1L4/PCBP2/SART1/MAGOHB/ZNF830/U2AF2/PPP1R8/SF3A1/PPIL1/RBMX2/USP39/PRPF31/GTF2F2/SNRNP27/SNRPA/PRPF40A/CWC27/PPIL2/RBMX/RBM10/HNRNPK/CHERP/WDR70/PPWD1/MFAP1/PRPF3/RBM22/NKAP/SF3A2/PHF5A/PRPF19",195,"PC","DKD_vs_Normal"
"R-HSA-72163","mRNA Splicing - Major Pathway","189/4923","205/11230",0.921951219512195,2.10309002541579,14.0822688811724,8.97990071369032e-50,3.74686357278729e-47,2.06774029591554e-47,"POLR2L/SRSF7/SNRPG/SAP18/UBL5/SRSF9/HNRNPA1/SNRPN/SNU13/SRSF3/YBX1/SF1/LSM3/LSM2/BUD31/SNRPE/SRSF2/POLR2I/MTREX/RBM8A/LSM4/SNRPF/SNRPD2/DDX39B/PRPF8/TXNL4A/DDX5/SNRPD1/POLR2F/HNRNPF/POLR2K/HSPA8/CCAR1/POLR2J/SNRNP70/SRSF5/SF3B6/SNRPB/LSM5/PPIG/RNPS1/CRNKL1/SF3B1/POLR2E/XAB2/SF3B5/POLR2B/SRSF1/HNRNPU/GTF2F1/RBM5/BCAS2/MAGOH/PRPF6/RBM39/PTBP1/ALYREF/POLR2H/SRSF8/SRSF6/HNRNPA2B1/U2SURP/CWF19L2/SNRNP200/DHX8/DNAJC8/SNRPB2/U2AF1/DHX15/SNRPD3/RBM17/HNRNPA3/PPIH/IK/CWC15/FUS/PPIL3/LUC7L3/HNRNPH1/SRRM2/RBM25/SNRPA1/SF3A3/POLR2A/POLR2G/PRPF38A/POLR2D/SDE2/HNRNPD/SNRPC/HNRNPC/PCBP1/DHX9/CCDC12/POLR2C/RBM7/SRSF11/LSM7/CTNNBL1/RBM42/AQR/SMU1/SRRM1/CASC3/PRKRIP1/CWC22/TCERG1/TRA2B/CDC40/SRSF10/FAM32A/GCFC2/PLRG1/DHX16/HNRNPM/WBP4/FAM50A/SRSF4/NCBP2/SF3B3/LSM6/CDC5L/LSM8/PRPF18/EIF4A3/PQBP1/SMNDC1/SNRNP40/NSRP1/LENG1/SF3B4/DDX41/HNRNPH2/DDX46/SLU7/NCBP1/PUF60/ACIN1/HTATSF1/DDX42/SYF2/ISY1/HNRNPL/PNN/PRCC/DDX23/PPIL4/SF3B2/PPIE/CWC25/PRPF4/ZMAT2/UPF3B/SNW1/WBP11/SRRT/HNRNPR/C9orf78/U2AF1L4/PCBP2/SART1/MAGOHB/ZNF830/U2AF2/PPP1R8/SF3A1/PPIL1/RBMX2/USP39/PRPF31/GTF2F2/SNRNP27/SNRPA/PRPF40A/CWC27/PPIL2/RBMX/RBM10/HNRNPK/CHERP/WDR70/PPWD1/MFAP1/PRPF3/RBM22/NKAP/SF3A2/PHF5A/PRPF19",189,"PC","DKD_vs_Normal"
"R-HSA-9948299","Ribosome-associated quality control","139/4923","145/11230",0.958620689655172,2.18673783157172,12.7070571450261,2.20689001263186e-42,7.36659886216515e-40,4.06532370747974e-40,"RPS4Y1/RPL37A/RPL35/RPL23A/RPS2/RPL9/RPS29/RPL37/RPL38/RPL27A/RPS14/RPL7/RPL21/RPL32/RPL22/RPLP1/RPS28/RPL6/RPL41/UBC/RPS27/RPS3A/RPS27A/RPS13/RPL13/RPS7/RPL36/RPS24/RPS25/RPL34/RPS6/RPS3/RPL15/RPL24/RPL30/RPL10A/RPL26/RPS18/RPL39/RPL18A/RPL14/FAU/RPL35A/RPS15/RPL8/ELOB/RPLP2/RPL3/RPL29/RPL11/UBA52/RPL28/RPS11/RPSA/RPL4/RPS10/RPS12/RPL31/RPL36AL/RPS23/PSMB3/RPL18/RPL27/UBB/RPS9/SEM1/RPL12/RPS19/RPL19/RPL7A/RPL10/PSMC4/PSMA7/RPL36A/RPL13A/PSMB1/PSMC3/RPL5/RBX1/RPS20/RPS4X/RPS8/RPL23/RPS26/RPS5/RPS15A/PSMB6/RPL22L1/PSMC5/RPS16/ADRM1/PSMB4/PSMB5/PSMC1/RPS21/PSMD8/RPL39L/RPS27L/PSMD6/PSMD7/PSMB7/RPL26L1/LTN1/PSMA2/NEMF/PSMD11/PSMA1/PSMB2/ANKZF1/RPL17/PSMD2/TCF25/KLHDC10/PSMD13/PSMA3/ELOC/PSMA5/UFD1/CUL2/PSMA6/HBS1L/UBE2D2/RPLP0/ASCC2/RCHY1/PSMD3/UBE2D3/PSMD12/VCP/UBE2D1/PSMA4/NPLOC4/PELO/RPS17/PSMD14/PSMC2/ABCE1/PSMD1/PSMC6",139,"PC","DKD_vs_Normal"
"R-HSA-72187","mRNA 3'-end processing","144/4923","152/11230",0.947368421052632,2.16106995092851,12.7327890013467,5.43174150191072e-42,1.5109294277815e-39,8.33819967398575e-40,"POLR2L/UBC/RPS27A/SRSF7/SNRPG/UBA52/SRSF9/HNRNPA1/SNRPN/UBB/SRSF3/YBX1/SNRPE/SRSF2/PPP1CA/POLR2I/RBM8A/SNRPF/SNRPD2/DDX39B/DDX5/SNRPD1/XRN2/POLR2F/HNRNPF/POLR2K/CCAR1/POLR2J/SNRNP70/SRSF5/PAPOLA/SF3B6/SNRPB/RNPS1/SF3B1/POLR2E/SF3B5/POLR2B/SRSF1/HNRNPU/GTF2F1/RBM5/PABPN1/MAGOH/RBM39/PTBP1/ALYREF/POLR2H/SRSF8/SRSF6/THOC2/HNRNPA2B1/U2SURP/DNAJC8/SNRPB2/U2AF1/DHX15/SNRPD3/RBM17/HNRNPA3/FUS/THOC7/HNRNPH1/PPP1CB/SRRM2/RBM25/SNRPA1/SF3A3/POLR2A/POLR2G/POLR2D/HNRNPD/SNRPC/HNRNPC/RBBP6/PCBP1/PCF11/DHX9/CPSF6/POLR2C/CPSF2/SRSF11/SRRM1/CASC3/TCERG1/TRA2B/CDC40/SRSF10/ZC3H11A/HNRNPM/WDR33/SRSF4/NCBP2/SF3B3/PAPOLG/EIF4A3/SMNDC1/SYMPK/SF3B4/HNRNPH2/DDX46/SLU7/NCBP1/CPSF1/CHTOP/PUF60/HTATSF1/FYTTD1/NUDT21/DDX42/HNRNPL/PPP1R10/SF3B2/CPSF7/UPF3B/POLDIP3/THOC6/SRRT/HNRNPR/CPSF3/U2AF1L4/PCBP2/DDX39A/CSTF3/MAGOHB/CSTF1/CPSF4/U2AF2/FIP1L1/PPP1R8/SF3A1/THOC1/GTF2F2/SNRPA/PRPF40A/CSTF2T/RBMX/RBM10/THOC3/HNRNPK/CHERP/SARNP/SF3A2/PHF5A",144,"PC","DKD_vs_Normal"
"R-HSA-1428517","Aerobic respiration and respiratory electron transport","216/4923","258/11230",0.837209302325581,1.90978274733217,13.0610680937118,8.7928361044911e-41,2.09646335119938e-38,1.15695211901199e-38,"PDK4/ATP5ME/COX7C/NDUFB1/COX8A/ATP5F1D/UQCRH/COX7B/NDUFB4/COX6C/ATP5PF/COX5B/NDUFC1/NDUFA3/UBC/UQCR11/UQCRQ/ATP5F1E/ATP5MC3/NDUFA12/RPS27A/ATP5PD/CYC1/MT-CO2/MT-CYB/NDUFAF4/COX7A2/MT-ND3/NDUFA6/ATP5F1C/GOT1/UQCRB/ATP5MC2/NDUFB7/COX6B1/ATP5PO/NDUFA11/COX17/ATP5MG/NDUFS4/ATP5MF/MT-ATP6/UBA52/HIGD2A/NDUFA1/NDUFS5/COX5A/ATP5MC1/NDUFS8/MPC1/NDUFB3/COX4I1/UBB/NDUFAB1/NDUFS3/COA3/NDUFB9/HIGD1A/ATP5F1B/UQCR10/COX7A2L/NDUFA2/NDUFA13/NDUFV1/UQCRFS1/CMC1/PET100/NDUFA5/NDUFB8/SDHD/NDUFS6/MT-ATP8/NDUFB2/NDUFS7/NDUFB5/MDH1/NDUFAF3/UQCRC2/MT-ND2/MT-CO3/NDUFB10/LDHB/TMEM126A/COX20/NDUFB6/GLO1/SDHC/NDUFB11/MT-CO1/ISCU/COX14/ATP5F1A/SDHB/MDH2/ISCA1/ETFB/MKLN1/VDAC1/ME2/NDUFV2/GOT2/UQCC2/COA5/RAB5IF/L2HGDH/NDUFC2/COX11/PNKD/MPC2/PYURF/ARMC8/SDHAF3/SDHAF2/LDHA/UQCC3/NDUFV3/TMEM126B/UCP2/UQCRC1/SLC25A11/MT-ND6/NDUFA9/NDUFA7/TIMMDC1/COQ10B/NDUFA8/DMAC1/IDH3G/PDK2/ACAD9/ISCA2/HSPA9/NNT/DLST/MT-ND1/IDH3A/TIMM21/WDR26/IDH3B/COX6A1/NDUFS1/SDHAF1/IDH2/SURF1/PET117/COX7A1/ETFA/MT-ND5/MAEA/RMND5A/COA1/HAGH/SUCLG2/COX15/NFS1/ACAT1/DLAT/TRAP1/ATP5PB/SUCLA2/MT-ND4/ACO2/COQ10A/UQCC1/SDHA/PKM/DMAC2/PDHA1/PDHB/NDUFAF2/SMIM20/OGDH/LYRM7/NDUFAF8/SLC25A12/FAHD1/HSCB/CS/DLD/SUCLG1/D2HGDH/TMEM177/SFXN4/PDP1/RANBP9/TMEM186/FH/NUBPL/TTC19/NDUFS2/RMND5B/GID8/ME3/GSTZ1/TMEM223/SIRT3/NEK1/OXA1L/COX19/NDUFAF5/SCO1/NDUFAF1/NDUFA10/NDUFAF6/FXN/LETM1/SDHAF4/SLC25A13/PDHX/BCS1L/LYRM4/ETFDH/TACO1/COX16/HCCS/LYRM2",216,"PC","DKD_vs_Normal"
"R-HSA-9770562","mRNA Polyadenylation","122/4923","127/11230",0.960629921259842,2.19132114884177,11.9284656839483,1.33372896788688e-37,2.78249205925401e-35,1.53554321960661e-35,"POLR2L/UBC/RPS27A/SRSF7/SNRPG/UBA52/SRSF9/HNRNPA1/SNRPN/UBB/SRSF3/YBX1/SNRPE/SRSF2/PPP1CA/POLR2I/SNRPF/SNRPD2/DDX5/SNRPD1/XRN2/POLR2F/HNRNPF/POLR2K/CCAR1/POLR2J/SNRNP70/SRSF5/PAPOLA/SF3B6/SNRPB/SF3B1/POLR2E/SF3B5/POLR2B/SRSF1/HNRNPU/GTF2F1/RBM5/PABPN1/RBM39/PTBP1/POLR2H/SRSF8/SRSF6/HNRNPA2B1/U2SURP/DNAJC8/SNRPB2/U2AF1/DHX15/SNRPD3/RBM17/HNRNPA3/FUS/HNRNPH1/PPP1CB/SRRM2/RBM25/SNRPA1/SF3A3/POLR2A/POLR2G/POLR2D/HNRNPD/SNRPC/HNRNPC/RBBP6/PCBP1/PCF11/DHX9/CPSF6/POLR2C/CPSF2/SRSF11/TCERG1/TRA2B/CDC40/SRSF10/HNRNPM/WDR33/SRSF4/NCBP2/SF3B3/PAPOLG/SMNDC1/SYMPK/SF3B4/HNRNPH2/DDX46/NCBP1/CPSF1/PUF60/HTATSF1/NUDT21/DDX42/HNRNPL/PPP1R10/SF3B2/CPSF7/SRRT/HNRNPR/CPSF3/U2AF1L4/PCBP2/CSTF3/CSTF1/CPSF4/U2AF2/FIP1L1/PPP1R8/SF3A1/GTF2F2/SNRPA/PRPF40A/CSTF2T/RBMX/RBM10/HNRNPK/CHERP/SF3A2/PHF5A",122,"PC","DKD_vs_Normal"
"R-HSA-168255","Influenza Infection","144/4923","157/11230",0.917197452229299,2.09224606714098,12.1761982109101,1.92071966480859e-37,3.56186791173949e-35,1.96564877977487e-35,"RPS4Y1/HSPA1A/HSPA1B/RPL37A/RPL35/RPL23A/POLR2L/RPS2/RPL9/RPS29/RPL37/RPL38/RPL27A/RPS14/RPL7/RPL21/RPL32/RAN/RPL22/RPLP1/RPS28/RPL6/RPL41/RANBP2/RPS27/RPS3A/RPS27A/RPS13/RPL13/RPS7/RPL36/RPS24/RPS25/RPL34/RPS6/RPS3/RPL15/RPL24/RPL30/RPL10A/RPL26/RPS18/RPL39/RPL18A/RPL14/FAU/RPL35A/RPS15/RPL8/RPLP2/RPL3/RPL29/RPL11/UBA52/RPL28/RPS11/RPSA/RPL4/RPS10/RPS12/RPL31/RPL36AL/RPS23/RPL18/RPL27/RPS9/RPL12/RPS19/RPL19/RPL7A/RPL10/XPO1/POLR2I/RPL36A/RPL13A/RPL5/HSP90AA1/RPS20/RPS4X/RPS8/KPNA2/RPL23/RPS26/NUP214/RPS5/RPS15A/DNAJC3/POLR2F/POLR2K/RPL22L1/TGFB1/POLR2J/CALR/RPS16/CLTC/CANX/POLR2E/POLR2B/GTF2F1/EIF2AK2/RPS21/PABPN1/NUP107/RPL39L/POLR2H/CLTA/RPS27L/RPL26L1/ISG15/NUP160/GRSF1/RPL17/TPR/POLR2A/POLR2G/POLR2D/KPNA4/KPNA1/PARP1/POLR2C/POM121/NUP62/IPO5/RPLP0/NUP205/NUP35/NUP133/NUP58/RAE1/NUP155/KPNA3/AAAS/NUP50/RPS17/CPSF4/NUP153/SEC13/NUP88/NUP98/GTF2F2/NUP37/NUP54/KPNB1/NUP43",144,"PC","DKD_vs_Normal"
"R-HSA-611105","Respiratory electron transport","142/4923","157/11230",0.904458598726115,2.06318709398624,11.8522530601038,3.30513573414214e-35,4.91311817540633e-33,2.71134836711585e-33,"COX7C/NDUFB1/COX8A/UQCRH/COX7B/NDUFB4/COX6C/COX5B/NDUFC1/NDUFA3/UQCR11/UQCRQ/NDUFA12/CYC1/MT-CO2/MT-CYB/NDUFAF4/COX7A2/MT-ND3/NDUFA6/GOT1/UQCRB/NDUFB7/COX6B1/NDUFA11/COX17/NDUFS4/HIGD2A/NDUFA1/NDUFS5/COX5A/NDUFS8/NDUFB3/COX4I1/NDUFAB1/NDUFS3/COA3/NDUFB9/HIGD1A/UQCR10/COX7A2L/NDUFA2/NDUFA13/NDUFV1/UQCRFS1/CMC1/PET100/NDUFA5/NDUFB8/SDHD/NDUFS6/NDUFB2/NDUFS7/NDUFB5/MDH1/NDUFAF3/UQCRC2/MT-ND2/MT-CO3/NDUFB10/TMEM126A/COX20/NDUFB6/SDHC/NDUFB11/MT-CO1/ISCU/COX14/SDHB/MDH2/ETFB/NDUFV2/GOT2/UQCC2/COA5/RAB5IF/NDUFC2/COX11/PNKD/PYURF/UQCC3/NDUFV3/TMEM126B/UQCRC1/SLC25A11/MT-ND6/NDUFA9/NDUFA7/TIMMDC1/COQ10B/NDUFA8/DMAC1/ACAD9/HSPA9/MT-ND1/TIMM21/COX6A1/NDUFS1/SURF1/PET117/COX7A1/ETFA/MT-ND5/COA1/COX15/NFS1/TRAP1/MT-ND4/COQ10A/UQCC1/SDHA/DMAC2/NDUFAF2/SMIM20/LYRM7/NDUFAF8/SLC25A12/HSCB/TMEM177/SFXN4/TMEM186/NUBPL/TTC19/NDUFS2/TMEM223/OXA1L/COX19/NDUFAF5/SCO1/NDUFAF1/NDUFA10/NDUFAF6/FXN/LETM1/SLC25A13/BCS1L/LYRM4/ETFDH/TACO1/COX16/HCCS/LYRM2",142,"PC","DKD_vs_Normal"
