"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","CellType","Condition"
"R-HSA-72766","Translation","296/3565","368/11230",0.804347826086957,2.53375205805232,20.4017958273893,2.21968173829833e-85,3.67135359514543e-82,2.02808815667679e-82,"RPS26/SEM1/MRPS12/UBE2D3/TRAM1/RBX1/EIF5/ELOB/RPL6/PSMD7/SSR3/MT-CYB/SSR4/TRMT112/VCP/RPL31/MALSU1/MRPL23/ELOC/RPS16/RPS4Y1/EEF1E1/MRPL57/SPCS1/EIF3L/CHCHD1/RPS12/MRPS7/SEC61B/RPL37A/RPL23/RPS25/SRP9/MRPL41/MRPS27/MRPL2/TCF25/MRPL32/PSMC6/RPL10A/MRPL37/PPA2/RPL3/MRPL36/MRPL11/RPS7/MT-ND4/PSMB2/RPL29/PSMD8/MT-ATP8/RPS2/EIF4H/RPS28/PSMA7/RPL17/EIF5B/RPS5/RPL18/EIF4A1/RPL36A/EIF2S3/EIF4B/SRP14/RPS21/PSMA3/MRPL21/SSR1/RPS27L/RPS10/SEC61A1/RPL15/UBA52/MRPS14/AIMP1/EIF3G/RPL5/MT-ND1/CUL2/PSMB7/RPS11/KLHDC10/SEC11A/MRPL39/PTCD3/ADRM1/NDUFAB1/RPL24/EEF1A2/MRPL34/PSMA4/RPS19/AURKAIP1/RPL9/MRPL49/RPL28/EIF3B/RPL12/RPL13/RPL27/RPS17/PSMB4/EIF3J/MRPS15/MRPS23/EIF4A2/RPL39/MRPS26/RPS24/PSMD6/PSMD11/MRPL54/MRPL42/MRPL28/MRPL47/UBC/GADD45GIP1/SRP72/RPL14/MRPL12/PSMD13/EEF1B2/PSMC5/PSMA2/RPL26/RPLP2/MRPL18/RPS29/RPL27A/PSMC1/RPS27A/MRPS18C/MRPL33/MRPL48/PSMD2/PSMC2/EEF1A1/RPLP0/MRPS34/PSMD12/RPL7A/RPL13A/MRPL14/PABPC1/ETF1/RPL22L1/RPL39L/MRPL3/RPS15A/EIF2S1/MRPL15/RARS2/RCHY1/PSMC4/SPCS3/EIF3K/MRPS21/CARS2/SEC61G/MRPL50/RPL18A/RPL11/MRPS11/MRPL10/MRPL27/PSMC3/RPL41/IARS2/RPS18/EIF4E/RPL34/RPN2/RPS13/RPL35/RPS4X/RPS8/MT-ND6/RPL21/MTIF3/MRPS30/MT-ND4L/EEF1D/MRPL20/GSPT1/MRPS33/UBE2D1/RPL36/MT-ND2/RPS3A/PSMD14/DAP3/MT-ND3/SRP19/EIF3E/EIF3F/MRPL16/PSMB5/EIF4G1/MRPL24/RPL30/RPL7/PSMB3/SRP54/MRPL51/MRPS5/SPCS2/PSMD3/RPS20/MRPS9/SSR2/RPL37/RPSA/RPL4/FARSA/TUFM/MRPS28/MRPL22/PSMA5/MRPL43/PSMD1/MRPS18B/MRPS2/MRPS35/NEMF/MT-ND5/UBB/PSMB6/PSMB1/RPL8/TSFM/MRPL35/MRPS10/MRPS6/EEF2/RPL35A/RPLP1/MRPL17/MRPL13/RPL22/EIF2B3/PPA1/EIF3D/RPL36AL/EIF3M/RPL23A/MRPS16/EIF4EBP1/SEC11C/RPL32/PSMA1/EIF2B2/HBS1L/SRP68/MRPS18A/MRPS22/APEH/DDOST/UFD1/MRPL9/RPN1/RPL38/MRPL1/FAU/RPS14/ABCE1/MRPS25/ASCC3/RPL10/PELO/RPL19/EIF1AX/RPS27/LTN1/MRPS31/MT-CO3/EIF2B5/MRPL52/MRPL19/MRPL55/MT-ATP6/RPL26L1/MRPL46/MT-CO1/RPS9/EIF3A/MT-CO2/MRPL4/EIF2S2/UBE2D2/EIF3I/RPS15/RPS3/EIF3H/MRPL40/RPS23/RPS6",296,"dVSMC","DKD_vs_Normal"
"R-HSA-9948299","Ribosome-associated quality control","136/3565","145/11230",0.937931034482759,2.95454853218552,16.1549954266281,6.33569572765362e-57,5.23962036676955e-54,2.89441257452808e-54,"RPS26/SEM1/UBE2D3/RBX1/ELOB/RPL6/PSMD7/VCP/RPL31/ELOC/RPS16/RPS4Y1/RPS12/RPL37A/RPL23/RPS25/TCF25/PSMC6/RPL10A/RPL3/RPS7/PSMB2/RPL29/PSMD8/RPS2/RPS28/PSMA7/RPL17/RPS5/RPL18/RPL36A/RPS21/PSMA3/RPS27L/RPS10/RPL15/UBA52/RPL5/CUL2/PSMB7/RPS11/KLHDC10/ADRM1/RPL24/PSMA4/RPS19/RPL9/RPL28/RPL12/RPL13/RPL27/RPS17/PSMB4/RPL39/RPS24/PSMD6/PSMD11/UBC/RPL14/PSMD13/PSMC5/PSMA2/RPL26/RPLP2/RPS29/RPL27A/PSMC1/RPS27A/PSMD2/PSMC2/RPLP0/PSMD12/RPL7A/RPL13A/RPL22L1/RPL39L/RPS15A/RCHY1/PSMC4/RPL18A/RPL11/PSMC3/RPL41/RPS18/RPL34/RPS13/RPL35/RPS4X/RPS8/RPL21/UBE2D1/RPL36/RPS3A/PSMD14/PSMB5/RPL30/RPL7/PSMB3/PSMD3/RPS20/RPL37/RPSA/RPL4/PSMA5/PSMD1/NEMF/UBB/PSMB6/PSMB1/RPL8/RPL35A/RPLP1/RPL22/RPL36AL/RPL23A/RPL32/PSMA1/HBS1L/UFD1/RPL38/FAU/RPS14/ABCE1/ASCC3/RPL10/PELO/RPL19/RPS27/LTN1/RPL26L1/RPS9/UBE2D2/RPS15/RPS3/RPS23/RPS6",136,"dVSMC","DKD_vs_Normal"
"R-HSA-72172","mRNA Splicing","178/3565","213/11230",0.835680751173709,2.63245296933541,16.40374591193,4.17498310035639e-56,2.30180734932982e-53,1.27153871266995e-53,"U2AF1/UBL5/FAM50A/CDC40/SYF2/SRSF9/POLR2C/HNRNPK/IK/HNRNPA1/CDC5L/SNRPN/RNPS1/HNRNPH1/RBM5/BCAS2/C9orf78/HTATSF1/DDX5/LSM2/BUD31/ZCRB1/SRSF7/CCDC12/RNF113A/TCERG1/SNW1/RBMX/POLR2E/PRPF8/RBM8A/PCBP2/SF3B1/TRA2B/PDCD7/FUS/ALYREF/SNU13/LSM8/POLR2H/SF3B4/CHERP/YBX1/SLU7/PPIL4/U2SURP/SART1/WBP4/SNRPE/SNRPD1/RBM7/NKAP/POLR2L/SRSF3/SNRPD3/SF3B5/LENG1/DNAJC8/SRSF4/SF1/RNPC3/SNRPA/SNRPA1/LSM5/DDX23/LSM3/SNRPB/PNN/SNRNP40/PPWD1/ZMAT5/PRKRIP1/SRSF8/POLR2K/DHX15/PRPF38A/SRSF6/NSRP1/RBM22/CWC27/HNRNPL/PRPF31/PHF5A/FAM32A/CASC3/HNRNPR/SRSF11/DDX46/ISY1/SNRPG/LSM6/ZRSR2/RBM25/SNRPC/TXNL4A/SF3A1/WBP11/EIF4A3/SNRNP35/PPIG/DDX42/U2AF1L4/HNRNPC/HNRNPA2B1/LSM7/LSM4/PPIE/PTBP1/ZNF830/DHX9/SRSF5/PQBP1/SF3B6/SNRPF/CTNNBL1/POLR2A/SRSF2/SRRM1/SNRNP70/MAGOH/SNRNP27/PRPF3/SRRM2/POLR2I/SF3A3/POLR2J/POLR2F/PCBP1/CWF19L2/PLRG1/MAGOHB/DHX38/PRPF40A/PPP1R8/HNRNPM/PPIL2/SNRPB2/POLR2B/SRSF10/ACIN1/LUC7L3/SNRPD2/RBM17/HSPA8/RBM39/SNRNP25/NCBP2/HNRNPF/SF3A2/HNRNPH2/HNRNPU/CWC22/CWC25/SF3B2/RBM42/PRPF6/RBM10/CCAR1/PRCC/SMU1/RBMX2/AQR/ZMAT2/SMNDC1/SNRNP200/PRPF4/SRSF1/POLR2G/CWC15/HNRNPA3/PPIL3/SAP18/PUF60/XAB2/GTF2F1/HNRNPD/PPIH/MFAP1",178,"dVSMC","DKD_vs_Normal"
"R-HSA-72163","mRNA Splicing - Major Pathway","171/3565","205/11230",0.834146341463415,2.62761947114562,16.0392751079433,1.09673539496866e-53,4.53500085819542e-51,2.50517453377052e-51,"U2AF1/UBL5/FAM50A/CDC40/SYF2/SRSF9/POLR2C/HNRNPK/IK/HNRNPA1/CDC5L/SNRPN/RNPS1/HNRNPH1/RBM5/BCAS2/C9orf78/HTATSF1/DDX5/LSM2/BUD31/SRSF7/CCDC12/RNF113A/TCERG1/SNW1/RBMX/POLR2E/PRPF8/RBM8A/PCBP2/SF3B1/TRA2B/FUS/ALYREF/SNU13/LSM8/POLR2H/SF3B4/CHERP/YBX1/SLU7/PPIL4/U2SURP/SART1/WBP4/SNRPE/SNRPD1/RBM7/NKAP/POLR2L/SRSF3/SNRPD3/SF3B5/LENG1/DNAJC8/SRSF4/SF1/SNRPA/SNRPA1/LSM5/DDX23/LSM3/SNRPB/PNN/SNRNP40/PPWD1/PRKRIP1/SRSF8/POLR2K/DHX15/PRPF38A/SRSF6/NSRP1/RBM22/CWC27/HNRNPL/PRPF31/PHF5A/FAM32A/CASC3/HNRNPR/SRSF11/DDX46/ISY1/SNRPG/LSM6/RBM25/SNRPC/TXNL4A/SF3A1/WBP11/EIF4A3/PPIG/DDX42/U2AF1L4/HNRNPC/HNRNPA2B1/LSM7/LSM4/PPIE/PTBP1/ZNF830/DHX9/SRSF5/PQBP1/SF3B6/SNRPF/CTNNBL1/POLR2A/SRSF2/SRRM1/SNRNP70/MAGOH/SNRNP27/PRPF3/SRRM2/POLR2I/SF3A3/POLR2J/POLR2F/PCBP1/CWF19L2/PLRG1/MAGOHB/DHX38/PRPF40A/PPP1R8/HNRNPM/PPIL2/SNRPB2/POLR2B/SRSF10/ACIN1/LUC7L3/SNRPD2/RBM17/HSPA8/RBM39/NCBP2/HNRNPF/SF3A2/HNRNPH2/HNRNPU/CWC22/CWC25/SF3B2/RBM42/PRPF6/RBM10/CCAR1/PRCC/SMU1/RBMX2/AQR/ZMAT2/SMNDC1/SNRNP200/PRPF4/SRSF1/POLR2G/CWC15/HNRNPA3/PPIL3/SAP18/PUF60/XAB2/GTF2F1/HNRNPD/PPIH/MFAP1",171,"dVSMC","DKD_vs_Normal"
"R-HSA-72203","Processing of Capped Intron-Containing Pre-mRNA","220/3565","294/11230",0.748299319727891,2.35719533255097,16.0816646020153,2.89162863205653e-53,9.56550751484301e-51,5.28407084763173e-51,"U2AF1/UBL5/FAM50A/CDC40/SYF2/SRSF9/POLR2C/HNRNPK/IK/HNRNPA1/CDC5L/SNRPN/RNPS1/HNRNPH1/RBM5/BCAS2/C9orf78/THOC6/HTATSF1/DDX5/LSM2/BUD31/ZCRB1/TPR/SRSF7/CCDC12/RNF113A/THOC2/TCERG1/SNW1/RBMX/POLR2E/PRPF8/RBM8A/SEH1L/PCBP2/SF3B1/ZC3H11A/TRA2B/PDCD7/NUP107/FUS/ALYREF/SNU13/LSM8/POLR2H/WTAP/SF3B4/CHERP/YBX1/SLU7/NXT1/PPIL4/U2SURP/SART1/WBP4/SNRPE/SNRPD1/RBM7/NKAP/POLR2L/RANBP2/SRSF3/SNRPD3/UBA52/SF3B5/LENG1/DNAJC8/SRSF4/SF1/RNPC3/SNRPA/SNRPA1/LSM5/PPP1CA/THOC7/DDX23/SEC13/LSM3/SNRPB/PNN/SNRNP40/SARNP/PPWD1/ZMAT5/PRKRIP1/SRSF8/POLR2K/DHX15/PRPF38A/SRSF6/UBC/NSRP1/RBM22/CWC27/CSTF3/HNRNPL/PRPF31/PHF5A/FAM32A/CPSF6/RPS27A/CASC3/CPSF7/HNRNPR/SRSF11/DDX39A/DDX46/ISY1/PPP1R10/SNRPG/LSM6/ZRSR2/RBM25/SNRPC/TXNL4A/SF3A1/WBP11/EIF4A3/XRN2/SNRNP35/NXF1/PPIG/DDX42/U2AF1L4/HNRNPC/CHTOP/PAPOLA/HNRNPA2B1/LSM7/PCF11/EIF4E/RBBP6/LSM4/PPIE/PTBP1/ZNF830/PPP1CB/DHX9/PABPN1/CPSF2/SRSF5/PQBP1/SF3B6/SNRPF/SYMPK/CTNNBL1/POLR2A/SRSF2/NUDT21/SRRM1/SLBP/SNRNP70/MAGOH/METTL14/SNRNP27/PRPF3/SRRM2/POLR2I/NUP54/SF3A3/POLR2J/POLR2F/NUP214/PCBP1/CWF19L2/PLRG1/MAGOHB/DHX38/PRPF40A/PPP1R8/HNRNPM/PPIL2/SNRPB2/POLR2B/SRSF10/ACIN1/LUC7L3/POLDIP3/UBB/SNRPD2/RBM17/FYTTD1/HSPA8/RBM39/SNRNP25/NCBP2/HNRNPF/SF3A2/HNRNPH2/HNRNPU/CWC22/CWC25/SF3B2/RBM42/PRPF6/RBM10/CCAR1/PRCC/SMU1/RBMX2/AQR/ZMAT2/WDR33/SMNDC1/SNRNP200/FIP1L1/PRPF4/SRSF1/POLR2G/CWC15/HNRNPA3/PPIL3/SAP18/PUF60/XAB2/GTF2F1/HNRNPD/PPIH/MFAP1",220,"dVSMC","DKD_vs_Normal"
"R-HSA-72613","Eukaryotic Translation Initiation","114/3565","120/11230",0.95,2.99256661991585,14.9654807477332,1.78787411132262e-49,4.22449111446802e-47,2.33364620846321e-47,"RPS26/EIF5/RPL6/RPL31/RPS16/RPS4Y1/EIF3L/RPS12/RPL37A/RPL23/RPS25/RPL10A/RPL3/RPS7/RPL29/RPS2/EIF4H/RPS28/RPL17/EIF5B/RPS5/RPL18/EIF4A1/RPL36A/EIF2S3/EIF4B/RPS21/RPS27L/RPS10/RPL15/UBA52/EIF3G/RPL5/RPS11/RPL24/RPS19/RPL9/RPL28/EIF3B/RPL12/RPL13/RPL27/RPS17/EIF3J/EIF4A2/RPL39/RPS24/RPL14/RPL26/RPLP2/RPS29/RPL27A/RPS27A/RPLP0/RPL7A/RPL13A/PABPC1/RPL22L1/RPL39L/RPS15A/EIF2S1/EIF3K/RPL18A/RPL11/RPL41/RPS18/EIF4E/RPL34/RPS13/RPL35/RPS4X/RPS8/RPL21/RPL36/RPS3A/EIF3E/EIF3F/EIF4G1/RPL30/RPL7/RPS20/RPL37/RPSA/RPL4/RPL8/RPL35A/RPLP1/RPL22/EIF2B3/EIF3D/RPL36AL/EIF3M/RPL23A/EIF4EBP1/RPL32/EIF2B2/RPL38/FAU/RPS14/RPL10/RPL19/EIF1AX/RPS27/EIF2B5/RPL26L1/RPS9/EIF3A/EIF2S2/EIF3I/RPS15/RPS3/EIF3H/RPS23/RPS6",114,"dVSMC","DKD_vs_Normal"
"R-HSA-72737","Cap-dependent Translation Initiation","114/3565","120/11230",0.95,2.99256661991585,14.9654807477332,1.78787411132262e-49,4.22449111446802e-47,2.33364620846321e-47,"RPS26/EIF5/RPL6/RPL31/RPS16/RPS4Y1/EIF3L/RPS12/RPL37A/RPL23/RPS25/RPL10A/RPL3/RPS7/RPL29/RPS2/EIF4H/RPS28/RPL17/EIF5B/RPS5/RPL18/EIF4A1/RPL36A/EIF2S3/EIF4B/RPS21/RPS27L/RPS10/RPL15/UBA52/EIF3G/RPL5/RPS11/RPL24/RPS19/RPL9/RPL28/EIF3B/RPL12/RPL13/RPL27/RPS17/EIF3J/EIF4A2/RPL39/RPS24/RPL14/RPL26/RPLP2/RPS29/RPL27A/RPS27A/RPLP0/RPL7A/RPL13A/PABPC1/RPL22L1/RPL39L/RPS15A/EIF2S1/EIF3K/RPL18A/RPL11/RPL41/RPS18/EIF4E/RPL34/RPS13/RPL35/RPS4X/RPS8/RPL21/RPL36/RPS3A/EIF3E/EIF3F/EIF4G1/RPL30/RPL7/RPS20/RPL37/RPSA/RPL4/RPL8/RPL35A/RPLP1/RPL22/EIF2B3/EIF3D/RPL36AL/EIF3M/RPL23A/EIF4EBP1/RPL32/EIF2B2/RPL38/FAU/RPS14/RPL10/RPL19/EIF1AX/RPS27/EIF2B5/RPL26L1/RPS9/EIF3A/EIF2S2/EIF3I/RPS15/RPS3/EIF3H/RPS23/RPS6",114,"dVSMC","DKD_vs_Normal"
"R-HSA-72706","GTP hydrolysis and joining of the 60S ribosomal subunit","109/3565","113/11230",0.964601769911504,3.03856321910412,14.8529880449149,2.27169629426158e-49,4.69673208838581e-47,2.59451629397243e-47,"RPS26/EIF5/RPL6/RPL31/RPS16/RPS4Y1/EIF3L/RPS12/RPL37A/RPL23/RPS25/RPL10A/RPL3/RPS7/RPL29/RPS2/EIF4H/RPS28/RPL17/EIF5B/RPS5/RPL18/EIF4A1/RPL36A/EIF2S3/EIF4B/RPS21/RPS27L/RPS10/RPL15/UBA52/EIF3G/RPL5/RPS11/RPL24/RPS19/RPL9/RPL28/EIF3B/RPL12/RPL13/RPL27/RPS17/EIF3J/EIF4A2/RPL39/RPS24/RPL14/RPL26/RPLP2/RPS29/RPL27A/RPS27A/RPLP0/RPL7A/RPL13A/RPL22L1/RPL39L/RPS15A/EIF2S1/EIF3K/RPL18A/RPL11/RPL41/RPS18/EIF4E/RPL34/RPS13/RPL35/RPS4X/RPS8/RPL21/RPL36/RPS3A/EIF3E/EIF3F/EIF4G1/RPL30/RPL7/RPS20/RPL37/RPSA/RPL4/RPL8/RPL35A/RPLP1/RPL22/EIF3D/RPL36AL/EIF3M/RPL23A/RPL32/RPL38/FAU/RPS14/RPL10/RPL19/EIF1AX/RPS27/RPL26L1/RPS9/EIF3A/EIF2S2/EIF3I/RPS15/RPS3/EIF3H/RPS23/RPS6",109,"dVSMC","DKD_vs_Normal"
"R-HSA-156827","L13a-mediated translational silencing of Ceruloplasmin expression","108/3565","112/11230",0.964285714285714,3.03756762171909,14.7792343505672,7.04844923125763e-49,1.29534833650001e-46,7.15561863477383e-47,"RPS26/RPL6/RPL31/RPS16/RPS4Y1/EIF3L/RPS12/RPL37A/RPL23/RPS25/RPL10A/RPL3/RPS7/RPL29/RPS2/EIF4H/RPS28/RPL17/RPS5/RPL18/EIF4A1/RPL36A/EIF2S3/EIF4B/RPS21/RPS27L/RPS10/RPL15/UBA52/EIF3G/RPL5/RPS11/RPL24/RPS19/RPL9/RPL28/EIF3B/RPL12/RPL13/RPL27/RPS17/EIF3J/EIF4A2/RPL39/RPS24/RPL14/RPL26/RPLP2/RPS29/RPL27A/RPS27A/RPLP0/RPL7A/RPL13A/PABPC1/RPL22L1/RPL39L/RPS15A/EIF2S1/EIF3K/RPL18A/RPL11/RPL41/RPS18/EIF4E/RPL34/RPS13/RPL35/RPS4X/RPS8/RPL21/RPL36/RPS3A/EIF3E/EIF3F/EIF4G1/RPL30/RPL7/RPS20/RPL37/RPSA/RPL4/RPL8/RPL35A/RPLP1/RPL22/EIF3D/RPL36AL/EIF3M/RPL23A/RPL32/RPL38/FAU/RPS14/RPL10/RPL19/EIF1AX/RPS27/RPL26L1/RPS9/EIF3A/EIF2S2/EIF3I/RPS15/RPS3/EIF3H/RPS23/RPS6",108,"dVSMC","DKD_vs_Normal"
"R-HSA-9010553","Regulation of expression of SLITs and ROBOs","138/3565","159/11230",0.867924528301887,2.73402312842362,15.0177285824517,1.02194596261076e-47,1.6902986221582e-45,9.3373589004857e-46,"RPS26/SEM1/RBX1/ELOB/RPL6/PSMD7/UPF2/RPL31/ELOC/RPS16/RNPS1/RPS4Y1/RPS12/RPL37A/RPL23/RPS25/PSMC6/RPL10A/RBM8A/RPL3/RPS7/PSMB2/RPL29/PSMD8/RPS2/RPS28/PSMA7/RPL17/RPS5/RPL18/RPL36A/RPS21/PSMA3/RPS27L/RPS10/RPL15/UBA52/RPL5/CUL2/PSMB7/RPS11/ADRM1/COL4A5/RPL24/PSMA4/RPS19/DAG1/RPL9/RPL28/RPL12/RPL13/RPL27/RPS17/PSMB4/RPL39/RPS24/PSMD6/PSMD11/UBC/RPL14/PSMD13/PSMC5/PSMA2/RPL26/RPLP2/RPS29/RPL27A/UPF3A/PSMC1/RPS27A/CASC3/PSMD2/PSMC2/RPLP0/PSMD12/RPL7A/RPL13A/PABPC1/ETF1/RPL22L1/RPL39L/EIF4A3/RPS15A/PSMC4/RPL18A/RPL11/PSMC3/RPL41/RPS18/RPL34/RPS13/RPL35/RPS4X/RPS8/RPL21/GSPT1/RPL36/RPS3A/PSMD14/PSMB5/EIF4G1/MAGOH/RPL30/RPL7/PSMB3/MAGOHB/PSMD3/RPS20/RPL37/RPSA/RPL4/PSMA5/PSMD1/UBB/PSMB6/PSMB1/RPL8/RPL35A/NCBP2/RPLP1/RPL22/RPL36AL/RPL23A/RPL32/PSMA1/RPL38/FAU/RPS14/USP33/RPL10/RPL19/RPS27/RPL26L1/RPS9/RPS15/RPS3/RPS23/RPS6",138,"dVSMC","DKD_vs_Normal"
