"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","CellType","Condition"
"R-HSA-72766","Translation","314/4490","368/11230",0.853260869565217,2.1341023530551,18.0544816739817,1.43805080664759e-74,2.39004044064829e-71,1.36539139746961e-71,"MT-ND4L/MT-ND5/ELOB/RPS4Y1/MT-ATP8/SEM1/ELOC/UFD1/MRPL57/SRP9/TRAM1/PSMA2/UBE2D3/MT-ND6/MT-ND1/RPS26/RPL3/EIF3E/MT-CO1/MRPL50/PSMA3/MT-ND4/EIF2S2/RPLP0/EIF4A2/MRPL27/MRPL42/SPCS3/RPS17/MRPS18B/SEC11A/SPCS2/CHCHD1/RPL22L1/RPS29/EIF3M/MRPL39/AIMP1/PPA1/MRPL47/MRPL14/SRPRB/PSMA4/PSMB4/RPS27L/EIF3F/PSMB5/EEF2/RPS27A/EIF3D/ETF1/RBX1/OXA1L/MRPL22/MT-ND3/RPSA/MRPS17/PSMA7/MRPL48/TRMT112/MRPS18C/MRPL54/MT-CYB/UBE2D2/MRPL16/SPCS1/EIF3G/EEF1E1/SEC61B/EEF1B2/MRPS28/MRPL23/RCHY1/MRPS10/HBS1L/MRPL58/SSR1/IARS2/RPL10/DDOST/SEC11C/MRPL55/FARSA/SSR2/PSMB3/MRPL52/MRPL36/PSMB6/EIF5B/PSMD11/MRPL41/RPL36AL/RPL4/RPL37/MTIF3/FAU/PSMC2/MRPL49/PSMD13/MRPS2/SRP19/MRPS7/RPL38/EIF4B/MT-CO3/MRPL17/EIF3L/EIF3A/PSMC4/MRPS21/MRPL40/RPS21/RPL35/RPS20/MRPL18/PSMB1/EIF4G1/ADRM1/PSMC1/EIF1AX/EEF1A1/PSMB2/EIF4A1/SEC61G/EEF1D/MRPS23/TCF25/MRPL32/PSMA5/DAP3/PABPC1/CARS2/RPL37A/SEC61A1/GADD45GIP1/EIF4E/MRPL9/MRPS15/MRPS25/PSMD8/GFM1/MRPS11/RPL7/RPL13A/RPN2/EIF3H/MRPL19/PSMD3/MRPL20/YARS2/MRPS18A/TSFM/MTRF1L/RPS5/RPL26/MRPL2/EIF3J/PSMD12/MRPL33/MRPL15/SSR3/RPS3A/MRPS35/PSMC3/MRPL46/RPL26L1/RPS23/MRPS33/RPL41/RPL18A/RPL39/RPS8/RPS11/MRPS30/RPS10/PPA2/MRPS12/PSMC5/RPL9/MT-ATP6/NEMF/MRPL28/MRPS9/MRPL1/MRPS16/TUFM/RPS15A/MRPS34/MRPS14/UBA52/RPS18/RPL17/AURKAIP1/AIMP2/RPL29/MRPL21/PELO/RPL6/RPL39L/PSMD7/MRPL3/MALSU1/EIF2B2/MRPL35/MRPL10/GSPT1/CUL2/MRPL4/KLHDC10/PSMD14/RPS14/RPL23/PSMB7/SRP54/MRPS31/MRPL11/RPL7A/PTCD3/RPL31/RPS4X/EIF5/MT-CO2/EIF4H/MRPL53/MRPS22/MRPS26/RPS6/MRPL24/RPS7/MRPL37/MRPL43/UBE2D1/RPL15/MTFMT/ABCE1/NDUFAB1/RPL24/RPS3/RPL30/RPN1/PSMC6/NPLOC4/MRPL34/RPL35A/MRPL44/SRPRA/MIEF1/RPS25/MRPS6/EIF2S3/EIF2S1/RPLP2/APEH/RPL32/RPS16/RPS13/RPLP1/RPL36A/RPL28/MRPL51/SRP14/RPL8/RPS2/MRPL12/RPL22/RPS9/RPS19/RPL21/PSMD2/MRPS5/LTN1/RPL11/RPL14/ASCC2/RPL27A/RPL19/EIF3I/RPS27/EIF3B/ERAL1/MRRF/RPS15/RPL13/RPL23A/PSMA1/MRPL30/SRP68/EIF4EBP1/MRPL13/RPL10A/EIF2B1/RPL18/SSR4/PSMD6/EIF2B3/RPL34/UBB/RARS2/GFM2/UBC/EIF3K/MRPS27/RPS12/PSMD1/EIF2B5/RPL27/SRP72/MT-ND2/VCP/RPL12/RPL5/RPS28/RPL36/RPS24",314,"CNT","HCKD_vs_Normal"
"R-HSA-72203","Processing of Capped Intron-Containing Pre-mRNA","241/4490","294/11230",0.819727891156463,2.05023256518643,14.8933932930243,1.34542171858e-50,1.11804544813998e-47,6.38721257978506e-48,"HNRNPH1/SNRPN/SNU13/SF3B6/PNN/SRRM1/TPR/YBX1/HNRNPA1/HNRNPH2/NXT1/HNRNPR/HSPA8/PABPN1/LSM8/WTAP/HNRNPK/RANBP2/POLR2E/SRSF8/SRSF6/PPP1CA/RPS27A/SLBP/SRSF3/SRSF9/SNRPF/RBM8A/POLR2C/MFAP1/HNRNPC/SRSF10/LSM5/PUF60/FAM32A/THOC7/PRPF40A/LSM6/RBMX/SMU1/SNRPD2/HNRNPU/POLR2F/POLR2G/PRPF38A/POLR2J/PRPF19/U2AF2/ZC3H11A/POLR2H/SRRT/POLR2K/LUC7L3/SNRPE/SRSF5/SLU7/SMNDC1/SNRPA/RNPC3/LSM3/BUD31/HTATSF1/FAM50A/PTBP1/SRSF7/SNW1/SF3A1/NUP37/SF3B4/PCBP2/SRSF4/CCDC12/RBM42/DHX9/SNRPC/PPIL3/DDX46/SRSF1/PPP1CB/SNRPD1/CDC5L/ZCRB1/TRA2B/RBM7/CPSF6/EIF4E/HNRNPF/ALYREF/CWC15/XRN2/TXNL4A/SRRM2/LSM7/SARNP/SYF2/PPIH/PLRG1/HNRNPL/SNRNP40/UBL5/SRSF2/SNRPA1/NCBP2/RNPS1/NUDT21/CHTOP/SNRPD3/ZMAT2/SEH1L/MAGOHB/PAPOLA/SF3B1/PRPF31/FYTTD1/SEC13/GTF2F1/PPIE/PCBP1/SRSF11/RBM17/SF3A2/PRCC/PPIL4/NUP153/UBA52/NUP50/NUP98/AQR/SF3B5/IK/THOC1/SNRPB2/SNRNP70/FIP1L1/WDR33/HNRNPD/PRKRIP1/POLDIP3/PCF11/CWC22/WBP4/HNRNPA2B1/WBP11/PDCD7/SF3B2/ISY1/SNRPB/DDX42/SAP18/XAB2/RBBP6/MTREX/SNRPG/POLR2I/EIF4A3/CWC27/U2AF1L4/LENG1/SNRNP35/SNRNP25/CHERP/USP39/PRPF4/CCAR1/HNRNPA3/DDX5/NKAP/BCAS2/DDX23/DDX41/CRNKL1/ZMAT5/SF1/RBM25/UPF3B/SYMPK/MAGOH/LSM4/CDC40/POM121/NUP160/U2SURP/SNRNP200/THOC3/RBM39/PRPF18/METTL3/CWC25/FUS/SNRNP27/RBM10/PRPF6/GCFC2/U2AF1/CPSF1/NUP54/RBM5/AAAS/CTNNBL1/POLR2A/THOC6/PRPF8/THOC2/GTF2F2/RAE1/NUP214/SF3B3/CPSF7/RBMX2/HNRNPM/ACIN1/LSM2/NSRP1/DNAJC8/CSTF1/PHF5A/PPIL1/PPP1R10/PQBP1/PPIL2/POLR2B/CSTF3/C9orf78/TCERG1/NXF1/RBM22/UBB/CWF19L2/UBC/CPSF2/POLR2L/PPIG/DHX15/SART1/PPP1R8/METTL14/DDX39A/CASC3/PPWD1/SF3A3/ZNF830",241,"CNT","HCKD_vs_Normal"
"R-HSA-72172","mRNA Splicing","187/4490","213/11230",0.877934272300469,2.19581333584282,14.3808740462793,1.65089535065908e-48,9.14596024265128e-46,5.22493896945434e-46,"HNRNPH1/SNRPN/SNU13/SF3B6/PNN/SRRM1/YBX1/HNRNPA1/HNRNPH2/HNRNPR/HSPA8/LSM8/HNRNPK/POLR2E/SRSF8/SRSF6/SRSF3/SRSF9/SNRPF/RBM8A/POLR2C/MFAP1/HNRNPC/SRSF10/LSM5/PUF60/FAM32A/PRPF40A/LSM6/RBMX/SMU1/SNRPD2/HNRNPU/POLR2F/POLR2G/PRPF38A/POLR2J/PRPF19/U2AF2/POLR2H/SRRT/POLR2K/LUC7L3/SNRPE/SRSF5/SLU7/SMNDC1/SNRPA/RNPC3/LSM3/BUD31/HTATSF1/FAM50A/PTBP1/SRSF7/SNW1/SF3A1/SF3B4/PCBP2/SRSF4/CCDC12/RBM42/DHX9/SNRPC/PPIL3/DDX46/SRSF1/SNRPD1/CDC5L/ZCRB1/TRA2B/RBM7/HNRNPF/ALYREF/CWC15/TXNL4A/SRRM2/LSM7/SYF2/PPIH/PLRG1/HNRNPL/SNRNP40/UBL5/SRSF2/SNRPA1/NCBP2/RNPS1/SNRPD3/ZMAT2/MAGOHB/SF3B1/PRPF31/GTF2F1/PPIE/PCBP1/SRSF11/RBM17/SF3A2/PRCC/PPIL4/AQR/SF3B5/IK/SNRPB2/SNRNP70/HNRNPD/PRKRIP1/CWC22/WBP4/HNRNPA2B1/WBP11/PDCD7/SF3B2/ISY1/SNRPB/DDX42/SAP18/XAB2/MTREX/SNRPG/POLR2I/EIF4A3/CWC27/U2AF1L4/LENG1/SNRNP35/SNRNP25/CHERP/USP39/PRPF4/CCAR1/HNRNPA3/DDX5/NKAP/BCAS2/DDX23/DDX41/CRNKL1/ZMAT5/SF1/RBM25/UPF3B/MAGOH/LSM4/CDC40/U2SURP/SNRNP200/RBM39/PRPF18/CWC25/FUS/SNRNP27/RBM10/PRPF6/GCFC2/U2AF1/RBM5/CTNNBL1/POLR2A/PRPF8/GTF2F2/SF3B3/RBMX2/HNRNPM/ACIN1/LSM2/NSRP1/DNAJC8/PHF5A/PPIL1/PQBP1/PPIL2/POLR2B/C9orf78/TCERG1/RBM22/CWF19L2/POLR2L/PPIG/DHX15/SART1/PPP1R8/CASC3/PPWD1/SF3A3/ZNF830",187,"CNT","HCKD_vs_Normal"
"R-HSA-72163","mRNA Splicing - Major Pathway","181/4490","205/11230",0.882926829268293,2.20830028790266,14.2503743626802,8.59700981256291e-48,3.57205757711989e-45,2.04065864498204e-45,"HNRNPH1/SNRPN/SNU13/SF3B6/PNN/SRRM1/YBX1/HNRNPA1/HNRNPH2/HNRNPR/HSPA8/LSM8/HNRNPK/POLR2E/SRSF8/SRSF6/SRSF3/SRSF9/SNRPF/RBM8A/POLR2C/MFAP1/HNRNPC/SRSF10/LSM5/PUF60/FAM32A/PRPF40A/LSM6/RBMX/SMU1/SNRPD2/HNRNPU/POLR2F/POLR2G/PRPF38A/POLR2J/PRPF19/U2AF2/POLR2H/SRRT/POLR2K/LUC7L3/SNRPE/SRSF5/SLU7/SMNDC1/SNRPA/LSM3/BUD31/HTATSF1/FAM50A/PTBP1/SRSF7/SNW1/SF3A1/SF3B4/PCBP2/SRSF4/CCDC12/RBM42/DHX9/SNRPC/PPIL3/DDX46/SRSF1/SNRPD1/CDC5L/TRA2B/RBM7/HNRNPF/ALYREF/CWC15/TXNL4A/SRRM2/LSM7/SYF2/PPIH/PLRG1/HNRNPL/SNRNP40/UBL5/SRSF2/SNRPA1/NCBP2/RNPS1/SNRPD3/ZMAT2/MAGOHB/SF3B1/PRPF31/GTF2F1/PPIE/PCBP1/SRSF11/RBM17/SF3A2/PRCC/PPIL4/AQR/SF3B5/IK/SNRPB2/SNRNP70/HNRNPD/PRKRIP1/CWC22/WBP4/HNRNPA2B1/WBP11/SF3B2/ISY1/SNRPB/DDX42/SAP18/XAB2/MTREX/SNRPG/POLR2I/EIF4A3/CWC27/U2AF1L4/LENG1/CHERP/USP39/PRPF4/CCAR1/HNRNPA3/DDX5/NKAP/BCAS2/DDX23/DDX41/CRNKL1/SF1/RBM25/UPF3B/MAGOH/LSM4/CDC40/U2SURP/SNRNP200/RBM39/PRPF18/CWC25/FUS/SNRNP27/RBM10/PRPF6/GCFC2/U2AF1/RBM5/CTNNBL1/POLR2A/PRPF8/GTF2F2/SF3B3/RBMX2/HNRNPM/ACIN1/LSM2/NSRP1/DNAJC8/PHF5A/PPIL1/PQBP1/PPIL2/POLR2B/C9orf78/TCERG1/RBM22/CWF19L2/POLR2L/PPIG/DHX15/SART1/PPP1R8/CASC3/PPWD1/SF3A3/ZNF830",181,"CNT","HCKD_vs_Normal"
"R-HSA-1428517","Aerobic respiration and respiratory electron transport","214/4490","258/11230",0.829457364341085,2.07456708275064,14.2516205047643,1.23414696598229e-46,4.10230451492514e-44,2.3435801332969e-44,"ATP5PD/ATP5MG/ATP5PF/UQCR11/MT-ND5/ATP5F1D/ATP5F1E/ATP5ME/ATP5MC3/MT-ATP8/NDUFB8/ATP5MC1/ATP5F1B/ATP5MF/ATP5MC2/ATP5F1A/PDK4/ATP5PO/ATP5F1C/NDUFAF8/DMAC1/ATP5PB/MT-ND6/MT-ND1/NDUFA5/UQCC3/MT-CO1/NDUFA7/PKM/RAB5IF/MT-ND4/COX11/UQCRH/COX8A/NDUFS2/LDHA/NDUFB1/DLD/SUCLA2/PYURF/NDUFA12/NDUFB2/MDH1/NDUFS4/COX7A2L/SDHC/NDUFS3/COX14/IDH3A/IDH3G/RPS27A/TMEM223/COA1/ACAT1/HIGD1A/OXA1L/MT-ND3/NDUFC1/NDUFB5/MPC1/GID8/ISCA2/MT-CYB/NDUFB3/SDHAF4/COX20/COX16/ISCU/SDHAF2/COX7A1/PNKD/HCCS/SDHA/SDHAF1/FH/COX7C/NDUFV1/MDH2/NDUFA6/SCO1/MPC2/PDK2/SLC25A11/UQCC2/COX7A2/OGDH/NDUFB9/VDAC1/NDUFA10/NDUFAF2/SUCLG1/TIMM21/MT-CO3/COX6C/HIGD2A/ACO2/DLAT/NNT/PET100/RMND5A/PDHA1/COA5/NDUFB11/TACO1/NDUFAF4/GOT2/IDH2/NDUFA1/SDHD/UQCRC1/GLO1/UQCC1/DMAC2/SDHAF3/LYRM2/LYRM7/NDUFS7/PET117/COX5B/COX7B/NDUFA8/GSTZ1/ETFB/NDUFAF1/FAHD1/NDUFC2/NDUFB6/COX17/SFXN4/NDUFA9/SMIM20/NDUFAF3/ETFA/ISCA1/ME2/NDUFB10/COQ10A/TMEM177/MT-ATP6/COX6B1/NDUFV3/UBA52/FXN/NDUFA11/NDUFAF6/NDUFS1/COA3/CYC1/NDUFA13/TTC19/TMEM126B/NDUFB4/NDUFS5/TMEM126A/LYRM4/UQCRFS1/UQCRQ/ETFDH/COX4I1/NDUFS8/UQCRC2/HSPA9/NDUFV2/MT-CO2/BCS1L/NDUFA2/NDUFAF5/GOT1/RMND5B/SLC25A13/ME3/COQ10B/NDUFAB1/SIRT3/ACAD9/HSCB/NDUFS6/WDR26/COX5A/SUCLG2/TIMMDC1/HAGH/ARMC8/DLST/PDHB/SURF1/SDHB/CMC1/LETM1/PDP1/MKLN1/COX19/NFS1/TMEM186/COX6A1/RANBP9/NEK1/UCP2/LDHB/UQCRB/TRAP1/IDH3B/UBB/CS/PDHX/UBC/COX15/D2HGDH/NDUFA3/SLC25A12/MT-ND2/MAEA/UQCR10/NDUFB7",214,"CNT","HCKD_vs_Normal"
"R-HSA-9948299","Ribosome-associated quality control","137/4490","145/11230",0.944827586206897,2.36312111204977,13.4838638830929,6.19245316339106e-45,1.71530952625932e-42,9.7992855322434e-43,"ELOB/RPS4Y1/SEM1/ELOC/UFD1/PSMA2/UBE2D3/RPS26/RPL3/PSMA3/RPLP0/RPS17/RPL22L1/RPS29/PSMA4/PSMB4/RPS27L/PSMB5/RPS27A/RBX1/RPSA/PSMA7/UBE2D2/RCHY1/HBS1L/RPL10/PSMB3/PSMB6/PSMD11/RPL36AL/RPL4/RPL37/FAU/PSMC2/PSMD13/RPL38/PSMC4/RPS21/RPL35/RPS20/PSMB1/ADRM1/PSMC1/PSMB2/TCF25/PSMA5/RPL37A/PSMD8/RPL7/RPL13A/PSMD3/RPS5/RPL26/PSMD12/RPS3A/PSMC3/RPL26L1/RPS23/RPL41/RPL18A/RPL39/RPS8/RPS11/RPS10/PSMC5/RPL9/NEMF/RPS15A/UBA52/RPS18/RPL17/RPL29/PELO/RPL6/RPL39L/PSMD7/CUL2/KLHDC10/PSMD14/RPS14/RPL23/PSMB7/RPL7A/RPL31/RPS4X/RPS6/RPS7/UBE2D1/RPL15/ABCE1/RPL24/RPS3/RPL30/PSMC6/NPLOC4/RPL35A/RPS25/RPLP2/RPL32/RPS16/RPS13/RPLP1/RPL36A/RPL28/RPL8/RPS2/RPL22/RPS9/RPS19/RPL21/PSMD2/LTN1/RPL11/RPL14/ASCC2/RPL27A/RPL19/RPS27/RPS15/RPL13/RPL23A/PSMA1/RPL10A/RPL18/PSMD6/RPL34/UBB/UBC/RPS12/PSMD1/RPL27/VCP/RPL12/RPL5/RPS28/RPL36/RPS24",137,"CNT","HCKD_vs_Normal"
"R-HSA-72613","Eukaryotic Translation Initiation","115/4490","120/11230",0.958333333333333,2.39690051967335,12.5563333105509,1.08482962647641e-39,2.25373354900474e-37,1.28752147773911e-37,"RPS4Y1/RPS26/RPL3/EIF3E/EIF2S2/RPLP0/EIF4A2/RPS17/RPL22L1/RPS29/EIF3M/RPS27L/EIF3F/RPS27A/EIF3D/RPSA/EIF3G/RPL10/EIF5B/RPL36AL/RPL4/RPL37/FAU/RPL38/EIF4B/EIF3L/EIF3A/RPS21/RPL35/RPS20/EIF4G1/EIF1AX/EIF4A1/PABPC1/RPL37A/EIF4E/RPL7/RPL13A/EIF3H/RPS5/RPL26/EIF3J/RPS3A/RPL26L1/RPS23/RPL41/RPL18A/RPL39/RPS8/RPS11/RPS10/RPL9/RPS15A/UBA52/RPS18/RPL17/RPL29/RPL6/RPL39L/EIF2B2/RPS14/RPL23/RPL7A/RPL31/RPS4X/EIF5/EIF4H/RPS6/RPS7/RPL15/RPL24/RPS3/RPL30/RPL35A/RPS25/EIF2S3/EIF2S1/RPLP2/RPL32/RPS16/RPS13/RPLP1/RPL36A/RPL28/RPL8/RPS2/RPL22/RPS9/RPS19/RPL21/RPL11/RPL14/RPL27A/RPL19/EIF3I/RPS27/EIF3B/RPS15/RPL13/RPL23A/EIF4EBP1/RPL10A/EIF2B1/RPL18/EIF2B3/RPL34/EIF3K/RPS12/EIF2B5/RPL27/RPL12/RPL5/RPS28/RPL36/RPS24",115,"CNT","HCKD_vs_Normal"
"R-HSA-72737","Cap-dependent Translation Initiation","115/4490","120/11230",0.958333333333333,2.39690051967335,12.5563333105509,1.08482962647641e-39,2.25373354900474e-37,1.28752147773911e-37,"RPS4Y1/RPS26/RPL3/EIF3E/EIF2S2/RPLP0/EIF4A2/RPS17/RPL22L1/RPS29/EIF3M/RPS27L/EIF3F/RPS27A/EIF3D/RPSA/EIF3G/RPL10/EIF5B/RPL36AL/RPL4/RPL37/FAU/RPL38/EIF4B/EIF3L/EIF3A/RPS21/RPL35/RPS20/EIF4G1/EIF1AX/EIF4A1/PABPC1/RPL37A/EIF4E/RPL7/RPL13A/EIF3H/RPS5/RPL26/EIF3J/RPS3A/RPL26L1/RPS23/RPL41/RPL18A/RPL39/RPS8/RPS11/RPS10/RPL9/RPS15A/UBA52/RPS18/RPL17/RPL29/RPL6/RPL39L/EIF2B2/RPS14/RPL23/RPL7A/RPL31/RPS4X/EIF5/EIF4H/RPS6/RPS7/RPL15/RPL24/RPS3/RPL30/RPL35A/RPS25/EIF2S3/EIF2S1/RPLP2/RPL32/RPS16/RPS13/RPLP1/RPL36A/RPL28/RPL8/RPS2/RPL22/RPS9/RPS19/RPL21/RPL11/RPL14/RPL27A/RPL19/EIF3I/RPS27/EIF3B/RPS15/RPL13/RPL23A/EIF4EBP1/RPL10A/EIF2B1/RPL18/EIF2B3/RPL34/EIF3K/RPS12/EIF2B5/RPL27/RPL12/RPL5/RPS28/RPL36/RPS24",115,"CNT","HCKD_vs_Normal"
"R-HSA-611105","Respiratory electron transport","141/4490","157/11230",0.898089171974522,2.24622302923695,12.8344337288,2.09870085738813e-39,3.87560091664342e-37,2.21406803902233e-37,"UQCR11/MT-ND5/NDUFB8/NDUFAF8/DMAC1/MT-ND6/MT-ND1/NDUFA5/UQCC3/MT-CO1/NDUFA7/RAB5IF/MT-ND4/COX11/UQCRH/COX8A/NDUFS2/NDUFB1/PYURF/NDUFA12/NDUFB2/MDH1/NDUFS4/COX7A2L/SDHC/NDUFS3/COX14/TMEM223/COA1/HIGD1A/OXA1L/MT-ND3/NDUFC1/NDUFB5/MT-CYB/NDUFB3/COX20/COX16/ISCU/COX7A1/PNKD/HCCS/SDHA/COX7C/NDUFV1/MDH2/NDUFA6/SCO1/SLC25A11/UQCC2/COX7A2/NDUFB9/NDUFA10/NDUFAF2/TIMM21/MT-CO3/COX6C/HIGD2A/PET100/COA5/NDUFB11/TACO1/NDUFAF4/GOT2/NDUFA1/SDHD/UQCRC1/UQCC1/DMAC2/LYRM2/LYRM7/NDUFS7/PET117/COX5B/COX7B/NDUFA8/ETFB/NDUFAF1/NDUFC2/NDUFB6/COX17/SFXN4/NDUFA9/SMIM20/NDUFAF3/ETFA/NDUFB10/COQ10A/TMEM177/COX6B1/NDUFV3/FXN/NDUFA11/NDUFAF6/NDUFS1/COA3/CYC1/NDUFA13/TTC19/TMEM126B/NDUFB4/NDUFS5/TMEM126A/LYRM4/UQCRFS1/UQCRQ/ETFDH/COX4I1/NDUFS8/UQCRC2/HSPA9/NDUFV2/MT-CO2/BCS1L/NDUFA2/NDUFAF5/GOT1/SLC25A13/COQ10B/NDUFAB1/ACAD9/HSCB/NDUFS6/COX5A/TIMMDC1/SURF1/SDHB/CMC1/LETM1/COX19/NFS1/TMEM186/COX6A1/UQCRB/TRAP1/COX15/NDUFA3/SLC25A12/MT-ND2/UQCR10/NDUFB7",141,"CNT","HCKD_vs_Normal"
"R-HSA-72187","mRNA 3'-end processing","137/4490","152/11230",0.901315789473684,2.25429316610011,12.7073190102101,9.80017989305204e-39,1.62878989822525e-36,9.30501290898204e-37,"HNRNPH1/SNRPN/SF3B6/SRRM1/YBX1/HNRNPA1/HNRNPH2/HNRNPR/PABPN1/HNRNPK/POLR2E/SRSF8/SRSF6/PPP1CA/RPS27A/SRSF3/SRSF9/SNRPF/RBM8A/POLR2C/HNRNPC/SRSF10/PUF60/THOC7/PRPF40A/RBMX/SNRPD2/HNRNPU/POLR2F/POLR2G/POLR2J/U2AF2/ZC3H11A/POLR2H/SRRT/POLR2K/SNRPE/SRSF5/SLU7/SMNDC1/SNRPA/HTATSF1/PTBP1/SRSF7/SF3A1/SF3B4/PCBP2/SRSF4/DHX9/SNRPC/DDX46/SRSF1/PPP1CB/SNRPD1/TRA2B/CPSF6/HNRNPF/ALYREF/XRN2/SRRM2/SARNP/HNRNPL/SRSF2/SNRPA1/NCBP2/RNPS1/NUDT21/CHTOP/SNRPD3/MAGOHB/PAPOLA/SF3B1/FYTTD1/GTF2F1/PCBP1/SRSF11/RBM17/SF3A2/UBA52/SF3B5/THOC1/SNRPB2/SNRNP70/FIP1L1/WDR33/HNRNPD/POLDIP3/PCF11/HNRNPA2B1/SF3B2/SNRPB/DDX42/RBBP6/SNRPG/POLR2I/EIF4A3/U2AF1L4/CHERP/CCAR1/HNRNPA3/DDX5/RBM25/UPF3B/SYMPK/MAGOH/CDC40/U2SURP/THOC3/RBM39/FUS/RBM10/U2AF1/CPSF1/RBM5/POLR2A/THOC6/THOC2/GTF2F2/SF3B3/CPSF7/HNRNPM/DNAJC8/CSTF1/PHF5A/PPP1R10/POLR2B/CSTF3/TCERG1/UBB/UBC/CPSF2/POLR2L/DHX15/PPP1R8/DDX39A/CASC3/SF3A3",137,"CNT","HCKD_vs_Normal"
