"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","CellType","Condition"
"R-HSA-72766","Translation","316/4646","368/11230",0.858695652173913,2.07558161298171,17.622909542826,3.41930688075521e-72,5.68972664957668e-69,3.05218129987413e-69,"MT-ND4L/ELOB/MT-ND1/SSR4/RPS4Y1/SEM1/MT-ND5/RPS10/RPS5/RPS26/MRPL57/RPL3/SPCS2/RPL7A/TRAM1/RPS12/MT-CO1/RPL21/MT-ND4/MT-ATP8/SEC61G/RPS27/RPS29/SPCS1/ELOC/EIF3E/MRPS23/PSMB4/MRPL58/MRPL42/MT-ATP6/PSMA2/EEF1B2/PSMB1/PSMD2/MRPL2/RPL38/EIF4A2/RPS17/PSMA4/PSMD8/RPL13/TUFM/RPL10/RPL15/RPS20/SSR3/MRPL43/MRPL19/UBE2D3/UBA52/PSMB7/EIF4H/RPL13A/RPN2/RPL11/UFD1/MRPL13/VCP/RPS4X/PSMD7/PSMA3/PSMB2/RPS3A/MRPL28/MRPL39/MT-ND3/RPN1/EIF3G/RPL23/UBC/RPS8/IARS2/RPS18/PSMA1/MRPL48/EIF2S3/EIF5B/RPL41/RPS15A/RBX1/MT-CO3/EEF1D/EIF2B1/PABPC1/SEC11A/EIF4G1/MT-ND2/MRPL14/EIF3J/RPL27A/MRPL44/MRPL17/MRPS5/EIF3K/MRPS9/PSMC6/RPL10A/RPS3/RPS23/MRPL55/MRPS11/RPL14/SRP68/MRPS6/MTRF1L/PSMB3/SRPRA/PSMD12/MT-ND6/NPLOC4/RPS2/GADD45GIP1/PPA2/SRP14/MRPL32/KLHDC10/RPL28/MRPL40/MTIF3/RPSA/RPL29/MRPS2/MRPS10/PSMA7/EIF3F/MRPS16/PPA1/MRPL33/RPL19/MRPS22/MRPS18A/PSMD14/RPL27/OXA1L/MRPS28/MRPS7/MRPL11/MRPL47/SEC61A1/LARS2/SSR1/MT-CO2/EIF3M/SSR2/EIF3A/RPL12/PSMC5/RPL35A/PSMC3/SRPRB/EIF3H/RPS24/MRPS21/RPL9/RPLP0/GFM1/RPS15/ETF1/TSFM/PSMD11/RPL31/EIF4B/MRPS17/MTIF2/MRPL49/MRPL54/EIF4A1/RPL7/MRPS18B/CUL2/PSMC4/EIF2S2/RPL36AL/MRPL1/MRPL30/EEF1E1/RPL18/MRPL3/RPS19/MRPL23/PSMB6/RPLP1/MRPL4/MRPL35/ASCC3/TCF25/RPS27A/MRPL51/CARS2/UBE2D2/MRPS26/RPS16/PSMC1/DAP3/MRPL21/ADRM1/EIF3D/MT-CYB/MRPL20/GFM2/RPS21/MRPS34/RPS6/MRPS30/MRPS35/RPL32/PSMC2/RPL4/LTN1/MRPL18/RPL22/SEC11C/TRMT112/RPL8/GSPT1/EEF1A1/RPL26/AIMP1/PSMB5/SEC61B/MRPL16/MRPL27/UBB/MRPS27/MRPL24/RPS11/WARS2/PSMA5/EIF1AX/RPL17/ASCC2/EIF2S1/RPL26L1/RPL18A/MRPL9/APEH/RPS7/SRP19/MRPS15/CHCHD1/MIEF1/MRPL52/MRPL12/MRPL53/FARSA/RPL23A/EIF3L/RPL30/RCHY1/PSMD1/MRPL22/ANKZF1/FARS2/MRPL36/RPS9/PSMD6/MRPS31/EIF3B/EIF4EBP1/RPS13/NDUFAB1/AIMP2/RPL36/RPL5/HBS1L/PTCD3/MRPL50/RPS27L/EIF2B4/SPCS3/DDOST/FAU/MRPS18C/UBE2D1/ABCE1/EEF2/EIF5/MRPS33/MALSU1/RPL6/RPL34/RPL37/AURKAIP1/RPL22L1/FARSB/EIF2B2/EIF2B5/EIF3I/SRP54/MRPS14/RPL39/MRPL10/PSMD3/EIF4E/MRRF/SRP9/MRPL41/MRPS25/RPS25/RPL24/RPL37A/ERAL1/MRPS12/RPLP2/MRPL15/RPL35/MRPL34/MRPL37/MRPL46/PSMD13/RPS14/NEMF/RPL36A/RPS28/SRP72",316,"C_TAL","HCKD_vs_Normal"
"R-HSA-72172","mRNA Splicing","195/4646","213/11230",0.915492957746479,2.2128682555947,15.0119458421525,9.3127960165276e-55,7.74824628575096e-52,4.1564479063239e-52,"SNU13/HNRNPH1/SNRPN/SF3B6/SNRPB2/HNRNPA1/FUS/SDE2/MAGOH/HNRNPU/SRSF6/LSM5/HNRNPD/PNN/HTATSF1/SRSF9/SRSF10/SF3A2/SRSF5/SRSF11/SRSF3/U2AF2/MTREX/SRSF1/YBX1/MAGOHB/HNRNPF/PRCC/POLR2E/POLR2K/SNRPG/PCBP1/SF1/SNRNP70/RBM17/TRA2B/LSM4/HNRNPR/HNRNPK/XAB2/ZMAT2/SNRPD1/ZCRB1/PTBP1/DDX42/RBM42/DDX46/SRSF8/SNRPD2/POLR2I/POLR2A/C9orf78/HNRNPH2/SART1/RBM39/SNRNP200/HNRNPC/ALYREF/ZNF830/HNRNPM/POLR2J/MFAP1/RBM8A/PPIL3/RBM10/TXNL4A/UBL5/LUC7L3/PLRG1/LSM8/HSPA8/ZMAT5/SNRNP27/SF3B5/RNPS1/PCBP2/HNRNPL/EIF4A3/SRRM1/DHX8/PRKRIP1/PRPF4/SF3B4/SNRNP40/POLR2B/RBM5/CDC40/PRPF19/SNRPA1/SRSF2/U2SURP/SNRPD3/DHX9/PPWD1/SNRPB/SNRPF/PRPF38A/DNAJC8/PPIL2/DHX15/CWC25/SLU7/PRPF8/HNRNPA2B1/LSM7/U2AF1/ACIN1/LSM3/CDC5L/CWF19L2/SNIP1/PRPF40A/RNPC3/SF3B1/CASC3/HNRNPA3/TCERG1/CCDC12/SRSF7/EFTUD2/PRPF6/PPIG/NSRP1/FAM50A/POLR2L/POLR2G/CCAR1/USP39/WBP4/RBM7/CWC15/SNRNP35/PPP1R8/SF3A3/DHX38/SNRPE/WBP11/SMU1/PRPF18/DDX41/SYF2/SF3B2/NCBP2/POLR2H/SAP18/SNRNP48/LENG1/BCAS2/SNRNP25/TFIP11/LSM2/PRPF31/CWC27/BUD31/GTF2F2/SUGP1/PHF5A/SNRPC/U2AF1L4/POLR2C/PQBP1/GCFC2/SRRM2/SF3B3/RBMX2/RBMX/LSM6/SRRT/WDR70/CTNNBL1/CRNKL1/NKAP/PUF60/PDCD7/UPF3B/CHERP/PPIL4/SF3A1/GTF2F1/SMNDC1/SRSF4/RBM25/IK/PPIH/SNRPA/POLR2F/PPIE/AQR/DDX23/SNW1/DDX5/FAM32A/CWC22/RBM22/NCBP1",195,"C_TAL","HCKD_vs_Normal"
"R-HSA-72203","Processing of Capped Intron-Containing Pre-mRNA","249/4646","294/11230",0.846938775510204,2.04716367821343,15.2835491133313,2.04283641653097e-54,1.13309326570251e-51,6.07833432006409e-52,"SNU13/HNRNPH1/SNRPN/SF3B6/SNRPB2/HNRNPA1/FUS/SDE2/MAGOH/WTAP/TPR/HNRNPU/SRSF6/LSM5/HNRNPD/NUP62/PNN/HTATSF1/SRSF9/SRSF10/SF3A2/PPP1CA/UBA52/SRSF5/SRSF11/SRSF3/U2AF2/SEC13/RANBP2/MTREX/SRSF1/YBX1/MAGOHB/HNRNPF/PRCC/POLR2E/UBC/POLR2K/SNRPG/PCBP1/SF1/CHTOP/RBBP6/NXF1/SNRNP70/RBM17/TRA2B/LSM4/HNRNPR/HNRNPK/XAB2/ZMAT2/SNRPD1/ZCRB1/SLBP/PTBP1/DDX42/RBM42/DDX46/SRSF8/SNRPD2/PPP1R10/POLR2I/POLR2A/C9orf78/THOC7/HNRNPH2/SART1/RBM39/SNRNP200/HNRNPC/ALYREF/ZNF830/HNRNPM/POLR2J/MFAP1/RBM8A/PPIL3/RBM10/TXNL4A/UBL5/LUC7L3/PLRG1/LSM8/PPP1CB/HSPA8/ZMAT5/SNRNP27/SF3B5/RNPS1/NUP160/PCBP2/HNRNPL/EIF4A3/SRRM1/DHX8/PRKRIP1/PRPF4/SF3B4/SNRNP40/POLR2B/RBM5/CDC40/XRN2/PRPF19/PCF11/SNRPA1/SRSF2/U2SURP/SNRPD3/DHX9/PPWD1/SNRPB/SNRPF/PRPF38A/DNAJC8/PPIL2/DHX15/CWC25/SLU7/PRPF8/HNRNPA2B1/LSM7/U2AF1/ACIN1/LSM3/CDC5L/PABPN1/POM121/CWF19L2/SNIP1/RPS27A/PRPF40A/RNPC3/NUP214/SF3B1/PAPOLA/CSTF3/CASC3/HNRNPA3/TCERG1/NUP155/WDR33/CCDC12/SRSF7/EFTUD2/PRPF6/PPIG/NSRP1/DDX39A/FAM50A/POLR2L/POLR2G/CCAR1/USP39/THOC1/WBP4/NUP50/UBB/RBM7/NUDT21/CWC15/SNRNP35/CPSF1/PPP1R8/SF3A3/DHX38/SNRPE/WBP11/POLDIP3/SMU1/PRPF18/DDX41/SYF2/NUP98/SF3B2/NCBP2/POLR2H/SAP18/SNRNP48/LENG1/BCAS2/SNRNP25/TFIP11/CPSF7/NUP54/LSM2/PRPF31/NXT1/CWC27/BUD31/GTF2F2/NUP88/SUGP1/PHF5A/SNRPC/U2AF1L4/POLR2C/PQBP1/GCFC2/SRRM2/SF3B3/METTL3/RBMX2/NUP37/RBMX/NUP58/THOC2/NUP153/LSM6/SRRT/EIF4E/WDR70/CTNNBL1/CRNKL1/FYTTD1/NKAP/PUF60/PDCD7/CSTF2T/UPF3B/CHERP/PPIL4/SF3A1/GTF2F1/SMNDC1/SRSF4/RBM25/SYMPK/IK/FIP1L1/PPIH/RAE1/CPSF6/SNRPA/POLR2F/PPIE/AAAS/AQR/METTL14/DDX23/SNW1/CPSF2/DDX5/FAM32A/CWC22/RBM22/NCBP1/NUP133",249,"C_TAL","HCKD_vs_Normal"
"R-HSA-72163","mRNA Splicing - Major Pathway","188/4646","205/11230",0.917073170731707,2.21668784057621,14.768351887418,4.1314499552526e-53,1.71868318138508e-50,9.21965674224791e-51,"SNU13/HNRNPH1/SNRPN/SF3B6/SNRPB2/HNRNPA1/FUS/SDE2/MAGOH/HNRNPU/SRSF6/LSM5/HNRNPD/PNN/HTATSF1/SRSF9/SRSF10/SF3A2/SRSF5/SRSF11/SRSF3/U2AF2/MTREX/SRSF1/YBX1/MAGOHB/HNRNPF/PRCC/POLR2E/POLR2K/SNRPG/PCBP1/SF1/SNRNP70/RBM17/TRA2B/LSM4/HNRNPR/HNRNPK/XAB2/ZMAT2/SNRPD1/PTBP1/DDX42/RBM42/DDX46/SRSF8/SNRPD2/POLR2I/POLR2A/C9orf78/HNRNPH2/SART1/RBM39/SNRNP200/HNRNPC/ALYREF/ZNF830/HNRNPM/POLR2J/MFAP1/RBM8A/PPIL3/RBM10/TXNL4A/UBL5/LUC7L3/PLRG1/LSM8/HSPA8/SNRNP27/SF3B5/RNPS1/PCBP2/HNRNPL/EIF4A3/SRRM1/DHX8/PRKRIP1/PRPF4/SF3B4/SNRNP40/POLR2B/RBM5/CDC40/PRPF19/SNRPA1/SRSF2/U2SURP/SNRPD3/DHX9/PPWD1/SNRPB/SNRPF/PRPF38A/DNAJC8/PPIL2/DHX15/CWC25/SLU7/PRPF8/HNRNPA2B1/LSM7/U2AF1/ACIN1/LSM3/CDC5L/CWF19L2/SNIP1/PRPF40A/SF3B1/CASC3/HNRNPA3/TCERG1/CCDC12/SRSF7/EFTUD2/PRPF6/PPIG/NSRP1/FAM50A/POLR2L/POLR2G/CCAR1/USP39/WBP4/RBM7/CWC15/PPP1R8/SF3A3/DHX38/SNRPE/WBP11/SMU1/PRPF18/DDX41/SYF2/SF3B2/NCBP2/POLR2H/SAP18/LENG1/BCAS2/TFIP11/LSM2/PRPF31/CWC27/BUD31/GTF2F2/SUGP1/PHF5A/SNRPC/U2AF1L4/POLR2C/PQBP1/GCFC2/SRRM2/SF3B3/RBMX2/RBMX/LSM6/SRRT/WDR70/CTNNBL1/CRNKL1/NKAP/PUF60/UPF3B/CHERP/PPIL4/SF3A1/GTF2F1/SMNDC1/SRSF4/RBM25/IK/PPIH/SNRPA/POLR2F/PPIE/AQR/DDX23/SNW1/DDX5/FAM32A/CWC22/RBM22/NCBP1",188,"C_TAL","HCKD_vs_Normal"
"R-HSA-1428517","Aerobic respiration and respiratory electron transport","218/4646","258/11230",0.844961240310077,2.04238371258764,14.2285224320055,2.41846795474941e-47,8.04866135340605e-45,4.31760173816316e-45,"ATP5F1D/ATP5MC3/ATP5F1B/ATP5ME/UQCR11/ATP5F1E/ATP5MG/ATP5F1C/ATP5F1A/ATP5PF/ATP5MC2/ATP5PD/MT-ND1/ATP5MF/NDUFB8/ATP5MC1/ATP5PB/ATP5PO/PDK4/LDHA/HIGD1A/MT-ND5/MT-CO1/MT-ND4/MT-ATP8/NDUFA11/NFS1/DMAC1/GLO1/VDAC1/PDHA1/ADHFE1/NDUFAF8/MDH2/MT-ATP6/CS/NDUFV3/NDUFB11/COX7A1/NDUFA13/COX16/UBA52/NDUFS4/COA3/SDHA/ISCU/RAB5IF/MT-ND3/ACO2/IDH2/UBC/NDUFS1/MDH1/NDUFA7/TIMM21/NDUFA12/SDHB/SDHC/MPC2/MT-CO3/SDHD/NDUFB3/NDUFAF3/HSPA9/COX19/MT-ND2/PGAM5/UQCRC1/COX7A2L/ETFB/PNKD/COX7C/NDUFA10/COX17/UQCRFS1/MT-ND6/MPC1/SUCLG1/ARMC8/NDUFA1/NDUFB6/NDUFB2/UQCC3/NDUFB5/COX7A2/COX6C/NDUFV1/NDUFB10/OXA1L/UQCC2/IDH3G/MT-CO2/FOXRED1/NDUFS7/SCO1/PDHB/ETFA/ME3/TMEM177/LETM1/HAGH/SDHAF4/NDUFB4/IDH3B/NDUFA6/NDUFA5/ISCA1/ME2/NDUFB9/LYRM2/NDUFB1/NDUFS2/SDHAF3/SLC25A13/NDUFV2/TACO1/NDUFS3/NNT/PDHX/COX11/GOT1/ETFDH/TMEM223/SURF1/RPS27A/TMEM126A/SUCLG2/COA1/MT-CYB/LYRM4/WDR26/COX20/SDHAF2/PET100/DLST/DLD/NDUFA9/PDK2/COX4I1/TIMMDC1/UBB/UQCR10/NDUFS8/DMAC2/NDUFAF7/COX14/SLC25A11/NDUFB7/GSTZ1/UQCC1/RMND5A/NDUFC1/COX5A/ISCA2/LYRM7/COX15/COA5/NDUFAB1/SLC25A12/UQCRC2/NDUFAF5/NUBPL/COQ10A/COX7B/HSCB/GID8/UQCRH/NDUFS5/SFXN4/NDUFAF6/LDHB/NDUFA8/NDUFS6/FAHD1/SMIM20/NDUFAF1/HIGD2A/RMND5B/OGDH/CMC1/SDHAF1/NDUFAF4/PKM/COX5B/COQ10B/TTC19/TMEM126B/MKLN1/SUCLA2/DLAT/NEK1/IDH3A/TRAP1/MAEA/HCCS/RANBP9/GOT2/COX8A/BCS1L/NDUFA2/D2HGDH/ACAD9/PYURF/CYC1/COX6B1/FH/PDP2/NDUFAF2/SIRT3/PET117/UQCRQ/PDPR/FXN/ACAT1/NDUFC2/COX6A1/NDUFA3/UQCRB",218,"C_TAL","HCKD_vs_Normal"
"R-HSA-9948299","Ribosome-associated quality control","137/4646","145/11230",0.944827586206897,2.28377395460685,13.06983019929,5.9490321687382e-43,1.64986492146339e-40,8.85048996331578e-41,"ELOB/RPS4Y1/SEM1/RPS10/RPS5/RPS26/RPL3/RPL7A/RPS12/RPL21/RPS27/RPS29/ELOC/PSMB4/PSMA2/PSMB1/PSMD2/RPL38/RPS17/PSMA4/PSMD8/RPL13/RPL10/RPL15/RPS20/UBE2D3/UBA52/PSMB7/RPL13A/RPL11/UFD1/VCP/RPS4X/PSMD7/PSMA3/PSMB2/RPS3A/RPL23/UBC/RPS8/RPS18/PSMA1/RPL41/RPS15A/RBX1/RPL27A/PSMC6/RPL10A/RPS3/RPS23/RPL14/PSMB3/PSMD12/NPLOC4/RPS2/KLHDC10/RPL28/RPSA/RPL29/PSMA7/RPL19/PSMD14/RPL27/RPL12/PSMC5/RPL35A/PSMC3/RPS24/RPL9/RPLP0/RPS15/PSMD11/RPL31/RPL7/CUL2/PSMC4/RPL36AL/RPL18/RPS19/PSMB6/RPLP1/ASCC3/TCF25/RPS27A/UBE2D2/RPS16/PSMC1/ADRM1/RPS21/RPS6/RPL32/PSMC2/RPL4/LTN1/RPL22/RPL8/RPL26/PSMB5/UBB/RPS11/PSMA5/RPL17/ASCC2/RPL26L1/RPL18A/RPS7/RPL23A/RPL30/RCHY1/PSMD1/ANKZF1/RPS9/PSMD6/RPS13/RPL36/RPL5/HBS1L/RPS27L/FAU/UBE2D1/ABCE1/RPL6/RPL34/RPL37/RPL22L1/RPL39/PSMD3/RPS25/RPL24/RPL37A/RPLP2/RPL35/PSMD13/RPS14/NEMF/RPL36A/RPS28",137,"C_TAL","HCKD_vs_Normal"
"R-HSA-611105","Respiratory electron transport","143/4646","157/11230",0.910828025477707,2.20159249378275,12.7361925271399,1.05955266124477e-39,2.51870804044472e-37,1.35112880712115e-37,"UQCR11/MT-ND1/NDUFB8/HIGD1A/MT-ND5/MT-CO1/MT-ND4/NDUFA11/NFS1/DMAC1/NDUFAF8/MDH2/NDUFV3/NDUFB11/COX7A1/NDUFA13/COX16/NDUFS4/COA3/SDHA/ISCU/RAB5IF/MT-ND3/NDUFS1/MDH1/NDUFA7/TIMM21/NDUFA12/SDHB/SDHC/MT-CO3/SDHD/NDUFB3/NDUFAF3/HSPA9/COX19/MT-ND2/UQCRC1/COX7A2L/ETFB/PNKD/COX7C/NDUFA10/COX17/UQCRFS1/MT-ND6/NDUFA1/NDUFB6/NDUFB2/UQCC3/NDUFB5/COX7A2/COX6C/NDUFV1/NDUFB10/OXA1L/UQCC2/MT-CO2/FOXRED1/NDUFS7/SCO1/ETFA/TMEM177/LETM1/NDUFB4/NDUFA6/NDUFA5/NDUFB9/LYRM2/NDUFB1/NDUFS2/SLC25A13/NDUFV2/TACO1/NDUFS3/COX11/GOT1/ETFDH/TMEM223/SURF1/TMEM126A/COA1/MT-CYB/LYRM4/COX20/PET100/NDUFA9/COX4I1/TIMMDC1/UQCR10/NDUFS8/DMAC2/NDUFAF7/COX14/SLC25A11/NDUFB7/UQCC1/NDUFC1/COX5A/LYRM7/COX15/COA5/NDUFAB1/SLC25A12/UQCRC2/NDUFAF5/NUBPL/COQ10A/COX7B/HSCB/UQCRH/NDUFS5/SFXN4/NDUFAF6/NDUFA8/NDUFS6/SMIM20/NDUFAF1/HIGD2A/CMC1/NDUFAF4/COX5B/COQ10B/TTC19/TMEM126B/TRAP1/HCCS/GOT2/COX8A/BCS1L/NDUFA2/ACAD9/PYURF/CYC1/COX6B1/NDUFAF2/PET117/UQCRQ/FXN/NDUFC2/COX6A1/NDUFA3/UQCRB",143,"C_TAL","HCKD_vs_Normal"
"R-HSA-72613","Eukaryotic Translation Initiation","114/4646","120/11230",0.95,2.29627636676711,11.9921328026083,1.44503392457596e-36,2.67170716721599e-34,1.43320323747417e-34,"RPS4Y1/RPS10/RPS5/RPS26/RPL3/RPL7A/RPS12/RPL21/RPS27/RPS29/EIF3E/RPL38/EIF4A2/RPS17/RPL13/RPL10/RPL15/RPS20/UBA52/EIF4H/RPL13A/RPL11/RPS4X/RPS3A/EIF3G/RPL23/RPS8/RPS18/EIF2S3/EIF5B/RPL41/RPS15A/EIF2B1/PABPC1/EIF4G1/EIF3J/RPL27A/EIF3K/RPL10A/RPS3/RPS23/RPL14/RPS2/RPL28/RPSA/RPL29/EIF3F/RPL19/RPL27/EIF3M/EIF3A/RPL12/RPL35A/EIF3H/RPS24/RPL9/RPLP0/RPS15/RPL31/EIF4B/EIF4A1/RPL7/EIF2S2/RPL36AL/RPL18/RPS19/RPLP1/RPS27A/RPS16/EIF3D/RPS21/RPS6/RPL32/RPL4/RPL22/RPL8/RPL26/RPS11/EIF1AX/RPL17/EIF2S1/RPL26L1/RPL18A/RPS7/RPL23A/EIF3L/RPL30/RPS9/EIF3B/EIF4EBP1/RPS13/RPL36/RPL5/RPS27L/EIF2B4/FAU/EIF5/RPL6/RPL34/RPL37/RPL22L1/EIF2B2/EIF2B5/EIF3I/RPL39/EIF4E/RPS25/RPL24/RPL37A/RPLP2/RPL35/RPS14/RPL36A/RPS28",114,"C_TAL","HCKD_vs_Normal"
"R-HSA-72737","Cap-dependent Translation Initiation","114/4646","120/11230",0.95,2.29627636676711,11.9921328026083,1.44503392457596e-36,2.67170716721599e-34,1.43320323747417e-34,"RPS4Y1/RPS10/RPS5/RPS26/RPL3/RPL7A/RPS12/RPL21/RPS27/RPS29/EIF3E/RPL38/EIF4A2/RPS17/RPL13/RPL10/RPL15/RPS20/UBA52/EIF4H/RPL13A/RPL11/RPS4X/RPS3A/EIF3G/RPL23/RPS8/RPS18/EIF2S3/EIF5B/RPL41/RPS15A/EIF2B1/PABPC1/EIF4G1/EIF3J/RPL27A/EIF3K/RPL10A/RPS3/RPS23/RPL14/RPS2/RPL28/RPSA/RPL29/EIF3F/RPL19/RPL27/EIF3M/EIF3A/RPL12/RPL35A/EIF3H/RPS24/RPL9/RPLP0/RPS15/RPL31/EIF4B/EIF4A1/RPL7/EIF2S2/RPL36AL/RPL18/RPS19/RPLP1/RPS27A/RPS16/EIF3D/RPS21/RPS6/RPL32/RPL4/RPL22/RPL8/RPL26/RPS11/EIF1AX/RPL17/EIF2S1/RPL26L1/RPL18A/RPS7/RPL23A/EIF3L/RPL30/RPS9/EIF3B/EIF4EBP1/RPS13/RPL36/RPL5/RPS27L/EIF2B4/FAU/EIF5/RPL6/RPL34/RPL37/RPL22L1/EIF2B2/EIF2B5/EIF3I/RPL39/EIF4E/RPS25/RPL24/RPL37A/RPLP2/RPL35/RPS14/RPL36A/RPS28",114,"C_TAL","HCKD_vs_Normal"
"R-HSA-376176","Signaling by ROBO receptors","171/4646","205/11230",0.834146341463415,2.01624266350283,12.3353162225316,8.04012857869008e-36,1.33787739549403e-33,7.17687266813599e-34,"ELOB/RPS4Y1/SEM1/RPS10/RPS5/RPS26/FLRT3/RPL3/RPL7A/RPS12/RPL21/ROBO2/RPS27/RPS29/ELOC/MAGOH/PSMB4/PSMA2/PSMB1/PSMD2/RPL38/RPS17/PSMA4/PSMD8/RPL13/RPL10/RPL15/RPS20/UBA52/PSMB7/RPL13A/RPL11/CDC42/PFN1/RPS4X/PSMD7/PSMA3/PSMB2/RPS3A/RHOA/MAGOHB/PFN2/RPL23/UBC/RPS8/RPS18/PSMA1/RPL41/RPS15A/RBX1/CLASP1/PABPC1/EIF4G1/RPL27A/USP33/PSMC6/RPL10A/RPS3/RPS23/RPL14/PSMB3/PSMD12/RPS2/RPL28/PAK2/RPSA/RPL29/PSMA7/RAC1/RBM8A/RPL19/PSMD14/EVL/RPL27/RNPS1/EIF4A3/RPL12/PSMC5/RPL35A/PSMC3/RPS24/RPL9/RPLP0/CXCR4/RPS15/ETF1/PSMD11/RPL31/RPL7/CUL2/PSMC4/PRKACB/RPL36AL/RPL18/RPS19/PSMB6/RPLP1/RPS27A/SOS2/RPS16/PSMC1/CASC3/ADRM1/DAG1/RPS21/RPS6/RPL32/PSMC2/RPL4/RPL22/RPL8/GSPT1/RPL26/PSMB5/UBB/CAP1/ABL1/PAK4/CXCL12/RPS11/PSMA5/RPL17/RPL26L1/PAK1/RPL18A/ZSWIM8/RPS7/SRGAP3/PAK6/RPL23A/RPL30/PSMD1/NCBP2/CLASP2/RPS9/PSMD6/RPS13/SOS1/NCK1/RPL36/PRKACA/RPL5/VASP/RPS27L/SRGAP1/FAU/RPL6/RPL34/RPL37/RPL22L1/SRC/RPL39/GPC1/PSMD3/PRKAR2A/NCK2/UPF3B/RPS25/RPL24/RPL37A/PPP3CB/RPLP2/RPL35/PSMD13/PRKCA/RPS14/UPF3A/RPL36A/UPF2/RPS28/NCBP1",171,"C_TAL","HCKD_vs_Normal"
