"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","CellType","Condition"
"R-HSA-72766","Translation","295/3588","368/11230",0.801630434782609,2.50900495613397,20.1675395685448,1.21777473511718e-83,2.02394160976475e-80,1.13701704215677e-80,"MRPS6/MT-ND2/ELOB/MT-CYB/SEM1/RPL36A/UBC/MT-ND1/MT-ND5/RPS10/MRPL34/PSMA2/RPS17/ELOC/MRPL57/RPS20/MRPS9/RBX1/MRPL33/MT-ATP6/RPS4Y1/RPL5/EIF4A1/EEF1G/PSMD12/MRPL12/EIF3F/MT-CO3/EIF4EBP1/PPA1/EIF5/ETF1/SEC61G/PSMB3/MRPS21/MRPL37/TRMT112/PPA2/VCP/MRPL52/EIF3E/MRPS34/RPS2/MRPS28/MT-ATP8/RPL14/RPN2/PSMA4/MT-CO1/MRPL18/RPS26/MRPL16/TRAM1/EIF3A/EIF3I/EIF1AX/MRPL42/MRPL41/ERAL1/RPL28/EEF1B2/RPS4X/RPL36AL/RPS27/EIF2B4/MRPS33/RPS23/MTFMT/RPS29/SPCS3/MT-ND4L/PSMB5/MRPS22/MRPS18B/MRPS7/GADD45GIP1/SSR4/RPL7A/PSMB4/SRP19/EEF1E1/PELO/RPL15/MTIF3/MRPS26/FAU/RPLP0/MRPS11/RPL9/MTRF1L/RPS14/SSR3/AURKAIP1/RPS25/SRP14/RPL11/RPL10/APEH/RPS24/RPL32/MRPL54/RPL13A/RPS27L/ABCE1/MRPS18C/RPS3A/MRPL40/RPS8/MRPL46/RPL4/PSMA5/RPL36/PSMC4/RPS5/MT-ND6/RPL7/PSMB6/RPL34/UBE2D1/MRPS18A/RPL35/MRPL36/RPL13/CHCHD1/RPL24/MRPL35/RPS11/MRPL15/RPL22/PABPC1/EIF4B/MT-ND4/EIF4A2/EIF3K/MRPS35/PSMD6/GSPT1/EEF1D/PSMA7/EEF2/RPS6/MRPL3/RPL39/RPL30/RPL39L/MRPL32/RPL6/RPL19/MT-ND3/MRPS15/ASCC3/MRPL47/MRPL4/RPS28/RPL26L1/MRPL22/MRPS12/EIF2S3/SRP68/EIF3H/MALSU1/MRPL1/FARSA/PSMB7/SEC61B/RPS19/MRPL48/SRP72/UBA52/RPL37A/RPLP1/RPL12/MRPL17/PSMC2/MRPL28/PSMB1/MRPL24/PSMA1/RPS27A/PSMD3/RARS2/SSR2/RPL38/MRPL20/UBE2D2/UBE2D3/EIF3G/NEMF/PSMD7/DDOST/RPL23/MRPL49/TSFM/RPL41/PSMD1/ADRM1/EIF5B/EIF3D/PSMD13/RPN1/AIMP1/MRPL2/EIF4E/RPL17/MT-CO2/EIF3L/RPS12/MRPL51/PSMA3/PSMD8/SRP9/RPL18/MRPL14/RPS18/RPS16/TUFM/MRPL55/RPL22L1/MRPL39/PSMC5/PSMB2/EIF3B/LTN1/SEC11C/MRPL43/TCF25/PSMD11/SEC11A/EIF2B1/RPL31/RPL23A/MRPS16/EIF2B5/EEF1A1/CARS2/RPSA/PSMC6/EIF2S2/RPS3/EIF4G1/MRPL23/OXA1L/RPL35A/RPL27A/UBB/MRPS14/RPL26/SSR1/MRPL21/MRPL27/RPL29/EIF4H/RPS15/PSMC1/NDUFAB1/RPL27/RPL37/MRPL9/RPLP2/RPL10A/HBS1L/MRPL13/MRPS27/RPS9/EIF3M/SRP54/PSMD14/EIF3J/RPL18A/MRPL11/PSMD2/RPL8/RPL21/RPL3/RPS21/MRPS10/SEC61A1/MRPS5/MRPS31/MRPL50/EIF2S1/RPS15A/SPCS1/EIF2B2/SPCS2/RCHY1/RPS7/EIF2B3/RPS13/MRPL10/MRPS25/MRPL19/IARS2/PSMC3/MRPS23",295,"VSMC_P","HCKD_vs_Normal"
"R-HSA-72613","Eukaryotic Translation Initiation","116/3588","120/11230",0.966666666666667,3.02554812337421,15.2851392889394,1.70654508806373e-52,9.45425978787306e-50,5.31124734425448e-50,"RPL36A/RPS10/RPS17/RPS20/RPS4Y1/RPL5/EIF4A1/EIF3F/EIF4EBP1/EIF5/EIF3E/RPS2/RPL14/RPS26/EIF3A/EIF3I/EIF1AX/RPL28/RPS4X/RPL36AL/RPS27/EIF2B4/RPS23/RPS29/RPL7A/RPL15/FAU/RPLP0/RPL9/RPS14/RPS25/RPL11/RPL10/RPS24/RPL32/RPL13A/RPS27L/RPS3A/RPS8/RPL4/RPL36/RPS5/RPL7/RPL34/RPL35/RPL13/RPL24/RPS11/RPL22/PABPC1/EIF4B/EIF4A2/EIF3K/RPS6/RPL39/RPL30/RPL39L/RPL6/RPL19/RPS28/RPL26L1/EIF2S3/EIF3H/RPS19/UBA52/RPL37A/RPLP1/RPL12/RPS27A/RPL38/EIF3G/RPL23/RPL41/EIF5B/EIF3D/EIF4E/RPL17/EIF3L/RPS12/RPL18/RPS18/RPS16/RPL22L1/EIF3B/EIF2B1/RPL31/RPL23A/EIF2B5/RPSA/EIF2S2/RPS3/EIF4G1/RPL35A/RPL27A/RPL26/RPL29/EIF4H/RPS15/RPL27/RPL37/RPLP2/RPL10A/RPS9/EIF3M/EIF3J/RPL18A/RPL8/RPL21/RPL3/RPS21/EIF2S1/RPS15A/EIF2B2/RPS7/EIF2B3/RPS13",116,"VSMC_P","HCKD_vs_Normal"
"R-HSA-72737","Cap-dependent Translation Initiation","116/3588","120/11230",0.966666666666667,3.02554812337421,15.2851392889394,1.70654508806373e-52,9.45425978787306e-50,5.31124734425448e-50,"RPL36A/RPS10/RPS17/RPS20/RPS4Y1/RPL5/EIF4A1/EIF3F/EIF4EBP1/EIF5/EIF3E/RPS2/RPL14/RPS26/EIF3A/EIF3I/EIF1AX/RPL28/RPS4X/RPL36AL/RPS27/EIF2B4/RPS23/RPS29/RPL7A/RPL15/FAU/RPLP0/RPL9/RPS14/RPS25/RPL11/RPL10/RPS24/RPL32/RPL13A/RPS27L/RPS3A/RPS8/RPL4/RPL36/RPS5/RPL7/RPL34/RPL35/RPL13/RPL24/RPS11/RPL22/PABPC1/EIF4B/EIF4A2/EIF3K/RPS6/RPL39/RPL30/RPL39L/RPL6/RPL19/RPS28/RPL26L1/EIF2S3/EIF3H/RPS19/UBA52/RPL37A/RPLP1/RPL12/RPS27A/RPL38/EIF3G/RPL23/RPL41/EIF5B/EIF3D/EIF4E/RPL17/EIF3L/RPS12/RPL18/RPS18/RPS16/RPL22L1/EIF3B/EIF2B1/RPL31/RPL23A/EIF2B5/RPSA/EIF2S2/RPS3/EIF4G1/RPL35A/RPL27A/RPL26/RPL29/EIF4H/RPS15/RPL27/RPL37/RPLP2/RPL10A/RPS9/EIF3M/EIF3J/RPL18A/RPL8/RPL21/RPL3/RPS21/EIF2S1/RPS15A/EIF2B2/RPS7/EIF2B3/RPS13",116,"VSMC_P","HCKD_vs_Normal"
"R-HSA-9948299","Ribosome-associated quality control","133/3588","145/11230",0.917241379310345,2.87085303502095,15.5363525130738,3.05891674314899e-52,1.2709799067784e-49,7.14015566098198e-50,"ELOB/SEM1/RPL36A/UBC/RPS10/PSMA2/RPS17/ELOC/RPS20/RBX1/RPS4Y1/RPL5/PSMD12/PSMB3/VCP/RPS2/RPL14/PSMA4/RPS26/RPL28/RPS4X/RPL36AL/RPS27/RPS23/RPS29/PSMB5/RPL7A/PSMB4/PELO/RPL15/FAU/RPLP0/RPL9/RPS14/RPS25/RPL11/RPL10/RPS24/RPL32/RPL13A/RPS27L/ABCE1/RPS3A/RPS8/RPL4/PSMA5/RPL36/PSMC4/RPS5/RPL7/PSMB6/RPL34/UBE2D1/RPL35/RPL13/RPL24/RPS11/RPL22/PSMD6/PSMA7/RPS6/RPL39/RPL30/RPL39L/RPL6/RPL19/ASCC3/RPS28/RPL26L1/PSMB7/RPS19/UBA52/RPL37A/RPLP1/RPL12/PSMC2/PSMB1/PSMA1/RPS27A/PSMD3/RPL38/UBE2D2/UBE2D3/NEMF/PSMD7/RPL23/RPL41/PSMD1/ADRM1/PSMD13/RPL17/RPS12/PSMA3/PSMD8/RPL18/RPS18/RPS16/RPL22L1/PSMC5/PSMB2/LTN1/TCF25/PSMD11/RPL31/RPL23A/RPSA/PSMC6/RPS3/RPL35A/RPL27A/UBB/RPL26/RPL29/RPS15/PSMC1/RPL27/RPL37/RPLP2/RPL10A/HBS1L/RPS9/PSMD14/RPL18A/PSMD2/RPL8/RPL21/RPL3/RPS21/RPS15A/RCHY1/RPS7/RPS13/PSMC3",133,"VSMC_P","HCKD_vs_Normal"
"R-HSA-72706","GTP hydrolysis and joining of the 60S ribosomal subunit","109/3588","113/11230",0.964601769911504,3.01908524975089,14.7806426229576,4.5742086085383e-49,1.52046694147813e-46,8.54173270689152e-47,"RPL36A/RPS10/RPS17/RPS20/RPS4Y1/RPL5/EIF4A1/EIF3F/EIF5/EIF3E/RPS2/RPL14/RPS26/EIF3A/EIF3I/EIF1AX/RPL28/RPS4X/RPL36AL/RPS27/RPS23/RPS29/RPL7A/RPL15/FAU/RPLP0/RPL9/RPS14/RPS25/RPL11/RPL10/RPS24/RPL32/RPL13A/RPS27L/RPS3A/RPS8/RPL4/RPL36/RPS5/RPL7/RPL34/RPL35/RPL13/RPL24/RPS11/RPL22/EIF4B/EIF4A2/EIF3K/RPS6/RPL39/RPL30/RPL39L/RPL6/RPL19/RPS28/RPL26L1/EIF2S3/EIF3H/RPS19/UBA52/RPL37A/RPLP1/RPL12/RPS27A/RPL38/EIF3G/RPL23/RPL41/EIF5B/EIF3D/EIF4E/RPL17/EIF3L/RPS12/RPL18/RPS18/RPS16/RPL22L1/EIF3B/RPL31/RPL23A/RPSA/EIF2S2/RPS3/EIF4G1/RPL35A/RPL27A/RPL26/RPL29/EIF4H/RPS15/RPL27/RPL37/RPLP2/RPL10A/RPS9/EIF3M/EIF3J/RPL18A/RPL8/RPL21/RPL3/RPS21/EIF2S1/RPS15A/RPS7/RPS13",109,"VSMC_P","HCKD_vs_Normal"
"R-HSA-156827","L13a-mediated translational silencing of Ceruloplasmin expression","108/3588","112/11230",0.964285714285714,3.01809603440038,14.7072253503817,1.40987321002739e-48,3.90534879177588e-46,2.19396059174438e-46,"RPL36A/RPS10/RPS17/RPS20/RPS4Y1/RPL5/EIF4A1/EIF3F/EIF3E/RPS2/RPL14/RPS26/EIF3A/EIF3I/EIF1AX/RPL28/RPS4X/RPL36AL/RPS27/RPS23/RPS29/RPL7A/RPL15/FAU/RPLP0/RPL9/RPS14/RPS25/RPL11/RPL10/RPS24/RPL32/RPL13A/RPS27L/RPS3A/RPS8/RPL4/RPL36/RPS5/RPL7/RPL34/RPL35/RPL13/RPL24/RPS11/RPL22/PABPC1/EIF4B/EIF4A2/EIF3K/RPS6/RPL39/RPL30/RPL39L/RPL6/RPL19/RPS28/RPL26L1/EIF2S3/EIF3H/RPS19/UBA52/RPL37A/RPLP1/RPL12/RPS27A/RPL38/EIF3G/RPL23/RPL41/EIF3D/EIF4E/RPL17/EIF3L/RPS12/RPL18/RPS18/RPS16/RPL22L1/EIF3B/RPL31/RPL23A/RPSA/EIF2S2/RPS3/EIF4G1/RPL35A/RPL27A/RPL26/RPL29/EIF4H/RPS15/RPL27/RPL37/RPLP2/RPL10A/RPS9/EIF3M/EIF3J/RPL18A/RPL8/RPL21/RPL3/RPS21/EIF2S1/RPS15A/RPS7/RPS13",108,"VSMC_P","HCKD_vs_Normal"
"R-HSA-72172","mRNA Splicing","170/3588","213/11230",0.7981220657277,2.49802419122689,15.1241228075212,1.11172843627091e-47,2.63956094440323e-45,1.48286183905609e-45,"SF3B6/SNU13/RBM39/DDX5/CDC5L/HSPA8/SRRM1/U2AF1/HNRNPH1/U2SURP/TXNL4A/LSM8/RBM8A/SNRPN/PNN/PCBP2/SRSF7/SRRM2/SNRPF/LSM7/SRSF10/YBX1/FUS/UBL5/RBM22/SRSF5/HNRNPA3/POLR2L/POLR2F/PTBP1/SRSF9/HNRNPA2B1/SNRPG/SF3B5/PPIE/SNRNP25/PRPF40A/FAM32A/POLR2E/HNRNPD/POLR2H/SF3A2/WBP4/SNRPD2/LENG1/PRPF31/PRPF18/SNRPD3/DDX46/SF3B1/SYF2/DNAJC8/CASC3/ZMAT5/LSM4/POLR2B/PUF60/RBM7/SF1/SRSF3/SMU1/GTF2F1/SRRT/SRSF11/HNRNPM/ACIN1/LUC7L3/SF3A1/HNRNPA1/MAGOH/PPIG/SNW1/SNRNP40/SNRNP200/HNRNPU/POLR2J/NSRP1/POLR2A/RBM42/ZCRB1/PRPF38A/MAGOHB/PQBP1/RBMX/RNPC3/POLR2K/MFAP1/DDX41/SF3A3/RBM25/PCBP1/PLRG1/SNRPE/SNRPD1/ZMAT2/XAB2/LSM3/ALYREF/CWC15/HNRNPH2/SRSF1/CWF19L2/EIF4A3/LSM2/PPIL4/HNRNPL/GPKOW/SLU7/RNF113A/SRSF2/SNRPA/SRSF6/IK/PRPF3/SNRNP70/PRPF8/SNRPB2/LSM6/HTATSF1/WBP11/SF3B4/SNRPB/CDC40/POLR2I/CTNNBL1/SNRNP27/FAM50A/RBM17/LSM5/PRCC/DHX9/HNRNPC/TRA2B/SF3B2/HNRNPK/ISY1/AQR/PPIH/HNRNPF/SRSF4/C9orf78/BCAS2/PHF5A/SNRPA1/RNPS1/DDX42/NKAP/RBMX2/PRPF6/PDCD7/CRNKL1/HNRNPR/SNRNP35/WDR70/U2AF2/SNRPC/POLR2G/CCAR1/CWC22/PPWD1/TCERG1/NCBP2/POLR2C/RBM5/SAP18/BUD31/ZNF830/CCDC12/CWC27/DHX15",170,"VSMC_P","HCKD_vs_Normal"
"R-HSA-72203","Processing of Capped Intron-Containing Pre-mRNA","212/3588","294/11230",0.72108843537415,2.2569183749308,14.9638977205406,2.20438059646902e-46,4.57960068916438e-44,2.57274419614213e-44,"SF3B6/UBC/SNU13/RBM39/DDX5/CDC5L/HSPA8/SRRM1/U2AF1/PPP1CB/HNRNPH1/U2SURP/TXNL4A/LSM8/RBM8A/SNRPN/PNN/PCBP2/SRSF7/SRRM2/SNRPF/LSM7/SRSF10/YBX1/TPR/NXT1/DDX39A/FUS/UBL5/RBM22/SRSF5/WTAP/HNRNPA3/POLR2L/POLR2F/PTBP1/SRSF9/HNRNPA2B1/SNRPG/THOC3/SF3B5/PPIE/SNRNP25/PRPF40A/FAM32A/POLR2E/HNRNPD/POLR2H/THOC6/SF3A2/WBP4/RBBP6/SNRPD2/LENG1/PRPF31/PRPF18/SNRPD3/DDX46/PABPN1/SF3B1/SYF2/DNAJC8/CASC3/ZC3H11A/ZMAT5/LSM4/POLR2B/PUF60/PPP1R10/RBM7/SF1/SRSF3/SMU1/GTF2F1/SRRT/SRSF11/HNRNPM/CPSF6/SARNP/ACIN1/LUC7L3/POLDIP3/SF3A1/HNRNPA1/AAAS/MAGOH/PPIG/SNW1/SNRNP40/SNRNP200/HNRNPU/POLR2J/NUP205/FIP1L1/NSRP1/POLR2A/RBM42/ZCRB1/PRPF38A/MAGOHB/PQBP1/RBMX/RNPC3/POLR2K/MFAP1/DDX41/UBA52/SF3A3/RPS27A/RBM25/PCBP1/PLRG1/XRN2/SNRPE/SNRPD1/ZMAT2/XAB2/EIF4E/LSM3/ALYREF/CWC15/HNRNPH2/SRSF1/CWF19L2/WDR33/SLBP/EIF4A3/LSM2/PPIL4/HNRNPL/GPKOW/SLU7/RNF113A/SRSF2/SNRPA/SRSF6/IK/NUP133/PRPF3/SNRNP70/PRPF8/SNRPB2/LSM6/HTATSF1/WBP11/SF3B4/SNRPB/SEC13/CDC40/POLR2I/CTNNBL1/SNRNP27/FAM50A/PAPOLA/RBM17/LSM5/PRCC/PPP1CA/DHX9/HNRNPC/TRA2B/UBB/CPSF2/NUP37/SF3B2/HNRNPK/ISY1/AQR/PPIH/RANBP2/HNRNPF/SRSF4/C9orf78/BCAS2/PHF5A/CHTOP/SNRPA1/THOC7/RNPS1/DDX42/NKAP/RBMX2/NUP54/FYTTD1/THOC2/PRPF6/PDCD7/CRNKL1/HNRNPR/NUP214/SNRNP35/WDR70/U2AF2/SNRPC/PCF11/POLR2G/CCAR1/CWC22/PPWD1/TCERG1/NCBP2/POLR2C/RBM5/SAP18/NXF1/BUD31/SYMPK/ZNF830/CCDC12/CWC27/DHX15/NUDT21",212,"VSMC_P","HCKD_vs_Normal"
"R-HSA-72163","mRNA Splicing - Major Pathway","164/3588","205/11230",0.8,2.50390189520624,14.8901948032269,2.8039475036887e-46,5.17795639014514e-44,2.90889056815425e-44,"SF3B6/SNU13/RBM39/DDX5/CDC5L/HSPA8/SRRM1/U2AF1/HNRNPH1/U2SURP/TXNL4A/LSM8/RBM8A/SNRPN/PNN/PCBP2/SRSF7/SRRM2/SNRPF/LSM7/SRSF10/YBX1/FUS/UBL5/RBM22/SRSF5/HNRNPA3/POLR2L/POLR2F/PTBP1/SRSF9/HNRNPA2B1/SNRPG/SF3B5/PPIE/PRPF40A/FAM32A/POLR2E/HNRNPD/POLR2H/SF3A2/WBP4/SNRPD2/LENG1/PRPF31/PRPF18/SNRPD3/DDX46/SF3B1/SYF2/DNAJC8/CASC3/LSM4/POLR2B/PUF60/RBM7/SF1/SRSF3/SMU1/GTF2F1/SRRT/SRSF11/HNRNPM/ACIN1/LUC7L3/SF3A1/HNRNPA1/MAGOH/PPIG/SNW1/SNRNP40/SNRNP200/HNRNPU/POLR2J/NSRP1/POLR2A/RBM42/PRPF38A/MAGOHB/PQBP1/RBMX/POLR2K/MFAP1/DDX41/SF3A3/RBM25/PCBP1/PLRG1/SNRPE/SNRPD1/ZMAT2/XAB2/LSM3/ALYREF/CWC15/HNRNPH2/SRSF1/CWF19L2/EIF4A3/LSM2/PPIL4/HNRNPL/GPKOW/SLU7/RNF113A/SRSF2/SNRPA/SRSF6/IK/PRPF3/SNRNP70/PRPF8/SNRPB2/LSM6/HTATSF1/WBP11/SF3B4/SNRPB/CDC40/POLR2I/CTNNBL1/SNRNP27/FAM50A/RBM17/LSM5/PRCC/DHX9/HNRNPC/TRA2B/SF3B2/HNRNPK/ISY1/AQR/PPIH/HNRNPF/SRSF4/C9orf78/BCAS2/PHF5A/SNRPA1/RNPS1/DDX42/NKAP/RBMX2/PRPF6/CRNKL1/HNRNPR/WDR70/U2AF2/SNRPC/POLR2G/CCAR1/CWC22/PPWD1/TCERG1/NCBP2/POLR2C/RBM5/SAP18/BUD31/ZNF830/CCDC12/CWC27/DHX15",164,"VSMC_P","HCKD_vs_Normal"
"R-HSA-9010553","Regulation of expression of SLITs and ROBOs","137/3588","159/11230",0.861635220125786,2.69681257581176,14.7649592425276,3.30048331584991e-46,5.48540327094255e-44,3.0816091591146e-44,"ELOB/SEM1/RPL36A/UBC/RPS10/PSMA2/RPS17/ELOC/RPS20/RBX1/RPS4Y1/RPL5/PSMD12/RBM8A/ETF1/PSMB3/RPS2/RPL14/PSMA4/RPS26/RPL28/RPS4X/RPL36AL/RPS27/RPS23/RPS29/PSMB5/RPL7A/PSMB4/RPL15/ZSWIM8/FAU/RPLP0/RPL9/RPS14/RPS25/RPL11/RPL10/RPS24/RPL32/CASC3/RPL13A/RPS27L/RPS3A/RPS8/DAG1/RPL4/PSMA5/RPL36/PSMC4/RPS5/RPL7/PSMB6/RPL34/RPL35/RPL13/RPL24/RPS11/RPL22/PABPC1/MAGOH/PSMD6/GSPT1/PSMA7/RPS6/RPL39/RPL30/RPL39L/RPL6/RPL19/RPS28/RPL26L1/MAGOHB/PSMB7/RPS19/UBA52/RPL37A/RPLP1/RPL12/UPF2/PSMC2/PSMB1/PSMA1/RPS27A/PSMD3/RPL38/PSMD7/RPL23/RPL41/PSMD1/ADRM1/PSMD13/RPL17/RPS12/PSMA3/PSMD8/RPL18/EIF4A3/RPS18/RPS16/RPL22L1/PSMC5/PSMB2/PSMD11/RPL31/RPL23A/RPSA/PSMC6/RPS3/EIF4G1/RPL35A/UPF3A/RPL27A/UBB/RPL26/RPL29/RPS15/PSMC1/RPL27/RPL37/RNPS1/RPLP2/RPL10A/RPS9/PSMD14/RPL18A/PSMD2/RPL8/RPL21/RPL3/RPS21/RPS15A/USP33/NCBP2/RPS7/RPS13/PSMC3",137,"VSMC_P","HCKD_vs_Normal"
