"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","CellType","Condition"
"R-HSA-72766","Translation","295/3932","368/11230",0.801630434782609,2.28949892741828,18.4614309951321,6.93032660715234e-73,1.15251331476943e-69,6.74794959117465e-70,"RPS4Y1/MT-ND4L/RPS2/RPS26/MT-ND1/RPL9/MT-CYB/RPS27A/MT-ND5/RPS4X/RPL10A/MT-CO3/RPL8/MT-CO2/RPL19/RPL18A/EEF1B2/RPS3/RPL13/RPL34/RPL18/RPS7/RPS10/RPL23A/RPS14/RPS23/RPL37A/UBC/RPS16/RPLP1/PSMA7/RPL24/RPL21/MT-ATP8/MT-ATP6/RPS19/RPL39L/PSMC1/RPS18/RPL26/MT-ND2/RPS8/MRPL21/RPL15/EEF1A1/RPL37/RPL27A/RPL30/FAU/EIF2S2/MT-ND3/UBB/RPL6/RPL3/RPL4/ADRM1/RPL5/PSMB1/RPS13/RPL12/RPS20/RPL7/RPS12/RPS24/RPS6/RPL10/RPS11/RPL36AL/PPA1/RPL32/SEC11C/MRPL33/RPS9/MRPL51/RPL14/MRPL18/EIF4A1/PSMC2/RPL7A/SEC61G/SSR1/PSMD1/RPL11/PSMB4/RPL35A/RPS25/MALSU1/PSMA5/RPS28/PPA2/RPS15/MRPL17/RPL22/RPLP2/SEM1/RPL28/PSMD13/RCHY1/RPL35/SRP19/EEF1D/RPS21/TRAM1/PSMB7/MRPS18B/RPL27/RPL22L1/NDUFAB1/RPS29/RPS15A/AURKAIP1/EIF2B2/RPL39/EIF3M/TCF25/MRPL9/PSMD8/EIF2S3/MRPL36/RPL26L1/RPL38/PSMD3/ELOB/SSR3/EIF5/RPS17/PSMD14/SRP9/MRPL57/MRPS22/MRPL11/EIF3H/RPL36/PSMD7/MRPS33/MRPL35/MRPS7/EIF4H/MT-CO1/RPL17/RPL36A/MRPL14/MRPL19/RPS3A/MT-ND4/MRPL48/EIF4E/NPLOC4/EIF4G1/MRPS18C/MRPL4/SPCS1/EIF1AX/SEC61A1/PSMC4/EIF3G/AIMP1/SSR2/GSPT1/EIF5B/SRPRB/PSMA3/MRPS2/RPS5/EIF3J/PSMD6/RPN1/MRPS23/ELOC/RPL13A/MRPL16/SRP14/EIF3K/SEC11A/RPS27/EIF3E/MRPS34/MRPL55/OXA1L/MRPS31/RPL29/SPCS2/PSMA2/MRPL15/MRPL40/EIF3F/PABPC1/RPLP0/TRMT112/MRPL28/MRPS26/MRPL41/KLHDC10/MRPL50/RPL41/CUL2/MRPS16/PSMA4/RPSA/UBE2D3/MRPL27/UBA52/RBX1/EIF3A/EIF4EBP1/MRPS18A/PSMC6/RPL23/IARS2/EIF3I/MRPS25/DAP3/PSMD12/EIF3D/MRPS21/GADD45GIP1/MRPL46/MRPL2/PSMB5/MRPL3/MRPL20/MRPS5/MRPL13/PSMB6/ETF1/MRPL43/MRPS28/EIF2S1/MRPL52/MRPL32/MRPL42/EEF2/TSFM/UBE2D2/ABCE1/MRPL22/SPCS3/CHCHD1/MRPS9/RPL31/CARS2/MT-ND6/PSMC5/SSR4/EIF3L/SEC61B/PSMA1/MRPL54/MRPL24/MRPL37/PSMB2/MRPS11/MRPL44/MRPL23/MTIF3/MRPL1/EIF2B1/VARS2/MRPS35/MRPS12/VCP/MRPL34/PSMD2/DDOST/EIF3B/NEMF/EIF2B5/MRPL10/ASCC3/PTCD3/EIF4A2/MRPS14/MRPS30/TUFM/PSMB3/FARSA/RPN2/EIF4B/MRPL47/EEF1E1/HBS1L/APEH/MRPS27/MRPL39/MRPS6/PSMC3/RPS27L/PSMD11/SRP72/MRPS10/MRPL12/MRPS15/RARS2/SRP54/MRPL49",295,"aPT","HCKD_vs_Normal"
"R-HSA-9948299","Ribosome-associated quality control","133/3932","145/11230",0.917241379310345,2.61968990072614,14.4086533361994,4.28098476711408e-47,3.55963883385535e-44,2.08416363662133e-44,"RPS4Y1/RPS2/RPS26/RPL9/RPS27A/RPS4X/RPL10A/RPL8/RPL19/RPL18A/RPS3/RPL13/RPL34/RPL18/RPS7/RPS10/RPL23A/RPS14/RPS23/RPL37A/UBC/RPS16/RPLP1/PSMA7/RPL24/RPL21/RPS19/RPL39L/PSMC1/RPS18/RPL26/RPS8/RPL15/RPL37/RPL27A/RPL30/FAU/UBB/RPL6/RPL3/RPL4/ADRM1/RPL5/PSMB1/RPS13/RPL12/RPS20/RPL7/RPS12/RPS24/RPS6/RPL10/RPS11/RPL36AL/RPL32/RPS9/RPL14/PSMC2/RPL7A/PSMD1/RPL11/PSMB4/RPL35A/RPS25/PSMA5/RPS28/RPS15/RPL22/RPLP2/SEM1/RPL28/PSMD13/RCHY1/RPL35/RPS21/PSMB7/RPL27/RPL22L1/RPS29/RPS15A/RPL39/TCF25/PSMD8/RPL26L1/RPL38/PSMD3/ELOB/RPS17/PSMD14/RPL36/PSMD7/RPL17/RPL36A/RPS3A/NPLOC4/PSMC4/PSMA3/RPS5/PSMD6/ELOC/RPL13A/RPS27/RPL29/PSMA2/RPLP0/KLHDC10/RPL41/CUL2/PSMA4/RPSA/UBE2D3/UBA52/RBX1/PSMC6/RPL23/PSMD12/PSMB5/PSMB6/UBE2D2/ABCE1/RPL31/PSMC5/PSMA1/PSMB2/VCP/PSMD2/NEMF/ASCC3/PSMB3/HBS1L/PSMC3/RPS27L/PSMD11",133,"aPT","HCKD_vs_Normal"
"R-HSA-72706","GTP hydrolysis and joining of the 60S ribosomal subunit","109/3932","113/11230",0.964601769911504,2.75495368161399,13.7621549569667,9.52567636139993e-45,3.74933956204985e-42,2.19523315181575e-42,"RPS4Y1/RPS2/RPS26/RPL9/RPS27A/RPS4X/RPL10A/RPL8/RPL19/RPL18A/RPS3/RPL13/RPL34/RPL18/RPS7/RPS10/RPL23A/RPS14/RPS23/RPL37A/RPS16/RPLP1/RPL24/RPL21/RPS19/RPL39L/RPS18/RPL26/RPS8/RPL15/RPL37/RPL27A/RPL30/FAU/EIF2S2/RPL6/RPL3/RPL4/RPL5/RPS13/RPL12/RPS20/RPL7/RPS12/RPS24/RPS6/RPL10/RPS11/RPL36AL/RPL32/RPS9/RPL14/EIF4A1/RPL7A/RPL11/RPL35A/RPS25/RPS28/RPS15/RPL22/RPLP2/RPL28/RPL35/RPS21/RPL27/RPL22L1/RPS29/RPS15A/RPL39/EIF3M/EIF2S3/RPL26L1/RPL38/EIF5/RPS17/EIF3H/RPL36/EIF4H/RPL17/RPL36A/RPS3A/EIF4E/EIF4G1/EIF1AX/EIF3G/EIF5B/RPS5/EIF3J/RPL13A/EIF3K/RPS27/EIF3E/RPL29/EIF3F/RPLP0/RPL41/RPSA/UBA52/EIF3A/RPL23/EIF3I/EIF3D/EIF2S1/RPL31/EIF3L/EIF3B/EIF4A2/EIF4B/RPS27L",109,"aPT","HCKD_vs_Normal"
"R-HSA-72613","Eukaryotic Translation Initiation","114/3932","120/11230",0.95,2.7132502543235,13.8493619146084,1.12728188877025e-44,3.74933956204985e-42,2.19523315181575e-42,"RPS4Y1/RPS2/RPS26/RPL9/RPS27A/RPS4X/RPL10A/RPL8/RPL19/RPL18A/RPS3/RPL13/RPL34/RPL18/RPS7/RPS10/RPL23A/RPS14/RPS23/RPL37A/RPS16/RPLP1/RPL24/RPL21/RPS19/RPL39L/RPS18/RPL26/RPS8/RPL15/RPL37/RPL27A/RPL30/FAU/EIF2S2/RPL6/RPL3/RPL4/RPL5/RPS13/RPL12/RPS20/RPL7/RPS12/RPS24/RPS6/RPL10/RPS11/RPL36AL/RPL32/RPS9/RPL14/EIF4A1/RPL7A/RPL11/RPL35A/RPS25/RPS28/RPS15/RPL22/RPLP2/RPL28/RPL35/RPS21/RPL27/RPL22L1/RPS29/RPS15A/EIF2B2/RPL39/EIF3M/EIF2S3/RPL26L1/RPL38/EIF5/RPS17/EIF3H/RPL36/EIF4H/RPL17/RPL36A/RPS3A/EIF4E/EIF4G1/EIF1AX/EIF3G/EIF5B/RPS5/EIF3J/RPL13A/EIF3K/RPS27/EIF3E/RPL29/EIF3F/PABPC1/RPLP0/RPL41/RPSA/UBA52/EIF3A/EIF4EBP1/RPL23/EIF3I/EIF3D/EIF2S1/RPL31/EIF3L/EIF2B1/EIF3B/EIF2B5/EIF4A2/EIF4B/RPS27L",114,"aPT","HCKD_vs_Normal"
"R-HSA-72737","Cap-dependent Translation Initiation","114/3932","120/11230",0.95,2.7132502543235,13.8493619146084,1.12728188877025e-44,3.74933956204985e-42,2.19523315181575e-42,"RPS4Y1/RPS2/RPS26/RPL9/RPS27A/RPS4X/RPL10A/RPL8/RPL19/RPL18A/RPS3/RPL13/RPL34/RPL18/RPS7/RPS10/RPL23A/RPS14/RPS23/RPL37A/RPS16/RPLP1/RPL24/RPL21/RPS19/RPL39L/RPS18/RPL26/RPS8/RPL15/RPL37/RPL27A/RPL30/FAU/EIF2S2/RPL6/RPL3/RPL4/RPL5/RPS13/RPL12/RPS20/RPL7/RPS12/RPS24/RPS6/RPL10/RPS11/RPL36AL/RPL32/RPS9/RPL14/EIF4A1/RPL7A/RPL11/RPL35A/RPS25/RPS28/RPS15/RPL22/RPLP2/RPL28/RPL35/RPS21/RPL27/RPL22L1/RPS29/RPS15A/EIF2B2/RPL39/EIF3M/EIF2S3/RPL26L1/RPL38/EIF5/RPS17/EIF3H/RPL36/EIF4H/RPL17/RPL36A/RPS3A/EIF4E/EIF4G1/EIF1AX/EIF3G/EIF5B/RPS5/EIF3J/RPL13A/EIF3K/RPS27/EIF3E/RPL29/EIF3F/PABPC1/RPLP0/RPL41/RPSA/UBA52/EIF3A/EIF4EBP1/RPL23/EIF3I/EIF3D/EIF2S1/RPL31/EIF3L/EIF2B1/EIF3B/EIF2B5/EIF4A2/EIF4B/RPS27L",114,"aPT","HCKD_vs_Normal"
"R-HSA-72172","mRNA Splicing","173/3932","213/11230",0.812206572769953,2.31970493698031,14.2728379307071,2.56527579865502e-44,6.34783599590202e-42,3.71664923645243e-42,"HNRNPH1/SRSF6/ZCRB1/MAGOHB/HNRNPA1/SNRPD1/PCBP2/HNRNPK/RBM8A/SNRPB/HSPA8/RNPS1/SRSF7/CWC27/RBM22/PCBP1/SNRPA1/NSRP1/SF3B1/SNRPC/BUD31/SNW1/SAP18/DDX42/HNRNPC/SRSF10/LSM6/LSM5/GTF2F2/CCDC12/DNAJC8/CWC22/HNRNPA2B1/POLR2A/SNRNP70/PPIL4/LENG1/BCAS2/POLR2I/PDCD7/RBM17/POLR2E/WDR70/RBM42/RBMX2/MAGOH/U2AF1/POLR2L/SNRNP200/HNRNPR/SRSF3/TRA2B/PPIE/NCBP2/SNRNP25/FAM50A/SRSF4/SYF2/PPIG/SF3A3/PPIL2/PRPF40A/SF1/PHF5A/SRSF2/HNRNPH2/SLU7/CDC5L/C9orf78/POLR2G/SF3A1/CTNNBL1/SNRPN/PNN/CWC25/PPIL3/SMNDC1/SRSF9/PUF60/NKAP/HNRNPA3/SRRM2/SNRPD3/PRPF38A/HNRNPL/SRSF1/POLR2C/WBP4/PRPF6/SNRPA/POLR2K/HNRNPD/ZMAT2/SMU1/DDX5/PLRG1/IK/PPIH/RBM7/PRKRIP1/UBL5/CWC15/POLR2H/SNU13/LSM2/RBM39/LSM3/PRPF31/SRSF11/DDX46/CASC3/U2SURP/SNRPG/HNRNPM/ZNF830/U2AF1L4/PRPF8/PQBP1/EIF4A3/SF3A2/TXNL4A/CWF19L2/SNRPB2/SNRPF/PTBP1/AQR/HTATSF1/DDX41/HNRNPU/SNRNP35/RBM5/XAB2/POLR2J/SRRM1/SNRNP40/SRSF5/TCERG1/LSM8/DHX9/POLR2F/SRRT/ACIN1/PRCC/SF3B2/SF3B3/PPWD1/RBMX/SF3B5/WBP11/CCAR1/LUC7L3/DHX15/SF3B6/YBX1/RNPC3/MFAP1/GTF2F1/SF3B4/POLR2B/RBM10/SNRPD2/SNRPE/SNRNP27/LSM4/HNRNPF/RBM25/CDC40/FUS/LSM7/ZMAT5/U2AF2/FAM32A/ALYREF",173,"aPT","HCKD_vs_Normal"
"R-HSA-156827","L13a-mediated translational silencing of Ceruloplasmin expression","108/3932","112/11230",0.964285714285714,2.75405101002761,13.6934620178748,2.6719694510712e-44,6.34783599590202e-42,3.71664923645243e-42,"RPS4Y1/RPS2/RPS26/RPL9/RPS27A/RPS4X/RPL10A/RPL8/RPL19/RPL18A/RPS3/RPL13/RPL34/RPL18/RPS7/RPS10/RPL23A/RPS14/RPS23/RPL37A/RPS16/RPLP1/RPL24/RPL21/RPS19/RPL39L/RPS18/RPL26/RPS8/RPL15/RPL37/RPL27A/RPL30/FAU/EIF2S2/RPL6/RPL3/RPL4/RPL5/RPS13/RPL12/RPS20/RPL7/RPS12/RPS24/RPS6/RPL10/RPS11/RPL36AL/RPL32/RPS9/RPL14/EIF4A1/RPL7A/RPL11/RPL35A/RPS25/RPS28/RPS15/RPL22/RPLP2/RPL28/RPL35/RPS21/RPL27/RPL22L1/RPS29/RPS15A/RPL39/EIF3M/EIF2S3/RPL26L1/RPL38/RPS17/EIF3H/RPL36/EIF4H/RPL17/RPL36A/RPS3A/EIF4E/EIF4G1/EIF1AX/EIF3G/RPS5/EIF3J/RPL13A/EIF3K/RPS27/EIF3E/RPL29/EIF3F/PABPC1/RPLP0/RPL41/RPSA/UBA52/EIF3A/RPL23/EIF3I/EIF3D/EIF2S1/RPL31/EIF3L/EIF3B/EIF4A2/EIF4B/RPS27L",108,"aPT","HCKD_vs_Normal"
"R-HSA-72163","mRNA Splicing - Major Pathway","167/3932","205/11230",0.814634146341463,2.32663821551745,14.0706934361491,3.85118025602462e-43,8.00564095721119e-41,4.68729175897734e-41,"HNRNPH1/SRSF6/MAGOHB/HNRNPA1/SNRPD1/PCBP2/HNRNPK/RBM8A/SNRPB/HSPA8/RNPS1/SRSF7/CWC27/RBM22/PCBP1/SNRPA1/NSRP1/SF3B1/SNRPC/BUD31/SNW1/SAP18/DDX42/HNRNPC/SRSF10/LSM6/LSM5/GTF2F2/CCDC12/DNAJC8/CWC22/HNRNPA2B1/POLR2A/SNRNP70/PPIL4/LENG1/BCAS2/POLR2I/RBM17/POLR2E/WDR70/RBM42/RBMX2/MAGOH/U2AF1/POLR2L/SNRNP200/HNRNPR/SRSF3/TRA2B/PPIE/NCBP2/FAM50A/SRSF4/SYF2/PPIG/SF3A3/PPIL2/PRPF40A/SF1/PHF5A/SRSF2/HNRNPH2/SLU7/CDC5L/C9orf78/POLR2G/SF3A1/CTNNBL1/SNRPN/PNN/CWC25/PPIL3/SMNDC1/SRSF9/PUF60/NKAP/HNRNPA3/SRRM2/SNRPD3/PRPF38A/HNRNPL/SRSF1/POLR2C/WBP4/PRPF6/SNRPA/POLR2K/HNRNPD/ZMAT2/SMU1/DDX5/PLRG1/IK/PPIH/RBM7/PRKRIP1/UBL5/CWC15/POLR2H/SNU13/LSM2/RBM39/LSM3/PRPF31/SRSF11/DDX46/CASC3/U2SURP/SNRPG/HNRNPM/ZNF830/U2AF1L4/PRPF8/PQBP1/EIF4A3/SF3A2/TXNL4A/CWF19L2/SNRPB2/SNRPF/PTBP1/AQR/HTATSF1/DDX41/HNRNPU/RBM5/XAB2/POLR2J/SRRM1/SNRNP40/SRSF5/TCERG1/LSM8/DHX9/POLR2F/SRRT/ACIN1/PRCC/SF3B2/SF3B3/PPWD1/RBMX/SF3B5/WBP11/CCAR1/LUC7L3/DHX15/SF3B6/YBX1/MFAP1/GTF2F1/SF3B4/POLR2B/RBM10/SNRPD2/SNRPE/SNRNP27/LSM4/HNRNPF/RBM25/CDC40/FUS/LSM7/U2AF2/FAM32A/ALYREF",167,"aPT","HCKD_vs_Normal"
"R-HSA-72203","Processing of Capped Intron-Containing Pre-mRNA","216/3932","294/11230",0.73469387755102,2.09832457906866,14.0071726931965,3.32207200323733e-42,5.88860466593097e-40,3.44776992498411e-40,"HNRNPH1/RPS27A/SRSF6/ZCRB1/UBC/MAGOHB/HNRNPA1/SNRPD1/UBB/PCBP2/WTAP/HNRNPK/RBM8A/PPP1CB/PPP1R10/SNRPB/HSPA8/RNPS1/SLBP/SRSF7/NXT1/CWC27/THOC1/RBM22/PCBP1/SNRPA1/TPR/NSRP1/SF3B1/SNRPC/BUD31/SNW1/SAP18/FIP1L1/DDX42/HNRNPC/SRSF10/LSM6/LSM5/POM121/GTF2F2/THOC7/CCDC12/PABPN1/DNAJC8/CWC22/HNRNPA2B1/POLR2A/SNRNP70/PPIL4/LENG1/BCAS2/POLR2I/PDCD7/RBM17/THOC6/POLR2E/EIF4E/WDR70/RBM42/RBMX2/DDX39A/MAGOH/U2AF1/POLR2L/SNRNP200/HNRNPR/CPSF7/SRSF3/TRA2B/PPIE/NCBP2/SNRNP25/FAM50A/SRSF4/SYF2/PPIG/SF3A3/PPIL2/RANBP2/PRPF40A/THOC2/SF1/NUP214/PHF5A/SRSF2/HNRNPH2/SLU7/CDC5L/CPSF6/C9orf78/POLR2G/SF3A1/CTNNBL1/SNRPN/PNN/CWC25/PPIL3/SMNDC1/NUP54/SRSF9/PUF60/WDR33/NKAP/NUP62/HNRNPA3/SRRM2/SNRPD3/PRPF38A/HNRNPL/SRSF1/UBA52/POLR2C/SEC13/SYMPK/WBP4/PRPF6/SNRPA/POLR2K/RBBP6/HNRNPD/NUDT21/ZMAT2/SMU1/DDX5/PLRG1/IK/PPIH/CHTOP/RBM7/PRKRIP1/NUP50/UBL5/CWC15/POLR2H/SNU13/LSM2/RBM39/LSM3/PCF11/PRPF31/SRSF11/DDX46/CASC3/U2SURP/NUP153/SNRPG/NUP37/HNRNPM/ZNF830/POLDIP3/U2AF1L4/PRPF8/PQBP1/EIF4A3/SF3A2/TXNL4A/CWF19L2/SNRPB2/SNRPF/PTBP1/AQR/HTATSF1/FYTTD1/DDX41/HNRNPU/SNRNP35/RBM5/XAB2/AAAS/POLR2J/SRRM1/SNRNP40/SRSF5/TCERG1/LSM8/PPP1CA/DHX9/POLR2F/SRRT/ACIN1/PRCC/SF3B2/SF3B3/PPWD1/RBMX/PAPOLA/SF3B5/WBP11/CCAR1/CSTF3/LUC7L3/DHX15/SF3B6/YBX1/RNPC3/MFAP1/XRN2/ZC3H11A/GTF2F1/SF3B4/POLR2B/RBM10/SNRPD2/SNRPE/SNRNP27/LSM4/HNRNPF/RBM25/CDC40/FUS/LSM7/ZMAT5/U2AF2/FAM32A/ALYREF",216,"aPT","HCKD_vs_Normal"
"R-HSA-9010553","Regulation of expression of SLITs and ROBOs","138/3932","159/11230",0.867924528301887,2.47883836541968,13.7848235598323,3.54095289592963e-42,5.88860466593097e-40,3.44776992498411e-40,"RPS4Y1/RPS2/RPS26/RPL9/RPS27A/RPS4X/RPL10A/RPL8/RPL19/RPL18A/RPS3/RPL13/RPL34/RPL18/RPS7/RPS10/RPL23A/RPS14/RPS23/RPL37A/UBC/RPS16/RPLP1/PSMA7/RPL24/MAGOHB/RPL21/RPS19/RPL39L/PSMC1/RPS18/RPL26/RPS8/RPL15/RPL37/RPL27A/RPL30/FAU/UBB/RPL6/RPL3/RPL4/RBM8A/ADRM1/RPL5/PSMB1/RPS13/RPL12/RPS20/RPL7/RPS12/RPS24/RPS6/RPL10/RPS11/RPL36AL/RPL32/RNPS1/RPS9/RPL14/PSMC2/RPL7A/PSMD1/RPL11/PSMB4/RPL35A/RPS25/PSMA5/RPS28/RPS15/RPL22/RPLP2/SEM1/RPL28/PSMD13/RPL35/RPS21/PSMB7/USP33/RPL27/RPL22L1/RPS29/RPS15A/RPL39/PSMD8/RPL26L1/RPL38/PSMD3/ELOB/RPS17/PSMD14/RPL36/DAG1/PSMD7/RPL17/RPL36A/RPS3A/EIF4G1/MAGOH/PSMC4/GSPT1/PSMA3/RPS5/NCBP2/PSMD6/ELOC/RPL13A/RPS27/RPL29/PSMA2/PABPC1/RPLP0/RPL41/CUL2/PSMA4/RPSA/UBA52/RBX1/PSMC6/RPL23/PSMD12/PSMB5/PSMB6/ETF1/RPL31/CASC3/PSMC5/PSMA1/EIF4A3/PSMB2/ZSWIM8/PSMD2/PSMB3/UPF3A/UPF2/PSMC3/RPS27L/PSMD11",138,"aPT","HCKD_vs_Normal"
