group,names,scores,logfoldchanges,pvals,pvals_adj
B cells_Acute Kidney Injury (AKI),LAX1,4.5841875,7.3771486,4.557550962908276e-06,4.6517384750966955e-05
B cells_Acute Kidney Injury (AKI),IGLL5,4.376475,7.3069406,1.2061422013688174e-05,0.00011488556546716801
B cells_Acute Kidney Injury (AKI),PKHD1L1,5.894721,7.1661973,3.7531492169438785e-09,6.160302955787347e-08
B cells_Diabetic Kidney Disease (DKD),AMPD1,3.7339067,8.754725,0.00018853235899650688,0.0043203156227108125
C-TAL_Acute Kidney Injury (AKI),PRODH,7.2561593,4.9282026,3.982358902578697e-13,9.359109097040417e-12
C-TAL_Acute Kidney Injury (AKI),ADAMTS15,3.0525076,2.586969,0.0022693799140902156,0.015855950455499417
C-TAL_Acute Kidney Injury (AKI),DGCR6,2.8870354,1.5573633,0.0038889039371840725,0.025461779042623853
C-TAL_Diabetic Kidney Disease (DKD),FRG2C,3.4517431,4.9319897,0.000556977945839933,0.0031809458453302356
C-TAL_Diabetic Kidney Disease (DKD),GDF6,4.6301026,4.722737,3.65484273276446e-06,3.16262411158933e-05
C-TAL_Diabetic Kidney Disease (DKD),PPM1E,2.617399,3.5505838,0.00886027133768436,0.03726313911590944
C-TAL_Normal Reference,VGF,4.266593,5.4407825,1.9848088684208794e-05,0.0001947726140452162
C-TAL_Normal Reference,TENT5B,5.926049,5.0077133,3.1030977626487813e-09,5.78161627061082e-08
C-TAL_Normal Reference,LYPD6,3.9423757,4.1517706,8.067848276808753e-05,0.000697400991326023
CCD-IC-A_Acute Kidney Injury (AKI),NTN1,3.1032746,4.075807,0.0019139191912289058,0.019853161767324292
CCD-IC-A_Acute Kidney Injury (AKI),FOXRED1,2.7834234,1.5181321,0.005378854771786521,0.04599129312620568
CCD-IC-A_Diabetic Kidney Disease (DKD),INSYN1,2.9196968,6.4954624,0.0035037208279456097,0.019163325982928962
CCD-IC-A_Diabetic Kidney Disease (DKD),SPINK7,2.8654084,5.0113525,0.004164715803456355,0.02218455343470231
CCD-IC-A_Diabetic Kidney Disease (DKD),CR1L,3.9302526,4.635242,8.485671284545984e-05,0.0006788947359903932
CCD-IC-A_Normal Reference,ENDOV,3.765319,1.5329843,0.0001663364987731638,0.003061220658734144
CNT_Acute Kidney Injury (AKI),TRPV5,4.1117673,5.037739,3.926418305275693e-05,0.0006119558803791123
CNT_Acute Kidney Injury (AKI),KLHDC7B,4.539384,3.8564694,5.641889466246685e-06,0.00010452974380632856
CNT_Acute Kidney Injury (AKI),TRIB3,2.83709,2.4987907,0.004552677126294788,0.04021807979491103
CNT_Diabetic Kidney Disease (DKD),HBD,3.1758592,3.9773362,0.0014939341040076382,0.022409011560114572
CNT_Normal Reference,CBARP,7.384326,5.2487655,1.5322738137762426e-13,3.3847089784950516e-12
CNT_Normal Reference,CGA,3.547948,5.0985723,0.0003882451662337825,0.0027110012516111254
CNT_Normal Reference,FOSL1,6.258731,4.5541744,3.881234025286184e-10,6.2465969794124426e-09
Classical monocytes_Acute Kidney Injury (AKI),MCEMP1,2.6457605,6.3469462,0.008150750803855526,0.0390315982777973
