Condition,majority_voting,count,total,proportion
Acute Kidney Injury (AKI),B cells,282,12573,2.2429014554998807
Acute Kidney Injury (AKI),C-TAL,1030,12573,8.19215779845701
Acute Kidney Injury (AKI),CCD-IC-A,186,12573,1.4793605344786447
Acute Kidney Injury (AKI),CNT,408,12573,3.245048914340253
Acute Kidney Injury (AKI),Classical monocytes,279,12573,2.219040801717967
Acute Kidney Injury (AKI),DC,611,12573,4.859619820249741
Acute Kidney Injury (AKI),DCT,178,12573,1.4157321243935417
Acute Kidney Injury (AKI),DTL,241,12573,1.916805853813728
Acute Kidney Injury (AKI),EC-AEA,93,12573,0.7396802672393223
Acute Kidney Injury (AKI),EC-AVR,0,12573,0.0
Acute Kidney Injury (AKI),EC-DVR,148,12573,1.1771255865744055
Acute Kidney Injury (AKI),EC-GC,75,12573,0.5965163445478405
Acute Kidney Injury (AKI),EC-LYM,29,12573,0.23065298655849836
Acute Kidney Injury (AKI),EC-PTC,539,12573,4.286964129483815
Acute Kidney Injury (AKI),IC-B,58,12573,0.4613059731169967
Acute Kidney Injury (AKI),M-TAL,6,12573,0.047721307563827246
Acute Kidney Injury (AKI),NK cells,124,12573,0.9862403563190965
Acute Kidney Injury (AKI),Non-classical monocytes,237,12573,1.8849916487711764
Acute Kidney Injury (AKI),PC,1388,12573,11.03952914976537
Acute Kidney Injury (AKI),PT,1643,12573,13.067684721228028
Acute Kidney Injury (AKI),Podocytes,37,12573,0.29428139664360137
Acute Kidney Injury (AKI),T cells,271,12573,2.155412391632864
Acute Kidney Injury (AKI),VSMC/P,301,12573,2.3940189294520002
Acute Kidney Injury (AKI),aPT,2507,12573,19.939553010419154
Acute Kidney Injury (AKI),aTAL,1631,12573,12.972242106100374
Acute Kidney Injury (AKI),dATL,1,12573,0.007953551260637876
Acute Kidney Injury (AKI),dC-IC-A,184,12573,1.4634534319573689
Acute Kidney Injury (AKI),dVSMC,86,12573,0.6840054084148572
Diabetic Kidney Disease (DKD),B cells,77,12530,0.6145251396648044
Diabetic Kidney Disease (DKD),C-TAL,991,12530,7.909018355945731
Diabetic Kidney Disease (DKD),CCD-IC-A,512,12530,4.086193136472466
Diabetic Kidney Disease (DKD),CNT,382,12530,3.048683160415004
