"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","CellType","Condition"
"R-HSA-72766","Translation","276/2986","368/11230",0.75,2.82066309444072,21.3719943227614,1.56887798445327e-86,2.55570223667438e-83,1.5176830186448e-83,"ELOB/EIF4A1/MT-ND1/MT-CYB/RPS26/RPS2/UBC/MT-CO3/RPS4Y1/EEF1A1/RPS4X/SEM1/RPL10/MRPL57/MT-ND2/RPL3/RPL9/RPL10A/RPL15/MT-ND3/RPL5/RPS16/RPS7/MT-ND4L/MT-ND5/MT-ATP6/RPS3A/RPL6/MT-ATP8/RPS6/RPL7A/RPS11/RPS20/RPL36/RPL24/RPL35A/RPL23A/EIF4E/RPL35/EIF5/RPL26/EIF1AX/UBB/RPS5/SSR1/RPL37A/SEC61G/RPS23/UBE2D3/RPS27A/ELOC/RPS13/RPL13A/RPL19/SRP14/RPS14/RPL4/SRP9/RPS10/RPSA/EEF1D/EEF1B2/MRPL58/TCF25/EIF3I/MRPL47/MT-CO2/RPS29/RPL14/RPL22/PSMC5/EIF2S2/RPL12/RPLP1/RPL13/EIF5B/RPL34/FAU/SPCS3/MTIF3/AURKAIP1/PSMA2/MRPL19/MRPS16/IARS2/RPS3/UBE2D1/RPLP0/MT-ND4/UFD1/RPL36A/PSMA7/PSMB3/SEC61B/RPL37/PSMC4/PSMB4/RPS18/RPL11/MRPL52/SRPRA/RPS28/PSMB6/RPL29/EIF3K/RPL31/SRP72/RPN1/RPL27A/NDUFAB1/EIF3J/RPL21/RPS12/RPL30/RPL8/RPL28/PSMB7/RPL32/PABPC1/UBE2D2/MT-CO1/RPL39/RPL23/PSMD8/PSMA4/MRPL4/EIF3A/SSR3/ABCE1/MRPL41/PSMB1/OXA1L/RPL38/EIF3B/PSMC1/RPS27L/MRPS33/GSPT1/UBA52/MRPL40/MRPL2/RPS21/EIF3M/TRAM1/MRPL42/RPS9/RPN2/APEH/TRMT112/MRPL34/EIF3L/ADRM1/EIF4EBP1/RPS25/PSMD2/MALSU1/EEF2/SPCS2/MRPS34/RPL36AL/MRPL54/DAP3/EIF4A2/MT-ND6/MRPS26/CHCHD1/MRPL13/PSMA5/SEC61A1/MRPL11/PSMD11/EIF3H/MRPS6/RPLP2/MRPL12/MRPL22/RPL27/MRPS15/PSMC3/PSMD12/VCP/MRPL55/SEC11A/MRPL33/MRPS12/RPS27/LTN1/EIF2S3/RPS15A/RPL18/EIF4B/AIMP1/PPA2/MRPL32/EIF3F/PSMB2/MRPL36/RBX1/MRPL37/MRPS21/MRPL51/PSMB5/ASCC3/PSMA3/MRPS14/MRPL17/MRPS25/MRPL18/MRPL3/PSMD14/PSMD1/EIF4G1/SRP19/EIF2S1/EIF4H/FARSA/SSR2/RPL7/PSMD3/MRPL44/EIF3G/NEMF/PPA1/RPS17/RPS15/RPS24/MRPL20/PSMD13/MRPL15/PSMC2/EIF3E/MRPL9/EIF3D/MRPS35/PSMD6/RPL41/PSMD7/MRPS11/SPCS1/RPL22L1/SSR4/DDOST/RPL17/RPS8/CARS2/MRPL21/MRPS18B/MRPS28/TUFM/MRPS18C/MRPL50/MRPL35/MRPL43/MRPL27/MRPL1/MRPL23/RPL18A/MRPS23/MRPL14/SRP54/PSMC6/PSMA1/MRPL28/CUL2/GADD45GIP1/MRPS5/EEF1E1/SEC11C/ETF1/MRPS7/MRPL24/RPS19/MRPL16/MRPS10/SRPRB/RPL26L1",276,"DC","AKI_vs_Normal"
"R-HSA-6798695","Neutrophil degranulation","296/2986","469/11230",0.631130063965885,2.37360703896078,18.2881200693618,1.60600345587536e-64,1.30808981481048e-61,7.76798513657606e-62,"ALDOA/HLA-B/C5AR1/ADA2/EEF1A1/PLAUR/HSP90AA1/FCGR2A/HSP90AB1/FTH1/CAP1/S100A9/CTSZ/GM2A/MMP9/CYBB/RAP2B/ADGRE5/RAC1/TUBB4B/CTSC/CD55/FTL/DYNLL1/PKM/NAPRT/HSPA1A/RNASET2/CTSB/IST1/FPR1/SRP14/SIRPA/LGALS3/GRN/CYSTM1/DPP7/HEXB/PYCARD/RHOG/LAMP1/CYB5R3/ARHGAP45/TIMP2/BRI3/FABP5/GLA/HMGB1/ANXA2/COTL1/NDUFC2/RAP1B/CTSH/RAB5C/CD47/ILF2/PECAM1/PSMA2/NCSTN/PRCP/CLEC12A/SLC11A1/FCER1G/TNFRSF1B/CST3/APRT/VAPA/LAMTOR3/CD36/CD59/CYBA/LAMTOR1/NBEAL2/LAIR1/ERP44/ITGB2/NIT2/NCKAP1L/SERPINA1/RAB18/IMPDH1/ARPC5/B2M/CD93/HK3/SVIP/GNS/CD68/OSTF1/ATP6AP2/MANBA/S100A8/CREG1/RAB14/PTPRC/CTSD/PSMB7/TRAPPC1/FGL2/FUCA1/C3AR1/CFD/MLEC/CYFIP1/SLC2A3/LTA4H/PTAFR/CD63/RETN/ADAM8/NEU1/GUSB/PPIA/GCA/VAMP8/CAT/KCNAB2/GYG1/ACLY/PSMB1/ATP6V1D/HEBP2/DYNLT1/B4GALT1/QSOX1/GAA/CD300A/HLA-C/HSPA1B/SERPINB6/HSPA8/LAMTOR2/APEH/SNAP29/HSPA6/CPNE1/MAGT1/RAB31/MGST1/GDI2/CTSA/CD44/DOK3/TSPAN14/ARHGAP9/DNAJC13/RAB7A/CSNK2B/ACAA1/ASAH1/CAPN1/ITGAL/PRDX6/PSMD2/EEF2/ACTR10/ATP6V0A1/MNDA/CD53/LILRB2/TLR2/RHOA/SPTAN1/TMEM30A/YPEL5/ARSA/CMTM6/FUCA2/KCMF1/DNAJC5/ANPEP/ADAM10/PSMA5/KPNB1/PTPRJ/CNN2/DOCK2/PNP/MIF/PSMD11/PRDX4/NFKB1/PGAM1/IQGAP2/PA2G4/FCN1/MVP/ITGAM/ACTR2/DDX3X/PLAC8/TCIRG1/CAND1/PDXK/PSMC3/GSTP1/PSMD12/VCP/NPC2/RAP2C/COMMD9/PFKL/PSAP/OLR1/PDAP1/ITGAX/VAT1/ITGAV/ARMC8/IDH1/GPI/PLAU/CPNE3/RAP1A/AMPD3/PTPN6/OSCAR/TMC6/CCT8/RAB10/PGRMC1/CLEC5A/XRCC5/DEGS1/PRKCD/SURF4/GSDMD/A1BG/GLIPR1/PAFAH1B2/PSMD14/LAMP2/PSMD1/TUBB/HVCN1/IQGAP1/PSMD3/CDK13/S100A11/DNAJC3/HUWE1/CCT2/ALOX5/ANO6/CAB39/C1orf35/TMEM179B/STOM/PSMD13/ARL8A/PSMC2/GOLGA7/PSMD6/PSMD7/CPPED1/FGR/BIN2/DDOST/UBR4/CTSS/TYROBP/AGPAT2/CSTB/SNAP23/COPB1/GLB1/NHLRC3/ATG7/GMFG/CD33/STK10/PTGES2/XRCC6/SERPINB1/TMBIM1/COMMD3/IGF2R/RAB6A/DERA/DYNC1LI1/CR1/ALDH3B1/C3/CD14/BST2/PLEKHO2/DIAPH1/PPIE/TOLLIP/LYZ/CD58/MAPK1/AP2A2/DYNC1H1/IMPDH2/ATP8B4",296,"DC","AKI_vs_Normal"
"R-HSA-9948299","Ribosome-associated quality control","131/2986","145/11230",0.903448275862069,3.39776427928032,17.4891655785925,9.01492176076271e-60,4.89510251609415e-57,2.90691687654068e-57,"ELOB/RPS26/RPS2/UBC/RPS4Y1/RPS4X/SEM1/RPL10/RPL3/RPL9/RPL10A/RPL15/RPL5/RPS16/RPS7/RPS3A/RPL6/RPS6/RPL7A/RPS11/RPS20/RPL36/RPL24/RPL35A/RPL23A/RPL35/RPL26/UBB/RPS5/RPL37A/RPS23/UBE2D3/RPS27A/ELOC/RPS13/RPL13A/RPL19/RPS14/RPL4/RPS10/RPSA/TCF25/RPS29/RPL14/RPL22/PSMC5/RPL12/RPLP1/RPL13/RPL34/FAU/PSMA2/RPS3/UBE2D1/RPLP0/UFD1/RPL36A/PSMA7/PSMB3/RPL37/PSMC4/PSMB4/RPS18/RPL11/RPS28/PSMB6/RPL29/RPL31/RPL27A/RPL21/RPS12/RPL30/RPL8/RPL28/PSMB7/RPL32/UBE2D2/RPL39/RPL23/PSMD8/PSMA4/ABCE1/PSMB1/RPL38/PSMC1/RPS27L/UBA52/RPS21/RPS9/ADRM1/RPS25/PSMD2/RPL36AL/PSMA5/PSMD11/RPLP2/RPL27/PSMC3/PSMD12/VCP/RPS27/LTN1/RPS15A/RPL18/PSMB2/RBX1/PSMB5/ASCC3/PSMA3/PSMD14/PSMD1/RPL7/PSMD3/NEMF/RPS17/RPS15/RPS24/PSMD13/PSMC2/PSMD6/RPL41/PSMD7/RPL22L1/RPL17/RPS8/RPL18A/PSMC6/PSMA1/CUL2/RPS19/RPL26L1",131,"DC","AKI_vs_Normal"
"R-HSA-72706","GTP hydrolysis and joining of the 60S ribosomal subunit","108/2986","113/11230",0.955752212389381,3.59447332388906,16.6817296909121,5.5730931379625e-56,2.26964218043523e-53,1.34780857731251e-53,"EIF4A1/RPS26/RPS2/RPS4Y1/RPS4X/RPL10/RPL3/RPL9/RPL10A/RPL15/RPL5/RPS16/RPS7/RPS3A/RPL6/RPS6/RPL7A/RPS11/RPS20/RPL36/RPL24/RPL35A/RPL23A/EIF4E/RPL35/EIF5/RPL26/EIF1AX/RPS5/RPL37A/RPS23/RPS27A/RPS13/RPL13A/RPL19/RPS14/RPL4/RPS10/RPSA/EIF3I/RPS29/RPL14/RPL22/EIF2S2/RPL12/RPLP1/RPL13/EIF5B/RPL34/FAU/RPS3/RPLP0/RPL36A/RPL37/RPS18/RPL11/RPS28/RPL29/EIF3K/RPL31/RPL27A/EIF3J/RPL21/RPS12/RPL30/RPL8/RPL28/RPL32/RPL39/RPL23/EIF3A/RPL38/EIF3B/RPS27L/UBA52/RPS21/EIF3M/RPS9/EIF3L/RPS25/RPL36AL/EIF4A2/EIF3H/RPLP2/RPL27/RPS27/EIF2S3/RPS15A/RPL18/EIF4B/EIF3F/EIF4G1/EIF2S1/EIF4H/RPL7/EIF3G/RPS17/RPS15/RPS24/EIF3E/EIF3D/RPL41/RPL22L1/RPL17/RPS8/RPL18A/RPS19/RPL26L1",108,"DC","AKI_vs_Normal"
"R-HSA-156827","L13a-mediated translational silencing of Ceruloplasmin expression","107/2986","112/11230",0.955357142857143,3.59298751315664,16.5974952457817,2.05728332990259e-55,6.70262908882264e-53,3.98030185301154e-53,"EIF4A1/RPS26/RPS2/RPS4Y1/RPS4X/RPL10/RPL3/RPL9/RPL10A/RPL15/RPL5/RPS16/RPS7/RPS3A/RPL6/RPS6/RPL7A/RPS11/RPS20/RPL36/RPL24/RPL35A/RPL23A/EIF4E/RPL35/RPL26/EIF1AX/RPS5/RPL37A/RPS23/RPS27A/RPS13/RPL13A/RPL19/RPS14/RPL4/RPS10/RPSA/EIF3I/RPS29/RPL14/RPL22/EIF2S2/RPL12/RPLP1/RPL13/RPL34/FAU/RPS3/RPLP0/RPL36A/RPL37/RPS18/RPL11/RPS28/RPL29/EIF3K/RPL31/RPL27A/EIF3J/RPL21/RPS12/RPL30/RPL8/RPL28/RPL32/PABPC1/RPL39/RPL23/EIF3A/RPL38/EIF3B/RPS27L/UBA52/RPS21/EIF3M/RPS9/EIF3L/RPS25/RPL36AL/EIF4A2/EIF3H/RPLP2/RPL27/RPS27/EIF2S3/RPS15A/RPL18/EIF4B/EIF3F/EIF4G1/EIF2S1/EIF4H/RPL7/EIF3G/RPS17/RPS15/RPS24/EIF3E/EIF3D/RPL41/RPL22L1/RPL17/RPS8/RPL18A/RPS19/RPL26L1",107,"DC","AKI_vs_Normal"
"R-HSA-1799339","SRP-dependent cotranslational protein targeting to membrane","107/2986","113/11230",0.946902654867257,3.56119116348268,16.4677348125232,2.88068199504655e-54,7.81240844572584e-52,4.63933531170046e-52,"RPS26/RPS2/RPS4Y1/RPS4X/RPL10/RPL3/RPL9/RPL10A/RPL15/RPL5/RPS16/RPS7/RPS3A/RPL6/RPS6/RPL7A/RPS11/RPS20/RPL36/RPL24/RPL35A/RPL23A/RPL35/RPL26/RPS5/SSR1/RPL37A/SEC61G/RPS23/RPS27A/RPS13/RPL13A/RPL19/SRP14/RPS14/RPL4/SRP9/RPS10/RPSA/RPS29/RPL14/RPL22/RPL12/RPLP1/RPL13/RPL34/FAU/SPCS3/RPS3/RPLP0/RPL36A/SEC61B/RPL37/RPS18/RPL11/SRPRA/RPS28/RPL29/RPL31/SRP72/RPN1/RPL27A/RPL21/RPS12/RPL30/RPL8/RPL28/RPL32/RPL39/RPL23/SSR3/RPL38/RPS27L/UBA52/RPS21/TRAM1/RPS9/RPN2/RPS25/SPCS2/RPL36AL/SEC61A1/RPLP2/RPL27/SEC11A/RPS27/RPS15A/RPL18/SRP19/SSR2/RPL7/RPS17/RPS15/RPS24/RPL41/SPCS1/RPL22L1/SSR4/DDOST/RPL17/RPS8/RPL18A/SRP54/SEC11C/RPS19/SRPRB/RPL26L1",107,"DC","AKI_vs_Normal"
"R-HSA-9010553","Regulation of expression of SLITs and ROBOs","135/2986","159/11230",0.849056603773585,3.19320350314044,16.7621807230653,3.35708159116518e-54,7.81240844572584e-52,4.63933531170046e-52,"ELOB/RPS26/RPS2/UBC/RPS4Y1/RPS4X/SEM1/RPL10/RPL3/RPL9/RPL10A/RPL15/RPL5/RPS16/RPS7/RPS3A/RPL6/RPS6/RPL7A/RPS11/RPS20/RPL36/RPL24/RPL35A/RPL23A/RPL35/RPL26/UBB/RPS5/RPL37A/RPS23/RPS27A/ELOC/RPS13/RPL13A/RPL19/RPS14/RPL4/RPS10/RPSA/RPS29/RPL14/RPL22/PSMC5/RPL12/RPLP1/RPL13/RPL34/FAU/PSMA2/RPS3/RPLP0/RPL36A/PSMA7/PSMB3/RPL37/PSMC4/PSMB4/RPS18/RPL11/RPS28/PSMB6/RPL29/RPL31/RPL27A/RPL21/RPS12/RPL30/RPL8/RPL28/PSMB7/RPL32/PABPC1/RPL39/RPL23/PSMD8/PSMA4/PSMB1/RPL38/PSMC1/RPS27L/MAGOHB/GSPT1/UBA52/RPS21/RPS9/RBM8A/ADRM1/USP33/RPS25/PSMD2/RPL36AL/UPF3A/PSMA5/PSMD11/RPLP2/RPL27/PSMC3/PSMD12/RPS27/RPS15A/RPL18/PSMB2/RBX1/CASC3/MAGOH/PSMB5/PSMA3/PSMD14/PSMD1/EIF4G1/RNPS1/RPL7/PSMD3/RPS17/RPS15/RPS24/EIF4A3/PSMD13/PSMC2/PSMD6/RPL41/PSMD7/RPL22L1/RPL17/RPS8/RPL18A/PSMC6/PSMA1/CUL2/ETF1/RPS19/NCBP2/UPF2/RPL26L1",135,"DC","AKI_vs_Normal"
"R-HSA-72613","Eukaryotic Translation Initiation","110/2986","120/11230",0.916666666666667,3.44747711542755,16.221786616448,7.01744730367612e-52,1.27015796196538e-49,7.54272990886358e-50,"EIF4A1/RPS26/RPS2/RPS4Y1/RPS4X/RPL10/RPL3/RPL9/RPL10A/RPL15/RPL5/RPS16/RPS7/RPS3A/RPL6/RPS6/RPL7A/RPS11/RPS20/RPL36/RPL24/RPL35A/RPL23A/EIF4E/RPL35/EIF5/RPL26/EIF1AX/RPS5/RPL37A/RPS23/RPS27A/RPS13/RPL13A/RPL19/RPS14/RPL4/RPS10/RPSA/EIF3I/RPS29/RPL14/RPL22/EIF2S2/RPL12/RPLP1/RPL13/EIF5B/RPL34/FAU/RPS3/RPLP0/RPL36A/RPL37/RPS18/RPL11/RPS28/RPL29/EIF3K/RPL31/RPL27A/EIF3J/RPL21/RPS12/RPL30/RPL8/RPL28/RPL32/PABPC1/RPL39/RPL23/EIF3A/RPL38/EIF3B/RPS27L/UBA52/RPS21/EIF3M/RPS9/EIF3L/EIF4EBP1/RPS25/RPL36AL/EIF4A2/EIF3H/RPLP2/RPL27/RPS27/EIF2S3/RPS15A/RPL18/EIF4B/EIF3F/EIF4G1/EIF2S1/EIF4H/RPL7/EIF3G/RPS17/RPS15/RPS24/EIF3E/EIF3D/RPL41/RPL22L1/RPL17/RPS8/RPL18A/RPS19/RPL26L1",110,"DC","AKI_vs_Normal"
"R-HSA-72737","Cap-dependent Translation Initiation","110/2986","120/11230",0.916666666666667,3.44747711542755,16.221786616448,7.01744730367612e-52,1.27015796196538e-49,7.54272990886358e-50,"EIF4A1/RPS26/RPS2/RPS4Y1/RPS4X/RPL10/RPL3/RPL9/RPL10A/RPL15/RPL5/RPS16/RPS7/RPS3A/RPL6/RPS6/RPL7A/RPS11/RPS20/RPL36/RPL24/RPL35A/RPL23A/EIF4E/RPL35/EIF5/RPL26/EIF1AX/RPS5/RPL37A/RPS23/RPS27A/RPS13/RPL13A/RPL19/RPS14/RPL4/RPS10/RPSA/EIF3I/RPS29/RPL14/RPL22/EIF2S2/RPL12/RPLP1/RPL13/EIF5B/RPL34/FAU/RPS3/RPLP0/RPL36A/RPL37/RPS18/RPL11/RPS28/RPL29/EIF3K/RPL31/RPL27A/EIF3J/RPL21/RPS12/RPL30/RPL8/RPL28/RPL32/PABPC1/RPL39/RPL23/EIF3A/RPL38/EIF3B/RPS27L/UBA52/RPS21/EIF3M/RPS9/EIF3L/EIF4EBP1/RPS25/RPL36AL/EIF4A2/EIF3H/RPLP2/RPL27/RPS27/EIF2S3/RPS15A/RPL18/EIF4B/EIF3F/EIF4G1/EIF2S1/EIF4H/RPL7/EIF3G/RPS17/RPS15/RPS24/EIF3E/EIF3D/RPL41/RPL22L1/RPL17/RPS8/RPL18A/RPS19/RPL26L1",110,"DC","AKI_vs_Normal"
"R-HSA-72689","Formation of a pool of free 40S subunits","97/2986","102/11230",0.950980392156863,3.57652706092484,15.7315924412537,9.30583139043815e-50,1.51591993350237e-47,9.00216741875017e-48,"RPS26/RPS2/RPS4Y1/RPS4X/RPL10/RPL3/RPL9/RPL10A/RPL15/RPL5/RPS16/RPS7/RPS3A/RPL6/RPS6/RPL7A/RPS11/RPS20/RPL36/RPL24/RPL35A/RPL23A/RPL35/RPL26/EIF1AX/RPS5/RPL37A/RPS23/RPS27A/RPS13/RPL13A/RPL19/RPS14/RPL4/RPS10/RPSA/EIF3I/RPS29/RPL14/RPL22/RPL12/RPLP1/RPL13/RPL34/FAU/RPS3/RPLP0/RPL36A/RPL37/RPS18/RPL11/RPS28/RPL29/EIF3K/RPL31/RPL27A/EIF3J/RPL21/RPS12/RPL30/RPL8/RPL28/RPL32/RPL39/RPL23/EIF3A/RPL38/EIF3B/RPS27L/UBA52/RPS21/EIF3M/RPS9/EIF3L/RPS25/RPL36AL/EIF3H/RPLP2/RPL27/RPS27/RPS15A/RPL18/EIF3F/RPL7/EIF3G/RPS17/RPS15/RPS24/EIF3E/EIF3D/RPL41/RPL22L1/RPL17/RPS8/RPL18A/RPS19/RPL26L1",97,"DC","AKI_vs_Normal"
