"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
5.14443192475658e-30,2.72013940013012,0.826,0.263,8.51146261950976e-26,"WFDC2"
3.54865791787213e-25,-2.05678655213016,0.337,0.86,5.87125452511943e-21,"EGF"
2.65498696877395e-24,-0.718102980008005,0.916,0.991,4.39267593983649e-20,"FXYD2"
7.24991779833415e-22,-5.60730419089785,0.011,0.474,1.19949889973438e-17,"NR4A1"
4.7101803982614e-21,-0.642054456085263,0.888,0.982,7.79299346892349e-17,"KNG1"
3.55731867292474e-17,2.8357800923135,0.511,0.105,5.88558374435399e-13,"C12orf75"
5.2228494267889e-16,-1.05284049978815,0.556,0.895,8.64120437662224e-12,"RARRES2"
9.10159548121864e-16,3.6320575924841,0.421,0.053,1.50585897236762e-11,"CFI"
1.16498235281964e-15,-2.56890752124243,0.152,0.64,1.9274633027401e-11,"DUSP1"
3.13613301460605e-15,3.56258389071334,0.427,0.044,5.18873207266571e-11,"KRT19"
9.30556186098776e-14,1.37298636879871,0.742,0.447,1.53960520990042e-09,"CYBA"
2.19313028566014e-13,0.945520573205975,0.904,0.684,3.62853405762471e-09,"S100A11"
2.79611446581753e-13,-1.89759860230074,0.236,0.64,4.6261713836951e-09,"G0S2"
1.14275357930964e-12,3.20281168631846,0.354,0.061,1.8906857969678e-08,"ITGB6"
1.14485304576895e-12,3.08649866203518,0.371,0.061,1.89415936422472e-08,"TSPAN1"
1.16933762990809e-12,4.39165864205063,0.343,0.026,1.93466910868294e-08,"PAPPA2"
2.36441466153059e-12,-2.71603298341248,0.101,0.482,3.91192405750236e-08,"BTG2"
5.57856813636281e-12,-0.845309883556394,0.652,0.912,9.22974098161227e-08,"TXNIP"
2.04076534224423e-11,-0.582524058263806,0.803,0.947,3.37644625874308e-07,"NDUFB1"
3.46649911559591e-11,6.19335984589557,0.18,0,5.73532278675344e-07,"ARL4C"
3.46990640587159e-11,-0.285739940074328,0.994,1,5.74096014851454e-07,"DEFB1"
6.83354430876706e-11,1.19283643460992,0.652,0.456,1.13060990588551e-06,"MECOM"
7.92616193231992e-11,-0.553512202755726,0.798,0.965,1.31138349170233e-06,"NDUFA3"
1.07408618752461e-10,-0.666300320856335,0.742,0.956,1.77707559725947e-06,"NDUFA13"
1.31953767086071e-10,-0.273462904224663,0.848,0.825,2.18317507643904e-06,"ATP5ME"
1.51324911438383e-10,-0.272418583092395,0.994,1,2.50367065974805e-06,"SLC12A3"
3.37853348334857e-10,-0.199210853784802,0.989,0.974,5.5897836482002e-06,"COX5B"
3.97788535892473e-10,-0.479733363598061,0.826,0.956,6.58141132634097e-06,"RPL37A"
4.46059120061759e-10,2.16375428741345,0.404,0.096,7.38004814142181e-06,"ANXA2"
9.31811070496645e-10,-1.36585237831553,0.365,0.763,1.5416814161367e-05,"PRSS23"
1.05206370124312e-09,2.08877606406043,0.433,0.167,1.74063939370675e-05,"CARMIL1"
1.06410648667529e-09,2.49558008766713,0.36,0.096,1.76056418220426e-05,"COL4A1"
1.4762906025466e-09,-0.299032487117285,0.944,0.974,2.44252280191336e-05,"COX8A"
1.62667005403727e-09,1.26459604884644,0.612,0.36,2.69132560440467e-05,"SERPING1"
