"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
4.67441317106979e-46,-4.73596031998186,0.043,0.795,7.73381659153497e-42,"GPX1"
7.32172400955646e-38,2.16513183253538,0.935,0.205,1.21137923738112e-33,"ATP5F1E"
5.97935942482254e-26,1.92052268442069,0.867,0.205,9.8928501683689e-22,"RACK1"
2.65865800903935e-25,-3.33425463521819,0.123,0.63,4.39874967595561e-21,"ALDOA"
3.8561773382831e-25,-1.05540571983525,0.8,0.986,6.38004540618939e-21,"SRGN"
9.02413112411105e-23,-2.19946142963066,0.296,0.74,1.49304249448417e-18,"MCL1"
1.45321763260552e-22,2.48222904733192,0.791,0.137,2.40434857314583e-18,"ATP5MG"
5.54447228305846e-22,2.31832240260076,0.809,0.164,9.17332939232021e-18,"ATP5MC2"
9.37000090755039e-22,2.60242234759137,0.766,0.123,1.55026665015421e-17,"ELOB"
1.40542201381638e-21,-1.9160450998766,0.35,0.712,2.3252707218592e-17,"EIF4A1"
1.10852821156683e-20,-1.57831571257721,0.426,0.712,1.83405992603732e-16,"HERPUD1"
5.74837708352428e-18,-2.34286530696457,0.187,0.548,9.51068988469093e-14,"RGS1"
2.98135456066766e-17,-0.770710317437306,0.918,1,4.93265112062464e-13,"MT-ND1"
7.33974288355255e-17,2.21108168484782,0.75,0.164,1.21436046008377e-12,"UQCR11"
3.33339435685875e-16,-2.25605456980458,0.195,0.548,5.5151009634228e-12,"FKBP5"
3.36607933395131e-16,2.20722368708507,0.715,0.151,5.56917825802244e-12,"ATP5ME"
2.27899781377243e-15,2.19391898584133,0.725,0.164,3.77060188288648e-11,"ATP5MF"
1.92771156795954e-14,-2.89332298601046,0.119,0.438,3.18939878918906e-10,"CREM"
4.65845852071783e-14,-0.646319902832409,0.92,1,7.70741962252766e-10,"MT-CYB"
4.68140724532978e-14,2.3562711971655,0.689,0.137,7.74538828739812e-10,"ATP5F1D"
4.84521106539753e-14,-2.73089851534766,0.124,0.411,8.01640170770021e-10,"SAP30"
7.04811412302492e-14,-4.42540282579217,0.025,0.315,1.16611048165447e-09,"U2AF1"
7.72354520433993e-14,-0.43690069270424,0.993,0.986,1.27786055405804e-09,"TPT1"
1.37946649830134e-13,-2.3836277750886,0.195,0.452,2.28232732143956e-09,"PLIN2"
1.70174596658943e-13,-2.11509536630835,0.219,0.575,2.81553870172221e-09,"REL"
1.74901217773477e-13,0.825313456451229,0.949,0.589,2.89374064806218e-09,"RPS26"
2.30976545160171e-13,3.34076810939628,0.501,0.041,3.82150693967504e-09,"ATP5MC1"
2.90649606368943e-13,-1.18137927561513,0.548,0.767,4.80879773737416e-09,"CEBPD"
6.46917639734572e-13,-1.79614902383458,0.278,0.603,1.07032523494085e-08,"TSC22D3"
2.54160659130159e-12,-3.28185162959291,0.069,0.37,4.20508810530848e-08,"CXCL3"
6.48686036490061e-12,2.66450212546457,0.563,0.082,1.07325104737281e-07,"COPS9"
7.01819765798257e-12,-5.03750129945761,0.01,0.205,1.16116080251322e-07,"NR4A3"
1.00203326801825e-11,-0.523539788906571,0.969,0.973,1.65786404193619e-07,"HLA-B"
1.58216646914067e-11,-1.17990026701207,0.517,0.699,2.61769442319324e-07,"BTG1"
2.34829177502582e-11,-1.90385849197451,0.255,0.575,3.88524874178023e-07,"NAMPT"
2.50430977821211e-11,1.97839768618442,0.653,0.151,4.14338052805193e-07,"ATP5PF"
3.06969603968975e-11,2.02028065757035,0.673,0.164,5.07881209766669e-07,"ATP5MC3"
7.58884523058512e-11,-0.521300100692938,0.948,0.973,1.25557444340031e-06,"RPS2"
9.14228092974908e-11,-3.04568790584223,0.057,0.301,1.51259037982699e-06,"USP53"
1.31108995570443e-10,-0.665812055229967,0.792,0.836,2.16919833171298e-06,"UBC"
1.50165071796007e-10,-1.96619730638325,0.208,0.425,2.48448111286493e-06,"C5AR1"
2.31351601941257e-10,-1.11605701303229,0.529,0.753,3.8277122541181e-06,"CEBPB"
2.67361825883351e-10,-4.49570960168018,0.038,0.247,4.42350140924004e-06,"THBS1"
3.34249050892029e-10,-2.16561840565334,0.144,0.411,5.53015054700862e-06,"STK17B"
3.60032826279415e-10,-3.42783822474435,0.044,0.301,5.95674311079292e-06,"ZNF331"
3.75985277927899e-10,-0.555443496831174,0.907,1,6.2206764233171e-06,"MT-CO3"
