"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
1.23733447591973e-14,-3.24658755194614,0.075,0.72,2.04716989040919e-10,"FKBP5"
3.61836162374625e-12,-5.23001500748011,0.011,0.473,5.98657930648818e-08,"GPX1"
4.29800664130734e-12,1.46695638524139,0.871,0.376,7.11105198804299e-08,"PECAM1"
1.5047866049665e-11,-4.03582532549978,0.022,0.484,2.48966943791707e-07,"IGF2"
2.87301802861863e-11,-1.25108211351829,0.559,0.882,4.75340832834953e-07,"MT2A"
1.24174732205611e-10,1.4667095482356,0.796,0.333,2.05447094434184e-06,"CAVIN1"
8.44563257966981e-10,0.775707801405661,0.763,0.376,1.39732991030637e-05,"PLPP1"
2.5536225553453e-09,1.93243510800026,0.645,0.226,4.2249685178188e-05,"TCIM"
3.63218383070921e-09,1.1829647414354,0.817,0.387,6.00944814790839e-05,"ATP5F1E"
1.44045333733382e-08,1.82236041888594,0.591,0.204,0.00023832300466188,"CAVIN3"
1.77401201034625e-08,-4.14892083509982,0.011,0.376,0.000293510287111788,"MATR3"
3.26105914048802e-08,-2.2877063656135,0.118,0.581,0.000539542234793743,"APOLD1"
4.04622166797944e-08,1.36178046638004,0.785,0.376,0.000669447374967198,"RACK1"
4.05168655252596e-08,1.29505060355439,0.753,0.366,0.00067035154011542,"ADGRL4"
6.0621941979956e-08,1.72437092270263,0.452,0.183,0.00100299003005837,"SARAF"
6.94696004721141e-08,-2.8872142816817,0.032,0.387,0.00114937453981113,"U2AF1"
8.35531407118762e-08,-1.09163577968304,0.473,0.903,0.00138238671307799,"FAM107A"
3.18150726796121e-07,-2.19697967971457,0.14,0.613,0.00526380377484182,"CDKN1C"
4.8160970938507e-07,-4.17068141860527,0.022,0.344,0.00796823264177599,"ZBTB16"
4.82865444152006e-07,1.27419014256273,0.72,0.355,0.00798900877349494,"ADGRF5"
6.34656915429083e-07,-2.71983448416572,0.054,0.419,0.0105003986657742,"CSRNP1"
6.48369419252149e-07,-2.54425734766817,0.118,0.516,0.0107272720415268,"NR4A1"
1.04321617666104e-06,1.7097741393252,0.548,0.226,0.0172600116428569,"PAXX"
1.16488543600126e-06,-2.80681236831591,0.075,0.452,0.0192730295386408,"AK1"
1.20182538819146e-06,1.60438478648598,0.484,0.215,0.0198842010476278,"COPS9"
1.82580429501751e-06,1.13889126627525,0.667,0.333,0.0302079320610646,"SELENOM"
2.10130442005098e-06,1.12305975767463,0.559,0.28,0.0347660816297434,"ATP5PF"
2.19185662839225e-06,1.09995317478982,0.656,0.344,0.0362642679167498,"ELOB"
2.35188614893405e-06,1.59299591949106,0.548,0.258,0.0389119563341138,"SEM1"
2.84010088544768e-06,1.3924532233934,0.527,0.258,0.0469894691497318,"NOP53"
3.05597132424151e-06,-2.76473916771957,0.022,0.323,0.0505610455595757,"ZC3H11A"
3.06090655392965e-06,1.58610428515526,0.43,0.215,0.050642698934766,"ARF6"
3.36929441111121e-06,4.90963718286655,0.215,0.011,0.055744976031835,"TAP2"
5.17625708810553e-06,-1.17092413822048,0.398,0.817,0.0856411735227059,"TSC22D3"
5.34355115366638e-06,2.37306723482549,0.355,0.097,0.0884090538374102,"PLPP3"
5.3982565505573e-06,-6.1879327947356,0,0.151,0.0893141546289706,"SIK1"
5.4244580998931e-06,1.26248348982704,0.505,0.237,0.0897476592627314,"ATP5MC3"
6.01383548356326e-06,-1.95841280668591,0.14,0.505,0.0994989080755541,"MT1M"
7.72608452932223e-06,-1.88789162603333,0.097,0.473,0.127828068537636,"PXDC1"
9.12425446244141e-06,-6.29042070480258,0,0.215,0.150960790081093,"ADRB2"
9.18991335124155e-06,1.62149888494478,0.387,0.14,0.152047116396291,"SELENOF"
9.26209654476651e-06,1.08658333655838,0.613,0.333,0.153241387333162,"ATP5MG"
9.27723722116099e-06,1.36715630163157,0.441,0.194,0.153491889824109,"ATP5MF"
9.80630787964565e-06,-1.46034066296351,0.226,0.656,0.162245363868737,"NEDD9"
1.02352855597034e-05,1.16731742281468,0.495,0.258,0.169342799585293,"TRIR"
1.42094135637141e-05,-1.58674054237609,0.269,0.699,0.23509474741165,"EIF4A1"
1.75232542873419e-05,1.1220118454451,0.581,0.452,0.289922242184072,"EDN1"
1.96384738020541e-05,-1.39978992329468,0.29,0.71,0.324918549054986,"DUSP1"
1.96914711603455e-05,-3.24502686446625,0.043,0.355,0.325795390347916,"ALDOA"
2.24088639476091e-05,1.1606833719051,0.591,0.323,0.370754654013193,"ATP5MC2"
2.44934580622402e-05,-1.81599698713592,0.161,0.559,0.405244263639765,"MT1X"
2.60799014138645e-05,6.21449875022698,0.118,0,0.431491968892389,"LRMDA"
2.79537791569128e-05,-1.84114754369006,0.204,0.581,0.462495276151123,"CEBPD"
2.91862214766501e-05,1.54465368517972,0.452,0.204,0.482886034331176,"PLVAP"
3.0874425856182e-05,-1.33570423397769,0.312,0.71,0.510817375790531,"MT1E"
3.14929920268864e-05,-2.45631625643588,0.086,0.441,0.521051553084835,"PER1"
3.15266883331922e-05,1.75492375204755,0.441,0.194,0.521609058472665,"ATP5F1B"
3.5230481546748e-05,5.73990266532234,0.118,0,0.582888317190945,"NKAPD1"
3.81680814273042e-05,6.15894083595779,0.108,0,0.631490907214747,"NOL4L"
3.95290963414474e-05,4.38893230273782,0.194,0.022,0.654008898969248,"MRE11"
4.20553857596502e-05,2.0437936587473,0.28,0.108,0.695806357393413,"CENPX"
4.89540427009587e-05,2.05379149473014,0.269,0.086,0.809944636487362,"OGA"
6.47013623382103e-05,-1.30167823793856,0.269,0.645,1,"CTTNBP2NL"
7.36474777357446e-05,0.600827978035882,0.602,0.366,1,"ATP5ME"
7.6528172885056e-05,-1.75891237182778,0.118,0.419,1,"DHRS3"
8.31650881239669e-05,1.9684566364309,0.387,0.14,1,"RIPOR1"
8.47738060865436e-05,1.40543165620501,0.57,0.269,1,"RPS4Y1"
0.000100076241017469,-5.93753986465381,0,0.14,1,"MT1A"
0.000103443492307968,0.883070599486742,0.559,0.323,1,"UQCR11"
0.000110261331241935,2.10283994504988,0.247,0.075,1,"SRSF8"
0.000115695869182461,1.20636004984122,0.376,0.204,1,"SELENOH"
0.000117939070683322,1.6886163729324,0.323,0.14,1,"ATP5PO"
0.000120084313766754,1.13763336573495,0.43,0.237,1,"IRX3"
0.000123422296687011,0.762701778433169,0.538,0.323,1,"SELENOW"
0.000184576421390462,-1.44269548756989,0.172,0.505,1,"RSF1"
0.000190075887448269,2.1180051594792,0.29,0.097,1,"FAM167B"
0.000195193867855193,2.61292023648813,0.194,0.043,1,"NAXE"
0.00021004245085,1.34573463474233,0.269,0.118,1,"RPS17"
0.000223005717935393,1.13810101376436,0.398,0.215,1,"BEX3"
0.000229564969253439,-3.21887391548391,0.032,0.312,1,"CHN2"
0.000246822088292528,-1.45342628562275,0.161,0.495,1,"FOSB"
0.000256914405616878,2.41151037324032,0.172,0.032,1,"ZNF518A"
0.000281934414743533,2.10138345140023,0.215,0.065,1,"WAPL"
0.000296601646365483,1.21480683530458,0.452,0.237,1,"SF3B6"
0.000311614048661039,-1.76943144898278,0.086,0.376,1,"PTGDS"
0.000337329099235832,1.28410432368669,0.387,0.194,1,"SELENOP"
0.000338078125767416,-1.01860467459657,0.204,0.559,1,"PINK1"
0.000339167002056447,1.15220799610722,0.323,0.151,1,"RSRP1"
0.000371869904255724,0.942703160598688,0.731,0.57,1,"ATP13A3"
0.00037503247484109,1.2743439615484,0.269,0.086,1,"STMP1"
0.000388250485887004,1.96567560459939,0.194,0.065,1,"DELE1"
0.000411187449462722,1.05253093151731,0.462,0.258,1,"AFDN"
0.000413142075903203,1.74235384063973,0.118,0.043,1,"CASP8AP2"
0.000424362793511498,1.31923081681311,0.312,0.161,1,"SNRPN"
0.000443973982454727,1.51579422653624,0.194,0.075,1,"NECTIN2"
0.000449271085511443,-1.3947677548845,0.14,0.495,1,"DDIT4"
0.000452962073022201,-0.44915275404227,0.785,0.968,1,"TSC22D1"
0.000481486342297329,0.72503121472387,0.387,0.215,1,"TNS2"
0.000493073614882935,1.08324456300161,0.516,0.269,1,"DEPP1"
0.0005051726983813,2.25412660198517,0.14,0.032,1,"NGRN"
0.000509013661508868,-5.69336434571964,0,0.14,1,"FABP5"
0.000528666891793082,-1.00887459475962,0.301,0.731,1,"KLF6"
0.000529758208021038,-2.06595216912853,0.022,0.215,1,"PPP1R21"
0.000536354946429095,-3.32572834759578,0.032,0.258,1,"PMPCB"
0.000548157146095544,-1.24063963269895,0.29,0.731,1,"ZFP36"
0.000548665482067997,-2.9264150317795,0.054,0.301,1,"ITPRIP"
0.00056169063777934,-2.52234710248203,0.065,0.312,1,"ADIPOR2"
0.000580862413563308,-0.56339234538305,0.645,0.892,1,"MGP"
0.000603085672238727,3.48251287862795,0.194,0.032,1,"JPT1"
0.000648701931967088,3.08525422877242,0.183,0.032,1,"SPP1"
0.000757651468353262,-0.617017733652844,0.215,0.505,1,"BTG2"
0.000764237480610568,2.9671404834448,0.14,0.032,1,"DGLUCY"
0.000767255108453344,-1.91190618991239,0.075,0.355,1,"PDK4"
0.000822237424148024,-1.25522585733676,0.215,0.559,1,"IFNGR1"
0.000827269007523059,3.4390555146193,0.151,0.022,1,"TOMM70"
0.000832588689750287,-1.90484948549191,0.14,0.462,1,"CEBPB"
0.000833269656384024,0.547091297204374,0.796,0.731,1,"ID3"
0.000839838414315771,2.2284303172786,0.312,0.14,1,"PIM3"
0.00088045024478222,-3.64304635403245,0.011,0.183,1,"NSG1"
0.000883972675550042,-2.24260242212961,0.108,0.409,1,"CDKN1A"
0.000887445017562138,0.899334588385965,0.613,0.495,1,"SKIL"
0.000929129365579355,-2.23514367395768,0.075,0.344,1,"FILIP1L"
0.000935944028164329,1.01701546164573,0.323,0.183,1,"IER3IP1"
0.000942204968113548,0.803171646930911,0.602,0.527,1,"ZBTB20"
0.000996116212553002,1.78306513080168,0.312,0.161,1,"ZDHHC20"
0.00105025531009852,2.81930430475838,0.14,0.022,1,"USF3"
0.00108182931379575,0.540128516534922,0.914,0.86,1,"ENG"
0.00118551016177872,2.23580702795833,0.161,0.032,1,"KMT5B"
0.00126407083379051,-2.35657983406938,0.032,0.226,1,"LSG1"
0.00129566515680418,1.86541653989556,0.29,0.108,1,"MYDGF"
0.00134409018981916,2.00929874808944,0.204,0.065,1,"SEC22B"
0.00137678393193091,2.23092986517324,0.14,0.032,1,"IVNS1ABP"
0.001455226542476,3.12074909718946,0.194,0.054,1,"PPP4R3B"
0.00145809472253895,-1.07952574998155,0.183,0.484,1,"ADAMTS1"
0.00146856447425007,-1.37073009364694,0.108,0.419,1,"ARRDC2"
0.00152080760019906,2.97508226510202,0.118,0.011,1,"PIP4P2"
0.00154858035645312,0.966781536046083,0.215,0.097,1,"CEBPZOS"
0.00160934199818829,-1.84095784103009,0.043,0.247,1,"WLS"
0.00164195723869478,-1.14265084160204,0.161,0.484,1,"IRF2BP2"
0.00164224998619356,2.05394074553426,0.226,0.118,1,"SOX4"
0.00166504393641703,3.52652940591603,0.108,0.022,1,"WFDC2"
0.00167194926086029,1.84300903770588,0.194,0.054,1,"WASHC4"
0.00168659791704728,-5.36165050630962,0,0.118,1,"ACSS2"
0.00171278129310175,2.71792594823693,0.108,0.011,1,"ELOA"
0.00171510896624276,1.08954896646217,0.473,0.344,1,"CIB1"
0.00172278394000812,-5.20102074989411,0,0.118,1,"RAD50"
0.00177159691740495,0.654098412973637,0.677,0.624,1,"SOX17"
0.00181810615247895,1.18444444884462,0.409,0.237,1,"ATP5MC1"
0.0018511268694819,-0.36681586099701,0.774,0.978,1,"HYAL2"
0.0019656360930022,-0.805837357621841,0.344,0.731,1,"KLF9"
0.00216939990366365,-1.55031921370573,0.054,0.28,1,"HYAL1"
0.00235790565396146,-1.13881474421037,0.366,0.774,1,"TINAGL1"
0.00236784432693238,2.52915411313535,0.151,0.043,1,"DMAC1"
0.0025206449100823,0.971687710271627,0.484,0.29,1,"ATP5F1D"
0.00256097283590031,3.1920385005964,0.118,0.011,1,"ADGRE5"
0.00259506317565419,1.04901405809147,0.29,0.151,1,"NSD3"
0.0026154947910626,2.56989617904128,0.161,0.043,1,"INTS11"
0.00264418732455017,0.453580139108718,0.882,0.871,1,"IFITM2"
0.00265880051204658,1.11672781195594,0.548,0.398,1,"CRYBG3"
0.00269085192658786,-1.84848952640182,0.022,0.194,1,"PRR4"
0.00284560141753023,2.50846503676758,0.161,0.043,1,"CCDC186"
0.0028870859835326,1.51783648780735,0.237,0.097,1,"TULP4"
0.00302919705721715,-1.3692958477319,0.118,0.387,1,"INPP1"
0.00303398738883091,-2.27133200127699,0.022,0.161,1,"ITGA2"
0.00308662012557761,1.36197302115178,0.398,0.226,1,"REX1BD"
0.00325323599911244,-1.3743958311557,0.161,0.462,1,"EGR1"
0.00325749389787211,1.27450999238201,0.194,0.086,1,"CARMIL1"
0.00356646543395719,-1.95932334122153,0.065,0.28,1,"ATF3"
0.00361703858821833,-0.709900476211089,0.118,0.366,1,"MECP2"
0.00362944877185711,4.42394999849774,0.108,0.011,1,"HDHD5"
0.00370680765613788,1.97482554812925,0.183,0.065,1,"NAPRT"
0.00371932433380294,-0.954366276521627,0.226,0.57,1,"LRRC8A"
0.0037485838733639,1.72127695226122,0.28,0.129,1,"SP1"
0.0039612791908463,-0.843001332765001,0.29,0.559,1,"TMEM14B"
0.0040167312333083,-1.39917507540933,0.032,0.204,1,"DLD"
0.00401889717932363,2.14587325029608,0.14,0.043,1,"CARD19"
0.00402676019611721,1.86850319561612,0.161,0.065,1,"SPPL2B"
0.00404223407275288,-2.02800294740986,0.032,0.237,1,"ANKRD36"
0.00410640823795563,-1.8326788264209,0.043,0.269,1,"TIPARP"
0.0041360660096809,-2.2702484379102,0.022,0.151,1,"WIPF3"
0.00418202640219246,-0.832059151797831,0.183,0.452,1,"LIFR"
0.00426701205635837,0.952342955724078,0.226,0.129,1,"HDGFL3"
0.00443500746627508,1.09822638698552,0.247,0.14,1,"RTF2"
0.00451620340494795,2.52923948074451,0.129,0.022,1,"SMIM29"
0.00457036262416003,0.336849327080922,0.323,0.215,1,"ATP5F1C"
0.0046078385764861,-1.87277673208313,0.108,0.355,1,"SAP30BP"
0.00468057257202432,1.37295372842794,0.204,0.086,1,"RETREG2"
0.00469479726585886,2.41423577344577,0.118,0.022,1,"HACD2"
0.00470926217852809,-0.671109243142584,0.258,0.548,1,"EIF5B"
0.00473771603444169,-0.762104552586517,0.14,0.376,1,"FAM133B"
0.00477529376350515,0.755566993484267,0.473,0.323,1,"ATP5IF1"
0.00483390989435846,-4.97376208385043,0,0.108,1,"ZZZ3"
0.00485908771743297,2.63359450463404,0.151,0.043,1,"LHFPL6"
0.00489006364616035,-0.634671630332362,0.14,0.366,1,"TUBA4A"
0.00501443315573105,0.860943363453344,0.247,0.172,1,"EIF3B"
0.00509538302494279,-0.460525602393372,0.667,0.968,1,"UBL5"
0.00513496309970344,-1.78947239057908,0.022,0.151,1,"CTSS"
0.00516710944877506,-1.1098499673183,0.065,0.247,1,"PLK3"
0.00530533004954196,-1.81928902671671,0.022,0.151,1,"SOCS6"
0.00543896648280066,-3.11296774886122,0.011,0.129,1,"PDE6D"
0.00543980347959105,-0.600381844736041,0.473,0.785,1,"PALMD"
0.0054562382617002,0.742000046751793,0.344,0.29,1,"PDE2A"
0.00551583284817379,-1.2455713600726,0.086,0.312,1,"NTPCR"
0.00568103904915364,-0.774529228463048,0.161,0.462,1,"SLCO4A1"
0.00574287392430239,2.18898470781063,0.194,0.065,1,"HPF1"
0.00582432738477936,2.54822698605723,0.161,0.043,1,"DENND4A"
0.00602785431200252,-1.12787585126393,0.226,0.516,1,"SERTAD1"
0.00621249366888613,1.72215047562302,0.215,0.108,1,"MOSMO"
0.00646064390439049,-1.40879821243202,0.215,0.559,1,"SPRY1"
