"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
1.80323936540358e-16,-6.96662978768909,0.007,0.76,2.98345953006023e-12,"EGR3"
1.53866107431026e-15,-4.83341363072246,0.041,0.84,2.54571474744633e-11,"NR4A1"
2.21327130531416e-13,-3.91683569367206,0.101,0.88,3.66185737464228e-09,"EGR1"
2.67654465642527e-12,-3.37926876562657,0.115,0.88,4.42834313405561e-08,"APOLD1"
8.19488038908377e-12,-3.10597931262808,0.135,0.88,1.35584296037391e-07,"CAVIN2"
1.71792988685314e-10,-7.41587414715022,0.007,0.56,2.84231499779853e-06,"ATF3"
3.16797532406103e-10,-3.0174382602834,0.169,0.88,5.24141517365898e-06,"ZFP36"
3.9838645245792e-09,-2.14257814927241,0.27,0.92,6.59130385591629e-05,"DUSP1"
6.86178108489313e-09,6.25947636545694,0.372,0,0.000113528168049557,"RPS4Y1"
1.1480634439215e-07,-2.62902964164531,0.142,0.76,0.00189947096796812,"TNS2"
2.47190175826309e-07,1.04756663165762,0.919,0.68,0.00408976145904628,"SERF2"
2.50407770175393e-07,-3.13421760591294,0.081,0.64,0.00414299655755187,"FKBP5"
3.35105949768669e-07,-3.51014815968116,0.027,0.44,0.00554432793892262,"MAP3K8"
4.46423995728887e-07,-1.97624034352094,0.27,0.88,0.00738608500933443,"JUN"
6.0428181745346e-07,-4.14779575785721,0.02,0.48,0.0099978426697675,"CSRNP1"
1.20732607927466e-06,-3.24246631968333,0.047,0.56,0.0199752099815992,"ARC"
4.5002184125746e-06,-0.690953271690764,0.736,1,0.0744561136360467,"GSN"
4.56069977414621e-06,-2.03717599201401,0.264,0.84,0.075456777763249,"IER2"
4.68087361440717e-06,5.77825019087792,0.277,0,0.0774450539503666,"STAT1"
5.06959619814803e-06,-1.78393615149369,0.264,0.84,0.0838764690983591,"NEDD9"
1.00516917577153e-05,-1.83638636809413,0.23,0.76,0.166305240131399,"ADAMTS1"
1.38594868111694e-05,1.95700983792106,0.527,0.24,0.229305209290798,"PPP1CB"
1.55733748516353e-05,4.58280017050426,0.453,0.04,0.257661486920306,"FXYD2"
1.78247369309912e-05,4.53145554896674,0.149,0,0.294910272523249,"PPP1R1A"
1.95125938111289e-05,5.95427782755595,0.23,0,0.322835864605127,"SPP1"
2.39004638576529e-05,1.87746327669617,0.541,0.24,0.395433174524867,"ATP13A3"
2.5269081526907e-05,-2.3902087438631,0.155,0.68,0.418076953862677,"BTG2"
3.51526262415144e-05,-4.62872974678917,0.007,0.2,0.581600201165856,"MTF1"
3.54685278192144e-05,2.65942214895639,0.574,0.12,0.586826792768902,"HLA-DRB5"
3.94708155019587e-05,-2.73193146235783,0.041,0.4,0.653044642479907,"ADRB2"
3.99234208724416e-05,-1.83439185747228,0.196,0.76,0.660532998334546,"CCND1"
4.0889017088666e-05,1.21785904808843,0.885,0.68,0.676508787731979,"KCTD12"
4.8729575017101e-05,-2.46809750300821,0.135,0.6,0.806230818657937,"TRA2B"
4.90265373003147e-05,-0.679664635957141,0.703,0.96,0.811144059633707,"HYAL2"
5.25655234282436e-05,-2.12283830187481,0.122,0.6,0.869696585120291,"NOSTRIN"
6.54801318937979e-05,6.94862088311055,0.385,0,1,"MT1G"
7.2689894958003e-05,5.38680334086725,0.236,0,1,"APOL1"
7.89579311843889e-05,4.80062660560119,0.169,0,1,"PTBP2"
8.28219672763359e-05,-7.65053061099246,0,0.24,1,"HLA-DQA2"
9.30306468602985e-05,2.37268263726351,0.399,0.16,1,"LDHB"
0.000102639450387879,-2.6199955428561,0.068,0.48,1,"TAF1C"
0.000121448571479519,-2.38632573796194,0.155,0.68,1,"FOS"
0.000134503787857712,2.90310423479165,0.216,0.04,1,"MRPS6"
0.000134907427244017,0.670884916745865,0.98,0.84,1,"RPLP1"
0.000142017140397477,1.96034563984655,0.676,0.32,1,"ISG15"
0.000157728251792216,0.733534249016899,0.986,0.84,1,"IFI27"
0.000160570994021778,-0.671405874972587,0.655,1,1,"DDX5"
0.000163336379099282,-2.61365094689772,0.054,0.4,1,"RND3"
0.000164073845575005,-2.23343161614502,0.081,0.44,1,"JADE1"
0.000178608528136835,-4.00984153420872,0.02,0.36,1,"DUSP5"
0.000189281009067372,-1.49682333000267,0.209,0.72,1,"KCNN3"
0.000197874873302207,4.57986286293969,0.142,0,1,"TACSTD2"
0.000200359668935523,0.608508039735039,0.831,0.64,1,"RPL15"
0.000205299115499826,-2.6465061169494,0.074,0.48,1,"PER1"
0.000207141134003941,6.51409644856337,0.284,0,1,"UMOD"
0.000209167600973821,-0.460324505472653,0.858,1,1,"ACTG1"
0.000210155097311266,2.38101580054793,0.399,0.16,1,"COX14"
0.000212222784668553,-7.30225798005174,0,0.2,1,"STOML1"
0.000212339781189982,-7.04643258665298,0,0.16,1,"TSPYL2"
0.000214118398431345,-3.94240951415504,0.014,0.28,1,"ANKRD36B"
0.000223007939909868,0.526668454945218,0.959,0.8,1,"RPL32"
0.00024661997674161,-3.44822294035104,0.027,0.36,1,"SPRY1"
0.000263753962968698,-0.614696017614397,0.75,0.92,1,"MT2A"
0.000277613460231074,-1.14999625198705,0.399,0.88,1,"MCAM"
0.000288691631554434,-0.232675177908348,0.919,1,1,"HLA-E"
0.000290701567875428,-0.694953670666107,0.534,0.96,1,"PALMD"
0.000335772806226541,1.72860700312586,0.432,0.2,1,"TRAM1"
0.000340269534026849,-2.20871401401075,0.135,0.6,1,"GADD45A"
0.000391059607256713,1.77315733956737,0.412,0.2,1,"PHPT1"
0.000403669292548039,-0.202451335525303,0.953,1,1,"TIMP3"
0.000481864923650825,-1.88550613757961,0.068,0.36,1,"ANKRD36C"
0.00050285181429671,4.27984096995513,0.128,0,1,"MED1"
0.000505159360922679,-2.06768576172483,0.23,0.64,1,"TAGLN"
0.000522920732686788,-2.63330704337685,0.068,0.44,1,"ITPRIP"
0.000532968388950858,-1.96492057089827,0.068,0.4,1,"GALNT15"
0.000576340056193892,4.06809692387591,0.115,0,1,"MRPS11"
0.000576755442513281,4.81799956868336,0.142,0,1,"MAL"
0.000629018637853284,4.92070901360673,0.162,0,1,"HEY2"
0.000650086757474931,-4.48549861111132,0.014,0.32,1,"CASTOR1"
0.000653566194154651,-1.35541309521621,0.372,0.84,1,"PLPP1"
0.000685725617265312,1.43172040161736,0.588,0.36,1,"CLIC4"
0.000690529115124088,2.50733021393321,0.189,0.04,1,"DHX15"
0.000696381423184182,1.3406113811073,0.473,0.28,1,"PRDX5"
0.000718995164264375,0.912245512330425,0.439,0.32,1,"ARL6IP4"
0.000726018823025728,-2.09569719882856,0.142,0.6,1,"CEBPD"
0.000762672287060203,-1.60284627544536,0.23,0.72,1,"DOCK9"
0.000791323782267111,1.4537443754682,0.493,0.28,1,"GSTO1"
0.000816971715968877,-3.47570618663027,0.014,0.24,1,"MLKL"
0.000854011724731424,-2.7595321089657,0.034,0.28,1,"PRPF3"
