"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
3.32541000911646e-22,-3.44285729634079,0.089,0.957,5.50189086008318e-18,"CXCR4"
8.07369967500976e-13,-1.72734200288425,0.371,0.957,1.33579361123036e-08,"CEBPD"
1.87560261194997e-12,-0.548257477721125,0.422,0.783,3.10318452147123e-08,"HLA-DRB5"
4.03370610874356e-12,1.43479088492952,0.958,0.413,6.67376675691621e-08,"ATP5F1E"
5.52332694417538e-12,-1.49801546951588,0.342,0.957,9.13834442913816e-08,"SMAP2"
1.21243896498274e-11,-3.34396192600913,0.08,0.761,2.00598026756394e-07,"FKBP5"
3.6137749522311e-11,-1.5450670468156,0.27,0.913,5.97899065846636e-07,"NUDT16"
7.6544983527972e-11,-8.69997306768144,0,0.326,1.2664367524703e-06,"ZBTB16"
1.51640122856046e-10,-3.6016035231019,0.038,0.522,2.50888583265328e-06,"DDIT4"
1.76386004350616e-10,1.7842879666832,0.616,0.283,2.91830644198094e-06,"ATP5PF"
3.7367501987407e-10,-1.91097094133141,0.224,0.87,6.18245320381649e-06,"STK17B"
4.92273440393942e-10,-0.840504899416278,0.578,0.935,8.14466407131778e-06,"BTG1"
6.77082730751763e-10,1.33770611445479,0.827,0.413,1.12023337802879e-05,"ATP5MG"
2.34368370154067e-09,1.37492641448055,0.84,0.413,3.87762468419904e-05,"ATP5MC2"
2.99007749897772e-09,1.55709840295959,0.882,0.413,4.94708322205864e-05,"RACK1"
4.49538427496578e-09,-2.36837332657533,0.11,0.696,7.43761328293088e-05,"PHC2"
6.37284492679235e-09,-4.86117969350362,0.013,0.37,0.000105438719313779,"U2AF1"
1.55576961342852e-08,-4.28604021352762,0.017,0.435,0.000257402082541748,"GPX1"
2.76920653673617e-08,0.807586717605277,0.574,0.348,0.000458165221503,"ATP5ME"
2.77600175224864e-08,2.10080222725601,0.506,0.217,0.000459289489909538,"COPS9"
2.86527182279538e-08,1.46223092458146,0.675,0.391,0.000474059223081496,"ATP5MC3"
3.82675992206416e-08,-5.10977032510027,0.004,0.304,0.000633137429105515,"PKP2"
4.58376054129889e-08,-0.753902004939417,0.608,0.957,0.000758383181557901,"TSC22D3"
5.27859640870618e-08,1.1100840165651,0.688,0.391,0.000873343775820437,"UQCR11"
7.24061041996022e-08,1.14219489623538,0.747,0.413,0.00119795899398242,"ELOB"
7.32190562434285e-08,-1.93040212304496,0.148,0.696,0.00121140928554752,"ETS2"
1.99527562232299e-07,-4.16992643805261,0.017,0.348,0.00330118351713339,"CLEC4E"
7.2878996586542e-07,2.18387032453661,0.409,0.152,0.0120578299852434,"SELENOW"
1.13164075697091e-06,-1.39556823230861,0.304,0.826,0.0187229963240837,"CELF2"
1.16245282292561e-06,2.75589942030438,0.485,0.087,0.0192327819553043,"RPS4Y1"
1.19742046554081e-06,-1.41118809549292,0.186,0.717,0.0198113216023727,"SEC14L1"
1.40914690098307e-06,1.41926463445108,0.616,0.326,0.0233143354767649,"ATP5F1D"
2.16947539524635e-06,5.5845504090152,0.118,0,0.0358939704143508,"RETN"
2.62454953101603e-06,-3.36213687909927,0.03,0.348,0.0434231719906603,"VNN1"
2.97223145161013e-06,-1.28471411259422,0.342,0.913,0.0491755693668897,"IFNGR1"
3.58679479621652e-06,0.890388838670753,0.54,0.348,0.0593435199034024,"TMBIM4"
3.89143513030738e-06,1.14328770152354,0.62,0.37,0.0643837942309356,"ATP5MF"
4.50048620378215e-06,-1.55149950260277,0.219,0.761,0.0744605442415756,"IRAK3"
4.57831651306377e-06,5.97905951085235,0.152,0,0.0757482467086401,"SPP1"
5.87388841757042e-06,-0.513230046555146,0.662,0.957,0.0971834838687026,"LAPTM5"
9.52376769372373e-06,-2.79953591476242,0.042,0.391,0.157570736492659,"SAP30"
1.09001432748319e-05,1.66936722220987,0.498,0.261,0.180342870482094,"ATP5F1B"
1.58176876629998e-05,-1.54847514541987,0.181,0.674,0.261703642384332,"ARL4A"
1.61944373743117e-05,-0.498400761126253,0.759,1,0.267936966357987,"SRGN"
1.72568676707751e-05,0.943016829607426,0.367,0.304,0.285514875612973,"ATP5IF1"
1.7690408670058e-05,0.497667747580455,0.633,0.652,0.292687811446109,"CD63"
1.9964700463066e-05,1.85927892508793,0.473,0.196,0.330315969161426,"RSRP1"
2.16423901559352e-05,-0.788142448300174,0.371,0.804,0.358073345129948,"CYTIP"
2.32083865249956e-05,-2.95337539204253,0.059,0.457,0.383982755056053,"INSR"
2.42192715964426e-05,-0.629941999365938,0.397,0.826,0.400707848563142,"CLEC12A"
2.55581703804615e-05,-0.163393776490233,0.861,0.978,0.422859928944735,"DUSP1"
2.87385700308031e-05,-2.47930031370804,0.131,0.565,0.475479641159638,"ALDOA"
3.10491245473031e-05,1.74986618739539,0.384,0.174,0.51370776563513,"ATP5F1C"
