"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
3.09706018353398e-78,-0.944574969531658,0.761,0.988,5.12408607365696e-74,"JUND"
1.8054924065008e-69,-1.50611942437073,0.436,0.887,2.98718718655558e-65,"ATP1B3"
3.26142282906597e-68,-3.81835835256879,0.074,0.706,5.39602407068965e-64,"NR4A1"
4.67445002659318e-66,-1.96464513944845,0.348,0.938,7.73387756899842e-62,"FOS"
9.5303055289625e-66,-1.38949709186572,0.491,0.931,1.57678904976685e-61,"IER3"
3.54822722864333e-64,-2.29906770555359,0.236,0.812,5.87054194979039e-60,"CREM"
3.84705303472796e-56,-1.33146561828021,0.444,0.881,6.3649492459574e-52,"PNP"
5.00626616581257e-56,-1.71008968828098,0.396,0.944,8.2828673713369e-52,"IER2"
7.31289403612273e-56,-1.40792152307926,0.422,0.9,1.20991831827651e-51,"SMIM5"
1.67385460187223e-51,-1.71791605262073,0.387,0.881,2.76939243879761e-47,"JUNB"
3.1677267473629e-49,-2.34238263491939,0.222,0.769,5.24100390351192e-45,"ZFP36"
3.3876068269895e-47,-1.33906702998237,0.398,0.838,5.60479549525412e-43,"ARG2"
7.74677883481214e-47,-2.84036275825802,0.11,0.631,1.28170455821967e-42,"CHGB"
2.06615044274268e-46,2.19842846321,0.726,0.312,3.41844590751776e-42,"HLA-DRA"
1.82539624528796e-44,-3.59706999585141,0.053,0.55,3.02011808782892e-40,"ZNF331"
3.43232676361961e-40,-1.88778866291531,0.291,0.806,5.67878463040865e-36,"JUN"
1.81413484539964e-38,-0.467299633322699,0.864,0.975,3.00148610171371e-34,"CYSTM1"
3.48969185506993e-38,-2.03083581090212,0.217,0.694,5.77369517421321e-34,"CALB1"
1.15837164388766e-37,-10.3232053128328,0,0.294,1.91652588481214e-33,"NR4A3"
1.48373732223847e-37,-2.43238055798894,0.159,0.688,2.45484339964356e-33,"EGR1"
8.44960137879769e-37,-4.549649714833,0.017,0.4,1.39798654812208e-32,"HBEGF"
1.65387235320705e-36,-1.63920445749439,0.324,0.806,2.73633180838107e-32,"DUSP1"
1.90538061393856e-36,1.35372814703491,0.813,0.581,3.15245222576135e-32,"CD74"
1.02368652656649e-33,-4.96947854705694,0.009,0.331,1.69368935820426e-29,"NR4A2"
1.04527979535032e-33,-3.12390216967086,0.071,0.5,1.7294154214071e-29,"ATF3"
1.79167794056692e-33,-0.289650940124327,0.947,1,2.96433115266797e-29,"EIF1"
3.71662843202148e-32,4.37678478863642,0.468,0.044,6.14916174077953e-28,"SPP1"
4.70800878285869e-32,1.73039400864968,0.744,0.419,7.78940053123971e-28,"HLA-DRB1"
9.09236125955622e-32,-1.75937840770236,0.222,0.675,1.50433117039358e-27,"DUSP6"
2.32154745357792e-31,2.22284065425022,0.67,0.262,3.84100026194467e-27,"MMP7"
2.19356554643767e-30,-1.10070437823794,0.448,0.806,3.62925419658113e-26,"BTG2"
3.5468930082264e-30,-3.67231917569621,0.036,0.4,5.86833448211058e-26,"GALNT9"
1.22945847828572e-29,-3.22267818646958,0.05,0.456,2.03413905232373e-25,"RGS2"
1.16020183475791e-28,-2.48880713881228,0.091,0.537,1.91955393560697e-24,"SLC45A4"
1.61863346144429e-28,-0.54555053246067,0.757,0.956,2.67802906195958e-24,"TSC22D1"
1.63396129908558e-28,4.89940790015143,0.414,0.019,2.70338896933709e-24,"LTF"
9.90486132565017e-27,1.43802942677982,0.593,0.362,1.63875930632882e-22,"STAT1"
1.11464924960574e-26,-1.0192374868804,0.527,0.85,1.8441871834727e-22,"HSPA1A"
1.14986635524804e-26,-0.851155471512733,0.535,0.812,1.90245388475789e-22,"CEBPD"
1.5910670474879e-26,-1.80388245545602,0.166,0.544,2.63242043006873e-22,"SERTAD1"
1.70313962723398e-26,-0.452739984690086,0.784,0.969,2.81784451325862e-22,"AQP3"
1.04899334653142e-25,-1.66103554824058,0.213,0.631,1.73555949183624e-21,"IDI1"
1.74681646242909e-25,-0.333953470946969,0.888,0.994,2.89010783708893e-21,"CYB5A"
3.71050461787491e-25,2.70537595964835,0.528,0.181,6.13902989027404e-21,"SLPI"
5.60470559708121e-25,8.71759352666601,0.309,0,9.27298541037086e-21,"LCN2"
1.09562158520715e-24,-0.566422262391249,0.741,0.975,1.81270591272524e-20,"CA2"
1.32789525836306e-24,-1.33641703715386,0.322,0.756,2.19700270496169e-20,"RASD1"
2.03739108485078e-24,-0.41237116338178,0.839,0.969,3.37086354988561e-20,"RPS29"
3.85995729333723e-24,0.979811116238365,0.767,0.637,6.38629934182645e-20,"ITGB1"
3.51625125280774e-23,-0.332985503397119,0.746,0.919,5.8176376977704e-19,"PTGER1"
3.9870169908354e-23,-0.425216712129927,0.833,0.975,6.59651961133716e-19,"RPL37A"
1.09999677034446e-22,-1.14866159623063,0.406,0.744,1.81994465653492e-18,"HSPA1B"
1.75884332257946e-22,1.64040452798029,0.429,0.212,2.91000627720772e-18,"RNF213"
1.34313336760358e-21,-0.33213189187849,0.879,0.988,2.22221415670012e-17,"TMA7"
1.4422489954734e-21,-0.828909395617234,0.633,0.969,2.38620096301074e-17,"MIF"
1.53999594611096e-21,-0.357542832734351,0.857,0.981,2.54792329284058e-17,"CHCHD2"
2.97725992951245e-21,-1.33817495732024,0.282,0.694,4.92587655337835e-17,"PTP4A1"
7.75030707822498e-21,-0.450258711934615,0.78,0.963,1.28228830609232e-16,"NDUFC1"
8.04936334429259e-21,-1.29468814202672,0.248,0.594,1.33176716531321e-16,"PIM3"
9.05189275588568e-21,-0.322728052757084,0.859,0.988,1.49763565646129e-16,"GPX4"
1.16134289843656e-20,-0.930369870144394,0.468,0.775,1.92144182546329e-16,"GDF15"
1.21644259025278e-20,-1.13770292002164,0.375,0.675,2.01260426557323e-16,"RCAN1"
1.32097912644164e-20,-1.25818000547739,0.283,0.694,2.18555996469769e-16,"GMNN"
1.77482300259827e-20,-1.00757419946419,0.425,0.838,2.93644465779884e-16,"NR2F2"
1.81523654889536e-20,-0.529823697338629,0.777,0.963,3.00330887014737e-16,"RPS10"
4.70347640272711e-20,-0.706568422558099,0.508,0.812,7.781901708312e-16,"METRNL"
5.08343978389083e-20,-0.558015990321323,0.636,0.781,8.41055112244738e-16,"ATP5ME"
9.29674414569754e-20,-0.632146463833883,0.532,0.756,1.53814631890566e-15,"SNRPN"
9.65222015479416e-20,3.72415749260647,0.296,0.025,1.59695982461069e-15,"TIMP1"
4.6414740784414e-19,-0.295332483827645,0.863,0.981,7.67931886278129e-15,"RPL23A"
4.9928085859801e-19,-0.106141707578867,0.968,0.994,8.26060180550407e-15,"RPS14"
5.1845913543238e-19,1.49951292498897,0.483,0.294,8.57790639572872e-15,"THBS1"
5.55839754428575e-19,-0.236858798042197,0.901,0.988,9.19636873702077e-15,"NACA"
