"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
1.34121370966052e-131,-3.57691291675647,0.071,0.593,2.21903808263333e-127,"PDK4"
1.14895636514555e-128,-3.34815049881094,0.059,0.596,1.90094830613331e-124,"ERRFI1"
3.61723233063626e-122,2.03897822413774,0.733,0.3,5.9847108910377e-118,"S100A11"
1.50716395056746e-116,-2.12975897365881,0.215,0.746,2.49360275621386e-112,"DPEP1"
9.0774337952381e-115,-1.09772111075453,0.492,0.928,1.50186142142214e-110,"HPD"
3.19671232923179e-114,-1.62136459121201,0.318,0.853,5.288960548714e-110,"GSTA2"
3.62938628858649e-113,1.22259797037465,0.83,0.609,6.00481961446635e-109,"TMSB10"
2.772162293623e-110,-1.25067690763628,0.435,0.901,4.58654251479926e-106,"FABP1"
8.76818302210875e-107,-0.603530724593047,0.791,0.991,1.45069588100789e-102,"ALDOB"
3.10819645353241e-105,-0.743878128622651,0.693,0.987,5.14251103236937e-101,"MIOX"
1.49997423222357e-103,1.86189047453144,0.713,0.326,2.48170736721389e-99,"IL32"
1.11172247863942e-99,-0.766667729040257,0.762,0.966,1.83934484090893e-95,"APOE"
1.78811025146126e-95,-5.45717135720854,0.011,0.363,2.95842841104266e-91,"CRYAA"
1.27368087493413e-93,-1.24137387794688,0.476,0.856,2.10730500757852e-89,"UGT2B7"
1.01456629049269e-92,-1.76565923536046,0.229,0.69,1.67859992762016e-88,"GADD45A"
9.6267929648744e-87,-2.58978885622025,0.106,0.576,1.59275289603847e-82,"FAM151A"
2.2720199136259e-85,0.992674089831107,0.786,0.649,3.75905694709405e-81,"SPP1"
1.33428659130846e-83,-3.22553335545121,0.055,0.448,2.20757716531984e-79,"TSC22D3"
1.35843981679553e-82,-0.773102990653606,0.655,0.966,2.24753867688821e-78,"GSTA1"
2.0347710517167e-76,-3.32517167148447,0.043,0.412,3.36652870506527e-72,"FKBP5"
2.27902012935014e-74,3.30461899864674,0.391,0.058,3.77063880400981e-70,"IFITM3"
8.24844853280649e-68,-1.21731456350131,0.395,0.803,1.36470580975283e-63,"PRODH2"
2.30246403481466e-67,-1.24994078602467,0.343,0.75,3.80942674560086e-63,"PAH"
1.09802930325716e-65,-0.662653674259475,0.642,0.926,1.81668948223897e-61,"FBP1"
1.43221580303516e-65,-1.46428905841799,0.318,0.751,2.36960104612167e-61,"ALB"
1.76283254735485e-65,-1.93040547456833,0.111,0.498,2.91660644959859e-61,"GGACT"
4.479999092226e-64,-4.07217324655852,0.021,0.305,7.41215849808791e-60,"TIPARP"
7.85417486720495e-61,1.16200142972054,0.583,0.427,1.29947323177906e-56,"SOD2"
2.29555964137228e-59,2.9863348245484,0.385,0.07,3.79800342665043e-55,"TMSB4X"
2.99958660861038e-59,-2.16644143854402,0.102,0.49,4.96281604394587e-55,"PLG"
6.46059799398983e-59,0.512737252832571,0.918,0.867,1.06890593810562e-54,"MYL6"
4.96009668325628e-56,-2.28647875965826,0.093,0.462,8.20647996244751e-52,"AOC1"
2.00002594766598e-54,-0.613183973008155,0.694,0.928,3.30904293041336e-50,"ASS1"
5.5641115088345e-54,1.90532109726996,0.37,0.149,9.20582249136668e-50,"HIF1A"
1.18358001098819e-53,-1.71024417227963,0.2,0.599,1.95823312817997e-49,"SLC22A8"
1.0217005088523e-52,-0.632351990949047,0.675,0.912,1.69040349189612e-48,"ADI1"
1.87653494396599e-52,1.81591011857086,0.447,0.202,3.10472706479173e-48,"CD74"
4.04131094953449e-52,-1.62257734908246,0.192,0.599,6.68634896600482e-48,"APOM"
4.81712609505245e-52,-1.60635459819006,0.22,0.617,7.96993512426428e-48,"MME"
8.31761657310716e-52,2.32246686884939,0.33,0.097,1.37614966202058e-47,"CDH6"
2.99726593918196e-51,-1.12429637657392,0.35,0.729,4.95897649637656e-47,"FTCD"
1.14398525391858e-50,-0.702285675961198,0.5,0.84,1.89272360260829e-46,"PCK1"
2.25513356570236e-49,-1.75364193256642,0.181,0.585,3.73111848445455e-45,"SLC22A6"
1.41971701325479e-48,-1.24842755967986,0.303,0.674,2.34892179843005e-44,"SLC7A7"
5.55747794191797e-47,-1.87030310774284,0.127,0.454,9.19484725490328e-43,"RNF186"
4.8841522326705e-46,-2.35978084792556,0.058,0.329,8.08082986895335e-42,"CALML3"
5.74887708626493e-46,3.08022964432198,0.305,0.064,9.51151713922533e-42,"MT1M"
1.11701410065261e-45,-4.01917661675179,0.013,0.236,1.84809982952975e-41,"APOC3"
4.06134216015911e-45,0.897555814310452,0.699,0.538,6.71949060398325e-41,"S100A10"
4.79481854052655e-45,1.38555678614952,0.654,0.33,7.93302727530118e-41,"S100A1"
1.39600698335775e-44,-0.322249266954659,0.884,0.987,2.30969355396539e-40,"GATM"
1.67048649660931e-44,2.99502379264741,0.301,0.056,2.7638199086401e-40,"S100A6"
3.34283310516954e-44,-1.25002040890805,0.215,0.565,5.530717372503e-40,"PCK2"
1.09184485407469e-43,-1.56462587482156,0.153,0.484,1.80645731106657e-39,"ANGPTL3"
1.87756593421742e-43,-1.9937027662907,0.099,0.418,3.10643283816272e-39,"USP2"
2.55075778388927e-43,0.792216406902025,0.708,0.607,4.2202287534448e-39,"B2M"
9.19840795500608e-42,1.70836295672105,0.432,0.197,1.52187659615576e-37,"CDK2AP2"
9.20409754084046e-42,0.667477930177877,0.897,0.772,1.52281793813205e-37,"CRYAB"
1.3882398507189e-41,1.07308459610477,0.604,0.424,2.29684283301441e-37,"DUSP23"
6.56543069140331e-41,-1.16197513455645,0.283,0.624,1.08625050789268e-36,"ALDH3A2"
9.50599652190788e-41,-1.94390581771049,0.088,0.383,1.57276712454966e-36,"KLF9"
1.28801613099204e-40,-0.427461830360986,0.742,0.936,2.13102268872633e-36,"PEPD"
3.92402930703311e-40,-0.584313218882825,0.605,0.9,6.49230648848629e-36,"CMBL"
4.80651555554084e-40,4.37228840386331,0.245,0.019,7.95237998664233e-36,"WFDC2"
6.17058484430146e-39,1.13196198980144,0.556,0.362,1.02092326248968e-34,"ANXA4"
6.30698892499664e-39,1.80498119592522,0.423,0.171,1.04349131764069e-34,"CD24"
8.20044639479602e-38,-0.810305718249721,0.485,0.809,1.356763856019e-33,"DHRS4L2"
4.7677638963314e-37,-1.85715013155088,0.084,0.344,7.8882653664803e-33,"TTC36"
5.18996140853867e-37,0.524708447086497,0.666,0.69,8.58679115042723e-33,"GSTP1"
2.16058736447815e-36,2.02411687961575,0.317,0.116,3.5746917945291e-32,"HLA-DRA"
3.38844763457441e-36,-1.62106904941921,0.135,0.448,5.60618661140335e-32,"SLC6A19"
4.39609002723925e-36,-2.52016166637923,0.05,0.297,7.27333095006734e-32,"TSKU"
1.17505534893654e-35,-1.45764261352397,0.167,0.485,1.94412907481551e-31,"AZGP1"
1.40768031461551e-35,0.488822110986519,0.797,0.728,2.32900708053136e-31,"DSTN"
2.02238625533668e-35,0.636482567872055,0.601,0.523,3.34603805945453e-31,"CDC42"
5.32172565593709e-35,0.378550633380645,0.894,0.865,8.80479509774792e-31,"DBI"
2.07727655622161e-34,-0.560194946686803,0.628,0.872,3.43685406226866e-30,"SAT2"
2.66617424382758e-34,-2.59031699702061,0.044,0.254,4.41118528641274e-30,"DUSP1"
7.16893326150378e-34,-0.612641492964817,0.522,0.808,1.1861000081158e-29,"MSRA"
7.36030266317252e-34,-1.13587466945073,0.23,0.535,1.21776207562189e-29,"ETNK2"
9.97337576031196e-34,-0.927201163110354,0.424,0.754,1.65009501954361e-29,"CUBN"
1.13701825935831e-33,3.49423951324155,0.184,0.019,1.88119671010833e-29,"TNFRSF12A"
1.21718489839065e-33,-2.5227109725814,0.052,0.29,2.01383241438733e-29,"SLC34A3"
3.55718045603114e-33,-1.61087280816677,0.115,0.396,5.88535506450352e-29,"TMEM174"
4.49963838147027e-33,-0.998531245394595,0.259,0.574,7.44465170214256e-29,"ASPDH"
6.83947651132335e-33,-0.683877200839708,0.469,0.753,1.13159138879845e-28,"HAGH"
1.3850694664432e-32,2.38009077244042,0.261,0.058,2.29159743223028e-28,"JPT1"
3.27068588025437e-32,-0.166972840717389,0.953,0.992,5.41134978888085e-28,"CYB5A"
3.70721300786935e-32,2.38463471349704,0.226,0.059,6.13358392151984e-28,"ITGB8"
7.16869904569432e-32,1.71201567839481,0.344,0.141,1.18606125711013e-27,"CLU"
7.66841841377425e-32,-1.40915337211602,0.223,0.537,1.26873982655895e-27,"ZFAND5"
1.32383464175097e-31,-0.562475394930845,0.595,0.845,2.19028441477698e-27,"ACAA1"
2.26068357674238e-31,-0.913926638592681,0.311,0.634,3.74030097772027e-27,"SORD"
6.36839196612081e-31,-0.350321512073842,0.788,0.961,1.05365045079469e-26,"SUCLG1"
7.09326093532503e-31,1.76120454986566,0.33,0.122,1.17358002174953e-26,"PPP1R1A"
9.38393768537157e-31,-0.394986797574869,0.758,0.941,1.55257249004473e-26,"CALM1"
1.02422070291009e-30,-0.173815809718899,0.926,0.994,1.69457315296474e-26,"PEBP1"
1.34003905599935e-30,-3.47596135260126,0.016,0.186,2.21709461815092e-26,"SOCS2"
1.99474483261553e-30,-0.897724402653689,0.377,0.66,3.3003053255624e-26,"SH3YL1"
2.74522384021781e-30,-0.595521200426406,0.417,0.723,4.54197284364036e-26,"ADIRF"
2.74994349865273e-30,1.28677728846066,0.364,0.219,4.54978151852095e-26,"PIGR"
2.77916217129941e-30,-1.4810517380088,0.179,0.482,4.59812381241488e-26,"PRAP1"
2.52027729757413e-29,-1.43487657786051,0.187,0.49,4.1697987888364e-25,"FBXO21"
2.91656652044478e-29,-1.30008210647101,0.227,0.535,4.82545930807588e-25,"FCGRT"
1.37595298207013e-28,1.7326693909642,0.312,0.114,2.27651420883503e-24,"VIM"
1.5375975349795e-28,-0.63035428182686,0.524,0.803,2.54395512162358e-24,"NQO2"
1.66676312410966e-28,0.439475308570944,0.797,0.765,2.75765958883943e-24,"PFN1"
1.75961213280158e-28,-0.919328972517669,0.313,0.598,2.91127827372021e-24,"BPHL"
2.221274964222e-28,-0.339218423965769,0.713,0.937,3.6750994283053e-24,"DCXR"
6.98652842776707e-28,1.95725416718421,0.256,0.089,1.15592112837406e-23,"ADGRG1"
1.05246114697832e-27,-0.601318005231483,0.503,0.772,1.74129696767563e-23,"RAB11FIP3"
1.31155808039665e-27,-0.801853311867854,0.443,0.729,2.16997284401625e-23,"PTH1R"
2.3606129998897e-27,0.671939615817847,0.628,0.535,3.90563420831751e-23,"CALM2"
2.98406803847502e-27,-1.44260468940263,0.144,0.399,4.93714056965691e-23,"HPGD"
4.98621282720051e-27,-1.35258969873952,0.194,0.495,8.24968912260324e-23,"SLC3A2"
6.30849084335849e-27,-0.534402781408585,0.552,0.811,1.04373981003366e-22,"CRYL1"
8.40273651974546e-27,2.30809771449036,0.22,0.064,1.39023275719189e-22,"TMEM54"
1.52782742180984e-26,-1.7791734349082,0.055,0.236,2.52779046938437e-22,"KLF15"
3.53142610875635e-26,3.8772990009701,0.162,0.014,5.84274449693738e-22,"CRIP2"
4.60145566247562e-26,-2.39166519150256,0.055,0.274,7.61310839356592e-22,"SLC36A2"
1.17031484552574e-25,0.555890262977822,0.671,0.595,1.93628591192234e-21,"SEC61G"
1.52323158457699e-25,-0.974352328170089,0.321,0.637,2.52018665668264e-21,"IGFBP4"
3.43567365558598e-25,0.944716041915771,0.488,0.349,5.684322063167e-21,"CARHSP1"
4.338962481663e-25,-0.604930017909132,0.382,0.667,7.17881342591143e-21,"AGMAT"
4.9863431639154e-25,0.365712602783093,0.855,0.825,8.24990476469803e-21,"ACTB"
