"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
4.62701646741945e-42,-2.78330700644831,0.199,0.768,7.65539874534548e-38,"DUSP1"
6.68126897818846e-36,-3.1147153629685,0.113,0.656,1.10541595244128e-31,"EGR1"
2.88002100568392e-35,-2.32197077838871,0.259,0.775,4.76499475390405e-31,"CEBPD"
1.2982215381076e-33,-3.11651014907698,0.09,0.616,2.14790753479902e-29,"FKBP5"
1.647153409317e-33,-3.67129600086472,0.07,0.563,2.72521531571498e-29,"NR4A1"
7.87328352260038e-33,-2.83501440112218,0.179,0.662,1.30263475881423e-28,"GADD45B"
3.5751190818433e-31,-4.5051525988798,0.053,0.517,5.91503452090973e-27,"FOSB"
4.60031953853768e-31,-2.24878956521002,0.259,0.742,7.6112286765106e-27,"JUNB"
2.81263811508944e-30,-1.25935012118253,0.585,0.901,4.65350976141547e-26,"JUND"
1.15770833747471e-29,-3.7775900003983,0.07,0.53,1.91542844435191e-25,"BTG2"
6.30385226320808e-29,-1.82425057004714,0.332,0.795,1.04297235694778e-24,"CEBPB"
7.14971218040812e-28,-2.67788936392905,0.136,0.629,1.18291988024852e-23,"FOS"
1.09336331766971e-26,-2.11066474007107,0.243,0.695,1.80896960908454e-22,"ZFP36"
2.32816184461665e-26,-4.90791660387395,0.023,0.404,3.85194377191825e-22,"RASD1"
3.27564860087829e-26,-2.43765545236782,0.196,0.656,5.41956061015314e-22,"JUN"
3.95388376070073e-25,-2.55113255248528,0.14,0.563,6.54170068207936e-21,"RGCC"
1.23654666344233e-22,-2.13046188370674,0.206,0.576,2.04586645466534e-18,"PHLDA1"
6.93769836421224e-22,-3.62296660784651,0.047,0.404,1.14784219435892e-17,"DDIT4"
1.87594127021949e-20,-1.90096099432135,0.203,0.636,3.10374483157815e-16,"KLF9"
2.44944958344768e-19,-1.66844397476543,0.252,0.669,4.05261433581419e-15,"NFKBIA"
2.32555367595224e-18,-2.43980470642062,0.116,0.477,3.84762855686298e-14,"PDK4"
4.36917837769136e-18,-1.87425656720569,0.236,0.629,7.22880562589036e-14,"ZFAND5"
1.31706018814972e-17,-0.61261311442786,0.864,0.94,2.17907608129371e-13,"MT2A"
3.33487006912888e-17,-1.56326319960886,0.272,0.649,5.51754252937373e-13,"TSC22D3"
3.72199793806501e-17,-1.66228069027512,0.296,0.675,6.15804558852856e-13,"ARID5B"
5.58628018596536e-17,-1.79406145966137,0.279,0.603,9.24250056767968e-13,"MT1M"
5.96063522193872e-17,2.08635427129287,0.488,0.119,9.86187097469762e-13,"RPS4Y1"
6.67097131417114e-17,-2.05434132169967,0.199,0.57,1.10371220392961e-12,"IER2"
2.14921176727881e-16,-0.829736195041499,0.698,0.927,3.55587086896279e-12,"UBC"
4.79275633565668e-16,-1.16878221193599,0.445,0.722,7.92961535734397e-12,"RHOB"
7.59079623335323e-16,-2.89689937234131,0.066,0.384,1.25589723680829e-11,"TIPARP"
