"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
1.49043068275192e-179,2.48113619535657,0.906,0.344,2.46591756461306e-175,"SPP1"
4.98619048253669e-115,-5.65271649019013,0.014,0.472,8.24965215335695e-111,"NR4A1"
5.38638283791521e-103,1.51992766997106,0.873,0.328,8.91177040533072e-99,"RACK1"
1.08047793857788e-100,1.79753828451287,0.856,0.322,1.7876507493771e-96,"CD24"
8.83881855980362e-98,-3.32206513986501,0.131,0.613,1.46238253071951e-93,"ALDOA"
1.24655561801672e-94,-13.5785236278149,0,0.236,2.06242627000866e-90,"TFF2"
4.61914775739786e-91,1.49104821927503,0.85,0.337,7.64237996461476e-87,"ATP5F1E"
2.09586227639689e-89,-3.84943534643818,0.061,0.488,3.46760413629866e-85,"ATF3"
2.21896603567928e-85,-1.60577176080129,0.346,0.727,3.67127930603137e-81,"KLF6"
4.70646438189599e-84,-3.75462756238211,0.044,0.494,7.78684531984692e-80,"GPX1"
5.31286041753198e-84,-2.20890375473635,0.234,0.678,8.79012756080667e-80,"DUSP1"
3.88614993855896e-83,-3.44488338304818,0.139,0.475,6.42963507334579e-79,"S100A4"
1.28304488279557e-80,3.1321334156136,0.535,0.104,2.12279775858527e-76,"ADGRG1"
4.70174021651061e-79,1.70239759778426,0.787,0.31,7.77902918821681e-75,"ATP5F1D"
1.02662468466532e-75,-9.90494479842879,0.001,0.209,1.69855054077877e-71,"TFF1"
5.59549688716016e-74,1.47076250417093,0.777,0.322,9.25774959980648e-70,"ATP5MC2"
6.23844349078146e-74,1.4960821389052,0.78,0.328,1.03215047554979e-69,"ATP5MG"
4.35298829916508e-71,-2.951850173964,0.13,0.399,7.20201914096862e-67,"CCND2"
5.59465571519409e-70,-2.10931471933402,0.207,0.607,9.25635788078862e-66,"ZFP36"
1.10281186866777e-69,1.39056747366874,0.751,0.313,1.82460223671083e-65,"ATP5IF1"
2.68652289442129e-69,-1.85767317578328,0.278,0.687,4.44485212882002e-65,"FOS"
3.86174389861949e-69,1.55139404303054,0.746,0.319,6.38925528026595e-65,"ATP5MC3"
4.57220346228821e-69,1.43111590690052,0.753,0.322,7.56471062835584e-65,"ELOB"
1.08285614544465e-68,-2.26201469490842,0.134,0.537,1.79158549263818e-64,"TSC22D3"
3.74935158586363e-66,-12.9407729470349,0,0.178,6.20330219881137e-62,"KRT13"
1.4717290443433e-65,1.60284000677551,0.718,0.294,2.43497570386599e-61,"ATP5PF"
5.71914934199632e-65,-12.7321709299189,0,0.175,9.46233258633291e-61,"CEACAM6"
1.72475385255497e-64,-0.704484868828266,0.674,0.798,2.8536052490522e-60,"JUND"
2.32882003129635e-64,-0.416983997708185,0.914,0.972,3.85303274177981e-60,"EIF1"
7.49895696148692e-64,1.70398589965805,0.669,0.258,1.24070242927801e-59,"ATP5F1B"
1.7288556325735e-63,-2.11224895557946,0.206,0.558,2.86039164409286e-59,"GADD45B"
2.03526314650711e-63,1.55208285983793,0.69,0.291,3.36734287589602e-59,"ATP5MF"
2.70374058374206e-63,2.13701430688141,0.59,0.273,4.47333879580123e-59,"CDH6"
7.22731085907021e-62,1.48286770560343,0.692,0.301,1.19575858163317e-57,"UQCR11"
1.13287044917596e-60,1.92942756277426,0.637,0.245,1.87433415816162e-56,"ATP5MC1"
6.18166004997206e-59,-1.44506595470232,0.394,0.696,1.02275565526788e-54,"HSPA1A"
6.37013367990478e-59,1.26114753851077,0.707,0.322,1.05393861734025e-54,"ATP5ME"
2.07836843356922e-58,-4.41208908854608,0.022,0.291,3.43866057334028e-54,"DUSP5"
6.27325711491304e-58,-0.566680782319658,0.805,0.911,1.03791038966236e-53,"UBC"
2.31240509881831e-57,-2.2545624291459,0.152,0.537,3.8258742359949e-53,"EGR1"
3.92380091226103e-57,4.84151760224987,0.454,0.034,6.49192860933588e-53,"C3"
5.94792359649166e-57,-2.78027324193573,0.097,0.451,9.84083959039545e-53,"FOSB"
2.39886194080414e-55,1.66166955155028,0.749,0.399,3.96891708106046e-51,"TNFSF10"
1.58084017883763e-54,-0.751007298873235,0.783,0.933,2.61550007588686e-50,"MYL12A"
3.78756657050491e-54,-2.35942808797412,0.12,0.457,6.26652889090037e-50,"PPP1R15A"
7.24916084677688e-52,-3.29145749338726,0.067,0.304,1.19937366209924e-47,"PHLDA2"
8.5687589090287e-52,-1.31937045616304,0.331,0.736,1.4177011614988e-47,"ADIRF"
7.34247987997178e-51,-2.10988157290842,0.179,0.405,1.21481329614133e-46,"TM4SF1"
1.80577063839001e-50,-3.79689424354623,0.032,0.331,2.98764752121626e-46,"U2AF1"
5.753847512169e-50,-0.33167465373253,0.943,0.982,9.51974070888361e-46,"RPL30"
5.88453089183835e-50,-2.9354344401425,0.072,0.353,9.73595636054654e-46,"PDK4"
2.19995074614275e-49,-1.37419486914002,0.346,0.663,3.63981850949318e-45,"JUNB"
2.46254022170409e-49,-0.329975221638277,0.952,0.988,4.07427279680942e-45,"PTMA"
2.79486777975174e-49,-0.262491141123919,0.969,0.994,4.62410874159925e-45,"RPS27A"
3.13071916125484e-49,-3.99309419822749,0.034,0.252,5.17977485229614e-45,"FXYD3"
4.84568595899897e-49,7.90439482607908,0.359,0.003,8.0171874191638e-45,"LTF"
3.85690482950641e-48,-1.39359587066714,0.253,0.589,6.38124904041836e-44,"NFKBIA"
5.25404582332769e-48,1.53622107240334,0.6,0.27,8.69281881469567e-44,"ATP5F1C"
1.45021365121652e-47,-3.56844424938932,0.039,0.242,2.39937848593773e-43,"AGR2"
4.3175504925815e-47,-2.76177433568042,0.077,0.402,7.14338728997608e-43,"ERRFI1"
5.26803610066018e-47,1.6948001807221,0.58,0.236,8.71596572854227e-43,"SEM1"
8.08773329910675e-47,-1.12879653960838,0.43,0.706,1.33811547433721e-42,"LY6E"
2.02881990574338e-46,-5.69457598831344,0.011,0.172,3.35668253405243e-42,"CLEC2B"
2.15101105394645e-46,-1.21090348646776,0.389,0.653,3.55884778875439e-42,"IER2"
1.03908508718173e-45,-0.842150023597239,0.7,0.883,1.71916627674217e-41,"CSTB"
1.17139596120471e-45,-5.08331016664155,0.012,0.181,1.9380746178132e-41,"SPINK1"
4.25961786447753e-45,-7.67694047322827,0.003,0.141,7.04753775677808e-41,"ZG16B"
7.88332847455352e-45,-2.42457906966581,0.065,0.377,1.30429669611488e-40,"FKBP5"
3.93006211320726e-43,-12.036115284401,0,0.123,6.50228776630142e-39,"S100P"
1.53424596639141e-42,1.21791982265102,0.62,0.294,2.53840995139458e-38,"BEX3"
8.07044123058659e-42,-1.09471157982677,0.389,0.598,1.33525450160055e-37,"JUN"
1.18739794770197e-41,1.56138096958884,0.539,0.273,1.9645499044729e-37,"HIF1A"
1.20534025632804e-41,-4.35032239166528,0.02,0.221,1.99423545409475e-37,"PLAT"
1.75412351963904e-41,-0.478262090282514,0.888,0.975,2.9021973632428e-37,"RPS2"
2.17002178400016e-41,-0.250604515728181,0.976,0.991,3.59030104162827e-37,"TPT1"
3.23182808014353e-41,-0.320527907411439,0.926,0.972,5.34705955859746e-37,"RPS3"
1.12161218940394e-40,-0.820464956806313,0.501,0.687,1.85570736736881e-36,"LMNA"
1.19383889430996e-40,2.6004487027887,0.407,0.101,1.97520645063583e-36,"JPT1"
2.14271915725776e-40,-1.01724187342954,0.509,0.702,3.54512884568297e-36,"KRT19"
2.66814940222168e-40,-3.84813179435371,0.029,0.227,4.41445318597577e-36,"SNCG"
1.42532201316424e-39,-0.398806255276233,0.872,0.951,2.35819527078024e-35,"RPL10A"
1.43302056343738e-39,-0.227217434963429,0.977,0.991,2.37093252220714e-35,"RPL10"
1.68247027628632e-39,2.13392622605315,0.436,0.135,2.78364707211571e-35,"STMP1"
1.76186231953592e-39,-0.435391684450218,0.827,0.908,2.91500120767218e-35,"RPL37A"
1.94527150951618e-39,0.901873543405752,0.848,0.626,3.21845171249453e-35,"CTSD"
3.46121925598174e-39,1.41237882472527,0.548,0.248,5.72658725902178e-35,"ATP5F1A"
4.32424513413784e-39,-3.33335760019392,0.034,0.31,7.15446357443105e-35,"MATR3"
5.94287414168917e-39,-12.0351171202413,0,0.11,9.83248526742473e-35,"PSCA"
6.66830078141209e-39,1.14543060923649,0.881,0.61,1.10327036428463e-34,"CLU"
7.92354722827882e-39,1.56540986317623,0.528,0.236,1.31095088891873e-34,"ATP5PO"
1.28245824071936e-38,1.39769514924011,0.548,0.261,2.12182715927017e-34,"COPS9"
5.22873925212974e-38,-5.00672068136033,0.01,0.147,8.65094909264865e-34,"CDKN2A"
1.09273097778303e-37,-0.591208193184018,0.792,0.902,1.80792340274203e-33,"KRT18"
1.30425235017295e-37,-3.63701109471764,0.017,0.248,2.15788551336114e-33,"ZBTB16"
1.54426141151856e-37,-2.11825896819934,0.111,0.393,2.55498050535745e-33,"BTG2"
2.35636459528374e-37,1.46892322990834,0.564,0.248,3.89860522289695e-33,"ATP5PD"
2.37973430268846e-37,-0.524086736314636,0.771,0.899,3.93727040379806e-33,"BTF3"
