"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
6.54310459484563e-33,-3.81845733836571,0.087,0.868,1.08255665521721e-28,"NR4A1"
1.1253434579104e-28,2.98651568522475,0.777,0.25,1.86188075111276e-24,"SPP1"
1.267020402624e-27,5.73697235576145,0.478,0.026,2.0962852561414e-23,"TIMP1"
3.22779947616747e-27,1.60931426366861,0.913,0.651,5.34039423331909e-23,"WFDC2"
2.96466605706239e-25,-1.00131419512384,0.734,1,4.90503999140973e-21,"FXYD2"
1.59786851491936e-24,1.31607509034232,0.908,0.645,2.64367345793407e-20,"CD24"
2.76152255779383e-24,-2.47250238696106,0.217,0.921,4.56893907186989e-20,"FAM24B"
2.53455973711246e-23,1.97733224707682,0.717,0.401,4.19342908505256e-19,"TSPAN1"
2.10196642127973e-20,2.02130640813503,0.69,0.408,3.47770344400731e-16,"SERPING1"
3.43610791349148e-19,2.06014802644689,0.772,0.441,5.68504054287165e-15,"CD74"
5.00790329856429e-17,-4.0316072947098,0.065,0.605,8.28557600747461e-13,"CALB1"
6.87077060893894e-17,1.82038816160906,0.674,0.428,1.13676899724895e-12,"IFITM2"
2.68386258425018e-16,-1.37315215868114,0.44,0.921,4.44045064564192e-12,"HSD11B2"
1.33741668879912e-14,-1.14676531566652,0.505,0.961,2.21275591161814e-10,"RHCG"
1.78500130415707e-14,-4.11742244482392,0.033,0.539,2.95328465772787e-10,"PDK4"
3.99826519258495e-14,-0.771669423557711,0.783,0.961,6.61512976113179e-10,"DEFB1"
4.59920577957109e-14,-4.10638237395785,0.022,0.48,7.60938596230037e-10,"PER1"
6.3074066246967e-14,-4.698833130233,0.016,0.467,1.04356042605607e-09,"HMGCS2"
1.52691930009951e-13,-2.01026464955447,0.25,0.789,2.52628798201464e-09,"BTG2"
3.3585114733623e-13,3.53151528049117,0.223,0.033,5.55665723267792e-09,"DAPL1"
8.97421444992319e-13,3.01601000882665,0.245,0.026,1.48478378073979e-08,"S100A1"
9.34481976467496e-13,-4.99906438776877,0.011,0.414,1.54610043006547e-08,"KNG1"
1.1084544197158e-12,0.640290696671311,0.951,0.678,1.83393783741979e-08,"ATP5F1E"
1.35758422796091e-12,0.494529420803435,0.913,0.678,2.24612310516133e-08,"ATP5MG"
1.66112021407263e-12,-3.18671827912921,0.022,0.309,2.74832339418316e-08,"GPX1"
