"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","CellType","Condition"
"R-HSA-72766","Translation","301/4129","368/11230",0.817934782608696,2.2246082849832,18.213752442081,1.34084393503087e-72,2.23920937150156e-69,1.20817095619624e-69,"ELOB/SEM1/EIF4A1/RPS4Y1/RPS17/EIF5B/EIF3B/MALSU1/RPLP0/SEC61B/UFD1/MRPL57/DDOST/SRP19/RPS27L/RPL22/SEC61A1/RPL13A/UBC/MRPS14/EIF4B/MT-ND3/MT-ATP8/ELOC/PSMA2/MRPL47/OXA1L/PSMB4/MRPL52/VCP/EIF3K/RPLP1/MT-ND1/CUL2/SEC61G/MRPL33/MRPS18A/RPL34/MRPL23/RPS20/EIF2B1/MT-ATP6/MT-ND5/RPL10A/MRPS27/MRPL2/PSMB3/RPL5/MT-ND2/RPL4/ZNF598/RPS26/UBE2D3/RARS2/SPCS3/EIF1AX/RPL17/TRMT112/PSMA4/RPS10/MRPL18/RPL10/RPL36AL/RPS6/RPS19/EEF1B2/SEC11C/PSMA3/RPN2/MRPL54/MRPL16/SRP14/RPS11/RPL21/MRPL21/MT-CYB/UBB/RPL23A/RPS2/RPL7/TCF25/MRPL50/MRPL11/PPA1/MT-CO1/MRPL14/RPL37/RPL22L1/MRPL36/EIF3G/GADD45GIP1/PSMB6/MT-ND4L/RPL13/RPL31/RPSA/MRPL51/MRPL4/RPS27A/MRPS30/RPL23/MRPS23/CHCHD1/TRAM1/RPS29/FARSA/MTIF3/SEC11A/EIF4H/MRPS25/KLHDC10/PSMA7/RPL26L1/MRPS18C/RPS4X/PSMB7/RPS27/RPLP2/MT-ND4/RPS13/RPL28/EEF2/MRPS5/NEMF/PSMD13/PSMA1/EEF1D/RPL18A/SPCS2/RPL9/SRP9/RPL41/PSMC4/ADRM1/UBE2D2/ASCC3/EIF2B3/MT-CO3/NDUFAB1/MRPL41/MRPS26/RPL35A/TUFM/RPL39/MTRF1L/PSMD14/PABPC1/EIF5/AIMP1/RPS18/EIF3H/EIF4A2/MRPS35/EIF3I/MRPL32/RPS5/PSMA5/IARS2/MIEF1/ABCE1/RPL6/SRP54/MRPL43/MRPL44/MT-ND6/PSMC1/RPL19/MRPS16/RPL18/EIF3M/PPA2/MRPL1/EIF3F/SRPRA/RPL29/UBA52/RPS28/MRPL3/EIF3D/EEF1E1/SRPRB/RPL12/EIF2S1/RPL26/PSMD12/SPCS1/RPS3/MRPL22/RPN1/MRPL27/PSMD7/RPS3A/MRPS11/MRPS31/RPL3/SSR2/MRPL34/MRPL15/PSMC5/HBS1L/MRPL35/MRPS6/RPL27A/MRPL40/EEF1A1/RPS8/MRPL13/SSR1/MT-CO2/RPL14/UBE2D1/PSMD11/EIF4G1/SRP72/MRPS33/RPS15/PSMC3/EIF3L/SSR4/LTN1/RPS14/TRIP4/MRPL53/MRPS21/MRPL46/MRPL20/EIF3A/RPL38/RPS9/CARS2/MRPL55/EIF2S3/RPS25/PSMD6/RPL36A/NPLOC4/RPS15A/RBX1/MRPL17/PSMD2/EIF4E/RPS21/PSMB2/PSMD1/MRPS18B/MRPS12/DAP3/ASCC2/RPS24/PSMC6/RPL15/RPL32/EIF2S2/FARSB/EIF2B5/PSMD8/MRPL42/RPS7/RPL7A/PSMD3/PSMB1/MRPL24/AURKAIP1/MRPS15/MRPL9/MRPS28/MRPL12/MRPL19/FAU/EIF3J/PELO/RPS23/MRPS10/GSPT1/ETF1/MRPL28/PSMB5/RPL24/ANKZF1/RPL27/MRPS7/PTCD3/MRPL49/GFM1/RPL8/EIF2B4/RPL30/SSR3/EIF3E/TSFM/PSMC2/MRPS22/MRPS34/MRPL48/PSMA6/RPS16/RPL37A/RPL35/RPL36/RPL11/RPS12",301,"EC_AEA","AKI_vs_Normal"
"R-HSA-72172","mRNA Splicing","190/4129","213/11230",0.892018779342723,2.4261009668246,16.0229186355349,2.75621082915873e-58,2.30143604234754e-55,1.24174551039993e-55,"U2AF1/SRSF8/SF3B6/SNRPN/UBL5/SNU13/LSM8/GCFC2/SDE2/SNRNP25/SNRNP40/HNRNPH1/PRPF3/RBM25/WDR70/SNRPB2/CWC27/PLRG1/PCBP1/ZCRB1/SNRPA1/NSRP1/SNRPD3/SRSF3/PPIH/USP39/DNAJC8/SNW1/PCBP2/POLR2H/DDX5/HNRNPR/FAM32A/SNRPD1/PRKRIP1/CWC25/RNPS1/SF3B1/POLR2K/HNRNPU/PRPF6/CDC5L/SNRNP35/PRPF8/CWC15/LSM3/DHX38/GTF2F1/YBX1/PRPF40A/CWF19L2/SMNDC1/DDX42/WBP4/IK/WBP11/HNRNPA1/PRPF18/SRSF11/SAP18/ZNF830/ZMAT2/POLR2E/PNN/CCAR1/PHF5A/HNRNPL/PTBP1/AQR/SNRPF/SRRM1/CTNNBL1/DHX15/POLR2F/RBM5/RBM17/HNRNPD/SNRNP27/SRSF9/SRSF10/SYF2/HNRNPC/SRSF7/SRRM2/SMU1/SF3A3/LSM7/SRSF5/CDC40/POLR2A/SNRPD2/NKAP/TFIP11/MFAP1/LSM4/PRPF4/POLR2G/PPIL4/SART1/RBM39/SNRPB/PQBP1/GTF2F2/DHX8/CWC22/RBM22/SF3B2/RBM7/MAGOH/LUC7L3/HNRNPH2/PPWD1/ZRSR2/POLR2I/PPIG/SF1/SRSF6/FUS/POLR2J/PUF60/SRSF2/C9orf78/POLR2L/HNRNPF/CHERP/FAM50A/HNRNPA3/RBM8A/RBMX2/CASC3/RBMX/SRSF1/SRSF4/HTATSF1/POLR2B/DDX46/SNRPA/ISY1/SF3B4/LSM2/HNRNPK/SNRNP200/ACIN1/XAB2/TXNL4A/CCDC12/PPIL2/SNRPE/PDCD7/RBM10/LSM5/POLR2C/RNPC3/NCBP2/U2SURP/HNRNPM/SRRT/PPIE/BCAS2/U2AF1L4/RNF113A/SNRPG/EIF4A3/BUD31/PPP1R8/DHX9/SF3A1/CRNKL1/TRA2B/DDX41/ALYREF/PRPF38A/SF3B3/SNRPC/SNIP1/SF3A2/HNRNPA2B1/SLU7/PRPF31/SNRNP70/SNRNP48/LENG1/DDX23/UPF3B/PRCC/LSM6/HSPA8/TCERG1/SF3B5/RBM42",190,"EC_AEA","AKI_vs_Normal"
"R-HSA-72163","mRNA Splicing - Major Pathway","183/4129","205/11230",0.892682926829268,2.42790730644047,15.733338021566,2.83456219037633e-56,1.57790628597616e-53,8.51363240337593e-54,"U2AF1/SRSF8/SF3B6/SNRPN/UBL5/SNU13/LSM8/GCFC2/SDE2/SNRNP40/HNRNPH1/PRPF3/RBM25/WDR70/SNRPB2/CWC27/PLRG1/PCBP1/SNRPA1/NSRP1/SNRPD3/SRSF3/PPIH/USP39/DNAJC8/SNW1/PCBP2/POLR2H/DDX5/HNRNPR/FAM32A/SNRPD1/PRKRIP1/CWC25/RNPS1/SF3B1/POLR2K/HNRNPU/PRPF6/CDC5L/PRPF8/CWC15/LSM3/DHX38/GTF2F1/YBX1/PRPF40A/CWF19L2/SMNDC1/DDX42/WBP4/IK/WBP11/HNRNPA1/PRPF18/SRSF11/SAP18/ZNF830/ZMAT2/POLR2E/PNN/CCAR1/PHF5A/HNRNPL/PTBP1/AQR/SNRPF/SRRM1/CTNNBL1/DHX15/POLR2F/RBM5/RBM17/HNRNPD/SNRNP27/SRSF9/SRSF10/SYF2/HNRNPC/SRSF7/SRRM2/SMU1/SF3A3/LSM7/SRSF5/CDC40/POLR2A/SNRPD2/NKAP/TFIP11/MFAP1/LSM4/PRPF4/POLR2G/PPIL4/SART1/RBM39/SNRPB/PQBP1/GTF2F2/DHX8/CWC22/RBM22/SF3B2/RBM7/MAGOH/LUC7L3/HNRNPH2/PPWD1/POLR2I/PPIG/SF1/SRSF6/FUS/POLR2J/PUF60/SRSF2/C9orf78/POLR2L/HNRNPF/CHERP/FAM50A/HNRNPA3/RBM8A/RBMX2/CASC3/RBMX/SRSF1/SRSF4/HTATSF1/POLR2B/DDX46/SNRPA/ISY1/SF3B4/LSM2/HNRNPK/SNRNP200/ACIN1/XAB2/TXNL4A/CCDC12/PPIL2/SNRPE/RBM10/LSM5/POLR2C/NCBP2/U2SURP/HNRNPM/SRRT/PPIE/BCAS2/U2AF1L4/RNF113A/SNRPG/EIF4A3/BUD31/PPP1R8/DHX9/SF3A1/CRNKL1/TRA2B/DDX41/ALYREF/PRPF38A/SF3B3/SNRPC/SNIP1/SF3A2/HNRNPA2B1/SLU7/PRPF31/SNRNP70/LENG1/DDX23/UPF3B/PRCC/LSM6/HSPA8/TCERG1/SF3B5/RBM42",183,"EC_AEA","AKI_vs_Normal"
"R-HSA-72203","Processing of Capped Intron-Containing Pre-mRNA","238/4129","294/11230",0.80952380952381,2.20173223079496,15.9215501702748,9.92032464452421e-56,4.14173553908886e-53,2.23468365676651e-53,"U2AF1/ZC3H11A/SRSF8/SF3B6/SNRPN/UBL5/SNU13/LSM8/GCFC2/SDE2/SNRNP25/WTAP/SNRNP40/HNRNPH1/NUDT21/UBC/PRPF3/NUP98/RBM25/WDR70/SNRPB2/CWC27/PPP1R10/TPR/PLRG1/NXT1/PCBP1/ZCRB1/SNRPA1/NSRP1/SNRPD3/NUP153/SRSF3/PPIH/USP39/DNAJC8/SNW1/PCBP2/POLR2H/DDX5/HNRNPR/FAM32A/SNRPD1/PRKRIP1/CWC25/RNPS1/SF3B1/POLR2K/CPSF2/HNRNPU/PRPF6/CDC5L/SNRNP35/PRPF8/CWC15/LSM3/DHX38/UBB/GTF2F1/YBX1/PRPF40A/CWF19L2/SMNDC1/DDX42/WBP4/IK/WBP11/HNRNPA1/RANBP2/PRPF18/POLDIP3/RPS27A/CHTOP/SRSF11/SAP18/ZNF830/ZMAT2/POLR2E/PNN/NUP37/THOC1/CCAR1/PHF5A/HNRNPL/PAPOLA/PTBP1/AQR/SNRPF/SRRM1/CTNNBL1/DHX15/POLR2F/RBM5/RBM17/HNRNPD/SNRNP27/SRSF9/SRSF10/SYF2/HNRNPC/SRSF7/SRRM2/PPP1CB/SMU1/CSTF3/SF3A3/LSM7/SRSF5/CDC40/POLR2A/SNRPD2/THOC7/FIP1L1/NKAP/TFIP11/RBBP6/MFAP1/LSM4/PRPF4/POLR2G/PPIL4/SART1/RBM39/SYMPK/SNRPB/PQBP1/GTF2F2/DHX8/CWC22/RBM22/SF3B2/UBA52/PPP1CA/RBM7/MAGOH/LUC7L3/HNRNPH2/PPWD1/ZRSR2/POLR2I/CPSF1/PPIG/NUP214/SF1/SRSF6/PABPN1/FUS/POLR2J/NUP85/PUF60/SRSF2/C9orf78/POLR2L/HNRNPF/CHERP/FAM50A/HNRNPA3/WDR33/RBM8A/RBMX2/CASC3/NUP160/DDX39A/RBMX/SRSF1/SRSF4/HTATSF1/POLR2B/DDX46/NUP107/SNRPA/ISY1/SF3B4/LSM2/HNRNPK/SNRNP200/ACIN1/XAB2/TXNL4A/CCDC12/PPIL2/PCF11/SNRPE/FYTTD1/PDCD7/RBM10/EIF4E/LSM5/POLR2C/RNPC3/NCBP2/U2SURP/HNRNPM/SRRT/PPIE/SEC13/BCAS2/U2AF1L4/NUP62/RNF113A/SNRPG/METTL14/EIF4A3/BUD31/PPP1R8/DHX9/SF3A1/CRNKL1/TRA2B/DDX41/ALYREF/PRPF38A/SF3B3/SNRPC/SNIP1/NUP133/SF3A2/HNRNPA2B1/SLU7/PRPF31/CPSF6/SNRNP70/SNRNP48/LENG1/SLBP/XRN2/DDX23/THOC2/UPF3B/CPSF7/PRCC/LSM6/NXF1/HSPA8/NUP54/TCERG1/SF3B5/RBM42",238,"EC_AEA","AKI_vs_Normal"
"R-HSA-9948299","Ribosome-associated quality control","140/4129","145/11230",0.96551724137931,2.62600111908202,15.0269284513258,1.76055660665971e-54,5.88025906624343e-52,3.17270832694887e-52,"ELOB/SEM1/RPS4Y1/RPS17/RPLP0/UFD1/RPS27L/RPL22/RPL13A/UBC/ELOC/PSMA2/PSMB4/VCP/RPLP1/CUL2/RPL34/RPS20/RPL10A/PSMB3/RPL5/RPL4/ZNF598/RPS26/UBE2D3/RPL17/PSMA4/RPS10/RPL10/RPL36AL/RPS6/RPS19/PSMA3/RPS11/RPL21/UBB/RPL23A/RPS2/RPL7/TCF25/RPL37/RPL22L1/PSMB6/RPL13/RPL31/RPSA/RPS27A/RPL23/RPS29/KLHDC10/PSMA7/RPL26L1/RPS4X/PSMB7/RPS27/RPLP2/RPS13/RPL28/NEMF/PSMD13/PSMA1/RPL18A/RPL9/RPL41/PSMC4/ADRM1/UBE2D2/ASCC3/RPL35A/RPL39/PSMD14/RPS18/RPS5/PSMA5/ABCE1/RPL6/PSMC1/RPL19/RPL18/RPL29/UBA52/RPS28/RPL12/RPL26/PSMD12/RPS3/PSMD7/RPS3A/RPL3/PSMC5/HBS1L/RPL27A/RPS8/RPL14/UBE2D1/PSMD11/RPS15/PSMC3/LTN1/RPS14/TRIP4/RPL38/RPS9/RPS25/PSMD6/RPL36A/NPLOC4/RPS15A/RBX1/PSMD2/RPS21/PSMB2/PSMD1/ASCC2/RPS24/PSMC6/RPL15/RPL32/PSMD8/RPS7/RPL7A/PSMD3/PSMB1/FAU/PELO/RPS23/PSMB5/RPL24/ANKZF1/RPL27/RPL8/RPL30/PSMC2/PSMA6/RPS16/RPL37A/RPL35/RPL36/RPL11/RPS12",140,"EC_AEA","AKI_vs_Normal"
"R-HSA-72706","GTP hydrolysis and joining of the 60S ribosomal subunit","108/4129","113/11230",0.955752212389381,2.59944232141747,13.0300843840539,7.33517645060065e-41,1.65034699750895e-38,8.90448805463386e-39,"EIF4A1/RPS4Y1/RPS17/EIF5B/EIF3B/RPLP0/RPS27L/RPL22/RPL13A/EIF4B/EIF3K/RPLP1/RPL34/RPS20/RPL10A/RPL5/RPL4/RPS26/EIF1AX/RPL17/RPS10/RPL10/RPL36AL/RPS6/RPS19/RPS11/RPL21/RPL23A/RPS2/RPL7/RPL37/RPL22L1/EIF3G/RPL13/RPL31/RPSA/RPS27A/RPL23/RPS29/EIF4H/RPL26L1/RPS4X/RPS27/RPLP2/RPS13/RPL28/RPL18A/RPL9/RPL41/RPL35A/RPL39/EIF5/RPS18/EIF3H/EIF4A2/EIF3I/RPS5/RPL6/RPL19/RPL18/EIF3M/EIF3F/RPL29/UBA52/RPS28/EIF3D/RPL12/EIF2S1/RPL26/RPS3/RPS3A/RPL3/RPL27A/RPS8/RPL14/EIF4G1/RPS15/EIF3L/RPS14/EIF3A/RPL38/RPS9/EIF2S3/RPS25/RPL36A/RPS15A/EIF4E/RPS21/RPS24/RPL15/RPL32/EIF2S2/RPS7/RPL7A/FAU/EIF3J/RPS23/RPL24/RPL27/RPL8/RPL30/EIF3E/RPS16/RPL37A/RPL35/RPL36/RPL11/RPS12",108,"EC_AEA","AKI_vs_Normal"
"R-HSA-72613","Eukaryotic Translation Initiation","113/4129","120/11230",0.941666666666667,2.56113263905708,13.1101186844314,7.9058538802824e-41,1.65034699750895e-38,8.90448805463386e-39,"EIF4A1/RPS4Y1/RPS17/EIF5B/EIF3B/RPLP0/RPS27L/RPL22/RPL13A/EIF4B/EIF3K/RPLP1/RPL34/RPS20/EIF2B1/RPL10A/RPL5/RPL4/RPS26/EIF1AX/RPL17/RPS10/RPL10/RPL36AL/RPS6/RPS19/RPS11/RPL21/RPL23A/RPS2/RPL7/RPL37/RPL22L1/EIF3G/RPL13/RPL31/RPSA/RPS27A/RPL23/RPS29/EIF4H/RPL26L1/RPS4X/RPS27/RPLP2/RPS13/RPL28/RPL18A/RPL9/RPL41/EIF2B3/RPL35A/RPL39/PABPC1/EIF5/RPS18/EIF3H/EIF4A2/EIF3I/RPS5/RPL6/RPL19/RPL18/EIF3M/EIF3F/RPL29/UBA52/RPS28/EIF3D/RPL12/EIF2S1/RPL26/RPS3/RPS3A/RPL3/RPL27A/RPS8/RPL14/EIF4G1/RPS15/EIF3L/RPS14/EIF3A/RPL38/RPS9/EIF2S3/RPS25/RPL36A/RPS15A/EIF4E/RPS21/RPS24/RPL15/RPL32/EIF2S2/EIF2B5/RPS7/RPL7A/FAU/EIF3J/RPS23/RPL24/RPL27/RPL8/EIF2B4/RPL30/EIF3E/RPS16/RPL37A/RPL35/RPL36/RPL11/RPS12",113,"EC_AEA","AKI_vs_Normal"
"R-HSA-72737","Cap-dependent Translation Initiation","113/4129","120/11230",0.941666666666667,2.56113263905708,13.1101186844314,7.9058538802824e-41,1.65034699750895e-38,8.90448805463386e-39,"EIF4A1/RPS4Y1/RPS17/EIF5B/EIF3B/RPLP0/RPS27L/RPL22/RPL13A/EIF4B/EIF3K/RPLP1/RPL34/RPS20/EIF2B1/RPL10A/RPL5/RPL4/RPS26/EIF1AX/RPL17/RPS10/RPL10/RPL36AL/RPS6/RPS19/RPS11/RPL21/RPL23A/RPS2/RPL7/RPL37/RPL22L1/EIF3G/RPL13/RPL31/RPSA/RPS27A/RPL23/RPS29/EIF4H/RPL26L1/RPS4X/RPS27/RPLP2/RPS13/RPL28/RPL18A/RPL9/RPL41/EIF2B3/RPL35A/RPL39/PABPC1/EIF5/RPS18/EIF3H/EIF4A2/EIF3I/RPS5/RPL6/RPL19/RPL18/EIF3M/EIF3F/RPL29/UBA52/RPS28/EIF3D/RPL12/EIF2S1/RPL26/RPS3/RPS3A/RPL3/RPL27A/RPS8/RPL14/EIF4G1/RPS15/EIF3L/RPS14/EIF3A/RPL38/RPS9/EIF2S3/RPS25/RPL36A/RPS15A/EIF4E/RPS21/RPS24/RPL15/RPL32/EIF2S2/EIF2B5/RPS7/RPL7A/FAU/EIF3J/RPS23/RPL24/RPL27/RPL8/EIF2B4/RPL30/EIF3E/RPS16/RPL37A/RPL35/RPL36/RPL11/RPS12",113,"EC_AEA","AKI_vs_Normal"
"R-HSA-9010553","Regulation of expression of SLITs and ROBOs","139/4129","159/11230",0.874213836477987,2.37767531694062,13.3409034234465,1.62592801641821e-40,3.01699976379824e-38,1.62782968661285e-38,"ELOB/SEM1/RPS4Y1/RPS17/RPLP0/ZSWIM8/RPS27L/RPL22/RPL13A/UBC/ELOC/PSMA2/PSMB4/RPLP1/CUL2/RPL34/RPS20/RPL10A/PSMB3/RPL5/RPL4/RPS26/RPL17/PSMA4/RPS10/RPL10/RNPS1/RPL36AL/RPS6/RPS19/PSMA3/RPS11/RPL21/UBB/RPL23A/RPS2/RPL7/RPL37/RPL22L1/PSMB6/RPL13/RPL31/RPSA/RPS27A/RPL23/RPS29/UPF3A/PSMA7/RPL26L1/RPS4X/PSMB7/RPS27/RPLP2/RPS13/RPL28/PSMD13/PSMA1/RPL18A/RPL9/RPL41/PSMC4/ADRM1/RPL35A/RPL39/PSMD14/PABPC1/RPS18/RPS5/PSMA5/RPL6/USP33/PSMC1/RPL19/RPL18/RPL29/UBA52/RPS28/MAGOH/RPL12/RPL26/PSMD12/RPS3/PSMD7/RPS3A/RPL3/PSMC5/RPL27A/DAG1/RPS8/RBM8A/RPL14/PSMD11/CASC3/EIF4G1/RPS15/PSMC3/RPS14/UPF2/RPL38/RPS9/RPS25/PSMD6/RPL36A/RPS15A/RBX1/PSMD2/RPS21/PSMB2/NCBP2/PSMD1/RPS24/PSMC6/RPL15/RPL32/PSMD8/EIF4A3/RPS7/RPL7A/PSMD3/PSMB1/FAU/RPS23/GSPT1/ETF1/PSMB5/RPL24/RPL27/ROBO3/UPF3B/RPL8/RPL30/PSMC2/PSMA6/RPS16/RPL37A/RPL35/RPL36/RPL11/RPS12",139,"EC_AEA","AKI_vs_Normal"
"R-HSA-156827","L13a-mediated translational silencing of Ceruloplasmin expression","107/4129","112/11230",0.955357142857143,2.59836781648964,12.9630032186075,1.93842697824309e-40,3.23717305366597e-38,1.74662472986957e-38,"EIF4A1/RPS4Y1/RPS17/EIF3B/RPLP0/RPS27L/RPL22/RPL13A/EIF4B/EIF3K/RPLP1/RPL34/RPS20/RPL10A/RPL5/RPL4/RPS26/EIF1AX/RPL17/RPS10/RPL10/RPL36AL/RPS6/RPS19/RPS11/RPL21/RPL23A/RPS2/RPL7/RPL37/RPL22L1/EIF3G/RPL13/RPL31/RPSA/RPS27A/RPL23/RPS29/EIF4H/RPL26L1/RPS4X/RPS27/RPLP2/RPS13/RPL28/RPL18A/RPL9/RPL41/RPL35A/RPL39/PABPC1/RPS18/EIF3H/EIF4A2/EIF3I/RPS5/RPL6/RPL19/RPL18/EIF3M/EIF3F/RPL29/UBA52/RPS28/EIF3D/RPL12/EIF2S1/RPL26/RPS3/RPS3A/RPL3/RPL27A/RPS8/RPL14/EIF4G1/RPS15/EIF3L/RPS14/EIF3A/RPL38/RPS9/EIF2S3/RPS25/RPL36A/RPS15A/EIF4E/RPS21/RPS24/RPL15/RPL32/EIF2S2/RPS7/RPL7A/FAU/EIF3J/RPS23/RPL24/RPL27/RPL8/RPL30/EIF3E/RPS16/RPL37A/RPL35/RPL36/RPL11/RPS12",107,"EC_AEA","AKI_vs_Normal"
