"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","CellType","Condition"
"R-HSA-72766","Translation","265/3238","368/11230",0.720108695652174,2.49747395064049,18.5912894270208,4.67006258779219e-68,7.69159308209373e-65,4.0801599451237e-65,"UBC/MT-CYB/RPL30/MT-ND1/RPL35A/ELOB/RPS27/RPS7/MT-ND3/RPS13/RPL10/RPS29/MT-ND2/EIF4A1/RPS27A/RPS23/RPL34/RPL24/TRMT112/RPL32/RPS18/RPS3A/RPS4X/RPS25/RPL7A/SEM1/FAU/RPS3/RPS17/EEF2/UBB/RPL14/RPL11/RPL37/RPL36AL/RPS4Y1/MT-ND5/PSMB1/RPL41/RPL8/RPL19/SEC61B/PSMA7/SRP14/RPL22/RPL26/MRPL33/RPL21/RPL27/TRAM1/RPL38/RPL37A/SEC61A1/RPL9/RPLP0/SRPRA/RPL5/RPS8/RPL23A/RPS14/RPL13A/RPS15A/PSMB7/RPL6/RPL15/RPL3/MRPS28/PSMA3/RPL39/PSMC3/RPS24/SSR3/RPL18/RPL17/MRPS5/MRPL20/MT-ND4L/MRPS18C/PSMD8/RPL29/MRPL57/MT-ND4/MTRF1L/RPLP2/RPS15/RPS28/EEF1D/RPS9/SSR1/EIF2S3/PSMA2/MT-ATP8/MT-CO2/RPS12/RPL27A/EIF5B/RPL13/MT-ATP6/MALSU1/MRPS21/RPL4/RPLP1/RPL35/MRPS18B/EIF3K/UFD1/RPS10/MRPL42/RPL10A/NPLOC4/MRPS23/UBE2D2/EEF1A1/SPCS1/RPL36/MRPS14/MRPL12/RPS21/EEF1B2/ABCE1/NDUFAB1/SRP19/MT-ND6/EIF4G1/MT-CO3/SEC11A/MT-CO1/RPSA/MRPS34/MRPL27/RPS27L/ELOC/MRPS12/UBE2D3/MRPS10/EIF4H/PSMB6/EIF3M/EIF3I/MRPL11/MRPL23/PSMD14/EIF4B/RPS2/PSMD7/MRPL28/RPL26L1/PSMC5/EIF2S1/SRP54/MRPL36/MRPL16/PSMB2/UBA52/MRPL32/MRPL19/RPL18A/MRPL52/MRPL50/MRPL43/SRP72/EIF3A/MRPL34/EIF3J/AIMP1/SPCS2/MRPL22/MRPL2/CHCHD1/MRPL9/RPL23/EIF2B5/PSMB3/CUL2/MRPL21/TCF25/EIF1AX/RPS26/SEC61G/DAP3/MRPS7/MRPS11/TUFM/SPCS3/PSMD13/RPL22L1/EIF3F/RPS19/KLHDC10/RPS6/MRPL41/PSMA5/EIF3L/MRPL17/GFM1/MRPL55/PSMD12/MRPS16/PSMD1/PSMC6/RPL36A/EIF3H/PSMC4/ETF1/HBS1L/PSMC1/RPS16/SRP9/MRPL54/PSMA4/ASCC3/RPS5/GADD45GIP1/NEMF/EIF3B/EIF5/MRPL18/SSR2/MRPL47/RPL31/MRPS33/PSMB4/RPL28/MRPS18A/RPS20/RPN2/EIF4A2/LTN1/PSMA1/MRPS15/PSMD3/UBE2D1/EIF3D/VCP/MRPL40/EIF4E/RPL7/EIF2S2/MRPS26/PSMD11/ADRM1/PSMB5/MTIF3/SEC11C/EIF3G/RPL12/PTCD3/GSPT1/PPA1/MRPL13/EIF3E/MRPL51/AURKAIP1/PABPC1/PSMD6/PELO/IARS2/DDOST/RPS11/RPN1/RBX1/PSMC2/PSMD2/SSR4/MRPL4",265,"EC_PTC","AKI_vs_Normal"
"R-HSA-9948299","Ribosome-associated quality control","135/3238","145/11230",0.931034482758621,3.22900470703499,17.1952448184476,5.13145022298536e-61,4.22574925862844e-58,2.24163351846202e-58,"UBC/RPL30/RPL35A/ELOB/RPS27/RPS7/RPS13/RPL10/RPS29/RPS27A/RPS23/RPL34/RPL24/RPL32/RPS18/RPS3A/RPS4X/RPS25/RPL7A/SEM1/FAU/RPS3/RPS17/UBB/RPL14/RPL11/RPL37/RPL36AL/RPS4Y1/PSMB1/RPL41/RPL8/RPL19/PSMA7/RPL22/RPL26/RPL21/RPL27/RPL38/RPL37A/RPL9/RPLP0/RPL5/RPS8/RPL23A/RPS14/RPL13A/RPS15A/PSMB7/RPL6/RPL15/RPL3/PSMA3/RPL39/PSMC3/RPS24/RPL18/RPL17/PSMD8/RPL29/RPLP2/RPS15/RPS28/RPS9/PSMA2/RPS12/RPL27A/RPL13/RPL4/RPLP1/RPL35/UFD1/RPS10/RPL10A/NPLOC4/UBE2D2/RPL36/RPS21/ABCE1/RPSA/RPS27L/ELOC/UBE2D3/PSMB6/PSMD14/RPS2/PSMD7/RPL26L1/PSMC5/PSMB2/UBA52/RPL18A/RPL23/PSMB3/CUL2/TCF25/RPS26/PSMD13/RPL22L1/RPS19/KLHDC10/RPS6/PSMA5/PSMD12/PSMD1/PSMC6/RPL36A/PSMC4/HBS1L/PSMC1/RPS16/PSMA4/ASCC3/RPS5/NEMF/RPL31/PSMB4/RPL28/RPS20/LTN1/PSMA1/PSMD3/UBE2D1/VCP/RPL7/PSMD11/ADRM1/PSMB5/RPL12/PSMD6/PELO/RPS11/RBX1/PSMC2/PSMD2",135,"EC_PTC","AKI_vs_Normal"
"R-HSA-72163","mRNA Splicing - Major Pathway","166/3238","205/11230",0.809756097560976,2.80838819506169,16.6326144419702,4.97981622761681e-55,2.73391910896163e-52,1.45026226979718e-52,"U2AF1/SRSF7/TRA2B/SRSF8/SRSF9/SF3B6/RBM39/PCBP1/PPIL4/HSPA8/RBM8A/SAP18/HNRNPK/LSM8/POLR2K/SNRNP70/PCBP2/SNRPB/RBM17/SRSF5/SNU13/PHF5A/HNRNPA2B1/SNRPG/DDX5/RBM5/NSRP1/PNN/ACIN1/HNRNPA3/LSM3/RBM22/ZNF830/SNW1/UBL5/MAGOH/PPIG/LSM6/U2SURP/HNRNPH1/NKAP/PUF60/SF3A2/CWF19L2/CWC25/SNRPD1/SNRNP200/SRRM1/BUD31/POLR2C/PRPF8/SF3A1/PTBP1/PRPF38A/POLR2F/SNRNP40/PPIH/SNRPN/SNRPD2/CTNNBL1/GTF2F1/RNPS1/PRPF18/LSM5/ALYREF/SYF2/CRNKL1/RBM25/SRSF10/HNRNPU/DHX9/POLR2J/SNRPA/NCBP2/CWC22/FAM50A/RBM42/PPIE/CDC5L/SRSF2/SRSF4/DHX38/U2AF2/HNRNPF/PLRG1/LUC7L3/SRSF3/SNRNP27/PRKRIP1/HNRNPC/FAM32A/POLR2L/BCAS2/AQR/MFAP1/SF3B2/SF3B4/SNRPB2/WBP4/SNRPF/LENG1/SF3A3/SRSF1/FUS/POLR2E/SF1/CCAR1/EIF4A3/SNRPC/LSM4/SNRPD3/TXNL4A/PQBP1/SRSF6/CHERP/RBM7/RBMX/POLR2A/CDC40/SF3B5/WBP11/ZMAT2/SMNDC1/IK/CCDC12/CWC15/SRSF11/ISY1/POLR2B/XAB2/SF3B1/SF3B3/HTATSF1/PRPF31/HNRNPA1/PRPF3/HNRNPR/HNRNPD/WDR70/POLR2H/DHX15/PRPF6/LSM2/LSM7/DNAJC8/POLR2I/HNRNPL/HNRNPH2/SLU7/SDE2/CASC3/SNRPE/SNRPA1/POLR2G/PPWD1/SMU1/SART1/SRRM2/HNRNPM/TCERG1/DDX46/C9orf78/YBX1/DDX42/DDX23/PRPF40A",166,"EC_PTC","AKI_vs_Normal"
"R-HSA-72172","mRNA Splicing","169/3238","213/11230",0.793427230046948,2.75175657610477,16.4290748799865,1.27710400367096e-53,5.25847573511518e-51,2.78946400801815e-51,"U2AF1/SRSF7/TRA2B/SRSF8/SRSF9/SF3B6/RBM39/PCBP1/PPIL4/HSPA8/RBM8A/SAP18/HNRNPK/LSM8/POLR2K/SNRNP70/PCBP2/SNRPB/RBM17/SRSF5/SNU13/PHF5A/HNRNPA2B1/SNRPG/DDX5/RBM5/NSRP1/PNN/ACIN1/HNRNPA3/LSM3/RBM22/ZNF830/SNW1/UBL5/MAGOH/PPIG/LSM6/U2SURP/HNRNPH1/NKAP/PUF60/SF3A2/CWF19L2/CWC25/SNRPD1/SNRNP200/SRRM1/BUD31/POLR2C/PDCD7/PRPF8/SF3A1/PTBP1/PRPF38A/POLR2F/SNRNP40/PPIH/SNRPN/SNRPD2/CTNNBL1/GTF2F1/RNPS1/PRPF18/LSM5/ALYREF/SYF2/CRNKL1/RBM25/SRSF10/HNRNPU/DHX9/POLR2J/SNRPA/NCBP2/CWC22/ZCRB1/FAM50A/RBM42/PPIE/CDC5L/SRSF2/SRSF4/DHX38/U2AF2/HNRNPF/PLRG1/LUC7L3/SRSF3/SNRNP27/RNPC3/PRKRIP1/HNRNPC/FAM32A/POLR2L/BCAS2/AQR/MFAP1/SF3B2/SF3B4/SNRPB2/WBP4/SNRPF/LENG1/SF3A3/SRSF1/FUS/POLR2E/SF1/CCAR1/EIF4A3/SNRPC/LSM4/SNRPD3/TXNL4A/PQBP1/SRSF6/CHERP/RBM7/RBMX/POLR2A/CDC40/SF3B5/WBP11/ZMAT2/SMNDC1/IK/CCDC12/CWC15/SRSF11/ISY1/POLR2B/XAB2/SF3B1/SF3B3/HTATSF1/PRPF31/HNRNPA1/PRPF3/HNRNPR/HNRNPD/WDR70/POLR2H/DHX15/PRPF6/LSM2/LSM7/DNAJC8/POLR2I/HNRNPL/HNRNPH2/SLU7/SDE2/CASC3/SNRPE/SNRPA1/POLR2G/PPWD1/SMU1/SART1/SRRM2/HNRNPM/TCERG1/DDX46/C9orf78/YBX1/DDX42/DDX23/PRPF40A",169,"EC_PTC","AKI_vs_Normal"
"R-HSA-72706","GTP hydrolysis and joining of the 60S ribosomal subunit","108/3238","113/11230",0.955752212389381,3.31473049571734,15.7408100361141,3.5210779339547e-52,1.15984307144468e-49,6.15262038985768e-50,"RPL30/RPL35A/RPS27/RPS7/RPS13/RPL10/RPS29/EIF4A1/RPS27A/RPS23/RPL34/RPL24/RPL32/RPS18/RPS3A/RPS4X/RPS25/RPL7A/FAU/RPS3/RPS17/RPL14/RPL11/RPL37/RPL36AL/RPS4Y1/RPL41/RPL8/RPL19/RPL22/RPL26/RPL21/RPL27/RPL38/RPL37A/RPL9/RPLP0/RPL5/RPS8/RPL23A/RPS14/RPL13A/RPS15A/RPL6/RPL15/RPL3/RPL39/RPS24/RPL18/RPL17/RPL29/RPLP2/RPS15/RPS28/RPS9/EIF2S3/RPS12/RPL27A/EIF5B/RPL13/RPL4/RPLP1/RPL35/EIF3K/RPS10/RPL10A/RPL36/RPS21/EIF4G1/RPSA/RPS27L/EIF4H/EIF3M/EIF3I/EIF4B/RPS2/RPL26L1/EIF2S1/UBA52/RPL18A/EIF3A/EIF3J/RPL23/EIF1AX/RPS26/RPL22L1/EIF3F/RPS19/RPS6/EIF3L/RPL36A/EIF3H/RPS16/RPS5/EIF3B/EIF5/RPL31/RPL28/RPS20/EIF4A2/EIF3D/EIF4E/RPL7/EIF2S2/EIF3G/RPL12/EIF3E/RPS11",108,"EC_PTC","AKI_vs_Normal"
"R-HSA-156827","L13a-mediated translational silencing of Ceruloplasmin expression","107/3238","112/11230",0.955357142857143,3.31336031942116,15.6610250401706,1.19519874428005e-51,3.28082055304873e-49,1.74037711886393e-49,"RPL30/RPL35A/RPS27/RPS7/RPS13/RPL10/RPS29/EIF4A1/RPS27A/RPS23/RPL34/RPL24/RPL32/RPS18/RPS3A/RPS4X/RPS25/RPL7A/FAU/RPS3/RPS17/RPL14/RPL11/RPL37/RPL36AL/RPS4Y1/RPL41/RPL8/RPL19/RPL22/RPL26/RPL21/RPL27/RPL38/RPL37A/RPL9/RPLP0/RPL5/RPS8/RPL23A/RPS14/RPL13A/RPS15A/RPL6/RPL15/RPL3/RPL39/RPS24/RPL18/RPL17/RPL29/RPLP2/RPS15/RPS28/RPS9/EIF2S3/RPS12/RPL27A/RPL13/RPL4/RPLP1/RPL35/EIF3K/RPS10/RPL10A/RPL36/RPS21/EIF4G1/RPSA/RPS27L/EIF4H/EIF3M/EIF3I/EIF4B/RPS2/RPL26L1/EIF2S1/UBA52/RPL18A/EIF3A/EIF3J/RPL23/EIF1AX/RPS26/RPL22L1/EIF3F/RPS19/RPS6/EIF3L/RPL36A/EIF3H/RPS16/RPS5/EIF3B/RPL31/RPL28/RPS20/EIF4A2/EIF3D/EIF4E/RPL7/EIF2S2/EIF3G/RPL12/EIF3E/PABPC1/RPS11",107,"EC_PTC","AKI_vs_Normal"
"R-HSA-9010553","Regulation of expression of SLITs and ROBOs","136/3238","159/11230",0.855345911949686,2.96650234440858,15.8957429356853,7.88068213409091e-51,1.85421192497825e-48,9.83603935533152e-49,"UBC/RPL30/RPL35A/ELOB/RPS27/RPS7/RPS13/RPL10/RPS29/RPS27A/RPS23/RPL34/RPL24/RPL32/RPS18/RPS3A/RPS4X/RPS25/RPL7A/SEM1/FAU/RPS3/RPS17/UBB/RPL14/RPL11/RPL37/RPL36AL/RPS4Y1/PSMB1/RPL41/RPL8/RPL19/RBM8A/PSMA7/RPL22/RPL26/RPL21/RPL27/RPL38/RPL37A/RPL9/RPLP0/RPL5/RPS8/RPL23A/RPS14/RPL13A/RPS15A/PSMB7/RPL6/RPL15/RPL3/PSMA3/RPL39/PSMC3/RPS24/RPL18/RPL17/ROBO1/PSMD8/RPL29/UPF2/RPLP2/RPS15/RPS28/MAGOH/RPS9/PSMA2/RPS12/RPL27A/RPL13/RPL4/RPLP1/RPL35/RPS10/RPL10A/RPL36/RPS21/EIF4G1/RPSA/RNPS1/RPS27L/ELOC/PSMB6/PSMD14/RPS2/PSMD7/RPL26L1/PSMC5/NCBP2/PSMB2/UBA52/RPL18A/RPL23/PSMB3/CUL2/RPS26/PSMD13/RPL22L1/RPS19/RPS6/PSMA5/USP33/PSMD12/PSMD1/EIF4A3/PSMC6/RPL36A/PSMC4/ETF1/PSMC1/RPS16/PSMA4/RPS5/RPL31/PSMB4/RPL28/RPS20/PSMA1/UPF3A/PSMD3/RPL7/PSMD11/ADRM1/PSMB5/RPL12/GSPT1/CASC3/PABPC1/PSMD6/RPS11/DAG1/RBX1/PSMC2/PSMD2",136,"EC_PTC","AKI_vs_Normal"
"R-HSA-72203","Processing of Capped Intron-Containing Pre-mRNA","207/3238","294/11230",0.704081632653061,2.44188904715685,15.946210134762,1.71062637427232e-50,3.52175204803313e-48,1.8681840666395e-48,"U2AF1/UBC/SRSF7/TRA2B/SRSF8/RPS27A/PPP1R10/SRSF9/UBB/SF3B6/RBM39/PCBP1/PPIL4/HSPA8/RBM8A/SAP18/HNRNPK/LSM8/POLR2K/SNRNP70/ZC3H11A/PCBP2/SNRPB/RBM17/SRSF5/SNU13/NUDT21/NXT1/PHF5A/HNRNPA2B1/SNRPG/DDX5/RBM5/NSRP1/PNN/ACIN1/HNRNPA3/PABPN1/LSM3/RBM22/ZNF830/SNW1/UBL5/MAGOH/CPSF7/PPIG/TPR/LSM6/U2SURP/HNRNPH1/NKAP/PUF60/SF3A2/CWF19L2/CWC25/SNRPD1/SNRNP200/SRRM1/BUD31/POLR2C/PDCD7/PRPF8/SF3A1/PTBP1/PRPF38A/THOC7/POLR2F/SNRNP40/PPIH/RANBP2/SNRPN/SNRPD2/CTNNBL1/GTF2F1/METTL14/RNPS1/PRPF18/LSM5/NUP50/ALYREF/SYF2/CRNKL1/DDX39A/SYMPK/RBM25/SRSF10/PPP1CA/HNRNPU/DHX9/POLR2J/CPSF6/SNRPA/NCBP2/CWC22/ZCRB1/UBA52/FAM50A/RBM42/PPIE/CDC5L/SRSF2/SRSF4/DHX38/U2AF2/FYTTD1/CPSF2/PAPOLA/HNRNPF/PLRG1/LUC7L3/SRSF3/SNRNP27/RNPC3/PRKRIP1/HNRNPC/FAM32A/POLR2L/BCAS2/AQR/MFAP1/SF3B2/SF3B4/SNRPB2/RBBP6/WBP4/SNRPF/LENG1/XRN2/SF3A3/SRSF1/FUS/POLR2E/WTAP/SF1/CCAR1/SEC13/EIF4A3/SNRPC/LSM4/SNRPD3/TXNL4A/PQBP1/SRSF6/CHERP/RBM7/RBMX/PPP1CB/POLR2A/CDC40/SF3B5/WBP11/ZMAT2/SMNDC1/IK/CCDC12/CWC15/SRSF11/ISY1/POLR2B/XAB2/SF3B1/SF3B3/HTATSF1/CHTOP/PRPF31/HNRNPA1/FIP1L1/NUP160/NUP153/PRPF3/HNRNPR/NUP54/HNRNPD/THOC2/WDR70/POLR2H/DHX15/PRPF6/LSM2/LSM7/EIF4E/DNAJC8/POLR2I/HNRNPL/HNRNPH2/NUP214/WDR33/POLDIP3/SLU7/SDE2/CASC3/SNRPE/SNRPA1/POLR2G/PPWD1/SMU1/SART1/SRRM2/HNRNPM/TCERG1/PCF11/DDX46/C9orf78/YBX1/DDX42/DDX23/PRPF40A",207,"EC_PTC","AKI_vs_Normal"
"R-HSA-1799339","SRP-dependent cotranslational protein targeting to membrane","106/3238","113/11230",0.938053097345133,3.2533465976485,15.3233824865288,6.35093880571744e-49,1.16222180144629e-46,6.16523884063799e-47,"RPL30/RPL35A/RPS27/RPS7/RPS13/RPL10/RPS29/RPS27A/RPS23/RPL34/RPL24/RPL32/RPS18/RPS3A/RPS4X/RPS25/RPL7A/FAU/RPS3/RPS17/RPL14/RPL11/RPL37/RPL36AL/RPS4Y1/RPL41/RPL8/RPL19/SEC61B/SRP14/RPL22/RPL26/RPL21/RPL27/TRAM1/RPL38/RPL37A/SEC61A1/RPL9/RPLP0/SRPRA/RPL5/RPS8/RPL23A/RPS14/RPL13A/RPS15A/RPL6/RPL15/RPL3/RPL39/RPS24/SSR3/RPL18/RPL17/RPL29/RPLP2/RPS15/RPS28/RPS9/SSR1/RPS12/RPL27A/RPL13/RPL4/RPLP1/RPL35/RPS10/RPL10A/SPCS1/RPL36/RPS21/SRP19/SEC11A/RPSA/RPS27L/RPS2/RPL26L1/SRP54/UBA52/RPL18A/SRP72/SPCS2/RPL23/RPS26/SEC61G/SPCS3/RPL22L1/RPS19/RPS6/RPL36A/RPS16/SRP9/RPS5/SSR2/RPL31/RPL28/RPS20/RPN2/RPL7/SEC11C/RPL12/DDOST/RPS11/RPN1/SSR4",106,"EC_PTC","AKI_vs_Normal"
"R-HSA-72613","Eukaryotic Translation Initiation","110/3238","120/11230",0.916666666666667,3.17917438748198,15.2758999376577,4.49843433670295e-48,6.73538304777251e-46,3.57291913824254e-46,"RPL30/RPL35A/RPS27/RPS7/RPS13/RPL10/RPS29/EIF4A1/RPS27A/RPS23/RPL34/RPL24/RPL32/RPS18/RPS3A/RPS4X/RPS25/RPL7A/FAU/RPS3/RPS17/RPL14/RPL11/RPL37/RPL36AL/RPS4Y1/RPL41/RPL8/RPL19/RPL22/RPL26/RPL21/RPL27/RPL38/RPL37A/RPL9/RPLP0/RPL5/RPS8/RPL23A/RPS14/RPL13A/RPS15A/RPL6/RPL15/RPL3/RPL39/RPS24/RPL18/RPL17/RPL29/RPLP2/RPS15/RPS28/RPS9/EIF2S3/RPS12/RPL27A/EIF5B/RPL13/RPL4/RPLP1/RPL35/EIF3K/RPS10/RPL10A/RPL36/RPS21/EIF4G1/RPSA/RPS27L/EIF4H/EIF3M/EIF3I/EIF4B/RPS2/RPL26L1/EIF2S1/UBA52/RPL18A/EIF3A/EIF3J/RPL23/EIF2B5/EIF1AX/RPS26/RPL22L1/EIF3F/RPS19/RPS6/EIF3L/RPL36A/EIF3H/RPS16/RPS5/EIF3B/EIF5/RPL31/RPL28/RPS20/EIF4A2/EIF3D/EIF4E/RPL7/EIF2S2/EIF3G/RPL12/EIF3E/PABPC1/RPS11",110,"EC_PTC","AKI_vs_Normal"
