"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","CellType","Condition"
"R-HSA-72766","Translation","248/2367","368/11230",0.673913043478261,3.19731452398009,22.1483068476262,1.09764128280331e-84,1.75073784607127e-81,1.02369492269866e-81,"EEF1G/PSMA6/RPL38/SPCS3/MRPS30/RPL22/PSMA2/RPL36A/RPL6/RPL5/ELOB/EIF3F/SPCS1/RPS3A/EIF4A2/RPSA/MRPL33/RPLP0/MRPL41/RPL27/MT-CYB/MRPL52/TRIP4/PSMB1/RPL7A/RPS17/TCF25/SEC61G/SEC61A1/RPS29/RPS25/RPS4X/RPL14/RPS7/MRPS33/MRPL51/RPL15/RPL10/AURKAIP1/SEC61B/RPL21/PSMA3/MT-ND1/EIF4H/MT-ATP8/RPL23A/RPL35A/ASCC3/RPL4/AIMP1/ELOC/MT-ND5/RPS24/DDOST/SEC11C/RPL37A/SEM1/RPS2/RPL3/MRPS10/RPL17/MT-ND4/RBX1/MRPS12/MRPL21/RPS15A/EEF1D/PSMD8/RPS20/ADRM1/PSMB4/EEF1A1/PSMB3/MRPL23/MRPS14/RPL30/RPL26/MT-ND3/RPL37/RPS27A/RPS14/PSMA4/RPL36AL/MRPL2/RPL24/RPS21/MRPL10/MT-ND4L/RPS10/RPS23/MRPS15/RPL18/RPS26/PSMB2/RPL36/EIF5/EIF1AX/UBC/PSMA5/SSR2/RPL41/RPL7/MT-ND2/UBA52/RPL10A/RPS6/MRPL42/RPL19/MRPS26/UFD1/ABCE1/MRPL14/PSMC1/RPS4Y1/RPL34/RPL29/PSMD6/MRPL13/MRPL11/EIF2S2/EIF3H/TRMT112/RPS15/EIF3M/EIF4A1/MRPL1/SRP19/RPS16/MRPS16/SRP54/RPL22L1/SSR4/MRPL40/EIF3A/UBB/RPS8/EIF3E/MT-CO3/MRPL22/EIF3K/PSMD13/RPS27/RPL9/SSR3/DAP3/EIF3G/UBE2D3/RPS12/FAU/RPN1/SPCS2/RPS18/EIF4B/RPS3/EIF2S3/MRPL34/RPL26L1/MRPL9/RPN2/RPL8/MT-ATP6/MRPL15/RPS27L/RPL35/MRPS18C/PSMA1/MRPS34/EIF3L/PSMC4/EIF3I/RPS11/EEF1B2/MRPL28/RPS28/MT-CO1/MRPS5/EIF3J/RPL28/MRPL57/SRP14/MRPL20/RPS9/RPL11/RPL12/RPLP2/MRPL18/MT-CO2/UBE2D1/PSMC6/RPL13/NDUFAB1/RPL27A/VCP/MRPL47/EIF2S1/RPS19/MRPS11/SSR1/SRP72/PSMD1/RPL23/EIF3D/GADD45GIP1/EEF1E1/TRAM1/PSMB5/RPS5/MRPL54/MT-ND6/MRPS25/PSMB7/PSMD11/MRPS31/MRPS6/MRPL32/MRPL16/NEMF/RPL39/MTIF3/SRP9/MRPL36/PSMA7/MRPS21/PSMB6/PSMC3/CHCHD1/SEC11A/PPA1/TUFM/MRPL12/PSMD7/RPL31/RPL18A/MRPL43/EEF2/RPL13A/MRPL55/MRPL4/RPS13/GSPT1/PSMC5/PSMD14/MRPL27/PABPC1/UBE2D2/EIF5B/RPL32/RPLP1",248,"NK_cells","AKI_vs_Normal"
"R-HSA-9948299","Ribosome-associated quality control","127/2367","145/11230",0.875862068965517,4.15544192415833,19.7631259783325,6.51276968722934e-67,5.1939338255654e-64,3.03700733836063e-64,"PSMA6/RPL38/RPL22/PSMA2/RPL36A/RPL6/RPL5/ELOB/RPS3A/RPSA/RPLP0/RPL27/TRIP4/PSMB1/RPL7A/RPS17/TCF25/RPS29/RPS25/RPS4X/RPL14/RPS7/RPL15/RPL10/RPL21/PSMA3/RPL23A/RPL35A/ASCC3/RPL4/ELOC/RPS24/RPL37A/SEM1/RPS2/RPL3/RPL17/RBX1/RPS15A/PSMD8/RPS20/ADRM1/PSMB4/PSMB3/RPL30/RPL26/RPL37/RPS27A/RPS14/PSMA4/RPL36AL/RPL24/RPS21/RPS10/RPS23/RPL18/RPS26/PSMB2/RPL36/UBC/PSMA5/RPL41/RPL7/UBA52/RPL10A/RPS6/RPL19/UFD1/ABCE1/PSMC1/RPS4Y1/RPL34/RPL29/PSMD6/RPS15/RPS16/RPL22L1/UBB/RPS8/PSMD13/RPS27/RPL9/UBE2D3/RPS12/FAU/RPS18/RPS3/RPL26L1/RPL8/RPS27L/RPL35/PSMA1/PSMC4/RPS11/RPS28/RPL28/RPS9/RPL11/RPL12/RPLP2/UBE2D1/PSMC6/RPL13/RPL27A/VCP/RPS19/PSMD1/RPL23/PSMB5/RPS5/PSMB7/PSMD11/NEMF/RPL39/PSMA7/PSMB6/PSMC3/PSMD7/RPL31/RPL18A/RPL13A/RPS13/PSMC5/PSMD14/UBE2D2/RPL32/RPLP1",127,"NK_cells","AKI_vs_Normal"
"R-HSA-1799339","SRP-dependent cotranslational protein targeting to membrane","105/2367","113/11230",0.929203539823009,4.40851531567908,18.8187149473665,1.32834734821492e-61,5.29678505100698e-59,3.09714671189057e-59,"RPL38/SPCS3/RPL22/RPL36A/RPL6/RPL5/SPCS1/RPS3A/RPSA/RPLP0/RPL27/RPL7A/RPS17/SEC61G/SEC61A1/RPS29/RPS25/RPS4X/RPL14/RPS7/RPL15/RPL10/SEC61B/RPL21/RPL23A/RPL35A/RPL4/RPS24/DDOST/SEC11C/RPL37A/RPS2/RPL3/RPL17/RPS15A/RPS20/RPL30/RPL26/RPL37/RPS27A/RPS14/RPL36AL/RPL24/RPS21/RPS10/RPS23/RPL18/RPS26/RPL36/SSR2/RPL41/RPL7/UBA52/RPL10A/RPS6/RPL19/RPS4Y1/RPL34/RPL29/RPS15/SRP19/RPS16/SRP54/RPL22L1/SSR4/RPS8/RPS27/RPL9/SSR3/RPS12/FAU/RPN1/SPCS2/RPS18/RPS3/RPL26L1/RPN2/RPL8/RPS27L/RPL35/RPS11/RPS28/RPL28/SRP14/RPS9/RPL11/RPL12/RPLP2/RPL13/RPL27A/RPS19/SSR1/SRP72/RPL23/TRAM1/RPS5/RPL39/SRP9/SEC11A/RPL31/RPL18A/RPL13A/RPS13/RPL32/RPLP1",105,"NK_cells","AKI_vs_Normal"
"R-HSA-72706","GTP hydrolysis and joining of the 60S ribosomal subunit","105/2367","113/11230",0.929203539823009,4.40851531567908,18.8187149473665,1.32834734821492e-61,5.29678505100698e-59,3.09714671189057e-59,"RPL38/RPL22/RPL36A/RPL6/RPL5/EIF3F/RPS3A/EIF4A2/RPSA/RPLP0/RPL27/RPL7A/RPS17/RPS29/RPS25/RPS4X/RPL14/RPS7/RPL15/RPL10/RPL21/EIF4H/RPL23A/RPL35A/RPL4/RPS24/RPL37A/RPS2/RPL3/RPL17/RPS15A/RPS20/RPL30/RPL26/RPL37/RPS27A/RPS14/RPL36AL/RPL24/RPS21/RPS10/RPS23/RPL18/RPS26/RPL36/EIF5/EIF1AX/RPL41/RPL7/UBA52/RPL10A/RPS6/RPL19/RPS4Y1/RPL34/RPL29/EIF2S2/EIF3H/RPS15/EIF3M/EIF4A1/RPS16/RPL22L1/EIF3A/RPS8/EIF3E/EIF3K/RPS27/RPL9/EIF3G/RPS12/FAU/RPS18/EIF4B/RPS3/EIF2S3/RPL26L1/RPL8/RPS27L/RPL35/EIF3L/EIF3I/RPS11/RPS28/EIF3J/RPL28/RPS9/RPL11/RPL12/RPLP2/RPL13/RPL27A/EIF2S1/RPS19/RPL23/EIF3D/RPS5/RPL39/RPL31/RPL18A/RPL13A/RPS13/EIF5B/RPL32/RPLP1",105,"NK_cells","AKI_vs_Normal"
"R-HSA-156827","L13a-mediated translational silencing of Ceruloplasmin expression","104/2367","112/11230",0.928571428571429,4.40551632566842,18.7179351502893,6.06525793436822e-61,1.93481728106346e-58,1.13133021681058e-58,"RPL38/RPL22/RPL36A/RPL6/RPL5/EIF3F/RPS3A/EIF4A2/RPSA/RPLP0/RPL27/RPL7A/RPS17/RPS29/RPS25/RPS4X/RPL14/RPS7/RPL15/RPL10/RPL21/EIF4H/RPL23A/RPL35A/RPL4/RPS24/RPL37A/RPS2/RPL3/RPL17/RPS15A/RPS20/RPL30/RPL26/RPL37/RPS27A/RPS14/RPL36AL/RPL24/RPS21/RPS10/RPS23/RPL18/RPS26/RPL36/EIF1AX/RPL41/RPL7/UBA52/RPL10A/RPS6/RPL19/RPS4Y1/RPL34/RPL29/EIF2S2/EIF3H/RPS15/EIF3M/EIF4A1/RPS16/RPL22L1/EIF3A/RPS8/EIF3E/EIF3K/RPS27/RPL9/EIF3G/RPS12/FAU/RPS18/EIF4B/RPS3/EIF2S3/RPL26L1/RPL8/RPS27L/RPL35/EIF3L/EIF3I/RPS11/RPS28/EIF3J/RPL28/RPS9/RPL11/RPL12/RPLP2/RPL13/RPL27A/EIF2S1/RPS19/RPL23/EIF3D/RPS5/RPL39/RPL31/RPL18A/RPL13A/RPS13/PABPC1/RPL32/RPLP1",104,"NK_cells","AKI_vs_Normal"
"R-HSA-72163","mRNA Splicing - Major Pathway","151/2367","205/11230",0.736585365853659,3.4946572279411,18.6284966317148,1.38378142118014e-59,3.67855227797054e-57,2.15093041958878e-57,"U2AF1/RBM7/RBM25/CTNNBL1/CCDC12/SNW1/SRSF4/HNRNPA1/SF3B6/TRA2B/ZNF830/FAM50A/POLR2F/SNRNP40/CWC25/RBM39/DNAJC8/SF3A3/LSM8/PNN/LSM3/LUC7L3/YBX1/SNRPE/SMNDC1/SRSF1/UPF3B/PRCC/PRPF8/LSM7/WDR70/SF3B2/SRSF11/SNRPF/POLR2L/HTATSF1/U2AF1L4/SNRNP27/LSM5/POLR2H/HNRNPH1/DDX5/TXNL4A/RBMX/SNU13/NSRP1/PUF60/BUD31/SRSF6/UBL5/PPWD1/SNRPC/DHX8/POLR2E/ACIN1/HNRNPA3/PRPF19/RNF113A/PRPF38A/FUS/SRSF5/PRPF6/HNRNPK/SNRPB2/PCBP2/HNRNPC/DDX46/SYF2/HNRNPL/U2SURP/SRRM1/SRSF7/POLR2C/BCAS2/CASC3/CRNKL1/SF3B5/SLU7/PRPF31/POLR2I/PPIL3/SF1/MAGOHB/HNRNPU/PRPF40A/SNRNP200/FAM32A/PCBP1/MAGOH/GTF2F2/HNRNPF/RBM5/LSM6/CWF19L2/SRSF9/PPIH/HNRNPD/CDC5L/SRRM2/RBM22/SRSF2/HNRNPA2B1/SNRPD3/ISY1/PPIL2/SNRPG/MFAP1/SNRPB/C9orf78/IK/SF3B4/PTBP1/SRSF3/PPIG/SRSF10/SNRPD2/DDX42/HSPA8/SRSF8/LSM2/RNPS1/HNRNPM/CDC40/SNRPN/RBM8A/SNRPD1/LSM4/DHX15/WBP11/POLR2B/CWC22/PPIE/SAP18/U2AF2/RBM42/HNRNPR/CWC15/POLR2K/EIF4A3/DHX9/PPIL4/ZMAT2/POLR2G/SNRPA1/PHF5A/SNRNP70/ALYREF/RBM17/POLR2J/SMU1/SF3B1",151,"NK_cells","AKI_vs_Normal"
"R-HSA-9010553","Regulation of expression of SLITs and ROBOs","128/2367","159/11230",0.805031446540881,3.81939296352095,18.5029103045213,1.59880113817598e-58,3.64298259341527e-56,2.13013204274274e-56,"PSMA6/RPL38/RPL22/PSMA2/RPL36A/RPL6/RPL5/ELOB/RPS3A/RPSA/RPLP0/RPL27/PSMB1/RPL7A/RPS17/RPS29/RPS25/RPS4X/RPL14/RPS7/RPL15/RPL10/UPF3B/RPL21/PSMA3/RPL23A/RPL35A/RPL4/ELOC/RPS24/RPL37A/SEM1/RPS2/RPL3/RPL17/RBX1/RPS15A/PSMD8/RPS20/ADRM1/PSMB4/PSMB3/RPL30/RPL26/RPL37/RPS27A/RPS14/PSMA4/RPL36AL/RPL24/RPS21/RPS10/RPS23/RPL18/RPS26/PSMB2/RPL36/UBC/PSMA5/RPL41/UPF3A/RPL7/UBA52/RPL10A/RPS6/RPL19/PSMC1/RPS4Y1/RPL34/RPL29/PSMD6/RPS15/RPS16/RPL22L1/UBB/CASC3/RPS8/PSMD13/RPS27/RPL9/RPS12/FAU/MAGOHB/RPS18/RPS3/MAGOH/RPL26L1/RPL8/RPS27L/RPL35/PSMA1/PSMC4/RPS11/RPS28/RPL28/RPS9/RPL11/RPL12/RPLP2/PSMC6/RPL13/UPF2/RPL27A/RPS19/PSMD1/RNPS1/RPL23/RBM8A/PSMB5/RPS5/PSMB7/PSMD11/RPL39/PSMA7/PSMB6/PSMC3/PSMD7/EIF4A3/RPL31/RPL18A/RPL13A/RPS13/GSPT1/PSMC5/PSMD14/PABPC1/RPL32/RPLP1",128,"NK_cells","AKI_vs_Normal"
"R-HSA-72689","Formation of a pool of free 40S subunits","96/2367","102/11230",0.941176470588235,4.46531971470464,18.1682932857133,9.05418445473904e-58,1.8051780256636e-55,1.055527293013e-55,"RPL38/RPL22/RPL36A/RPL6/RPL5/EIF3F/RPS3A/RPSA/RPLP0/RPL27/RPL7A/RPS17/RPS29/RPS25/RPS4X/RPL14/RPS7/RPL15/RPL10/RPL21/RPL23A/RPL35A/RPL4/RPS24/RPL37A/RPS2/RPL3/RPL17/RPS15A/RPS20/RPL30/RPL26/RPL37/RPS27A/RPS14/RPL36AL/RPL24/RPS21/RPS10/RPS23/RPL18/RPS26/RPL36/EIF1AX/RPL41/RPL7/UBA52/RPL10A/RPS6/RPL19/RPS4Y1/RPL34/RPL29/EIF3H/RPS15/EIF3M/RPS16/RPL22L1/EIF3A/RPS8/EIF3E/EIF3K/RPS27/RPL9/EIF3G/RPS12/FAU/RPS18/RPS3/RPL26L1/RPL8/RPS27L/RPL35/EIF3L/EIF3I/RPS11/RPS28/EIF3J/RPL28/RPS9/RPL11/RPL12/RPLP2/RPL13/RPL27A/RPS19/RPL23/EIF3D/RPS5/RPL39/RPL31/RPL18A/RPL13A/RPS13/RPL32/RPLP1",96,"NK_cells","AKI_vs_Normal"
"R-HSA-72613","Eukaryotic Translation Initiation","106/2367","120/11230",0.883333333333333,4.19088860723842,18.1603632916003,9.16352918799645e-57,1.46158290548543e-54,8.54619669533143e-55,"RPL38/RPL22/RPL36A/RPL6/RPL5/EIF3F/RPS3A/EIF4A2/RPSA/RPLP0/RPL27/RPL7A/RPS17/RPS29/RPS25/RPS4X/RPL14/RPS7/RPL15/RPL10/RPL21/EIF4H/RPL23A/RPL35A/RPL4/RPS24/RPL37A/RPS2/RPL3/RPL17/RPS15A/RPS20/RPL30/RPL26/RPL37/RPS27A/RPS14/RPL36AL/RPL24/RPS21/RPS10/RPS23/RPL18/RPS26/RPL36/EIF5/EIF1AX/RPL41/RPL7/UBA52/RPL10A/RPS6/RPL19/RPS4Y1/RPL34/RPL29/EIF2S2/EIF3H/RPS15/EIF3M/EIF4A1/RPS16/RPL22L1/EIF3A/RPS8/EIF3E/EIF3K/RPS27/RPL9/EIF3G/RPS12/FAU/RPS18/EIF4B/RPS3/EIF2S3/RPL26L1/RPL8/RPS27L/RPL35/EIF3L/EIF3I/RPS11/RPS28/EIF3J/RPL28/RPS9/RPL11/RPL12/RPLP2/RPL13/RPL27A/EIF2S1/RPS19/RPL23/EIF3D/RPS5/RPL39/RPL31/RPL18A/RPL13A/RPS13/PABPC1/EIF5B/RPL32/RPLP1",106,"NK_cells","AKI_vs_Normal"
"R-HSA-72737","Cap-dependent Translation Initiation","106/2367","120/11230",0.883333333333333,4.19088860723842,18.1603632916003,9.16352918799645e-57,1.46158290548543e-54,8.54619669533143e-55,"RPL38/RPL22/RPL36A/RPL6/RPL5/EIF3F/RPS3A/EIF4A2/RPSA/RPLP0/RPL27/RPL7A/RPS17/RPS29/RPS25/RPS4X/RPL14/RPS7/RPL15/RPL10/RPL21/EIF4H/RPL23A/RPL35A/RPL4/RPS24/RPL37A/RPS2/RPL3/RPL17/RPS15A/RPS20/RPL30/RPL26/RPL37/RPS27A/RPS14/RPL36AL/RPL24/RPS21/RPS10/RPS23/RPL18/RPS26/RPL36/EIF5/EIF1AX/RPL41/RPL7/UBA52/RPL10A/RPS6/RPL19/RPS4Y1/RPL34/RPL29/EIF2S2/EIF3H/RPS15/EIF3M/EIF4A1/RPS16/RPL22L1/EIF3A/RPS8/EIF3E/EIF3K/RPS27/RPL9/EIF3G/RPS12/FAU/RPS18/EIF4B/RPS3/EIF2S3/RPL26L1/RPL8/RPS27L/RPL35/EIF3L/EIF3I/RPS11/RPS28/EIF3J/RPL28/RPS9/RPL11/RPL12/RPLP2/RPL13/RPL27A/EIF2S1/RPS19/RPL23/EIF3D/RPS5/RPL39/RPL31/RPL18A/RPL13A/RPS13/PABPC1/EIF5B/RPL32/RPLP1",106,"NK_cells","AKI_vs_Normal"
