"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","CellType","Condition"
"R-HSA-72766","Translation","278/3220","368/11230",0.755434782608696,2.63463745611666,20.2149501620378,4.89624052220982e-80,7.95149460806875e-77,4.44784796912324e-77,"ELOB/RPS4Y1/PSMA2/SEM1/MRPS14/MT-ATP8/EIF4A1/RPS26/EIF1AX/RPS2/RPL22L1/EIF5/NEMF/MRPS28/PSMB3/RPL37/PSMA1/MRPL52/RPL5/TCF25/MRPL16/MRPL33/MRPL4/MRPL14/AURKAIP1/RPLP0/AIMP1/SSR4/MRPL3/SEC61A1/RPL10A/MRPS18B/PSMC5/MRPL20/UBC/RPS17/EIF2S1/ZNF598/RPS20/RPL17/PABPC1/SRP19/RPS27/MT-ND4/EEF2/GADD45GIP1/EIF3K/EIF2S3/PSMB1/MRPS22/MT-ND4L/RPS4X/EIF3A/EEF1A1/TRMT112/RPS10/MALSU1/RPL7/RPL18/ELOC/SRP72/RPS3A/RPL27A/MRPS16/RPL10/UFD1/MT-ND1/MRPL13/RPN1/EIF3I/MIEF1/MRPL18/MRPL23/MRPL2/RPL22/UBE2D1/EIF3J/PSMB5/RPS13/MRPL36/RPL9/RPL30/MRPL12/MRPS11/PPA2/SPCS3/EIF4G1/RPSA/RPL36A/GFM1/SPCS2/PSMB2/CHCHD1/RPL21/RPL35A/DAP3/RPL11/RPL35/RPL15/RCHY1/MRPL58/PSMA6/MT-CO1/MRPL51/UBE2D2/RPL27/RPS27L/MRPL54/RPL6/HBS1L/RPL38/RPL34/SEC61B/PSMC2/CARS2/NPLOC4/RPL37A/RPL14/EIF4EBP1/UBE2D3/PSMC3/MT-ND3/MRPS25/MRPS21/RPS29/MT-ATP6/ADRM1/PSMB6/MRPL47/EEF1D/RPS16/PSMA4/EIF3F/PSMA3/EIF3E/ETF1/DDOST/RPS27A/UBB/MT-ND2/EIF4B/MT-ND5/SRP14/MT-ND6/MRPL42/EEF1E1/RPL32/MRPS10/RPLP2/EIF4A2/RARS2/RBX1/RPL8/MRPL32/SEC11C/MTIF3/RPL26L1/MRPS26/MRPS34/RPS3/PSMA5/MRPL11/RPS21/RPS5/PSMD1/MRPS15/RPL18A/RPL36/SRP54/MRPL21/RPS19/SEC61G/MRPS12/RPS9/RPL13/PSMD3/PSMC1/MRPL41/PSMB7/EIF3H/MRPS23/PSMB4/EIF4H/PSMC4/RPL23A/EIF3M/TUFM/FAU/RPS24/MRPL43/PSMD11/RPS7/PTCD3/MT-CYB/MRPS18C/RPS25/MRPL15/RPS14/VCP/RPS23/MTRF1L/RPS28/EIF3L/SPCS1/RPS12/RPL24/IARS2/MRPL40/EIF3B/APEH/PPA1/UBA52/RPS6/RPS11/RPL36AL/PSMD12/MRPS35/ASCC3/MT-CO3/RPN2/MRPS6/EIF2S2/SSR2/RPS15/MRPL19/RPL13A/RPL31/RPL29/PSMD7/RPL7A/RPL12/SRP9/GSPT1/EIF3D/MRPS7/SSR3/RPL4/RPL41/RPL26/PSMD6/SEC11A/TRAM1/RPL3/MRPL28/RPL39/RPL23/MT-CO2/MRPL57/MRPS5/MRPS31/ASCC2/PSMD8/EIF5B/RPL19/RPL28/MRPL35/MRPL55/RPS15A/SSR1/EEF1B2/PSMC6/RPLP1/MRPL22/MRPL48/RPS8/NDUFAB1/EIF3G/PSMD13/PSMD2/MRPL34/PSMD14/OXA1L/MRPS33/MRPL27/PSMA7/ABCE1/RPS18/MRPL37",278,"Non_classical_monocytes","AKI_vs_Normal"
"R-HSA-9948299","Ribosome-associated quality control","135/3220","145/11230",0.931034482758621,3.24705504390662,17.2668088864982,2.43280142809611e-61,1.97543475961404e-58,1.10500401707734e-58,"ELOB/RPS4Y1/PSMA2/SEM1/RPS26/RPS2/RPL22L1/NEMF/PSMB3/RPL37/PSMA1/RPL5/TCF25/RPLP0/RPL10A/PSMC5/UBC/RPS17/ZNF598/RPS20/RPL17/RPS27/PSMB1/RPS4X/RPS10/RPL7/RPL18/ELOC/RPS3A/RPL27A/RPL10/UFD1/RPL22/UBE2D1/PSMB5/RPS13/RPL9/RPL30/RPSA/RPL36A/PSMB2/RPL21/RPL35A/RPL11/RPL35/RPL15/RCHY1/PSMA6/UBE2D2/RPL27/RPS27L/RPL6/HBS1L/RPL38/RPL34/PSMC2/NPLOC4/RPL37A/RPL14/UBE2D3/PSMC3/RPS29/ADRM1/PSMB6/RPS16/PSMA4/PSMA3/RPS27A/UBB/RPL32/RPLP2/RBX1/RPL8/RPL26L1/RPS3/PSMA5/RPS21/RPS5/PSMD1/RPL18A/RPL36/RPS19/RPS9/RPL13/PSMD3/PSMC1/PSMB7/PSMB4/PSMC4/RPL23A/FAU/RPS24/PSMD11/RPS7/RPS25/RPS14/VCP/RPS23/RPS28/RPS12/RPL24/UBA52/RPS6/RPS11/RPL36AL/PSMD12/ASCC3/RPS15/RPL13A/RPL31/RPL29/PSMD7/RPL7A/RPL12/RPL4/RPL41/RPL26/PSMD6/RPL3/RPL39/RPL23/ASCC2/PSMD8/RPL19/RPL28/RPS15A/PSMC6/RPLP1/RPS8/PSMD13/PSMD2/PSMD14/PSMA7/ABCE1/RPS18",135,"Non_classical_monocytes","AKI_vs_Normal"
"R-HSA-6798695","Neutrophil degranulation","301/3220","469/11230",0.641791044776119,2.23829609715398,17.3686805875804,7.26573596455264e-60,3.93318506881116e-57,2.20011583768734e-57,"RETN/VNN1/CD63/CLEC12A/ALDOA/CEACAM3/PSMA2/FPR1/ADGRE5/VAMP8/FPR2/HSP90AA1/GMFG/DYNLL1/SLC11A1/CD55/HSP90AB1/PTPN6/CFD/KCNAB2/SERPINB1/COTL1/VAPA/ACTR1B/SIRPB1/CFP/SERPINA1/RAP1A/NFAM1/RAB4B/PYCARD/NEU1/TLR2/HSPA1B/SLC44A2/HMGB1/TIMP2/DOCK2/NDUFC2/FCN1/PKM/CPNE3/C3AR1/CTSS/C5AR1/HLA-B/A1BG/ADAM8/GSTP1/PRDX4/TUBB4B/CYBA/CD68/PRDX6/DDX3X/CTSD/ILF2/COMMD9/SERPINB6/GCA/RAP1B/MIF/TSPAN14/PDAP1/EEF2/DERA/PPIE/HVCN1/YPEL5/SELL/ALOX5/ANPEP/PGRMC1/PSMB1/RAB3D/EEF1A1/CAP1/CDA/RAP2C/RAB18/ADAM10/PA2G4/ATP6AP2/SNAP23/HSPA8/XRCC5/CD53/GOLGA7/TNFRSF1B/NAPRT/NRAS/RAB6A/PTPRJ/CPPED1/PSEN1/IST1/IMPDH1/LAIR1/HEBP2/LAMTOR2/PPIA/CCT8/CD300A/ALDH3B1/RNASET2/ACAA1/PSAP/FGR/PTPRC/FGL2/NCKAP1L/XRCC6/CSNK2B/LAMP2/TCIRG1/DNASE1L1/CYSTM1/IGF2R/CSTB/CYBB/RHOF/C6orf120/DIAPH1/GUSB/CD58/CD14/CCT2/STK10/CTSH/RAB27A/DNAJC3/GRN/PSMC2/BIN2/FAF2/MAPK1/FTH1/TUBB/TYROBP/APRT/RAB37/PSMC3/CAND1/RAB10/DNAJC13/GLA/VCL/RAB24/B2M/PECAM1/PLEKHO2/ARHGAP45/FCER1G/SLC15A4/CAB39/MLEC/B4GALT1/HLA-C/DDOST/CTSZ/PLAUR/ITGAX/SRP14/PAFAH1B2/ADA2/NPC2/LTA4H/ATP6V0A1/GNS/AGPAT2/RAB31/PFKL/IQGAP1/TRAPPC1/PSMA5/CD93/PRCP/PSMD1/ITGAL/CMTM6/PRKCD/OSCAR/CAT/MANBA/DPP7/S100A9/LAMTOR3/COMMD3/DYNC1H1/TMEM30A/CPNE1/TMEM179B/PTAFR/PSMD3/FABP5/ANXA2/IQGAP2/PSMB7/CD33/CAPN1/COPB1/AGA/ARPC5/SURF4/NHLRC3/OSTF1/LILRB2/GLB1/RAB5C/PSMD11/SIGLEC14/BRI3/FCGR2A/ARHGAP9/LGALS3/DOK3/CST3/AP1M1/ATP11A/TBC1D10C/VCP/CTSA/S100A8/MAPK14/KCMF1/CYB5R3/ARSA/RHOG/HSPA6/APEH/CD47/DYNC1LI1/KPNB1/SNAP29/PTGES2/ITGB2/DYNLT1/PSMD12/ANO6/GDI2/LAMTOR1/CTSC/C1orf35/DGAT1/RAB14/UNC13D/ATP6V1D/P2RX1/GLIPR1/ACTR10/PSMD7/ASAH1/CD36/DEGS1/PLAC8/CYFIP1/ARL8A/HEXB/RAP2B/PGAM1/LAMP1/GPI/PSMD6/CREG1/PYGL/S100A11/RAC1/ATG7/BST2/MVP/MNDA/MAGT1/HSPA1A/NIT2/UBR4/STOM/ACTR2/FTL/GYG1/FUCA2/GAA/PDXK/LYZ/CNN2/CTSB/LPCAT1/HK3/GSDMD/ERP44/RAB7A/CD44/NCSTN/NBEAL2/PSMD13/DNAJC5/TMC6/PSMD2/PSMD14/TOLLIP/RHOA/QSOX1",301,"Non_classical_monocytes","AKI_vs_Normal"
"R-HSA-72706","GTP hydrolysis and joining of the 60S ribosomal subunit","107/3220","113/11230",0.946902654867257,3.30239652613643,15.5958036552702,8.96856027262908e-51,3.64123547068741e-48,2.03680724086287e-48,"RPS4Y1/EIF4A1/RPS26/EIF1AX/RPS2/RPL22L1/EIF5/RPL37/RPL5/RPLP0/RPL10A/RPS17/EIF2S1/RPS20/RPL17/RPS27/EIF3K/EIF2S3/RPS4X/EIF3A/RPS10/RPL7/RPL18/RPS3A/RPL27A/RPL10/EIF3I/RPL22/EIF3J/RPS13/RPL9/RPL30/EIF4G1/RPSA/RPL36A/RPL21/RPL35A/RPL11/RPL35/RPL15/RPL27/RPS27L/RPL6/RPL38/RPL34/RPL37A/RPL14/RPS29/RPS16/EIF3F/EIF3E/RPS27A/EIF4B/RPL32/RPLP2/EIF4A2/RPL8/RPL26L1/RPS3/RPS21/RPS5/RPL18A/RPL36/RPS19/RPS9/RPL13/EIF3H/EIF4H/RPL23A/EIF3M/FAU/RPS24/RPS7/RPS25/RPS14/RPS23/RPS28/EIF3L/RPS12/RPL24/EIF3B/UBA52/RPS6/RPS11/RPL36AL/EIF2S2/RPS15/RPL13A/RPL31/RPL29/RPL7A/RPL12/EIF3D/RPL4/RPL41/RPL26/RPL3/RPL39/RPL23/EIF5B/RPL19/RPL28/RPS15A/RPLP1/RPS8/EIF3G/RPS18",107,"Non_classical_monocytes","AKI_vs_Normal"
"R-HSA-156827","L13a-mediated translational silencing of Ceruloplasmin expression","106/3220","112/11230",0.946428571428571,3.30074312333629,15.5147945108953,3.03269077898625e-50,9.85017965014734e-48,5.50992029950554e-48,"RPS4Y1/EIF4A1/RPS26/EIF1AX/RPS2/RPL22L1/RPL37/RPL5/RPLP0/RPL10A/RPS17/EIF2S1/RPS20/RPL17/PABPC1/RPS27/EIF3K/EIF2S3/RPS4X/EIF3A/RPS10/RPL7/RPL18/RPS3A/RPL27A/RPL10/EIF3I/RPL22/EIF3J/RPS13/RPL9/RPL30/EIF4G1/RPSA/RPL36A/RPL21/RPL35A/RPL11/RPL35/RPL15/RPL27/RPS27L/RPL6/RPL38/RPL34/RPL37A/RPL14/RPS29/RPS16/EIF3F/EIF3E/RPS27A/EIF4B/RPL32/RPLP2/EIF4A2/RPL8/RPL26L1/RPS3/RPS21/RPS5/RPL18A/RPL36/RPS19/RPS9/RPL13/EIF3H/EIF4H/RPL23A/EIF3M/FAU/RPS24/RPS7/RPS25/RPS14/RPS23/RPS28/EIF3L/RPS12/RPL24/EIF3B/UBA52/RPS6/RPS11/RPL36AL/EIF2S2/RPS15/RPL13A/RPL31/RPL29/RPL7A/RPL12/EIF3D/RPL4/RPL41/RPL26/RPL3/RPL39/RPL23/RPL19/RPL28/RPS15A/RPLP1/RPS8/EIF3G/RPS18",106,"Non_classical_monocytes","AKI_vs_Normal"
"R-HSA-9010553","Regulation of expression of SLITs and ROBOs","135/3220","159/11230",0.849056603773585,2.96115082620415,15.7905897611563,5.62983133258676e-50,1.52380768068682e-47,8.52376217547784e-48,"ELOB/RPS4Y1/PSMA2/SEM1/RPS26/RPS2/RPL22L1/UPF3B/PSMB3/RPL37/PSMA1/RPL5/RPLP0/RPL10A/PSMC5/UBC/RPS17/RPS20/RPL17/PABPC1/RPS27/PSMB1/RPS4X/RPS10/RPL7/RPL18/ELOC/RPS3A/RPL27A/RPL10/RPL22/PSMB5/RPS13/RPL9/RPL30/EIF4G1/RPSA/RPL36A/PSMB2/RPL21/RPL35A/RPL11/RPL35/RPL15/PSMA6/RPL27/RPS27L/RPL6/RPL38/RNPS1/RPL34/PSMC2/RPL37A/EIF4A3/RPL14/PSMC3/RPS29/ADRM1/PSMB6/RPS16/PSMA4/PSMA3/ETF1/RPS27A/UBB/RPL32/RPLP2/MAGOH/RBX1/RPL8/NCBP2/RBM8A/RPL26L1/RPS3/PSMA5/RPS21/RPS5/PSMD1/RPL18A/RPL36/RPS19/RPS9/RPL13/PSMD3/PSMC1/PSMB7/PSMB4/PSMC4/RPL23A/FAU/RPS24/PSMD11/RPS7/RPS25/RPS14/RPS23/USP33/RPS28/RPS12/RPL24/UBA52/RPS6/RPS11/RPL36AL/PSMD12/UPF3A/RPS15/RPL13A/RPL31/RPL29/PSMD7/RPL7A/RPL12/GSPT1/RPL4/RPL41/UPF2/RPL26/PSMD6/RPL3/RPL39/RPL23/PSMD8/MAGOHB/RPL19/RPL28/RPS15A/PSMC6/RPLP1/RPS8/PSMD13/PSMD2/PSMD14/PSMA7/RPS18",135,"Non_classical_monocytes","AKI_vs_Normal"
"R-HSA-1799339","SRP-dependent cotranslational protein targeting to membrane","105/3220","113/11230",0.929203539823009,3.24066948826472,15.1776816020355,1.20907963269875e-47,2.8050647478611e-45,1.56907627521657e-45,"RPS4Y1/RPS26/RPS2/RPL22L1/RPL37/RPL5/RPLP0/SSR4/SEC61A1/RPL10A/RPS17/RPS20/RPL17/SRP19/RPS27/RPS4X/RPS10/RPL7/RPL18/SRP72/RPS3A/RPL27A/RPL10/RPN1/RPL22/RPS13/RPL9/RPL30/SPCS3/RPSA/RPL36A/SPCS2/RPL21/RPL35A/RPL11/RPL35/RPL15/RPL27/RPS27L/RPL6/RPL38/RPL34/SEC61B/RPL37A/RPL14/RPS29/RPS16/DDOST/RPS27A/SRP14/RPL32/RPLP2/RPL8/SEC11C/RPL26L1/RPS3/RPS21/RPS5/RPL18A/RPL36/SRP54/RPS19/SEC61G/RPS9/RPL13/RPL23A/FAU/RPS24/RPS7/RPS25/RPS14/RPS23/RPS28/SPCS1/RPS12/RPL24/UBA52/RPS6/RPS11/RPL36AL/RPN2/SSR2/RPS15/RPL13A/RPL31/RPL29/RPL7A/RPL12/SRP9/SSR3/RPL4/RPL41/RPL26/SEC11A/TRAM1/RPL3/RPL39/RPL23/RPL19/RPL28/RPS15A/SSR1/RPLP1/RPS8/RPS18",105,"Non_classical_monocytes","AKI_vs_Normal"
"R-HSA-72613","Eukaryotic Translation Initiation","109/3220","120/11230",0.908333333333333,3.16788302277433,15.1374128772182,6.36401955901829e-47,1.14835197376063e-44,6.42356594085706e-45,"RPS4Y1/EIF4A1/RPS26/EIF1AX/RPS2/RPL22L1/EIF5/RPL37/RPL5/RPLP0/RPL10A/RPS17/EIF2S1/RPS20/RPL17/PABPC1/RPS27/EIF3K/EIF2S3/RPS4X/EIF3A/RPS10/RPL7/RPL18/RPS3A/RPL27A/RPL10/EIF3I/RPL22/EIF3J/RPS13/RPL9/RPL30/EIF4G1/RPSA/RPL36A/RPL21/RPL35A/RPL11/RPL35/RPL15/RPL27/RPS27L/RPL6/RPL38/RPL34/RPL37A/RPL14/EIF4EBP1/RPS29/RPS16/EIF3F/EIF3E/RPS27A/EIF4B/RPL32/RPLP2/EIF4A2/RPL8/RPL26L1/RPS3/RPS21/RPS5/RPL18A/RPL36/RPS19/RPS9/RPL13/EIF3H/EIF4H/RPL23A/EIF3M/FAU/RPS24/RPS7/RPS25/RPS14/RPS23/RPS28/EIF3L/RPS12/RPL24/EIF3B/UBA52/RPS6/RPS11/RPL36AL/EIF2S2/RPS15/RPL13A/RPL31/RPL29/RPL7A/RPL12/EIF3D/RPL4/RPL41/RPL26/RPL3/RPL39/RPL23/EIF5B/RPL19/RPL28/RPS15A/RPLP1/RPS8/EIF3G/RPS18",109,"Non_classical_monocytes","AKI_vs_Normal"
"R-HSA-72737","Cap-dependent Translation Initiation","109/3220","120/11230",0.908333333333333,3.16788302277433,15.1374128772182,6.36401955901829e-47,1.14835197376063e-44,6.42356594085706e-45,"RPS4Y1/EIF4A1/RPS26/EIF1AX/RPS2/RPL22L1/EIF5/RPL37/RPL5/RPLP0/RPL10A/RPS17/EIF2S1/RPS20/RPL17/PABPC1/RPS27/EIF3K/EIF2S3/RPS4X/EIF3A/RPS10/RPL7/RPL18/RPS3A/RPL27A/RPL10/EIF3I/RPL22/EIF3J/RPS13/RPL9/RPL30/EIF4G1/RPSA/RPL36A/RPL21/RPL35A/RPL11/RPL35/RPL15/RPL27/RPS27L/RPL6/RPL38/RPL34/RPL37A/RPL14/EIF4EBP1/RPS29/RPS16/EIF3F/EIF3E/RPS27A/EIF4B/RPL32/RPLP2/EIF4A2/RPL8/RPL26L1/RPS3/RPS21/RPS5/RPL18A/RPL36/RPS19/RPS9/RPL13/EIF3H/EIF4H/RPL23A/EIF3M/FAU/RPS24/RPS7/RPS25/RPS14/RPS23/RPS28/EIF3L/RPS12/RPL24/EIF3B/UBA52/RPS6/RPS11/RPL36AL/EIF2S2/RPS15/RPL13A/RPL31/RPL29/RPL7A/RPL12/EIF3D/RPL4/RPL41/RPL26/RPL3/RPL39/RPL23/EIF5B/RPL19/RPL28/RPS15A/RPLP1/RPS8/EIF3G/RPS18",109,"Non_classical_monocytes","AKI_vs_Normal"
"R-HSA-72689","Formation of a pool of free 40S subunits","97/3220","102/11230",0.950980392156863,3.31661795152844,14.9014374273874,1.36666867309815e-46,2.2194699251114e-44,1.24151059461443e-44,"RPS4Y1/RPS26/EIF1AX/RPS2/RPL22L1/RPL37/RPL5/RPLP0/RPL10A/RPS17/RPS20/RPL17/RPS27/EIF3K/RPS4X/EIF3A/RPS10/RPL7/RPL18/RPS3A/RPL27A/RPL10/EIF3I/RPL22/EIF3J/RPS13/RPL9/RPL30/RPSA/RPL36A/RPL21/RPL35A/RPL11/RPL35/RPL15/RPL27/RPS27L/RPL6/RPL38/RPL34/RPL37A/RPL14/RPS29/RPS16/EIF3F/EIF3E/RPS27A/RPL32/RPLP2/RPL8/RPL26L1/RPS3/RPS21/RPS5/RPL18A/RPL36/RPS19/RPS9/RPL13/EIF3H/RPL23A/EIF3M/FAU/RPS24/RPS7/RPS25/RPS14/RPS23/RPS28/EIF3L/RPS12/RPL24/EIF3B/UBA52/RPS6/RPS11/RPL36AL/RPS15/RPL13A/RPL31/RPL29/RPL7A/RPL12/EIF3D/RPL4/RPL41/RPL26/RPL3/RPL39/RPL23/RPL19/RPL28/RPS15A/RPLP1/RPS8/EIF3G/RPS18",97,"Non_classical_monocytes","AKI_vs_Normal"
