"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","CellType","Condition"
"R-HSA-72766","Translation","289/2624","368/11230",0.785326086956522,3.36098016635737,25.4280545399062,3.77733746886809e-115,6.13817338691064e-112,4.11530976871418e-112,"SEC61G/MT-ND4/RPL39/RPL28/RPS4Y1/RPS19/RPS26/MT-CO1/RPLP2/MT-CYB/RPL37A/ELOB/MT-ND1/EIF4A2/UBA52/TRAM1/RPS24/RPL30/EIF5/RPS12/ELOC/RPL36/PSMA4/RPL12/MRPS21/EEF1A1/MRPL57/SPCS3/RPLP0/EEF1B2/MT-ATP6/PSMB7/RBX1/EIF5B/TUFM/SEM1/RPL27A/EIF4H/MRPL12/MRPL42/MT-ATP8/EIF4E/RPL9/EIF3L/MRPL34/MRPL33/EEF1E1/NDUFAB1/EEF2/RPLP1/SRP14/MRPL41/RPS29/RPL7A/FAU/MRPL50/RPL4/PSMB3/PSMB2/SRP9/SEC61B/RPL18A/EIF3E/PSMB4/MRPL4/PSMA7/MRPL28/MRPL47/RPS16/RPL35/RPS8/RPL22/RPS5/RPL17/MRPL23/TRIP4/RPS2/MT-CO2/MT-ND5/RPL13A/PSMD14/RPS10/RPL5/PSMC5/EIF3F/MRPS16/RPL36A/MRPL13/SPCS1/EIF2S3/EIF4A1/PPA1/MRPL27/RPS3A/EIF1AX/EEF1D/MRPL1/VCP/MRPL32/RPL29/RPL18/PPA2/RPL37/UBC/MRPL17/MRPL55/MRPL46/MRPL18/RPS4X/ADRM1/RPL7/MRPL52/UBB/UBE2D2/PSMB6/AIMP1/RPSA/RPL31/RPL6/RPS23/MRPS12/PSMC4/MRPS10/RPS3/MRPS23/RPL23/EIF3H/PSMA5/MT-ND2/SSR2/PSMB5/MRPL51/TCF25/RPL26/EIF3J/MT-ND3/PSMA3/MT-ND6/UBE2D3/MIEF1/SSR4/MRPL40/SSR1/PABPC1/RPL10A/SEC11A/RPL38/OXA1L/PSMD2/PSMC3/MRPL54/SEC61A1/PSMC1/EIF3I/RPL27/TSFM/RPL10/KLHDC10/RCHY1/GADD45GIP1/MRPS7/RPS7/RPL23A/EIF3M/MALSU1/MRPS22/MRPS15/RPS27A/MRPL9/RPL36AL/MRPL19/PSMD13/EIF4G1/SSR3/RPS25/EIF4B/MRPL21/MRPS14/MRPS28/PSMB1/DAP3/EIF3K/MRPL43/MRPS5/NPLOC4/PSMD12/RPL32/MT-ND4L/MRPL16/RPL8/PSMD3/MRPS33/MRPL15/RPN2/RPS21/RPL3/MRPL36/MT-CO3/ABCE1/ETF1/RPL19/PSMC6/MRPL24/SPCS2/MRPL49/MRPL20/EIF3D/MTIF3/RPL21/EIF2B2/AURKAIP1/RPS18/GFM1/RPS27/MRPS18B/MRPL14/RPS14/RPL14/RPL26L1/RPL41/RPS28/PSMD6/SRP19/PSMD7/RPL34/RPS9/RPS15A/DDOST/MRPL3/PSMA1/PSMD8/MRPL37/TRMT112/RPS11/MRPS31/RPL11/SRP54/MRPL39/APEH/EIF2S2/PSMC2/RPL24/PSMD11/EIF4EBP1/MRPL2/PSMA2/RPL13/MRPL44/IARS2/SRP72/RPS17/GSPT1/RPN1/RPS27L/MRPS35/EIF2S1/MRPS34/RPL22L1/MRPS11/MRPS18A/RPL35A/RPS6/CHCHD1/RPS13/MRPL22/RPS20/MRPS25/EIF3G/MRPL10/UFD1/EIF3A/MRPL48/MRPL11/RPL15/MRPL35/FARSA/PSMD1/MRPS6/SEC11C/CARS2/EIF3B/MRPS26/PTCD3/MRPS30/MRPL58/RPS15/MRPS18C/MRPS2/MRPS9",289,"PT","AKI_vs_Normal"
"R-HSA-9948299","Ribosome-associated quality control","130/2624","145/11230",0.896551724137931,3.83699537426409,18.985697871868,1.46006091942063e-65,1.18629949702926e-62,7.95348974526502e-63,"RPL39/RPL28/RPS4Y1/RPS19/RPS26/RPLP2/RPL37A/ELOB/UBA52/RPS24/RPL30/RPS12/ELOC/RPL36/PSMA4/RPL12/RPLP0/PSMB7/RBX1/SEM1/RPL27A/RPL9/RPLP1/RPS29/RPL7A/FAU/RPL4/PSMB3/PSMB2/RPL18A/PSMB4/PSMA7/RPS16/RPL35/RPS8/RPL22/RPS5/RPL17/TRIP4/RPS2/RPL13A/PSMD14/RPS10/RPL5/PSMC5/RPL36A/RPS3A/VCP/RPL29/RPL18/RPL37/UBC/RPS4X/ADRM1/RPL7/UBB/UBE2D2/PSMB6/RPSA/RPL31/RPL6/RPS23/PSMC4/RPS3/RPL23/PSMA5/PSMB5/TCF25/RPL26/PSMA3/UBE2D3/RPL10A/RPL38/PSMD2/PSMC3/PSMC1/RPL27/RPL10/KLHDC10/RCHY1/RPS7/RPL23A/RPS27A/RPL36AL/PSMD13/RPS25/PSMB1/NPLOC4/PSMD12/RPL32/RPL8/PSMD3/RPS21/RPL3/ABCE1/RPL19/PSMC6/RPL21/RPS18/RPS27/RPS14/RPL14/RPL26L1/RPL41/RPS28/PSMD6/PSMD7/RPL34/RPS9/RPS15A/PSMA1/PSMD8/RPS11/RPL11/PSMC2/RPL24/PSMD11/PSMA2/RPL13/RPS17/RPS27L/RPL22L1/RPL35A/RPS6/RPS13/RPS20/UFD1/RPL15/PSMD1/RPS15",130,"PT","AKI_vs_Normal"
"R-HSA-72706","GTP hydrolysis and joining of the 60S ribosomal subunit","108/2624","113/11230",0.955752212389381,4.09035721994388,18.2308067510523,4.54663901860394e-62,2.4627628017438e-59,1.65114785412459e-59,"RPL39/RPL28/RPS4Y1/RPS19/RPS26/RPLP2/RPL37A/EIF4A2/UBA52/RPS24/RPL30/EIF5/RPS12/RPL36/RPL12/RPLP0/EIF5B/RPL27A/EIF4H/EIF4E/RPL9/EIF3L/RPLP1/RPS29/RPL7A/FAU/RPL4/RPL18A/EIF3E/RPS16/RPL35/RPS8/RPL22/RPS5/RPL17/RPS2/RPL13A/RPS10/RPL5/EIF3F/RPL36A/EIF2S3/EIF4A1/RPS3A/EIF1AX/RPL29/RPL18/RPL37/RPS4X/RPL7/RPSA/RPL31/RPL6/RPS23/RPS3/RPL23/EIF3H/RPL26/EIF3J/RPL10A/RPL38/EIF3I/RPL27/RPL10/RPS7/RPL23A/EIF3M/RPS27A/RPL36AL/EIF4G1/RPS25/EIF4B/EIF3K/RPL32/RPL8/RPS21/RPL3/RPL19/EIF3D/RPL21/RPS18/RPS27/RPS14/RPL14/RPL26L1/RPL41/RPS28/RPL34/RPS9/RPS15A/RPS11/RPL11/EIF2S2/RPL24/RPL13/RPS17/RPS27L/EIF2S1/RPL22L1/RPL35A/RPS6/RPS13/RPS20/EIF3G/EIF3A/RPL15/EIF3B/RPS15",108,"PT","AKI_vs_Normal"
"R-HSA-71291","Metabolism of amino acids and derivatives","228/2624","358/11230",0.636871508379888,2.7256353045374,18.3226208235756,1.81072218997182e-61,6.23906242038929e-59,4.18295035148367e-59,"HPD/PRODH2/PAH/ASS1/ADI1/FTCD/GATM/SLC3A2/AGMAT/RPL39/ALDH6A1/RPL28/PIPOX/DIO1/SHMT1/BHMT2/RIDA/BHMT/DAO/RPS4Y1/GRHPR/RPS19/DMGDH/RPS26/QDPR/PHGDH/HNMT/RPLP2/GCSH/RPL37A/IYD/GLS/ACADSB/CRYM/SAT1/AHCY/ASRGL1/KMO/UBA52/DDC/RPS24/RPL30/RPS12/AGXT/GAMT/RPL36/PSMA4/ARG2/SEPHS2/PXMP2/GLUD1/RPL12/IVD/FOLH1/RPLP0/CKB/GCDH/HAAO/ALDH7A1/ACMSD/PSMB7/ALDH4A1/ECHS1/TSTD1/SDSL/SEM1/RPL27A/FMO1/HGD/ALDH9A1/RPL9/AUH/EEF1E1/SERINC2/GPT/AGXT2/RPLP1/SARDH/GOT2/RPS29/RPL7A/FAU/GPT2/RPL4/PSMB3/ACAT1/PSMB2/RPL18A/HIBCH/PSMB4/ASPA/PSAT1/PSMA7/RPS16/DHTKD1/RPL35/KYNU/RPS8/RPL22/RPS5/RPL17/RPS2/RPL13A/PSMD14/PPM1K/RPS10/RPL5/SLC25A13/PSMC5/SMS/CHDH/SLC25A10/GSR/MPST/RPL36A/RPS3A/NQO1/RPL29/RPL18/RPL37/RPS4X/ADRM1/RPL7/TST/PSMB6/AIMP1/RPSA/RPL31/RPL6/RPS23/PSMC4/RPS3/SERINC1/RPL23/PSMA5/ETHE1/PSMB5/TXNRD1/SLC6A8/RPL26/HIBADH/PSMA3/MCCC2/OGDH/RPL10A/RPL38/PSMD2/PSMC3/PCBD1/HOGA1/HSD17B10/PSMC1/RPL27/RPL10/FAH/ACAD8/RPS7/BCKDHB/RPL23A/SUOX/RPS27A/RPL36AL/AMD1/GOT1/PSMD13/RPS25/PSMB1/OAZ1/PSMD12/RPL32/RPL8/PSMD3/RPS21/RPL3/SRM/ODC1/RPL19/PSMC6/MCCC1/AFMID/AZIN1/GSTZ1/ENOPH1/RPL21/RPS18/ASL/RPS27/RPS14/RPL14/RPL26L1/RPL41/RPS28/PSMD6/PSMD7/RPL34/RPS9/RPS15A/DLST/DBT/PSMA1/OAT/GLUL/PSMD8/RPS11/BCKDK/DLD/NMRAL1/RPL11/PSMC2/RPL24/PSMD11/PSMA2/RPL13/RPS17/RPS27L/RPL22L1/RPL35A/OAZ2/RPS6/RPS13/RPS20/RPL15/GLDC/BBOX1/PSMD1/TXN2/RPS15/SECISBP2",228,"PT","AKI_vs_Normal"
"R-HSA-156827","L13a-mediated translational silencing of Ceruloplasmin expression","107/2624","112/11230",0.955357142857143,4.08866643074913,18.1392142242818,1.91971151396594e-61,6.23906242038929e-59,4.18295035148367e-59,"RPL39/RPL28/RPS4Y1/RPS19/RPS26/RPLP2/RPL37A/EIF4A2/UBA52/RPS24/RPL30/RPS12/RPL36/RPL12/RPLP0/RPL27A/EIF4H/EIF4E/RPL9/EIF3L/RPLP1/RPS29/RPL7A/FAU/RPL4/RPL18A/EIF3E/RPS16/RPL35/RPS8/RPL22/RPS5/RPL17/RPS2/RPL13A/RPS10/RPL5/EIF3F/RPL36A/EIF2S3/EIF4A1/RPS3A/EIF1AX/RPL29/RPL18/RPL37/RPS4X/RPL7/RPSA/RPL31/RPL6/RPS23/RPS3/RPL23/EIF3H/RPL26/EIF3J/PABPC1/RPL10A/RPL38/EIF3I/RPL27/RPL10/RPS7/RPL23A/EIF3M/RPS27A/RPL36AL/EIF4G1/RPS25/EIF4B/EIF3K/RPL32/RPL8/RPS21/RPL3/RPL19/EIF3D/RPL21/RPS18/RPS27/RPS14/RPL14/RPL26L1/RPL41/RPS28/RPL34/RPS9/RPS15A/RPS11/RPL11/EIF2S2/RPL24/RPL13/RPS17/RPS27L/EIF2S1/RPL22L1/RPL35A/RPS6/RPS13/RPS20/EIF3G/EIF3A/RPL15/EIF3B/RPS15",107,"PT","AKI_vs_Normal"
"R-HSA-72613","Eukaryotic Translation Initiation","111/2624","120/11230",0.925,3.95874618902439,17.9925654227001,1.42127937878749e-59,3.29939855789954e-57,2.21206640157151e-57,"RPL39/RPL28/RPS4Y1/RPS19/RPS26/RPLP2/RPL37A/EIF4A2/UBA52/RPS24/RPL30/EIF5/RPS12/RPL36/RPL12/RPLP0/EIF5B/RPL27A/EIF4H/EIF4E/RPL9/EIF3L/RPLP1/RPS29/RPL7A/FAU/RPL4/RPL18A/EIF3E/RPS16/RPL35/RPS8/RPL22/RPS5/RPL17/RPS2/RPL13A/RPS10/RPL5/EIF3F/RPL36A/EIF2S3/EIF4A1/RPS3A/EIF1AX/RPL29/RPL18/RPL37/RPS4X/RPL7/RPSA/RPL31/RPL6/RPS23/RPS3/RPL23/EIF3H/RPL26/EIF3J/PABPC1/RPL10A/RPL38/EIF3I/RPL27/RPL10/RPS7/RPL23A/EIF3M/RPS27A/RPL36AL/EIF4G1/RPS25/EIF4B/EIF3K/RPL32/RPL8/RPS21/RPL3/RPL19/EIF3D/RPL21/EIF2B2/RPS18/RPS27/RPS14/RPL14/RPL26L1/RPL41/RPS28/RPL34/RPS9/RPS15A/RPS11/RPL11/EIF2S2/RPL24/EIF4EBP1/RPL13/RPS17/RPS27L/EIF2S1/RPL22L1/RPL35A/RPS6/RPS13/RPS20/EIF3G/EIF3A/RPL15/EIF3B/RPS15",111,"PT","AKI_vs_Normal"
"R-HSA-72737","Cap-dependent Translation Initiation","111/2624","120/11230",0.925,3.95874618902439,17.9925654227001,1.42127937878749e-59,3.29939855789954e-57,2.21206640157151e-57,"RPL39/RPL28/RPS4Y1/RPS19/RPS26/RPLP2/RPL37A/EIF4A2/UBA52/RPS24/RPL30/EIF5/RPS12/RPL36/RPL12/RPLP0/EIF5B/RPL27A/EIF4H/EIF4E/RPL9/EIF3L/RPLP1/RPS29/RPL7A/FAU/RPL4/RPL18A/EIF3E/RPS16/RPL35/RPS8/RPL22/RPS5/RPL17/RPS2/RPL13A/RPS10/RPL5/EIF3F/RPL36A/EIF2S3/EIF4A1/RPS3A/EIF1AX/RPL29/RPL18/RPL37/RPS4X/RPL7/RPSA/RPL31/RPL6/RPS23/RPS3/RPL23/EIF3H/RPL26/EIF3J/PABPC1/RPL10A/RPL38/EIF3I/RPL27/RPL10/RPS7/RPL23A/EIF3M/RPS27A/RPL36AL/EIF4G1/RPS25/EIF4B/EIF3K/RPL32/RPL8/RPS21/RPL3/RPL19/EIF3D/RPL21/EIF2B2/RPS18/RPS27/RPS14/RPL14/RPL26L1/RPL41/RPS28/RPL34/RPS9/RPS15A/RPS11/RPL11/EIF2S2/RPL24/EIF4EBP1/RPL13/RPS17/RPS27L/EIF2S1/RPL22L1/RPL35A/RPS6/RPS13/RPS20/EIF3G/EIF3A/RPL15/EIF3B/RPS15",111,"PT","AKI_vs_Normal"
"R-HSA-1428517","Aerobic respiration and respiratory electron transport","182/2624","258/11230",0.705426356589147,3.01903124409151,18.1159777463371,2.3363031754851e-59,4.74561582520411e-57,3.18167603503563e-57,"PDK4/HAGH/SUCLG1/MT-ND4/PDK2/ATP5MF/ATP5F1E/PKM/ATP5MC1/UQCR11/ATP5MG/ATP5PF/UQCR10/COX7B/ATP5MC3/MT-CO1/MDH1/COA3/NDUFS5/ATP5F1D/MT-CYB/COX6B1/ATP5ME/ATP5MC2/MT-ND1/COX7A2/UBA52/ETFB/NDUFB2/ATP5PO/PKLR/UQCC2/DMAC1/ACO2/RAB5IF/NDUFS8/HIGD1A/FAHD1/NDUFB8/LDHA/ATP5F1C/COX14/SDHB/MT-ATP6/UQCRB/NDUFS6/COX5B/ATP5F1B/SURF1/COX20/NDUFA13/NDUFS7/MT-ATP8/NDUFA8/LDHB/ETFA/SLC25A11/COX7A1/SFXN4/NDUFAF4/GPT/NDUFAB1/PC/NDUFB10/ISCA2/GOT2/COX6A1/UQCRFS1/NDUFA6/HSPA9/ACAT1/IDH3A/UQCRQ/COA5/COX16/COX4I1/UQCRH/NDUFA11/WDR26/SDHA/ATP5PD/MT-CO2/MT-ND5/SDHAF3/SUCLA2/SLC25A13/PDHA1/LYRM2/NDUFB4/SUCLG2/ISCU/NDUFB6/NDUFB3/VDAC1/NDUFS4/ATP5F1A/NDUFAF3/FH/PYURF/UBC/IDH3G/COQ10B/UBB/IDH2/NDUFA1/NDUFAF8/NDUFB7/ATP5PB/NDUFB1/NDUFA3/NDUFA5/NDUFV1/COX7A2L/MT-ND2/NDUFS1/UQCC3/NDUFC2/SDHD/HIGD2A/MT-ND3/TRAP1/MT-ND6/NDUFA9/OGDH/UQCRC1/PNKD/NDUFAF2/SDHC/OXA1L/TMEM126B/MKLN1/NDUFA12/NDUFB9/NDUFS2/LETM1/COX8A/PET100/RPS27A/COX7C/NDUFV2/MPC2/D2HGDH/GOT1/COX5A/MDH2/NDUFS3/NDUFB11/NFS1/COX6C/CYC1/NDUFA10/PDHB/MT-CO3/MPC1/UQCRC2/NDUFC1/GSTZ1/RMND5A/TMEM126A/COX17/NDUFA2/NDUFV3/DLST/ISCA1/DLD/NDUFAF1/CMC1/NDUFA7/TIMMDC1/GLO1/NDUFB5/COX11/IDH3B/COA1/SDHAF1/SCO1/MAEA/SDHAF2/LYRM4/TACO1/HSCB/SMIM20",182,"PT","AKI_vs_Normal"
"R-HSA-1799339","SRP-dependent cotranslational protein targeting to membrane","105/2624","113/11230",0.929203539823009,3.97673618605655,17.5605272447587,6.66228226831034e-57,1.2029120762227e-54,8.06486800900726e-55,"SEC61G/RPL39/RPL28/RPS4Y1/RPS19/RPS26/RPLP2/RPL37A/UBA52/TRAM1/RPS24/RPL30/RPS12/RPL36/RPL12/SPCS3/RPLP0/RPL27A/RPL9/RPLP1/SRP14/RPS29/RPL7A/FAU/RPL4/SRP9/SEC61B/RPL18A/RPS16/RPL35/RPS8/RPL22/RPS5/RPL17/RPS2/RPL13A/RPS10/RPL5/RPL36A/SPCS1/RPS3A/RPL29/RPL18/RPL37/RPS4X/RPL7/RPSA/RPL31/RPL6/RPS23/RPS3/RPL23/SSR2/RPL26/SSR4/SSR1/RPL10A/SEC11A/RPL38/SEC61A1/RPL27/RPL10/RPS7/RPL23A/RPS27A/RPL36AL/SSR3/RPS25/RPL32/RPL8/RPN2/RPS21/RPL3/RPL19/SPCS2/RPL21/RPS18/RPS27/RPS14/RPL14/RPL26L1/RPL41/RPS28/SRP19/RPL34/RPS9/RPS15A/DDOST/RPS11/RPL11/SRP54/RPL24/RPL13/SRP72/RPS17/RPN1/RPS27L/RPL22L1/RPL35A/RPS6/RPS13/RPS20/RPL15/SEC11C/RPS15",105,"PT","AKI_vs_Normal"
"R-HSA-9010553","Regulation of expression of SLITs and ROBOs","130/2624","159/11230",0.817610062893082,3.49914672495782,17.5246226991618,2.2983949055426e-55,3.73489172150673e-53,2.50404076551221e-53,"RPL39/RPL28/RPS4Y1/RPS19/RPS26/RPLP2/RPL37A/ELOB/UBA52/RPS24/RPL30/RPS12/ELOC/RPL36/PSMA4/RPL12/RPLP0/PSMB7/RBX1/SEM1/RPL27A/RPL9/RPLP1/RPS29/RPL7A/FAU/RPL4/PSMB3/PSMB2/RPL18A/PSMB4/PSMA7/RPS16/RPL35/RPS8/RPL22/RPS5/RPL17/RPS2/RPL13A/PSMD14/RPS10/RPL5/PSMC5/RPL36A/RPS3A/RPL29/RPL18/RPL37/UBC/RPS4X/ADRM1/RPL7/UBB/PSMB6/RPSA/RPL31/RPL6/RPS23/PSMC4/RPS3/RPL23/PSMA5/PSMB5/RPL26/PSMA3/PABPC1/RPL10A/RPL38/PSMD2/PSMC3/NCBP2/USP33/PSMC1/RPL27/RPL10/RBM8A/RPS7/RPL23A/RPS27A/RPL36AL/PSMD13/EIF4G1/RPS25/PSMB1/PSMD12/RPL32/EIF4A3/RPL8/PSMD3/RPS21/RPL3/ETF1/RPL19/PSMC6/RPL21/RPS18/RPS27/RPS14/RPL14/RPL26L1/RPL41/RPS28/PSMD6/PSMD7/RPL34/RPS9/RPS15A/PSMA1/PSMD8/RPS11/RPL11/PSMC2/RPL24/PSMD11/PSMA2/RPL13/RPS17/GSPT1/RPS27L/RPL22L1/RPL35A/RPS6/RPS13/RPS20/RPL15/PSMD1/RPS15/RNPS1/MAGOH",130,"PT","AKI_vs_Normal"
