"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","CellType","Condition"
"R-HSA-72766","Translation","302/4231","368/11230",0.820652173913043,2.17819047814783,17.8672854368264,1.30495707594248e-70,2.17144857436828e-67,1.23490148554978e-67,"ELOB/UBC/RPL30/RPS27A/SEM1/RPS2/RPS3/RPL10A/RPL10/RPL37A/RPS14/RPS27/EEF1A1/RPS4X/MT-ATP8/RPL9/RPL19/RPL13/RPL37/RPL23A/RPS7/RPL18/MRPL57/RPL5/EIF4A1/RPL35A/RPL21/ELOC/RPL18A/RPS12/EEF1B2/MT-ATP6/FAU/RPL8/RPS28/RPS23/RPS4Y1/RPS24/RPL24/MT-ND2/RPS5/RPL6/RPS18/RPS3A/MT-ND3/RPS13/RPLP1/PSMB1/RPL27A/RPS29/RPS25/RPL41/RPL34/RPS15A/RPS10/MT-ND1/MT-CYB/RPS9/TRMT112/RPL3/RPL15/RPL14/RPL36/RPS11/RPL22/RPL11/RPL7A/RPS16/PSMA7/MT-ND4L/MT-CO2/RPS15/RPL36AL/RPS19/RPS8/RPL4/RPL26/UBB/RPS6/RPL12/RPL32/RPS21/SRP14/PSMA2/UFD1/MT-ND5/RPL39/RPL38/RPS17/MRPL23/EIF5/NDUFAB1/PSMC1/PSMD8/RPL31/RPL39L/EEF1D/MT-ND6/UBE2D2/RPL27/MT-CO1/RPSA/RPL29/EIF3E/MT-CO3/RPL28/MRPL51/EIF2S2/TRAM1/EIF3G/RPN1/EIF4A2/ADRM1/UBA52/RPL35/RPL7/MRPL18/PSMD7/MRPL12/RPL36A/RPLP2/RPS26/APEH/RPS20/EIF3F/EIF1AX/MRPL58/SRPRA/MALSU1/MT-ND4/LTN1/EIF3H/MRPL33/NPLOC4/PSMC2/SSR3/PPA2/MRPS22/UBE2D1/EIF3K/VCP/MRPL17/MRPL9/SEC61A1/AURKAIP1/RPL17/MRPS25/MRPS28/RPL23/EIF3M/MRPL36/SEC61B/SEC11C/EIF4G1/MRPL48/MRPS6/IARS2/PSMD14/MRPL20/EIF3B/MRPS31/PSMD1/GFM1/MRPL11/RPLP0/MRPL54/MRPL21/SEC11A/SSR1/PSMC3/MRPS16/PSMD3/TCF25/PSMD2/EIF4EBP1/MRPS34/ETF1/SRP19/MRPL34/EIF2B2/EIF4H/RPL13A/SPCS3/PSMD13/MRPS14/PSMB7/RPL22L1/PSMA5/MTIF3/MRPL35/MRPS12/PSMA1/MRPS33/DDOST/MRPL41/SPCS1/PSMD11/AIMP2/MRPS10/MRPL52/SPCS2/MRPS21/PPA1/DAP3/PSMB6/PSMB4/PSMC5/SSR4/SSR2/PABPC1/AIMP1/MRPS15/PSMC4/PSMA3/MRPS2/MRPL32/NEMF/GADD45GIP1/MRPL43/EIF5B/MRPL24/MRPS5/MRPL16/MRPS23/PTCD3/EIF4B/MRPL22/RPL26L1/MRPL19/EIF3D/RCHY1/MRPS18C/MRPL37/MRPS11/EIF3J/EIF2B1/OXA1L/TSFM/EIF4E/PSMB2/EEF1E1/PSMC6/RPS27L/MRPL40/ASCC3/SEC61G/GSPT1/RPN2/UBE2D3/SRP9/MRPL49/MRPS26/TUFM/PSMB5/MRPS9/EIF3I/SRP72/MRPL13/MRPS18B/PSMA4/SRPRB/MRPL39/CHCHD1/MRPS27/EIF3A/SRP54/MRPL42/MRPL50/MRPL28/MRPS35/KLHDC10/MRPL27/MRPL55/ABCE1/CARS2/PSMD6/FARSA/EIF2B5/EIF2S1/MRPL1/MRPL3/MRPS30/MRPS18A/EEF2/MRPL47/VARS2/RBX1/MRPL14/MRPL10/PSMD12/MRPL44/EIF2S3/MRPL15/CUL2/MRPL2/RARS2/MRPL4/PSMB3/EIF3L/MRPS7/HBS1L/MRPL46",302,"aPT","AKI_vs_Normal"
"R-HSA-9948299","Ribosome-associated quality control","136/4231","145/11230",0.937931034482759,2.48947424184386,14.0353486833907,5.58166778911101e-47,4.64394760054036e-44,2.64101018021621e-44,"ELOB/UBC/RPL30/RPS27A/SEM1/RPS2/RPS3/RPL10A/RPL10/RPL37A/RPS14/RPS27/RPS4X/RPL9/RPL19/RPL13/RPL37/RPL23A/RPS7/RPL18/RPL5/RPL35A/RPL21/ELOC/RPL18A/RPS12/FAU/RPL8/RPS28/RPS23/RPS4Y1/RPS24/RPL24/RPS5/RPL6/RPS18/RPS3A/RPS13/RPLP1/PSMB1/RPL27A/RPS29/RPS25/RPL41/RPL34/RPS15A/RPS10/RPS9/RPL3/RPL15/RPL14/RPL36/RPS11/RPL22/RPL11/RPL7A/RPS16/PSMA7/RPS15/RPL36AL/RPS19/RPS8/RPL4/RPL26/UBB/RPS6/RPL12/RPL32/RPS21/PSMA2/UFD1/RPL39/RPL38/RPS17/PSMC1/PSMD8/RPL31/RPL39L/UBE2D2/RPL27/RPSA/RPL29/RPL28/ADRM1/UBA52/RPL35/RPL7/PSMD7/RPL36A/RPLP2/RPS26/RPS20/LTN1/NPLOC4/PSMC2/UBE2D1/VCP/RPL17/RPL23/PSMD14/PSMD1/RPLP0/PSMC3/PSMD3/TCF25/PSMD2/RPL13A/PSMD13/PSMB7/RPL22L1/PSMA5/PSMA1/PSMD11/PSMB6/PSMB4/PSMC5/PSMC4/PSMA3/NEMF/RPL26L1/RCHY1/PSMB2/PSMC6/RPS27L/ASCC3/UBE2D3/PSMB5/PSMA4/KLHDC10/ABCE1/PSMD6/RBX1/PSMD12/CUL2/PSMB3/HBS1L",136,"aPT","AKI_vs_Normal"
"R-HSA-72706","GTP hydrolysis and joining of the 60S ribosomal subunit","109/4231","113/11230",0.964601769911504,2.56026421084996,12.9603766356035,2.65118492811052e-41,1.16757893543502e-38,6.64001431525864e-39,"RPL30/RPS27A/RPS2/RPS3/RPL10A/RPL10/RPL37A/RPS14/RPS27/RPS4X/RPL9/RPL19/RPL13/RPL37/RPL23A/RPS7/RPL18/RPL5/EIF4A1/RPL35A/RPL21/RPL18A/RPS12/FAU/RPL8/RPS28/RPS23/RPS4Y1/RPS24/RPL24/RPS5/RPL6/RPS18/RPS3A/RPS13/RPLP1/RPL27A/RPS29/RPS25/RPL41/RPL34/RPS15A/RPS10/RPS9/RPL3/RPL15/RPL14/RPL36/RPS11/RPL22/RPL11/RPL7A/RPS16/RPS15/RPL36AL/RPS19/RPS8/RPL4/RPL26/RPS6/RPL12/RPL32/RPS21/RPL39/RPL38/RPS17/EIF5/RPL31/RPL39L/RPL27/RPSA/RPL29/EIF3E/RPL28/EIF2S2/EIF3G/EIF4A2/UBA52/RPL35/RPL7/RPL36A/RPLP2/RPS26/RPS20/EIF3F/EIF1AX/EIF3H/EIF3K/RPL17/RPL23/EIF3M/EIF4G1/EIF3B/RPLP0/EIF4H/RPL13A/RPL22L1/EIF5B/EIF4B/RPL26L1/EIF3D/EIF3J/EIF4E/RPS27L/EIF3I/EIF3A/EIF2S1/EIF2S3/EIF3L",109,"aPT","AKI_vs_Normal"
"R-HSA-72172","mRNA Splicing","175/4231","213/11230",0.821596244131455,2.18069624712745,13.5260306329679,3.55235820360886e-41,1.16757893543502e-38,6.64001431525864e-39,"U2AF1/SNU13/SF3B6/HNRNPA1/RBM8A/MAGOHB/LSM8/ZCRB1/SRSF5/SAP18/SRSF7/SNRPB/HSPA8/RBM39/MAGOH/SNRPN/SRSF8/SYF2/UBL5/SNRPD1/SRSF3/MTREX/NSRP1/CWC27/LENG1/POLR2C/HNRNPH1/POLR2L/YBX1/PRPF40A/RBM22/BUD31/LUC7L3/SNRPA1/SRSF2/BCAS2/HNRNPA2B1/ALYREF/TRA2B/RNPS1/CCAR1/IK/SNRPB2/HNRNPK/PNN/SNRPF/RBMX2/SRSF9/FUS/SNRNP70/PRPF38A/PQBP1/DDX5/SRRM1/CCDC12/TXNL4A/WBP4/PPIL2/CWF19L2/HNRNPF/HNRNPC/SF1/CWC15/NKAP/DHX15/PPIL4/RBMX/CWC22/TCERG1/HTATSF1/SF3B1/LSM7/PHF5A/SRSF11/LSM4/RBM25/DDX46/SRRM2/POLR2H/ZMAT2/SRSF1/SNRPG/WDR70/POLR2B/SNRPC/RBM17/POLR2J/CDC40/SRSF6/PCBP2/HNRNPU/HNRNPD/POLR2E/POLR2I/ACIN1/SNRNP27/SRSF4/PDCD7/AQR/SNRPD3/SNRPA/SNW1/SLU7/SF3B4/U2SURP/LSM3/LSM5/HNRNPA3/PTBP1/FAM32A/DDX42/SF3B2/CWC25/PRPF31/PUF60/SF3B5/PCBP1/RBM5/SNRNP25/GTF2F1/PPIG/SNRPD2/ZNF830/DHX9/PPWD1/LSM2/WBP11/RBM42/XAB2/PRPF8/SRSF10/RBM10/SNRNP35/CDC5L/HNRNPL/DDX41/POLR2A/POLR2F/SNRPE/PRPF6/U2AF2/GTF2F2/DNAJC8/RNPC3/HNRNPH2/PRKRIP1/HNRNPR/POLR2K/PPIE/CASC3/EIF4A3/SF3B3/FAM50A/HNRNPM/PPIH/PLRG1/MFAP1/LSM6/SMU1/SMNDC1/CTNNBL1/SNRNP40/SNRNP200/SRRT/C9orf78/SF3A1/POLR2G/PRCC/SF3A3/PPIL3/SF3A2/U2AF1L4/RBM7/ZMAT5/NCBP2",175,"aPT","AKI_vs_Normal"
"R-HSA-72613","Eukaryotic Translation Initiation","114/4231","120/11230",0.95,2.52150791774994,13.0281235088089,4.2100201998859e-41,1.16757893543502e-38,6.64001431525864e-39,"RPL30/RPS27A/RPS2/RPS3/RPL10A/RPL10/RPL37A/RPS14/RPS27/RPS4X/RPL9/RPL19/RPL13/RPL37/RPL23A/RPS7/RPL18/RPL5/EIF4A1/RPL35A/RPL21/RPL18A/RPS12/FAU/RPL8/RPS28/RPS23/RPS4Y1/RPS24/RPL24/RPS5/RPL6/RPS18/RPS3A/RPS13/RPLP1/RPL27A/RPS29/RPS25/RPL41/RPL34/RPS15A/RPS10/RPS9/RPL3/RPL15/RPL14/RPL36/RPS11/RPL22/RPL11/RPL7A/RPS16/RPS15/RPL36AL/RPS19/RPS8/RPL4/RPL26/RPS6/RPL12/RPL32/RPS21/RPL39/RPL38/RPS17/EIF5/RPL31/RPL39L/RPL27/RPSA/RPL29/EIF3E/RPL28/EIF2S2/EIF3G/EIF4A2/UBA52/RPL35/RPL7/RPL36A/RPLP2/RPS26/RPS20/EIF3F/EIF1AX/EIF3H/EIF3K/RPL17/RPL23/EIF3M/EIF4G1/EIF3B/RPLP0/EIF4EBP1/EIF2B2/EIF4H/RPL13A/RPL22L1/PABPC1/EIF5B/EIF4B/RPL26L1/EIF3D/EIF3J/EIF2B1/EIF4E/RPS27L/EIF3I/EIF3A/EIF2B5/EIF2S1/EIF2S3/EIF3L",114,"aPT","AKI_vs_Normal"
"R-HSA-72737","Cap-dependent Translation Initiation","114/4231","120/11230",0.95,2.52150791774994,13.0281235088089,4.2100201998859e-41,1.16757893543502e-38,6.64001431525864e-39,"RPL30/RPS27A/RPS2/RPS3/RPL10A/RPL10/RPL37A/RPS14/RPS27/RPS4X/RPL9/RPL19/RPL13/RPL37/RPL23A/RPS7/RPL18/RPL5/EIF4A1/RPL35A/RPL21/RPL18A/RPS12/FAU/RPL8/RPS28/RPS23/RPS4Y1/RPS24/RPL24/RPS5/RPL6/RPS18/RPS3A/RPS13/RPLP1/RPL27A/RPS29/RPS25/RPL41/RPL34/RPS15A/RPS10/RPS9/RPL3/RPL15/RPL14/RPL36/RPS11/RPL22/RPL11/RPL7A/RPS16/RPS15/RPL36AL/RPS19/RPS8/RPL4/RPL26/RPS6/RPL12/RPL32/RPS21/RPL39/RPL38/RPS17/EIF5/RPL31/RPL39L/RPL27/RPSA/RPL29/EIF3E/RPL28/EIF2S2/EIF3G/EIF4A2/UBA52/RPL35/RPL7/RPL36A/RPLP2/RPS26/RPS20/EIF3F/EIF1AX/EIF3H/EIF3K/RPL17/RPL23/EIF3M/EIF4G1/EIF3B/RPLP0/EIF4EBP1/EIF2B2/EIF4H/RPL13A/RPL22L1/PABPC1/EIF5B/EIF4B/RPL26L1/EIF3D/EIF3J/EIF2B1/EIF4E/RPS27L/EIF3I/EIF3A/EIF2B5/EIF2S1/EIF2S3/EIF3L",114,"aPT","AKI_vs_Normal"
"R-HSA-156827","L13a-mediated translational silencing of Ceruloplasmin expression","108/4231","112/11230",0.964285714285714,2.55942533004693,12.8953851417166,6.89747211994645e-41,1.63962765822727e-38,9.32455253508551e-39,"RPL30/RPS27A/RPS2/RPS3/RPL10A/RPL10/RPL37A/RPS14/RPS27/RPS4X/RPL9/RPL19/RPL13/RPL37/RPL23A/RPS7/RPL18/RPL5/EIF4A1/RPL35A/RPL21/RPL18A/RPS12/FAU/RPL8/RPS28/RPS23/RPS4Y1/RPS24/RPL24/RPS5/RPL6/RPS18/RPS3A/RPS13/RPLP1/RPL27A/RPS29/RPS25/RPL41/RPL34/RPS15A/RPS10/RPS9/RPL3/RPL15/RPL14/RPL36/RPS11/RPL22/RPL11/RPL7A/RPS16/RPS15/RPL36AL/RPS19/RPS8/RPL4/RPL26/RPS6/RPL12/RPL32/RPS21/RPL39/RPL38/RPS17/RPL31/RPL39L/RPL27/RPSA/RPL29/EIF3E/RPL28/EIF2S2/EIF3G/EIF4A2/UBA52/RPL35/RPL7/RPL36A/RPLP2/RPS26/RPS20/EIF3F/EIF1AX/EIF3H/EIF3K/RPL17/RPL23/EIF3M/EIF4G1/EIF3B/RPLP0/EIF4H/RPL13A/RPL22L1/PABPC1/EIF4B/RPL26L1/EIF3D/EIF3J/EIF4E/RPS27L/EIF3I/EIF3A/EIF2S1/EIF2S3/EIF3L",108,"aPT","AKI_vs_Normal"
"R-HSA-72203","Processing of Capped Intron-Containing Pre-mRNA","222/4231","294/11230",0.755102040816326,2.00420607855527,13.5656721541324,9.06367090719321e-41,1.88524354869619e-38,1.07213686125878e-38,"UBC/U2AF1/RPS27A/SNU13/SF3B6/ZC3H11A/HNRNPA1/RBM8A/UBB/MAGOHB/LSM8/ZCRB1/SRSF5/SAP18/SRSF7/PPP1R10/SNRPB/NUP58/HSPA8/RBM39/MAGOH/SNRPN/NXT1/SRSF8/SYF2/UBL5/SLBP/SNRPD1/UBA52/SRSF3/MTREX/NSRP1/CWC27/LENG1/POLR2C/HNRNPH1/POLR2L/YBX1/PRPF40A/RBM22/BUD31/LUC7L3/SNRPA1/SRSF2/BCAS2/PPP1CB/FIP1L1/HNRNPA2B1/ALYREF/TRA2B/RNPS1/CCAR1/IK/SNRPB2/HNRNPK/PNN/SNRPF/RBMX2/SRSF9/PAPOLA/FUS/SNRNP70/PRPF38A/PQBP1/DDX5/SRRM1/CCDC12/TXNL4A/WBP4/TPR/RBBP6/PPIL2/CWF19L2/HNRNPF/HNRNPC/DDX39A/SF1/CWC15/NKAP/DHX15/PPIL4/SEC13/CSTF3/RBMX/CWC22/TCERG1/PABPN1/HTATSF1/SF3B1/LSM7/PHF5A/WDR33/SRSF11/LSM4/RBM25/DDX46/SRRM2/POLR2H/ZMAT2/SRSF1/SNRPG/WDR70/POLR2B/THOC2/SNRPC/RBM17/POLR2J/CDC40/SRSF6/PCBP2/HNRNPU/HNRNPD/POLR2E/THOC1/POLR2I/ACIN1/SNRNP27/CPSF2/SRSF4/PDCD7/AQR/SNRPD3/XRN2/SNRPA/SNW1/SLU7/SF3B4/NUDT21/PPP1CA/U2SURP/LSM3/LSM5/HNRNPA3/PTBP1/FAM32A/NUP160/FYTTD1/POM121/DDX42/SF3B2/CWC25/WTAP/PRPF31/PUF60/CHTOP/EIF4E/SF3B5/PCBP1/RBM5/SNRNP25/GTF2F1/PPIG/SNRPD2/METTL14/ZNF830/DHX9/PPWD1/LSM2/WBP11/RBM42/THOC6/XAB2/PRPF8/SRSF10/RBM10/SNRNP35/CDC5L/HNRNPL/DDX41/POLR2A/POLR2F/SNRPE/PRPF6/U2AF2/GTF2F2/DNAJC8/RNPC3/NUP214/NUP37/HNRNPH2/PRKRIP1/HNRNPR/POLR2K/PPIE/CASC3/EIF4A3/SF3B3/FAM50A/HNRNPM/RANBP2/SYMPK/PPIH/NUP153/PLRG1/PCF11/MFAP1/LSM6/CPSF6/SMU1/SMNDC1/CTNNBL1/SNRNP40/SNRNP200/SRRT/C9orf78/CPSF7/SF3A1/POLDIP3/AAAS/POLR2G/PRCC/THOC7/SF3A3/PPIL3/SF3A2/U2AF1L4/RBM7/NUP50/ZMAT5/NUP54/NUP62/NCBP2",222,"aPT","AKI_vs_Normal"
"R-HSA-72163","mRNA Splicing - Major Pathway","169/4231","205/11230",0.824390243902439,2.18811213401664,13.3480897951422,3.55040081377229e-40,6.56429661568565e-38,3.73311149892548e-38,"U2AF1/SNU13/SF3B6/HNRNPA1/RBM8A/MAGOHB/LSM8/SRSF5/SAP18/SRSF7/SNRPB/HSPA8/RBM39/MAGOH/SNRPN/SRSF8/SYF2/UBL5/SNRPD1/SRSF3/MTREX/NSRP1/CWC27/LENG1/POLR2C/HNRNPH1/POLR2L/YBX1/PRPF40A/RBM22/BUD31/LUC7L3/SNRPA1/SRSF2/BCAS2/HNRNPA2B1/ALYREF/TRA2B/RNPS1/CCAR1/IK/SNRPB2/HNRNPK/PNN/SNRPF/RBMX2/SRSF9/FUS/SNRNP70/PRPF38A/PQBP1/DDX5/SRRM1/CCDC12/TXNL4A/WBP4/PPIL2/CWF19L2/HNRNPF/HNRNPC/SF1/CWC15/NKAP/DHX15/PPIL4/RBMX/CWC22/TCERG1/HTATSF1/SF3B1/LSM7/PHF5A/SRSF11/LSM4/RBM25/DDX46/SRRM2/POLR2H/ZMAT2/SRSF1/SNRPG/WDR70/POLR2B/SNRPC/RBM17/POLR2J/CDC40/SRSF6/PCBP2/HNRNPU/HNRNPD/POLR2E/POLR2I/ACIN1/SNRNP27/SRSF4/AQR/SNRPD3/SNRPA/SNW1/SLU7/SF3B4/U2SURP/LSM3/LSM5/HNRNPA3/PTBP1/FAM32A/DDX42/SF3B2/CWC25/PRPF31/PUF60/SF3B5/PCBP1/RBM5/GTF2F1/PPIG/SNRPD2/ZNF830/DHX9/PPWD1/LSM2/WBP11/RBM42/XAB2/PRPF8/SRSF10/RBM10/CDC5L/HNRNPL/DDX41/POLR2A/POLR2F/SNRPE/PRPF6/U2AF2/GTF2F2/DNAJC8/HNRNPH2/PRKRIP1/HNRNPR/POLR2K/PPIE/CASC3/EIF4A3/SF3B3/FAM50A/HNRNPM/PPIH/PLRG1/MFAP1/LSM6/SMU1/SMNDC1/CTNNBL1/SNRNP40/SNRNP200/SRRT/C9orf78/SF3A1/POLR2G/PRCC/SF3A3/PPIL3/SF3A2/U2AF1L4/RBM7/NCBP2",169,"aPT","AKI_vs_Normal"
"R-HSA-1799339","SRP-dependent cotranslational protein targeting to membrane","108/4231","113/11230",0.955752212389381,2.5367755483651,12.7652674288721,9.86172754636021e-40,1.64099146371434e-37,9.33230848860824e-38,"RPL30/RPS27A/RPS2/RPS3/RPL10A/RPL10/RPL37A/RPS14/RPS27/RPS4X/RPL9/RPL19/RPL13/RPL37/RPL23A/RPS7/RPL18/RPL5/RPL35A/RPL21/RPL18A/RPS12/FAU/RPL8/RPS28/RPS23/RPS4Y1/RPS24/RPL24/RPS5/RPL6/RPS18/RPS3A/RPS13/RPLP1/RPL27A/RPS29/RPS25/RPL41/RPL34/RPS15A/RPS10/RPS9/RPL3/RPL15/RPL14/RPL36/RPS11/RPL22/RPL11/RPL7A/RPS16/RPS15/RPL36AL/RPS19/RPS8/RPL4/RPL26/RPS6/RPL12/RPL32/RPS21/SRP14/RPL39/RPL38/RPS17/RPL31/RPL39L/RPL27/RPSA/RPL29/RPL28/TRAM1/RPN1/UBA52/RPL35/RPL7/RPL36A/RPLP2/RPS26/RPS20/SRPRA/SSR3/SEC61A1/RPL17/RPL23/SEC61B/SEC11C/RPLP0/SEC11A/SSR1/SRP19/RPL13A/SPCS3/RPL22L1/DDOST/SPCS1/SPCS2/SSR4/SSR2/RPL26L1/RPS27L/SEC61G/RPN2/SRP9/SRP72/SRPRB/SRP54",108,"aPT","AKI_vs_Normal"
