"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","CellType","Condition"
"R-HSA-72766","Translation","319/4579","368/11230",0.866847826086957,2.12594476675181,18.222102514784,5.48414925635119e-77,9.13659266108109e-74,5.13778193489743e-74,"UBC/EEF1G/RPS4Y1/RPL37A/MRPS24/MT-CYB/RPL38/RPL6/RPL35/MT-ND2/MT-ATP6/RPL27/RPL17/RPL9/ELOC/RPS29/PSMA6/MT-CO2/MT-ND3/UBB/RPL37/RPL34/MRPL33/RPS24/RPS27/RPS2/RPL21/RPL23A/ASCC3/EIF2S3/RPL18A/RPS13/EIF3K/RPL41/RPL35A/ELOB/RPS15/FAU/RPL24/RPS28/RPS23/RPLP1/RPL27A/RPL14/RPL36AL/RPL36/MRPL52/RPS14/RPL8/ETF1/SEC61B/RPL18/RPS3A/RPL30/RPS27A/AURKAIP1/RPL32/EEF1A1/MRPS26/EIF4A1/RPS25/MT-ND1/RPS18/RPL23/ADRM1/SEM1/RPL7A/NDUFAB1/PSMD8/TRAM1/MRPL47/MT-CO3/RPL15/UBA52/RPL28/RPL29/EIF4H/RPL11/MRPS35/RPL10/RPS6/MRPL55/SRP14/RPL3/RPLP2/EIF4B/RPL13A/MRPL41/RPS19/RPL19/MT-CO1/TCF25/RPL7/SPCS1/RPS12/MRPS18B/RPS7/RPS3/SSR4/MRPL15/RPL13/RPL26/MRPS5/MRPL34/MRPL32/MRPL11/MRPS6/MRPS34/PSMB4/MRPL18/RPS11/RPL39/RPS5/PSMD12/EIF5/RPL22/MALSU1/TRMT112/EIF2S1/RPL5/MT-ND4/RPS9/MRPL16/MRPL23/MRPL10/RPS20/MRPL17/MRPL51/MRPL54/RPL36A/MRPL50/EIF2S2/MRPL42/PSMC1/GFM1/EIF3E/TUFM/UFD1/MRPS15/SRP72/PSMD2/PSMC3/MRPL28/LTN1/RPL10A/PABPC1/APEH/EIF3A/PSMA4/EEF2/MRPL1/SRP68/MT-ND6/MRPS14/RPS8/MT-ND4L/PSMA2/SSR2/MRPS27/PSMD7/MRPL12/PPA2/MRPS22/RPSA/PSMD14/MRPL48/MRPL58/OXA1L/RBX1/MRPS12/MRPL27/PSMC5/SRP9/SSR1/EEF1E1/FARSB/PELO/MRPL9/MRPL44/RPL4/SRPRA/IARS2/SSR3/SEC11C/MRPL4/PSMB1/MRPS28/RPS21/MRPL35/MRPS7/MRPL2/SPCS2/TSFM/RPS16/MRRF/EIF3G/PSMD3/MRPL36/MRPL20/MRPS31/MRPL19/RPL31/MRPL13/RPS4X/PSMD11/MRPL57/SEC61G/RPLP0/EIF3H/PSMC4/EIF3J/MTIF3/MRPS17/RPN2/MRPL43/EEF1D/PSMA1/RPS26/GSPT1/PSMA5/MRPS21/PSMB7/EIF1AX/PSMB3/NEMF/PSMB2/RPN1/MRPL21/EIF3L/MRPL3/MRPS18C/KLHDC10/PSMD6/MRPS18A/MTRF1L/EIF2B5/UBE2D2/MRPL14/GADD45GIP1/MRPS33/VCP/MRPL22/RARS2/MT-ATP8/PSMA7/EIF4E/EIF3I/RPS15A/MRPS16/EIF3B/EIF2B3/RPL26L1/EIF3D/MRPL37/MRPS9/PSMA3/PSMB6/ABCE1/CHCHD1/MRPS2/MT-ND5/DDOST/EIF2B2/UBE2D1/UBE2D3/EIF4G1/SRP19/SPCS3/MRPS25/MRPS30/RPS10/SRP54/MRPL53/MRPL24/SEC61A1/PSMC6/RPL39L/MRPL46/EIF3F/MRPL49/MIEF1/RPS17/EIF5B/RPL22L1/FARSA/PSMD13/RPL12/EIF4A2/SEC11A/MRPS11/PSMB5/EIF2B1/NPLOC4/PSMC2/YARS2/MRPL40/PSMD1/CUL2/RPS27L/GFM2/AIMP1/MTFMT/CARS2/MRPL39/EIF4EBP1/EEF1B2/PPA1/ASCC2/ERAL1/PTCD3/EIF3M/MRPS10/RCHY1/HBS1L/SRPRB/DAP3/AIMP2/MRPS23/MRPL30",319,"CNT","DKD_vs_Normal"
"R-HSA-72203","Processing of Capped Intron-Containing Pre-mRNA","242/4579","294/11230",0.82312925170068,2.0187249392004,14.6863455160514,1.23434040517285e-49,1.02820555750898e-46,5.78191031896754e-47,"HSPA8/UBC/RANBP2/DDX5/POLR2L/SRSF2/UBB/SRSF3/UBL5/RBM8A/HNRNPA2B1/SNRPG/NUDT21/RPS27A/ALYREF/DDX39B/SF3B4/MTREX/PCBP1/SRSF9/SRSF5/DHX9/TXNL4A/THOC7/SAP18/SNU13/HNRNPH1/HNRNPL/DNAJC8/YBX1/SNRPF/SNRPB/UBA52/HNRNPA3/XRN2/HNRNPA1/SRSF7/THOC2/PRPF31/HNRNPM/WTAP/PABPN1/PRPF38A/POLR2H/SNRPN/LSM3/CCDC12/CPSF2/LSM4/BCAS2/AQR/PPP1CA/FUS/SNRNP27/MAGOH/CDC40/TRA2B/HNRNPF/BUD31/SF3B6/DDX46/SRRM2/PRKRIP1/POLR2E/SF1/PTBP1/PRPF8/SRSF4/METTL14/PCBP2/SNRPE/DDX42/PRPF40A/SNRPD1/SYF2/HNRNPH2/FYTTD1/U2AF1/POLR2I/CTNNBL1/PPIL3/RNPC3/SRSF10/THOC3/RBM25/FAM50A/CHTOP/RBBP6/CRNKL1/SRRT/PPIG/SF3A3/LSM2/NCBP2/PPP1R8/SRSF6/SART1/NUP50/HNRNPR/SNRPD3/GCFC2/POLR2J/RNPS1/RBMX/HNRNPU/NXT1/PPWD1/PPIE/NUP54/SF3B2/LUC7L3/POLDIP3/PUF60/CPSF7/PPIL2/SRSF11/SF3B3/HNRNPK/SRSF8/SNRNP200/PQBP1/POLR2C/CWC22/SLBP/SNRNP40/CSTF3/HNRNPD/LENG1/GTF2F1/MFAP1/SF3B5/SARNP/ISY1/SNRPC/SNRNP25/USP39/SNW1/SRRM1/POLR2A/SNRPA/POLR2F/POLR2G/DHX15/PAPOLA/PRCC/RBM17/PNN/POM121/RBMX2/CASC3/ZNF830/CWC27/ZMAT2/TPR/RBM5/NUP160/DDX23/CCAR1/PPP1R10/NUP98/SLU7/PDCD7/SEC13/HNRNPC/EIF4E/SMNDC1/RBM7/RBM39/POLR2B/NUP153/THOC1/LSM5/SRSF1/WBP4/U2SURP/AAAS/SYMPK/CPSF6/FAM32A/LSM7/NKAP/PRPF6/THOC6/POLR2K/METTL3/PPIH/NSRP1/SNRNP70/SF3A1/C9orf78/RBM22/NUP37/PPIL4/ACIN1/TCERG1/CHERP/ZMAT5/U2AF1L4/SNRPD2/PCF11/CPSF1/CWC15/ZCRB1/CWC25/DDX39A/SF3A2/PLRG1/LSM6/NUP214/PRPF4/IK/EIF4A3/SF3B1/SNRPA1/FIP1L1/CWF19L2/GTF2F2/SNRNP35/MAGOHB/RBM10/PHF5A/HTATSF1/PRPF18/PPP1CB/WBP11/XAB2/SEH1L/UPF3B/SMU1/PRPF19/RBM42/SNRPB2/CDC5L/WDR33/PPIL1/U2AF2/ZC3H11A/RAE1/CSTF1/LSM8/NXF1/DDX41",242,"CNT","DKD_vs_Normal"
"R-HSA-72172","mRNA Splicing","188/4579","213/11230",0.882629107981221,2.16464836921361,14.2385360342345,4.53697097599504e-48,2.51953121533591e-45,1.41680848022301e-45,"HSPA8/DDX5/POLR2L/SRSF2/SRSF3/UBL5/RBM8A/HNRNPA2B1/SNRPG/ALYREF/DDX39B/SF3B4/MTREX/PCBP1/SRSF9/SRSF5/DHX9/TXNL4A/SAP18/SNU13/HNRNPH1/HNRNPL/DNAJC8/YBX1/SNRPF/SNRPB/HNRNPA3/HNRNPA1/SRSF7/PRPF31/HNRNPM/PRPF38A/POLR2H/SNRPN/LSM3/CCDC12/LSM4/BCAS2/AQR/FUS/SNRNP27/MAGOH/CDC40/TRA2B/HNRNPF/BUD31/SF3B6/DDX46/SRRM2/PRKRIP1/POLR2E/SF1/PTBP1/PRPF8/SRSF4/PCBP2/SNRPE/DDX42/PRPF40A/SNRPD1/SYF2/HNRNPH2/U2AF1/POLR2I/CTNNBL1/PPIL3/RNPC3/SRSF10/RBM25/FAM50A/CRNKL1/SRRT/PPIG/SF3A3/LSM2/NCBP2/PPP1R8/SRSF6/SART1/HNRNPR/SNRPD3/GCFC2/POLR2J/RNPS1/RBMX/HNRNPU/PPWD1/PPIE/SF3B2/LUC7L3/PUF60/PPIL2/SRSF11/SF3B3/HNRNPK/SRSF8/SNRNP200/PQBP1/POLR2C/CWC22/SNRNP40/HNRNPD/LENG1/GTF2F1/MFAP1/SF3B5/ISY1/SNRPC/SNRNP25/USP39/SNW1/SRRM1/POLR2A/SNRPA/POLR2F/POLR2G/DHX15/PRCC/RBM17/PNN/RBMX2/CASC3/ZNF830/CWC27/ZMAT2/RBM5/DDX23/CCAR1/SLU7/PDCD7/HNRNPC/SMNDC1/RBM7/RBM39/POLR2B/LSM5/SRSF1/WBP4/U2SURP/FAM32A/LSM7/NKAP/PRPF6/POLR2K/PPIH/NSRP1/SNRNP70/SF3A1/C9orf78/RBM22/PPIL4/ACIN1/TCERG1/CHERP/ZMAT5/U2AF1L4/SNRPD2/CWC15/ZCRB1/CWC25/SF3A2/PLRG1/LSM6/PRPF4/IK/EIF4A3/SF3B1/SNRPA1/CWF19L2/GTF2F2/SNRNP35/MAGOHB/RBM10/PHF5A/HTATSF1/PRPF18/WBP11/XAB2/UPF3B/SMU1/PRPF19/RBM42/SNRPB2/CDC5L/PPIL1/U2AF2/LSM8/DDX41",188,"CNT","DKD_vs_Normal"
"R-HSA-72163","mRNA Splicing - Major Pathway","182/4579","205/11230",0.88780487804878,2.17734194813012,14.1157071006887,2.04808973037164e-47,8.53029372699789e-45,4.79684173692306e-45,"HSPA8/DDX5/POLR2L/SRSF2/SRSF3/UBL5/RBM8A/HNRNPA2B1/SNRPG/ALYREF/DDX39B/SF3B4/MTREX/PCBP1/SRSF9/SRSF5/DHX9/TXNL4A/SAP18/SNU13/HNRNPH1/HNRNPL/DNAJC8/YBX1/SNRPF/SNRPB/HNRNPA3/HNRNPA1/SRSF7/PRPF31/HNRNPM/PRPF38A/POLR2H/SNRPN/LSM3/CCDC12/LSM4/BCAS2/AQR/FUS/SNRNP27/MAGOH/CDC40/TRA2B/HNRNPF/BUD31/SF3B6/DDX46/SRRM2/PRKRIP1/POLR2E/SF1/PTBP1/PRPF8/SRSF4/PCBP2/SNRPE/DDX42/PRPF40A/SNRPD1/SYF2/HNRNPH2/U2AF1/POLR2I/CTNNBL1/PPIL3/SRSF10/RBM25/FAM50A/CRNKL1/SRRT/PPIG/SF3A3/LSM2/NCBP2/PPP1R8/SRSF6/SART1/HNRNPR/SNRPD3/GCFC2/POLR2J/RNPS1/RBMX/HNRNPU/PPWD1/PPIE/SF3B2/LUC7L3/PUF60/PPIL2/SRSF11/SF3B3/HNRNPK/SRSF8/SNRNP200/PQBP1/POLR2C/CWC22/SNRNP40/HNRNPD/LENG1/GTF2F1/MFAP1/SF3B5/ISY1/SNRPC/USP39/SNW1/SRRM1/POLR2A/SNRPA/POLR2F/POLR2G/DHX15/PRCC/RBM17/PNN/RBMX2/CASC3/ZNF830/CWC27/ZMAT2/RBM5/DDX23/CCAR1/SLU7/HNRNPC/SMNDC1/RBM7/RBM39/POLR2B/LSM5/SRSF1/WBP4/U2SURP/FAM32A/LSM7/NKAP/PRPF6/POLR2K/PPIH/NSRP1/SNRNP70/SF3A1/C9orf78/RBM22/PPIL4/ACIN1/TCERG1/CHERP/U2AF1L4/SNRPD2/CWC15/CWC25/SF3A2/PLRG1/LSM6/PRPF4/IK/EIF4A3/SF3B1/SNRPA1/CWF19L2/GTF2F2/MAGOHB/RBM10/PHF5A/HTATSF1/PRPF18/WBP11/XAB2/UPF3B/SMU1/PRPF19/RBM42/SNRPB2/CDC5L/PPIL1/U2AF2/LSM8/DDX41",182,"CNT","DKD_vs_Normal"
"R-HSA-9948299","Ribosome-associated quality control","139/4579","145/11230",0.958620689655172,2.35101776475815,13.5859371393544,1.10365746236039e-46,3.67738666458484e-44,2.06790556105421e-44,"UBC/RPS4Y1/RPL37A/RPL38/RPL6/RPL35/RPL27/RPL17/RPL9/ELOC/RPS29/PSMA6/UBB/RPL37/RPL34/RPS24/RPS27/RPS2/RPL21/RPL23A/ASCC3/RPL18A/RPS13/RPL41/RPL35A/ELOB/RPS15/FAU/RPL24/RPS28/RPS23/RPLP1/RPL27A/RPL14/RPL36AL/RPL36/RPS14/RPL8/RPL18/RPS3A/RPL30/RPS27A/RPL32/RPS25/RPS18/RPL23/ADRM1/SEM1/RPL7A/PSMD8/RPL15/UBA52/RPL28/RPL29/RPL11/RPL10/RPS6/RPL3/RPLP2/RPL13A/RPS19/RPL19/TCF25/RPL7/RPS12/RPS7/RPS3/RPL13/RPL26/PSMB4/RPS11/RPL39/RPS5/PSMD12/RPL22/RPL5/RPS9/RPS20/RPL36A/PSMC1/UFD1/PSMD2/PSMC3/LTN1/RPL10A/PSMA4/RPS8/PSMA2/PSMD7/RPSA/PSMD14/RBX1/PSMC5/PELO/RPL4/PSMB1/RPS21/RPS16/PSMD3/RPL31/RPS4X/PSMD11/RPLP0/PSMC4/PSMA1/RPS26/PSMA5/PSMB7/PSMB3/NEMF/PSMB2/KLHDC10/PSMD6/UBE2D2/VCP/PSMA7/RPS15A/RPL26L1/PSMA3/PSMB6/ABCE1/UBE2D1/UBE2D3/RPS10/PSMC6/RPL39L/RPS17/RPL22L1/PSMD13/RPL12/PSMB5/NPLOC4/PSMC2/PSMD1/CUL2/RPS27L/ASCC2/RCHY1/HBS1L",139,"CNT","DKD_vs_Normal"
"R-HSA-1428517","Aerobic respiration and respiratory electron transport","214/4579","258/11230",0.829457364341085,2.03424463890596,13.9444895332899,5.0958953769106e-45,1.41496028298884e-42,7.95674892184287e-43,"PDK4/UBC/COX8A/ATP5ME/MT-CYB/NDUFB1/COX7B/COX6C/COX7C/ATP5PD/UQCRH/ATP5F1D/MT-ND2/NDUFA3/MT-ATP6/COX5B/UQCRB/MT-CO2/MT-ND3/UBB/NDUFB11/NDUFA1/ATP5PF/NDUFS5/NDUFB2/NDUFB7/NDUFS6/COX17/COX7A2/COX6B1/UQCR11/ATP5MF/NDUFAF4/ATP5MG/NDUFA11/MPC1/NDUFB6/NDUFB9/ATP5PO/RPS27A/SUCLG2/MT-ND1/UQCRQ/NDUFB8/NDUFA6/COX4I1/COX6A1/COX7A1/NDUFC2/NDUFAB1/MT-CO3/NDUFAF8/NNT/UBA52/TIMMDC1/NDUFS8/NDUFA13/ATP5MC3/ISCA1/CYC1/MT-CO1/NDUFB10/COA3/HIGD2A/NDUFA8/RMND5B/ACAT1/ATP5F1B/COX5A/LDHA/SDHC/ATP5F1E/PET100/PDP1/NDUFA2/HIGD1A/NEK1/SLC25A11/NDUFA10/DLAT/MT-ND4/GOT1/NDUFC1/SDHB/LETM1/COX16/SDHAF1/NDUFB3/GOT2/NDUFB4/PDHX/LYRM7/ATP5PB/ATP5MC2/VDAC1/UQCC1/SFXN4/NDUFAF3/TMEM126A/NDUFA5/HAGH/SDHD/MKLN1/MT-ND6/ISCA2/UQCC3/HSPA9/NDUFV3/ISCU/ATP5MC1/ETFB/GLO1/LDHB/NDUFV1/OXA1L/COX7A2L/UQCRFS1/UQCRC1/SURF1/LYRM2/IDH2/GID8/MPC2/SLC25A12/WDR26/NDUFA9/NDUFS4/MDH1/TMEM223/NDUFS7/COX14/ME2/NDUFA7/FH/HCCS/PDK2/SMIM20/ETFA/NDUFS1/MAEA/COA5/NFS1/PYURF/UCP2/COX15/OGDH/SUCLG1/DMAC1/PDHB/PET117/SDHAF3/NDUFA12/BCS1L/SUCLA2/IDH3A/SCO1/TRAP1/RMND5A/IDH3B/NDUFAF1/ARMC8/UQCR10/D2HGDH/ATP5F1A/HSCB/MDH2/MT-ATP8/CS/NDUFAF5/UQCRC2/NDUFV2/TIMM21/SDHA/SDHAF2/TACO1/ACAD9/NDUFB5/IDH3G/MT-ND5/ACO2/FAHD1/TMEM126B/COQ10A/ME3/TTC19/FXN/NDUFS2/ATP5F1C/CMC1/COX19/DMAC2/TMEM177/NDUFAF2/RAB5IF/COA1/PKM/SLC25A13/DLD/DLST/GSTZ1/PDHA1/NDUFS3/COQ10B/ETFDH/COX20/SDHAF4/UQCC2/COX11/LYRM4/SIRT3/NDUFAF6/PNKD/RANBP9/TMEM186",214,"CNT","DKD_vs_Normal"
"R-HSA-72187","mRNA 3'-end processing","138/4579","152/11230",0.907894736842105,2.22661233778922,12.633126096129,8.92678078886741e-39,1.84999541641658e-36,1.04030828369922e-36,"UBC/DDX5/POLR2L/SRSF2/UBB/SRSF3/RBM8A/HNRNPA2B1/SNRPG/NUDT21/RPS27A/ALYREF/DDX39B/SF3B4/PCBP1/SRSF9/SRSF5/DHX9/THOC7/HNRNPH1/HNRNPL/DNAJC8/YBX1/SNRPF/SNRPB/UBA52/HNRNPA3/XRN2/HNRNPA1/SRSF7/THOC2/HNRNPM/PABPN1/POLR2H/SNRPN/CPSF2/PPP1CA/FUS/MAGOH/CDC40/TRA2B/HNRNPF/SF3B6/DDX46/SRRM2/POLR2E/PTBP1/SRSF4/PCBP2/SNRPE/DDX42/PRPF40A/SNRPD1/HNRNPH2/FYTTD1/U2AF1/POLR2I/SRSF10/THOC3/RBM25/CHTOP/RBBP6/SRRT/SF3A3/NCBP2/PPP1R8/SRSF6/HNRNPR/SNRPD3/POLR2J/RNPS1/RBMX/HNRNPU/SF3B2/POLDIP3/PUF60/CPSF7/SRSF11/SF3B3/HNRNPK/SRSF8/POLR2C/CSTF3/HNRNPD/GTF2F1/SF3B5/SARNP/SNRPC/SRRM1/POLR2A/SNRPA/POLR2F/POLR2G/DHX15/PAPOLA/RBM17/CASC3/RBM5/CCAR1/PPP1R10/SLU7/HNRNPC/SMNDC1/RBM39/POLR2B/THOC1/SRSF1/U2SURP/SYMPK/CPSF6/THOC6/POLR2K/SNRNP70/SF3A1/TCERG1/CHERP/U2AF1L4/SNRPD2/PCF11/CPSF1/DDX39A/SF3A2/EIF4A3/SF3B1/SNRPA1/FIP1L1/GTF2F2/MAGOHB/RBM10/PHF5A/HTATSF1/PPP1CB/UPF3B/SNRPB2/WDR33/U2AF2/ZC3H11A/CSTF1",138,"CNT","DKD_vs_Normal"
"R-HSA-72613","Eukaryotic Translation Initiation","115/4579","120/11230",0.958333333333333,2.35031302322196,12.339013477361,9.99397283778464e-39,1.84999541641658e-36,1.04030828369922e-36,"RPS4Y1/RPL37A/RPL38/RPL6/RPL35/RPL27/RPL17/RPL9/RPS29/RPL37/RPL34/RPS24/RPS27/RPS2/RPL21/RPL23A/EIF2S3/RPL18A/RPS13/EIF3K/RPL41/RPL35A/RPS15/FAU/RPL24/RPS28/RPS23/RPLP1/RPL27A/RPL14/RPL36AL/RPL36/RPS14/RPL8/RPL18/RPS3A/RPL30/RPS27A/RPL32/EIF4A1/RPS25/RPS18/RPL23/RPL7A/RPL15/UBA52/RPL28/RPL29/EIF4H/RPL11/RPL10/RPS6/RPL3/RPLP2/EIF4B/RPL13A/RPS19/RPL19/RPL7/RPS12/RPS7/RPS3/RPL13/RPL26/RPS11/RPL39/RPS5/EIF5/RPL22/EIF2S1/RPL5/RPS9/RPS20/RPL36A/EIF2S2/EIF3E/RPL10A/PABPC1/EIF3A/RPS8/RPSA/RPL4/RPS21/RPS16/EIF3G/RPL31/RPS4X/RPLP0/EIF3H/EIF3J/RPS26/EIF1AX/EIF3L/EIF2B5/EIF4E/EIF3I/RPS15A/EIF3B/EIF2B3/RPL26L1/EIF3D/EIF2B2/EIF4G1/RPS10/RPL39L/EIF3F/RPS17/EIF5B/RPL22L1/RPL12/EIF4A2/EIF2B1/RPS27L/EIF4EBP1/EIF3M",115,"CNT","DKD_vs_Normal"
"R-HSA-72737","Cap-dependent Translation Initiation","115/4579","120/11230",0.958333333333333,2.35031302322196,12.339013477361,9.99397283778464e-39,1.84999541641658e-36,1.04030828369922e-36,"RPS4Y1/RPL37A/RPL38/RPL6/RPL35/RPL27/RPL17/RPL9/RPS29/RPL37/RPL34/RPS24/RPS27/RPS2/RPL21/RPL23A/EIF2S3/RPL18A/RPS13/EIF3K/RPL41/RPL35A/RPS15/FAU/RPL24/RPS28/RPS23/RPLP1/RPL27A/RPL14/RPL36AL/RPL36/RPS14/RPL8/RPL18/RPS3A/RPL30/RPS27A/RPL32/EIF4A1/RPS25/RPS18/RPL23/RPL7A/RPL15/UBA52/RPL28/RPL29/EIF4H/RPL11/RPL10/RPS6/RPL3/RPLP2/EIF4B/RPL13A/RPS19/RPL19/RPL7/RPS12/RPS7/RPS3/RPL13/RPL26/RPS11/RPL39/RPS5/EIF5/RPL22/EIF2S1/RPL5/RPS9/RPS20/RPL36A/EIF2S2/EIF3E/RPL10A/PABPC1/EIF3A/RPS8/RPSA/RPL4/RPS21/RPS16/EIF3G/RPL31/RPS4X/RPLP0/EIF3H/EIF3J/RPS26/EIF1AX/EIF3L/EIF2B5/EIF4E/EIF3I/RPS15A/EIF3B/EIF2B3/RPL26L1/EIF3D/EIF2B2/EIF4G1/RPS10/RPL39L/EIF3F/RPS17/EIF5B/RPL22L1/RPL12/EIF4A2/EIF2B1/RPS27L/EIF4EBP1/EIF3M",115,"CNT","DKD_vs_Normal"
"R-HSA-611105","Respiratory electron transport","141/4579","157/11230",0.898089171974522,2.20256418459792,12.5903507846943,2.82818575314137e-38,4.71175746473353e-36,2.64956349504823e-36,"COX8A/MT-CYB/NDUFB1/COX7B/COX6C/COX7C/UQCRH/MT-ND2/NDUFA3/COX5B/UQCRB/MT-CO2/MT-ND3/NDUFB11/NDUFA1/NDUFS5/NDUFB2/NDUFB7/NDUFS6/COX17/COX7A2/COX6B1/UQCR11/NDUFAF4/NDUFA11/NDUFB6/NDUFB9/MT-ND1/UQCRQ/NDUFB8/NDUFA6/COX4I1/COX6A1/COX7A1/NDUFC2/NDUFAB1/MT-CO3/NDUFAF8/TIMMDC1/NDUFS8/NDUFA13/CYC1/MT-CO1/NDUFB10/COA3/HIGD2A/NDUFA8/COX5A/SDHC/PET100/NDUFA2/HIGD1A/SLC25A11/NDUFA10/MT-ND4/GOT1/NDUFC1/SDHB/LETM1/COX16/NDUFB3/GOT2/NDUFB4/LYRM7/UQCC1/SFXN4/NDUFAF3/TMEM126A/NDUFA5/SDHD/MT-ND6/UQCC3/HSPA9/NDUFV3/ISCU/ETFB/NDUFV1/OXA1L/COX7A2L/UQCRFS1/UQCRC1/SURF1/LYRM2/SLC25A12/NDUFA9/NDUFS4/MDH1/TMEM223/NDUFS7/COX14/NDUFA7/HCCS/SMIM20/ETFA/NDUFS1/COA5/NFS1/PYURF/COX15/DMAC1/PET117/NDUFA12/BCS1L/SCO1/TRAP1/NDUFAF1/UQCR10/HSCB/MDH2/NDUFAF5/UQCRC2/NDUFV2/TIMM21/SDHA/TACO1/ACAD9/NDUFB5/MT-ND5/TMEM126B/COQ10A/TTC19/FXN/NDUFS2/CMC1/COX19/DMAC2/TMEM177/NDUFAF2/RAB5IF/COA1/SLC25A13/NDUFS3/COQ10B/ETFDH/COX20/UQCC2/COX11/LYRM4/NDUFAF6/PNKD/TMEM186",141,"CNT","DKD_vs_Normal"
