"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","CellType","Condition"
"R-HSA-72766","Translation","323/4782","368/11230",0.877717391304348,2.06122256469005,17.8253595359431,2.23881503530066e-75,3.7298658488109e-72,2.05499653766545e-72,"EEF1G/MRPS24/UBC/RPS4Y1/RPL38/RPL17/RPL37A/PSMA6/RPL13A/RPS29/RPL27A/MTRES1/RPL37/RPL23/EEF1A1/EEF2/RPL4/RPL34/MRPL38/MT-ND3/MT-CYB/RPS2/RPLP2/RPL36/RPS28/PABPC1/RPS11/MT-CO2/RPL39/MT-ATP6/RPL24/RPL6/RPL9/RPS24/RPLP1/RPL31/RPS25/RPS6/RPL23A/RPL18/RPL29/RPS14/MT-ND2/RPS23/RPL15/RPL35/RPL35A/RPL13/EIF3L/RPS20/MT-CO3/ELOB/RPL22/EIF4H/RPS13/MRPL41/SRP14/RPL28/RPS8/RPL32/RPL26/MT-ND1/FAU/MT-ND6/MTIF3/RPS19/RPL5/RPS27/RPL19/RPS17/RPL30/RPS18/RPL10/SSR4/RPL7/MT-ATP8/RPL41/UBA52/MT-CO1/RPS15/RPL27/PSMB4/SEC61B/MRPL17/PSMB6/RPS16/MRPS26/UBB/RPSA/RPS9/RPL18A/EIF4B/EIF3J/RPL14/RPL3/RPL11/EIF2S3/MRPL28/MRPL20/EIF3I/RPLP0/RARS2/RPS3A/MRPS6/RPL36AL/MRPL55/TRMT112/RPS3/MRPS12/SSR2/MT-ND4/SSR3/RPL8/RPL10A/ETF1/PSMA1/MRPS28/RPL12/MRPL51/MRPL18/MRPL57/SEC11C/PSMC3/MRRF/RPS15A/MRPS15/MRPL50/MRPL19/EIF5/MRPL15/VARS2/EEF1E1/PSMA2/PSMD1/RPL21/MRPL49/PSMA4/RPS12/MRPS33/IARS2/SPCS2/SPCS3/TRAM1/EIF3G/EEF1D/MRPL43/RPN2/RPS27L/MRPS34/EIF1AX/NEMF/ASCC3/MRPL12/SEM1/MRPL23/PSMC5/MRPS7/MRPL42/EIF5B/RPS27A/MRPS16/SSR1/MRPL54/MRPL52/SRP19/MRPL4/PSMD7/NDUFAB1/MRPS25/SRPRA/RPS7/MRPL24/PSMB5/MRPL40/CHCHD1/SRP72/ELOC/EIF3H/OXA1L/EIF3F/SEC11A/GADD45GIP1/PSMD13/MRPS11/RPS10/RPS21/RPL7A/PPA1/EIF3D/MRPL14/MRPS18B/PSMA7/PSMC6/TSFM/MRPS14/PSMC4/AURKAIP1/EIF4A2/TUFM/PSMD11/ABCE1/SRP9/EIF4EBP1/LTN1/MRPL2/MRPL21/RPN1/MRPL27/MRPL11/PSMB2/SPCS1/MRPL35/MALSU1/PPA2/GSPT1/RPL26L1/MT-ND5/MRPS10/PSMC2/PSMD6/MRPS35/RPS5/RPS26/EIF3A/MRPS30/MRPS18C/PSMD14/SEC61A1/MRPL47/MRPL30/TCF25/VCP/MRPL34/MRPL3/UBE2D3/RCHY1/HBS1L/MRPS9/EIF3M/EIF2B2/UBE2D1/DAP3/ASCC2/PSMD2/APEH/DDOST/FARSA/SRP54/EIF3B/PSMB7/MRPL33/EIF4E/PSMB3/MRPL37/EIF4A1/PSMD8/MRPL46/MRPS31/MTIF2/MRPS21/EIF4G1/GFM1/ERAL1/PSMB1/MIEF1/MT-ND4L/MRPL13/MRPS2/EIF2S2/RPS4X/RPL22L1/ADRM1/EIF2B5/PSMC1/MRPL10/UFD1/AIMP1/MRPS27/SEC61G/EIF3K/MRPL16/UBE2D2/MRPL53/EIF3E/PSMD3/MRPL36/MRPS23/CUL2/MRPL58/CARS2/MRPS17/EEF1B2/MRPL22/MRPS5/MRPL9/GFM2/MRPS22/RBX1/PTCD3/MRPS18A/PSMA3/RPL36A/PSMA5/FARS2/SRP68/ANKZF1/MRPL44/NPLOC4/FARSB/MRPL39/WARS2/MTRF1L/KLHDC10/MRPL32/EIF2B4/MRPL1/EIF2B1/AIMP2/LARS2/PSMD12/SRPRB/MRPL48/EIF2S1",323,"C_TAL","DKD_vs_Normal"
"R-HSA-72172","mRNA Splicing","196/4782","213/11230",0.92018779342723,2.16095962362773,14.7311976092637,1.30847774244661e-53,1.08996195945803e-50,6.00522416533394e-51,"DDX39B/PCBP2/HSPA8/POLR2L/SRSF2/UBL5/HNRNPM/PCBP1/FUS/DDX5/HNRNPK/HNRNPH1/DHX9/LSM8/U2AF2/POLR2I/PNN/TRA2B/SNRPA1/POLR2J/WBP4/SF3B1/PRPF8/HNRNPU/POLR2F/SNRPB/SNRNP70/POLR2H/SRSF5/SRSF9/YBX1/SRSF1/HNRNPA1/LUC7L3/RBM42/PTBP1/SNU13/SNRPF/PUF60/SAP18/HNRNPA2B1/HNRNPR/SRRM2/CCDC12/SRSF6/PRPF6/RBM39/LSM2/GTF2F1/ZMAT2/LSM7/U2SURP/SF3B4/BCAS2/HNRNPA3/SRSF4/SF3B2/SF3B5/POLR2B/SNRPD1/SNW1/PDCD7/WDR70/LSM5/SMNDC1/CDC5L/CWC22/WBP11/SRSF3/RBM8A/HNRNPF/SNRPN/SNRNP27/SNRPD3/POLR2C/SRSF7/U2AF1L4/PHF5A/CTNNBL1/SUGP1/SNRNP25/SNRNP200/SYF2/SNRNP40/SMU1/MFAP1/HNRNPD/DDX42/RBMX/U2AF1/NKAP/PPIE/NSRP1/LSM3/SF3B3/SRSF10/SNRPC/SRRM1/PRPF4/PPIL2/HTATSF1/SART1/POLR2K/TXNL4A/PLRG1/PRPF38A/IK/RBMX2/DDX23/SRSF11/TCERG1/ZCRB1/SNRPE/DHX15/HNRNPL/SRRT/SF3A2/RNPC3/LENG1/RNPS1/BUD31/PQBP1/CCAR1/SF3B6/USP39/RBM7/SLU7/RBM5/SDE2/RBM17/HNRNPC/PRPF31/CDC40/RBM25/PRPF18/SNRPG/RBM10/ZMAT5/HNRNPH2/SF1/CWF19L2/CWC15/ACIN1/DNAJC8/NCBP2/ZNF830/POLR2G/LSM6/PPWD1/AQR/CWC25/TFIP11/PPIL3/FAM50A/POLR2E/PPIL4/GTF2F2/PPIH/SNRPB2/FAM32A/SRSF8/CHERP/ALYREF/SNRPA/UPF3B/CWC27/DDX46/GCFC2/NCBP1/SF3A1/DDX41/EFTUD2/DHX38/PPIG/SNRNP35/SNIP1/RBM22/SNRNP48/POLR2A/C9orf78/MTREX/DHX8/LSM4/PRCC/PPP1R8/MAGOHB/CRNKL1/CASC3/SNRPD2/PRKRIP1/EIF4A3/PRPF19/PRPF40A/MAGOH/SF3A3/XAB2",196,"C_TAL","DKD_vs_Normal"
"R-HSA-72203","Processing of Capped Intron-Containing Pre-mRNA","251/4782","294/11230",0.853741496598639,2.00491781823562,15.0361889170281,2.01684061733037e-53,1.12001882282413e-50,6.17082462565644e-51,"UBC/DDX39B/PCBP2/HSPA8/SARNP/PPP1R10/POLR2L/SRSF2/UBL5/HNRNPM/PPP1CB/PCBP1/FUS/DDX5/HNRNPK/HNRNPH1/UBA52/DHX9/UBB/LSM8/U2AF2/POLR2I/PNN/TRA2B/SNRPA1/POLR2J/PCF11/WBP4/SF3B1/PRPF8/HNRNPU/POLR2F/SYMPK/SNRPB/SNRNP70/POLR2H/SRSF5/SRSF9/YBX1/SRSF1/HNRNPA1/LUC7L3/RBM42/PTBP1/SNU13/SNRPF/PUF60/SAP18/HNRNPA2B1/HNRNPR/SRRM2/CCDC12/SRSF6/FYTTD1/CHTOP/PRPF6/NUP153/RBBP6/RBM39/LSM2/GTF2F1/SEC13/THOC7/WTAP/RPS27A/ZMAT2/LSM7/U2SURP/SF3B4/BCAS2/HNRNPA3/RANBP2/SRSF4/SF3B2/SF3B5/PABPN1/POLR2B/SNRPD1/SNW1/PDCD7/WDR70/LSM5/SMNDC1/CDC5L/CWC22/WBP11/SRSF3/RBM8A/HNRNPF/SNRPN/NUP88/SNRNP27/POM121/SNRPD3/POLR2C/CPSF6/SRSF7/U2AF1L4/PHF5A/CTNNBL1/SUGP1/SNRNP25/SNRNP200/SYF2/SNRNP40/SMU1/MFAP1/HNRNPD/FIP1L1/DDX42/RBMX/U2AF1/NKAP/PPIE/PPP1CA/NSRP1/LSM3/SF3B3/SRSF10/SNRPC/SRRM1/PRPF4/PPIL2/HTATSF1/SART1/POLDIP3/POLR2K/TXNL4A/PAPOLA/PLRG1/CSTF2T/PRPF38A/NUP37/IK/RBMX2/SLBP/DDX23/SRSF11/TCERG1/ZCRB1/SNRPE/DHX15/HNRNPL/SRRT/SF3A2/RNPC3/LENG1/RNPS1/NUDT21/BUD31/PQBP1/THOC2/CCAR1/SF3B6/USP39/RBM7/SLU7/WDR33/RBM5/SDE2/RBM17/METTL14/HNRNPC/NXF1/PRPF31/RAE1/CDC40/RBM25/CPSF2/NUP155/PRPF18/DDX39A/EIF4E/SNRPG/RBM10/ZMAT5/HNRNPH2/SF1/CSTF3/CWF19L2/CWC15/ACIN1/DNAJC8/NCBP2/ZNF830/POLR2G/NUP50/LSM6/NUP54/PPWD1/AQR/CWC25/TFIP11/PPIL3/FAM50A/NUP62/POLR2E/PPIL4/GTF2F2/PPIH/SNRPB2/FAM32A/SRSF8/CHERP/ALYREF/SNRPA/UPF3B/METTL3/CWC27/DDX46/CPSF7/GCFC2/TPR/NCBP1/SF3A1/DDX41/EFTUD2/DHX38/AAAS/PPIG/SNRNP35/NXT1/SNIP1/RBM22/SNRNP48/POLR2A/C9orf78/NUP160/MTREX/XRN2/DHX8/LSM4/PRCC/PPP1R8/THOC1/MAGOHB/CRNKL1/NUP58/CASC3/NUP133/SNRPD2/NUP98/PRKRIP1/EIF4A3/PRPF19/CPSF1/PRPF40A/MAGOH/SF3A3/XAB2/NUP214",251,"C_TAL","DKD_vs_Normal"
"R-HSA-72163","mRNA Splicing - Major Pathway","189/4782","205/11230",0.921951219512195,2.16510083545001,14.4981956959277,4.70901143432498e-52,1.96130326239635e-49,1.08059420282405e-49,"DDX39B/PCBP2/HSPA8/POLR2L/SRSF2/UBL5/HNRNPM/PCBP1/FUS/DDX5/HNRNPK/HNRNPH1/DHX9/LSM8/U2AF2/POLR2I/PNN/TRA2B/SNRPA1/POLR2J/WBP4/SF3B1/PRPF8/HNRNPU/POLR2F/SNRPB/SNRNP70/POLR2H/SRSF5/SRSF9/YBX1/SRSF1/HNRNPA1/LUC7L3/RBM42/PTBP1/SNU13/SNRPF/PUF60/SAP18/HNRNPA2B1/HNRNPR/SRRM2/CCDC12/SRSF6/PRPF6/RBM39/LSM2/GTF2F1/ZMAT2/LSM7/U2SURP/SF3B4/BCAS2/HNRNPA3/SRSF4/SF3B2/SF3B5/POLR2B/SNRPD1/SNW1/WDR70/LSM5/SMNDC1/CDC5L/CWC22/WBP11/SRSF3/RBM8A/HNRNPF/SNRPN/SNRNP27/SNRPD3/POLR2C/SRSF7/U2AF1L4/PHF5A/CTNNBL1/SUGP1/SNRNP200/SYF2/SNRNP40/SMU1/MFAP1/HNRNPD/DDX42/RBMX/U2AF1/NKAP/PPIE/NSRP1/LSM3/SF3B3/SRSF10/SNRPC/SRRM1/PRPF4/PPIL2/HTATSF1/SART1/POLR2K/TXNL4A/PLRG1/PRPF38A/IK/RBMX2/DDX23/SRSF11/TCERG1/SNRPE/DHX15/HNRNPL/SRRT/SF3A2/LENG1/RNPS1/BUD31/PQBP1/CCAR1/SF3B6/USP39/RBM7/SLU7/RBM5/SDE2/RBM17/HNRNPC/PRPF31/CDC40/RBM25/PRPF18/SNRPG/RBM10/HNRNPH2/SF1/CWF19L2/CWC15/ACIN1/DNAJC8/NCBP2/ZNF830/POLR2G/LSM6/PPWD1/AQR/CWC25/TFIP11/PPIL3/FAM50A/POLR2E/PPIL4/GTF2F2/PPIH/SNRPB2/FAM32A/SRSF8/CHERP/ALYREF/SNRPA/UPF3B/CWC27/DDX46/GCFC2/NCBP1/SF3A1/DDX41/EFTUD2/DHX38/PPIG/SNIP1/RBM22/POLR2A/C9orf78/MTREX/DHX8/LSM4/PRCC/PPP1R8/MAGOHB/CRNKL1/CASC3/SNRPD2/PRKRIP1/EIF4A3/PRPF19/PRPF40A/MAGOH/SF3A3/XAB2",189,"C_TAL","DKD_vs_Normal"
"R-HSA-1428517","Aerobic respiration and respiratory electron transport","220/4782","258/11230",0.852713178294574,2.00250292602427,14.0286349676352,1.07389807599015e-46,3.57822838919916e-44,1.97145078371244e-44,"PDK4/UBC/ATP5ME/NDUFB1/COX7C/NDUFA3/LDHA/ATP5F1B/COX6C/MPC1/COX8A/NDUFA1/ATP5F1D/MT-ND3/COX7B/MT-CYB/ATP5PD/MT-CO2/NDUFC1/ATP5PB/ATP5F1E/MT-ATP6/ATP5F1A/COX6B1/COX7A1/UQCRH/UQCRB/ATP5PF/COX5B/NDUFS4/UQCRQ/ATP5MG/MT-ND2/MT-CO3/ATP5MC3/CMC1/ATP5MC2/ATP5MF/ATP5PO/MT-ND1/SCO2/NDUFS6/NDUFS5/MT-ND6/NDUFV1/FH/UQCR11/UQCRC1/NDUFB3/IDH3G/COX4I1/ATP5MC1/UQCR10/NDUFA2/NDUFA8/CSKMT/MT-ATP8/UBA52/MT-CO1/UBB/SURF1/NDUFC2/CYC1/UQCRC2/ATP5F1C/UQCC3/LDHB/NDUFA5/NDUFB8/NDUFA13/PET100/COX6A1/HIGD2A/SDHB/ACO2/COX17/NDUFV3/NDUFB9/HIGD1A/NDUFV2/NDUFB4/SDHA/MT-ND4/NDUFB7/PKM/DMAC1/NDUFAF8/HSPA9/COX20/NDUFB10/COX5A/GLO1/COX11/UQCRFS1/OGDH/ADHFE1/PNKD/RAB5IF/NDUFB6/NDUFS7/SUCLG1/NDUFB5/SMIM20/RPS27A/COA1/NDUFAF3/NDUFS8/MDH1/NDUFS2/LYRM2/NDUFAB1/IDH2/NDUFA12/SFXN4/TMEM126B/TMEM126A/LETM1/PDP2/SUCLG2/NDUFB2/TTC19/GOT1/MAEA/OXA1L/SDHC/ME3/SDHAF1/SCO1/SUCLA2/ME2/NDUFA11/TIMM21/NDUFA7/D2HGDH/ACAT1/LYRM7/HAGH/DMAC2/ARMC8/SLC25A13/COQ10B/COX7A2/NDUFS1/PDHA1/SLC25A11/DLST/NDUFAF2/CS/DLAT/SDHD/UQCC1/MT-ND5/MPC2/NDUFAF4/NNT/BCS1L/SDHAF4/VDAC1/GSTZ1/NDUFA6/ETFDH/NFS1/LYRM4/ETFB/SDHAF3/COA5/ISCU/ACAD9/COX16/TRAP1/GID8/NDUFB11/NDUFA9/HSCB/RANBP9/MKLN1/COX14/COX7A2L/PDK2/NDUFS3/TIMMDC1/IDH3A/ETFA/COX15/FAHD1/RMND5A/HCCS/PDHB/NDUFAF7/PDHX/PDPR/PYURF/TACO1/SIRT3/MDH2/PGAM5/FOXRED1/UQCC2/ISCA1/IDH3B/SLC25A12/NDUFAF5/GOT2/WDR26/TMEM177/RMND5B/NDUFAF1/PET117/NEK1/DLD/NDUFAF6/COA3/FXN/COQ10A/ISCA2/COX19/NUBPL/TMEM223/NDUFA10/SDHAF2",220,"C_TAL","DKD_vs_Normal"
"R-HSA-9948299","Ribosome-associated quality control","138/4782","145/11230",0.951724137931034,2.23501925323411,12.8899933366171,1.15744659146676e-42,3.2138433689727e-40,1.77069022413862e-40,"UBC/RPS4Y1/RPL38/RPL17/RPL37A/PSMA6/RPL13A/RPS29/RPL27A/RPL37/RPL23/RPL4/RPL34/RPS2/RPLP2/RPL36/RPS28/RPS11/RPL39/RPL24/RPL6/RPL9/RPS24/RPLP1/RPL31/RPS25/RPS6/RPL23A/RPL18/RPL29/RPS14/RPS23/RPL15/RPL35/RPL35A/RPL13/RPS20/ELOB/RPL22/RPS13/RPL28/RPS8/RPL32/RPL26/FAU/RPS19/RPL5/RPS27/RPL19/RPS17/RPL30/RPS18/RPL10/RPL7/RPL41/UBA52/RPS15/RPL27/PSMB4/PSMB6/RPS16/UBB/RPSA/RPS9/RPL18A/RPL14/RPL3/RPL11/RPLP0/RPS3A/RPL36AL/RPS3/RPL8/RPL10A/PSMA1/RPL12/PSMC3/RPS15A/PSMA2/PSMD1/RPL21/PSMA4/RPS12/RPS27L/NEMF/ASCC3/SEM1/PSMC5/RPS27A/PSMD7/RPS7/PSMB5/ELOC/PSMD13/RPS10/RPS21/RPL7A/PSMA7/PSMC6/PSMC4/PSMD11/ABCE1/LTN1/PSMB2/RPL26L1/PSMC2/PSMD6/RPS5/RPS26/PSMD14/TCF25/VCP/UBE2D3/RCHY1/HBS1L/UBE2D1/ASCC2/PSMD2/PSMB7/PSMB3/PSMD8/PSMB1/RPS4X/RPL22L1/ADRM1/PSMC1/UFD1/UBE2D2/PSMD3/CUL2/RBX1/PSMA3/RPL36A/PSMA5/ANKZF1/NPLOC4/KLHDC10/PSMD12",138,"C_TAL","DKD_vs_Normal"
"R-HSA-611105","Respiratory electron transport","144/4782","157/11230",0.917197452229299,2.15393713687475,12.538977960332,3.64908061624112e-39,8.68481186665386e-37,4.78495984565753e-37,"NDUFB1/COX7C/NDUFA3/COX6C/COX8A/NDUFA1/MT-ND3/COX7B/MT-CYB/MT-CO2/NDUFC1/COX6B1/COX7A1/UQCRH/UQCRB/COX5B/NDUFS4/UQCRQ/MT-ND2/MT-CO3/CMC1/MT-ND1/SCO2/NDUFS6/NDUFS5/MT-ND6/NDUFV1/UQCR11/UQCRC1/NDUFB3/COX4I1/UQCR10/NDUFA2/NDUFA8/MT-CO1/SURF1/NDUFC2/CYC1/UQCRC2/UQCC3/NDUFA5/NDUFB8/NDUFA13/PET100/COX6A1/HIGD2A/SDHB/COX17/NDUFV3/NDUFB9/HIGD1A/NDUFV2/NDUFB4/SDHA/MT-ND4/NDUFB7/DMAC1/NDUFAF8/HSPA9/COX20/NDUFB10/COX5A/COX11/UQCRFS1/PNKD/RAB5IF/NDUFB6/NDUFS7/NDUFB5/SMIM20/COA1/NDUFAF3/NDUFS8/MDH1/NDUFS2/LYRM2/NDUFAB1/NDUFA12/SFXN4/TMEM126B/TMEM126A/LETM1/NDUFB2/TTC19/GOT1/OXA1L/SDHC/SCO1/NDUFA11/TIMM21/NDUFA7/LYRM7/DMAC2/SLC25A13/COQ10B/COX7A2/NDUFS1/SLC25A11/NDUFAF2/SDHD/UQCC1/MT-ND5/NDUFAF4/BCS1L/NDUFA6/ETFDH/NFS1/LYRM4/ETFB/COA5/ISCU/ACAD9/COX16/TRAP1/NDUFB11/NDUFA9/HSCB/COX14/COX7A2L/NDUFS3/TIMMDC1/ETFA/COX15/HCCS/NDUFAF7/PYURF/TACO1/MDH2/FOXRED1/UQCC2/SLC25A12/NDUFAF5/GOT2/TMEM177/NDUFAF1/PET117/NDUFAF6/COA3/FXN/COQ10A/COX19/NUBPL/TMEM223/NDUFA10",144,"C_TAL","DKD_vs_Normal"
"R-HSA-72187","mRNA 3'-end processing","138/4782","152/11230",0.907894736842105,2.13209073499307,12.1013873431047,2.52977088771653e-36,5.26824787366967e-34,2.90257922906422e-34,"UBC/DDX39B/PCBP2/SARNP/PPP1R10/POLR2L/SRSF2/HNRNPM/PPP1CB/PCBP1/FUS/DDX5/HNRNPK/HNRNPH1/UBA52/DHX9/UBB/U2AF2/POLR2I/TRA2B/SNRPA1/POLR2J/PCF11/SF3B1/HNRNPU/POLR2F/SYMPK/SNRPB/SNRNP70/POLR2H/SRSF5/SRSF9/YBX1/SRSF1/HNRNPA1/PTBP1/SNRPF/PUF60/HNRNPA2B1/HNRNPR/SRRM2/SRSF6/FYTTD1/CHTOP/RBBP6/RBM39/GTF2F1/THOC7/RPS27A/U2SURP/SF3B4/HNRNPA3/SRSF4/SF3B2/SF3B5/PABPN1/POLR2B/SNRPD1/SMNDC1/SRSF3/RBM8A/HNRNPF/SNRPN/SNRPD3/POLR2C/CPSF6/SRSF7/U2AF1L4/PHF5A/SUGP1/HNRNPD/FIP1L1/DDX42/RBMX/U2AF1/PPP1CA/SF3B3/SRSF10/SNRPC/SRRM1/HTATSF1/POLDIP3/POLR2K/PAPOLA/CSTF2T/SRSF11/TCERG1/SNRPE/DHX15/HNRNPL/SRRT/SF3A2/RNPS1/NUDT21/THOC2/CCAR1/SF3B6/SLU7/WDR33/RBM5/RBM17/HNRNPC/CDC40/RBM25/CPSF2/DDX39A/SNRPG/RBM10/HNRNPH2/CSTF3/DNAJC8/NCBP2/POLR2G/POLR2E/GTF2F2/SNRPB2/SRSF8/CHERP/ALYREF/SNRPA/UPF3B/DDX46/CPSF7/NCBP1/SF3A1/DHX38/POLR2A/XRN2/PPP1R8/THOC1/MAGOHB/CASC3/SNRPD2/EIF4A3/CPSF1/PRPF40A/MAGOH/SF3A3",138,"C_TAL","DKD_vs_Normal"
"R-HSA-5368287","Mitochondrial translation","108/4782","112/11230",0.964285714285714,2.26451873095537,11.5820052031202,3.23474932706647e-35,5.40061328857957e-33,2.97550691074833e-33,"MRPS24/MTRES1/MRPL38/MT-ND3/MT-CYB/MT-CO2/MT-ATP6/MT-ND2/MT-CO3/MRPL41/MT-ND1/MT-ND6/MTIF3/MT-ATP8/MT-CO1/MRPL17/MRPS26/MRPL28/MRPL20/MRPS6/MRPL55/MRPS12/MT-ND4/MRPS28/MRPL51/MRPL18/MRPL57/MRRF/MRPS15/MRPL50/MRPL19/MRPL15/MRPL49/MRPS33/MRPL43/MRPS34/MRPL12/MRPL23/MRPS7/MRPL42/MRPS16/MRPL54/MRPL52/MRPL4/NDUFAB1/MRPS25/MRPL24/MRPL40/CHCHD1/OXA1L/GADD45GIP1/MRPS11/MRPL14/MRPS18B/TSFM/MRPS14/AURKAIP1/TUFM/MRPL2/MRPL21/MRPL27/MRPL11/MRPL35/MALSU1/MT-ND5/MRPS10/MRPS35/MRPS30/MRPS18C/MRPL47/MRPL30/MRPL34/MRPL3/MRPS9/DAP3/MRPL33/MRPL37/MRPL46/MRPS31/MTIF2/MRPS21/GFM1/ERAL1/MIEF1/MT-ND4L/MRPL13/MRPS2/MRPL10/MRPS27/MRPL16/MRPL53/MRPL36/MRPS23/MRPL58/MRPS17/MRPL22/MRPS5/MRPL9/GFM2/MRPS22/PTCD3/MRPS18A/MRPL44/MRPL39/MTRF1L/MRPL32/MRPL1/MRPL48",108,"C_TAL","DKD_vs_Normal"
"R-HSA-72613","Eukaryotic Translation Initiation","114/4782","120/11230",0.95,2.23097030531159,11.6746530384152,3.56583110290368e-35,5.40061328857957e-33,2.97550691074833e-33,"RPS4Y1/RPL38/RPL17/RPL37A/RPL13A/RPS29/RPL27A/RPL37/RPL23/RPL4/RPL34/RPS2/RPLP2/RPL36/RPS28/PABPC1/RPS11/RPL39/RPL24/RPL6/RPL9/RPS24/RPLP1/RPL31/RPS25/RPS6/RPL23A/RPL18/RPL29/RPS14/RPS23/RPL15/RPL35/RPL35A/RPL13/EIF3L/RPS20/RPL22/EIF4H/RPS13/RPL28/RPS8/RPL32/RPL26/FAU/RPS19/RPL5/RPS27/RPL19/RPS17/RPL30/RPS18/RPL10/RPL7/RPL41/UBA52/RPS15/RPL27/RPS16/RPSA/RPS9/RPL18A/EIF4B/EIF3J/RPL14/RPL3/RPL11/EIF2S3/EIF3I/RPLP0/RPS3A/RPL36AL/RPS3/RPL8/RPL10A/RPL12/RPS15A/EIF5/RPL21/RPS12/EIF3G/RPS27L/EIF1AX/EIF5B/RPS27A/RPS7/EIF3H/EIF3F/RPS10/RPS21/RPL7A/EIF3D/EIF4A2/EIF4EBP1/RPL26L1/RPS5/RPS26/EIF3A/EIF3M/EIF2B2/EIF3B/EIF4E/EIF4A1/EIF4G1/EIF2S2/RPS4X/RPL22L1/EIF2B5/EIF3K/EIF3E/RPL36A/EIF2B4/EIF2B1/EIF2S1",114,"C_TAL","DKD_vs_Normal"
