"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","CellType","Condition"
"R-HSA-72766","Translation","262/2719","368/11230",0.71195652173913,2.94051921262613,21.3930056815192,1.71445308762421e-83,2.78770072047696e-80,1.58812496537821e-80,"RPS2/MT-CYB/RPL15/MT-ND1/MT-CO2/RPL17/EEF1G/MT-CO3/RPS7/ELOB/RPL7A/RPL3/MT-CO1/MT-ATP6/MTIF3/EIF4A1/RPSA/RPL13/RPL10A/RPS4X/UBC/RPL5/RPS12/MT-ND3/RPL36/RPL19/PSMC5/RPL10/RPS9/RPS26/RPL9/EEF1B2/RPS14/RPL34/UBB/RPS5/SSR1/MRPL54/FAU/MRPL57/RPL35/MT-ATP8/RPL4/RPL29/PSMB1/RPL6/RPL12/PSMA6/RPS16/RPS23/IARS2/SEM1/EIF5B/EIF4E/PSMD8/RPS27A/RPS13/PSMA7/SRPRA/RPS3A/RPS18/MT-ND2/RPLP1/RPS29/EIF4A2/RPS3/RPL27A/SEC61G/PSMB7/RPS19/RPS6/SRP14/SPCS3/PSMC4/MT-ND4/RPL36A/RPL23A/RPL11/RPL37/MT-ND5/RPLP0/RPS17/MRPL4/RPL18A/EIF5/RPL24/EIF3K/NDUFAB1/EIF2S2/EIF3I/EIF3B/EEF1A1/PSMA2/RPN1/SRP9/RPS24/ABCE1/RPS4Y1/EIF3A/MT-ND4L/MRPL19/SSR3/EIF1AX/RPS15/EIF2S3/PPA1/RPL27/RPL31/RPN2/RPL32/EIF3E/MRPL40/UBE2D3/RPL35A/GSPT1/MRPS26/AURKAIP1/MRPL22/PSMC1/MRPL33/MRPS16/RPL8/RPL38/PSMA5/RPL37A/EIF3L/PSMB6/MALSU1/UBE2D2/EEF1D/MT-ND6/ELOC/RPL14/RPS15A/MRPL32/MRPS33/MRPL21/PSMD13/PSMD7/PSMA4/RPS25/UBE2D1/PSMD6/PSMD2/MRPL47/RBX1/MRPL41/MRPL9/MRPL18/TCF25/PSMB4/RPL18/AIMP1/RPS11/SRP19/RPS8/LTN1/RPL39/RPS28/MRPL42/EIF3M/MRPS34/PSMD1/ADRM1/PSMD14/SRP72/RPL22/EIF3J/PABPC1/GADD45GIP1/RPL21/MRPL34/SPCS2/MRPL2/RPL41/EEF2/EIF4B/PSMB2/TRMT112/RPS27/RPL26/SEC61B/RPL28/MRPS18C/MRPL23/EIF4G1/PSMD12/PSMC3/MRPL36/NEMF/MRPL27/RPS27L/RPS10/RPL23/MRPL11/MRPL51/RPLP2/TRAM1/MRPS11/MRPL3/MRPL52/EIF3D/PSMC2/MRPS6/RPS21/MRPS21/SSR4/PSMB5/MRPL55/EIF3F/TUFM/RPL7/PSMB3/RPS20/EIF4EBP1/MRPS7/MRPL15/MRPS23/RPL26L1/MRPL17/MRPS35/MRPS25/OXA1L/SPCS1/RPL30/MRPS18B/RPL13A/SEC61A1/EIF4H/UBA52/PSMD3/MRPL16/RPL22L1/VCP/MRPL12/CHCHD1/EIF3G/MRPL28/RPL36AL/SEC11A/MRPS5/MRPL13/PSMA1/MRPS15/SRP54/MRPS28/MRPS12/SSR2/DDOST/EIF2S1/EIF3H/EEF1E1/DAP3/MRPL14/PSMA3/MRPL20/MRPL50/PSMC6/PSMD11/ETF1/SEC11C/MRPL43",262,"DC","DKD_vs_Normal"
"R-HSA-9948299","Ribosome-associated quality control","129/2719","145/11230",0.889655172413793,3.67444927775171,18.3204175446611,3.78157691972409e-62,3.07442203573569e-59,1.75146720492484e-59,"RPS2/RPL15/RPL17/RPS7/ELOB/RPL7A/RPL3/RPSA/RPL13/RPL10A/RPS4X/UBC/RPL5/RPS12/RPL36/RPL19/PSMC5/RPL10/RPS9/RPS26/RPL9/RPS14/RPL34/UBB/RPS5/FAU/RPL35/RPL4/RPL29/PSMB1/RPL6/RPL12/PSMA6/RPS16/RPS23/SEM1/PSMD8/RPS27A/RPS13/PSMA7/RPS3A/RPS18/RPLP1/RPS29/RPS3/RPL27A/PSMB7/RPS19/RPS6/PSMC4/RPL36A/RPL23A/RPL11/RPL37/RPLP0/RPS17/RPL18A/RPL24/PSMA2/RPS24/ABCE1/RPS4Y1/RPS15/RPL27/RPL31/RPL32/UBE2D3/RPL35A/PSMC1/RPL8/RPL38/PSMA5/RPL37A/PSMB6/UBE2D2/ELOC/RPL14/RPS15A/PSMD13/PSMD7/PSMA4/RPS25/UBE2D1/PSMD6/PSMD2/RBX1/TCF25/PSMB4/RPL18/RPS11/RPS8/LTN1/RPL39/RPS28/PSMD1/ADRM1/PSMD14/RPL22/RPL21/RPL41/PSMB2/RPS27/RPL26/RPL28/PSMD12/PSMC3/NEMF/RPS27L/RPS10/RPL23/RPLP2/PSMC2/RPS21/PSMB5/RPL7/PSMB3/RPS20/RPL26L1/RPL30/RPL13A/UBA52/PSMD3/RPL22L1/VCP/RPL36AL/PSMA1/PSMA3/PSMC6/PSMD11",129,"DC","DKD_vs_Normal"
"R-HSA-72706","GTP hydrolysis and joining of the 60S ribosomal subunit","108/2719","113/11230",0.955752212389381,3.94744293679027,17.7981832588177,2.16924701083809e-60,1.17573187987424e-57,6.69802585802638e-58,"RPS2/RPL15/RPL17/RPS7/RPL7A/RPL3/EIF4A1/RPSA/RPL13/RPL10A/RPS4X/RPL5/RPS12/RPL36/RPL19/RPL10/RPS9/RPS26/RPL9/RPS14/RPL34/RPS5/FAU/RPL35/RPL4/RPL29/RPL6/RPL12/RPS16/RPS23/EIF5B/EIF4E/RPS27A/RPS13/RPS3A/RPS18/RPLP1/RPS29/EIF4A2/RPS3/RPL27A/RPS19/RPS6/RPL36A/RPL23A/RPL11/RPL37/RPLP0/RPS17/RPL18A/EIF5/RPL24/EIF3K/EIF2S2/EIF3I/EIF3B/RPS24/RPS4Y1/EIF3A/EIF1AX/RPS15/EIF2S3/RPL27/RPL31/RPL32/EIF3E/RPL35A/RPL8/RPL38/RPL37A/EIF3L/RPL14/RPS15A/RPS25/RPL18/RPS11/RPS8/RPL39/RPS28/EIF3M/RPL22/EIF3J/RPL21/RPL41/EIF4B/RPS27/RPL26/RPL28/EIF4G1/RPS27L/RPS10/RPL23/RPLP2/EIF3D/RPS21/EIF3F/RPL7/RPS20/RPL26L1/RPL30/RPL13A/EIF4H/UBA52/RPL22L1/EIF3G/RPL36AL/EIF2S1/EIF3H",108,"DC","DKD_vs_Normal"
"R-HSA-156827","L13a-mediated translational silencing of Ceruloplasmin expression","107/2719","112/11230",0.955357142857143,3.94581122261336,17.7086493403719,8.82606817645447e-60,3.58779671372874e-57,2.04393157770525e-57,"RPS2/RPL15/RPL17/RPS7/RPL7A/RPL3/EIF4A1/RPSA/RPL13/RPL10A/RPS4X/RPL5/RPS12/RPL36/RPL19/RPL10/RPS9/RPS26/RPL9/RPS14/RPL34/RPS5/FAU/RPL35/RPL4/RPL29/RPL6/RPL12/RPS16/RPS23/EIF4E/RPS27A/RPS13/RPS3A/RPS18/RPLP1/RPS29/EIF4A2/RPS3/RPL27A/RPS19/RPS6/RPL36A/RPL23A/RPL11/RPL37/RPLP0/RPS17/RPL18A/RPL24/EIF3K/EIF2S2/EIF3I/EIF3B/RPS24/RPS4Y1/EIF3A/EIF1AX/RPS15/EIF2S3/RPL27/RPL31/RPL32/EIF3E/RPL35A/RPL8/RPL38/RPL37A/EIF3L/RPL14/RPS15A/RPS25/RPL18/RPS11/RPS8/RPL39/RPS28/EIF3M/RPL22/EIF3J/PABPC1/RPL21/RPL41/EIF4B/RPS27/RPL26/RPL28/EIF4G1/RPS27L/RPS10/RPL23/RPLP2/EIF3D/RPS21/EIF3F/RPL7/RPS20/RPL26L1/RPL30/RPL13A/EIF4H/UBA52/RPL22L1/EIF3G/RPL36AL/EIF2S1/EIF3H",107,"DC","DKD_vs_Normal"
"R-HSA-6798695","Neutrophil degranulation","275/2719","469/11230",0.5863539445629,2.4217560858556,17.7774739550132,1.46005746015604e-59,4.74810686042745e-57,2.70494855776277e-57,"FTL/NME2/PLAUR/ADA2/CST3/S100A9/CTSZ/ALDOA/HLA-B/HSP90AB1/CD68/FTH1/CTSB/HSPA1B/RAC1/RAP2B/MIF/CD63/ATP6V0C/FCN1/FCGR2A/FCER1G/CTSA/GM2A/ANXA2/ITGB2/LGALS3/HSPA1A/CTSD/LAMP1/CAP1/HSP90AA1/FPR1/PTPRC/GSTP1/PSMB1/HSPA8/IST1/ARHGAP45/PRCP/C5AR1/CSTB/CLEC5A/CYB5R3/RAB14/RAB5C/MAN2B1/HEXB/GLA/PKM/SVIP/ILF2/CNN2/FUCA1/S100A8/PSMB7/SIRPA/SRP14/CYSTM1/PTAFR/TUBB4B/ARHGAP9/CYBA/DPP7/NIT2/LAMTOR1/NCSTN/CD55/CPNE3/TIMP2/TYROBP/C3AR1/EEF1A1/PSMA2/HLA-C/FABP5/MGST1/IQGAP2/MANBA/HMGB1/GRN/VAPA/ERP44/ATP6V1D/B2M/CYFIP1/LYZ/GYG1/RAP2C/PECAM1/PRDX6/APRT/PSMA5/LAMTOR3/PNP/PGRMC1/IQGAP1/TRAPPC1/RHOG/RAB18/FGL2/LAIR1/KCMF1/KPNB1/CD14/TNFRSF1B/CD53/SLC11A1/OLR1/MLEC/PRDX4/SERPINA1/GNS/ARMC8/RAP1B/RAB7A/PSMD13/BRI3/RAP1A/CAT/PSMD7/GAA/GLIPR1/CFD/VAMP8/COMMD3/PSMD6/GDI2/ANPEP/PSMD2/S100A11/CD59/GUSB/SPTAN1/PSAP/CYBB/A1BG/TMEM30A/B4GALT1/COTL1/COMMD9/DYNLL1/TSPAN14/TLR2/ACTR10/ATP6V0A1/DNAJC3/LTA4H/SNAP29/NCKAP1L/ADAM10/CD36/PSMD1/PTPRJ/RAB31/DYNLT1/ITGAM/CSNK2B/ASAH1/DOCK2/NEU1/TUBB/DEGS1/PSMD14/SLC2A3/IDH1/CD93/CD300A/CD47/ARL8A/GSDMD/NHLRC3/PLAU/HEBP2/STK10/GCA/EEF2/NDUFC2/HVCN1/ADAM8/CTSH/FUCA2/ARPC5/SNAP23/CCT8/DNAJC5/ANO6/OSCAR/CTSS/RHOA/CPNE1/ALOX5/SERPINB6/CREG1/PSMD12/CTSC/PA2G4/PSMC3/STOM/PDXK/RAB6A/ACTR2/TMC6/CAB39/VAT1/PTPN6/LAMP2/PGAM1/QSOX1/CD33/CAND1/PSMC2/ACAA1/CMTM6/CAPN1/CD58/OSTF1/PSEN1/ATP6AP2/GMFG/TMBIM1/TMEM179B/CCT2/DIAPH1/PYCARD/PPIE/MAPK1/MNDA/MAGT1/RNASET2/AP2A2/NPC2/BST2/DDX3X/ITGAV/AGPAT2/LILRB2/RAB10/GOLGA7/GPI/YPEL5/PFKL/ITGAX/PSMD3/VCP/COPB1/DYNC1LI1/PTGES2/PIGR/SLC15A4/SURF4/PLEKHO2/CD44/CLEC12A/PPIA/HSPA6/HUWE1/PDAP1/TCIRG1/LAMTOR2/NFKB1/DDOST/SERPINB1/HGSNAT/PAFAH1B2/XRCC6/PSMD11/MVP/TOLLIP/DYNC1H1/GLB1/IGF2R/C3/XRCC5/DERA",275,"DC","DKD_vs_Normal"
"R-HSA-9010553","Regulation of expression of SLITs and ROBOs","134/2719","159/11230",0.842767295597484,3.4807932068995,17.8065814363458,3.01890898820092e-58,8.18124335802449e-56,4.66077177125756e-56,"RPS2/RPL15/RPL17/RPS7/ELOB/RPL7A/RPL3/RPSA/RPL13/RPL10A/RPS4X/UBC/RPL5/RPS12/RPL36/RPL19/PSMC5/RPL10/RPS9/RPS26/RPL9/RPS14/RPL34/UBB/RPS5/FAU/RPL35/RPL4/RPL29/PSMB1/RPL6/RPL12/PSMA6/RPS16/RPS23/SEM1/PSMD8/RPS27A/RPS13/PSMA7/RPS3A/RPS18/RPLP1/RPS29/RPS3/RPL27A/PSMB7/RPS19/RPS6/PSMC4/RPL36A/RPL23A/RPL11/RPL37/RPLP0/RPS17/RPL18A/RPL24/PSMA2/RPS24/RPS4Y1/RPS15/RPL27/RPL31/USP33/RPL32/RPL35A/GSPT1/MAGOH/PSMC1/RPL8/RPL38/PSMA5/RBM8A/RPL37A/PSMB6/ELOC/RPL14/RPS15A/PSMD13/PSMD7/PSMA4/RPS25/PSMD6/PSMD2/RBX1/PSMB4/RPL18/RPS11/RPS8/RPL39/RPS28/PSMD1/ADRM1/PSMD14/RPL22/PABPC1/RPL21/RPL41/PSMB2/RPS27/RPL26/RPL28/EIF4G1/PSMD12/PSMC3/RPS27L/UPF3A/RPS10/RPL23/RPLP2/CASC3/PSMC2/RPS21/PSMB5/RPL7/EIF4A3/PSMB3/RPS20/RPL26L1/RPL30/RPL13A/UBA52/PSMD3/RNPS1/RPL22L1/RPL36AL/NCBP2/PSMA1/PSMA3/PSMC6/PSMD11/ETF1/UPF2",134,"DC","DKD_vs_Normal"
"R-HSA-1799339","SRP-dependent cotranslational protein targeting to membrane","106/2719","113/11230",0.938053097345133,3.87434214166452,17.3567628900725,6.36509927351985e-57,1.47852163124904e-54,8.42298851232702e-55,"RPS2/RPL15/RPL17/RPS7/RPL7A/RPL3/RPSA/RPL13/RPL10A/RPS4X/RPL5/RPS12/RPL36/RPL19/RPL10/RPS9/RPS26/RPL9/RPS14/RPL34/RPS5/SSR1/FAU/RPL35/RPL4/RPL29/RPL6/RPL12/RPS16/RPS23/RPS27A/RPS13/SRPRA/RPS3A/RPS18/RPLP1/RPS29/RPS3/RPL27A/SEC61G/RPS19/RPS6/SRP14/SPCS3/RPL36A/RPL23A/RPL11/RPL37/RPLP0/RPS17/RPL18A/RPL24/RPN1/SRP9/RPS24/RPS4Y1/SSR3/RPS15/RPL27/RPL31/RPN2/RPL32/RPL35A/RPL8/RPL38/RPL37A/RPL14/RPS15A/RPS25/RPL18/RPS11/SRP19/RPS8/RPL39/RPS28/SRP72/RPL22/RPL21/SPCS2/RPL41/RPS27/RPL26/SEC61B/RPL28/RPS27L/RPS10/RPL23/RPLP2/TRAM1/RPS21/SSR4/RPL7/RPS20/RPL26L1/SPCS1/RPL30/RPL13A/SEC61A1/UBA52/RPL22L1/RPL36AL/SEC11A/SRP54/SSR2/DDOST/SEC11C",106,"DC","DKD_vs_Normal"
"R-HSA-72613","Eukaryotic Translation Initiation","110/2719","120/11230",0.916666666666667,3.78601201422091,17.3420896876195,2.63168418779894e-56,4.75457609929009e-54,2.70863401785154e-54,"RPS2/RPL15/RPL17/RPS7/RPL7A/RPL3/EIF4A1/RPSA/RPL13/RPL10A/RPS4X/RPL5/RPS12/RPL36/RPL19/RPL10/RPS9/RPS26/RPL9/RPS14/RPL34/RPS5/FAU/RPL35/RPL4/RPL29/RPL6/RPL12/RPS16/RPS23/EIF5B/EIF4E/RPS27A/RPS13/RPS3A/RPS18/RPLP1/RPS29/EIF4A2/RPS3/RPL27A/RPS19/RPS6/RPL36A/RPL23A/RPL11/RPL37/RPLP0/RPS17/RPL18A/EIF5/RPL24/EIF3K/EIF2S2/EIF3I/EIF3B/RPS24/RPS4Y1/EIF3A/EIF1AX/RPS15/EIF2S3/RPL27/RPL31/RPL32/EIF3E/RPL35A/RPL8/RPL38/RPL37A/EIF3L/RPL14/RPS15A/RPS25/RPL18/RPS11/RPS8/RPL39/RPS28/EIF3M/RPL22/EIF3J/PABPC1/RPL21/RPL41/EIF4B/RPS27/RPL26/RPL28/EIF4G1/RPS27L/RPS10/RPL23/RPLP2/EIF3D/RPS21/EIF3F/RPL7/RPS20/EIF4EBP1/RPL26L1/RPL30/RPL13A/EIF4H/UBA52/RPL22L1/EIF3G/RPL36AL/EIF2S1/EIF3H",110,"DC","DKD_vs_Normal"
"R-HSA-72737","Cap-dependent Translation Initiation","110/2719","120/11230",0.916666666666667,3.78601201422091,17.3420896876195,2.63168418779894e-56,4.75457609929009e-54,2.70863401785154e-54,"RPS2/RPL15/RPL17/RPS7/RPL7A/RPL3/EIF4A1/RPSA/RPL13/RPL10A/RPS4X/RPL5/RPS12/RPL36/RPL19/RPL10/RPS9/RPS26/RPL9/RPS14/RPL34/RPS5/FAU/RPL35/RPL4/RPL29/RPL6/RPL12/RPS16/RPS23/EIF5B/EIF4E/RPS27A/RPS13/RPS3A/RPS18/RPLP1/RPS29/EIF4A2/RPS3/RPL27A/RPS19/RPS6/RPL36A/RPL23A/RPL11/RPL37/RPLP0/RPS17/RPL18A/EIF5/RPL24/EIF3K/EIF2S2/EIF3I/EIF3B/RPS24/RPS4Y1/EIF3A/EIF1AX/RPS15/EIF2S3/RPL27/RPL31/RPL32/EIF3E/RPL35A/RPL8/RPL38/RPL37A/EIF3L/RPL14/RPS15A/RPS25/RPL18/RPS11/RPS8/RPL39/RPS28/EIF3M/RPL22/EIF3J/PABPC1/RPL21/RPL41/EIF4B/RPS27/RPL26/RPL28/EIF4G1/RPS27L/RPS10/RPL23/RPLP2/EIF3D/RPS21/EIF3F/RPL7/RPS20/EIF4EBP1/RPL26L1/RPL30/RPL13A/EIF4H/UBA52/RPL22L1/EIF3G/RPL36AL/EIF2S1/EIF3H",110,"DC","DKD_vs_Normal"
"R-HSA-72689","Formation of a pool of free 40S subunits","97/2719","102/11230",0.950980392156863,3.9277343890848,16.7883513951033,1.05433339763593e-53,1.71434610455602e-51,9.76645673599599e-52,"RPS2/RPL15/RPL17/RPS7/RPL7A/RPL3/RPSA/RPL13/RPL10A/RPS4X/RPL5/RPS12/RPL36/RPL19/RPL10/RPS9/RPS26/RPL9/RPS14/RPL34/RPS5/FAU/RPL35/RPL4/RPL29/RPL6/RPL12/RPS16/RPS23/RPS27A/RPS13/RPS3A/RPS18/RPLP1/RPS29/RPS3/RPL27A/RPS19/RPS6/RPL36A/RPL23A/RPL11/RPL37/RPLP0/RPS17/RPL18A/RPL24/EIF3K/EIF3I/EIF3B/RPS24/RPS4Y1/EIF3A/EIF1AX/RPS15/RPL27/RPL31/RPL32/EIF3E/RPL35A/RPL8/RPL38/RPL37A/EIF3L/RPL14/RPS15A/RPS25/RPL18/RPS11/RPS8/RPL39/RPS28/EIF3M/RPL22/EIF3J/RPL21/RPL41/RPS27/RPL26/RPL28/RPS27L/RPS10/RPL23/RPLP2/EIF3D/RPS21/EIF3F/RPL7/RPS20/RPL26L1/RPL30/RPL13A/UBA52/RPL22L1/EIF3G/RPL36AL/EIF3H",97,"DC","DKD_vs_Normal"
