"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
2.68102997084906e-24,-6.92365710241971,0.005,0.465,4.43576408676977e-20,"RPS4Y1"
9.95828574042102e-20,-4.00123778249459,0.034,0.474,1.64759837575266e-15,"NR4A1"
4.44614814371136e-17,-1.01891099056628,0.527,0.825,7.35615210377044e-13,"ATP5ME"
3.71978855609862e-15,8.09053583273785,0.298,0,6.15439016606516e-11,"MICOS10"
4.78806045555777e-15,1.98086916344258,0.629,0.263,7.92184602372033e-11,"WFDC2"
4.75494167788395e-14,-2.85479976098186,0.093,0.482,7.867051006059e-10,"BTG2"
6.83336718380929e-14,7.57780137609617,0.268,0,1.13058060056125e-09,"MICOS13"
2.05025904310377e-13,-1.09142219426484,0.483,0.825,3.39215358681518e-09,"ATP5PD"
2.88445212316598e-12,-0.950862711562771,0.507,0.807,4.77232603777811e-08,"BEX3"
4.32653682105074e-12,7.07683410498393,0.22,0,7.15825517042844e-08,"TLE5"
9.30997542521327e-12,7.3001676155956,0.224,0,1.54033543410154e-07,"TOMM6"
9.44045166916024e-12,-1.65060993786574,0.21,0.64,1.56192272866256e-07,"DUSP1"
1.64375507938858e-11,5.15801327160355,0.273,0.018,2.71959277884841e-07,"MRPS24"
1.65658675279243e-11,3.96421962464219,0.322,0.035,2.74082278249508e-07,"RNASEK"
2.96231974457943e-11,-0.774244488631882,0.62,0.86,4.90115801740667e-07,"EGF"
1.0285938568068e-10,-0.858458494887712,0.527,0.816,1.70180853608685e-06,"ATP5MG"
1.30185236492023e-10,-0.849251318517248,0.541,0.816,2.15391473776052e-06,"ATP5MC3"
1.38021006709268e-10,-7.22191185909111,0,0.193,2.28355755600483e-06,"EIF1AY"
1.4553013291702e-10,-0.837230982956942,0.527,0.816,2.4077960491121e-06,"ATP5F1D"
2.39967510706485e-10,3.50545815141669,0.312,0.035,3.9702624646388e-06,"ATP6V0C"
2.45326015304831e-10,2.96576014809717,0.346,0.061,4.05891892321842e-06,"NME2"
3.17357814098006e-10,3.17986299870657,0.293,0.053,5.2506850342515e-06,"CFI"
3.50956573898097e-10,6.53677807310146,0.176,0,5.80657651514401e-06,"RBIS"
3.67593243956157e-10,3.45634864314096,0.288,0.026,6.08183022125462e-06,"TRAPPC5"
5.10559357009535e-10,-0.808822291574755,0.532,0.816,8.44720456172275e-06,"ATP5F1E"
5.16727933759072e-10,-0.8917564726413,0.512,0.816,8.54926366404385e-06,"ATP5PO"
6.55329989411247e-10,-0.847934381648962,0.517,0.816,1.08424346748091e-05,"ATP5MC2"
7.28662154282209e-10,-0.823582854539959,0.532,0.825,1.20557153425992e-05,"ATP5PF"
7.98781998428514e-10,-2.9132942524412,0.049,0.36,1.32158481639998e-05,"PER1"
1.36862879849879e-09,-0.97413417073004,0.522,0.772,2.26439634711625e-05,"JUND"
1.5600877438254e-09,-0.854047302572077,0.517,0.816,2.58116517215913e-05,"ELOB"
1.84173295913968e-09,-1.39889105068123,0.283,0.64,3.0471471808966e-05,"MFSD4A"
2.3606200689353e-09,-0.933076160345943,0.463,0.789,3.90564590405346e-05,"MMP24OS"
2.83206790604364e-09,6.55174328798268,0.161,0,4.68565635054921e-05,"CIAO2B"
3.84171769717732e-09,-0.85384802870259,0.502,0.798,6.35612192997988e-05,"ATP5MF"
5.54655185021142e-09,1.09703854269857,0.576,0.482,9.17677003617479e-05,"RPL17"
7.57850831464219e-09,3.06214130117125,0.283,0.061,0.000125386420065755,"EEF1G"
1.15442426448592e-08,-0.294570097364615,0.907,0.965,0.000190999494559195,"NDUFA3"
1.80566859146974e-08,1.15898843084318,0.795,0.518,0.000298747868458668,"HNRNPH1"
1.86908252807233e-08,-1.21734853081271,0.341,0.684,0.000309239704269567,"ATP5PB"
2.14456008349055e-08,-0.779892589981158,0.537,0.816,0.000354817465813512,"UQCR11"
2.21545081075817e-08,6.4031048595151,0.156,0,0.000366546336639939,"ANTKMT"
2.44043142479686e-08,-0.828393752611615,0.498,0.789,0.000403769379232641,"ATP5F1A"
3.22073240746007e-08,-0.666703996997934,0.551,0.904,0.000532870176814269,"FKBP2"
3.22897386308482e-08,-0.710368812776654,0.556,0.807,0.000534233725647384,"PVALB"
3.55251022275963e-08,-0.211326422844106,0.941,0.982,0.00058776281635558,"KNG1"
3.66858613401326e-08,-1.05087548857308,0.366,0.702,0.000606967575872494,"MRPL57"
4.35505544160503e-08,-0.930183413481056,0.463,0.789,0.000720543922813553,"NDUFB8"
4.71711240270588e-08,2.87760965795774,0.293,0.061,0.000780446247027688,"TSPAN1"
5.31400980210107e-08,-0.627013991123747,0.683,0.904,0.000879202921757623,"MRPS6"
6.29300338966582e-08,-1.10367738153721,0.356,0.702,0.00104117741082021,"SNU13"
6.80726444668325e-08,-0.78559574472511,0.517,0.816,0.00112626190270374,"ATP5MC1"
6.86414402214168e-08,-0.803788415317561,0.512,0.798,0.00113567262846334,"ATP5F1B"
